gene	treefile	total_tree_length	internal_branch_length_sum	treeness	above_0.06
1314980at2759	1314980at2759.faa.mafft.clipkit.treefile	2.6805502888	0	0	0
1322299at2759	1322299at2759.faa.mafft.clipkit.treefile	3.4310745644	0.1359943469	0.0396360802855	0
1322642at2759	1322642at2759.faa.mafft.clipkit.treefile	1.7298777124	0	0	0
1323575at2759	1323575at2759.faa.mafft.clipkit.treefile	2.7846206868	0.1619339658	0.0581529709118	0
1324510at2759	1324510at2759.faa.mafft.clipkit.treefile	3.7250648899	0.2505527019	0.0672612986097	1
1338131at2759	1338131at2759.faa.mafft.clipkit.treefile	1.7548095662	0.0711753652	0.0405601648013	0
1339553at2759	1339553at2759.faa.mafft.clipkit.treefile	7.5682727924	0.2315661958	0.0305969673863	0
1342242at2759	1342242at2759.faa.mafft.clipkit.treefile	4.4204481496	0.226032646	0.0511334232074	0
1346165at2759	1346165at2759.faa.mafft.clipkit.treefile	3.0213886978	0.1646601248	0.0544981600414	0
1346432at2759	1346432at2759.faa.mafft.clipkit.treefile	3.5025315934	0.438181144	0.125104123208	1
1348942at2759	1348942at2759.faa.mafft.clipkit.treefile	3.7712624129	0.2843199013	0.0753911741404	1
1355894at2759	1355894at2759.faa.mafft.clipkit.treefile	2.8444763492	0.2603248144	0.0915194160335	1
1358374at2759	1358374at2759.faa.mafft.clipkit.treefile	2.0416108701	0.0630853796	0.0308998058954	0
1364586at2759	1364586at2759.faa.mafft.clipkit.treefile	2.5233273933	0	0	0
1370285at2759	1370285at2759.faa.mafft.clipkit.treefile	5.7763157357	0.2559492983	0.0443101295032	0
1370304at2759	1370304at2759.faa.mafft.clipkit.treefile	3.9752701097	0.2362382365	0.0594269647045	0
1377237at2759	1377237at2759.faa.mafft.clipkit.treefile	2.7934625643	0	0	0
1379600at2759	1379600at2759.faa.mafft.clipkit.treefile	4.9892328851	0.1656973438	0.0332109860606	0
1380409at2759	1380409at2759.faa.mafft.clipkit.treefile	2.7568359622	0	0	0
1382842at2759	1382842at2759.faa.mafft.clipkit.treefile	2.8342954597	0	0	0
1395649at2759	1395649at2759.faa.mafft.clipkit.treefile	2.7335882625	0	0	0
1398309at2759	1398309at2759.faa.mafft.clipkit.treefile	2.5669866625	0.1946119055	0.0758133683914	1
1404162at2759	1404162at2759.faa.mafft.clipkit.treefile	4.520913599	0.2075931489	0.0459184066128	0
1405073at2759	1405073at2759.faa.mafft.clipkit.treefile	1.0933721825	0.1217637761	0.111365350289	1
1405146at2759	1405146at2759.faa.mafft.clipkit.treefile	4.9662068303	0.421937764	0.0849617783588	1
1407446at2759	1407446at2759.faa.mafft.clipkit.treefile	5.0999163052	0.0282741892	0.00554404964865	0
1421503at2759	1421503at2759.faa.mafft.clipkit.treefile	2.053780862	0.0879442923	0.0428206796193	0
1423847at2759	1423847at2759.faa.mafft.clipkit.treefile	2.7276697135	0.2134712856	0.0782614128622	1
142542at2759	142542at2759.faa.mafft.clipkit.treefile	3.0004612303	0	0	0
1426075at2759	1426075at2759.faa.mafft.clipkit.treefile	2.6596321993	0.1435583841	0.053976780751	0
1428265at2759	1428265at2759.faa.mafft.clipkit.treefile	4.6332469603	0.8243049136	0.177910851863	1
1428854at2759	1428854at2759.faa.mafft.clipkit.treefile	3.5369494059	0.2449450923	0.0692532078325	1
1430056at2759	1430056at2759.faa.mafft.clipkit.treefile	3.0961670617	0.2533902611	0.0818399834539	1
1432328at2759	1432328at2759.faa.mafft.clipkit.treefile	3.1318143324	0.2414920405	0.077109309451	1
1434266at2759	1434266at2759.faa.mafft.clipkit.treefile	4.0686443218	0.2237555054	0.0549951009974	0
1440961at2759	1440961at2759.faa.mafft.clipkit.treefile	3.920876309	0.1907153153	0.0486409925409	0
1441854at2759	1441854at2759.faa.mafft.clipkit.treefile	2.6323996819	0.2029494425	0.0770967432854	1
1442062at2759	1442062at2759.faa.mafft.clipkit.treefile	3.7405703827	0.4590921381	0.122733190698	1
1445102at2759	1445102at2759.faa.mafft.clipkit.treefile	2.8669589901	1.5754531023	0.549520627166	1
1450538at2759	1450538at2759.faa.mafft.clipkit.treefile	3.2236825601	0.2188183385	0.0678783764904	1
1454155at2759	1454155at2759.faa.mafft.clipkit.treefile	4.1614617137	0.2354247256	0.0565726040023	0
1455730at2759	1455730at2759.faa.mafft.clipkit.treefile	1.4068846285	0	0	0
1459797at2759	1459797at2759.faa.mafft.clipkit.treefile	3.4726062677	0.2246361533	0.0646880573215	1
1474000at2759	1474000at2759.faa.mafft.clipkit.treefile	2.6511145937	0.1170745605	0.0441605054637	0
1488235at2759	1488235at2759.faa.mafft.clipkit.treefile	2.6462464598	0.2399878817	0.0906899207408	1
1488436at2759	1488436at2759.faa.mafft.clipkit.treefile	3.724228536	0.3018640541	0.0810541166263	1
1490022at2759	1490022at2759.faa.mafft.clipkit.treefile	2.7118181728	0.1640633908	0.0604994067986	1
1504863at2759	1504863at2759.faa.mafft.clipkit.treefile	2.7196026992	0.0795270791	0.0292421680282	0
1513531at2759	1513531at2759.faa.mafft.clipkit.treefile	4.6604667604	0.0003943677	8.46197860161e-05	0
1525971at2759	1525971at2759.faa.mafft.clipkit.treefile	3.6397231618	0.3933303032	0.108065994504	1
1530008at2759	1530008at2759.faa.mafft.clipkit.treefile	1.217829645	0.0744382989	0.0611237369739	1
1538526at2759	1538526at2759.faa.mafft.clipkit.treefile	2.1139273446	0.1735279539	0.0820879460892	1
1552706at2759	1552706at2759.faa.mafft.clipkit.treefile	3.2963837222	0.3338395303	0.101274474829	1
1558822at2759	1558822at2759.faa.mafft.clipkit.treefile	1.1013048474	0	0	0
156083at2759	156083at2759.faa.mafft.clipkit.treefile	0.8477235941	0	0	0
1567796at2759	1567796at2759.faa.mafft.clipkit.treefile	2.2585201971	0.1828324183	0.0809523060873	1
1575179at2759	1575179at2759.faa.mafft.clipkit.treefile	4.048175541	0.523159841	0.129233486963	1
1576404at2759	1576404at2759.faa.mafft.clipkit.treefile	2.9553148153	0.3796522378	0.128464228526	1
1588798at2759	1588798at2759.faa.mafft.clipkit.treefile	3.4245987773	0.2358866198	0.068880074759	1
1593937at2759	1593937at2759.faa.mafft.clipkit.treefile	4.7970237275	0.1060363168	0.0221046054436	0
160593at2759	160593at2759.faa.mafft.clipkit.treefile	4.0852575098	0.1814010067	0.0444038120644	0
1617752at2759	1617752at2759.faa.mafft.clipkit.treefile	3.8078007116	0.352624296	0.0926057645101	1
1620056at2759	1620056at2759.faa.mafft.clipkit.treefile	3.3006185766	0.1906005526	0.0577469186992	0
1623701at2759	1623701at2759.faa.mafft.clipkit.treefile	4.1448638143	0.4995405587	0.120520379216	1
1626636at2759	1626636at2759.faa.mafft.clipkit.treefile	2.1241186614	0	0	0
1633672at2759	1633672at2759.faa.mafft.clipkit.treefile	1.436989478	0.1181159028	0.0821967763914	1
1645187at2759	1645187at2759.faa.mafft.clipkit.treefile	2.3385494125	0.1162281104	0.0497009427206	0
166920at2759	166920at2759.faa.mafft.clipkit.treefile	3.0908937593	0.1156227417	0.0374075431587	0
176625at2759	176625at2759.faa.mafft.clipkit.treefile	4.195266908	0.1172205121	0.0279411333464	0
179362at2759	179362at2759.faa.mafft.clipkit.treefile	5.1510270834	0.2684608829	0.0521179327061	0
245208at2759	245208at2759.faa.mafft.clipkit.treefile	2.0895184205	0.0641832673	0.030716775057	0
257318at2759	257318at2759.faa.mafft.clipkit.treefile	3.870771174	0.1223458039	0.0316076043766	0
261328at2759	261328at2759.faa.mafft.clipkit.treefile	2.6482740904	0	0	0
261419at2759	261419at2759.faa.mafft.clipkit.treefile	2.8438738486	0	0	0
270107at2759	270107at2759.faa.mafft.clipkit.treefile	3.372296097	0.1333889168	0.0395543312222	0
271586at2759	271586at2759.faa.mafft.clipkit.treefile	4.9254142342	0.233659136	0.0474394893281	0
290630at2759	290630at2759.faa.mafft.clipkit.treefile	1.9315781075	0.0730642757	0.0378262082265	0
293315at2759	293315at2759.faa.mafft.clipkit.treefile	3.3743254712	0.1143866357	0.0338991115932	0
296129at2759	296129at2759.faa.mafft.clipkit.treefile	1.6857660284	0.0856021285	0.0507793650233	0
299766at2759	299766at2759.faa.mafft.clipkit.treefile	4.7687099084	0.1544487682	0.0323879563166	0
306227at2759	306227at2759.faa.mafft.clipkit.treefile	2.5664327004	0	0	0
320059at2759	320059at2759.faa.mafft.clipkit.treefile	0.8497846386	0.0343658337	0.0404406388854	0
324863at2759	324863at2759.faa.mafft.clipkit.treefile	3.5687796003	0.1379818447	0.0386635937642	0
325552at2759	325552at2759.faa.mafft.clipkit.treefile	2.66124948	0.1334346438	0.050139847768	0
330169at2759	330169at2759.faa.mafft.clipkit.treefile	4.8463442011	0.2969441972	0.0612717926912	1
331411at2759	331411at2759.faa.mafft.clipkit.treefile	3.948524933	0.1511336657	0.0382759810979	0
341721at2759	341721at2759.faa.mafft.clipkit.treefile	4.2356945716	0.2001643773	0.047256565344	0
345441at2759	345441at2759.faa.mafft.clipkit.treefile	1.5774944373	0	0	0
355408at2759	355408at2759.faa.mafft.clipkit.treefile	2.616368873	0.1305794297	0.0499086466926	0
369837at2759	369837at2759.faa.mafft.clipkit.treefile	2.9741677764	0.1414671412	0.0475652861021	0
375960at2759	375960at2759.faa.mafft.clipkit.treefile	3.1650896639	0.126712166	0.0400343053296	0
383503at2759	383503at2759.faa.mafft.clipkit.treefile	4.1217998543	0.2488555668	0.0603754611084	1
388820at2759	388820at2759.faa.mafft.clipkit.treefile	3.0775923387	0.1424365056	0.0462817975626	0
390348at2759	390348at2759.faa.mafft.clipkit.treefile	2.3067348537	0.1304598945	0.0565560858851	0
392369at2759	392369at2759.faa.mafft.clipkit.treefile	1.4443313565	0.0706202319	0.0488947578284	0
39650at2759	39650at2759.faa.mafft.clipkit.treefile	2.9087206319	0.1343239444	0.0461797337726	0
396755at2759	396755at2759.faa.mafft.clipkit.treefile	3.967320565	0.2144689143	0.0540588820052	0
418107at2759	418107at2759.faa.mafft.clipkit.treefile	2.2074115413	0.1701508822	0.0770816311397	1
426305at2759	426305at2759.faa.mafft.clipkit.treefile	2.3352780344	0.1082446287	0.0463519234564	0
450058at2759	450058at2759.faa.mafft.clipkit.treefile	6.0895439299	0.4628384919	0.0760054442875	1
453044at2759	453044at2759.faa.mafft.clipkit.treefile	2.5833331431	0.1884055186	0.0729311738609	1
457861at2759	457861at2759.faa.mafft.clipkit.treefile	3.366674474	0.2135471283	0.063429692995	1
464990at2759	464990at2759.faa.mafft.clipkit.treefile	2.4537866205	0.0926521082	0.0377588285085	0
513979at2759	513979at2759.faa.mafft.clipkit.treefile	3.7966882283	0.1866737611	0.0491675243989	0
543764at2759	543764at2759.faa.mafft.clipkit.treefile	3.7540744247	0.2058611092	0.0548367149691	0
549762at2759	549762at2759.faa.mafft.clipkit.treefile	2.1686698779	0	0	0
551907at2759	551907at2759.faa.mafft.clipkit.treefile	3.737876654	0.1716501106	0.0459218231335	0
570797at2759	570797at2759.faa.mafft.clipkit.treefile	5.2925575499	0.3113623832	0.0588302309922	0
582756at2759	582756at2759.faa.mafft.clipkit.treefile	5.2072887998	0.4091752143	0.0785773998776	1
598949at2759	598949at2759.faa.mafft.clipkit.treefile	4.5857729609	0.227003233	0.0495016292641	0
604979at2759	604979at2759.faa.mafft.clipkit.treefile	1.6785666629	0	0	0
621827at2759	621827at2759.faa.mafft.clipkit.treefile	2.732265724	0.1154614836	0.0422585118957	0
625387at2759	625387at2759.faa.mafft.clipkit.treefile	3.6308750534	0	0	0
655400at2759	655400at2759.faa.mafft.clipkit.treefile	3.7831386742	0.2759733581	0.0729482532539	1
664730at2759	664730at2759.faa.mafft.clipkit.treefile	1.6838220691	0.0734730149	0.0436346667788	0
671536at2759	671536at2759.faa.mafft.clipkit.treefile	2.6887921661	0.1363719537	0.0507186667007	0
671846at2759	671846at2759.faa.mafft.clipkit.treefile	5.4661444649	0.3181573534	0.058205075889	0
673132at2759	673132at2759.faa.mafft.clipkit.treefile	1.9218263479	0.0938526945	0.0488351585993	0
674160at2759	674160at2759.faa.mafft.clipkit.treefile	4.5146351629	0.1051941065	0.0233006882515	0
674169at2759	674169at2759.faa.mafft.clipkit.treefile	5.0303310927	0.2457337303	0.0488504088044	0
679187at2759	679187at2759.faa.mafft.clipkit.treefile	2.3927900237	0	0	0
679771at2759	679771at2759.faa.mafft.clipkit.treefile	2.4505348782	0	0	0
687505at2759	687505at2759.faa.mafft.clipkit.treefile	2.7183472324	0.2188911932	0.0805236323716	1
692986at2759	692986at2759.faa.mafft.clipkit.treefile	5.1461337348	0.458500464	0.0890961035271	1
708105at2759	708105at2759.faa.mafft.clipkit.treefile	4.7056936348	0.3221094398	0.068451001021	1
719531at2759	719531at2759.faa.mafft.clipkit.treefile	2.1408710654	0.0975430382	0.0455623132922	0
720340at2759	720340at2759.faa.mafft.clipkit.treefile	3.3571899004	0.1417267823	0.0422158967782	0
722805at2759	722805at2759.faa.mafft.clipkit.treefile	4.1285187261	0.1841252695	0.0445983854538	0
734341at2759	734341at2759.faa.mafft.clipkit.treefile	3.7129108925	0.18809125	0.0506587029546	0
734666at2759	734666at2759.faa.mafft.clipkit.treefile	1.7910749144	0.0889070359	0.0496389264264	0
736068at2759	736068at2759.faa.mafft.clipkit.treefile	3.9597913851	0.1173275062	0.0296297190406	0
751335at2759	751335at2759.faa.mafft.clipkit.treefile	4.8309378702	0.2312748037	0.0478736862104	0
759498at2759	759498at2759.faa.mafft.clipkit.treefile	2.6280743937	0.1782555397	0.06782743294	1
761109at2759	761109at2759.faa.mafft.clipkit.treefile	3.3953088208	0.1297250442	0.0382071413962	0
768809at2759	768809at2759.faa.mafft.clipkit.treefile	2.3846317114	0.1150641052	0.0482523589072	0
774318at2759	774318at2759.faa.mafft.clipkit.treefile	4.4116533185	0.170314497	0.0386055940266	0
777920at2759	777920at2759.faa.mafft.clipkit.treefile	2.4491446866	0.0953952435	0.03895043197	0
779909at2759	779909at2759.faa.mafft.clipkit.treefile	1.1151432456	0.1371755865	0.123011628364	1
801857at2759	801857at2759.faa.mafft.clipkit.treefile	3.1102607433	0.2147978688	0.0690610487441	1
814241at2759	814241at2759.faa.mafft.clipkit.treefile	3.6122287011	0.1788789704	0.0495203889902	0
817008at2759	817008at2759.faa.mafft.clipkit.treefile	1.4385157288	0.0547583246	0.0380658504483	0
834694at2759	834694at2759.faa.mafft.clipkit.treefile	3.3762376947	0.2641623861	0.0782416435059	1
836599at2759	836599at2759.faa.mafft.clipkit.treefile	3.2006594185	0.1883751269	0.0588550989872	0
83779at2759	83779at2759.faa.mafft.clipkit.treefile	3.5944450044	0.1920870776	0.0534399823519	0
844748at2759	844748at2759.faa.mafft.clipkit.treefile	2.1841862713	0	0	0
855834at2759	855834at2759.faa.mafft.clipkit.treefile	5.0071257312	0.2527074873	0.0504695709407	0
858842at2759	858842at2759.faa.mafft.clipkit.treefile	2.7840369874	0	0	0
865202at2759	865202at2759.faa.mafft.clipkit.treefile	3.4284828783	0.0900294406	0.026259265044	0
866359at2759	866359at2759.faa.mafft.clipkit.treefile	1.6962178819	0.0415688791	0.024506803957	0
869548at2759	869548at2759.faa.mafft.clipkit.treefile	3.5547889378	0.2179302932	0.0613061132498	1
878143at2759	878143at2759.faa.mafft.clipkit.treefile	2.9640971845	0.2460923497	0.0830243863079	1
87842at2759	87842at2759.faa.mafft.clipkit.treefile	3.690235965	0.0882462637	0.0239134474156	0
887370at2759	887370at2759.faa.mafft.clipkit.treefile	3.5384772741	0.1463124724	0.0413489931025	0
891751at2759	891751at2759.faa.mafft.clipkit.treefile	4.5336318827	0.2420773726	0.0533959039603	0
898782at2759	898782at2759.faa.mafft.clipkit.treefile	4.3659539219	0.2279094776	0.0522015306796	0
901894at2759	901894at2759.faa.mafft.clipkit.treefile	3.4269634015	0.1192116604	0.0347863827048	0
905026at2759	905026at2759.faa.mafft.clipkit.treefile	3.4677196017	0.2089879633	0.0602666845375	1
911863at2759	911863at2759.faa.mafft.clipkit.treefile	3.9923841123	0.2352653252	0.0589285295659	0
917326at2759	917326at2759.faa.mafft.clipkit.treefile	2.7312156573	0.0461590264	0.0169005425392	0
918816at2759	918816at2759.faa.mafft.clipkit.treefile	3.7668548473	0.1299110238	0.034487929338	0
919955at2759	919955at2759.faa.mafft.clipkit.treefile	2.9755650052	0.1166705852	0.0392095568392	0
923657at2759	923657at2759.faa.mafft.clipkit.treefile	4.2395545688	0.3684257587	0.0869019970662	1
924753at2759	924753at2759.faa.mafft.clipkit.treefile	3.6001692713	0.1674673059	0.0465165088861	0
931188at2759	931188at2759.faa.mafft.clipkit.treefile	4.172189255	0.2957171614	0.0708781752998	1
937275at2759	937275at2759.faa.mafft.clipkit.treefile	3.7365012517	0	0	0
937686at2759	937686at2759.faa.mafft.clipkit.treefile	1.8828671678	0	0	0
939345at2759	939345at2759.faa.mafft.clipkit.treefile	4.115223645	0.3811887498	0.0926289268053	1
944899at2759	944899at2759.faa.mafft.clipkit.treefile	1.208607879	0.0462033445	0.0382285647006	0
946128at2759	946128at2759.faa.mafft.clipkit.treefile	3.690182542	0.139172184	0.0377141733277	0
956854at2759	956854at2759.faa.mafft.clipkit.treefile	2.3892952623	0	0	0
97116at2759	97116at2759.faa.mafft.clipkit.treefile	3.0255828949	0.0872247509	0.0288290732497	0
973442at2759	973442at2759.faa.mafft.clipkit.treefile	3.6615514156	0.0791422805	0.0216144119028	0
974865at2759	974865at2759.faa.mafft.clipkit.treefile	2.5050359899	0.1356936404	0.0541683396754	0
975158at2759	975158at2759.faa.mafft.clipkit.treefile	3.2596946647	0.1994481754	0.0611861526663	1
975557at2759	975557at2759.faa.mafft.clipkit.treefile	4.1513503292	0.1951628472	0.047011895341	0
976469at2759	976469at2759.faa.mafft.clipkit.treefile	1.7863606926	0	0	0
981902at2759	981902at2759.faa.mafft.clipkit.treefile	5.2348608022	0.6126881082	0.117039999983	1
996662at2759	996662at2759.faa.mafft.clipkit.treefile	2.5755991563	0.1387171356	0.0538582004349	0
