	P_1	P_2	P_4	P_5	P_6	P_7	P_8	P_9	P_10	C_11	C_12	C_13	C_14	C_15	C_16	C_17	C_19	C_20
hsa-miR-146a	1.444498	1.441082	1.444206	1.468782	1.437455	1.438282	1.429593	1.431160	1.441457	1.457899	1.453372	1.454067	1.440470	1.436353	1.462700	1.453395	1.463174	1.431668
hsa-miR-148a	1.440386	1.432380	1.438261	1.457943	1.456785	1.464232	1.445640	1.446329	1.432454	1.451305	1.456104	1.472296	1.435688	1.454524	1.472851	1.457480	1.462136	1.436700
hsa-miR-148b	1.428488	1.437057	1.434850	1.469091	1.452412	1.455557	1.443107	1.439010	1.442918	1.450051	1.451982	1.468514	1.436117	1.444758	1.476802	1.455827	1.462293	1.431010
hsa-miR-150	1.426055	1.424330	1.401986	1.434488	1.436413	1.441282	1.419455	1.443785	1.436822	1.390615	1.455407	1.434709	1.447422	1.414811	1.437266	1.422390	1.416204	1.424615
hsa-miR-151-3p	1.454251	1.455725	1.453688	1.519653	1.458377	1.458894	1.454674	1.452839	1.457104	1.474714	1.470700	1.460409	1.455731	1.457273	1.475092	1.467582	1.467403	1.443348
hsa-miR-151-5p	1.433026	1.440775	1.444211	1.466771	1.436127	1.433445	1.430462	1.436983	1.432008	1.455800	1.462150	1.460251	1.434667	1.438726	1.466307	1.454207	1.452838	1.424202
hsa-miR-152	1.472772	1.468119	1.470845	1.499926	1.499422	1.498711	1.477926	1.478647	1.484809	1.485150	1.487553	1.489673	1.480549	1.479794	1.502830	1.492667	1.498972	1.470081
hsa-miR-154	1.483896	1.541576	1.494257	1.534706	1.514916	1.518029	1.495017	1.497970	1.498543	1.517253	1.517072		1.500001	1.490541	1.548270	1.523612	1.522119	1.489644
hsa-miR-155	1.514366	1.498934	1.522854	1.520936	1.484461	1.494624	1.496553	1.494964	1.497638	1.499258	1.539391	1.543870	1.513306	1.495903	1.515513	1.499339	1.502761	1.502807
hsa-miR-15a	1.372491	1.389980	1.371251	1.394572	1.376646	1.388521	1.369518	1.372593	1.371751	1.383253	1.407667	1.412954	1.378578	1.388736	1.421379	1.396035	1.395922	1.369708
hsa-miR-15b	1.413928	1.422293	1.414701	1.429652	1.417659	1.428901	1.402833	1.407994	1.413144	1.427287	1.439384	1.436849	1.406983	1.413981	1.448417	1.428433	1.430802	1.397889
hsa-miR-15b*	1.488359	1.489943	1.473379	1.498970	1.486276	1.495355	1.477304	1.474433	1.486250	1.501354	1.519154	1.509010	1.483391	1.488028	1.515003	1.500440	1.506369	1.477414
hsa-miR-16	1.340507	1.347711	1.327330	1.349734	1.337295	1.356336	1.321776	1.318819	1.320482	1.350650	1.379384	1.394181	1.344685	1.339443	1.378181	1.356317	1.361059	1.329496
hsa-miR-16-2*	1.464907	1.481379	1.453224	1.489039	1.480682	1.489693	1.469072	1.467110	1.470052	1.482064	1.494636	1.485215	1.466779	1.472681	1.509364	1.485430	1.489547	1.465983
hsa-miR-17	1.464241	1.476195	1.455576	1.469048	1.455608	1.464078	1.451321	1.444815	1.449199	1.470683	1.494845	1.517685	1.461259	1.473018	1.496013	1.471184	1.475654	1.458430
hsa-miR-181a	1.442460	1.454473	1.449696	1.462693	1.450773	1.448344	1.442865	1.447603	1.428895	1.448109	1.457525	1.460426	1.448133	1.443226	1.472282	1.451512	1.458798	1.439902
hsa-miR-182	1.517970	1.538952	1.503011	1.535082	1.526604	1.536926	1.528707	1.544686	1.507902	1.518717	1.541537	1.566315	1.539051	1.527029		1.524096	1.514563	1.507312
hsa-miR-185	1.400175	1.411580	1.383625	1.423636	1.405444	1.420394	1.406761	1.401220	1.412506	1.409460	1.415482	1.404906	1.407585	1.401405	1.433401	1.425364	1.415479	1.393329
hsa-miR-186	1.440176	1.453328	1.434199	1.464074	1.463168	1.462654	1.448239	1.444195	1.446565	1.442964	1.449170	1.451461	1.449254	1.449659	1.483969	1.458696	1.459270	1.441542
hsa-miR-18a	1.451494	1.468521	1.453657	1.491479	1.468912	1.481536	1.461808	1.466281	1.461508	1.474476	1.483734	1.487459	1.464342	1.466646	1.497563	1.485604	1.477203	1.455716
hsa-miR-18a*	1.511672	1.500773	1.498840	1.522695	1.529510	1.511032	1.492354	1.491640	1.509892	1.527723	1.514702	1.545909	1.505301	1.521370	1.536256	1.529214	1.528065	1.511154
hsa-miR-18b	1.451775	1.465840	1.446313	1.480888	1.469457	1.476735	1.459750	1.463623	1.461342	1.462454	1.485057	1.482834	1.449355	1.465048	1.490985	1.478589	1.467912	1.447945
hsa-miR-191	1.500722	1.452655	1.436169	1.471573	1.449505	1.446655	1.442986	1.442839	1.444132	1.461613	1.466621	1.461589	1.437244	1.456017	1.476866	1.463304	1.447693	1.436005
hsa-miR-192	1.447942	1.439444	1.445507	1.476375	1.476239	1.477117	1.466638	1.467993	1.444596	1.461140	1.474587	1.486744	1.462609	1.464712	1.486867	1.460586	1.457283	1.447989
hsa-miR-193b	1.493618	1.477297	1.509925	1.495697	1.510695	1.509640	1.488272	1.505168	1.492575	1.485178	1.520439	1.530738	1.486595	1.495188	1.539798	1.495366	1.506719	1.498850
hsa-miR-194	1.480570	1.459684	1.472010	1.489232	1.485489	1.497696	1.484080	1.483716	1.463834	1.484213	1.488539	1.505257	1.478971	1.485062	1.509987	1.478558	1.488644	1.465625
hsa-miR-195	1.491641	1.490933	1.500382	1.529024	1.506996	1.527730	1.504573	1.515340	1.512020	1.510464	1.534536	1.513199	1.489851	1.528990	1.537593	1.510939	1.506935	1.487877
hsa-miR-197	1.476999	1.466561	1.461608	1.463271	1.461475	1.458921	1.459563	1.455171	1.449233	1.459319	1.477264	1.464684	1.454641	1.473208	1.496286	1.475783	1.472924	1.454469
hsa-miR-1974	1.399864	1.386564	1.384156	1.407869	1.385094	1.368282	1.382909	1.361703	1.392120	1.429647	1.403602	1.406545	1.380149	1.410145	1.428677	1.419198	1.423221	1.392897
hsa-miR-199a-3p	1.440296	1.455320	1.450695	1.458199	1.445085	1.438371	1.436160	1.438297	1.439501	1.464914	1.467379	1.481854	1.439660	1.448887	1.482153	1.463977	1.473405	1.431346
hsa-miR-199a-5p	1.433859	1.464675	1.456109	1.479002	1.459101	1.453880	1.447230	1.451564	1.450573	1.474275	1.477847	1.490883	1.440772	1.469054	1.507435	1.472637	1.468648	1.442137
hsa-miR-19a	1.432951	1.446539	1.426838	1.473390	1.454730	1.471244	1.451972	1.443791	1.447464	1.447189	1.457859	1.460923	1.435038	1.449977	1.487216	1.459843	1.452687	1.441534
hsa-miR-19b	1.362071	1.373376	1.343273	1.400357	1.385116	1.396717	1.371178	1.368514	1.372279	1.358909	1.379414	1.235114	1.365246	1.370442	1.407000	1.385090	1.376885	1.361410
hsa-miR-200c	1.519286	1.531375	1.505072	1.537640	1.517233	1.531195	1.524102	1.510751	1.520214	1.536903	1.512311	1.520713	1.500418	1.530887	1.553587	1.527097	1.527378	1.505168
hsa-miR-205	1.497383	1.494724	1.549308	1.522264	1.504392	1.544017	1.504761	1.516139	1.501448	1.497059	1.532787	1.526691	1.498453	1.524857	1.549853	1.485427	1.497589	1.500944
hsa-miR-20a	1.389632	1.407027	1.391553	1.410300	1.388602	1.398535	1.376105	1.378037	1.377421	1.413030	1.435318	1.442133	1.391651	1.399658	1.431647	1.408786	1.412326	1.383232
hsa-miR-20a*	1.492010	1.527244	1.534238		1.543262	1.528605	1.509166	1.523863	1.510166			1.543227	1.526281	1.551379	1.541968	1.510508	1.541413	1.515630
hsa-miR-20b	1.493169	1.507018	1.482705	1.497685	1.486216	1.494683	1.486978	1.494650	1.474533	1.507689	1.514461	1.521918	1.493446	1.505128	1.542424	1.509673	1.516149	1.502166
hsa-miR-21	1.400529	1.373180	1.366448	1.420159	1.402904	1.409365	1.392820	1.394448	1.396677	1.379677	1.392148	1.379800	1.370534	1.377672	1.403853	1.386195	1.382246	1.367725
hsa-miR-210	1.458764	1.451778	1.448032	1.494606	1.480731	1.490444	1.475094	1.472675	1.465707	1.463620	1.470670	1.461729	1.453561	1.478136	1.488684	1.486174	1.480867	1.468856
hsa-miR-2110	1.495869	1.477306	1.471329	1.489347	1.451990	1.492169	1.495751	1.489517	1.492755	1.475223	1.485770	1.489254	1.478091	1.487932	1.508391	1.512213	1.516874	1.473532
hsa-miR-215	1.463929	1.452489	1.466891	1.497840	1.485699	1.490278	1.473321	1.476883	1.460336	1.468206	1.484985	1.496386	1.479973	1.475372	1.503868	1.475018	1.478312	1.456464
hsa-miR-22	1.413990	1.419230	1.405764	1.445224	1.427548	1.431363	1.422547	1.409747	1.421705	1.419428	1.425731	1.422439	1.418027	1.416919	1.445992	1.426612	1.428869	1.407587
hsa-miR-22*	1.464096	1.475835	1.460631	1.476516	1.461293	1.473850	1.461198	1.457952	1.455637	1.475133	1.491736	1.485604	1.464922	1.476887	1.497642	1.481801	1.468028	1.457413
hsa-miR-221	1.419661	1.426092	1.424490	1.427600	1.411144	1.412861	1.400443	1.399700	1.410929	1.454062	1.443339	1.456120	1.409826	1.419410	1.474115	1.441489	1.447454	1.413202
hsa-miR-222	1.453465	1.463710	1.452002	1.450442	1.444824	1.447153	1.438573	1.437838	1.441422	1.452854	1.472462	1.493783	1.449154	1.465575	1.493795	1.463452	1.477998	1.462508
hsa-miR-223	1.339750	1.331359	1.334707	1.347939	1.346128	1.348347	1.337435	1.333967	1.325249	1.330424	1.344536	1.342114	1.323371	1.342659	1.374828	1.351551	1.367122	1.317815
hsa-miR-223*	1.497792	1.496451	1.490631	1.491754	1.485663	1.486068	1.480898	1.483644	1.487863	1.483845	1.501582	1.301930	1.483225	1.509337	1.519393	1.494945	1.505744	1.478668
hsa-miR-23a	1.386176	1.387570	1.385716	1.403694	1.390706	1.392064	1.385380	1.382848	1.384121	1.398886	1.400730	1.394359	1.381113	1.394725	1.420773	1.398602	1.403308	1.373826
hsa-miR-23b	1.415983	1.420257	1.423201	1.445025	1.427545	1.424778	1.423048	1.421413	1.418337	1.435850	1.438395	1.429851	1.423582	1.429542	1.452903	1.440943	1.444139	1.410163
hsa-miR-24	1.387000	1.392318	1.395959	1.407061	1.393551	1.389168	1.385836	1.386194	1.380426	1.396511	1.404883	1.401056	1.386583	1.401401	1.420535	1.407581	1.405287	1.377535
hsa-miR-25	1.410128	1.424744	1.390392	1.425365	1.410847	1.425071	1.405971	1.403147	1.403797	1.407722	1.425685	1.418327	1.419844	1.412426	1.441927	1.433660	1.425778	1.406684
hsa-miR-26a	1.398701	1.410659	1.412177	1.433330	1.404676	1.408323	1.399597	1.406181	1.403677	1.428142	1.436593	1.436806	1.400946	1.405430	1.446006	1.415392	1.429603	1.393037
hsa-miR-26b	1.437321	1.437033	1.469147	1.457283	1.439102	1.440694	1.436677	1.438227	1.431264	1.448535	1.465152	1.469437	1.437294	1.438079	1.474021	1.439248	1.468309	1.413049
hsa-miR-27a	1.402768	1.407084	1.411566	1.435850	1.424702	1.426311	1.412112	1.408858	1.414320	1.430650	1.432294	1.453551	1.398372	1.427808	1.450150	1.421176	1.433637	1.401557
hsa-miR-27b	1.417946	1.418826	1.435436	1.454567	1.443422	1.436734	1.428104	1.429488	1.425564	1.441320	1.449439	1.460516	1.415637	1.444459	1.464353	1.438375	1.449185	1.416237
hsa-miR-28-3p	1.483021	1.477375	1.479139	1.501212	1.481700	1.477836	1.475380	1.485017	1.480134	1.482407	1.495844	1.493689	1.479262	1.480152	1.517104	1.490827	1.497996	1.472748
hsa-miR-28-5p	1.497272	1.480907	1.481075	1.519162	1.479596	1.475676	1.476545	1.486750	1.473414	1.490455	1.491038	1.494688	1.483677	1.485926	1.513058	1.491739	1.502235	1.471138
hsa-miR-297	1.478965	1.456999	1.461712	1.500331	1.513958	1.513794	1.505223	1.488207	1.503991	1.465162	1.464076	1.470535	1.464407	1.504309	1.521795	1.535361	1.537005	1.493443
hsa-miR-29a	1.447235	1.438744	1.430282	1.459220	1.462070	1.461642	1.444862	1.457072	1.448077	1.420457	1.455165	1.458800	1.431068	1.444958	1.468897	1.440453	1.446041	1.437738
hsa-miR-29a*	1.503504	1.495242	1.497150	1.591904	1.536521	1.445818	1.527685	1.524944	1.515954	1.483475	1.501321	1.499285	1.502999	1.511821	1.537595	1.518536	1.503440	1.499134
hsa-miR-29b	1.449695	1.458621	1.446994	1.497719	1.480041	1.491907	1.466810	1.455273	1.469844	1.445645	1.477252	1.485893	1.452286	1.467427	1.513166	1.466614	1.470678	1.461823
hsa-miR-29b-2*	1.524422	1.513386	1.486705		1.514073		1.502377	1.527992	1.505883	1.524361	1.524462	1.525716		1.521341		1.538275	1.528189	1.502710
hsa-miR-29c	1.420396	1.422869	1.407268	1.449915	1.442376	1.415178	1.428492	1.428507	1.429595	1.405330	1.432419	1.442739	1.415444	1.429907	1.458109	1.428471	1.435718	1.416426
hsa-miR-301a	1.494031	1.504709	1.494392	1.492508	1.481386	1.485810	1.486518	1.480421	1.486393	1.498812	1.517556	1.534973	1.476730	1.504890	1.564066	1.520977	1.506887	1.482067
hsa-miR-30a	1.503333	1.496380	1.501736	1.512096	1.526490	1.510913	1.509426	1.506802	1.504017	1.515122	1.517853	1.527388	1.494814	1.509804	1.544136	1.499548	1.515777	1.503364
hsa-miR-30b	1.440298	1.457063	1.459605	1.471790	1.451524	1.455482	1.444839	1.448503	1.443235	1.476471	1.490537	1.509342	1.443467	1.470745	1.504370	1.470261	1.475054	1.458055
hsa-miR-30c	1.435018	1.448540	1.449097	1.469312	1.439893	1.441490	1.437310	1.433625	1.436129	1.459076	1.476090	1.486671	1.438269	1.454083	1.485643	1.462279	1.475119	1.438589
hsa-miR-30d	1.452331	1.458708	1.453763	1.475705	1.452314	1.453945	1.446028	1.438244	1.446290	1.470304	1.484495	1.482619	1.455656	1.456413	1.488372	1.464187	1.471767	1.452407
hsa-miR-30e	1.477769	1.480267	1.465297	1.477123	1.469933	1.482416	1.467519	1.460544	1.459313	1.480257	1.493741	1.503716	1.470742	1.492584	1.509744	1.489733	1.489756	1.470115
hsa-miR-30e*	1.490890	1.490956	1.480716	1.482158	1.471890	1.476037	1.475413	1.470826	1.475401	1.492638	1.501500	1.505716	1.474864	1.480718	1.502041	1.478070	1.517885	1.471791
hsa-miR-32	1.473942	1.486963	1.470736	1.486107	1.476126	1.483217	1.464027	1.468406	1.462282	1.485795	1.498242	1.511931	1.462915	1.483888	1.512831	1.498221	1.497325	1.482648
hsa-miR-320a	1.396038	1.405779	1.389465	1.418373	1.400438	1.406260	1.395585	1.390541	1.394071	1.403249	1.408279	1.406604	1.406183	1.399434	1.412611	1.414078	1.415638	1.391491
hsa-miR-320b	1.399993	1.405051	1.403183	1.420021	1.402018	1.407278	1.396640	1.393381	1.399051	1.403574	1.406350	1.406079	1.406165	1.402830	1.411622	1.419025	1.424012	1.397978
hsa-miR-324-3p	1.458113	1.466798	1.452047	1.493326	1.469543	1.475929	1.466171	1.468078	1.462013	1.455869	1.470137	1.465506	1.461409	1.467226	1.486192	1.481763	1.479274	1.449378
hsa-miR-324-5p	1.464609	1.475633	1.463011	1.503969	1.480377	1.487702	1.473332	1.473672	1.476723	1.479508	1.488009	1.488614	1.470521	1.472500	1.502575	1.497309	1.485171	1.458665
hsa-miR-326	1.451400	1.459025	1.463183	1.493214	1.503828	1.475216	1.473255	1.463831	1.472074	1.473760	1.472920	1.481196	1.451763	1.481196	1.504695	1.484472	1.505274	1.465690
hsa-miR-328	1.463285	1.469955	1.465182	1.498536	1.471345	1.471930	1.460628	1.462457	1.461549	1.476784	1.471847	1.477178	1.469714	1.480105	1.519711	1.489805	1.500414	1.471226
hsa-miR-331-3p	1.478152	1.490864	1.491981	1.499271	1.479241	1.482667	1.469883	1.483434	1.470745	1.498030	1.492143	1.508887	1.479820	1.488304	1.516984	1.500326	1.500650	1.483510
hsa-miR-335	1.462824	1.471243	1.473835	1.501729	1.485699	1.491865	1.476656	1.474790	1.482846	1.485198	1.490416	1.506565	1.467461	1.473944	1.499752	1.484999	1.483088	1.460202
hsa-miR-338-3p	1.455030	1.446675	1.441084	1.474308	1.472040	1.471627	1.462283	1.457498	1.448570	1.436431	1.433463	1.442379	1.438383	1.461118	1.485023	1.463035	1.458576	1.430186
hsa-miR-339-3p	1.490192	1.509637	1.485194	1.526484	1.520541	1.516091	1.506306	1.498882	1.500068	1.523172	1.518670	1.514512	1.494913	1.506499	1.529393	1.520600	1.501080	1.493005
hsa-miR-339-5p	1.504120	1.506731	1.492675	1.550601	1.514430	1.504146	1.498855	1.493566	1.501365	1.501097	1.517342	1.516975	1.492216	1.505594	1.539707	1.522315	1.511050	1.492872
hsa-miR-33a	1.442485	1.461176	1.470918	1.512679	1.494567	1.487719	1.480295	1.487235	1.472838	1.476506	1.475110	1.500468	1.452894	1.484855	1.530801	1.489265	1.491880	1.468916
hsa-miR-342-3p	1.464521	1.457996	1.452315	1.458782	1.456320	1.461461	1.445081	1.459458	1.454439	1.434795	1.485016	1.485062	1.471187	1.446325	1.483134	1.455406	1.469849	1.452349
hsa-miR-346	1.508474	1.497881	1.496610	1.500098	1.508561	1.507082	1.517611	1.516843	1.506302	1.495191	1.492791	1.502002	1.505094	1.507175	1.512929	1.511615	1.524325	1.506373
hsa-miR-34a	1.502659	1.495031	1.502447	1.507560	1.512110	1.505564	1.488751	1.501770	1.476823	1.511131	1.522801	1.521398	1.496789	1.528456	1.551814	1.542353	1.526861	1.505706
hsa-miR-361-3p	1.495383	1.500872	1.493482	1.506607	1.493212	1.510287	1.497748	1.490937	1.491166	1.481157	1.499824	1.501580	1.499642	1.507086	1.515378	1.499969	1.505107	1.493862
hsa-miR-363	1.459327	1.458112	1.443915	1.440640	1.450246	1.458298	1.443984	1.441452	1.445260	1.458557	1.473277	1.468343	1.444975	1.444226	1.475083	1.451512	1.478977	1.450030
hsa-miR-365	1.502968	1.487845	1.493977	1.489157	1.490568	1.483900	1.478211	1.481855	1.469001	1.518797	1.509930	1.524888	1.487933	1.507095	1.541245	1.498835	1.497813	1.471773
hsa-miR-374a	1.478258	1.488109	1.474444	1.514975	1.493905	1.493533	1.482504	1.491414	1.489152	1.495361	1.505636	1.518724	1.471112	1.481810	1.508615	1.477874	1.500674	1.463724
hsa-miR-374b	1.458896	1.465218	1.468101	1.498923	1.469507	1.474437	1.466494	1.476950	1.468654	1.480313	1.492980	1.477241	1.464589	1.456801	1.488293	1.461687	1.463607	1.438184
hsa-miR-375	1.520000	1.495742	1.505895	1.541872	1.535277	1.519643	1.515820	1.513114	1.520743	1.495039	1.519771	1.550465	1.499003	1.522836	1.529782	1.487131	1.495682	1.508134
hsa-miR-376a	1.460928	1.501301	1.483078	1.518323	1.487022	1.511806	1.473839		1.487442	1.503152	1.514686	1.565292	1.488696	1.486213	1.527061	1.277984	1.513211	1.472152
hsa-miR-378	1.452806	1.439246	1.437604	1.476260	1.475362	1.479106	1.466167	1.459405	1.450239	1.445754	1.454676	1.453838	1.451160	1.463681	1.476019	1.474533	1.476906	1.458832
hsa-miR-382	1.474449	1.507878	1.488265	1.517594	1.502451	1.505411	1.491330	1.479309	1.557543	1.514792	1.501735	1.509780	1.497659	1.489032	1.528850	1.502503	1.505039	1.480103
hsa-miR-409-3p	1.463847	1.522834	1.480245	1.525889	1.483673	1.500233	1.469106	1.481496	1.477800	1.490487	1.495345	1.529218	1.494142	1.471224	1.520542	1.491181	1.506138	1.463996
hsa-miR-421	1.493457	1.495901	1.492614	1.509197	1.504198	1.505638	1.503662	1.500018	1.499688	1.496358	1.533045	1.516777	1.516534	1.502755	1.530617	1.512195	1.519287	1.498271
