	P_1	P_2	P_4	P_5	P_6	P_7	P_8	P_9	P_10	C_11	C_12	C_13	C_14	C_15	C_16	C_17	C_19	C_20
hsa-miR-30a	1.500271	1.514899																
hsa-miR-30b	1.456033	1.490021																
hsa-miR-30c	1.444818	1.478046																
hsa-miR-30d	1.457439	1.482207																
hsa-miR-30e	1.471619	1.494647																
hsa-miR-30e*	1.486605	1.497705																
hsa-miR-32	1.452869	1.485703																
hsa-miR-320a	1.386818	1.415965																
hsa-miR-320b	1.388959	1.413201																
hsa-miR-324-3p	1.441519	1.470805																
hsa-miR-324-5p	1.466591	1.496826																
hsa-miR-326	1.466597	1.514992																
hsa-miR-328	1.470607	1.517482																
hsa-miR-331-3p	1.484103	1.510827																
hsa-miR-335	1.474846	1.512700																
hsa-miR-338-3p	1.436900	1.478169																
hsa-miR-339-3p	1.498153	1.528929																
hsa-miR-339-5p	1.503843	1.538545																
hsa-miR-33a	1.464165	1.523847																
hsa-miR-342-3p	1.471786	1.468244																
hsa-miR-346	1.501508	1.514827																
hsa-miR-34a	1.520687	1.540291																
hsa-miR-361-3p	1.487397	1.543481																
hsa-miR-363	1.433941	1.458126																
hsa-miR-365	1.497013	1.510136																
hsa-miR-374a	1.475498	1.485008																
hsa-miR-374b	1.462338	1.476154																
hsa-miR-375	1.509996	1.495669																
hsa-miR-376a	1.498325	1.519573																
hsa-miR-378	1.443699	1.469571																
hsa-miR-382	1.489104	1.530025																
hsa-miR-409-3p	1.481774	1.521767																
hsa-miR-421	1.495045	1.525705																
hsa-miR-423-3p	1.443623	1.478941																
hsa-miR-423-5p	1.439814	1.467349																
hsa-miR-424	1.417136	1.438103																
hsa-miR-425	1.418603	1.445284																
hsa-miR-425*	1.477616	1.529224																
hsa-miR-451	1.240708	1.283770																
hsa-miR-484	1.423026	1.454695																
hsa-miR-485-3p	1.412861	1.338670																
hsa-miR-486-5p	1.359837	1.386532																
hsa-miR-495	1.489866	1.503857																
hsa-miR-497	1.481018	1.516892																
hsa-miR-500a	1.484167	1.523443																
hsa-miR-501-3p	1.510341	1.526609																
hsa-miR-502-3p	1.488055	1.510072																
hsa-miR-505	1.488675	1.499764																
hsa-miR-532-3p	1.486153	1.489506																
hsa-miR-532-5p	1.472005	1.498750																
hsa-miR-543	1.502430	1.512083																
hsa-miR-551b	1.524352																	
hsa-miR-574-3p	1.487625	1.500320																
hsa-miR-584	1.490056	1.523474																
hsa-miR-590-5p	1.457104	1.495271																
hsa-miR-605	1.431853	1.363600																
hsa-miR-629	1.481057	1.496491																
hsa-miR-652	1.441190	1.462548																
hsa-miR-660	1.470037	1.493415																
hsa-miR-720	1.357331	1.315000																
hsa-miR-766	1.482446	1.532576																
hsa-miR-885-5p	1.541070	1.542289																
hsa-miR-92a	1.358874	1.389382																
hsa-miR-92b	1.515538	1.531874																
hsa-miR-93	1.378429	1.414677																
hsa-miR-93*	1.488406	1.502701																
hsa-miR-95	1.539289	1.561340																
hsa-miR-99a	1.478698	1.509589																
hsa-miR-99b	1.478535	1.531408																
