variableMetadata	gene	condition_ttest_patient.control_dif	condition_ttest_patient.control_BY	condition_ttest_patient.control_sig
hsa-miR-155	hsa-miR-155	-0.0096464444444444	1	0
hsa-miR-15a	hsa-miR-15a	-0.0163232222222223	0.690709489442385	0
hsa-miR-15b	hsa-miR-15b	-0.00876888888888883	1	0
hsa-miR-15b*	hsa-miR-15b*	-0.0144326666666665	0.662008624740654	0
hsa-miR-16	hsa-miR-16	-0.0237117777777778	0.58005185151778	0
hsa-miR-16-2*	hsa-miR-16-2*	-0.00961566666666669	1	0
hsa-miR-17	hsa-miR-17	-0.0209655555555557	0.58005185151778	0
hsa-miR-181a	hsa-miR-181a	-0.00579011111111116	1	0
hsa-miR-182	hsa-miR-182	-0.00317861111111095	1	0
hsa-miR-185	hsa-miR-185	-0.00456333333333325	1	0
hsa-miR-186	hsa-miR-186	-0.00326522222222225	1	0
hsa-miR-18a	hsa-miR-18a	-0.0097274444444444	1	0
hsa-miR-18a*	hsa-miR-18a*	-0.0168095555555556	0.58005185151778	0
hsa-miR-18b	hsa-miR-18b	-0.00605066666666665	1	0
hsa-miR-191	hsa-miR-191	-0.00219066666666667	1	0
hsa-miR-192	hsa-miR-192	-0.00674066666666673	1	0
hsa-miR-193b	hsa-miR-193b	-0.00844266666666682	1	0
hsa-miR-194	hsa-miR-194	-0.00761611111111105	1	0
hsa-miR-195	hsa-miR-195	-0.0046383333333333	1	0
hsa-miR-197	hsa-miR-197	-0.00841955555555574	1	0
hsa-miR-1974	hsa-miR-1974	-0.0250577777777778	0.521035124340767	0
hsa-miR-199a-3p	hsa-miR-199a-3p	-0.0168501111111112	0.690709489442385	0
hsa-miR-199a-5p	hsa-miR-199a-5p	-0.0164105555555556	1	0
hsa-miR-19a	hsa-miR-19a	-0.00481633333333331	1	0
hsa-miR-19b	hsa-miR-19b	0.0148190000000001	1	0
hsa-miR-200c	hsa-miR-200c	-0.00195488888888895	1	0
hsa-miR-205	hsa-miR-205	0.00230844444444456	1	0
hsa-miR-20a	hsa-miR-20a	-0.0222854444444445	0.58005185151778	0
hsa-miR-20a*	hsa-miR-20a*	-0.0118458928571428	1	0
hsa-miR-20b	hsa-miR-20b	-0.0217130000000001	0.521035124340767	0
hsa-miR-21	hsa-miR-21	0.0129644444444446	1	0
hsa-miR-210	hsa-miR-210	-0.00160733333333329	1	0
hsa-miR-2110	hsa-miR-2110	-0.00791633333333341	1	0
hsa-miR-215	hsa-miR-215	-0.00565755555555558	1	0
hsa-miR-22	hsa-miR-22	-0.00160955555555553	1	0
hsa-miR-22*	hsa-miR-22*	-0.012462	0.724516999895327	0
hsa-miR-221	hsa-miR-221	-0.0251218888888889	0.58005185151778	0
hsa-miR-222	hsa-miR-222	-0.0224613333333334	0.521035124340767	0
hsa-miR-223	hsa-miR-223	-0.00550433333333333	1	0
hsa-miR-223*	hsa-miR-223*	0.0135661111111112	1	0
hsa-miR-23a	hsa-miR-23a	-0.00756077777777775	1	0
hsa-miR-23b	hsa-miR-23b	-0.00953122222222214	1	0
hsa-miR-24	hsa-miR-24	-0.00931766666666678	1	0
hsa-miR-25	hsa-miR-25	-0.0102878888888889	1	0
hsa-miR-26a	hsa-miR-26a	-0.012737111111111	1	0
hsa-miR-26b	hsa-miR-26b	-0.00737511111111133	1	0
hsa-miR-27a	hsa-miR-27a	-0.011736	1	0
hsa-miR-27b	hsa-miR-27b	-0.00993711111111106	1	0
hsa-miR-28-3p	hsa-miR-28-3p	-0.00769055555555553	1	0
hsa-miR-28-5p	hsa-miR-28-5p	-0.00595077777777786	1	0
hsa-miR-297	hsa-miR-297	-0.00365700000000002	1	0
hsa-miR-29a	hsa-miR-29a	0.00506966666666653	1	0
hsa-miR-29a*	hsa-miR-29a*	0.00901288888888874	1	0
hsa-miR-29b	hsa-miR-29b	-0.0026533333333334	1	0
hsa-miR-29b-2*	hsa-miR-29b-2*	-0.012888	1	0
hsa-miR-29c	hsa-miR-29c	-0.00221855555555561	1	0
hsa-miR-301a	hsa-miR-301a	-0.0223099999999998	0.930977907255023	0
hsa-miR-30a	hsa-miR-30a	-0.00629033333333351	1	0
hsa-miR-30b	hsa-miR-30b	-0.0251070000000002	0.58005185151778	0
hsa-miR-30c	hsa-miR-30c	-0.0206005555555555	0.58005185151778	0
hsa-miR-30d	hsa-miR-30d	-0.0165435555555553	0.58005185151778	0
hsa-miR-30e	hsa-miR-30e	-0.0178007777777778	0.58005185151778	0
hsa-miR-30e*	hsa-miR-30e*	-0.0123262222222222	1	0
hsa-miR-32	hsa-miR-32	-0.0179988888888889	0.58005185151778	0
hsa-miR-320a	hsa-miR-320a	-0.00677966666666663	1	0
hsa-miR-320b	hsa-miR-320b	-0.00566877777777774	1	0
hsa-miR-324-3p	hsa-miR-324-3p	-0.000526222222222206	1	0
hsa-miR-324-5p	hsa-miR-324-5p	-0.00487155555555541	1	0
hsa-miR-326	hsa-miR-326	-0.00732666666666648	1	0
hsa-miR-328	hsa-miR-328	-0.0146574444444445	0.982591623065224	0
hsa-miR-331-3p	hsa-miR-331-3p	-0.0136017777777777	0.588821495227396	0
hsa-miR-335	hsa-miR-335	-0.00334866666666644	1	0
hsa-miR-338-3p	hsa-miR-338-3p	0.00894677777777786	1	0
hsa-miR-339-3p	hsa-miR-339-3p	-0.00538322222222209	1	0
hsa-miR-339-5p	hsa-miR-339-5p	-0.00363100000000016	1	0
hsa-miR-33a	hsa-miR-33a	-0.00675366666666677	1	0
hsa-miR-342-3p	hsa-miR-342-3p	-0.00808333333333344	1	0
hsa-miR-346	hsa-miR-346	0.000218555555555611	1	0
hsa-miR-34a	hsa-miR-34a	-0.0238437777777778	0.521035124340767	0
hsa-miR-361-3p	hsa-miR-361-3p	-0.00265677777777773	1	0
hsa-miR-363	hsa-miR-363	-0.0115273333333334	0.958205105452492	0
hsa-miR-365	hsa-miR-365	-0.0200918888888888	0.654377677725419	0
hsa-miR-374a	hsa-miR-374a	-0.00191511111111109	1	0
hsa-miR-374b	hsa-miR-374b	0.00260944444444444	1	0
hsa-miR-375	hsa-miR-375	0.00669588888888883	1	0
hsa-miR-376a	hsa-miR-376a	0.00730659722222216	1	0
hsa-miR-378	hsa-miR-378	-0.00213377777777768	1	0
hsa-miR-382	hsa-miR-382	-0.000584777777777656	1	0
hsa-miR-409-3p	hsa-miR-409-3p	-0.00635000000000008	1	0
hsa-miR-421	hsa-miR-421	-0.0134962222222224	0.58005185151778	0
hsa-miR-423-3p	hsa-miR-423-3p	-0.0133708888888888	0.843189933040419	0
hsa-miR-423-5p	hsa-miR-423-5p	-0.0066951111111111	1	0
hsa-miR-424	hsa-miR-424	0.000462000000000184	1	0
hsa-miR-425	hsa-miR-425	-0.00427500000000003	1	0
hsa-miR-425*	hsa-miR-425*	-0.0115775555555555	0.58005185151778	0
hsa-miR-451	hsa-miR-451	-0.0182927777777779	1	0
hsa-miR-484	hsa-miR-484	-0.0145245555555555	0.58005185151778	0
hsa-miR-485-3p	hsa-miR-485-3p	-0.0392491111111111	1	0
hsa-miR-486-5p	hsa-miR-486-5p	-0.0201882222222221	0.521035124340767	0
hsa-miR-495	hsa-miR-495	-0.0207310000000001	1	0
hsa-miR-497	hsa-miR-497	-0.00297233333333335	1	0
hsa-miR-500a	hsa-miR-500a	-0.00219545833333346	1	0
hsa-miR-501-3p	hsa-miR-501-3p	-0.0142742222222223	0.958205105452492	0
hsa-miR-502-3p	hsa-miR-502-3p	-0.00728122222222227	1	0
hsa-miR-505	hsa-miR-505	-0.00837833333333338	1	0
hsa-miR-532-3p	hsa-miR-532-3p	-0.0139837777777778	1	0
hsa-miR-532-5p	hsa-miR-532-5p	-0.0147952222222223	0.521035124340767	0
hsa-miR-543	hsa-miR-543	-0.0124404444444446	1	0
hsa-miR-551b	hsa-miR-551b	-0.0121191111111112	1	0
hsa-miR-574-3p	hsa-miR-574-3p	-0.00924266666666673	0.724516999895327	0
hsa-miR-584	hsa-miR-584	-0.00206011111111115	1	0
hsa-miR-590-5p	hsa-miR-590-5p	7.86666666665603e-05	1	0
hsa-miR-605	hsa-miR-605	-0.0351102222222222	1	0
hsa-miR-629	hsa-miR-629	-0.00413255555555536	1	0
hsa-miR-652	hsa-miR-652	-0.0180925555555556	0.58005185151778	0
hsa-miR-660	hsa-miR-660	-0.00510022222222228	1	0
hsa-miR-720	hsa-miR-720	-0.0214470416666666	1	0
hsa-miR-766	hsa-miR-766	-0.0191365555555554	0.58005185151778	0
hsa-miR-885-5p	hsa-miR-885-5p	-0.0156296666666667	0.943944628981095	0
hsa-miR-92a	hsa-miR-92a	-0.0197974444444446	0.521035124340767	0
hsa-miR-92b	hsa-miR-92b	-0.0063584722222223	1	0
hsa-miR-93	hsa-miR-93	-0.0165172222222221	0.58005185151778	0
hsa-miR-93*	hsa-miR-93*	-0.0020691111111113	1	0
hsa-miR-95	hsa-miR-95	-0.0010344166666667	1	0
hsa-miR-99a	hsa-miR-99a	-0.00940711111111114	1	0
hsa-miR-99b	hsa-miR-99b	-0.0081526666666667	1	0
