## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --TAGGING_POLICY All --INPUT BAM_filter_on_dataset_21 --OUTPUT /corral4/main/jobs/079/404/79404872/outputs/dataset_d525f437-aea8-4428-ad46-b871aa81dad0.dat --METRICS_FILE /corral4/main/jobs/079/404/79404872/outputs/dataset_3a87b5fe-0806-4b5e-8d2a-837914d54e10.dat --REMOVE_DUPLICATES true --ASSUME_SORTED true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --VERBOSITY ERROR --QUIET true --VALIDATION_STRINGENCY LENIENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 27 22:14:22 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	16301622	0	0	0	4119521	0	0.252706	26554111

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
93.0	2.179764	1	1
94.0	2.179764	2	2
95.0	2.179764	0	0
96.0	2.179764	4	4
97.0	2.179764	3	3
98.0	2.179764	3	3
99.0	2.179764	2	2
100.0	2.179764	1	1
101.0	0	3	3
102.0	0	2	2
103.0	0	1	1
105.0	0	3	3
106.0	0	3	3
107.0	0	6	6
108.0	0	4	4
109.0	0	1	1
110.0	0	3	3
111.0	0	5	5
112.0	0	2	2
113.0	0	4	4
114.0	0	2	2
115.0	0	5	5
116.0	0	2	2
117.0	0	2	2
119.0	0	1	1
120.0	0	3	3
121.0	0	2	2
122.0	0	1	1
123.0	0	2	2
124.0	0	4	4
125.0	0	3	3
126.0	0	3	3
128.0	0	3	3
129.0	0	3	3
131.0	0	1	1
132.0	0	1	1
133.0	0	1	1
134.0	0	2	2
135.0	0	1	1
136.0	0	2	2
137.0	0	4	4
138.0	0	1	1
139.0	0	1	1
141.0	0	1	1
143.0	0	1	1
144.0	0	3	3
145.0	0	4	4
146.0	0	1	1
147.0	0	2	2
148.0	0	1	1
149.0	0	1	1
150.0	0	2	2
152.0	0	2	2
155.0	0	1	1
156.0	0	1	1
158.0	0	1	1
161.0	0	2	2
164.0	0	1	1
165.0	0	1	1
166.0	0	2	2
167.0	0	1	1
168.0	0	1	1
169.0	0	2	2
170.0	0	2	2
171.0	0	2	2
172.0	0	2	2
174.0	0	2	2
175.0	0	1	1
176.0	0	1	1
177.0	0	3	3
179.0	0	2	2
182.0	0	1	1
184.0	0	3	3
188.0	0	1	1
189.0	0	3	3
191.0	0	2	2
193.0	0	2	2
196.0	0	1	1
198.0	0	1	1
201.0	0	2	2
203.0	0	2	2
204.0	0	1	1
206.0	0	1	1
208.0	0	1	1
209.0	0	1	1
211.0	0	1	1
213.0	0	1	1
216.0	0	1	1
217.0	0	1	1
219.0	0	1	1
220.0	0	1	1
221.0	0	1	1
222.0	0	1	1
224.0	0	2	2
225.0	0	1	1
226.0	0	2	2
227.0	0	1	1
229.0	0	2	2
233.0	0	1	1
235.0	0	1	1
236.0	0	1	1
239.0	0	1	1
240.0	0	2	2
241.0	0	3	3
242.0	0	2	2
243.0	0	2	2
244.0	0	1	1
245.0	0	2	2
247.0	0	1	1
250.0	0	2	2
251.0	0	1	1
253.0	0	4	4
254.0	0	1	1
259.0	0	1	1
268.0	0	1	1
271.0	0	1	1
274.0	0	2	2
276.0	0	2	2
279.0	0	1	1
281.0	0	1	1
283.0	0	1	1
284.0	0	1	1
286.0	0	1	1
289.0	0	2	2
291.0	0	1	1
292.0	0	1	1
295.0	0	1	1
301.0	0	2	2
304.0	0	1	1
311.0	0	1	1
313.0	0	2	2
316.0	0	1	1
318.0	0	2	2
324.0	0	1	1
328.0	0	1	1
333.0	0	1	1
335.0	0	1	1
344.0	0	2	2
345.0	0	1	1
346.0	0	1	1
355.0	0	2	2
357.0	0	1	1
362.0	0	1	1
366.0	0	2	2
368.0	0	2	2
371.0	0	1	1
372.0	0	1	1
377.0	0	1	1
381.0	0	1	1
391.0	0	1	1
396.0	0	1	1
406.0	0	1	1
407.0	0	1	1
409.0	0	1	1
420.0	0	1	1
421.0	0	1	1
444.0	0	1	1
448.0	0	1	1
453.0	0	2	2
494.0	0	1	1
497.0	0	2	2
502.0	0	1	1
513.0	0	1	1
514.0	0	2	2
526.0	0	1	1
533.0	0	1	1
535.0	0	1	1
540.0	0	1	1
542.0	0	1	1
549.0	0	1	1
559.0	0	1	1
568.0	0	1	1
572.0	0	1	1
594.0	0	1	1
597.0	0	1	1
610.0	0	1	1
611.0	0	1	1
633.0	0	1	1
637.0	0	1	1
667.0	0	1	1
683.0	0	1	1
690.0	0	1	1
703.0	0	1	1
726.0	0	1	1
754.0	0	1	1
757.0	0	1	1
759.0	0	1	1
799.0	0	1	1
833.0	0	1	1
847.0	0	1	1
854.0	0	1	1
861.0	0	1	1
912.0	0	1	1
1269.0	0	1	1
2363.0	0	1	1

