Best marker	Cell type
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
TraesCS2D03G0468100	Epidermis
TraesCS3D03G0382600	Root cap
.	Cortex
.	Xylem
TraesCS4B03G0178500	Epidermis
TraesCS6D03G0654300	Xylem
.	Xylem
.	Xylem
.	Xylem
TraesCS7B03G0820900	Cortex
TraesCS2A03G0734000	Xylem
.	Xylem
.	Xylem
.	Xylem
TraesCS7D03G0043000	Epidermis
TraesCS4D03G0748700	Pericycle
TraesCS2B03G1319000	Epidermis
.	Xylem
TraesCS5A03G0410800	Endodermis
.	Cortex
TraesCS3D03G0576000	Xylem
.	Epidermis
.	Epidermis
TraesCS3D03G0655200	Root cap
TraesCS7D03G0468800	Root cap
TraesCS1D03G0402900	Xylem
TraesCS2B03G0856800	Endodermis
.	Epidermis
TraesCS3B03G0494600	Phloem
TraesCS5B03G0259700	Epidermis
.	Xylem
TraesCS3B03G0050900	Epidermis
.	Xylem
TraesCS6A03G0065500	Xylem
TraesCS3B03G0001000	Phloem
TraesCS2A03G0858200	Epidermis
TraesCS6A03G0675300	Root cap
.	Root cap
.	Root cap
TraesCS4B03G0140700	Root cap
TraesCS7A03G0268700	Endodermis
.	Phloem
TraesCS3A03G0744700	Endodermis
TraesCS1B03G0397800	Xylem
TraesCS3B03G1274600	Epidermis
TraesCS2A03G0821300	Epidermis
.	Root cap
.	Xylem
.	Epidermis
.	Root cap
.	Xylem
TraesCS3D03G0185400	Endodermis
.	Root cap
.	Cortex
.	Cortex
TraesCS3B03G1405100	Epidermis
TraesCS1B03G0882400	Root cap
.	Xylem
TraesCS2A03G1334600	Epidermis
TraesCS4B03G0721800	Epidermis
.	Endodermis
TraesCS6B03G0808900	Xylem
.	Root cap
TraesCS5B03G1001800	Xylem
TraesCS5A03G0479300	Endodermis
TraesCS4B03G0741800	Endodermis
.	Xylem
TraesCS4B03G0741800	Phloem
TraesCS7D03G0500700	Pericycle
TraesCS1D03G0486300	Root cap
.	Xylem
TraesCS5A03G0410800	Phloem
TraesCS7D03G0923300	Epidermis
TraesCS7A03G0589700	Epidermis
.	Cortex
.	Epidermis
TraesCS4B03G0840800	Endodermis
.	Xylem
.	Cortex
TraesCS3A03G0394500	Xylem
TraesCS6A03G0841800	Pericycle
.	Root cap
TraesCS7A03G0853800	Phloem
TraesCS7A03G0197800	Root cap
.	Endodermis
.	Xylem
TraesCS6D03G0534200	Phloem
.	Xylem
TraesCS6B03G0945500	Phloem
.	Cortex
TraesCS2A03G0648100	Root cap
TraesCS2B03G0782200	Phloem
TraesCS7D03G0728800	Phloem
.	Epidermis
.	Xylem
.	Cortex
.	Root cap
.	Epidermis
TraesCS2A03G0991200	Epidermis
.	Xylem
.	Xylem
.	Xylem
TraesCS7B03G0675100	Endodermis
.	Epidermis
.	Xylem
TraesCS4D03G0642600	Epidermis
TraesCS3D03G0041800	Phloem
.	Root cap
.	Xylem
.	Xylem
.	Phloem
.	Cortex
.	Xylem
TraesCS2A03G0290300	Endodermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
TraesCS4D03G0217900	Epidermis
TraesCS1D03G0612500	Xylem
TraesCS3D03G1192600	Endodermis
.	Cortex
TraesCS5B03G1379500	Endodermis
TraesCS7B03G1302500	Phloem
TraesCS2B03G1093200	Root cap
.	Xylem
.	Xylem
TraesCS7B03G0148900	Xylem
.	Xylem
.	Root cap
.	Xylem
TraesCS7B03G1179800	Phloem
.	Epidermis
TraesCS1B03G0109800	Phloem
.	Xylem
TraesCS2A03G0753300	Epidermis
.	Xylem
TraesCS6A03G0684200	Endodermis
TraesCS1D03G0538300	Epidermis
TraesCS4B03G0264700	Root cap
.	Epidermis
.	Epidermis
.	Epidermis
.	Xylem
.	Epidermis
.	Cortex
.	Epidermis
.	Cortex
.	Root cap
.	Xylem
.	Epidermis
.	Root cap
TraesCS2B03G0559800	Phloem
.	Epidermis
TraesCS1D03G0271100	Endodermis
.	Cortex
.	Cortex
.	Xylem
.	Epidermis
.	Cortex
.	Endodermis
.	Cortex
.	Cortex
.	Cortex
.	Cortex
.	Cortex
.	Xylem
TraesCS1D03G0271100	Phloem
.	Cortex
.	Xylem
.	Cortex
.	Root cap
.	Xylem
.	Xylem
.	Cortex
.	Endodermis
.	Root cap
.	Phloem
TraesCS7B03G1179800	Endodermis
TraesCS1B03G0951500	Phloem
.	Xylem
.	Xylem
.	Xylem
.	Cortex
.	Xylem
.	Xylem
TraesCS1D03G0186800	Root cap
.	Xylem
.	Xylem
TraesCS3B03G0636500	Epidermis
.	Root cap
.	Cortex
.	Cortex
.	Epidermis
.	Xylem
TraesCS2A03G0860100	Epidermis
.	Cortex
.	Phloem
.	Root cap
.	Xylem
.	Xylem
TraesCS6B03G0482100	Phloem
.	Endodermis
.	Root cap
.	Root cap
.	Endodermis
.	Cortex
TraesCS4D03G0645300	Phloem
TraesCS7D03G1048700	Endodermis
.	Cortex
TraesCS5A03G0264700	Endodermis
.	Root cap
.	Xylem
TraesCS2A03G0466400	Phloem
.	Cortex
.	Xylem
TraesCSU03G0047200	Epidermis
.	Cortex
.	Cortex
.	Cortex
.	Xylem
.	Cortex
.	Epidermis
TraesCS2B03G1341500	Epidermis
TraesCS7A03G0884400	Phloem
.	Root cap
.	Cortex
TraesCS7D03G1048700	Phloem
.	Cortex
.	Cortex
.	Root cap
.	Cortex
.	Root cap
.	Epidermis
.	Xylem
.	Epidermis
.	Epidermis
.	Cortex
.	Xylem
.	Root cap
.	Phloem
.	Epidermis
.	Root cap
.	Xylem
.	Root cap
.	Cortex
.	Epidermis
TraesCS3D03G1015700	Epidermis
TraesCS7A03G0529100	Epidermis
.	Cortex
.	Xylem
TraesCS1A03G0483700	Endodermis
.	Cortex
.	Cortex
.	Endodermis
.	Epidermis
.	Epidermis
TraesCS5D03G0116800	Epidermis
.	Xylem
.	Xylem
TraesCS1D03G0645100	Xylem
.	Endodermis
.	Cortex
.	Epidermis
.	Epidermis
.	Xylem
.	Cortex
.	Epidermis
.	Cortex
.	Epidermis
.	Endodermis
.	Cortex
TraesCS1D03G0913700	Xylem
.	Endodermis
.	Epidermis
TraesCS7A03G0476000	Epidermis
.	Epidermis
TraesCS7D03G0500500	Phloem
.	Epidermis
TraesCS1A03G0483700	Phloem
.	Root cap
.	Cortex
.	Epidermis
.	Endodermis
.	Cortex
.	Epidermis
.	Cortex
.	Epidermis
TraesCS2B03G0731200	Root cap
TraesCS7B03G0805100	Xylem
.	Root cap
.	Root cap
.	Epidermis
.	Epidermis
.	Epidermis
TraesCS7D03G0408700	Phloem
.	Cortex
.	Epidermis
TraesCS2B03G0719400	Phloem
TraesCS6B03G1181300	Endodermis
.	Epidermis
.	Cortex
.	Cortex
.	Root cap
.	Epidermis
.	Epidermis
TraesCS6B03G0749500	Root cap
.	Epidermis
.	Endodermis
TraesCS6A03G0237900	Epidermis
.	Epidermis
.	Xylem
.	Epidermis
TraesCS4B03G0990200	Epidermis
.	Epidermis
TraesCS4D03G0748700	Phloem
.	Xylem
.	Root cap
TraesCS7A03G0475600	Phloem
TraesCS6A03G0965900	Phloem
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Cortex
.	Cortex
.	Endodermis
.	Epidermis
TraesCS3B03G0483000	Phloem
.	Epidermis
.	Epidermis
.	Xylem
.	Xylem
.	Epidermis
TraesCS4D03G0092300	Endodermis
.	Epidermis
.	Root cap
.	Epidermis
.	Epidermis
.	Epidermis
.	Xylem
.	Root cap
TraesCS7B03G0990200	Endodermis
.	Epidermis
.	Epidermis
.	Root cap
.	Epidermis
.	Cortex
.	Epidermis
.	Epidermis
TraesCS3D03G0041800	Endodermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
TraesCS2B03G1083100	Epidermis
.	Cortex
.	Epidermis
TraesCS5B03G0106800	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Epidermis
TraesCS5A03G1022900	Root cap
.	Epidermis
TraesCS3B03G1129700	Epidermis
.	Epidermis
TraesCS2B03G0731200	Epidermis
TraesCS2B03G0432300	Root cap
.	Epidermis
.	Epidermis
.	Epidermis
TraesCS1D03G0080800	Root cap
.	Epidermis
TraesCS6D03G0526000	Endodermis
.	Epidermis
.	Root cap
.	Epidermis
.	Epidermis
.	Epidermis
.	Endodermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Epidermis
.	Root cap
.	Epidermis
.	Epidermis
.	Root cap
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
TraesCS5D03G0245800	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Epidermis
.	Endodermis
TraesCS1A03G1030600	Endodermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Epidermis
.	Epidermis
.	Epidermis
TraesCS7D03G0226600	Root cap
TraesCS4A03G0063800	Root cap
.	Epidermis
.	Root cap
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Epidermis
TraesCS4B03G0689300	Epidermis
.	Epidermis
.	Root cap
.	Epidermis
.	Root cap
.	Epidermis
TraesCS4B03G0647100	Root cap
.	Epidermis
.	Root cap
.	Epidermis
.	Epidermis
.	Epidermis
TraesCS2D03G1146600	Root cap
.	Root cap
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Epidermis
.	Root cap
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
TraesCS3B03G0728300	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
TraesCSU03G0016400	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Root cap
.	Pericycle
TraesCS7A03G0757500	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCS2B03G0108200	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
TraesCS3D03G0697200	Root cap
.	Root cap
.	Pericycle
TraesCS3D03G1070900	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
TraesCS1B03G0645400	Cortex
.	Cortex
.	Epidermis
TraesCS2D03G0324500	Epidermis
.	Root cap
.	Root cap
.	Root cap
.	Pericycle
TraesCS5B03G0138900	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCS3B03G0900500	Phloem
.	Phloem
.	Cortex
TraesCS1A03G0817100	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
TraesCS4B03G0262700	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Root cap
TraesCS2B03G0484900	Xylem
.	Pericycle
TraesCS6B03G0419800	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
TraesCS5B03G1121200	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCS1D03G0884600	Phloem
.	Cortex
TraesCS1A03G0676400	Cortex
.	Epidermis
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCS3D03G0599200	Phloem
.	Phloem
.	Cortex
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
TraesCS5B03G0547100	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCS6A03G0666600	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Phloem
.	Cortex
TraesCS2B03G1501600	Cortex
.	Root cap
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
TraesCS3B03G0250100	Pericycle
.	Endodermis
TraesCS7D03G1158700	Endodermis
.	Endodermis
.	Phloem
TraesCS1D03G0605000	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
TraesCS1D03G1000900	Pericycle
.	Endodermis
TraesCS1B03G0625200	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
TraesCS7B03G0410500	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
TraesCS3A03G0654600	Endodermis
.	Endodermis
.	Phloem
.	Phloem
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
TraesCS4B03G0238600	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Epidermis
.	Root cap
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
TraesCS3A03G0715100	Pericycle
.	Endodermis
TraesCS1A03G0885900	Endodermis
.	Endodermis
.	Phloem
TraesCS6A03G0202900	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
TraesCS1B03G0187300	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCS5B03G1379500	Phloem
.	Phloem
.	Epidermis
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
TraesCS1A03G0258600	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
TraesCS4B03G0989000	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
TraesCS3B03G1323800	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCS4D03G0020800	Phloem
.	Phloem
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Pericycle
TraesCS2A03G1202600	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
TraesCS6B03G1069000	Epidermis
.	Epidermis
.	Root cap
TraesCS2B03G1399100	Root cap
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
TraesCS7D03G0408700	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCS3A03G0744700	Phloem
.	Phloem
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
TraesCS6B03G0167500	Root cap
.	Root cap
.	Pericycle
TraesCS5D03G1199300	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
TraesCS2B03G1214600	Root cap
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
TraesCS3D03G0132200	Endodermis
.	Endodermis
.	Phloem
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
TraesCS2B03G0431200	Pericycle
.	Endodermis
TraesCS2D03G0958800	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
TraesCS2D03G0999400	Pericycle
.	Endodermis
TraesCS2B03G0368000	Endodermis
.	Endodermis
.	Endodermis
TraesCS5A03G0536500	Phloem
.	Cortex
.	Cortex
.	Cortex
TraesCS3B03G0861400	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
TraesCS1B03G0625200	Pericycle
.	Endodermis
TraesCS6A03G0965900	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCS6B03G0398800	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
TraesCS3D03G0739400	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCS4D03G0760800	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
TraesCS5A03G0621200	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
TraesCS3B03G0460700	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
TraesCS3D03G0081100	Pericycle
.	Endodermis
TraesCS2B03G0423100	Endodermis
.	Endodermis
.	Phloem
.	Cortex
TraesCS2A03G0235500	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
TraesCS6A03G0835200	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS3A03G1157200	Phloem
.	Cortex
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
TraesCS2B03G0413400	Endodermis
.	Endodermis
.	Phloem
TraesCS5A03G0819000	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
TraesCS3A03G0935200	Root cap
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
TraesCS4D03G0654500	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
TraesCS4D03G0014800	Root cap
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
TraesCS3A03G0209900	Root cap
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
TraesCS4A03G0214400	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
TraesCS5A03G1295300	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
TraesCS1A03G0062800	Root cap
.	Pericycle
TraesCS3D03G1184000	Pericycle
.	Endodermis
TraesCS1A03G0190000	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
TraesCS1B03G0257400	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
TraesCS7D03G0789900	Pericycle
.	Endodermis
TraesCS6D03G0534200	Endodermis
TraesCS6B03G0419400	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
TraesCS7D03G0430200	Root cap
.	Root cap
.	Xylem
TraesCS2D03G0060400	Xylem
.	Xylem
.	Pericycle
TraesCS2D03G0684200	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
TraesCS2B03G0868400	Root cap
.	Root cap
.	Xylem
.	Pericycle
TraesCS7B03G0692500	Pericycle
.	Endodermis
TraesCS3A03G0779600	Endodermis
.	Endodermis
.	Endodermis
TraesCS3A03G0709800	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Root cap
.	Xylem
.	Xylem
TraesCS5A03G0410800	Pericycle
.	Endodermis
TraesCS7A03G0475200	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Root cap
TraesCS5B03G1183000	Root cap
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
TraesCS2A03G1334500	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCS4D03G0091800	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
TraesCSU03G0330800	Root cap
.	Root cap
.	Pericycle
.	Endodermis
.	Endodermis
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
TraesCS7D03G1015400	Root cap
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS1A03G0542800	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
TraesCS3B03G0335600	Root cap
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
TraesCS7B03G0699600	Root cap
.	Root cap
.	Xylem
.	Pericycle
TraesCS5A03G0603800	Pericycle
.	Endodermis
.	Endodermis
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
TraesCS1B03G0911600	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
TraesCS1B03G0907800	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
TraesCS6B03G0359800	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
TraesCS2D03G0941600	Pericycle
.	Endodermis
TraesCS5B03G0538700	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
TraesCS3B03G1344700	Root cap
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
TraesCS2B03G0782200	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
TraesCS2B03G1117600	Pericycle
.	Endodermis
TraesCS7D03G0146000	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
TraesCS1D03G0105400	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
TraesCS4A03G0525200	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
TraesCS7A03G0884400	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
TraesCS3B03G0924900	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
TraesCS2A03G0364600	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
TraesCS7D03G0596300	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
TraesCS7B03G0047600	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
TraesCS7A03G0410900	Root cap
.	Root cap
.	Xylem
.	Pericycle
TraesCS2D03G1179800	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCS2D03G0137900	Phloem
.	Cortex
.	Epidermis
