group	member	parsimony_informative_sites	total_sites	n_sequences
animals	1222562at2759.faa.mafft	0	315	2
animals	1223488at2759.faa.mafft	0	197	1
animals	1228942at2759.faa.mafft	0	279	2
animals	1236198at2759.faa.mafft	0	147	1
animals	1247641at2759.faa.mafft	0	269	1
animals	1248958at2759.faa.mafft	0	986	2
animals	1249159at2759.faa.mafft	5	205	4
animals	1251252at2759.faa.mafft	0	267	3
animals	1257440at2759.faa.mafft	0	185	2
animals	1258856at2759.faa.mafft	0	892	2
animals	1259741at2759.faa.mafft	0	393	2
animals	1260807at2759.faa.mafft	0	466	3
animals	1264469at2759.faa.mafft	0	290	3
animals	1266231at2759.faa.mafft	0	236	2
animals	1269244at2759.faa.mafft	0	255	3
animals	1269649at2759.faa.mafft	12	291	4
animals	1275837at2759.faa.mafft	0	365	2
animals	1284731at2759.faa.mafft	0	270	3
animals	1287094at2759.faa.mafft	0	208	3
animals	1287401at2759.faa.mafft	0	279	3
animals	1291729at2759.faa.mafft	0	220	3
animals	1304061at2759.faa.mafft	0	197	3
animals	1309031at2759.faa.mafft	0	574	1
animals	1312453at2759.faa.mafft	0	1354	1
animals	1314980at2759.faa.mafft	0	843	1
animals	1322299at2759.faa.mafft	0	621	1
animals	1322642at2759.faa.mafft	0	299	2
animals	1323575at2759.faa.mafft	0	440	2
animals	1324510at2759.faa.mafft	0	458	1
animals	1338131at2759.faa.mafft	0	200	3
animals	1339553at2759.faa.mafft	0	465	2
animals	1342242at2759.faa.mafft	10	378	4
animals	1346165at2759.faa.mafft	0	432	3
animals	1346432at2759.faa.mafft	8	262	4
animals	1348942at2759.faa.mafft	0	352	2
animals	1355894at2759.faa.mafft	0	178	3
animals	1358374at2759.faa.mafft	0	434	3
animals	1364586at2759.faa.mafft	0	252	3
animals	1370285at2759.faa.mafft	0	693	3
animals	1370304at2759.faa.mafft	0	799	1
animals	1377237at2759.faa.mafft	0	281	1
animals	1379600at2759.faa.mafft	0	872	3
animals	1380409at2759.faa.mafft	0	211	2
animals	1382842at2759.faa.mafft	0	187	3
animals	1395649at2759.faa.mafft	0	180	1
animals	1398309at2759.faa.mafft	0	167	1
animals	1404162at2759.faa.mafft	0	580	2
animals	1405073at2759.faa.mafft	3	180	4
animals	1405146at2759.faa.mafft	0	225	2
animals	1407446at2759.faa.mafft	0	171	2
animals	1421503at2759.faa.mafft	0	161	3
animals	1423847at2759.faa.mafft	0	382	3
animals	142542at2759.faa.mafft	0	1092	1
animals	1426075at2759.faa.mafft	0	141	1
animals	1428265at2759.faa.mafft	0	244	1
animals	1428854at2759.faa.mafft	29	1021	4
animals	1430056at2759.faa.mafft	0	239	1
animals	1432328at2759.faa.mafft	0	323	3
animals	1434266at2759.faa.mafft	0	230	3
animals	1440961at2759.faa.mafft	0	267	1
animals	1441854at2759.faa.mafft	0	308	3
animals	1442062at2759.faa.mafft	0	521	2
animals	1445102at2759.faa.mafft	0	261	3
animals	1450538at2759.faa.mafft	0	312	1
animals	1454155at2759.faa.mafft	0	314	2
animals	1455730at2759.faa.mafft	0	551	3
animals	1459797at2759.faa.mafft	0	135	2
animals	1474000at2759.faa.mafft	0	405	2
animals	1488235at2759.faa.mafft	0	182	3
animals	1488436at2759.faa.mafft	0	138	3
animals	1490022at2759.faa.mafft	0	192	1
animals	1504863at2759.faa.mafft	6	228	4
animals	1513531at2759.faa.mafft	0	289	3
animals	1525971at2759.faa.mafft	2	153	4
animals	1526152at2759.faa.mafft	0	189	3
animals	1530008at2759.faa.mafft	0	244	1
animals	1538526at2759.faa.mafft	0	163	3
animals	1545004at2759.faa.mafft	0	98	3
animals	1552706at2759.faa.mafft	0	145	3
animals	1558822at2759.faa.mafft	0	91	2
animals	156083at2759.faa.mafft	5	2341	4
animals	1563319at2759.faa.mafft	0	340	1
animals	1567796at2759.faa.mafft	0	199	2
animals	1575179at2759.faa.mafft	0	110	2
animals	1576404at2759.faa.mafft	0	230	1
animals	1588798at2759.faa.mafft	0	320	2
animals	1593937at2759.faa.mafft	0	375	1
animals	160593at2759.faa.mafft	0	2731	2
animals	1617752at2759.faa.mafft	0	121	2
animals	1620056at2759.faa.mafft	10	189	4
animals	1626636at2759.faa.mafft	0	219	3
animals	1633672at2759.faa.mafft	0	102	3
animals	1645187at2759.faa.mafft	0	134	2
animals	166920at2759.faa.mafft	0	1499	1
animals	176625at2759.faa.mafft	0	1183	3
animals	179362at2759.faa.mafft	0	1312	1
animals	245208at2759.faa.mafft	0	1322	1
animals	257318at2759.faa.mafft	0	577	1
animals	261328at2759.faa.mafft	0	678	1
animals	271586at2759.faa.mafft	0	1076	3
animals	290630at2759.faa.mafft	0	940	3
animals	293315at2759.faa.mafft	0	1428	1
animals	296129at2759.faa.mafft	0	1058	3
animals	299766at2759.faa.mafft	0	1027	1
animals	306227at2759.faa.mafft	0	799	3
animals	320059at2759.faa.mafft	0	553	3
animals	324863at2759.faa.mafft	0	969	3
animals	325552at2759.faa.mafft	0	609	1
animals	330169at2759.faa.mafft	0	504	2
animals	331411at2759.faa.mafft	0	748	3
animals	341721at2759.faa.mafft	20	837	4
animals	345441at2759.faa.mafft	0	550	1
animals	355408at2759.faa.mafft	0	691	3
animals	369837at2759.faa.mafft	0	756	2
animals	375960at2759.faa.mafft	0	542	2
animals	383503at2759.faa.mafft	0	503	2
animals	388820at2759.faa.mafft	0	952	2
animals	390348at2759.faa.mafft	0	1030	3
animals	39650at2759.faa.mafft	0	2306	3
animals	396755at2759.faa.mafft	0	1216	3
animals	418107at2759.faa.mafft	0	451	3
animals	426305at2759.faa.mafft	0	802	2
animals	450058at2759.faa.mafft	0	366	1
animals	453044at2759.faa.mafft	19	478	4
animals	457861at2759.faa.mafft	0	306	1
animals	464990at2759.faa.mafft	0	570	1
animals	491869at2759.faa.mafft	0	473	3
animals	513979at2759.faa.mafft	0	581	1
animals	543764at2759.faa.mafft	0	514	2
animals	549762at2759.faa.mafft	0	647	1
animals	551907at2759.faa.mafft	0	1081	2
animals	570797at2759.faa.mafft	29	903	4
animals	582756at2759.faa.mafft	0	553	2
animals	598949at2759.faa.mafft	0	1251	1
animals	604979at2759.faa.mafft	0	809	1
animals	621827at2759.faa.mafft	0	570	3
animals	655400at2759.faa.mafft	0	478	2
animals	664730at2759.faa.mafft	11	463	4
animals	671536at2759.faa.mafft	0	496	1
animals	673132at2759.faa.mafft	17	415	4
animals	674160at2759.faa.mafft	0	2911	3
animals	674169at2759.faa.mafft	0	701	2
animals	679771at2759.faa.mafft	0	391	3
animals	687505at2759.faa.mafft	0	363	2
animals	692986at2759.faa.mafft	0	794	1
animals	708105at2759.faa.mafft	0	426	2
animals	719531at2759.faa.mafft	0	489	2
animals	720340at2759.faa.mafft	0	561	3
animals	721605at2759.faa.mafft	18	436	4
animals	734341at2759.faa.mafft	0	269	1
animals	734666at2759.faa.mafft	0	517	3
animals	736068at2759.faa.mafft	0	451	1
animals	751335at2759.faa.mafft	0	470	1
animals	759498at2759.faa.mafft	0	732	2
animals	761109at2759.faa.mafft	0	678	2
animals	768809at2759.faa.mafft	0	376	1
animals	777920at2759.faa.mafft	0	598	3
animals	779909at2759.faa.mafft	0	326	1
animals	801857at2759.faa.mafft	0	436	1
animals	814241at2759.faa.mafft	0	435	3
animals	817008at2759.faa.mafft	0	417	1
animals	834694at2759.faa.mafft	0	728	1
animals	836599at2759.faa.mafft	0	545	3
animals	83779at2759.faa.mafft	0	652	2
animals	844748at2759.faa.mafft	0	482	2
animals	855834at2759.faa.mafft	0	700	2
animals	858842at2759.faa.mafft	0	485	1
animals	865202at2759.faa.mafft	0	305	2
animals	866359at2759.faa.mafft	0	327	3
animals	869548at2759.faa.mafft	0	269	2
animals	878143at2759.faa.mafft	0	442	1
animals	87842at2759.faa.mafft	0	1066	2
animals	887370at2759.faa.mafft	0	581	2
animals	891751at2759.faa.mafft	0	572	3
animals	898782at2759.faa.mafft	0	547	2
animals	901894at2759.faa.mafft	0	543	2
animals	905026at2759.faa.mafft	0	706	2
animals	911863at2759.faa.mafft	0	425	2
animals	917326at2759.faa.mafft	0	639	1
animals	919955at2759.faa.mafft	0	389	3
animals	923657at2759.faa.mafft	0	317	2
animals	924753at2759.faa.mafft	0	465	2
animals	931188at2759.faa.mafft	0	629	2
animals	937275at2759.faa.mafft	0	417	1
animals	937686at2759.faa.mafft	0	491	2
animals	939345at2759.faa.mafft	0	245	1
animals	944899at2759.faa.mafft	0	398	2
animals	946128at2759.faa.mafft	0	532	1
animals	956854at2759.faa.mafft	0	294	1
animals	97116at2759.faa.mafft	0	1220	1
animals	973442at2759.faa.mafft	0	425	2
animals	974865at2759.faa.mafft	10	309	4
animals	975158at2759.faa.mafft	0	459	3
animals	975557at2759.faa.mafft	0	755	1
animals	976469at2759.faa.mafft	0	386	2
animals	981902at2759.faa.mafft	0	391	3
animals	996662at2759.faa.mafft	12	453	4
fungi	1001705at2759.faa.mafft	20	596	4
fungi	1003258at2759.faa.mafft	21	1071	4
fungi	100698at2759.faa.mafft	34	954	4
fungi	1010730at2759.faa.mafft	23	650	4
fungi	1014314at2759.faa.mafft	17	455	4
fungi	1018517at2759.faa.mafft	24	345	4
fungi	1019762at2759.faa.mafft	25	918	4
fungi	1025450at2759.faa.mafft	27	594	4
fungi	1030907at2759.faa.mafft	9	421	4
fungi	1032689at2759.faa.mafft	21	688	4
fungi	1038775at2759.faa.mafft	0	384	3
fungi	1041560at2759.faa.mafft	27	666	4
fungi	1049599at2759.faa.mafft	0	551	3
fungi	1051021at2759.faa.mafft	17	891	4
fungi	1053181at2759.faa.mafft	0	374	3
fungi	1057950at2759.faa.mafft	16	395	4
fungi	1065019at2759.faa.mafft	25	430	4
fungi	1076134at2759.faa.mafft	14	345	4
fungi	1079130at2759.faa.mafft	33	563	4
fungi	1079827at2759.faa.mafft	21	264	4
fungi	1085752at2759.faa.mafft	0	621	3
fungi	1087488at2759.faa.mafft	25	567	4
fungi	1090038at2759.faa.mafft	0	556	3
fungi	1094121at2759.faa.mafft	10	251	4
fungi	1096688at2759.faa.mafft	14	481	4
fungi	1106766at2759.faa.mafft	0	745	3
fungi	1107630at2759.faa.mafft	17	520	4
fungi	1108845at2759.faa.mafft	0	501	3
fungi	1111142at2759.faa.mafft	0	800	3
fungi	1112002at2759.faa.mafft	51	1213	4
fungi	1115196at2759.faa.mafft	26	566	4
fungi	1128607at2759.faa.mafft	25	366	4
fungi	1129824at2759.faa.mafft	16	326	4
fungi	1138059at2759.faa.mafft	14	317	4
fungi	1157302at2759.faa.mafft	15	247	4
fungi	1161199at2759.faa.mafft	16	358	4
fungi	1173229at2759.faa.mafft	0	597	3
fungi	1178688at2759.faa.mafft	12	229	4
fungi	1182451at2759.faa.mafft	19	477	4
fungi	1193442at2759.faa.mafft	29	567	4
fungi	1194691at2759.faa.mafft	27	512	4
fungi	1194797at2759.faa.mafft	47	826	4
fungi	1197019at2759.faa.mafft	15	254	4
fungi	1200489at2759.faa.mafft	7	318	4
fungi	1217666at2759.faa.mafft	20	324	4
fungi	1220881at2759.faa.mafft	16	514	4
fungi	1222562at2759.faa.mafft	12	505	4
fungi	1223488at2759.faa.mafft	13	291	4
fungi	1228942at2759.faa.mafft	24	278	4
fungi	1233814at2759.faa.mafft	9	334	4
fungi	1236198at2759.faa.mafft	5	159	4
fungi	1247641at2759.faa.mafft	28	874	4
fungi	1248958at2759.faa.mafft	52	1013	4
fungi	1249159at2759.faa.mafft	15	248	4
fungi	1251252at2759.faa.mafft	6	448	4
fungi	1257440at2759.faa.mafft	12	230	4
fungi	1258856at2759.faa.mafft	59	1054	4
fungi	1259741at2759.faa.mafft	20	524	4
fungi	1260807at2759.faa.mafft	15	1625	4
fungi	1264469at2759.faa.mafft	20	419	4
fungi	1266231at2759.faa.mafft	0	396	3
fungi	1269244at2759.faa.mafft	9	320	4
fungi	1269649at2759.faa.mafft	11	320	4
fungi	1275837at2759.faa.mafft	28	364	4
fungi	1284731at2759.faa.mafft	12	309	4
fungi	1287094at2759.faa.mafft	14	244	4
fungi	1287401at2759.faa.mafft	0	374	3
fungi	1291729at2759.faa.mafft	11	233	4
fungi	1304061at2759.faa.mafft	9	282	4
fungi	1309031at2759.faa.mafft	34	1053	4
fungi	1312453at2759.faa.mafft	73	2093	4
fungi	1314980at2759.faa.mafft	0	1110	3
fungi	1322299at2759.faa.mafft	23	722	4
fungi	1322642at2759.faa.mafft	0	908	3
fungi	1323575at2759.faa.mafft	10	236	4
fungi	1324510at2759.faa.mafft	23	660	4
fungi	1338131at2759.faa.mafft	13	203	4
fungi	1339553at2759.faa.mafft	20	559	4
fungi	1342242at2759.faa.mafft	15	549	4
fungi	1346165at2759.faa.mafft	20	614	4
fungi	1346432at2759.faa.mafft	15	365	4
fungi	1348942at2759.faa.mafft	16	482	4
fungi	1355894at2759.faa.mafft	11	214	4
fungi	1358374at2759.faa.mafft	11	401	4
fungi	1364586at2759.faa.mafft	0	364	3
fungi	1370285at2759.faa.mafft	34	955	4
fungi	1370304at2759.faa.mafft	29	1125	4
fungi	1377237at2759.faa.mafft	0	626	3
fungi	1379600at2759.faa.mafft	33	1086	4
fungi	1380409at2759.faa.mafft	0	220	3
fungi	1382842at2759.faa.mafft	0	322	3
fungi	1395649at2759.faa.mafft	0	295	3
fungi	1398309at2759.faa.mafft	14	186	4
fungi	1404162at2759.faa.mafft	25	926	4
fungi	1405073at2759.faa.mafft	10	184	4
fungi	1405146at2759.faa.mafft	7	266	4
fungi	1407446at2759.faa.mafft	3	209	4
fungi	1421503at2759.faa.mafft	10	300	4
fungi	1423847at2759.faa.mafft	20	459	4
fungi	142542at2759.faa.mafft	0	2034	3
fungi	1426075at2759.faa.mafft	6	320	4
fungi	1428265at2759.faa.mafft	18	461	4
fungi	1428854at2759.faa.mafft	58	974	4
fungi	1430056at2759.faa.mafft	10	253	4
fungi	1432328at2759.faa.mafft	13	450	4
fungi	1434266at2759.faa.mafft	12	393	4
fungi	1440961at2759.faa.mafft	17	581	4
fungi	1441854at2759.faa.mafft	18	390	4
fungi	1442062at2759.faa.mafft	22	784	4
fungi	1445102at2759.faa.mafft	50	303	4
fungi	1450538at2759.faa.mafft	11	573	4
fungi	1454155at2759.faa.mafft	18	455	4
fungi	1455730at2759.faa.mafft	0	645	3
fungi	1459797at2759.faa.mafft	5	140	4
fungi	1474000at2759.faa.mafft	20	480	4
fungi	1479417at2759.faa.mafft	0	660	2
fungi	1488235at2759.faa.mafft	12	234	4
fungi	1488436at2759.faa.mafft	5	163	4
fungi	1490022at2759.faa.mafft	18	236	4
fungi	1504863at2759.faa.mafft	3	230	4
fungi	1513531at2759.faa.mafft	5	370	4
fungi	1525971at2759.faa.mafft	11	190	4
fungi	1526152at2759.faa.mafft	0	184	2
fungi	1530008at2759.faa.mafft	14	237	4
fungi	1538526at2759.faa.mafft	10	256	4
fungi	1545004at2759.faa.mafft	0	96	2
fungi	1552706at2759.faa.mafft	4	468	4
fungi	1558822at2759.faa.mafft	0	109	3
fungi	156083at2759.faa.mafft	0	2440	3
fungi	1563319at2759.faa.mafft	0	377	2
fungi	1567796at2759.faa.mafft	9	570	4
fungi	1575179at2759.faa.mafft	3	205	4
fungi	1576404at2759.faa.mafft	12	308	4
fungi	1588798at2759.faa.mafft	15	454	4
fungi	1593937at2759.faa.mafft	23	542	4
fungi	160593at2759.faa.mafft	162	2968	4
fungi	1617752at2759.faa.mafft	2	120	4
fungi	1620056at2759.faa.mafft	10	160	4
fungi	1623701at2759.faa.mafft	12	213	4
fungi	1626636at2759.faa.mafft	0	261	3
fungi	1633672at2759.faa.mafft	4	118	4
fungi	1645187at2759.faa.mafft	8	171	4
fungi	166920at2759.faa.mafft	79	1486	4
fungi	176625at2759.faa.mafft	68	1510	4
fungi	179362at2759.faa.mafft	57	1384	4
fungi	245208at2759.faa.mafft	52	1272	4
fungi	257318at2759.faa.mafft	28	833	4
fungi	261328at2759.faa.mafft	0	1549	3
fungi	261419at2759.faa.mafft	0	1563	3
fungi	270107at2759.faa.mafft	53	1180	4
fungi	271586at2759.faa.mafft	45	1450	4
fungi	290630at2759.faa.mafft	48	960	4
fungi	293315at2759.faa.mafft	66	1752	4
fungi	296129at2759.faa.mafft	68	1198	4
fungi	299766at2759.faa.mafft	43	1733	4
fungi	306227at2759.faa.mafft	0	1145	3
fungi	320059at2759.faa.mafft	18	589	4
fungi	324863at2759.faa.mafft	60	1222	4
fungi	325552at2759.faa.mafft	48	658	4
fungi	330169at2759.faa.mafft	36	700	4
fungi	331411at2759.faa.mafft	40	1234	4
fungi	341721at2759.faa.mafft	40	1136	4
fungi	345441at2759.faa.mafft	0	585	3
fungi	355408at2759.faa.mafft	46	799	4
fungi	369837at2759.faa.mafft	50	880	4
fungi	375960at2759.faa.mafft	30	904	4
fungi	383503at2759.faa.mafft	28	606	4
fungi	388820at2759.faa.mafft	52	1258	4
fungi	390348at2759.faa.mafft	60	1158	4
fungi	392369at2759.faa.mafft	25	560	4
fungi	39650at2759.faa.mafft	115	2451	4
fungi	396755at2759.faa.mafft	59	1563	4
fungi	418107at2759.faa.mafft	32	531	4
fungi	426305at2759.faa.mafft	54	925	4
fungi	450058at2759.faa.mafft	28	1235	4
fungi	453044at2759.faa.mafft	30	565	4
fungi	457861at2759.faa.mafft	14	557	4
fungi	464990at2759.faa.mafft	26	762	4
fungi	491869at2759.faa.mafft	0	1208	2
fungi	513979at2759.faa.mafft	35	846	4
fungi	543764at2759.faa.mafft	34	751	4
fungi	549762at2759.faa.mafft	0	772	3
fungi	551907at2759.faa.mafft	48	1315	4
fungi	570797at2759.faa.mafft	21	1233	4
fungi	582756at2759.faa.mafft	34	719	4
fungi	598949at2759.faa.mafft	49	1186	4
fungi	604979at2759.faa.mafft	0	668	3
fungi	621827at2759.faa.mafft	36	611	4
fungi	625387at2759.faa.mafft	0	1557	3
fungi	655400at2759.faa.mafft	28	953	4
fungi	664730at2759.faa.mafft	27	539	4
fungi	671536at2759.faa.mafft	26	608	4
fungi	671846at2759.faa.mafft	23	1041	4
fungi	673132at2759.faa.mafft	26	502	4
fungi	674160at2759.faa.mafft	126	3238	4
fungi	674169at2759.faa.mafft	16	1131	4
fungi	679187at2759.faa.mafft	0	1160	3
fungi	679771at2759.faa.mafft	0	481	3
fungi	687505at2759.faa.mafft	18	477	4
fungi	692986at2759.faa.mafft	32	1047	4
fungi	708105at2759.faa.mafft	21	553	4
fungi	719531at2759.faa.mafft	23	553	4
fungi	720340at2759.faa.mafft	20	508	4
fungi	721605at2759.faa.mafft	0	394	2
fungi	722805at2759.faa.mafft	49	1701	4
fungi	734341at2759.faa.mafft	12	452	4
fungi	734666at2759.faa.mafft	31	582	4
fungi	736068at2759.faa.mafft	22	613	4
fungi	751335at2759.faa.mafft	24	641	4
fungi	759498at2759.faa.mafft	45	1001	4
fungi	761109at2759.faa.mafft	27	889	4
fungi	768809at2759.faa.mafft	24	581	4
fungi	774318at2759.faa.mafft	18	1250	4
fungi	777920at2759.faa.mafft	34	736	4
fungi	779909at2759.faa.mafft	26	408	4
fungi	801857at2759.faa.mafft	25	804	4
fungi	814241at2759.faa.mafft	20	668	4
fungi	817008at2759.faa.mafft	20	494	4
fungi	834694at2759.faa.mafft	31	974	4
fungi	836599at2759.faa.mafft	25	645	4
fungi	83779at2759.faa.mafft	27	720	4
fungi	844748at2759.faa.mafft	0	695	3
fungi	855834at2759.faa.mafft	30	868	4
fungi	858842at2759.faa.mafft	0	993	3
fungi	865202at2759.faa.mafft	15	374	4
fungi	866359at2759.faa.mafft	19	365	4
fungi	869548at2759.faa.mafft	17	306	4
fungi	878143at2759.faa.mafft	26	527	4
fungi	87842at2759.faa.mafft	44	1367	4
fungi	887370at2759.faa.mafft	23	842	4
fungi	891751at2759.faa.mafft	23	873	4
fungi	898782at2759.faa.mafft	23	753	4
fungi	901894at2759.faa.mafft	16	859	4
fungi	905026at2759.faa.mafft	32	1172	4
fungi	911863at2759.faa.mafft	24	525	4
fungi	917326at2759.faa.mafft	36	808	4
fungi	918816at2759.faa.mafft	24	829	4
fungi	919955at2759.faa.mafft	23	407	4
fungi	923657at2759.faa.mafft	22	456	4
fungi	924753at2759.faa.mafft	30	647	4
fungi	931188at2759.faa.mafft	26	685	4
fungi	937275at2759.faa.mafft	0	613	3
fungi	937686at2759.faa.mafft	0	596	3
fungi	939345at2759.faa.mafft	11	724	4
fungi	944899at2759.faa.mafft	21	369	4
fungi	946128at2759.faa.mafft	26	840	4
fungi	956854at2759.faa.mafft	0	362	3
fungi	97116at2759.faa.mafft	76	1483	4
fungi	973442at2759.faa.mafft	16	748	4
fungi	974865at2759.faa.mafft	20	429	4
fungi	975158at2759.faa.mafft	25	605	4
fungi	975557at2759.faa.mafft	21	872	4
fungi	976469at2759.faa.mafft	0	415	3
fungi	981902at2759.faa.mafft	20	773	4
fungi	996662at2759.faa.mafft	13	341	4
