accession	dataset	biological_replicates	preferred_default	peak_count	peak_bins	weighted_binary_signal	signal_sum_correlation	signal_max_correlation	qvalue_sum_correlation	signal_sum	qvalue_sum	binary_correlation	status
ENCFF551ZSE	/experiments/ENCSR000ENL/	[1]		376295	168844	841642.797999962	0.630753	0.622966	0.000000	500456.087435	0.000000	0.207210	ok
ENCFF572ABE	/experiments/ENCSR035QHH/	[1]		320435	146132	808458.07999998	0.618859	0.638939	0.000000	254362.604858	0.000000	0.234870	ok
ENCFF053YVB	/experiments/ENCSR000EPD/	[2]		337041	157334	825369.3829999687	0.603231	0.616881	0.000000	376801.348610	0.000000	0.221029	ok
ENCFF469XEX	/experiments/ENCSR000EOR/	[1]		327205	151085	811914.5669999772	0.599300	0.609262	0.000000	396240.574386	0.000000	0.225784	ok
ENCFF792QCH	/experiments/ENCSR240TPI/	[1]		347302	156808	820460.3049999697	0.593735	0.567855	0.000000	454036.650497	0.000000	0.218773	ok
ENCFF878SWH	/experiments/ENCSR337IRF/	[1]		351671	163541	832300.0109999677	0.593723	0.599977	0.000000	373137.975276	0.000000	0.212150	ok
ENCFF440RLL	/experiments/ENCSR770DEN/	[1]		317643	153537	811007.602999975	0.591892	0.602420	0.000000	465131.978579	0.000000	0.219547	ok
ENCFF128SDV	/experiments/ENCSR000EMZ/	[1]	True	315231	164052	818708.0959999763	0.584622	0.578105	0.000000	373196.267053	0.000000	0.201507	ok
ENCFF939OEJ	/experiments/ENCSR000EMZ/	[1]		469780	204132	888562.459999955	0.583669	0.580049	0.000000	407602.375512	0.000000	0.168151	ok
ENCFF781OPE	/experiments/ENCSR385SZQ/	[1]		301902	159345	812238.0319999802	0.583379	0.570746	0.000000	373083.873871	0.000000	0.207355	ok
ENCFF703EKE	/experiments/ENCSR000FFJ/	[2]		310646	150555	803597.4989999748	0.576032	0.572954	0.000000	272386.560602	0.000000	0.221184	ok
ENCFF309MNF	/experiments/ENCSR175IWT/	[1]		360439	163066	835403.4479999742	0.575596	0.567173	0.000000	241194.849685	0.000000	0.215364	ok
ENCFF698FKA	/experiments/ENCSR000ENI/	[1]		357469	161517	825900.4739999727	0.572965	0.571728	0.000000	398073.651540	0.000000	0.212111	ok
ENCFF757ATU	/experiments/ENCSR000ELJ/	[1]		905639	220785	932631.1729999527	0.572919	0.632975	0.000000	500328.876149	0.000000	0.168680	ok
ENCFF195EHM	/experiments/ENCSR000ELJ/	[1]	True	498813	146281	802954.1299999752	0.571668	0.627424	0.000000	375820.083492	0.000000	0.230665	ok
ENCFF544DXR	/experiments/ENCSR000ENN/	[1]		380380	176783	847191.8299999565	0.567849	0.550071	0.000000	418129.904710	0.000000	0.194252	ok
ENCFF722AWL	/experiments/ENCSR000ENN/	[1]	True	296740	151068	802326.5939999769	0.566834	0.549467	0.000000	405445.865436	0.000000	0.219115	ok
ENCFF114CSX	/experiments/ENCSR856NXV/	[1]		298949	149308	801629.9639999717	0.555745	0.554037	0.000000	306622.068658	0.000000	0.222684	ok
ENCFF644PFN	/experiments/ENCSR000ENT/	[1]		359119	163489	829245.1879999741	0.550394	0.541096	0.000000	403405.991390	0.000000	0.210123	ok
ENCFF198RRD	/experiments/ENCSR000EPP/	[1]		361815	158748	821557.4589999683	0.549344	0.558090	0.000000	439011.305076	0.000000	0.215205	ok
ENCFF492MEK	/experiments/ENCSR752EPH/	[1]		365573	180044	848336.1469999661	0.549092	0.533537	0.000000	432666.944323	0.000000	0.188228	ok
ENCFF904XET	/experiments/ENCSR383BLX/	[1]		347454	160844	822093.962999974	0.547257	0.552814	0.000000	456172.885321	0.000000	0.210931	ok
ENCFF515NMS	/experiments/ENCSR548MMD/	[1]		377862	163200	836683.787999972	0.536534	0.534605	0.000000	507353.095275	0.000000	0.215967	ok
ENCFF487JOW	/experiments/ENCSR121ZSL/	[1]		468498	180190	862949.1739999716	0.531134	0.538810	0.000000	358075.225234	0.000000	0.198290	ok
ENCFF440FUZ	/experiments/ENCSR121ZSL/	[1]	True	355363	151924	815388.0799999869	0.531067	0.537691	0.000000	344084.691436	0.000000	0.226291	ok
ENCFF705HUP	/experiments/ENCSR337IRF/	[2]		393135	171931	846878.0439999688	0.528015	0.490654	0.000000	328898.040543	0.000000	0.204292	ok
ENCFF019IVJ	/experiments/ENCSR175IWT/	[2]		379133	161426	833317.506999973	0.527451	0.492418	0.000000	290726.667210	0.000000	0.217505	ok
ENCFF746OJX	/experiments/ENCSR184LMY/	[1]		327866	157701	815736.5279999669	0.523045	0.523490	0.000000	450628.471602	0.000000	0.213469	ok
ENCFF700NCV	/experiments/ENCSR325LYJ/	[1]		335557	159074	813887.3369999707	0.522224	0.531911	0.000000	454581.236314	0.000000	0.209112	ok
ENCFF911HLS	/experiments/ENCSR000EMC/	[2]		331756	150665	807559.3729999795	0.520213	0.515099	0.000000	414625.679074	0.000000	0.223703	ok
ENCFF496ZHP	/experiments/ENCSR593LTJ/	[2]		425643	163836	837137.6819999753	0.518478	0.526523	0.000000	323315.061566	0.000000	0.214895	ok
ENCFF971FHC	/experiments/ENCSR000EMB/	[2]		312471	147183	804316.1649999811	0.515228	0.514942	0.000000	463599.497100	0.000000	0.229506	ok
ENCFF417EEA	/experiments/ENCSR477RTP/	[1]		312250	145517	801018.6919999757	0.512449	0.498564	0.000000	336233.868459	0.000000	0.231106	ok
ENCFF502BQA	/experiments/ENCSR000EPE/	[1]		308690	151932	803521.0019999648	0.497652	0.492597	0.000000	436311.969321	0.000000	0.217970	ok
ENCFF550EGY	/experiments/ENCSR000EPV/	[1]		304099	145649	808513.4319999792	0.485386	0.487497	0.000000	430248.728191	0.000000	0.236046	ok
ENCFF251LMW	/experiments/ENCSR593LTJ/	[1]		315332	147564	801951.9199999864	0.484602	0.470116	0.000000	243865.543224	0.000000	0.226961	ok
ENCFF150UXC	/experiments/ENCSR052AWE/	[1]		358903	167458	824709.0319999597	0.480471	0.472499	0.000000	363586.114196	0.000000	0.198306	ok
ENCFF540FDA	/experiments/ENCSR000EPG/	[1]		388644	171207	845860.4589999635	0.475883	0.473177	0.000000	442578.321599	0.000000	0.205118	ok
ENCFF459TUG	/experiments/ENCSR000ENW/	[2]		349514	160929	828194.23499998	0.460729	0.453192	0.000000	490962.634887	0.000000	0.215014	ok
ENCFF381RGE	/experiments/ENCSR000EOO/	[1]		489590	190476	883880.4569999634	0.456326	0.463933	0.000000	441936.639580	0.000000	0.192166	ok
ENCFF647RNC	/experiments/ENCSR000EOO/	[1]	True	373422	162328	838949.8269999708	0.455954	0.463820	0.000000	430127.353764	0.000000	0.219466	ok
ENCFF165AJB	/experiments/ENCSR000END/	[1]		368652	165233	830871.9839999651	0.448451	0.435155	0.000000	494486.038900	0.000000	0.207457	ok
ENCFF623JOA	/experiments/ENCSR000EPR/	[1]		387868	169428	837814.9939999634	0.445508	0.443046	0.000000	465855.447029	0.000000	0.203266	ok
ENCFF627IOL	/experiments/ENCSR035RVH/	[1]		317113	163390	812815.8999999582	0.437875	0.404529	0.000000	304419.203484	0.000000	0.198828	ok
ENCFF560CLW	/experiments/ENCSR000EPO/	[1]		381791	168802	839411.8619999767	0.409035	0.396631	0.000000	536991.564826	0.000000	0.205733	ok
ENCFF320AMD	/experiments/ENCSR000EPX/	[1]		341281	169099	828842.4719999686	0.352897	0.322829	0.000000	383650.163927	0.000000	0.197668	ok
ENCFF620NLL	/experiments/ENCSR000EOK/	[1]		326176	160188	812194.4329999719	0.341410	0.321324	0.000000	383661.622794	0.000000	0.205453	ok
