dataset	peak_accessions	peak_file_count	peak_count	peak_bins	weighted_binary_signal	signal_sum_correlation	signal_max_correlation	binary_correlation	status
/experiments/ENCSR630XDN/	ENCFF899YGN,ENCFF784EFM	2	85864	30941	599089.037000	0.954222	0.912855	0.581153	ok
/experiments/ENCSR396ZIN/	ENCFF613ATI,ENCFF597YKW	2	127856	43747	643251.635000	0.954220	0.909763	0.503118	ok
/experiments/ENCSR167JFX/	ENCFF637MHC,ENCFF538PLU	2	365372	95265	744755.238000	0.953781	0.912663	0.330385	ok
/experiments/ENCSR206KJN/	ENCFF202RFH,ENCFF408IRJ	2	102615	36386	616471.553000	0.953068	0.914644	0.540968	ok
/experiments/ENCSR788SKJ/	ENCFF926ZOY,ENCFF763HSO	2	100720	36068	616502.346000	0.952900	0.916679	0.544185	ok
/experiments/ENCSR385XHV/	ENCFF203WAC,ENCFF281AKO	2	87937	33533	604928.852000	0.952861	0.915726	0.557993	ok
/experiments/ENCSR316UDN/	ENCFF305UZH,ENCFF772TLO	2	244895	71322	701343.588000	0.952727	0.913241	0.390389	ok
/experiments/ENCSR582QEW/	ENCFF769GDZ,ENCFF383STX	2	92435	31873	602118.493000	0.952262	0.916466	0.573569	ok
/experiments/ENCSR457RVC/	ENCFF233MTP,ENCFF188HUC	2	99471	36354	617599.457000	0.952068	0.916162	0.542511	ok
/experiments/ENCSR486KKY/	ENCFF927RRR,ENCFF037MDY	2	98841	34310	608463.729000	0.951800	0.911961	0.553552	ok
/experiments/ENCSR703VGI/	ENCFF514RDU,ENCFF846MQW	2	130299	44486	639586.877000	0.951587	0.917660	0.493585	ok
/experiments/ENCSR442GKD/	ENCFF271IQS,ENCFF813XGK	2	95937	34597	611033.791000	0.951431	0.912775	0.553359	ok
/experiments/ENCSR705GCU/	ENCFF866RDX,ENCFF931AKV	2	253477	64512	669826.903000	0.951339	0.913605	0.396572	ok
/experiments/ENCSR452RAX/	ENCFF064ZUI,ENCFF652TDB	2	156230	52330	657878.061000	0.950758	0.913784	0.455371	ok
/experiments/ENCSR387EYA/	ENCFF951XVJ,ENCFF928IGF	2	159735	48593	641885.732000	0.950696	0.918783	0.465413	ok
/experiments/ENCSR784RMA/	ENCFF026BDN,ENCFF771HQR	2	123120	41935	635775.341000	0.950601	0.906781	0.510483	ok
/experiments/ENCSR769OIG/	ENCFF933UQU,ENCFF707MRS	2	128508	43409	640510.225000	0.950382	0.909859	0.503094	ok
/experiments/ENCSR283TME/	ENCFF290QWT,ENCFF621DXQ	2	308642	74880	680097.491000	0.950323	0.913885	0.357148	ok
/experiments/ENCSR290NGL/	ENCFF409NJS,ENCFF593FJR	2	80553	29595	594299.382000	0.950046	0.908021	0.592275	ok
/experiments/ENCSR467YCD/	ENCFF577WNP,ENCFF556DCQ	2	148041	49709	649961.143000	0.949639	0.918327	0.465395	ok
/experiments/ENCSR561ZLY/	ENCFF039YOG,ENCFF773SXB	2	149516	42660	637087.566000	0.949597	0.910684	0.505766	ok
/experiments/ENCSR642BXP/	ENCFF290NLX,ENCFF241PYN	2	201489	63641	685575.014000	0.949366	0.912142	0.414623	ok
/experiments/ENCSR526TFD/	ENCFF985UCI,ENCFF967NLQ	2	149076	51357	653172.615000	0.949085	0.918982	0.457334	ok
/experiments/ENCSR540VTN/	ENCFF547OML,ENCFF064BWF	2	115728	40367	631837.554000	0.948917	0.906581	0.519963	ok
/experiments/ENCSR977UMU/	ENCFF083WON,ENCFF010BIN	2	178406	58866	670901.194000	0.948794	0.919424	0.427675	ok
/experiments/ENCSR944GPH/	ENCFF107GIZ,ENCFF279UKO	2	91529	31169	594465.435000	0.947965	0.917615	0.573036	ok
/experiments/ENCSR642DZF/	ENCFF933QZD,ENCFF060XOT	2	100795	36100	617311.142000	0.947553	0.909124	0.544744	ok
/experiments/ENCSR940UEK/	ENCFF134XLD,ENCFF397KNY	2	211441	65669	689671.938000	0.947327	0.909908	0.407758	ok
/experiments/ENCSR322BYN/	ENCFF608IYL,ENCFF986AGY	2	69225	26859	576205.929000	0.947243	0.913556	0.607225	ok
/experiments/ENCSR035SZE/	ENCFF945IFO,ENCFF676TSC	2	108557	36577	604392.824000	0.947229	0.910437	0.525999	ok
/experiments/ENCSR552TPH/	ENCFF707GRL,ENCFF828FGS	2	113171	38979	627114.385000	0.947073	0.902211	0.527536	ok
/experiments/ENCSR314IOV/	ENCFF925QKS,ENCFF525RTF	2	190401	61016	679117.213000	0.946536	0.907373	0.422993	ok
/experiments/ENCSR683QJJ/	ENCFF139OOE,ENCFF027YPM	2	299922	83842	727969.990000	0.946354	0.904031	0.359004	ok
/experiments/ENCSR384GGJ/	ENCFF775PPP,ENCFF776FDY	2	113413	38368	622048.239000	0.946317	0.906212	0.527845	ok
/experiments/ENCSR943KMD/	ENCFF712OTV,ENCFF334WLQ	2	107562	36205	610477.401000	0.945935	0.907334	0.536259	ok
/experiments/ENCSR744UQK/	ENCFF442JWC,ENCFF106XUY	2	98420	36057	614670.474000	0.945727	0.905674	0.542301	ok
/experiments/ENCSR173HPQ/	ENCFF830OVF,ENCFF527RPC	2	93094	33692	607860.300000	0.945674	0.907592	0.559546	ok
/experiments/ENCSR525VCH/	ENCFF921HYE,ENCFF198MTH	2	112065	37322	617474.471000	0.945432	0.900167	0.532885	ok
/experiments/ENCSR295UXT/	ENCFF041GGN,ENCFF608XSO	2	144445	49132	649044.152000	0.945382	0.918720	0.468509	ok
/experiments/ENCSR445QDZ/	ENCFF747BLI,ENCFF715QFB	2	142568	43274	638301.070000	0.945336	0.902915	0.501964	ok
/experiments/ENCSR424MWH/	ENCFF982FEJ,ENCFF479ZJZ	2	211357	65908	690070.021000	0.945333	0.908765	0.406897	ok
/experiments/ENCSR283MZJ/	ENCFF300QNV,ENCFF992TAY	2	135841	43870	643477.281000	0.945178	0.899602	0.502356	ok
/experiments/ENCSR628IRM/	ENCFF163DRK,ENCFF729DOV	2	263575	72652	705897.958000	0.945119	0.900782	0.388092	ok
/experiments/ENCSR129HDK/	ENCFF956LXQ,ENCFF390DPO	2	75914	29135	586379.307000	0.944947	0.904705	0.588747	ok
/experiments/ENCSR862ZDV/	ENCFF119OCQ,ENCFF922ABK	2	164049	54771	661884.592000	0.944859	0.917519	0.443672	ok
/experiments/ENCSR020LUD/	ENCFF466CNH,ENCFF856GNF	2	344208	90685	739217.561000	0.944587	0.910154	0.342187	ok
/experiments/ENCSR389IHS/	ENCFF337CDU,ENCFF967SJS	2	77236	30922	588013.502000	0.944557	0.912355	0.568478	ok
/experiments/ENCSR218FJD/	ENCFF263IWM,ENCFF201SWK	2	79004	29431	591697.994000	0.944368	0.901012	0.591283	ok
/experiments/ENCSR296TFH/	ENCFF328TDD,ENCFF017WMK	2	130666	41907	634403.982000	0.944114	0.900006	0.509318	ok
/experiments/ENCSR941MHZ/	ENCFF981MZX,ENCFF152WTJ	2	229082	69819	697903.899000	0.944101	0.908467	0.394520	ok
/experiments/ENCSR607EJV/	ENCFF158AZL,ENCFF225RLH	2	103816	35269	610977.574000	0.944055	0.905595	0.546280	ok
/experiments/ENCSR704HNG/	ENCFF886GET,ENCFF841PMG	2	320053	80953	722986.714000	0.943672	0.899919	0.366507	ok
/experiments/ENCSR160VHJ/	ENCFF207UWE,ENCFF449AXZ	2	106421	35640	610147.557000	0.943586	0.911159	0.541575	ok
/experiments/ENCSR198UKY/	ENCFF339KLQ,ENCFF903IJF	2	101972	36427	616942.385000	0.943081	0.900173	0.541071	ok
/experiments/ENCSR671ZRV/	ENCFF939NFK,ENCFF358END	2	101615	36700	614297.848000	0.942699	0.900728	0.535511	ok
/experiments/ENCSR126EVX/	ENCFF570HLG,ENCFF360ZMS	2	125967	41416	635632.906000	0.942654	0.897595	0.514751	ok
/experiments/ENCSR254BCA/	ENCFF654XQL,ENCFF843BBE	2	90724	33722	605668.706000	0.942395	0.906315	0.556761	ok
/experiments/ENCSR181OGW/	ENCFF797UUQ,ENCFF684HWT	2	186215	61614	675505.153000	0.942390	0.913006	0.416588	ok
/experiments/ENCSR101RCL/	ENCFF886LQP,ENCFF762IIH	2	136045	45003	643338.208000	0.942291	0.902410	0.493281	ok
/experiments/ENCSR239XNU/	ENCFF157MKK,ENCFF749FDY	2	331428	115039	730320.459000	0.942258	0.911249	0.258858	ok
/experiments/ENCSR400YJR/	ENCFF550EQD,ENCFF524ZRE	2	181397	59080	672269.853000	0.942253	0.911482	0.427684	ok
/experiments/ENCSR424JPH/	ENCFF525KYF,ENCFF887MDX	2	153969	39644	617693.604000	0.942216	0.904017	0.511637	ok
/experiments/ENCSR068KDQ/	ENCFF215OLX,ENCFF151ZQW	2	192211	62730	679629.258000	0.942079	0.913567	0.414245	ok
/experiments/ENCSR614NSH/	ENCFF901UGO,ENCFF076EKB	2	117118	41827	624455.344000	0.941979	0.910898	0.499825	ok
/experiments/ENCSR388NOI/	ENCFF789TLJ,ENCFF821HKH	2	228126	70570	697941.488000	0.941973	0.906842	0.391038	ok
/experiments/ENCSR740DJQ/	ENCFF413CCK,ENCFF925AVW	2	131438	43052	638778.501000	0.941834	0.894344	0.504255	ok
/experiments/ENCSR546FUC/	ENCFF384OFO,ENCFF228ULM	2	104325	37042	617413.849000	0.941380	0.900022	0.535531	ok
/experiments/ENCSR556ARS/	ENCFF404RWR,ENCFF465TWB	2	84721	31698	597318.566000	0.941317	0.903556	0.570090	ok
/experiments/ENCSR396EWH/	ENCFF125XVJ,ENCFF044JFE	2	249941	66216	693362.827000	0.941090	0.897040	0.408164	ok
/experiments/ENCSR042WQA/	ENCFF787PXT,ENCFF263ESA	2	100543	33574	602271.605000	0.941022	0.900618	0.554558	ok
