accession	dataset	biological_replicates	preferred_default	peak_count	peak_bins	top_overlap	weighted_signal_in_peak_bins	status
ENCFF933CVK	/experiments/ENCSR265TEK/	[2]	True	165418	95770	992	681080.972000	ok
ENCFF888LEJ	/experiments/ENCSR754LIN/	[2]		152918	94364	991	678962.480000	ok
ENCFF094XEJ	/experiments/ENCSR814KRX/	[2]	True	155830	85212	995	677821.761000	ok
ENCFF491ZQT	/experiments/ENCSR499IFY/	[1]	True	166354	85679	991	675750.348000	ok
ENCFF853KWU	/experiments/ENCSR621ENC/	[1]	True	158093	78789	994	670700.319000	ok
ENCFF121PBD	/experiments/ENCSR275ICP/	[2]	True	155325	72080	998	668926.351000	ok
ENCFF645JXO	/experiments/ENCSR621ENC/	[2]		116148	78688	992	652742.071000	ok
ENCFF281DZK	/experiments/ENCSR083STA/	[2]		138680	93965	981	649824.815000	ok
ENCFF019COL	/experiments/ENCSR136KEL/	[1]		110429	74683	989	636431.498000	ok
ENCFF956HAM	/experiments/ENCSR000EPP/	[2]		120061	81852	989	635772.358000	ok
ENCFF620ZBH	/experiments/ENCSR269SIA/	[2]		130986	63034	994	623067.166000	ok
ENCFF094ZZB	/experiments/ENCSR923BEY/	[1]		89908	53776	995	618775.135000	ok
ENCFF424RPA	/experiments/ENCSR000EOB/	[2]		93773	63119	994	614581.468000	ok
ENCFF099PYM	/experiments/ENCSR019JDO/	[2]		94487	53868	994	612161.368000	ok
ENCFF204AKS	/experiments/ENCSR855FOP/	[2]		96392	51280	992	608076.624000	ok
ENCFF435LDF	/experiments/ENCSR000EMB/	[1]		101660	70990	983	606025.762000	ok
ENCFF609SPE	/experiments/ENCSR435NHO/	[2]		98097	62496	988	601210.799000	ok
ENCFF296LWE	/experiments/ENCSR000ENZ/	[2]		98845	66385	980	600260.687000	ok
ENCFF555DRR	/experiments/ENCSR174GXG/	[1]		89898	63571	988	599377.384000	ok
ENCFF962CSW	/experiments/ENCSR550UWM/	[1]		77788	54902	988	590502.636000	ok
ENCFF222TID	/experiments/ENCSR405TXU/	[2]		80220	56948	985	578221.240000	ok
ENCFF746SBA	/experiments/ENCSR000ENJ/	[2]		76354	56910	984	576950.870000	ok
ENCFF513FQU	/experiments/ENCSR752NTF/	[1]		76945	52165	982	576186.156000	ok
ENCFF137MIT	/experiments/ENCSR678ILN/	[1]		84449	66348	966	574479.250000	ok
ENCFF333FIM	/experiments/ENCSR354FBA/	[1]		63147	48521	985	573887.940000	ok
ENCFF004LHP	/experiments/ENCSR674JIL/	[1]		67775	46198	997	573804.924000	ok
ENCFF785BMM	/experiments/ENCSR639ZJI/	[1]	True	57217	44154	993	572516.942000	ok
ENCFF980LAA	/experiments/ENCSR891VOV/	[1]		47739	33787	999	565360.807000	ok
ENCFF413MXL	/experiments/ENCSR115YPI/	[1]		71895	39372	987	560166.444000	ok
ENCFF884QKO	/experiments/ENCSR695AUY/	[1]		56227	38246	995	557431.570000	ok
ENCFF443LXU	/experiments/ENCSR247IUJ/	[1]		45069	33136	998	555396.184000	ok
ENCFF180HKE	/experiments/ENCSR826ERZ/	[1]		75706	54926	983	553349.127000	ok
ENCFF752XGR	/experiments/ENCSR735BIM/	[1]	True	59030	45551	985	548854.857000	ok
ENCFF020NHN	/experiments/ENCSR000FEK/	[2]		68229	53946	967	548193.952000	ok
ENCFF092UEU	/experiments/ENCSR082XEU/	[1]		59001	41907	978	545372.745000	ok
ENCFF079REB	/experiments/ENCSR309FOO/	[1]	True	76295	60270	969	542764.662000	ok
ENCFF281HZW	/experiments/ENCSR440QMR/	[1]		68469	57184	952	542585.401000	ok
ENCFF813EFK	/experiments/ENCSR129KIV/	[1]	True	56073	42598	978	540818.850000	ok
ENCFF040RYO	/experiments/ENCSR119HXE/	[1]		60494	40504	978	537150.178000	ok
ENCFF434VTI	/experiments/ENCSR000FDI/	[1]		71272	56137	953	536521.010000	ok
ENCFF973KFK	/experiments/ENCSR301RCD/	[1]		62502	46921	973	535688.319000	ok
ENCFF131NHH	/experiments/ENCSR563XRP/	[1]		68830	53502	956	532437.776000	ok
ENCFF795RVP	/experiments/ENCSR800QGE/	[1]		52135	39373	972	523241.943000	ok
ENCFF245RKH	/experiments/ENCSR891VOV/	[1]	True	34526	24909	996	518648.681000	ok
ENCFF203SII	/experiments/ENCSR475VQD/	[2]		51433	39043	972	518077.570000	ok
ENCFF469WRJ	/experiments/ENCSR674JIL/	[1]	True	49951	35491	981	515245.856000	ok
ENCFF541UAD	/experiments/ENCSR425MRQ/	[1]	True	30730	22855	994	515055.205000	ok
ENCFF237XSZ	/experiments/ENCSR959ZXU/	[2]		65371	47716	964	509817.870000	ok
ENCFF262LZH	/experiments/ENCSR247IUJ/	[1]	True	32354	24649	987	505859.593000	ok
ENCFF835PEV	/experiments/ENCSR354FBA/	[1]	True	40420	32619	958	500023.946000	ok
ENCFF665SPS	/experiments/ENCSR444VTC/	[1]	True	43246	33225	969	498181.781000	ok
ENCFF856PYK	/experiments/ENCSR014FPY/	[1]		56711	48901	908	493998.502000	ok
ENCFF089MSS	/experiments/ENCSR355PNF/	[1]		102019	56487	960	484854.975000	ok
ENCFF825TGI	/experiments/ENCSR373BIX/	[2]		41362	20419	995	483171.598000	ok
ENCFF540NZQ	/experiments/ENCSR133KBX/	[1]	True	38595	29354	958	474862.044000	ok
ENCFF191LRX	/experiments/ENCSR620WAR/	[1]		52865	34298	951	472817.594000	ok
ENCFF478NDZ	/experiments/ENCSR594OWA/	[1]	True	47837	38943	932	469684.485000	ok
ENCFF533SIF	/experiments/ENCSR158YXM/	[1]		30577	21285	970	466709.295000	ok
ENCFF774IWV	/experiments/ENCSR678ILN/	[1]		50236	41409	915	461215.623000	ok
ENCFF676PRF	/experiments/ENCSR082XEU/	[1]	True	34036	24450	946	459764.312000	ok
ENCFF759BPO	/experiments/ENCSR457ILW/	[1]	True	38262	27819	943	457891.251000	ok
ENCFF668UYX	/experiments/ENCSR261SMF/	[1]	True	40362	34581	883	447021.872000	ok
ENCFF078OQS	/experiments/ENCSR522FGG/	[1]	True	27746	22197	922	446682.133000	ok
ENCFF289MVB	/experiments/ENCSR016THC/	[1]	True	34819	24773	943	438129.021000	ok
ENCFF314SVF	/experiments/ENCSR158YXM/	[1]		18297	13632	954	413357.440000	ok
ENCFF565RUN	/experiments/ENCSR097BWW/	[1]		35503	18267	885	412696.308000	ok
ENCFF349WKN	/experiments/ENCSR062DXC/	[1]	True	29452	22587	892	411068.971000	ok
