Supplementary Table 14: Pathways and protein complexes prioritized by DEPICT. The Data-driven Enrichment-Prioritized Integration for Complex Traits (DEPICT) method re-annotates gene sets based on large-scale gene expression data and then identifie reconstituted gene sets that enrich for genes within associated loci. Locus gene sets were constructed by mapping genes to a given locus if they were within, or overlapped with, regions defined by linkage disequilibrium r2>0.5 around the lead SNP of the given locus. The table lists 301 gene sets with P<1x10-11). The ‘Reconstituted gene set ID’ column lists the gene set ID of the original gene set. Reconstituted gene sets starting with GO are derived from the Gene Ontology database; gene sets starting with MP are derived phenotypic gene sets from the Mouse Genome Informatics database; gene sets starting with ENSG are derived protein-protein interaction subnetworks from the InWeb database; and prefixes KEGG and REACTOME refer to gene sets derived from the KEGG and REACTOME databases, respectively). Gene sets were pruned into meta gene sets based on fraction of shared genes (Jaccard index > 0.25). The column ‘Part of meta gene set’ lists the meta gene set a given gene set may be part of. 	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5
GO:0044212	Transcription Regulatory Region Dna Binding	GO:0005667	4.28e-17	<1.04E-5	RARA, FOXD2, SNAI1, SMAD7, CTDSP2, PTCH1, SMAD6, RREB1, TWIST1, TRIB1, H1FX, REST, KIAA1267, TBX2, CREBBP, ISL1, ZMIZ1, TLE3
GO:0008285	Negative Regulation Of Cell Proliferation	-	4.32e-17	<1.04E-5	*, TRIB1, ITM2B, TRIOBP
GO:0030278	Regulation Of Ossification	GO:0030278	4.49e-17	<1.04E-5	*, DMP1, OMD, SCARA3
MP:0003419	Delayed Endochondral Bone Ossification	GO:0001501	5.8e-17	<1.04E-5	FGFR2, SMOC2, FAM101A, TBX18, COL10A1, SMAD6, GDF5, TWIST1, FBN2, IGF2, COL9A2, TGFB2, COL27A1, MATN3, DMP1, OGN, WWP2, COL11A1, ACAN, FBN1, CYTL1, CRISPLD1, SIX1, IBSP, PRRX1, OMD, COL6A1, TRPS1, ASPN
GO:0003682	Chromatin Binding	GO:0003682	6.38e-17	<1.04E-5	RARA, CCNA2, DTL, EZH2, UHRF1, FANCI, POLR2A, RTF1, RREB1, TWIST1, NASP, NIPBL, PDS5B, CSE1L, GLTSCR1, H1FX, TACC3, REST, MED13L, HIRIP3, ATAD5, ARID1B, STAG1, CTCF, HNRNPH3, KIAA1267, CREBBP, BAHCC1, TLE3
GO:0060348	Bone Development	GO:0001501	8.1e-17	<1.04E-5	COL10A1, SFRP4, COL11A1, ACAN, OMD
ENSG00000115289	PCGF1 protein complex	ENSG00000177485	8.33e-17	<1.04E-5	KDM1A, CREBBP, RNPS1
MP:0004462	Small Basisphenoid Bone	-	8.86e-17	<1.04E-5	FOXD2, GMDS, TBX18, BMP6, SMAD6, WWP2, ACAN, HMGA2, NFATC1, SIX1, SIX4, OMD, SCARA3, TRPS1
ENSG00000169083	AR protein complex	ENSG00000169083	8.94e-17	<1.04E-5	CTNNB1, TP53, SBNO1, NIPBL, PDS5B, CSE1L, REST, MED13L, ARID1B, KDM1A, CTCF, ARIH1, PBRM1, ZMIZ1, PPP6R3
MP:0000914	Exencephaly	-	1.04e-16	<1.04E-5	RNF44, NEK4, GLI2, SERPINH1, REST, SALL1, WNT5A, PTPN14
GO:0000975	Regulatory Region Dna Binding	GO:0005667	1.25e-16	<1.04E-5	RARA, FOXD2, SNAI1, SMAD7, CTDSP2, PTCH1, SMAD6, TWIST1, TRIB1, H1FX, REST, KIAA1267, TBX2, CREBBP, ISL1, NFKBIA, ZMIZ1, TLE3
GO:0001067	Regulatory Region Nucleic Acid Binding	GO:0005667	1.25e-16	<1.04E-5	RARA, FOXD2, SNAI1, SMAD7, CTDSP2, PTCH1, SMAD6, TWIST1, TRIB1, H1FX, REST, KIAA1267, TBX2, CREBBP, ISL1, NFKBIA, ZMIZ1, TLE3
MP:0000352	Decreased Cell Proliferation	ENSG00000114166	1.25e-16	<1.04E-5	CCNF, DNA2, CCNA2, DTL, EZH2, UHRF1, FANCI, CENPW, SPC25, NASP, ZNF367, CSE1L, H1FX, TACC3, TOP2A, HIRIP3, ATAD5, E2F1, STAG1, CTCF, NUSAP1, CREBBP, RFC1, PBRM1, NCAPG, CDCA2, FANCA
ENSG00000175387	SMAD2 protein complex	-	1.31e-16	<1.04E-5	SMAD7, CTDSP2, FBXW11, GLTSCR1, SMAD3, CREBBP
MP:0002151	Abnormal Neural Tube Morphology/Development	-	1.31e-16	<1.04E-5	SNAI1, NEO1, PTCH1, SMAD6, TWIST1, FBN2, BMP2, NSD1, SALL1, WNT5A
GO:0035108	Limb Morphogenesis	GO:0048736	1.42e-16	<1.04E-5	*, TWIST1, SIX1, NFATC4
GO:0035107	Appendage Morphogenesis	GO:0035107	1.42e-16	<1.04E-5	*, TWIST1, SIX1, NFATC4
GO:0090092	Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway	-	1.43e-16	<1.04E-5	*, SMAD7, SMAD6, FBN1
ENSG00000089094	KDM2B protein complex	ENSG00000177485	1.62e-16	<1.04E-5	KDM1A, CREBBP, SUPT16H, RNPS1
ENSG00000107882	SUFU protein complex	ENSG00000107882	1.82e-16	<1.04E-5	PTCH1, GLI2, HIST2H2BE, HHIP
ENSG00000156374	PCGF6 protein complex	ENSG00000177485	2.05e-16	<1.04E-5	CREBBP, RNPS1
MP:0009890	Cleft Secondary Palate	GO:0001501	2.38e-16	<1.04E-5	FOXD2, SNAI1, PITX1, FGFR2, LPAR1, PTCH1, TWIST1, FBN2, IGF2, PAX9, OGN, SALL1, WNT5A, FBN1, SIX1, ISL1, C7orf58, ID4, PRRX1, SIX4, OMD, TRPS1, NFATC4
ENSG00000180628	PCGF5 protein complex	ENSG00000177485	2.43e-16	<1.04E-5	STAU1, PABPN1, MSL2, KDM1A, CREBBP, SUPT16H, RNPS1
KEGG_PATHWAYS_IN_CANCER	 Pathways In Cancer	-	2.47e-16	<1.04E-5	SMAD7, CSF2, LAMC1, PTCH1, AXIN2, GLI2, SERPINH1, FNDC3B, IGFBP3, WNT5A, LAMA5, SMAD3, NFKBIA
ENSG00000121481	RNF2 protein complex	ENSG00000177485	2.57e-16	<1.04E-5	POLR2A, MSL2, SBNO1, FUBP3, KDM1A, UBE2Z
ENSG00000056661	PCGF2 protein complex	ENSG00000177485	2.66e-16	<1.04E-5	EZH2, NUP153, MSL2, RNPS1
MP:0004255	Abnormal Spongiotrophoblast Layer Morphology	-	3.18e-16	<1.04E-5	IGF2, DNM2, FNDC3B, NFKBIA
ENSG00000091831	ESR1 protein complex	ENSG00000169083	3.35e-16	<1.04E-5	RARA, POLR2A, CTDSP2, TP53, NIPBL, PPP4C, SMARCD2, ARID1B, CTCF, ECE1, CREBBP, NFKBIA
MP:0005621	Abnormal Cell Physiology	-	3.59e-16	<1.04E-5	*, STAT2, RPN2, NFKBIA
MP:0001716	Abnormal Placenta Labyrinth Morphology	-	5.04e-16	<1.04E-5	FNDC3B, STAG1, CREBBP
ENSG00000132153	DHX30 protein complex	-	5.18e-16	<1.04E-5	EDC4, MSL2, KDM1A, GEMIN4, CREBBP, ARIH1
ENSG00000173894	CBX2 protein complex	ENSG00000114166	5.21e-16	<1.04E-5	SNAI1, SMARCA5, POLR2A, OTUD4, SUZ12, HIST2H2BE, H1FX, HOXB5
ENSG00000100888	CHD8 protein complex	ENSG00000100888	5.31e-16	<1.04E-5	THUMPD1, EDC4, RNF25, NUP153, MSL2, DDX28, RNMTL1, MED13L, NSD1, HIRIP3, KIAA1267, GEMIN4, CREBBP, CHD8, ARIH1, GTF3C2
GO:0048732	Gland Development	-	5.38e-16	<1.04E-5	*, GH1, WNT5A, WNT4
ENSG00000185619	PCGF3 protein complex	ENSG00000177485	5.5e-16	<1.04E-5	STAU1, KDM1A, CTCF, CREBBP, SUPT16H, RNPS1
GO:0000988	Protein Binding Transcription Factor Activity	GO:0005667	5.54e-16	<1.04E-5	RARA, RNF44, EDC4, SMAD7, POLR2A, ZNF574, MSL2, GLTSCR1, H1FX, MED13L, PPP4C, ARID1B, CTCF, SF3B4, KIAA1267, CREBBP, NFKBIA
GO:0032330	Regulation Of Chondrocyte Differentiation	GO:0048736	6.21e-16	<1.04E-5	MATN3
ENSG00000131652	THOC6 protein complex	ENSG00000177485	7.82e-16	<1.04E-5	STAU1, RNPS1
MP:0001914	Hemorrhage	MP:0001914	8.54e-16	<1.04E-5	LOXL1, LAMC1, LTBP1, IGFBP4, FLI1, PXDN, SERPINH1, IGFBP3, FBN1, FBLN2, PTPN12, COL6A1, GRK5, COL15A1
GO:0030326	Embryonic Limb Morphogenesis	GO:0048736	8.86e-16	<1.04E-5	TWIST1, NFATC4
GO:0035113	Embryonic Appendage Morphogenesis	GO:0048736	8.86e-16	<1.04E-5	TWIST1, NFATC4
ENSG00000175029	CTBP2 protein complex	-	9.51e-16	<1.04E-5	CTDSP2, MEAF6
GO:2000027	Regulation Of Organ Morphogenesis	-	9.96e-16	<1.04E-5	*, SPRY2, WNT5A, HMGA2
MP:0005508	Abnormal Skeleton Morphology	GO:0001501	1.12e-15	<1.04E-5	FOXD2, SNAI1, FGFR2, FAM101A, SMAD7, LPAR1, NEO1, COL10A1, LTBP1, PTCH1, SMAD6, TWIST1, COL9A2, TGFB2, BMP2, COL27A1, TRIB1, MATN3, DMP1, OGN, SERPINH1, WWP2, COL11A1, DAB2, ACAN, ENPP2, WNT5A, FBN1, CYTL1, NFATC1, LOXL2, IBSP, PRRX1, NFKBIA, OMD, SCARA3, COL6A1, TRPS1, TLE3, COL15A1
ENSG00000141646	SMAD4 protein complex	GO:0005667	1.17e-15	<1.04E-5	SMAD7, MAP3K3, CREBBP, ARIH1
GO:0017015	Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway	-	1.3e-15	<1.04E-5	*, SMAD7, LTBP2, HEXIM1
GO:0060429	Epithelium Development	-	1.33e-15	<1.04E-5	*, PPL, LAMA5, GSDMC
MP:0000432	Abnormal Head Morphology	-	1.49e-15	<1.04E-5	FGFR2, SMAD6, FBN2, FLNB, DMP1, WWP2, ACAN, IBSP, ID4
MP:0000137	Abnormal Vertebrae Morphology	-	1.54e-15	<1.04E-5	SNAI1, FGFR2, FAM101A, TBX15, HOXB6, COL10A1, SMAD6, TWIST1, FBN2, COL9A2, HOXB3, ROR2, MATN3, WWP2, COL11A1, SALL1, ACAN, WNT5A, CYTL1, NFATC1, HOXB5, ENSG00000233101, SIX1, IBSP, OMD, COL6A1, TRPS1, TLE3, NFATC4
MP:0004607	Abnormal Cervical Atlas Morphology	GO:0001501	1.56e-15	<1.04E-5	FOXD2, FAM101A, HOXB6, TWIST1, PAX9, ACAN, HOXB5, SIX1
MP:0003229	Abnormal Vitelline Vasculature Morphology	MP:0001914	1.67e-15	<1.04E-5	SMAD7, LAMC1, SMAD6, FLI1, EDNRB, IGFBP3, DLC1, TRIOBP, ECE1, CREBBP
MP:0005108	Abnormal Ulna Morphology	MP:0005108	1.87e-15	<1.04E-5	FGFR2, TBX4, SMAD6, SALL1, WNT5A, NFATC4
GO:0000989	Transcription Factor Binding Transcription Factor Activity	GO:0003682	2e-15	<1.04E-5	RARA, RNF44, EDC4, SMAD7, POLR2A, TP53, ZNF574, MSL2, GLTSCR1, H1FX, MED13L, PPP4C, CTCF, SF3B4, KIAA1267, CREBBP, NFKBIA
MP:0004200	Decreased Fetal Size	-	2.33e-15	<1.04E-5	MARK3, FGFR2, PTCH1, FBN2, IGF2, SERPINH1, SMAD3
ENSG00000101665	SMAD7 protein complex	-	2.44e-15	<1.04E-5	SNAI1, SMAD7, SMAD6, NUP153, MAP3K3, SMAD3, PTPN12, CREBBP, ID4, ARIH1, ZMIZ1
MP:0000107	Abnormal Frontal Bone Morphology	MP:0000107	2.56e-15	<1.04E-5	FOXD2, SNAI1, PITX1, FGFR2, PTCH1, SMAD6, TWIST1, BMP2, CKB, DMP1, SALL1, WNT5A, SMAD3, SIX1, IBSP, PRRX1, SIX4, OMD, NFATC4
MP:0002114	Abnormal Axial Skeleton Morphology	GO:0001501	2.61e-15	<1.04E-5	FGFR2, FAM101A, SMAD7, HOXB6, PTCH1, SMAD6, TWIST1, FBN2, COL9A2, BMP2, DMP1, SERPINH1, WWP2, SALL1, ACAN, NFATC1, SIX1, IBSP, ID4, OMD, TRPS1
ENSG00000134371	CDC73 protein complex	-	2.97e-15	<1.04E-5	KDM1A, SOCS5, TLE3, MEAF6
GO:0048332	Mesoderm Morphogenesis	GO:0048332	3.01e-15	<1.04E-5	*, TBX6, ZSCAN10, NFATC4
GO:0002062	Chondrocyte Differentiation	GO:0001501	3.01e-15	<1.04E-5	SMOC2, FAM101A, COL10A1, GDF5, COL9A2, COL27A1, MATN3, WWP2, ACAN, IBSP
MP:0000159	Abnormal Xiphoid Process Morphology	-	3.34e-15	<1.04E-5	FOXD2, PITX1, FAM101A, TBX18, SMAD6, FBN2, GLI2, PAX9, TGFB2, ROR2, MATN3, OGN, LOXL2, SIX1, PTPRG, ID4, SIX4, OMD
KEGG_TGF_BETA_SIGNALING_PATHWAY	 Tgf Beta Signaling Pathway	KEGG_TGF_BETA_SIGNALING_PATHWAY	3.84e-15	<1.04E-5	SNAI1, SMAD7, BMP6, COL10A1, LTBP1, PTCH1, SMAD6, AXIN2, IGF2, BMP2, MATN3, WWC2, ACAN, IGFBP3, FBN1, LEMD3, LTBP2, COL8A1, CRIM1, ID4, OMD
GO:0007389	Pattern Specification Process	GO:0043009	3.86e-15	<1.04E-5	HOXB6, HOXB3, HOXB5, ENSG00000233101
ENSG00000198176	TFDP1 protein complex	ENSG00000114166	4.02e-15	<1.04E-5	CCNF, CCNA2, DTL, EZH2, UHRF1, FANCI, POLR2A, SPC25, ZNF367, SUZ12, TACC3, TOP2A, OIP5, E2F1, CDKN2C, NUSAP1, PBRM1, NCAPG
GO:0007507	Heart Development	GO:0007507	4.08e-15	<1.04E-5	MYBPC3, MYH7B
GO:0061138	Morphogenesis Of A Branching Epithelium	GO:0061138	4.28e-15	<1.04E-5	*, THSD4, IGFBP4, WNT5A
MP:0001718	Abnormal Visceral Yolk Sac Morphology	-	4.57e-15	<1.04E-5	MYBPC3, ITIH1, SMAD6, OTUD4, BMP2, FBN1, ENSG00000256162
GO:0045667	Regulation Of Osteoblast Differentiation	GO:0030278	4.65e-15	<1.04E-5	*, ID4, GLI2, ROR2
ENSG00000179899	ENSG00000179899 protein complex	ENSG00000179899	4.86e-15	<1.04E-5	EZH2, SMAD7, NUP153, H1FX, CDKN2C, UBE2Z, MEAF6
GO:0046332	Smad Binding	-	5.23e-15	<1.04E-5	SMAD7, NEO1, SMAD6, RREB1, TRIB1, MAP3K3, FBN1, PTPN12, CREBBP, SPRY2, ID4
GO:0003712	Transcription Cofactor Activity	GO:0003682	5.86e-15	<1.04E-5	RARA, RNF44, EDC4, SMAD7, CDKN1B, POLR2A, ZNF574, MSL2, GLTSCR1, H1FX, MED13L, PPP4C, ARID1B, CTCF, SF3B4, KIAA1267, CREBBP, NFKBIA
ENSG00000141582	CBX4 protein complex	ENSG00000141582	5.93e-15	<1.04E-5	SMAD7, OTUD4, FUBP3, PBRM1
MP:0002116	Abnormal Craniofacial Bone Morphology	GO:0043009	6.61e-15	<1.04E-5	FOXD2, FGFR2, FAM101A, GMDS, TBX18, COL10A1, SMAD6, TWIST1, FBN2, IGF2, COL9A2, PAX9, MATN3, DMP1, WWP2, COL11A1, ACAN, CRISPLD1, NFATC1, HOXB5, SIX1, IBSP, PRRX1, SIX4, OMD, SCARA3, TRPS1
GO:0007179	Transforming Growth Factor Beta Receptor Signaling Pathway	-	8.43e-15	<1.04E-5	*, SMAD7, LTBP2, ZMIZ1
MP:0000074	Abnormal Neurocranium Morphology	GO:0001501	8.67e-15	<1.04E-5	FGFR2, FAM101A, COL10A1, SMAD6, TWIST1, FBN2, COL9A2, BMP2, DMP1, WWP2, COL11A1, ACAN, CRISPLD1, SIX1, MPPED2, IBSP, PRRX1, OMD, SCARA3, COL6A1, TRPS1
