cell_type	gene	eye1_mean_norm	eye2_mean_norm	eye1_detection	eye2_detection	delta_eye1_minus_eye2	log2fc_eye1_vs_eye2
cone cell	GBP2	0	0	0	0	0	0
cone cell	HLA-DPA1	0	0.00638463601190096	0	0.0028169014084507	-0.00638463601190096	-0.712343623466071
cone cell	HLA-DPB1	0.0155963153544697	0.0478223436372463	0.00943396226415094	0.0169014084507042	-0.0322260282827766	-1.17569093879873
cone cell	HLA-DQA1	0	0	0	0	0	0
cone cell	HLA-DQB1	0.0197444261270629	0.0198076136273017	0.00943396226415094	0.00845070422535211	-6.31875002387906e-05	-0.00306153501464432
cone cell	B2M	0.210536696369228	0.119594152530454	0.108490566037736	0.0450704225352113	0.0909425438387742	0.7670181108106
cone cell	TAP1	0	0.0110206613934866	0	0.00563380281690141	-0.0110206613934866	-1.07180806292957
cone cell	TAP2	0.0538479419932318	0.0542733188723751	0.0235849056603774	0.028169014084507	-0.000425376879143305	-0.00957985216262703
cone cell	ICAM1	0	0	0	0	0	0
cone cell	VCAM1	0	0	0	0	0	0
cone cell	S100A8	0	0	0	0	0	0
cone cell	S100A9	0.0110753255038166	0	0.00471698113207547	0	0.0110753255038166	1.07555491345042
rod cell	IL1B	0.0195903688713506	0.000533539492993426	0.0104545454545455	0.000140587656403768	0.0190568293783572	1.49013738716882
rod cell	TNF	0	0	0	0	0	0
rod cell	IL6	0.0163470347401393	0	0.00939393939393939	0	0.0163470347401393	1.39764060108749
rod cell	CCL2	0.0101772074350876	0.00253652254338243	0.00666666666666667	0.000843525938422606	0.00764068489170521	0.68658929631292
rod cell	CCL3	0	0	0	0	0	0
rod cell	CCL4	0.000208612352354608	0	0.000151515151515152	0	0.000208612352354608	0.0297867752821049
rod cell	CXCL8	0.00386561256953662	0.000595710408490541	0.00242424242424242	0.000140587656403768	0.00326990216104607	0.388031035635394
rod cell	CXCL9	0.0215180178931685	0	0.0113636363636364	0	0.0215180178931685	1.65617680936247
rod cell	CXCL10	0.0204258601087047	0.000865154808638571	0.0112121212121212	0.000140587656403768	0.0195607053000661	1.4855893166261
rod cell	CXCL16	0.0138834026148491	0.0173212394533033	0.00424242424242424	0.00421762969211303	-0.00343783683845414	-0.19401454553301
rod cell	NFKBIA	0.111734860341407	0.0803402755213349	0.035	0.01940109658372	0.0313945848200717	0.430301142626893
rod cell	NFKB1	0.33209182169336	0.254598613254167	0.0766666666666667	0.055672711935892	0.0774932084391926	0.370578113799634
rod cell	RELA	0.0495573620005342	0.0839763224857986	0.0160606060606061	0.0196822718965275	-0.0344189604852644	-0.65801745936596
rod cell	STAT1	0.469620883187634	0.564974631574598	0.11530303030303	0.11640657950232	-0.0953537483869639	-0.261603827840468
rod cell	IRF7	0.0624861166987037	0.0618346732239472	0.0212121212121212	0.0146211162659918	0.000651443474756479	0.0130243280132411
rod cell	ISG15	0.00548186443224503	0.0094083049806047	0.00318181818181818	0.00309292844088289	-0.00392644054835967	-0.326094904976298
rod cell	IFIT1	0.0466896528997712	0.0416071863543242	0.0163636363636364	0.0109658371994939	0.00508246654544702	0.135513459409366
rod cell	IFIT2	0.00462410206692904	0.00786170114656264	0.00196969696969697	0.00182763953324898	-0.0032375990796336	-0.288521444491187
rod cell	IFIT3	0.0115831015349708	0.00827250406562946	0.00424242424242424	0.00210881484605652	0.00331059746934135	0.240227843319788
rod cell	IFITM1	0.00446387961060224	0.000330794485655924	0.00363636363636364	0.000140587656403768	0.00413308512494632	0.485503366353915
rod cell	IFITM2	0.0966555476118344	0.189572183898039	0.0303030303030303	0.0437227611415718	-0.0929166362862046	-0.903951645418819
rod cell	IFITM3	0.56807964712526	0.935287079830105	0.142121212121212	0.177843385350766	-0.367207432704845	-0.709484257251813
rod cell	MX1	0.00379334780267069	0.00454779351833054	0.00212121212121212	0.00154646422044145	-0.000754445715659845	-0.0768276965244379
rod cell	MX2	0.00035997897722773	0.00338514743895258	0.000151515151515152	0.000702938282018839	-0.00302516846172485	-0.36961195505106
rod cell	OAS1	0.000269025482093664	0.00144569040554686	0.000151515151515152	0.000702938282018839	-0.0011766649234532	-0.156505210908021
rod cell	OAS2	0.000397306155123574	0.000649065819038632	0.000303030303030303	0.000140587656403768	-0.000251759663915058	-0.0345170887335488
rod cell	OAS3	0	0.000333937426137216	0	0.000140587656403768	-0.000333937426137216	-0.0473900531220875
rod cell	IFI6	0.0746617697202749	0.0654262199559302	0.023030303030303	0.0164487557992408	0.00923554976434464	0.166644520282989
rod cell	IFI27	0.0571202732608165	0.0648167435579757	0.016969696969697	0.0130746520455504	-0.00769647029715921	-0.156612583813339
rod cell	GBP1	0.00300242475025456	0.00490713632952761	0.000909090909090909	0.00140587656403768	-0.00190471157927306	-0.197222453033662
rod cell	GBP2	0.00407045418598417	0.00527460700800574	0.00227272727272727	0.00196822718965275	-0.00120415282202157	-0.118466363537956
rod cell	HLA-DPA1	0.0129613905987366	0.0155677043034591	0.00363636363636364	0.00365527906649796	-0.00260631370472247	-0.155112610518375
rod cell	HLA-DPB1	0.0251581942784376	0.0411451086911257	0.00772727272727273	0.00745114578939969	-0.015986914412688	-0.540735297416588
rod cell	HLA-DQA1	0.000404256007244268	0.00357913360144183	0.000151515151515152	0.00112470125123014	-0.00317487759419756	-0.384217629479628
rod cell	HLA-DQB1	0.00204897900194818	0.00461390041243465	0.000454545454545455	0.00126528890763391	-0.00256492141048647	-0.278430379591506
rod cell	B2M	0.244104750725802	0.305111045338497	0.0659090909090909	0.0684661886686349	-0.0610062946126943	-0.31043697671558
rod cell	TAP1	0.0160099525755993	0.0273411549269592	0.00636363636363636	0.00787290875861099	-0.0113312023513599	-0.521702780668743
rod cell	TAP2	0.101515317689101	0.0902528897288046	0.0303030303030303	0.0224940250246028	0.0112624279602965	0.153598069547058
rod cell	ICAM1	0.0595675115343377	0.0128760611267079	0.0201515151515152	0.0039364543793055	0.0466914504076298	1.60457505002629
rod cell	VCAM1	0.000176323928215002	0	0.000151515151515152	0	0.000176323928215002	0.0252164996923937
rod cell	S100A8	0.00445946497367658	0.00386912446670027	0.00106060606060606	0.000984113594826374	0.00059034050697631	0.0601374552044521
rod cell	S100A9	0.0137288695824071	0.00798382838055775	0.00287878787878788	0.00168705187684521	0.00574504120184934	0.399943200625952
horizontal cell	IL1B	0	0	0	0	0	0
horizontal cell	TNF	0	0	0	0	0	0
horizontal cell	IL6	0	0	0	0	0	0
horizontal cell	CCL2	0	0.00289054517127203	0	0.00202020202020202	-0.00289054517127203	-0.366313279933742
horizontal cell	CCL3	0	0	0	0	0	0
horizontal cell	CCL4	0	0	0	0	0	0
horizontal cell	CXCL8	0	0	0	0	0	0
horizontal cell	CXCL9	0	0	0	0	0	0
horizontal cell	CXCL10	0	0	0	0	0	0
horizontal cell	CXCL16	0.00582757374794578	0.0170673220518335	0.00242718446601942	0.00202020202020202	-0.0112397483038877	-0.774112041548906
horizontal cell	NFKBIA	0.17628004670894	0.09412508870732	0.0606796116504854	0.0404040404040404	0.08215495800162	0.839155424353659
horizontal cell	NFKB1	0.497758622735645	0.413467667889667	0.135922330097087	0.121212121212121	0.084290954845978	0.261891011725866
horizontal cell	RELA	0.0587951896708159	0.084794776801455	0.0218446601941748	0.0323232323232323	-0.0259995871306391	-0.46249987705849
horizontal cell	STAT1	0.22098277239986	0.207401629986722	0.0703883495145631	0.0666666666666667	0.0135811424131373	0.0874224966739862
horizontal cell	IRF7	0.0158693841018049	0.0134816642686715	0.00728155339805825	0.00606060606060606	0.00238771983313345	0.139711043319738
horizontal cell	ISG15	0.00305960477249391	0.00445665568101041	0.00242718446601942	0.00202020202020202	-0.0013970509085165	-0.146622609424752
horizontal cell	IFIT1	0.118216654935495	0.0874789081895987	0.0412621359223301	0.0343434343434343	0.0307377467458967	0.395421678234541
horizontal cell	IFIT2	0.0761458580535784	0.00784411651618715	0.0266990291262136	0.00404040404040404	0.0683017415373912	2.2713329588661
horizontal cell	IFIT3	0.0727576403299927	0.0322604675189396	0.029126213592233	0.0202020202020202	0.0404971728110532	0.96958378259375
horizontal cell	IFITM1	0	0	0	0	0	0
horizontal cell	IFITM2	0.0966578833383645	0.0979321839421758	0.0266990291262136	0.0343434343434343	-0.00127430060381133	-0.0171345188081143
horizontal cell	IFITM3	0.351541038374268	0.559595953718866	0.111650485436893	0.143434343434343	-0.208054915344599	-0.655779481569893
horizontal cell	MX1	0.040227732113905	0.00864072720360146	0.00485436893203883	0.00202020202020202	0.0315870049103036	1.43002599295718
horizontal cell	MX2	0	0.00694704958803996	0	0.00202020202020202	-0.00694704958803996	-0.761034127921776
horizontal cell	OAS1	0	0	0	0	0	0
horizontal cell	OAS2	0	0	0	0	0	0
horizontal cell	OAS3	0	0.00285218413130315	0	0.00202020202020202	-0.00285218413130315	-0.36201355534423
horizontal cell	IFI6	0.275315444594792	0.24818947222614	0.0922330097087379	0.0888888888888889	0.0271259723686514	0.144127669085616
horizontal cell	IFI27	0.022182022125283	0.00981395200486772	0.00728155339805825	0.00202020202020202	0.0123680701204153	0.699738316594992
horizontal cell	GBP1	0	0	0	0	0	0
horizontal cell	GBP2	0	0.00516675708491565	0	0.00202020202020202	-0.00516675708491565	-0.60091264539703
horizontal cell	HLA-DPA1	0.0270050935083084	0.0171015184357119	0.00970873786407767	0.00404040404040404	0.00990357507259652	0.449350177188438
horizontal cell	HLA-DPB1	0.22791351472402	0.144780715712438	0.0558252427184466	0.0383838383838384	0.0831327990115818	0.620211490837303
horizontal cell	HLA-DQA1	0.00861348537601216	0.0135396489986098	0.00485436893203883	0.00404040404040404	-0.00492616362259759	-0.338744583000982
horizontal cell	HLA-DQB1	0.0422854186750611	0.0887098414833792	0.0121359223300971	0.0222222222222222	-0.0464244228083181	-0.916785265517004
horizontal cell	B2M	0.208316695339055	0.213462819476367	0.0606796116504854	0.0626262626262626	-0.0051461241373125	-0.0336123489331985
horizontal cell	TAP1	0.04761437221276	0.0319158543225617	0.0169902912621359	0.0121212121212121	0.0156985178901983	0.458932710016759
horizontal cell	TAP2	0.0681800845811489	0.0859948204711908	0.0242718446601942	0.0262626262626263	-0.0178147358900419	-0.296155419950036
horizontal cell	ICAM1	0.0204265497513582	0	0.00485436893203883	0	0.0204265497513582	1.60533074729918
horizontal cell	VCAM1	0	0	0	0	0	0
horizontal cell	S100A8	0.00582757374794578	0	0.00242718446601942	0	0.00582757374794578	0.662440117756752
horizontal cell	S100A9	0.0106726922226274	0	0.00485436893203883	0	0.0106726922226274	1.04772628442425
bipolar cell	IL1B	0.0028931920298346	0	0.00152905198776758	0	0.0028931920298346	0.3666094829012
bipolar cell	TNF	0	0	0	0	0	0
bipolar cell	IL6	0	0	0	0	0	0
bipolar cell	CCL2	0.00463489538577625	0.00988776399093885	0.00152905198776758	0.00159489633173844	-0.00525286860516261	-0.442468648066616
bipolar cell	CCL3	0	0	0	0	0	0
bipolar cell	CCL4	0	0	0	0	0	0
bipolar cell	CXCL8	0	0	0	0	0	0
bipolar cell	CXCL9	0	0	0	0	0	0
bipolar cell	CXCL10	0.00723982948753591	0	0.00152905198776758	0	0.00723982948753591	0.785745505360719
bipolar cell	CXCL16	0.0260483343474406	0.0410870222811247	0.00764525993883792	0.00956937799043062	-0.0150386879336842	-0.503024247840955
bipolar cell	NFKBIA	0.0515912299866688	0.0476717689334222	0.018348623853211	0.0207336523125997	0.00391946105324657	0.0948596652655018
bipolar cell	NFKB1	0.350614586385893	0.311853429358008	0.081039755351682	0.0972886762360447	0.0387611570278847	0.164053912179326
bipolar cell	RELA	0.0926981780968126	0.0684300509065963	0.0275229357798165	0.0223285486443381	0.0242681271902163	0.388932146004027
bipolar cell	STAT1	0.300172331056963	0.210033031730765	0.103975535168196	0.0701754385964912	0.0901392993261986	0.495349876581395
bipolar cell	IRF7	0.00279687577788108	0.0100323096948188	0.00152905198776758	0.00318979266347687	-0.00723543391693775	-0.646537136832752
bipolar cell	ISG15	0.0132218503896905	0.00356065047536759	0.00458715596330275	0.00478468899521531	0.00966119991432294	0.776056552112177
bipolar cell	IFIT1	0.19475641672668	0.139176853663362	0.0642201834862385	0.0462519936204147	0.0555795630633172	0.456884960392519
bipolar cell	IFIT2	0.0523154696237917	0.0363338605092886	0.0152905198776758	0.0143540669856459	0.0159816091145032	0.427523460461117
bipolar cell	IFIT3	0.066017232508429	0.054800327950044	0.0152905198776758	0.0175438596491228	0.0112169045583849	0.2303253887349
bipolar cell	IFITM1	0	0	0	0	0	0
bipolar cell	IFITM2	0.0721078674578637	0.113180298304419	0.0305810397553517	0.0350877192982456	-0.041072430846555	-0.585179156339265
bipolar cell	IFITM3	0.350760121246888	0.599013835157584	0.114678899082569	0.177033492822967	-0.248253713910696	-0.755435132077648
bipolar cell	MX1	0.0639619268713568	0.0298807080644081	0.0198776758409786	0.0111642743221691	0.0340812188069487	0.891091786241561
bipolar cell	MX2	0.00255523393677738	0	0.00152905198776758	0	0.00255523393677738	0.328288910033892
bipolar cell	OAS1	0.00144933837703089	0.00206646324402492	0.00152905198776758	0.00159489633173844	-0.00061712486699404	-0.0757386433914981
bipolar cell	OAS2	0	0.0013509201522433	0	0.00159489633173844	-0.0013509201522433	-0.182809253046635
bipolar cell	OAS3	0	0	0	0	0	0
bipolar cell	IFI6	0.553035292403617	0.278382753674537	0.166666666666667	0.100478468899522	0.27465253872908	0.965240467919724
bipolar cell	IFI27	0.0438300761560366	0.0513153813047413	0.0168195718654434	0.0143540669856459	-0.00748530514870474	-0.187836560989538
bipolar cell	GBP1	0	0	0	0	0	0
bipolar cell	GBP2	0.00355428170099392	0.0139258471847159	0.00152905198776758	0.00318979266347687	-0.010371565483722	-0.81982134900802
bipolar cell	HLA-DPA1	0.0258575977413762	0.0292770910454078	0.0107033639143731	0.00956937799043062	-0.00341949330403159	-0.131409245250126
bipolar cell	HLA-DPB1	0.0594892986414849	0.0499674652733535	0.0168195718654434	0.0175438596491228	0.00952183336813144	0.212610826036744
bipolar cell	HLA-DQA1	0	0.00585712938574527	0	0.00159489633173844	-0.00585712938574527	-0.665131623766516
bipolar cell	HLA-DQB1	0	0.0473541271847463	0	0.0111642743221691	-0.0473541271847463	-2.51989730585274
bipolar cell	B2M	0.296226494099312	0.31895148369504	0.0917431192660551	0.105263157894737	-0.0227249895957277	-0.103275712539252
bipolar cell	TAP1	0.0143185219334567	0.0441197193058341	0.00611620795107034	0.0159489633173844	-0.0298011973723774	-1.15409881151044
bipolar cell	TAP2	0.0762425344118989	0.0944867397330237	0.0290519877675841	0.0287081339712919	-0.0182442053211249	-0.276848383152065
bipolar cell	ICAM1	0.0136197597827087	0	0.00458715596330275	0	0.0136197597827087	1.23999429233637
bipolar cell	VCAM1	0	0	0	0	0	0
bipolar cell	S100A8	0	0	0	0	0	0
bipolar cell	S100A9	0.00411810392611792	0.00636685162370633	0.00152905198776758	0.00159489633173844	-0.00224874769758841	-0.213230480994036
Schwann cell	IL1B	0.197526962430372	0	0.0588235294117647	0	0.197526962430372	4.37522688213043
Schwann cell	TNF	0	0	0	0	0	0
Schwann cell	IL6	1.37169654395561	0	0.294117647058824	0	1.37169654395561	7.1102969874095
Schwann cell	CCL2	0.217542638357118	0	0.0588235294117647	0	0.217542638357118	4.50806500671542
Schwann cell	CCL3	0	0	0	0	0	0
Schwann cell	CCL4	0	0	0	0	0	0
Schwann cell	CXCL8	0.197526962430372	0	0.0588235294117647	0	0.197526962430372	4.37522688213043
Schwann cell	CXCL9	0.80617608132583	0	0.235294117647059	0	0.80617608132583	6.35080852680384
Schwann cell	CXCL10	0.851551291137125	0	0.176470588235294	0	0.851551291137125	6.42886478253488
Schwann cell	CXCL16	0.0711546261180171	0	0.0588235294117647	0	0.0711546261180171	3.02067333614471
Schwann cell	NFKBIA	1.82706203486359	0	0.470588235294118	0	1.82706203486359	7.52125653472097
Schwann cell	NFKB1	3.48574599479488	0.108918224197273	0.529411764705882	0.0357142857142857	3.37682777059761	4.87755863074561
Schwann cell	RELA	0	0	0	0	0	0
Schwann cell	STAT1	0.22671070019382	0.167123470820242	0.117647058823529	0.0357142857142857	0.0595872293735775	0.418369524848359
Schwann cell	IRF7	0.728248324574408	0	0.117647058823529	0	0.728248324574408	6.20603427211055
Schwann cell	ISG15	0	0.172200027552004	0	0.0357142857142857	-0.172200027552004	-4.18745127218944
Schwann cell	IFIT1	0	0.295114269758657	0	0.0714285714285714	-0.295114269758657	-4.93127774916851
Schwann cell	IFIT2	0	0	0	0	0	0
Schwann cell	IFIT3	0.280059775042594	0	0.117647058823529	0	0.280059775042594	4.85827833399344
Schwann cell	IFITM1	0.217542638357118	0	0.0588235294117647	0	0.217542638357118	4.50806500671542
Schwann cell	IFITM2	0.197526962430372	0.651288125961961	0.0588235294117647	0.178571428571429	-0.453761163531589	-1.67198020964426
Schwann cell	IFITM3	2.29728331599517	3.1098776363022	0.352941176470588	0.392857142857143	-0.812594320307029	-0.435294280381409
Schwann cell	MX1	0	0	0	0	0	0
Schwann cell	MX2	0	0	0	0	0	0
Schwann cell	OAS1	0	0	0	0	0	0
Schwann cell	OAS2	0	0	0	0	0	0
Schwann cell	OAS3	0	0	0	0	0	0
Schwann cell	IFI6	0.0777780370379012	0	0.0588235294117647	0	0.0777780370379012	3.13386000786729
Schwann cell	IFI27	0	0.100068046271465	0	0.0357142857142857	-0.100068046271465	-3.4603237974264
Schwann cell	GBP1	0	0	0	0	0	0
Schwann cell	GBP2	0	0	0	0	0	0
Schwann cell	HLA-DPA1	0	0	0	0	0	0
Schwann cell	HLA-DPB1	0	0.157818319550533	0	0.0357142857142857	-0.157818319550533	-4.06882830817458
Schwann cell	HLA-DQA1	0	0	0	0	0	0
Schwann cell	HLA-DQB1	0	0	0	0	0	0
Schwann cell	B2M	0.659431454396581	0.109318291136473	0.117647058823529	0.0357142857142857	0.550113163260108	2.48812111932982
Schwann cell	TAP1	0	0	0	0	0	0
Schwann cell	TAP2	0	0	0	0	0	0
Schwann cell	ICAM1	0.639306473604728	0	0.117647058823529	0	0.639306473604728	6.02082768803634
Schwann cell	VCAM1	0	0	0	0	0	0
Schwann cell	S100A8	0	0	0	0	0	0
Schwann cell	S100A9	0	0	0	0	0	0
muller glia cell	IL1B	0.606328437850468	0	0.213523131672598	0	0.606328437850468	5.94562745454705
muller glia cell	TNF	0	0	0	0	0	0
muller glia cell	IL6	0.611619379914459	0.0182624126707911	0.217081850533808	0.00995024875621891	0.593356967243668	4.45907494837106
muller glia cell	CCL2	0.578687460578422	0.0382356104590169	0.206405693950178	0.0199004975124378	0.540451850119405	3.6093313675741
muller glia cell	CCL3	0	0	0	0	0	0
muller glia cell	CCL4	0.0094445829649946	0	0.00355871886120996	0	0.0094445829649946	0.959368293101457
muller glia cell	CXCL8	0.22113087888858	0	0.0818505338078292	0	0.22113087888858	4.530638110398
muller glia cell	CXCL9	0.90961211682044	0	0.274021352313167	0	0.90961211682044	6.5229535700361
muller glia cell	CXCL10	0.698123562503908	0	0.252669039145907	0	0.698123562503908	6.14592921714184
muller glia cell	CXCL16	0.0285235998494231	0.0139437342435803	0.0142348754448399	0.00497512437810945	0.0145798656058428	0.686094351285208
muller glia cell	NFKBIA	2.03464287452489	0.0908489649546174	0.508896797153025	0.0398009950248756	1.94379390957027	4.34158069600806
muller glia cell	NFKB1	3.5764932367283	0.381942155886063	0.743772241992883	0.124378109452736	3.19455108084223	3.19386125271562
muller glia cell	RELA	0.284145744943968	0.149052857695254	0.131672597864769	0.054726368159204	0.135092887248714	0.887024873707305
muller glia cell	STAT1	0.10400981414653	0.129740297269933	0.0355871886120996	0.0447761194029851	-0.0257304831234032	-0.293590095210844
muller glia cell	IRF7	0.805928126400116	0.00744222046089671	0.270462633451957	0.00497512437810945	0.79848590593922	5.5477864559796
muller glia cell	ISG15	0.200418746756647	0.210162120650264	0.0747330960854092	0.0696517412935323	-0.00974337389361721	-0.0653030277456279
muller glia cell	IFIT1	0.121708658030504	0.169775966342058	0.0533807829181495	0.054726368159204	-0.0480673083115535	-0.448849978542694
muller glia cell	IFIT2	0.0615949700232186	0.0438278024707647	0.0213523131672598	0.0199004975124378	0.0177671675524539	0.411506704767672
muller glia cell	IFIT3	0.032376321101875	0.0352107071271076	0.0106761565836299	0.0149253731343284	-0.00283438602523257	-0.093406136942626
muller glia cell	IFITM1	0.251245773705247	0.0219168474806584	0.0925266903914591	0.00497512437810945	0.229328926224589	3.03301763368367
muller glia cell	IFITM2	0.854577981392364	0.727733675728065	0.245551601423488	0.213930348258706	0.1268443056643	0.228896002280275
muller glia cell	IFITM3	3.56209203202305	3.21140064692158	0.651245551601424	0.587064676616915	0.350691385101473	0.14908115033883
muller glia cell	MX1	0.0175834218800248	0.036413777886946	0.0106761565836299	0.0149253731343284	-0.0188303560069212	-0.750751689154237
muller glia cell	MX2	0	0	0	0	0	0
muller glia cell	OAS1	0.0311831677388761	0.0176644959354543	0.00711743772241993	0.00995024875621891	0.0135186718034219	0.574019166667399
muller glia cell	OAS2	0.0129690920598031	0	0.00355871886120996	0	0.0129690920598031	1.19969382986742
muller glia cell	OAS3	0	0.00955835615390865	0	0.00497512437810945	-0.00955835615390865	-0.967785119356388
muller glia cell	IFI6	0.130874056416038	0.150229647818368	0.0498220640569395	0.0497512437810945	-0.0193555914023299	-0.185735171890987
muller glia cell	IFI27	0.0383870903128166	0	0.0106761565836299	0	0.0383870903128166	2.27462218745853
muller glia cell	GBP1	0.0720475716088218	0.0897824409671842	0.0320284697508897	0.0447761194029851	-0.0177348693583625	-0.282325327860262
muller glia cell	GBP2	0.0849676280311115	0.274109482768324	0.0284697508896797	0.0696517412935323	-0.189141854737213	-1.58093925987265
muller glia cell	HLA-DPA1	0	0.0129459390531081	0	0.00497512437810945	-0.0129459390531081	-1.19823884965889
muller glia cell	HLA-DPB1	0.0768684901523295	0.0664306387548074	0.0427046263345196	0.0199004975124378	0.0104378513975221	0.184681875027366
muller glia cell	HLA-DQA1	0	0	0	0	0	0
muller glia cell	HLA-DQB1	0.00441309382590521	0	0.00355871886120996	0	0.00441309382590521	0.527380048781814
muller glia cell	B2M	0.386823877030408	0.596514722996744	0.124555160142349	0.169154228855721	-0.209690845966335	-0.612043831042715
muller glia cell	TAP1	0.0236762669573592	0.0315721338200065	0.0106761565836299	0.00995024875621891	-0.00789586686264728	-0.303884577401995
muller glia cell	TAP2	0.047987867400901	0.0225402113758701	0.0284697508896797	0.0149253731343284	0.0254476560250309	0.833527459214432
muller glia cell	ICAM1	1.87824710960129	0.0608524687398029	0.526690391459075	0.0248756218905473	1.81739464086148	4.73608564588474
muller glia cell	VCAM1	0.0130443406410007	0.0140421235622621	0.00711743772241993	0.00497512437810945	-0.000997782921261386	-0.0611518412410044
muller glia cell	S100A8	0	0.00651450095339721	0	0.00497512437810945	-0.00651450095339721	-0.723733373926362
muller glia cell	S100A9	0.00861466681483894	0	0.00355871886120996	0	0.00861466681483894	0.896439793525905
