gene	eye1_mean_norm	eye2_mean_norm	eye1_detection	eye2_detection
FCGR3A	0.000609479867288307	0.00220438728991586	0.00046264168401573	0.000534473543559594
MS4A7	0.00356248967401558	0.00332820681821771	0.00115660421003932	0.000962052378407269
CTSD	0.188853433377322	0.167692790661431	0.0618783252371039	0.0508818813468733
LGMN	0.172433147436201	0.195304848692426	0.047999074716632	0.0467129877071085
APOC1	0.016790403743452	0.0486658744082877	0.00532037936618089	0.0115446285408872
MRC1	0.00232341799241657	0.00406352014219816	0.000693962526023595	0.000962052378407269
CD68	0.00180665472116221	0.00176676464996425	0.000578302105019662	0.000748262960983431
CTSB	0.14438583489294	0.15390713856333	0.0483460559796438	0.0459647247461251
SPI1	0.0367642610056366	0.0395309072982155	0.0115660421003932	0.0102618920363442
LGALS3	0.296441724690439	0.416630463922905	0.0626879481841314	0.0794227685729556
SOX10	0.0157736350968341	0.0138406171842757	0.00532037936618089	0.00363442009620524
PLP1	0.00618725012618347	0.00406191329000523	0.00289151052509831	0.0017103153393907
MPZ	0.0180351541386167	0.0135255106404136	0.00613000231320842	0.00374131480491716
PMP22	0.0541838516540933	0.0479144527434122	0.017117742308582	0.0133618385889898
MBP	0.212688752906499	0.211496757180892	0.0556326625028915	0.0531266702298236
NCAM1	6.14385432120564	7.67886143682959	0.673027989821883	0.717797969000534
RGS5	0.0493756075501096	0.0578463138760113	0.0141105713624798	0.014537680384821
CSPG4	0.000871509476831151	0.000292541622090637	0.000231320842007865	0.000106894708711919
MCAM	0.0648687353187192	0.0530627006938683	0.0194309507286607	0.0166755745590593
COL4A1	0.0351119824370242	0.0407767459324258	0.0100624566273421	0.0115446285408872
COL4A2	0.105447112035801	0.0958634705598732	0.0279898218829517	0.0253340459647247
PDGFRB	0.0666567612372199	0.0552210664893969	0.020471894517696	0.0162479957242117
DES	0	0	0	0
ACTA2	0.0232913128851654	0.0250403602305176	0.00717094610224381	0.00780331373597007
CD79A	0	0	0	0
MS4A1	0	0	0	0
CD37	0.0115709437624825	0.0148691138772015	0.00358547305112191	0.00395510422234099
CD74	0.0300068723840238	0.0569083600914499	0.00879019199629887	0.0138963121325494
HLA-DRA	0.0238871200252305	0.0317958127798459	0.00613000231320842	0.00833778727952966
CD79B	0	0	0	0
CD19	0.000804874189310595	0.000839792087969632	0.000115660421003932	0.000213789417423838
CD22	0.000253975452358218	0.000195384223564099	0.000115660421003932	0.000106894708711919
CD83	0.0435652739981043	0.0369316377526795	0.013647929678464	0.011865312667023
COL1A1	0.0036184311282815	0.00399208448451569	0.00173490631505899	0.00117584179583111
COL1A2	0.0154543504983574	0.0225403782217524	0.00647698357622022	0.00609299839657937
DCN	0.00948553063867352	0.0125903637400622	0.00277585010409438	0.00288615713522181
LUM	0.00534179695907667	0.00626016046592184	0.00208188757807078	0.00160342063067878
COL3A1	0.000289730513536905	0.000129710846635019	0.000115660421003932	0.000106894708711919
CFD	0.0546231181680076	0.0325548631733996	0.0158454776775387	0.00865847140566542
PDGFRA	0.0196285307726676	0.0194167472572342	0.00532037936618089	0.00481026189203634
COL6A1	0.0399381715625851	0.0418735840482262	0.0158454776775387	0.0148583645109567
COL6A2	0.00731614776620558	0.00724044180883137	0.00300717094610224	0.00235168359166221
FBLN1	0.000647230077725373	0.0020511352555392	0.000346981263011797	0.000534473543559594
GLUL	1.93221953786551	1.68926822958117	0.282442748091603	0.250774986638161
KCNJ10	0.0259280579621543	0.014205093810026	0.00832755031228314	0.00491715660074826
VIM	1.0969915849261	1.13478221592958	0.243465186213278	0.226296098343132
DIO2	0.170700539916578	0.163041563953501	0.042794355771455	0.0350614644575094
RAX	0.147112955940839	0.137252709667605	0.0482303955586398	0.0409406734366649
EMCN	0.00280188591938318	0.003219734674523	0.000809622947027527	0.00106894708711919
KDR	0.178754595564587	0.11898359594659	0.0374739764052741	0.027578834847675
ESAM	0.0146056460840742	0.0207055210641376	0.0042794355771455	0.00577231427044361
PECAM1	0.00325951276016414	0.00251646006980283	0.00115660421003932	0.000641368252271513
VWF	0.00446775299663606	0.00199439660299526	0.00173490631505899	0.000534473543559594
ENG	0.0431556514323764	0.0310771465301542	0.0138792505204719	0.00780331373597007
RAMP2	0.00287907635980588	0.0022635938767643	0.00138792505204719	0.000534473543559594
PLVAP	0	0.000862160861182002	0	0.000320684126135756
CDH5	0.000269102887398633	0.00236061836887197	0.000115660421003932	0.000641368252271513
