guide_id	guide_name	target_gene	class	n_cells	pathway_effect_all20	pathway_effect_excluding_target	bootstrap_ci_low	bootstrap_ci_high	wilcoxon_p_lower	core18_effect	median_pathway_gene_log2fc	pathway_genes_down	pathway_genes_down_gt_0.25	on_target_lognorm_effect	fdr	overall_rank	candidate_rank
guide_008	sgNon-Targeting_08	Non-Targeting	non_targeting	50	-0.0210429478243131	-0.0210429478243131	-0.0810883496080858	0.0373586702568006	0.279045946775994	-0.0132242549496871	-0.00924701202868994	12	0	NA	0.954563495386099	12	NA
guide_041	sgZNF359_41	ZNF359	candidate	50	-0.0199029583568184	-0.0199029583568184	-0.0850279898031608	0.054218074823538	0.320199149033505	-0.0387680326817377	0.000192585230661008	10	0	-0.0853110070644254	0.954563495386099	13	8
guide_014	sgZNF326_14	ZNF326	candidate	50	-0.0197619902516268	-0.0197619902516268	-0.0817582275959522	0.0412364499053996	0.32120139290841	-0.0322662882907834	-0.0250496371538999	11	0	0.0423640211161271	0.954563495386099	14	9
guide_049	sgZNF271_49	ZNF271	candidate	50	-0.0191135122261237	-0.0191135122261237	-0.0806076782656094	0.0381721471880384	0.373193897218309	-0.0242669602202851	0.00579451858318482	9	0	0.0308635527944072	0.96138796287338	15	10
guide_006	sgNon-Targeting_06	Non-Targeting	non_targeting	50	-0.0186933603445573	-0.0186933603445573	-0.0799617580555834	0.0476864121098516	0.278418954690731	-0.0188723598762632	0.00167389348389023	9	0	NA	0.954563495386099	16	NA
guide_022	sgZNF264_22	ZNF264	candidate	50	-0.0163058274252258	-0.0163058274252258	-0.0765971813568272	0.0426907192991825	0.291087607870362	-0.033160033348399	-0.00665537908152668	12	0	-0.0428933950905011	0.954563495386099	17	11
guide_050	sgZNF101_50	ZNF101	candidate	50	-0.0152869736775654	-0.0152869736775654	-0.068017500095745	0.0340085701875129	0.324551588431274	-0.0218131129232842	0.00792489847393028	9	0	0.0915683347908347	0.954563495386099	18	12
guide_033	sgCD83_33	CD83	candidate	50	-0.0107260802820525	-0.0107260802820525	-0.0931970310100586	0.0632538076921744	0.384555185149352	-0.018972048089035	-0.0101175008452838	12	0	-0.00417970214822105	0.96138796287338	19	13
guide_042	sgZNF315_42	ZNF315	candidate	50	-0.00846709958538045	-0.00846709958538045	-0.0702703920603235	0.0498150871355967	0.3820610329042	-0.0200214459461186	0.00240154298773401	10	0	NA	0.96138796287338	20	14
guide_035	sgCCL8_35	CCL8	candidate	50	-0.00759556082613857	-0.00759556082613857	-0.0862799126389042	0.0622772229065247	0.603623813821829	-0.0012180373290695	-0.00686642764858492	11	0	-0.0164817907566932	0.962825738118278	21	15
guide_043	sgTRIM5_43	TRIM5	candidate	50	-0.00401064550280611	-0.00401064550280611	-0.0582989945679996	0.0415737058080498	0.471910596042562	-0.00838566777220051	-0.000938876301499948	10	0	-0.122901675314042	0.962825738118278	22	16
guide_031	sgZNF329_31	ZNF329	candidate	50	-0.00188284208417539	-0.00188284208417539	-0.0597082119897124	0.0629913393308375	0.525488816176564	-0.0166993040058125	0.00882351325593002	9	0	-0.0315858240738498	0.962825738118278	23	17
guide_037	sgHOXA1_37	HOXA1	candidate	50	0.000732553167967022	0.000732553167967022	-0.0599816137756635	0.0566195472091147	0.574589169604747	-0.00318500509652567	0.00575979298476285	9	0	0.0480857068379339	0.962825738118278	24	18
guide_021	sgCD92_21	CD92	candidate	50	0.000980077753615865	0.000980077753615865	-0.055762759114685	0.0614814547054117	0.521028199151057	0.00660346234346933	-0.0117066214669647	11	0	0.0439115288218881	0.962825738118278	25	19
guide_017	sgTRIM23_17	TRIM23	candidate	50	0.00368696739241235	0.00368696739241235	-0.0512924059323533	0.0635134706038965	0.525488816176564	0.0122003159998945	0.000473883107318222	10	0	-0.0933064072153251	0.962825738118278	26	20
guide_024	sgZNF115_24	ZNF115	candidate	50	0.00449123849082065	0.00449123849082065	-0.0565373328509434	0.0676367107572295	0.586624622182494	-0.0143926109518926	-0.000504406639744359	10	0	0.010377195622302	0.962825738118278	27	21
guide_004	sgNon-Targeting_04	Non-Targeting	non_targeting	50	0.00696078331087762	0.00696078331087762	-0.0576616795122631	0.0684093090362956	0.54588400795635	0.0162474421457051	0.0126015542049784	9	0	NA	0.962825738118278	28	NA
guide_003	sgNon-Targeting_03	Non-Targeting	non_targeting	50	0.00874067276729542	0.00874067276729542	-0.0518341619925948	0.0697628188530771	0.537366707702092	0.0100098304393245	0.00977523693279632	9	0	NA	0.962825738118278	29	NA
guide_038	sgTRIM33_38	TRIM33	candidate	50	0.0110680906848625	0.0110680906848625	-0.0525259214298123	0.071049840636335	0.640504140003268	0.0110624268565584	0.0109838218760107	9	0	-0.137128485938856	0.962825738118278	30	22
guide_010	sgNon-Targeting_10	Non-Targeting	non_targeting	50	0.0112938467189081	0.0112938467189081	-0.0494823513502849	0.0689337038529822	0.681801554353013	0.000317441571625647	0.0071963585542894	9	0	NA	0.962825738118278	31	NA
guide_013	sgCD103_13	CD103	candidate	50	0.0135534540422879	0.0135534540422879	-0.0497345333556298	0.0756938891196069	0.835422685995761	0.00109477899247368	0.0112478338865564	9	0	0.0537698907677693	0.962825738118278	32	23
guide_030	sgZNF361_30	ZNF361	candidate	50	0.0147659171183704	0.0147659171183704	-0.0533419529664285	0.0863971293658257	0.546253834335323	0.0222402864626946	0.0119665911251458	9	0	-0.0453444996940089	0.962825738118278	33	24
guide_039	sgZNF209_39	ZNF209	candidate	50	0.0156481448392468	0.0156481448392468	-0.0479381383104565	0.0808352382614966	0.775599072268705	0.0253461162194823	-1.6691852310308e-05	10	0	0.000694406098659339	0.962825738118278	34	25
guide_002	sgNon-Targeting_02	Non-Targeting	non_targeting	50	0.0167042787941117	0.0167042787941117	-0.0532637056263972	0.0883855633841937	0.68611787558604	0.0348375598756204	0.00498164010572914	9	0	NA	0.962825738118278	35	NA
guide_015	sgRPL27_15	RPL27	candidate	50	0.0200626689251126	0.0200626689251126	-0.0513656735439476	0.0924404764578528	0.662589638943753	0.0135970348339249	0.010744094955595	8	0	-0.202109839967593	0.962825738118278	36	26
guide_044	sgCD69_44	CD69	candidate	50	0.0209414151104853	0.0209414151104853	-0.0523113989455929	0.0876231830725453	0.758768399618175	-0.00337112941300266	0.015794604739957	8	0	0.040459885101499	0.962825738118278	37	27
guide_005	sgNon-Targeting_05	Non-Targeting	non_targeting	50	0.0212186390231243	0.0212186390231243	-0.0416125955627965	0.078349057119671	0.768834599543665	0.0219093321156477	0.00211951866606233	10	0	NA	0.962825738118278	38	NA
guide_020	sgHOXB5_20	HOXB5	candidate	50	0.0217467408664301	0.0217467408664301	-0.0353057510759024	0.0813074390424954	0.778106562725658	0.00969269629669589	0.0134053840079267	9	0	0.263338046883342	0.962825738118278	39	28
guide_018	sgZNF20_18	ZNF20	candidate	50	0.0228926786534257	0.0228926786534257	-0.0351122466784293	0.084520074611043	0.752026058744211	0.0374715742699368	0.020870310606993	8	0	0.0484455669341521	0.962825738118278	40	29
guide_048	sgSLC2A1_48	SLC2A1	candidate	50	0.0248486090087342	0.0248486090087342	-0.024072023466348	0.0696967921061138	0.798633116926288	0.0162722041660465	0.0115818136204447	8	0	0.0710274817232701	0.962825738118278	41	30
guide_040	sgATP9_40	ATP9	candidate	50	0.0266504758993418	0.0266504758993418	-0.0386902485916243	0.0910157421782354	0.796527579814618	0.00710255365990914	0.00491491489647218	9	0	-0.114789617915099	0.962825738118278	42	31
guide_025	sgZNF205_25	ZNF205	candidate	50	0.0345772485928093	0.0345772485928093	-0.0268549410052295	0.100149279823287	0.941617255185339	0.0316740693514526	0.00767453797546132	10	0	0.028394749096559	0.96577241460578	43	32
guide_036	sgZNF324_36	ZNF324	candidate	50	0.0346954245372517	0.0346954245372517	-0.0265012136876707	0.0940714961222192	0.869342287853151	0.0155514623181848	-0.00180696044775581	10	0	0.0172708506039765	0.962825738118278	44	33
guide_028	sgZNF122_28	ZNF122	candidate	50	0.0356891923796858	0.0356891923796858	-0.031356235373172	0.0998131422606419	0.885799679068816	0.0520248321995082	0.00315734300885031	8	0	0.0249363326593919	0.962825738118278	45	34
guide_027	sgMAPK2_27	MAPK2	candidate	50	0.0361540643585669	0.0361540643585669	-0.017531195285057	0.0917786918248867	0.862690426900238	0.04355313377061	0.00993751333909114	9	0	0.227232947320638	0.962825738118278	46	35
guide_032	sgTRIM20_32	TRIM20	candidate	50	0.0397375034267746	0.0397375034267746	-0.0195849732932489	0.0987153649338819	0.868548080453899	0.0220316099891495	0.0154805467790168	9	0	0.0374129624611359	0.962825738118278	47	36
guide_019	sgIL6_19	IL6	candidate	50	0.0445076953389752	0.0445076953389752	-0.0158696250426162	0.105574918758044	0.946456966313664	0.0140372414388104	0.0205443201220329	8	0	-0.0575225905732641	0.96577241460578	48	37
guide_001	sgNon-Targeting_01	Non-Targeting	non_targeting	50	0.050603469227083	0.050603469227083	-0.011174234447779	0.108790043522772	0.925812441891838	0.0310095649376653	0.0148829695120135	6	0	NA	0.96577241460578	49	NA
guide_046	sgZNF90_46	ZNF90	candidate	50	0.0739118719476702	0.0739118719476702	0.0164656551603516	0.12681090770061	0.992699189869099	0.0776321639029171	0.0368073529077876	6	0	0.0279524597980791	0.992699189869099	50	38
