cistrome_id	unique_id	sei_track_name	borzoi_identifier	borzoi_description
38829	GSM1208767	LoVo_Colon | LYL1 | ID:38829	GSM1208767	CHIP:LYL1:LYL1 / LoVo / colon adenocarcinoma
38830	GSM1208742	LoVo_Colon | FEV | ID:38830	GSM1208742	CHIP:FEV:FEV / LoVo / colon adenocarcinoma
38831	GSM1208642	LoVo_Colon | KLF5 | ID:38831	GSM1208642	CHIP:KLF5:KLF5 / LoVo / colon adenocarcinoma
38832	GSM1208805	LoVo_Colon | TP73 | ID:38832	GSM1208805	CHIP:TP73:TP73 / LoVo / colon adenocarcinoma
38850	GSM1208659	LoVo_Colon | NFE2L2 | ID:38850	GSM1208659	CHIP:NFE2L2:NFE2L2 / LoVo / colon adenocarcinoma
38852	GSM1208712	LoVo_Colon | ATF1 | ID:38852	GSM1208712	CHIP:ATF1:ATF1 / LoVo / colon adenocarcinoma
38856	GSM1208592	LoVo_Colon | ATOH1 | ID:38856	GSM1208592	CHIP:ATOH1:ATOH1 / LoVo / colon adenocarcinoma
38858	GSM1208740	LoVo_Colon | MECOM | ID:38858	GSM1208740	CHIP:EVI1:EVI1 / LoVo / colon adenocarcinoma
38860	GSM1208595	LoVo_Colon | CASP8AP2 | ID:38860	GSM1208595	CHIP:CASP8AP2:CASP8AP2 / LoVo / colon adenocarcinoma
38864	GSM1208673	LoVo_Colon | RXRA | ID:38864	GSM1208673	CHIP:RXRA:RXRA / LoVo / colon adenocarcinoma
38865	GSM1208606	LoVo_Colon | E2F2 | ID:38865	GSM1208606	CHIP:E2F2:E2F2 / LoVo / colon adenocarcinoma
54121	GSM1684630	Mesenchymal_Stem_Cell | POLR2A | ID:54121	GSM1684630	CHIP:RNAPII:ChIP-seq, RNAPII_LowDensity_noDMI / hMSC / Human Mesenchymal Stem Cells
54122	GSM1684631	Mesenchymal_Stem_Cell | POLR2A | ID:54122	GSM1684631	CHIP:RNAPII:ChIP-seq, RNAPII_HighDensity_noDMI / hMSC / Human Mesenchymal Stem Cells
54123	GSM1684632	Mesenchymal_Stem_Cell | POLR2A | ID:54123	GSM1684632	CHIP:RNAPII:ChIP-seq, RNAPII_LowDensity_DMI / hMSC / Human Mesenchymal Stem Cells
54124	GSM1684633	Mesenchymal_Stem_Cell | POLR2A | ID:54124	GSM1684633	CHIP:RNAPII:ChIP-seq, RNAPII_HighDensity_DMI / hMSC / Human Mesenchymal Stem Cells
54125	GSM1684634	Mesenchymal_Stem_Cell | CEBPB | ID:54125	GSM1684634	CHIP:CEBPb:ChIP-seq, CEBPb_HighDensity_noDMI / hMSC / Human Mesenchymal Stem Cells
54126	GSM1684635	Mesenchymal_Stem_Cell | CEBPB | ID:54126	GSM1684635	CHIP:CEBPb:ChIP-seq, CEBPb_LowDensity_DMI / hMSC / Human Mesenchymal Stem Cells
54127	GSM1684636	Mesenchymal_Stem_Cell | CEBPB | ID:54127	GSM1684636	CHIP:CEBPb:ChIP-seq, CEBPb_HighDensity_DMI / hMSC / Human Mesenchymal Stem Cells
54128	GSM1684637	Mesenchymal_Stem_Cell | NR3C1 | ID:54128	GSM1684637	CHIP:GR:ChIP-seq, GR_HighDensity_DMI / hMSC / Human Mesenchymal Stem Cells
54129	GSM1684638	Mesenchymal_Stem_Cell | ATF4 | ID:54129	GSM1684638	CHIP:ATF4:ChIP-seq, ATF4_HighDensity_noDMI / hMSC / Human Mesenchymal Stem Cells
54130	GSM1684639	Mesenchymal_Stem_Cell | H3K27ac | ID:54130	GSM1684639	CHIP:H3K27Ac:ChIP-seq, H3K27Ac_HighDensity_noDMI / hMSC / Human Mesenchymal Stem Cells
54131	GSM1684640	Mesenchymal_Stem_Cell | CEBPB | ID:54131	GSM1684640	CHIP:CEBPb:ChIP-seq, InVitroCistromics_CEBPb_0.1uL / hMSC / Human Mesenchymal Stem Cells
54132	GSM1684641	Mesenchymal_Stem_Cell | CEBPB | ID:54132	GSM1684641	CHIP:CEBPb:ChIP-seq, InVitroCistromics_CEBPb_0.25uL / hMSC / Human Mesenchymal Stem Cells
54133	GSM1684642	Mesenchymal_Stem_Cell | CEBPB | ID:54133	GSM1684642	CHIP:CEBPb:ChIP-seq, InVitroCistromics_CEBPb_1.0uL / hMSC / Human Mesenchymal Stem Cells
54134	GSM1684643	Mesenchymal_Stem_Cell | CEBPB | ID:54134	GSM1684643	CHIP:CEBPb:ChIP-seq, InVitroCistromics_CEBPb_10uL / hMSC / Human Mesenchymal Stem Cells
54136	GSM1684645	Mesenchymal_Stem_Cell | CEBPB | ID:54136	GSM1684645	CHIP:CEBPb:ChIP-seq, InVitroCistromics_CEBPb_0.1uL_plusATF4_0.002uL / hMSC / Human Mesenchymal Stem Cells
54137	GSM1684646	Mesenchymal_Stem_Cell | CEBPB | ID:54137	GSM1684646	CHIP:CEBPb:ChIP-seq, InVitroCistromics_CEBPb_0.1uL_plusATF4_0.02uL / hMSC / Human Mesenchymal Stem Cells
54138	GSM1684647	Mesenchymal_Stem_Cell | CEBPB | ID:54138	GSM1684647	CHIP:CEBPb:ChIP-seq, InVitroCistromics_CEBPb_0.1uL_plusATF4_0.2uL / hMSC / Human Mesenchymal Stem Cells
54139	GSM1684648	Mesenchymal_Stem_Cell | ATF4 | ID:54139	GSM1684648	CHIP:ATF4:ChIP-seq, InVitroCistromics_ATF4_0.02uL_plusCEBPb_0.1uL / hMSC / Human Mesenchymal Stem Cells
54140	GSM1684649	Mesenchymal_Stem_Cell | ATF4 | ID:54140	GSM1684649	CHIP:ATF4:ChIP-seq, InVitroCistromics_ATF4_0.2uL_plusCEBPb_0.1uL / hMSC / Human Mesenchymal Stem Cells
55516	GSM1697346	HAP-1 | ATF4 | ID:55516	GSM1697346	CHIP:ATF4:anti-ATF4 (sc-200) / HAP1, 2 mM histidinol for 24 hours, ATF4 ChIP / HAP1
71017	GSM2060764	U2OS_Osteosarcoma_cell | H3K9ac | ID:71017	GSM2060764	CHIP:H3K9ac:H3K9ac_6AN_ChIPSeq / U2OS cells stably expressing Bmal1:Luc / osteosarcoma cell line U2OS stably expressing Bmal1:Luc
71018	GSM2060763	U2OS_Osteosarcoma_cell | H3K9ac | ID:71018	GSM2060763	CHIP:H3K9ac:H3K9ac_DMSO_ChIPSeq / U2OS cells stably expressing Bmal1:Luc / osteosarcoma cell line U2OS stably expressing Bmal1:Luc
71019	GSM2060762	U2OS_Osteosarcoma_cell | H3K4me3 | ID:71019	GSM2060762	CHIP:H3K4me3:H3K4me3_6AN_ChIPSeq / U2OS cells stably expressing Bmal1:Luc / osteosarcoma cell line U2OS stably expressing Bmal1:Luc
71020	GSM2060761	U2OS_Osteosarcoma_cell | H3K4me3 | ID:71020	GSM2060761	CHIP:H3K4me3:H3K4me3_DMSO_ChIPSeq / U2OS cells stably expressing Bmal1:Luc / osteosarcoma cell line U2OS stably expressing Bmal1:Luc
71021	GSM1920693	U2OS_Osteosarcoma_cell | CLOCK | ID:71021	GSM1920693	CHIP:CLOCK:CLOCK_6AN_ChIPSeq / U2OS cells stably expressing Bmal1:Luc / osteosarcoma cell line U2OS stably expressing Bmal1:Luc
71023	GSM1920691	U2OS_Osteosarcoma_cell | ARNTL | ID:71023	GSM1920691	CHIP:BMAL1:BMAL1_6AN_ChIPSeq / U2OS cells stably expressing Bmal1:Luc / osteosarcoma cell line U2OS stably expressing Bmal1:Luc
71024	GSM1920690	U2OS_Osteosarcoma_cell | ARNTL | ID:71024	GSM1920690	CHIP:BMAL1:BMAL1_DMSO_ChIPSeq / U2OS cells stably expressing Bmal1:Luc / osteosarcoma cell line U2OS stably expressing Bmal1:Luc
77518	GSM2257673	U2OS_Bone | HIF1A | ID:77518	GSM2257673	CHIP:HIF1a:ChIP_hHIF1a-trough-DMSO CHIP-Seq / U2OS cells / .
77519	GSM2257672	U2OS_Bone | HIF1A | ID:77519	GSM2257672	CHIP:HIF1a:ChIP_hHIF1a-peak-DMSO CHIP-Seq / U2OS cells / .
