pair_id	set	distance_bp	count_rep1	count_rep2	count_rep3	distance_bin
BG096	background	868781	7	5	1	4
BG097	background	774569	7	2	6	3
BG098	background	639690	4	1	6	3
BG099	background	336738	9	7	11	1
BG100	background	938563	2	4	0	4
BG101	background	831076	2	3	3	4
BG102	background	347201	6	6	14	1
BG103	background	579371	4	9	5	2
BG104	background	1301929	0	0	1	6
BG105	background	1428119	1	1	2	7
BG106	background	1574508	1	0	3	7
BG107	background	1315178	0	2	3	6
BG108	background	1286276	3	5	1	6
BG109	background	911178	9	4	0	4
BG110	background	556000	0	5	6	2
BG111	background	334179	9	2	3	1
BG112	background	680328	4	3	2	3
BG113	background	610206	4	6	4	3
BG114	background	204511	6	10	5	1
BG115	background	198718	17	16	13	0
BG116	background	855171	2	5	1	4
BG117	background	947916	0	3	3	4
BG118	background	947633	3	3	1	4
BG119	background	420400	10	4	5	2
BG120	background	208546	9	9	9	1
BG121	background	234919	7	4	9	1
BG122	background	681908	2	4	2	3
BG123	background	1051744	4	4	2	5
BG124	background	314121	9	6	7	1
BG125	background	587714	5	1	1	2
BG126	background	750673	1	1	0	3
BG127	background	992835	5	5	5	4
BG128	background	483827	3	7	11	2
BG129	background	383963	3	4	7	1
BG130	background	346057	7	8	8	1
BG131	background	688248	2	1	2	3
BG132	background	245338	5	3	6	1
BG133	background	685256	3	4	6	3
BG134	background	1319991	0	2	3	6
BG135	background	521700	3	4	5	2
BG136	background	1223427	2	2	0	6
BG137	background	1055638	1	1	1	5
BG138	background	393175	1	7	9	1
BG139	background	1494334	2	1	3	7
BG140	background	356947	4	8	10	1
BG141	background	326687	10	4	6	1
BG142	background	260194	11	9	12	1
BG143	background	628822	6	4	1	3
BG144	background	250728	4	7	9	1
BG145	background	851511	0	6	2	4
BG146	background	566467	3	5	3	2
BG147	background	1649997	1	2	0	8
BG148	background	284621	7	5	10	1
BG149	background	936291	3	0	2	4
BG150	background	233456	5	6	8	1
BG151	background	223420	9	10	7	1
BG152	background	318540	4	10	10	1
BG153	background	693012	4	1	6	3
BG154	background	301670	5	5	6	1
BG155	background	218633	16	9	12	1
BG156	background	298919	9	13	12	1
BG157	background	1201290	3	3	1	6
BG158	background	447813	2	5	1	2
BG159	background	943967	4	3	4	4
BG160	background	1198414	4	4	1	5
BG161	background	1717786	1	2	2	8
BG162	background	1061362	1	2	2	5
BG163	background	1029809	0	0	3	5
BG164	background	194780	10	16	18	0
BG165	background	187020	12	8	4	0
BG166	background	926581	2	2	3	4
BG167	background	793641	2	2	3	3
BG168	background	446491	8	9	4	2
BG169	background	261716	8	6	5	1
BG170	background	244417	5	6	6	1
BG171	background	871535	3	5	2	4
BG172	background	441179	3	8	2	2
BG173	background	199589	16	15	13	0
BG174	background	332283	9	5	9	1
BG175	background	1171941	2	1	6	5
BG176	background	317345	7	0	9	1
BG177	background	1434007	1	3	1	7
BG178	background	222436	9	10	13	1
BG179	background	1369519	0	0	2	6
BG180	background	470184	3	9	7	2
BG181	background	373101	9	7	10	1
BG182	background	566247	4	8	4	2
BG183	background	218566	11	7	17	1
BG184	background	1150642	4	2	5	5
BG185	background	893580	1	5	5	4
BG186	background	766142	4	4	6	3
BG187	background	575640	4	1	4	2
BG188	background	303632	7	3	3	1
BG189	background	1707430	0	1	4	8
BG190	background	1372242	1	5	1	6
BG191	background	541405	7	1	6	2
BG192	background	636817	4	4	2	3
BG193	background	1103704	0	3	1	5
BG194	background	1015501	2	5	1	5
BG195	background	1500249	3	2	5	7
BG196	background	225646	11	16	4	1
BG197	background	337882	12	7	8	1
BG198	background	285271	15	7	5	1
BG199	background	828580	4	2	3	4
BG200	background	1740220	1	1	2	8
EP1	candidate	260000	17	19	14	1
EP2	candidate	520000	7	9	11	2
EP3	candidate	340000	21	22	15	1
EP4	candidate	1050000	6	12	2	5
EP5	candidate	780000	3	0	2	3
EP6	candidate	410000	3	6	4	2
EP7	candidate	650000	2	1	4	3
