target_gene	reference_guide	effect	n_features	assigned_query	assigned_correlation	row_best_query	row_best_correlation	row_second_query	row_second_correlation	row_margin	reciprocal_row_best
NUDT21	NUDT21-I3	pseudobulk_logcpm_delta:gene_z	2000	guide13	0.38120722	guide13	0.38120722	guide19	0.2159697	0.16523751	true
NUDT21	NUDT21-I3	pseudobulk_logcpm_delta:gene_z	4000	guide13	0.34351293	guide13	0.34351293	guide19	0.17532903	0.16818391	true
NUDT21	NUDT21-I3	pseudobulk_logcpm_delta:gene_z	11858	guide13	0.39706698	guide13	0.39706698	guide19	0.24950538	0.14756159	true
NUDT21	NUDT21-I3	detection_delta:plain	250	guide13	0.52817165	guide13	0.52817165	guide19	0.32555535	0.2026163	true
NUDT21	NUDT21-I3	detection_delta:plain	500	guide13	0.62174205	guide13	0.62174205	guide19	0.46229674	0.15944531	true
NUDT21	NUDT21-I3	detection_delta:plain	1000	guide13	0.56430517	guide13	0.56430517	guide19	0.41715364	0.14715153	true
NUDT21	NUDT21-I3	detection_delta:plain	2000	guide13	0.53411345	guide13	0.53411345	guide19	0.39738607	0.13672738	true
NUDT21	NUDT21-I3	detection_delta:plain	4000	guide13	0.48843354	guide13	0.48843354	guide19	0.3576892	0.13074435	true
NUDT21	NUDT21-I3	detection_delta:plain	11828	guide13	0.42801621	guide13	0.42801621	guide19	0.35627222	0.071743985	true
NUDT21	NUDT21-I3	detection_delta:gene_z	250	guide13	0.58532721	guide13	0.58532721	guide19	0.37744936	0.20787785	true
NUDT21	NUDT21-I3	detection_delta:gene_z	500	guide13	0.63527416	guide13	0.63527416	guide19	0.47235006	0.16292409	true
NUDT21	NUDT21-I3	detection_delta:gene_z	1000	guide13	0.57025245	guide13	0.57025245	guide19	0.42383974	0.14641271	true
NUDT21	NUDT21-I3	detection_delta:gene_z	2000	guide13	0.52898184	guide13	0.52898184	guide19	0.40041129	0.12857056	true
NUDT21	NUDT21-I3	detection_delta:gene_z	4000	guide13	0.48041884	guide13	0.48041884	guide19	0.33573426	0.14468458	true
NUDT21	NUDT21-I3	detection_delta:gene_z	11828	guide13	0.35500657	guide13	0.35500657	guide19	0.18790047	0.1671061	true
LEO1	LEO1-I2	lognorm_mean_delta:plain	250	guide10	0.16648515	guide14	0.43589967	guide21	0.18081229	0.25508738	false
LEO1	LEO1-I2	lognorm_mean_delta:plain	500	guide10	0.066286095	guide14	0.42842934	guide20	0.16602557	0.26240377	false
LEO1	LEO1-I2	lognorm_mean_delta:plain	1000	guide14	0.37900574	guide14	0.37900574	guide20	0.16510021	0.21390553	false
LEO1	LEO1-I2	lognorm_mean_delta:plain	2000	guide14	0.33825727	guide14	0.33825727	guide17	0.17154459	0.16671269	false
LEO1	LEO1-I2	lognorm_mean_delta:plain	4000	guide14	0.30157404	guide14	0.30157404	guide17	0.1691282	0.13244584	false
LEO1	LEO1-I2	lognorm_mean_delta:plain	11858	guide14	0.31424992	guide14	0.31424992	guide17	0.22322209	0.09102783	false
LEO1	LEO1-I2	lognorm_mean_delta:gene_z	250	guide10	0.39826614	guide1	0.6622491	guide11	0.61636212	0.045886981	false
LEO1	LEO1-I2	lognorm_mean_delta:gene_z	500	guide15	0.36249383	guide11	0.54997358	guide1	0.50294136	0.047032224	false
LEO1	LEO1-I2	lognorm_mean_delta:gene_z	1000	guide10	0.23799749	guide11	0.45193998	guide1	0.44782173	0.0041182496	false
LEO1	LEO1-I2	lognorm_mean_delta:gene_z	2000	guide23	0.28166497	guide11	0.41827942	guide1	0.40156509	0.016714331	false
LEO1	LEO1-I2	lognorm_mean_delta:gene_z	4000	guide23	0.21229089	guide11	0.38731027	guide1	0.36964148	0.017668787	false
LEO1	LEO1-I2	lognorm_mean_delta:gene_z	11858	guide32	0.057572467	guide11	0.2619049	guide2	0.26086733	0.0010375644	false
LEO1	LEO1-I2	pseudobulk_logcpm_delta:plain	250	guide14	0.26246668	guide30	0.29970203	guide14	0.26246668	0.037235354	false
LEO1	LEO1-I2	pseudobulk_logcpm_delta:plain	500	guide1	0.10892311	guide30	0.20457061	guide14	0.19948712	0.005083496	false
LEO1	LEO1-I2	pseudobulk_logcpm_delta:plain	1000	guide14	0.16990049	guide14	0.16990049	guide30	0.13483901	0.035061483	false
LEO1	LEO1-I2	pseudobulk_logcpm_delta:plain	2000	guide1	0.069529286	guide14	0.14063224	guide30	0.11928434	0.021347894	false
LEO1	LEO1-I2	pseudobulk_logcpm_delta:plain	4000	guide14	0.12644495	guide14	0.12644495	guide30	0.088338776	0.038106173	false
LEO1	LEO1-I2	pseudobulk_logcpm_delta:plain	11858	guide14	0.11840853	guide14	0.11840853	guide16	0.079988014	0.038420516	false
LEO1	LEO1-I2	pseudobulk_logcpm_delta:gene_z	250	guide5	0.13786843	guide11	0.30880682	guide1	0.30363391	0.0051729114	false
LEO1	LEO1-I2	pseudobulk_logcpm_delta:gene_z	500	guide10	0.085092111	guide11	0.29681242	guide1	0.29207548	0.0047369359	false
LEO1	LEO1-I2	pseudobulk_logcpm_delta:gene_z	1000	guide14	0.14608378	guide11	0.29902872	guide1	0.24392398	0.055104746	false
LEO1	LEO1-I2	pseudobulk_logcpm_delta:gene_z	2000	guide14	0.11989127	guide1	0.24303858	guide11	0.22538033	0.017658247	false
LEO1	LEO1-I2	pseudobulk_logcpm_delta:gene_z	4000	guide15	0.098863651	guide1	0.16928314	guide2	0.16903711	0.00024603362	false
LEO1	LEO1-I2	pseudobulk_logcpm_delta:gene_z	11858	guide32	0.051634614	guide11	0.18763178	guide2	0.1860566	0.0015751779	false
LEO1	LEO1-I2	detection_delta:plain	250	UNASSIGNED	NA	guide14	0.19397905	guide6	0.10126986	0.092709185	false
LEO1	LEO1-I2	detection_delta:plain	500	guide31	0.043155493	guide14	0.11646845	guide11	0.088307929	0.028160521	false
LEO1	LEO1-I2	detection_delta:plain	1000	guide31	0.05874541	guide14	0.12329839	guide8	0.069214671	0.054083718	false
LEO1	LEO1-I2	detection_delta:plain	2000	UNASSIGNED	NA	guide14	0.0642587	guide2	0.023431122	0.040827579	false
LEO1	LEO1-I2	detection_delta:plain	4000	guide32	0.022482852	guide14	0.041758662	guide32	0.022482852	0.01927581	false
LEO1	LEO1-I2	detection_delta:plain	11828	guide1	0.072606676	guide14	0.19162474	guide9	0.16121383	0.030410903	false
LEO1	LEO1-I2	detection_delta:gene_z	250	guide15	0.20539094	guide11	0.2749132	guide23	0.24385634	0.031056865	false
LEO1	LEO1-I2	detection_delta:gene_z	500	guide31	0.11006518	guide11	0.27618432	guide6	0.20503354	0.071150781	false
LEO1	LEO1-I2	detection_delta:gene_z	1000	guide8	0.15069579	guide14	0.23265327	guide11	0.21861095	0.014042323	false
LEO1	LEO1-I2	detection_delta:gene_z	2000	guide11	0.25486949	guide11	0.25486949	guide1	0.22876971	0.026099778	true
LEO1	LEO1-I2	detection_delta:gene_z	4000	guide10	0.068323903	guide11	0.26363659	guide1	0.24078223	0.022854363	false
LEO1	LEO1-I2	detection_delta:gene_z	11828	guide11	0.25727815	guide2	0.29623724	guide1	0.28846012	0.0077771249	false
