section	group	metric	value
kmer15	salt0	endo_score_median	-0.490051
kmer15	salt0	mix_score_median	0.207593
kmer21	salt0	auc	0.746097
kmer21	salt0	youden	0.484492
kmer21	salt0	threshold_sensitivity	0.980695
kmer21	salt0	threshold_false_positive	0.496203
kmer21	salt0	mix_positive_fraction	0.633079
kmer21	salt0	alpha_threshold	0.282515
kmer21	salt0	alpha_hist_mle	0.285000
kmer21	salt0	bootstrap_low	0.194000
kmer21	salt0	bootstrap_high	0.384000
kmer21	salt0	exo_score_median	0.649855
kmer21	salt0	endo_score_median	-0.534166
kmer21	salt0	mix_score_median	0.156245
kmer31	salt0	auc	0.734497
kmer31	salt0	youden	0.451936
kmer31	salt0	threshold_sensitivity	0.925354
kmer31	salt0	threshold_false_positive	0.473418
kmer31	salt0	mix_positive_fraction	0.595420
kmer31	salt0	alpha_threshold	0.269954
kmer31	salt0	alpha_hist_mle	0.300000
kmer31	salt0	bootstrap_low	0.257000
kmer31	salt0	bootstrap_high	0.398000
kmer31	salt0	exo_score_median	0.610262
kmer31	salt0	endo_score_median	-0.518753
kmer31	salt0	mix_score_median	0.024539
kmer11	salt1	auc	0.754271
kmer11	salt1	youden	0.492384
kmer11	salt1	threshold_sensitivity	0.998713
kmer11	salt1	threshold_false_positive	0.506329
kmer11	salt1	mix_positive_fraction	0.642748
kmer11	salt1	alpha_threshold	0.277058
kmer11	salt1	alpha_hist_mle	0.271000
kmer11	salt1	bootstrap_low	0.216000
kmer11	salt1	bootstrap_high	0.387000
kmer11	salt1	exo_score_median	0.644035
kmer11	salt1	endo_score_median	-0.318924
kmer11	salt1	mix_score_median	0.264623
kmer15	salt1	auc	0.756442
kmer15	salt1	youden	0.488523
kmer15	salt1	threshold_sensitivity	0.994852
kmer15	salt1	threshold_false_positive	0.506329
kmer15	salt1	mix_positive_fraction	0.642748
kmer15	salt1	alpha_threshold	0.279248
kmer15	salt1	alpha_hist_mle	0.284000
kmer15	salt1	bootstrap_low	0.227000
kmer15	salt1	bootstrap_high	0.366000
kmer15	salt1	exo_score_median	0.644455
kmer15	salt1	endo_score_median	-0.368559
kmer15	salt1	mix_score_median	0.219779
kmer21	salt1	auc	0.758945
kmer21	salt1	youden	0.476855
kmer21	salt1	threshold_sensitivity	0.978121
kmer21	salt1	threshold_false_positive	0.501266
kmer21	salt1	mix_positive_fraction	0.631043
kmer21	salt1	alpha_threshold	0.272153
kmer21	salt1	alpha_hist_mle	0.321000
kmer21	salt1	bootstrap_low	0.243000
kmer21	salt1	bootstrap_high	0.385000
kmer21	salt1	exo_score_median	0.632056
kmer21	salt1	endo_score_median	-0.419475
kmer21	salt1	mix_score_median	0.181091
kmer31	salt1	auc	0.753072
kmer31	salt1	youden	0.471241
kmer31	salt1	threshold_sensitivity	0.944659
kmer31	salt1	threshold_false_positive	0.473418
kmer31	salt1	mix_positive_fraction	0.602545
kmer31	salt1	alpha_threshold	0.274014
kmer31	salt1	alpha_hist_mle	0.310000
kmer31	salt1	bootstrap_low	0.243000
kmer31	salt1	bootstrap_high	0.410000
kmer31	salt1	exo_score_median	0.626726
kmer31	salt1	endo_score_median	-0.523912
kmer31	salt1	mix_score_median	0.058137
kmer11	salt2	auc	0.761105
kmer11	salt2	youden	0.488565
kmer11	salt2	threshold_sensitivity	0.997426
kmer11	salt2	threshold_false_positive	0.508861
kmer11	salt2	mix_positive_fraction	0.643257
kmer11	salt2	alpha_threshold	0.275084
kmer11	salt2	alpha_hist_mle	0.288000
kmer11	salt2	bootstrap_low	0.222000
kmer11	salt2	bootstrap_high	0.392000
kmer11	salt2	exo_score_median	0.662048
kmer11	salt2	endo_score_median	-0.343488
kmer11	salt2	mix_score_median	0.222675
kmer15	salt2	auc	0.761123
kmer15	salt2	youden	0.485864
kmer15	salt2	threshold_sensitivity	0.987130
kmer15	salt2	threshold_false_positive	0.501266
kmer15	salt2	mix_positive_fraction	0.637150
kmer15	salt2	alpha_threshold	0.279676
kmer15	salt2	alpha_hist_mle	0.276000
kmer15	salt2	bootstrap_low	0.211000
kmer15	salt2	bootstrap_high	0.378000
kmer15	salt2	exo_score_median	0.659600
kmer15	salt2	endo_score_median	-0.374765
kmer15	salt2	mix_score_median	0.199266
kmer21	salt2	auc	0.761001
kmer21	salt2	youden	0.471580
kmer21	salt2	threshold_sensitivity	0.965251
kmer21	salt2	threshold_false_positive	0.493671
kmer21	salt2	mix_positive_fraction	0.621883
kmer21	salt2	alpha_threshold	0.271878
kmer21	salt2	alpha_hist_mle	0.284000
kmer21	salt2	bootstrap_low	0.203000
kmer21	salt2	bootstrap_high	0.376000
kmer21	salt2	exo_score_median	0.666103
kmer21	salt2	endo_score_median	-0.457809
kmer21	salt2	mix_score_median	0.162338
kmer31	salt2	auc	0.747966
kmer31	salt2	youden	0.454129
kmer31	salt2	threshold_sensitivity	0.904762
kmer31	salt2	threshold_false_positive	0.450633
kmer31	salt2	mix_positive_fraction	0.581170
kmer31	salt2	alpha_threshold	0.287446
kmer31	salt2	alpha_hist_mle	0.312000
kmer31	salt2	bootstrap_low	0.242000
kmer31	salt2	bootstrap_high	0.394000
kmer31	salt2	exo_score_median	0.649588
kmer31	salt2	endo_score_median	-0.496894
kmer31	salt2	mix_score_median	0.049403
kmer11	salt3	auc	0.752959
kmer11	salt3	youden	0.488523
kmer11	salt3	threshold_sensitivity	0.994852
kmer11	salt3	threshold_false_positive	0.506329
kmer11	salt3	mix_positive_fraction	0.639186
kmer11	salt3	alpha_threshold	0.271956
kmer11	salt3	alpha_hist_mle	0.292000
kmer11	salt3	bootstrap_low	0.244000
kmer11	salt3	bootstrap_high	0.398000
kmer11	salt3	exo_score_median	0.704506
kmer11	salt3	endo_score_median	-0.204217
kmer11	salt3	mix_score_median	0.248945
kmer15	salt3	auc	0.752427
kmer15	salt3	youden	0.483417
kmer15	salt3	threshold_sensitivity	0.992278
kmer15	salt3	threshold_false_positive	0.508861
kmer15	salt3	mix_positive_fraction	0.639186
kmer15	salt3	alpha_threshold	0.269591
kmer15	salt3	alpha_hist_mle	0.300000
kmer15	salt3	bootstrap_low	0.226000
kmer15	salt3	bootstrap_high	0.406000
kmer15	salt3	exo_score_median	0.708983
kmer15	salt3	endo_score_median	-0.306073
kmer15	salt3	mix_score_median	0.238259
kmer21	salt3	auc	0.752295
kmer21	salt3	youden	0.478185
kmer21	salt3	threshold_sensitivity	0.981982
kmer21	salt3	threshold_false_positive	0.503797
kmer21	salt3	mix_positive_fraction	0.632061
kmer21	salt3	alpha_threshold	0.268230
kmer21	salt3	alpha_hist_mle	0.287000
kmer21	salt3	bootstrap_low	0.214000
kmer21	salt3	bootstrap_high	0.380000
kmer21	salt3	exo_score_median	0.676371
kmer21	salt3	endo_score_median	-0.453116
kmer21	salt3	mix_score_median	0.200287
kmer31	salt3	auc	0.750534
kmer31	salt3	youden	0.461157
kmer31	salt3	threshold_sensitivity	0.947233
kmer31	salt3	threshold_false_positive	0.486076
kmer31	salt3	mix_positive_fraction	0.607125
kmer31	salt3	alpha_threshold	0.262489
kmer31	salt3	alpha_hist_mle	0.290000
kmer31	salt3	bootstrap_low	0.204000
kmer31	salt3	bootstrap_high	0.402000
kmer31	salt3	exo_score_median	0.674134
kmer31	salt3	endo_score_median	-0.507548
kmer31	salt3	mix_score_median	0.073455
kmer11	salt4	auc	0.736456
kmer11	salt4	youden	0.483417
kmer11	salt4	threshold_sensitivity	0.992278
kmer11	salt4	threshold_false_positive	0.508861
kmer11	salt4	mix_positive_fraction	0.637659
kmer11	salt4	alpha_threshold	0.266433
kmer11	salt4	alpha_hist_mle	0.288000
kmer11	salt4	bootstrap_low	0.230000
kmer11	salt4	bootstrap_high	0.375000
kmer11	salt4	exo_score_median	0.688005
kmer11	salt4	endo_score_median	-0.311058
kmer11	salt4	mix_score_median	0.236647
kmer15	salt4	auc	0.736458
kmer15	salt4	youden	0.484620
kmer15	salt4	threshold_sensitivity	0.988417
kmer15	salt4	threshold_false_positive	0.503797
kmer15	salt4	mix_positive_fraction	0.634097
kmer15	salt4	alpha_threshold	0.268869
kmer15	salt4	alpha_hist_mle	0.288000
kmer15	salt4	bootstrap_low	0.207000
kmer15	salt4	bootstrap_high	0.380000
kmer15	salt4	exo_score_median	0.697772
kmer15	salt4	endo_score_median	-0.428705
kmer15	salt4	mix_score_median	0.197673
kmer21	salt4	auc	0.736772
kmer21	salt4	youden	0.481834
kmer21	salt4	threshold_sensitivity	0.972973
kmer21	salt4	threshold_false_positive	0.491139
kmer21	salt4	mix_positive_fraction	0.623919
kmer21	salt4	alpha_threshold	0.275571
kmer21	salt4	alpha_hist_mle	0.291000
kmer21	salt4	bootstrap_low	0.248000
kmer21	salt4	bootstrap_high	0.372000
kmer21	salt4	exo_score_median	0.693818
kmer21	salt4	endo_score_median	-0.519656
kmer21	salt4	mix_score_median	0.174974
kmer31	salt4	auc	0.729397
kmer31	salt4	youden	0.457042
kmer31	salt4	threshold_sensitivity	0.927928
kmer31	salt4	threshold_false_positive	0.470886
kmer31	salt4	mix_positive_fraction	0.595929
kmer31	salt4	alpha_threshold	0.273591
kmer31	salt4	alpha_hist_mle	0.296000
kmer31	salt4	bootstrap_low	0.216000
kmer31	salt4	bootstrap_high	0.392000
kmer31	salt4	exo_score_median	0.651312
kmer31	salt4	endo_score_median	-0.520775
kmer31	salt4	mix_score_median	0.056946
final	all	consensus_fraction	0.289000
final	all	estimate_min	0.271000
final	all	estimate_max	0.321000
final	all	minimum_auc	0.729397
final	all	identifiable	true
final	all	rounded_percent	30
