gene	Control_#1_B_cell	Control_#2_B_cell	Control_#3_B_cell	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#3_B_cell	Control_#1_T_cell	Control_#2_T_cell	Control_#3_T_cell	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#3_T_cell	Control_#3_erythroid_lineage_cell	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	Control_#1_monocyte	Control_#2_monocyte	Control_#3_monocyte	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#2_monocyte	Control_#1_neutrophil	Control_#2_neutrophil	Control_#3_neutrophil	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#2_neutrophil	Control_#1_platelet	Control_#3_platelet	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#2_platelet
ADAM10	6	9	10	35	47	29	6	178	157	150	347	201	198	30	1	1	3	10	126	106	113	194	216	198	1	2	16	4	22	72	1	6	4	24
ADAM17	24	47	37	227	226	150	76	542	509	353	2010	1047	650	284	1	1	2	5	424	317	255	594	669	299	6	10	40	12	80	222	1	0	3	4
ADAR	15	36	33	124	193	187	25	524	480	405	1317	896	847	131	7	8	13	30	212	167	154	324	344	228	11	9	39	40	70	149	0	1	1	7
ADD1	9	22	15	75	68	88	16	157	152	111	417	256	272	39	1	3	23	63	59	45	29	99	91	79	0	0	5	0	7	28	1	1	3	16
ADD3	10	28	29	84	77	146	12	349	360	294	1234	509	612	99	0	0	0	14	86	65	54	102	109	96	4	3	5	1	8	59	5	6	26	84
ADIPOR1	2	2	2	12	27	35	3	61	48	43	115	111	114	12	51	107	268	651	56	48	40	75	73	64	0	2	4	4	11	38	9	6	29	58
ADSL	9	22	12	104	82	83	28	269	290	210	1037	540	419	122	0	0	0	6	89	64	70	158	200	89	1	2	11	5	14	28	0	0	0	11
AFF4	9	21	14	48	84	122	7	138	147	106	286	240	260	28	0	0	1	7	104	92	88	134	140	127	4	2	6	6	18	67	1	0	1	4
AGFG1	2	1	10	17	28	48	3	53	70	44	186	122	125	13	0	1	1	7	120	76	84	127	255	259	3	1	11	0	9	82	0	2	2	15
AGO2	3	4	3	25	28	29	1	81	91	57	221	152	147	19	2	5	23	33	37	40	15	80	53	48	2	1	9	4	3	50	5	1	0	8
AHCTF1	2	8	8	17	18	45	1	73	78	39	175	112	94	7	0	0	0	5	72	40	47	40	72	100	1	2	15	3	27	83	6	1	18	53
AK3	31	59	58	172	249	287	43	860	871	595	1938	1289	909	222	1	3	6	27	347	284	233	433	496	299	8	3	34	18	60	185	0	1	4	8
AKAP13	17	34	35	138	223	264	24	389	443	338	1090	788	645	79	0	0	2	11	255	208	187	408	325	241	2	5	9	9	13	99	3	0	1	10
AKAP8L	3	9	7	18	36	40	3	104	82	81	256	147	172	20	6	3	16	72	44	27	27	56	52	64	1	1	1	0	5	10	0	0	4	3
AKAP9	9	32	26	132	151	134	14	351	411	298	1068	585	558	95	0	0	23	73	128	147	112	267	234	129	0	1	11	4	4	14	0	0	18	3
AKIRIN1	2	6	6	29	55	61	10	182	157	128	414	328	288	39	1	3	12	26	76	53	60	104	110	111	3	3	11	6	8	59	4	1	9	31
AKIRIN2	8	9	5	24	64	97	7	88	115	65	220	134	203	19	0	1	5	37	154	129	111	140	135	185	1	2	6	8	16	87	6	8	32	147
AKT3	26	57	36	170	177	203	24	522	660	415	1623	773	632	140	0	0	4	20	94	100	79	195	144	107	2	2	7	1	13	21	0	1	0	11
ALDH2	41	56	82	255	340	256	50	1024	1005	670	2387	1619	1106	187	1	0	9	27	685	469	460	786	835	454	15	13	71	19	121	323	0	2	1	3
ALDOA	1	8	12	37	37	50	6	195	196	159	653	489	489	101	0	0	2	12	424	235	247	571	601	583	0	4	1	1	14	40	9	2	32	203
AMD1	7	18	18	26	57	77	7	180	297	115	415	307	384	35	1	0	0	14	69	66	57	119	113	79	0	1	3	3	5	14	3	8	21	35
ANAPC16	16	39	48	181	177	227	45	582	582	456	1619	863	931	150	2	2	12	39	166	122	130	209	239	176	0	2	6	7	16	45	0	1	8	11
ANAPC5	15	21	27	92	91	96	23	389	328	314	870	640	519	85	0	1	1	5	128	109	102	153	193	127	0	1	6	2	21	47	14	13	25	25
ANK2	36	55	62	254	307	243	42	1052	855	764	2230	1579	1022	207	1	0	2	28	342	259	258	481	605	283	14	7	34	29	105	217	0	0	0	6
ANKLE2	16	45	32	100	122	116	17	423	393	288	886	617	455	73	0	1	3	2	186	133	115	218	238	161	4	7	25	16	37	100	1	0	2	9
ANKRD11	11	47	23	95	227	263	17	469	525	367	1094	730	719	79	0	0	1	17	196	166	194	308	275	243	1	3	18	8	19	123	2	1	10	23
ANKRD12	37	101	84	299	500	631	59	1352	1280	866	2886	2112	2061	284	2	0	10	39	299	217	212	413	475	383	2	11	39	19	69	276	0	0	1	16
ANKRD13A	8	6	18	39	37	80	6	60	70	49	145	116	119	13	0	1	2	7	48	29	31	73	78	85	3	6	16	12	30	85	2	1	2	3
ANP32A	6	14	18	71	61	62	15	174	180	150	510	389	398	48	1	1	1	5	135	103	85	220	170	156	13	23	93	61	208	563	0	3	4	10
ANP32B	18	34	27	108	144	226	26	575	548	404	1677	1035	1333	152	40	35	74	502	178	191	186	267	275	275	0	1	1	4	0	24	7	10	30	40
ANXA11	1	5	12	44	62	71	13	198	211	174	616	436	370	75	3	0	0	6	105	82	87	164	153	173	3	6	17	12	18	114	3	5	14	29
ANXA5	3	5	7	35	28	49	7	110	171	119	376	486	414	66	0	0	0	1	377	307	358	649	655	596	1	1	6	4	4	61	1	0	3	21
ANXA7	0	10	3	41	47	52	10	124	110	104	398	280	299	47	7	4	27	75	83	58	63	99	119	82	1	1	10	2	4	43	3	7	12	38
AP1M1	22	30	15	105	139	113	30	529	372	334	1173	724	561	93	1	0	6	11	205	132	110	239	291	166	3	1	40	15	42	116	0	1	2	2
AP1S2	1	11	11	43	27	56	10	84	84	61	251	106	157	28	0	0	2	4	377	297	298	805	360	340	0	1	4	3	11	36	4	4	20	77
AP2A1	2	4	8	14	35	16	4	57	89	37	216	146	112	21	6	8	36	86	50	48	77	94	114	105	0	2	8	4	16	51	1	1	1	3
AP2M1	4	9	12	37	52	58	6	151	178	127	427	291	358	58	8	11	49	151	97	66	84	156	165	161	0	4	7	2	5	44	8	13	22	93
AP2S1	2	4	13	23	47	49	9	112	116	92	342	292	310	34	8	17	49	130	205	181	191	337	324	372	0	1	4	1	3	26	9	11	38	110
AP3S1	3	5	7	18	35	55	5	70	83	65	178	208	167	17	0	0	0	0	59	52	62	62	97	98	0	2	8	3	9	55	1	0	3	15
APH1A	2	9	12	35	45	72	5	98	110	63	231	174	185	32	0	0	0	3	63	43	44	92	99	83	2	1	1	1	4	15	0	1	4	10
APLP2	3	13	14	38	88	66	4	92	93	82	186	124	182	12	0	0	19	29	795	467	441	798	1082	897	1	6	23	12	34	220	1	0	1	7
APOL1	17	39	34	148	145	136	28	594	504	369	1155	873	577	107	0	0	3	12	231	184	165	244	297	173	4	8	35	14	49	97	0	1	0	1
ARF1	7	22	18	60	113	156	20	325	348	294	759	659	710	103	11	13	58	174	260	174	169	297	361	358	2	5	21	5	30	115	16	26	74	246
ARF4	5	6	8	21	24	39	6	135	125	97	226	165	197	34	7	2	36	137	83	49	47	93	95	107	0	1	11	4	15	74	2	1	16	56
ARF5	6	9	9	21	39	50	7	163	163	121	359	346	342	36	0	0	4	8	153	123	132	246	159	223	2	5	8	2	1	39	6	3	22	52
ARFGAP2	14	21	20	89	128	127	16	276	238	175	611	492	413	42	0	0	2	15	95	82	57	137	135	112	0	1	12	2	6	20	1	1	2	9
ARGLU1	28	67	62	203	295	335	29	641	598	432	1679	1076	1018	146	0	2	2	31	147	131	97	232	212	238	0	1	12	8	4	63	1	0	4	3
ARHGAP4	2	7	13	26	34	59	7	109	120	78	310	233	219	28	1	0	2	3	80	49	75	73	114	120	2	1	3	3	4	45	0	1	2	1
ARHGAP45	6	11	17	52	50	56	8	224	187	138	701	402	294	50	1	0	0	3	83	48	68	93	123	93	1	0	8	2	17	46	9	6	12	39
ARHGDIA	15	23	22	37	83	172	18	272	309	237	672	549	597	77	0	0	1	6	214	132	173	215	271	305	6	8	6	5	24	97	1	1	8	19
ARHGDIB	27	68	48	264	242	331	60	1095	1243	822	3275	2532	2663	361	0	3	3	28	407	357	365	642	735	879	5	15	58	15	31	368	29	24	90	392
ARHGEF12	4	6	3	22	27	23	6	55	63	54	141	87	62	12	7	10	65	146	31	20	22	35	48	34	0	0	5	1	1	17	3	5	10	60
ARID1A	9	18	11	55	77	68	10	231	224	143	552	325	251	33	0	0	2	11	99	85	85	175	168	73	6	6	16	6	29	90	0	1	5	7
ARID1B	22	40	45	188	228	195	39	451	401	372	1120	622	523	99	0	0	1	11	116	98	91	196	187	103	2	1	2	6	3	34	0	0	2	3
ARID4B	20	58	46	160	288	297	22	717	766	548	1629	1290	1385	95	0	0	14	56	172	137	103	254	294	271	8	10	40	15	44	247	0	0	3	5
ARIH1	8	12	13	45	56	62	10	205	298	168	322	238	237	21	2	0	11	35	102	79	59	118	98	78	6	1	11	5	18	98	0	0	0	11
ARL2	3	3	8	50	41	32	20	108	120	73	385	203	199	57	0	0	1	5	34	40	35	64	63	41	2	1	1	4	3	8	3	2	8	28
ARL6IP1	6	9	14	37	64	91	4	220	321	180	611	538	491	65	8	11	36	166	85	80	78	128	135	124	0	1	6	2	7	27	1	5	8	30
ARL6IP5	10	10	17	96	71	65	20	396	376	361	1207	682	902	177	0	0	2	20	215	155	223	349	355	399	1	1	17	5	13	178	21	17	71	205
ARMC10-1	50	72	64	205	264	251	26	1251	1114	749	2121	1312	1025	123	0	0	0	21	264	167	158	253	280	214	4	0	15	3	28	42	0	1	2	0
ARPC1B	10	38	26	164	169	244	57	463	617	461	1929	1416	1291	232	0	0	0	29	775	565	721	1315	1250	1192	0	5	33	13	18	185	97	80	311	903
ARPC2	35	72	64	278	316	462	80	1069	1217	805	2971	2460	2431	359	2	1	1	30	704	572	718	1127	1187	1355	6	11	74	42	79	559	9	17	57	243
ARPC3	48	89	101	396	385	677	98	811	856	645	2327	1648	2051	276	2	4	20	75	833	663	826	1452	1174	1608	7	8	46	27	48	468	5	5	34	138
ARPC4	7	23	17	72	80	89	16	234	250	191	593	552	564	66	4	2	7	17	185	136	153	248	298	315	0	3	17	4	17	81	13	12	54	171
ARPC5	7	18	13	101	82	100	15	371	308	265	1437	743	675	115	1	0	4	17	428	310	367	706	636	653	7	13	65	47	48	393	26	47	88	296
ARPP19	10	17	18	36	77	125	8	149	139	101	302	265	236	25	0	0	2	9	46	32	33	69	71	75	1	0	2	4	8	25	7	3	8	15
ASAH1	3	14	13	49	63	83	5	75	108	66	298	148	159	23	0	0	10	53	596	520	543	586	774	1008	9	4	50	23	114	419	4	20	29	62
ASAP1	2	7	4	13	23	46	4	78	73	47	150	128	134	19	5	4	17	86	120	92	67	142	142	130	1	4	23	16	23	159	3	4	24	95
ASB8	4	10	3	27	26	32	4	100	77	72	235	195	197	20	0	0	2	20	33	24	33	61	69	64	1	2	5	1	10	26	0	1	9	24
ATE1	4	13	7	29	50	55	4	147	152	103	342	227	209	27	0	0	2	4	29	25	29	63	63	38	1	0	4	1	3	11	3	3	8	12
ATF4	11	27	21	49	99	206	15	284	369	162	471	475	562	37	1	0	6	39	218	182	193	230	339	321	0	1	5	4	8	35	13	5	34	156
ATG12	11	13	6	36	70	89	9	166	159	131	371	305	277	41	1	0	1	9	72	38	50	95	106	83	1	0	2	3	8	58	0	1	0	6
ATG2A	12	20	15	41	74	62	10	320	325	177	519	413	361	44	1	1	15	10	77	67	67	100	124	57	13	9	38	21	70	173	0	1	0	4
ATL1	73	131	156	521	723	648	107	2238	2000	1538	4972	3185	2292	399	2	5	4	40	847	615	633	984	1345	655	19	29	139	57	235	557	0	4	9	41
ATP11B	7	8	12	24	43	51	2	124	170	106	251	216	195	16	1	0	0	9	74	55	47	85	110	70	4	1	15	6	16	81	0	1	2	7
ATP1A1	4	10	16	36	46	72	9	242	233	172	520	420	401	64	0	0	1	7	204	152	112	219	242	197	3	1	11	5	16	55	0	0	2	12
ATP5F1B	5	8	17	61	63	76	16	182	251	194	669	610	580	106	8	8	66	211	176	134	175	345	257	239	0	1	3	3	2	22	0	0	6	14
ATP5F1D	34	37	44	186	210	244	49	710	653	518	1814	1238	1203	172	0	2	12	41	248	215	200	408	394	297	5	6	19	6	32	63	2	4	10	33
ATP5F1E	66	127	145	494	565	773	119	1869	2086	1478	5764	3690	4062	611	116	174	983	2427	1321	1043	1224	1944	2096	1839	7	22	86	54	137	1050	14	18	95	327
ATP5ME	9	22	15	95	122	124	17	403	448	264	1132	779	755	161	0	2	14	21	213	166	171	357	343	212	3	1	6	5	10	38	0	0	5	17
ATP5MF	6	15	14	71	83	105	18	273	299	203	865	684	742	128	4	2	65	141	196	144	200	345	277	378	0	0	0	1	2	19	1	1	9	37
ATP5MG	48	90	89	297	364	478	78	1488	1436	1069	3948	2712	2795	372	2	10	71	331	654	497	530	959	909	839	7	4	29	15	43	214	4	6	14	84
ATP5MJ	7	12	24	92	112	123	23	414	426	314	1206	963	937	125	3	2	3	22	393	248	281	537	507	462	1	1	17	5	24	185	7	11	34	114
ATP5MK	9	23	23	98	95	157	23	444	462	330	1283	875	917	158	1	3	6	37	179	158	158	337	298	355	2	0	11	2	3	49	1	1	9	48
ATP5PF	7	16	13	69	51	108	22	287	279	238	860	548	766	94	2	0	19	82	121	92	136	236	190	252	0	1	3	0	4	27	1	5	13	75
ATP6AP2	4	7	9	26	22	38	4	251	202	148	492	271	456	53	1	0	10	28	254	141	158	285	246	237	1	0	6	3	12	27	1	2	8	17
ATP6V0B	7	20	18	44	58	89	12	117	139	112	293	238	296	44	3	1	15	42	288	247	293	427	462	548	9	12	44	18	71	234	2	2	4	22
ATP6V0C	3	13	7	22	67	91	4	131	113	86	196	230	295	20	22	33	101	288	270	220	173	298	342	557	0	1	2	5	13	109	0	1	10	63
ATP6V0D1	4	10	10	32	43	55	2	68	58	51	182	123	131	22	1	0	2	13	196	167	131	250	282	252	3	2	22	4	35	119	2	1	5	21
ATP6V0E1	9	20	10	88	83	103	20	225	290	196	956	435	487	96	0	1	5	55	163	145	129	273	284	365	1	4	16	19	19	192	9	15	43	135
ATP6V1D	6	18	13	46	44	59	4	304	283	189	501	464	295	31	8	6	36	115	118	73	72	123	111	115	0	5	18	7	27	87	1	1	1	20
ATP6V1F	7	9	11	45	56	129	12	135	164	111	431	309	347	48	0	0	14	17	258	192	181	360	341	375	0	0	6	7	4	44	7	1	9	31
ATP6V1G1	25	32	50	176	145	189	32	652	522	464	1608	940	1163	142	0	1	7	25	269	202	225	396	348	427	1	9	11	15	15	145	0	6	7	45
ATP7A	3	12	11	48	35	32	9	167	138	74	313	179	144	30	0	3	3	24	56	36	29	67	65	39	1	4	8	4	16	25	0	1	0	0
ATP9B	33	85	79	305	313	341	51	1117	1116	747	3028	1751	1328	254	0	1	10	16	275	196	214	406	398	290	4	5	30	17	45	84	0	1	2	4
ATRX	14	37	26	120	132	207	22	417	413	283	1246	596	613	79	0	2	17	51	128	77	90	203	137	120	1	2	11	15	16	60	1	1	1	16
ATXN2	5	21	20	73	79	37	14	222	274	194	677	350	226	56	1	0	2	7	85	60	61	150	150	59	3	3	16	7	22	63	1	0	2	16
ATXN7	3	14	8	48	90	82	10	379	321	239	719	616	526	50	1	0	2	20	116	79	45	129	131	79	9	9	38	8	19	53	0	0	1	9
AZIN1	2	11	3	16	16	39	4	74	87	66	189	144	161	6	0	0	2	12	69	46	48	51	111	120	1	0	10	2	7	86	1	1	2	13
B2M	162	743	362	2587	2764	4890	341	9099	20468	7714	39922	26454	29957	2565	2	73	34	646	3190	4502	1991	7816	7284	9869	13	108	281	419	592	5957	132	221	1199	3516
B2M-1	254	102	503	881	953	1481	404	12872	3326	10170	12703	7162	9248	2894	9	5	17	125	3986	587	2712	2883	3176	1513	123	132	589	156	598	2188	129	207	84	78
B4GALT1	10	15	16	49	108	101	11	130	143	70	288	160	141	25	0	2	0	2	108	51	55	100	121	96	1	1	8	5	18	108	1	0	5	10
BACH1	10	22	12	37	105	190	5	68	61	50	109	103	125	2	0	1	3	26	299	190	245	260	360	484	2	7	29	3	43	202	0	0	4	28
BAG1	5	10	5	28	35	52	3	104	124	79	291	253	262	34	31	52	157	327	61	49	56	124	125	112	1	0	7	3	14	39	3	1	3	18
BAX	5	10	9	31	78	101	10	176	179	137	419	446	472	42	0	0	0	10	120	81	83	160	166	210	0	1	4	1	6	14	3	2	7	22
BAZ1A	1	18	7	41	44	72	4	182	190	129	511	313	362	40	0	0	3	11	102	63	78	168	137	111	8	3	22	12	21	137	0	0	2	7
BAZ2B	14	40	26	107	153	131	39	372	410	275	1157	698	513	137	1	0	3	15	217	180	121	361	332	160	7	5	33	21	42	147	0	0	3	3
BBLN	12	12	13	50	72	100	12	303	317	214	812	551	649	62	0	0	6	21	62	65	71	112	113	132	1	0	2	1	3	35	16	15	59	272
BCAP31	4	8	13	38	39	40	8	140	159	109	436	257	311	48	0	0	2	4	81	62	98	138	177	171	0	0	8	1	13	37	3	4	23	71
BECN1	1	10	11	16	29	34	1	87	95	78	172	139	160	21	0	2	13	17	35	33	31	58	45	66	1	1	4	5	5	13	0	3	2	14
BEND7	16	26	19	91	75	62	28	374	291	237	789	547	317	91	0	0	0	11	118	87	69	185	198	102	1	0	20	5	31	58	1	0	1	22
BIN2	1	8	5	38	30	37	4	333	368	236	878	494	465	83	0	0	2	5	101	89	105	139	139	183	0	1	11	3	7	73	22	11	58	256
BIRC2	4	8	5	17	29	35	0	158	160	123	323	311	246	21	3	9	39	297	47	35	36	64	88	71	1	2	8	6	5	49	1	1	2	3
BIRC6	3	8	14	42	80	79	7	211	217	122	527	340	296	49	0	0	2	3	87	70	56	125	128	102	2	0	2	5	16	37	0	0	2	6
BLOC1S1	9	17	15	68	71	118	12	150	133	100	432	368	354	54	1	1	23	45	123	98	136	328	282	368	0	1	3	7	6	100	0	1	11	31
BLOC1S6	51	111	104	322	392	583	51	1042	1046	753	2363	1525	1488	156	5	2	18	67	405	344	280	443	429	414	5	4	36	15	65	182	8	4	19	71
BLTP1	12	23	14	97	94	92	10	309	346	236	985	615	461	77	0	0	4	5	103	81	83	146	168	111	2	5	14	16	29	83	0	0	1	7
BNIP2	2	15	5	42	58	84	10	168	149	127	300	264	322	31	0	0	1	8	208	157	159	228	296	283	4	1	15	6	19	141	6	1	24	62
BNIP3L	8	11	6	21	30	61	5	126	132	82	290	203	231	26	137	165	852	2735	125	113	120	209	221	152	2	4	16	14	26	77	3	3	19	54
BOD1L1	20	61	41	128	236	291	18	317	296	198	816	555	523	57	1	0	2	9	183	153	159	253	282	318	7	6	38	19	55	198	0	1	1	8
BORCS7	7	11	11	64	107	105	12	307	244	221	602	426	375	50	0	0	3	11	182	152	104	192	211	180	2	1	12	6	28	46	1	1	0	7
BPTF	15	33	28	125	158	165	9	368	393	233	955	552	497	84	0	4	22	60	101	85	54	206	150	82	1	4	10	9	10	43	1	0	4	14
BRAF	17	24	24	83	205	211	15	372	379	248	607	511	419	35	0	0	4	17	98	56	65	104	122	102	4	2	17	9	40	80	0	0	0	5
BRD4	8	18	13	63	70	73	12	165	187	120	480	308	297	34	4	6	32	73	94	96	55	150	133	125	3	4	16	10	24	128	2	0	1	20
BRI3	3	7	6	22	89	81	7	154	156	113	377	288	385	35	0	1	3	9	658	534	560	928	1158	1168	1	5	42	28	81	613	0	2	1	21
BRIP1	48	63	54	299	264	238	88	948	1007	597	2957	1621	919	302	1	3	9	20	297	232	232	467	587	194	7	10	45	17	106	163	0	1	2	0
BRK1	10	13	23	90	63	81	16	175	204	173	654	441	450	69	5	6	12	40	194	133	149	284	261	262	0	1	3	3	3	83	5	10	42	140
BROX	7	1	10	19	37	45	10	105	100	87	214	185	226	27	0	2	10	43	41	20	25	63	72	74	1	1	4	3	6	22	0	3	8	19
BRWD1	8	13	6	25	40	49	7	206	206	129	396	277	243	34	0	0	0	10	48	43	24	51	66	36	4	1	4	1	5	33	0	0	4	8
BSDC1	5	12	17	39	54	85	4	181	119	105	300	214	258	17	0	1	20	51	34	28	21	51	43	53	0	1	6	1	4	21	2	2	4	13
BSG	2	7	2	22	27	29	7	126	121	109	292	226	284	43	65	72	292	953	85	49	59	87	122	133	2	1	3	3	5	25	2	1	8	35
BTF3	51	92	82	383	497	755	66	1585	1428	1147	4391	3059	3767	456	52	68	219	962	511	435	482	825	612	749	0	3	3	3	3	52	0	3	7	48
BTG1	97	277	188	797	1157	1181	95	4544	3980	2825	9036	6789	7612	376	3	3	5	143	745	392	540	889	777	744	5	8	72	26	59	390	2	0	1	22
BTK	29	40	30	144	162	132	25	446	335	296	909	621	417	70	0	0	1	2	225	154	164	254	293	185	5	3	24	12	31	85	6	3	18	30
BUD31	7	9	7	39	52	84	13	141	169	122	321	365	371	20	1	0	5	33	74	41	46	94	90	128	1	1	11	8	11	89	1	1	1	25
C11orf58	21	55	54	216	284	336	44	840	773	614	2010	1374	1293	218	2	7	24	73	227	174	184	413	367	298	1	3	18	12	30	90	0	3	13	36
C15orf40	45	90	69	212	339	311	39	1051	904	593	1976	1429	903	120	2	1	8	26	380	301	278	373	507	352	6	1	32	13	67	134	4	2	2	9
C19orf53	10	18	17	82	76	109	15	357	307	234	940	595	656	116	0	1	5	26	116	62	89	163	178	166	0	0	2	2	11	34	0	1	3	20
C1GALT1	6	4	5	28	33	32	3	97	102	82	264	152	147	18	0	0	6	26	33	42	29	49	32	55	0	1	3	3	9	25	5	1	8	13
C21orf62	25	57	55	180	225	190	30	789	684	506	1694	1131	804	137	0	1	3	17	315	229	223	338	402	198	11	1	26	11	69	134	1	0	1	3
C2CD3	124	182	181	717	885	865	165	2478	2180	1670	6764	4077	2969	623	2	5	22	64	977	840	855	1393	1738	1287	20	10	102	43	216	539	10	9	16	29
C2orf68	23	38	27	235	190	131	75	494	522	357	2183	1115	571	228	0	1	5	12	182	196	155	362	429	142	7	4	22	21	41	72	0	0	5	7
C4orf3	5	25	16	87	85	138	16	271	283	214	974	430	593	100	0	0	8	13	146	110	116	227	215	229	1	3	25	14	27	345	3	8	22	73
C6orf62	3	9	10	47	43	47	8	132	149	101	430	213	204	44	3	9	39	127	85	64	74	140	155	96	4	4	20	13	22	106	3	6	9	20
C9orf78	15	25	22	60	106	132	14	481	409	321	1093	894	842	106	64	117	166	163	102	85	95	175	160	248	0	1	11	4	11	43	1	0	3	12
CAB39	2	11	4	18	23	21	2	86	86	59	225	142	173	22	0	0	2	4	32	21	23	83	75	72	1	1	2	3	12	45	3	1	9	29
CACUL1	4	4	4	20	32	34	3	102	105	61	252	125	106	16	0	0	1	6	44	45	54	101	75	79	2	2	13	8	23	53	0	2	1	7
CALM1	31	82	81	246	390	705	70	2205	2560	1894	5548	4217	4812	565	0	0	11	98	428	371	341	621	691	1162	0	12	28	13	31	443	35	36	101	547
CALM2	17	66	46	185	157	311	54	576	848	514	1756	1243	1278	155	0	6	20	120	569	496	580	1110	644	868	5	4	29	24	14	126	15	9	33	99
CALM3	7	12	11	32	35	62	11	269	239	174	792	634	597	75	1	3	16	48	123	101	137	224	276	295	1	1	9	1	16	78	48	74	155	543
CAMLG	6	12	9	47	35	54	8	218	234	130	521	328	402	48	0	0	0	22	34	39	48	96	79	61	1	2	6	3	3	44	2	0	2	5
CAP1	3	14	8	67	43	63	13	218	280	174	718	493	448	75	0	0	1	13	282	200	232	463	436	469	4	8	56	23	43	334	17	13	40	166
CAPN1	2	1	3	22	25	23	8	64	80	61	168	137	153	21	0	0	0	9	49	28	40	57	78	63	0	1	3	2	7	14	11	14	23	113
CAPNS1	1	9	13	33	37	60	9	155	175	116	452	298	289	45	0	2	3	10	179	139	147	251	274	247	0	1	4	1	7	18	2	5	33	68
CAPZA1	16	22	16	80	91	89	10	221	259	129	618	578	412	69	0	0	0	5	187	129	141	303	278	244	3	5	19	10	24	116	0	5	7	41
CAPZA2	6	8	7	39	63	81	9	138	157	120	432	334	330	47	0	1	7	39	205	161	156	279	342	369	4	2	28	19	25	226	10	19	72	159
