"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_002008305_4","GCF_003691675_1","GCF_005280335_1","GCF_020097155_1"
"dmoA","","Dimethyl-sulfide monooxygenase","4","4","1","1","823","","","","1421","1460","1432","MICKBS0714_00207","MICSA211_02200","MICAS2_00184","MICKD33716_00130"
"group_162","","hypothetical protein","4","4","1","1","4111","","","","419","419","419","MICKBS0714_00380","MICSA211_00104","MICAS2_02575","MICKD33716_02447"
"gbh","","Guanidinobutyrase","4","4","1","1","5724","","","","1016","1016","1016","MICKBS0714_00385","MICSA211_00109","MICAS2_02570","MICKD33716_01755"
"ilvB","","Acetolactate synthase isozyme 1 large subunit","4","4","1","1","5727","","","","1370","1718","1629","MICKBS0714_00386","MICSA211_00110","MICAS2_02569","MICKD33716_02444"
"lpqY","","Trehalose-binding lipoprotein LpqY","4","4","1","1","5769","","","","1304","1355","1316","MICKBS0714_00411","MICSA211_00131","MICAS2_02548","MICKD33716_02416"
"sdhA","","Succinate dehydrogenase flavoprotein subunit","4","4","1","1","5821","","","","1787","1787","1787","MICKBS0714_00434","MICSA211_00155","MICAS2_02523","MICKD33716_02394"
"prs","","Ribose-phosphate pyrophosphokinase","4","4","1","1","5898","","","","980","980","980","MICKBS0714_00500","MICSA211_00221","MICAS2_02449","MICKD33716_02333"
"scoB","","putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B","4","4","1","1","5221","","","","665","665","665","MICKBS0714_00744","MICSA211_00475","MICAS2_02185","MICKD33716_02083"
"acpP","","Acyl carrier protein","4","4","1","1","5440","","","","245","245","245","MICKBS0714_00920","MICSA211_00639","MICAS2_02021","MICKD33716_01920"
"cmpC","","Nitrate import ATP-binding protein NrtD","4","4","1","1","5615","","","","725","725","725","MICKBS0714_00989","MICSA211_00703","MICAS2_01900","MICKD33716_01847"
"cmpB","","Bicarbonate transport system permease protein CmpB","4","4","1","1","5616","","","","923","923","923","MICKBS0714_00990","MICSA211_00704","MICAS2_01899","MICKD33716_01846"
"udk_1","","Uridine kinase","4","4","1","1","2788","","","","587","620","602","MICKBS0714_01035","MICSA211_00748","MICAS2_01849","MICKD33716_01739"
"group_202","","S-(hydroxymethyl)mycothiol dehydrogenase","4","4","1","1","2790","","","","1094","1094","1094","MICKBS0714_01037","MICSA211_00750","MICAS2_01847","MICKD33716_01737"
"rpsA","","30S ribosomal protein S1","4","4","1","1","2915","","","","1451","1457","1455","MICKBS0714_01103","MICSA211_00822","MICAS2_01791","MICKD33716_01682"
"sodA","","Superoxide dismutase [Mn]","4","4","1","1","2939","","","","626","626","626","MICKBS0714_01123","MICSA211_00842","MICAS2_01770","MICKD33716_01663"
"sufC","","Vegetative protein 296","4","4","1","1","2973","","","","764","764","764","MICKBS0714_01140","MICSA211_00859","MICAS2_01752","MICKD33716_01646"
"rpmE2","","50S ribosomal protein L31 type B","4","4","1","1","2993","","","","257","257","257","MICKBS0714_01153","MICSA211_00872","MICAS2_01738","MICKD33716_01633"
"fkbP","","FK506-binding protein","4","4","1","1","3083","","","","395","395","395","MICKBS0714_01182","MICSA211_00901","MICAS2_01706","MICKD33716_01605"
"group_212","","Protein","4","4","1","1","3173","","","","392","392","392","MICKBS0714_01206","MICSA211_00925","MICAS2_01681","MICKD33716_01579"
"group_213","","hypothetical protein","4","4","1","1","3362","","","","299","299","299","MICKBS0714_01305","MICSA211_01028","MICAS2_01587","MICKD33716_01483"
"prpB","","2-methylisocitrate lyase","4","4","1","1","3467","","","","938","938","938","MICKBS0714_01415","MICSA211_01146","MICAS2_01484","MICKD33716_01391"
"argG","","Argininosuccinate synthase","4","4","1","1","3491","","","","1241","1241","1241","MICKBS0714_01431","MICSA211_01163","MICAS2_01468","MICKD33716_01375"
"rpmI","","50S ribosomal protein L35","4","4","1","1","3518","","","","194","194","194","MICKBS0714_01454","MICSA211_01186","MICAS2_01446","MICKD33716_01349"
"curA","","NADPH-dependent curcumin reductase","4","4","1","1","2203","","","","872","1010","975","MICKBS0714_01602","MICSA211_01314","MICAS2_01292","MICKD33716_01200"
"mug","","G/U mismatch-specific DNA glycosylase","4","4","1","1","2191","","","","566","566","566","MICKBS0714_01614","MICSA211_01324","MICAS2_01285","MICKD33716_01189"
"rplR","","50S ribosomal protein L18","4","4","1","1","2048","","","","374","374","374","MICKBS0714_01704","MICSA211_01411","MICAS2_01174","MICKD33716_01104"
"rplE","","50S ribosomal protein L5","4","4","1","1","2044","","","","575","575","575","MICKBS0714_01707","MICSA211_01414","MICAS2_01171","MICKD33716_01101"
"rplP","","50S ribosomal protein L16","4","4","1","1","2039","","","","416","416","416","MICKBS0714_01712","MICSA211_01419","MICAS2_01166","MICKD33716_01096"
"rplC","","50S ribosomal protein L3","4","4","1","1","2032","","","","650","650","650","MICKBS0714_01719","MICSA211_01426","MICAS2_01159","MICKD33716_01089"
"rpoB","","DNA-directed RNA polymerase subunit beta","4","4","1","1","2018","","","","3506","3506","3506","MICKBS0714_01728","MICSA211_01435","MICAS2_01150","MICKD33716_01079"
"rplL","","50S ribosomal protein L7/L12","4","4","1","1","2017","","","","386","389","387","MICKBS0714_01729","MICSA211_01436","MICAS2_01149","MICKD33716_01078"
"menB_2","","1,4-dihydroxy-2-naphthoyl-CoA synthase","4","4","1","1","1953","","","","974","1064","1001","MICKBS0714_01799","MICSA211_01496","MICAS2_01074","MICKD33716_01010"
"hup","","DNA-binding protein HB1","4","4","1","1","1770","","","","281","281","281","MICKBS0714_01907","MICSA211_01603","MICAS2_00951","MICKD33716_00891"
"mmgC_2","","Acyl-CoA dehydrogenase","4","4","1","1","1700","","","","1199","1202","1201","MICKBS0714_01944","MICSA211_01640","MICAS2_00912","MICKD33716_00850"
"group_265","","hypothetical protein","4","4","1","1","4419","","","","776","1619","1397","MICKBS0714_01991","MICSA211_01685","MICAS2_00866","MICKD33716_00804"
"group_266","","hypothetical protein","4","4","1","1","4420","","","","698","701","700","MICKBS0714_01992","MICSA211_01686","MICAS2_00865","MICKD33716_00803"
"paaK","","Phenylacetate-coenzyme A ligase","4","4","1","1","4577","","","","1349","1349","1349","MICKBS0714_02027","MICSA211_01736","MICAS2_00792","MICKD33716_00753"
"group_271","","hypothetical protein","4","4","1","1","4582","","","","896","899","897","MICKBS0714_02035","MICSA211_01742","MICAS2_00781","MICKD33716_00748"
"mshD_1","","Mycothiol acetyltransferase","4","4","1","1","6119","","","","1070","1070","1070","MICKBS0714_02079","MICSA211_01783","MICAS2_00705","MICKD33716_00615"
"group_276","","hypothetical protein","4","4","1","1","314","","","","485","485","485","MICKBS0714_02083","MICSA211_01788","MICAS2_00700","MICKD33716_00610"
"lcfB_1","","Long-chain-fatty-acid--CoA ligase","4","4","1","1","6916","","","","1502","1502","1502","MICKBS0714_02253","MICSA211_01952","MICAS2_00488","MICKD33716_00434"
"cidA","","Holin-like protein CidA","4","4","1","1","6670","","","","362","365","363","MICKBS0714_02256","MICSA211_01956","MICAS2_00475","MICKD33716_00430"
"rpmH","","50S ribosomal protein L34","4","4","1","1","6609","","","","137","137","137","MICKBS0714_02312","MICSA211_02005","MICAS2_00424","MICKD33716_00377"
"group_34","","IS5 family transposase ISBli8","4","4","1","1","6129","","","","383","383","383","MICKBS0714_01068","MICSA211_00788","MICAS2_02347","MICKD33716_00625"
"group_360","","hypothetical protein","4","4","1","1","792","","","","515","515","515","MICKBS0714_00193","MICSA211_02189","MICAS2_00207","MICKD33716_00154"
"groL1_1","","60 kDa chaperonin 1","4","4","1","1","4065","","","","1631","1631","1631","MICKBS0714_00355","MICSA211_00071","MICAS2_02606","MICKD33716_02465"
"group_42","","IS5 family transposase ISBli8","4","4","1","1","6128","","","","383","383","383","MICKBS0714_01069","MICSA211_00787","MICAS2_02348","MICKD33716_00621"
"sucD","","Succinate--CoA ligase [ADP-forming] subunit alpha","4","4","1","1","4090","","","","914","920","917","MICKBS0714_00372","MICSA211_00088","MICAS2_02590","MICKD33716_02449"
"glyA1","","Serine hydroxymethyltransferase 1","4","4","1","1","5781","","","","1280","1280","1280","MICKBS0714_00420","MICSA211_00141","MICAS2_02539","MICKD33716_02408"
"rmlB","","dTDP-glucose 4,6-dehydratase","4","4","1","1","5960","","","","995","1070","1013","MICKBS0714_00521","MICSA211_00243","MICAS2_02428","MICKD33716_02311"
"hisB","","Imidazoleglycerol-phosphate dehydratase","4","4","1","1","5154","","","","617","617","617","MICKBS0714_00719","MICSA211_00450","MICAS2_02239","MICKD33716_02111"
"thiC","","Phosphomethylpyrimidine synthase","4","4","1","1","5250","","","","1805","1823","1817","MICKBS0714_00771","MICSA211_00502","MICAS2_02159","MICKD33716_02054"
"atpH_1","","ATP synthase subunit c","4","4","1","1","5276","","","","212","215","214","MICKBS0714_00792","MICSA211_00523","MICAS2_02139","MICKD33716_02032"
"sir","","Sulfite reductase [ferredoxin]","4","4","1","1","5611","","","","536","1715","1420","MICKBS0714_00985","MICSA211_00699","MICAS2_01904","MICKD33716_01851"
"cysH","","Phosphoadenosine phosphosulfate reductase","4","4","1","1","5612","","","","725","725","725","MICKBS0714_00986","MICSA211_00700","MICAS2_01903","MICKD33716_01850"
"rplU","","50S ribosomal protein L21","4","4","1","1","5625","","","","305","305","305","MICKBS0714_01000","MICSA211_00714","MICAS2_01890","MICKD33716_01818"
"gloB_3","","Hydroxyacylglutathione hydrolase","4","4","1","1","2789","","","","656","656","656","MICKBS0714_01036","MICSA211_00749","MICAS2_01848","MICKD33716_01738"
"pdhD","","Dihydrolipoyl dehydrogenase","4","4","1","1","3397","","","","1379","1379","1379","MICKBS0714_01325","MICSA211_01046","MICAS2_01566","MICKD33716_01462"
"rpsJ","","30S ribosomal protein S10","4","4","1","1","2030","","","","308","308","308","MICKBS0714_01720","MICSA211_01427","MICAS2_01158","MICKD33716_01088"
"rpsO","","30S ribosomal protein S15","4","4","1","1","4803","","","","269","269","269","MICKBS0714_00687","MICSA211_00424","MICAS2_02270","MICKD33716_02137"
"cysD","","Sulfate adenylyltransferase subunit 2","4","4","1","1","5613","","","","935","935","935","MICKBS0714_00987","MICSA211_00701","MICAS2_01902","MICKD33716_01849"
"rpsR1","","30S ribosomal protein S18 1","4","4","1","1","6640","","","","239","239","239","MICKBS0714_02290","MICSA211_01982","MICAS2_00448","MICKD33716_00400"
"xecA1","","2-hydroxypropyl-CoM lyase","4","4","1","1","315","","","","1031","1031","1031","MICKBS0714_02084","MICSA211_01789","MICAS2_00699","MICKD33716_00609"
"cysNC","","Bifunctional enzyme CysN/CysC","4","4","1","1","5614","","","","1340","1340","1340","MICKBS0714_00988","MICSA211_00702","MICAS2_01901","MICKD33716_01848"
"thcA","","EPTC-inducible aldehyde dehydrogenase","4","4","1","1","426","","","","1523","1523","1523","MICKBS0714_02129","MICSA211_01837","MICAS2_00651","MICKD33716_00567"
"group_6910","","putative acetyl-CoA acetyltransferase","4","4","1","1","5219","","","","1208","1208","1208","MICKBS0714_00742","MICSA211_00473","MICAS2_02187","MICKD33716_02085"
"group_6911","","hypothetical protein","4","4","1","1","1695","","","","209","209","209","MICKBS0714_01948","MICSA211_01642","MICAS2_00907","MICKD33716_00846"
"hutH","","Histidine ammonia-lyase","4","4","1","1","779","","","","1604","1613","1610","MICKBS0714_00187","MICSA211_02183","MICAS2_00214","MICKD33716_00159"
"ohrA","","Organic hydroperoxide resistance protein OhrA","4","4","1","1","2206","","","","419","419","419","MICKBS0714_01599","MICSA211_01311","MICAS2_01294","MICKD33716_01203"
"rpsD","","30S ribosomal protein S4","4","4","1","1","3248","","","","626","626","626","MICKBS0714_01257","MICSA211_00976","MICAS2_01630","MICKD33716_01528"
"rpsS","","30S ribosomal protein S19","4","4","1","1","2036","","","","281","281","281","MICKBS0714_01715","MICSA211_01422","MICAS2_01163","MICKD33716_01093"
"rpsG","","30S ribosomal protein S7","4","4","1","1","2021","","","","470","470","470","MICKBS0714_01725","MICSA211_01432","MICAS2_01153","MICKD33716_01083"
"argO_1","","Arginine exporter protein ArgO","4","4","1","1","6079","","","","614","614","614","MICKBS0714_02081","MICSA211_01785","MICAS2_00703","MICKD33716_00613"
"rpmG2","","50S ribosomal protein L33 2","4","4","1","1","1768","","","","167","167","167","MICKBS0714_01909","MICSA211_01605","MICAS2_00949","MICKD33716_00889"
"smpB","","SsrA-binding protein","4","4","1","1","5223","","","","515","515","515","MICKBS0714_00745","MICSA211_00476","MICAS2_02184","MICKD33716_02082"
"group_6924","","hypothetical protein","4","4","1","1","5701","","","","866","866","866","MICKBS0714_01031","MICSA211_00746","MICAS2_01851","MICKD33716_01741"
"rplN","","50S ribosomal protein L14","4","4","1","1","2042","","","","368","368","368","MICKBS0714_01709","MICSA211_01416","MICAS2_01169","MICKD33716_01099"
"cysG","","Siroheme synthase","4","4","1","1","5617","","","","1268","1268","1268","MICKBS0714_00991","MICSA211_00705","MICAS2_01898","MICKD33716_01845"
"metB_2","","Cystathionine gamma-synthase","4","4","1","1","317","","","","1310","1310","1310","MICKBS0714_02086","MICSA211_01791","MICAS2_00697","MICKD33716_00607"
"group_6933","","O-acetyl-L-homoserine sulfhydrylase","4","4","1","1","318","","","","1349","1349","1349","MICKBS0714_02087","MICSA211_01792","MICAS2_00696","MICKD33716_00606"
"gutB","","Sorbitol dehydrogenase","4","4","1","1","5217","","","","1073","1073","1073","MICKBS0714_00741","MICSA211_00472","MICAS2_02188","MICKD33716_02086"
"whiB1","","Transcriptional regulator WhiB1","4","4","1","1","3522","","","","248","248","248","MICKBS0714_01458","MICSA211_01190","MICAS2_01442","MICKD33716_01345"
"iscS_1","","Cysteine desulfurase IscS","4","4","1","1","3640","","","","1172","1172","1172","MICKBS0714_01581","MICSA211_01291","MICAS2_01342","MICKD33716_01235"
"yhbO","","Protein/nucleic acid deglycase 2","4","4","1","1","2202","","","","683","773","705","MICKBS0714_01603","MICSA211_01315","MICAS2_01291","MICKD33716_01199"
"ychF","","Ribosome-binding ATPase YchF","4","4","1","1","2172","","","","1085","1133","1109","MICKBS0714_01624","MICSA211_01330","MICAS2_01273","MICKD33716_01182"
"groS","","10 kDa chaperonin","4","4","1","1","2103","","","","296","296","296","MICKBS0714_01657","MICSA211_01362","MICAS2_01237","MICKD33716_01148"
"rpsK","","30S ribosomal protein S11","4","4","1","1","2068","","","","401","404","403","MICKBS0714_01694","MICSA211_01401","MICAS2_01184","MICKD33716_01114"
"rpsM","","30S ribosomal protein S13","4","4","1","1","2060","","","","368","368","368","MICKBS0714_01695","MICSA211_01402","MICAS2_01183","MICKD33716_01113"
"rpmJ","","50S ribosomal protein L36","4","4","1","1","2059","","","","113","113","113","MICKBS0714_01696","MICSA211_01403","MICAS2_01182","MICKD33716_01112"
"infA","","Translation initiation factor IF-1","4","4","1","1","2058","","","","221","239","234","MICKBS0714_01697","MICSA211_01404","MICAS2_01181","MICKD33716_01111"
"rpsH","","30S ribosomal protein S8","4","4","1","1","2046","","","","398","398","398","MICKBS0714_01706","MICSA211_01413","MICAS2_01172","MICKD33716_01102"
"fprA_1","","NADPH-ferredoxin reductase FprA","4","4","1","1","5618","","","","1430","1436","1434","MICKBS0714_00992","MICSA211_00706","MICAS2_01897","MICKD33716_01844"
"rplV","","50S ribosomal protein L22","4","4","1","1","2037","","","","365","365","365","MICKBS0714_01714","MICSA211_01421","MICAS2_01164","MICKD33716_01094"
"rplB","","50S ribosomal protein L2","4","4","1","1","2035","","","","839","839","839","MICKBS0714_01716","MICSA211_01423","MICAS2_01162","MICKD33716_01092"
"tuf","","Elongation factor Tu","4","4","1","1","2025","","","","1190","1190","1190","MICKBS0714_01723","MICSA211_01430","MICAS2_01155","MICKD33716_01085"
"rpsL","","30S ribosomal protein S12","4","4","1","1","2020","","","","374","374","374","MICKBS0714_01726","MICSA211_01433","MICAS2_01152","MICKD33716_01082"
"aspT","","Aspartate/alanine antiporter","4","4","1","1","1951","","","","1565","1565","1565","MICKBS0714_01800","MICSA211_01497","MICAS2_01073","MICKD33716_01009"
"group_828","","hypothetical protein","4","4","1","1","1939","","","","98","98","98","MICKBS0714_01812","MICSA211_01509","MICAS2_01062","MICKD33716_00997"
"crp","","CRP-like cAMP-activated global transcriptional regulator","4","4","1","1","1914","","","","677","752","695","MICKBS0714_01837","MICSA211_01534","MICAS2_01031","MICKD33716_00972"
"rpmB","","50S ribosomal protein L28","4","4","1","1","1767","","","","236","236","236","MICKBS0714_01910","MICSA211_01606","MICAS2_00948","MICKD33716_00888"
"pdxS","","Pyridoxal 5'-phosphate synthase subunit PdxS","4","4","1","1","4416","","","","944","944","944","MICKBS0714_01986","MICSA211_01680","MICAS2_00871","MICKD33716_00807"
"paaJ","","3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase","4","4","1","1","4544","","","","1217","1226","1219","MICKBS0714_02016","MICSA211_01725","MICAS2_00805","MICKD33716_00764"
"group_916","","hypothetical protein","4","4","1","1","313","","","","512","512","512","MICKBS0714_02082","MICSA211_01787","MICAS2_00701","MICKD33716_00611"
"group_917","","hypothetical protein","4","4","1","1","316","","","","1046","1046","1046","MICKBS0714_02085","MICSA211_01790","MICAS2_00698","MICKD33716_00608"
"group_923","","hypothetical protein","4","4","1","1","423","","","","440","440","440","MICKBS0714_02126","MICSA211_01834","MICAS2_00654","MICKD33716_00570"
"adh","","Alcohol dehydrogenase","4","4","1","1","425","","","","1031","1031","1031","MICKBS0714_02128","MICSA211_01836","MICAS2_00652","MICKD33716_00568"
"group_925","","hypothetical protein","4","4","1","1","428","","","","437","437","437","MICKBS0714_02131","MICSA211_01839","MICAS2_00649","MICKD33716_00565"
"fdm","","Formaldehyde dismutase","4","4","1","1","4113","","","","1193","1262","1210","MICKBS0714_00382","MICSA211_00106","MICAS2_02573","MICKD33716_02445"
"group_94","","hypothetical protein","4","4","1","1","5971","","","","1415","1433","1428","MICKBS0714_00522","MICSA211_00244","MICAS2_02427","MICKD33716_02310"
"yohK","","Inner membrane protein YohK","4","4","1","1","6673","","","","734","734","734","MICKBS0714_02255","MICSA211_01955","MICAS2_00476","MICKD33716_00431"
"group_1044","","hypothetical protein","3","3","1","1","6400","1","504","","560","560","560","MICKBS0714_00024","MICSA211_02042","MICAS2_00372",""
"treA","","Trehalose-6-phosphate hydrolase","3","3","1","1","711","1","1499","","1823","1823","1823","MICKBS0714_00135","MICSA211_02149","MICAS2_00250",""
"betI_1","","HTH-type transcriptional regulator BetI","3","3","1","1","1127","1","244","","569","569","569","MICKBS0714_00168","MICSA211_00359","MICAS2_02333",""
"qacA","","Antiseptic resistance protein","3","3","1","1","1128","1","243","","1466","1466","1466","MICKBS0714_00169","MICSA211_00360","MICAS2_02334",""
"kdgR_1","","hypothetical protein","3","3","1","1","631","48","5","","713","713","713","MICKBS0714_00183","MICSA211_02179","MICAS2_00218",""
"hutI_1","","Imidazolonepropionase","3","3","1","1","775","56","1","","1205","1205","1205","MICKBS0714_00186","MICSA211_02182","MICAS2_00215",""
"recR","","Recombination protein RecR","3","3","1","1","905","1","2133","","599","599","599","MICKBS0714_00225","MICSA211_02238","MICAS2_00155",""
"rutE","","putative malonic semialdehyde reductase RutE","3","3","1","1","969","1","2227","","665","665","665","MICKBS0714_00227","MICSA211_02240","","MICKD33716_00111"
"gcvP","","putative glycine dehydrogenase (decarboxylating)","3","3","1","1","1028","1","2177","","2936","2936","2936","MICKBS0714_00255","MICSA211_02269","MICAS2_00114",""
"group_1185","","hypothetical protein","3","3","1","1","1067","1","2473","","539","539","539","MICKBS0714_00278","MICSA211_02293","MICAS2_00075",""
"namA","","NADPH dehydrogenase","3","3","1","1","1068","1","2474","","1127","1127","1127","MICKBS0714_00279","MICSA211_02294","MICAS2_00074",""
"group_1187","","hypothetical protein","3","3","1","1","1076","1","2475","","323","323","323","MICKBS0714_00280","MICSA211_02295","MICAS2_00073",""
"rlmH","","Ribosomal RNA large subunit methyltransferase H","3","3","1","1","1083","1","2490","","458","458","458","MICKBS0714_00288","MICSA211_02310","MICAS2_00066",""
"tcrX_1","","putative transcriptional regulatory protein TcrX","3","3","1","1","4069","33","25","","707","707","707","MICKBS0714_00359","MICSA211_00075","MICAS2_02602",""
"glsA_1","","Glutaminase","3","3","1","1","5760","18","61","","1847","1847","1847","MICKBS0714_00406","MICSA211_00129","MICAS2_02550",""
"sad_2","","Succinate-semialdehyde dehydrogenase","3","3","1","1","5880","6","186","","1487","1487","1487","MICKBS0714_00489","MICSA211_00210","MICAS2_02458",""
"btuD_2","","Vitamin B12 import ATP-binding protein BtuD","3","3","1","1","6068","1","858","","1163","1163","1163","MICKBS0714_00576","MICSA211_00308","MICAS2_02357",""
"group_1350","","hypothetical protein","3","3","1","1","6069","1","859","","1547","1547","1547","MICKBS0714_00577","MICSA211_00309","MICAS2_02356",""
"fbpA","","Fe(3+)-binding periplasmic protein","3","3","1","1","6072","1","865","","1091","1091","1091","MICKBS0714_00578","MICSA211_00310","MICAS2_02355",""
"mmcO","","Multicopper oxidase MmcO","3","3","1","1","6466","1","943","","1556","1565","1562","MICKBS0714_00628","","MICAS2_00400","MICKD33716_02201"
"group_1386","","hypothetical protein","3","3","1","1","6467","1","942","","866","866","866","MICKBS0714_00629","","MICAS2_00401","MICKD33716_02200"
"walR","","Transcriptional regulatory protein WalR","3","3","1","1","6468","1","941","","725","725","725","MICKBS0714_00630","","MICAS2_00402","MICKD33716_02199"
"group_1388","","hypothetical protein","3","3","1","1","6470","1","939","","329","329","329","MICKBS0714_00632","","MICAS2_00404","MICKD33716_02197"
"group_1389","","hypothetical protein","3","3","1","1","6472","1","937","","683","683","683","MICKBS0714_00634","","MICAS2_00406","MICKD33716_02195"
"group_1390","","hypothetical protein","3","3","1","1","6473","1","936","","1055","1055","1055","MICKBS0714_00635","","MICAS2_00407","MICKD33716_02194"
"group_140","","hypothetical protein","3","3","1","1","6401","1","505","","1715","1715","1715","MICKBS0714_00023","MICSA211_02041","MICAS2_00373",""
"glpQ_2","","Glycerophosphodiester phosphodiesterase, periplasmic","3","3","1","1","6203","1","400","","1226","1226","1226","MICKBS0714_00086","MICSA211_02099","MICAS2_00305",""
"gsiA_2","","Glutathione import ATP-binding protein GsiA","3","3","1","1","692","1","1479","","650","1811","1405","MICKBS0714_00119","MICSA211_02135","MICAS2_00265",""
"group_146","","hypothetical protein","3","3","1","1","680","1","1625","","443","446","445","MICKBS0714_00139","MICSA211_02153","MICAS2_00245",""
"trmH","","tRNA (guanosine(18)-2'-O)-methyltransferase","3","3","1","1","719","1","1598","","437","647","532","MICKBS0714_00143","MICSA211_02157","","MICKD33716_00175"
"dadA","","D-amino acid dehydrogenase","3","3","1","1","5254","30","16","","1169","1169","1169","MICKBS0714_00776","MICSA211_00507","MICAS2_02154",""
"thiG","","Thiazole synthase","3","3","1","1","5256","30","18","","818","818","818","MICKBS0714_00778","MICSA211_00509","MICAS2_02152",""
"argS","","Arginine--tRNA ligase","3","3","1","1","5258","30","20","","1670","1670","1670","MICKBS0714_00780","MICSA211_00511","MICAS2_02150",""
"ilvH","","Acetolactate synthase small subunit","3","3","1","1","4990","2","318","","509","509","509","MICKBS0714_00832","MICSA211_00564","MICAS2_02092",""
"ilvC","","Ketol-acid reductoisomerase (NADP(+))","3","3","1","1","4989","2","319","","1031","1031","1031","MICKBS0714_00833","MICSA211_00565","MICAS2_02091",""
"group_153","","hypothetical protein","3","3","1","1","774","56","2","","1376","1376","1376","MICKBS0714_00185","MICSA211_02181","MICAS2_00216",""
"group_1531","","hypothetical protein","3","3","1","1","4944","2","199","","203","203","203","MICKBS0714_00878","MICSA211_00600","MICAS2_02057",""
"acsA_2","","Acetyl-coenzyme A synthetase","3","3","1","1","612","32","16","","2204","2291","2244","MICKBS0714_00202","MICSA211_02197","","MICKD33716_00144"
