sample	top_taxonomy_name	identity	shared_hashes	median_multiplicity	pvalue	full_taxonomy	taxonomic_subspecies	taxonomic_species	taxonomic_genus	taxonomic_family	taxonomic_order	taxonomic_class	taxonomic_phylum	taxonomic_kingdom	taxonomic_superkingdom	subspecies	serovar	plasmid	bioproject	biosample	taxid	assembly_accession	match_id	taxonomic_parvorder	taxonomic_superorder	taxonomic_subfamily	taxonomic_infraorder	taxonomic_subkingdom	taxonomic_subclass	taxonomic_suborder	taxonomic_superfamily	taxonomic_subphylum	match_comment
reads	Aureoboletus projectellus	0.910985	90/400	12	8.043039999999998e-147	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Boletales; Boletineae; Boletaceae; Xerocomoideae; Aureoboletus; projectellus		Aureoboletus projectellus	Aureoboletus	Boletaceae	Boletales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		285715		./rcn/refseq-NG-285715-PRJNA39195-.-.-.-Boletellus_projectellus.fna			Xerocomoideae		Dikarya	Agaricomycetidae	Boletineae		Agaricomycotina	
reads	Mortierella verticillata	0.910985	90/400	11	8.043039999999998e-147	Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mortierellomycotina; Mortierellales; Mortierellaceae; Mortierella; verticillata		Mortierella verticillata	Mortierella	Mortierellaceae	Mortierellales		Mucoromycota	Fungi	Eukaryota				PRJNA39195		78898		./rcn/refseq-NG-78898-PRJNA39195-.-.-.-Mortierella_verticillata.fna									Mortierellomycotina	
reads	Paxillus vernalis	0.910349	89/400	12	1.0004799999999998e-144	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Boletales; Paxilineae; Paxillaceae; Paxillus; vernalis		Paxillus vernalis	Paxillus	Paxillaceae	Boletales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		101662		./rcn/refseq-NG-101662-PRJNA39195-.-.-.-Paxillus_vernalis.fna					Dikarya	Agaricomycetidae	Paxilineae		Agaricomycotina	
reads	Physeter catodon	0.910349	89/400	1	1.0004799999999998e-144	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Cetartiodactyla; Cetacea; Odontoceti; Physeteridae; Physeter; catodon		Physeter catodon	Physeter	Physeteridae	Cetacea	Mammalia	Chordata	Metazoa	Eukaryota						9755		./rcn/refseq-NG-9755-.-.-.-.-Physeter_catodon.fna		Laurasiatheria					Odontoceti		Craniata	
reads	Gymnopus dryophilus	0.909057	87/400	12	1.4825099999999998e-140	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Omphalotaceae; Gymnopus; dryophilus		Gymnopus dryophilus	Gymnopus	Omphalotaceae	Agaricales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		206318		./rcn/refseq-NG-206318-PRJNA39195-.-.-.-Gymnopus_dryophilus.fna					Dikarya	Agaricomycetidae			Agaricomycotina	
reads	Collybia tuberosa	0.909057	87/400	12	1.4825099999999998e-140	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae; Collybia; tuberosa		Collybia tuberosa	Collybia	Tricholomataceae	Agaricales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		88288		./rcn/refseq-NG-88288-PRJNA39195-.-.-.-Collybia_tuberosa.fna					Dikarya	Agaricomycetidae			Agaricomycotina	
reads	Basidiobolus ranarum	0.9077370000000001	85/400	11	2.0720299999999995e-136	Eukaryota; Opisthokonta; Fungi; Zoopagomycota; Entomophthoromycotina; Basidiobolomycetes; Basidiobolales; Basidiobolaceae; Basidiobolus; ranarum		Basidiobolus ranarum	Basidiobolus	Basidiobolaceae	Basidiobolales	Basidiobolomycetes	Zoopagomycota	Fungi	Eukaryota				PRJNA39195		34480		./rcn/refseq-NG-34480-PRJNA39195-.-.-.-Basidiobolus_ranarum.fna									Entomophthoromycotina	
reads	Flammulina velutipes	0.9077370000000001	85/400	11	2.0720299999999995e-136	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Physalacriaceae; Flammulina; velutipes		Flammulina velutipes	Flammulina	Physalacriaceae	Agaricales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		38945		./rcn/refseq-NG-38945-PRJNA39195-.-.-.-Flammulina_velutipes.fna					Dikarya	Agaricomycetidae			Agaricomycotina	
reads	Olpidium brassicae	0.9077370000000001	85/400	11	2.0720299999999995e-136	Eukaryota; Opisthokonta; Fungi; incertae sedis; Olpidiaceae; Olpidium; brassicae		Olpidium brassicae	Olpidium	Olpidiaceae				Fungi	Eukaryota				PRJNA39195		70189		./rcn/refseq-NG-70189-PRJNA39195-.-.-.-Olpidium_brassicae.fna										
reads	Corynespora cassiicola	0.9077370000000001	85/400	9	2.0720299999999995e-136	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; dothideomyceta; Dothideomycetes; Pleosporomycetidae; Pleosporales; Corynesporascaceae; Corynespora; cassiicola		Corynespora cassiicola	Corynespora	Corynesporascaceae	Pleosporales	Dothideomycetes	Ascomycota	Fungi	Eukaryota				PRJNA39195		59586		./rcn/refseq-NG-59586-PRJNA39195-.-.-.-Corynespora_cassiicola.fna					Dikarya	Pleosporomycetidae			Pezizomycotina	
