sample	cells	immune	nonimmune	epith	basal_cand	squam_nonimm	adeno_nonimm	dc	dc_frac	pdc	basal_frac_nonimm	squam_frac_nonimm	adeno_frac_nonimm
Patient_029	4579	20	4559	4467	4450	4449	6	1	0.000218	0	0.976091	0.975872	0.001316
Patient_030	4744	14	4730	4579	4562	4564	4	1	0.000211	0	0.964482	0.964905	0.000846
Patient_031	4802	28	4774	4607	4577	4579	4	2	0.000416	0	0.958735	0.959154	0.000838
Patient_032	604	435	169	159	2	5	12	31	0.051325	15	0.011834	0.029586	0.071006
Patient_033	594	428	166	135	2	5	9	33	0.055556	15	0.012048	0.030120	0.054217
Patient_034	600	429	171	165	2	5	9	40	0.066667	16	0.011696	0.029240	0.052632
Patient_035	599	431	168	145	2	5	12	32	0.053422	15	0.011905	0.029762	0.071429
Patient_036	2635	1695	940	510	24	26	9	305	0.115750	224	0.025532	0.027660	0.009574
Patient_037	2610	1669	941	468	20	23	10	292	0.111877	223	0.021254	0.024442	0.010627
Patient_038	2539	1575	964	463	21	23	9	297	0.116975	208	0.021784	0.023859	0.009336
Patient_039	2569	1619	950	440	20	22	8	294	0.114441	209	0.021053	0.023158	0.008421
Patient_040	4567	17	4550	4470	4449	4455	7	2	0.000438	0	0.977802	0.979121	0.001538
Patient_041	2723	1272	1451	1027	10	77	789	325	0.119354	108	0.006892	0.053067	0.543763
Patient_042	1738	448	1290	470	2	30	495	67	0.038550	17	0.001550	0.023256	0.383721
Patient_043	2696	1214	1482	1002	12	83	796	301	0.111647	108	0.008097	0.056005	0.537112
Patient_044	2803	1359	1444	1106	14	75	802	323	0.115234	135	0.009695	0.051939	0.555402
Patient_045	3235	1654	1581	230	132	136	3	56	0.017311	10	0.083491	0.086022	0.001898
Patient_046	3120	1571	1549	206	121	122	6	56	0.017949	12	0.078115	0.078760	0.003873
Patient_047	3429	1829	1600	270	137	141	4	54	0.015748	8	0.085625	0.088125	0.002500
Patient_048	3596	2030	1566	266	128	129	3	75	0.020857	14	0.081737	0.082375	0.001916
Patient_049	279	79	200	197	0	0	64	4	0.014337	3	0.000000	0.000000	0.320000
Patient_050	2632	906	1726	483	9	20	331	143	0.054331	52	0.005214	0.011587	0.191773
Patient_051	3974	1663	2311	1138	28	36	759	127	0.031958	52	0.012116	0.015578	0.328429
Patient_052	3088	955	2133	1270	25	32	910	112	0.036269	44	0.011721	0.015002	0.426629
Patient_053	3760	2460	1300	3112	10	26	338	216	0.057447	223	0.007692	0.020000	0.260000
Patient_054	2732	1890	842	464	22	127	16	67	0.024524	19	0.026128	0.150831	0.019002
Patient_055	4154	2339	1815	907	42	198	53	80	0.019259	28	0.023140	0.109091	0.029201
Patient_056	4402	2828	1574	1474	82	391	55	79	0.017946	41	0.052097	0.248412	0.034943
Patient_057	1389	653	736	1234	19	66	336	73	0.052556	15	0.025815	0.089674	0.456522
Patient_058	1186	457	729	624	3	13	425	47	0.039629	12	0.004115	0.017833	0.582990
Patient_059	573	288	285	206	2	3	145	26	0.045375	8	0.007018	0.010526	0.508772
Patient_060	1937	1185	752	760	131	180	175	144	0.074342	33	0.174202	0.239362	0.232713
Patient_061	2952	2285	667	1918	10	10	132	282	0.095528	86	0.014993	0.014993	0.197901
Patient_062	1125	848	277	147	22	23	11	27	0.024000	3	0.079422	0.083032	0.039711
Patient_063	360	159	201	69	51	52	8	15	0.041667	1	0.253731	0.258706	0.039801
Patient_064	334	125	209	72	62	62	1	11	0.032934	2	0.296651	0.296651	0.004785
Patient_065	558	218	340	76	47	48	7	19	0.034050	1	0.138235	0.141176	0.020588
Patient_066	525	153	372	135	102	107	5	19	0.036190	12	0.274194	0.287634	0.013441
Patient_067	1063	289	774	384	113	125	59	52	0.048918	21	0.145995	0.161499	0.076227
