sample	level	label	cells	proportion
GallBladder	cell_type	Endocrine cell	3	0.00242914979757085
Intestine	cell_type	Endocrine cell	180	0.0196936542669584
Kidney	cell_type	Endocrine cell	9	0.00112135559431846
Liver	cell_type	Endocrine cell	1	0.000157629255989912
Lung	cell_type	Endocrine cell	6	0.000583260425780111
Pancreas	cell_type	Endocrine cell	1337	0.144213137741344
Prostate	cell_type	Endocrine cell	1	8.50774204526119e-05
Stomach	cell_type	Endocrine cell	208	0.0230496453900709
Bladder	cell_type	Endothelial cell	635	0.0717676311030741
Brain	cell_type	Endothelial cell	271	0.02766435279706
Cloaca	cell_type	Endothelial cell	1204	0.134195274186358
GallBladder	cell_type	Endothelial cell	2	0.00161943319838057
Gill	cell_type	Endothelial cell	473	0.0442180050481443
Heart	cell_type	Endothelial cell	98	0.00958810292534977
Intestine	cell_type	Endothelial cell	984	0.107658643326039
Kidney	cell_type	Endothelial cell	901	0.112260154497882
Limb	cell_type	Endothelial cell	866	0.079926165205353
Liver	cell_type	Endothelial cell	1110	0.174968474148802
Lung	cell_type	Endothelial cell	1584	0.153980752405949
Pancreas	cell_type	Endothelial cell	936	0.100959982741883
Prostate	cell_type	Endothelial cell	466	0.0396460779309171
Spleen	cell_type	Endothelial cell	55	0.00682212850409328
Stomach	cell_type	Endothelial cell	347	0.0384530141843972
Cloaca	cell_type	Enterocyte	25	0.00278644672313865
GallBladder	cell_type	Enterocyte	19	0.0153846153846154
Intestine	cell_type	Enterocyte	3808	0.416630196936543
Stomach	cell_type	Enterocyte	10	0.00110815602836879
Bladder	cell_type	Epicardial cell	24	0.0027124773960217
Brain	cell_type	Epicardial cell	3	0.000306247447937934
Cloaca	cell_type	Epicardial cell	58	0.00646455639768168
Gill	cell_type	Epicardial cell	18	0.00168271477984482
Heart	cell_type	Epicardial cell	1775	0.173662068290774
Intestine	cell_type	Epicardial cell	68	0.0074398249452954
Kidney	cell_type	Epicardial cell	2	0.00024919013207077
Limb	cell_type	Epicardial cell	4	0.000369173973234887
Liver	cell_type	Epicardial cell	1	0.000157629255989912
Lung	cell_type	Epicardial cell	94	0.00913774667055507
Pancreas	cell_type	Epicardial cell	20	0.00215726458850178
Prostate	cell_type	Epicardial cell	2	0.000170154840905224
Stomach	cell_type	Epicardial cell	20	0.00221631205673759
Bladder	cell_type	Erythroid cell	43	0.00485985533453888
Brain	cell_type	Erythroid cell	10	0.00102082482645978
Cloaca	cell_type	Erythroid cell	29	0.00323227819884084
Gill	cell_type	Erythroid cell	583	0.0545012620360849
Heart	cell_type	Erythroid cell	370	0.036199980432443
Intestine	cell_type	Erythroid cell	78	0.00853391684901532
Kidney	cell_type	Erythroid cell	5	0.000622975330176925
Limb	cell_type	Erythroid cell	367	0.0338717120443009
Liver	cell_type	Erythroid cell	19	0.00299495586380832
Lung	cell_type	Erythroid cell	2506	0.24360843783416
Pancreas	cell_type	Erythroid cell	197	0.0212490561967425
Prostate	cell_type	Erythroid cell	17	0.0014463161476944
Spleen	cell_type	Erythroid cell	2050	0.254279335152568
Stomach	cell_type	Erythroid cell	131	0.0145168439716312
Bladder	cell_type	Fibroblast	1838	0.207730560578662
Brain	cell_type	Fibroblast	784	0.0800326663944467
Cloaca	cell_type	Fibroblast	2353	0.26226036558181
GallBladder	cell_type	Fibroblast	17	0.0137651821862348
Gill	cell_type	Fibroblast	1292	0.120781527531083
Heart	cell_type	Fibroblast	55	0.00538107817239018
Intestine	cell_type	Fibroblast	2569	0.281072210065646
Kidney	cell_type	Fibroblast	1257	0.156615998006479
Limb	cell_type	Fibroblast	3583	0.33068758652515
Liver	cell_type	Fibroblast	1772	0.279319041614124
Lung	cell_type	Fibroblast	1969	0.19140662972684
Pancreas	cell_type	Fibroblast	903	0.0974004961708554
Prostate	cell_type	Fibroblast	757	0.0644036072826272
Spleen	cell_type	Fibroblast	244	0.0302654428181593
Stomach	cell_type	Fibroblast	1129	0.125110815602837
Cloaca	cell_type	Foveolar cell	12	0.00133749442710655
GallBladder	cell_type	Foveolar cell	2	0.00161943319838057
Intestine	cell_type	Foveolar cell	74	0.00809628008752735
Lung	cell_type	Foveolar cell	12	0.00116652085156022
Pancreas	cell_type	Foveolar cell	2	0.000215726458850178
Stomach	cell_type	Foveolar cell	4692	0.519946808510638
Bladder	cell_type	H+ transporting cell	85	0.00960669077757685
GallBladder	cell_type	H+ transporting cell	17	0.0137651821862348
Gill	cell_type	H+ transporting cell	1	9.34841544358231e-05
Intestine	cell_type	H+ transporting cell	1	0.000109409190371991
Kidney	cell_type	H+ transporting cell	1910	0.237976576127585
Limb	cell_type	H+ transporting cell	13	0.00119981541301338
Lung	cell_type	H+ transporting cell	3	0.000291630212890055
Pancreas	cell_type	H+ transporting cell	38	0.00409880271815338
Prostate	cell_type	H+ transporting cell	419	0.0356474391696444
GallBladder	cell_type	Hepatocyte	18	0.0145748987854251
Intestine	cell_type	Hepatocyte	7	0.000765864332603939
Kidney	cell_type	Hepatocyte	5	0.000622975330176925
Liver	cell_type	Hepatocyte	1872	0.295081967213115
Pancreas	cell_type	Hepatocyte	2	0.000215726458850178
Bladder	cell_type	Lymphocyte	246	0.0278028933092224
Brain	cell_type	Lymphocyte	38	0.00387913434054716
Cloaca	cell_type	Lymphocyte	43	0.00479268836379848
Gill	cell_type	Lymphocyte	227	0.0212209030569319
Heart	cell_type	Lymphocyte	13	0.00127189120438313
Intestine	cell_type	Lymphocyte	89	0.00973741794310722
Kidney	cell_type	Lymphocyte	218	0.0271617243957139
Limb	cell_type	Lymphocyte	187	0.017258883248731
Liver	cell_type	Lymphocyte	131	0.0206494325346784
Lung	cell_type	Lymphocyte	240	0.0233304170312044
Pancreas	cell_type	Lymphocyte	82	0.0088447848128573
Prostate	cell_type	Lymphocyte	74	0.00629572911349328
Spleen	cell_type	Lymphocyte	4322	0.536095261721657
Stomach	cell_type	Lymphocyte	76	0.00842198581560284
Bladder	cell_type	Megakaryocytes	9	0.00101717902350814
Brain	cell_type	Megakaryocytes	5	0.00051041241322989
Cloaca	cell_type	Megakaryocytes	19	0.00211769950958538
Gill	cell_type	Megakaryocytes	167	0.0156118537907825
Heart	cell_type	Megakaryocytes	369	0.0361021426474905
Intestine	cell_type	Megakaryocytes	15	0.00164113785557987
Kidney	cell_type	Megakaryocytes	53	0.0066035384998754
Limb	cell_type	Megakaryocytes	45	0.00415320719889248
Liver	cell_type	Megakaryocytes	555	0.087484237074401
Lung	cell_type	Megakaryocytes	391	0.0380091377466706
Pancreas	cell_type	Megakaryocytes	165	0.0177974328551397
Prostate	cell_type	Megakaryocytes	2	0.000170154840905224
Spleen	cell_type	Megakaryocytes	765	0.0948896055569338
Stomach	cell_type	Megakaryocytes	11	0.00121897163120567
Bladder	cell_type	Myeloid cell	353	0.0398960216998192
Brain	cell_type	Myeloid cell	64	0.00653327888934259
Cloaca	cell_type	Myeloid cell	371	0.0413508693713776
GallBladder	cell_type	Myeloid cell	1	0.000809716599190283
Gill	cell_type	Myeloid cell	598	0.0559035243526222
Heart	cell_type	Myeloid cell	642	0.0628118579395363
Intestine	cell_type	Myeloid cell	406	0.0444201312910284
Kidney	cell_type	Myeloid cell	102	0.0127086967356093
Limb	cell_type	Myeloid cell	1240	0.114443931702815
Liver	cell_type	Myeloid cell	868	0.136822194199243
Lung	cell_type	Myeloid cell	228	0.0221638961796442
Pancreas	cell_type	Myeloid cell	161	0.0173659799374393
Prostate	cell_type	Myeloid cell	102	0.00867789688616641
Spleen	cell_type	Myeloid cell	622	0.0771520714462912
Stomach	cell_type	Myeloid cell	96	0.0106382978723404
Brain	cell_type	Neural	8380	0.855451204573295
GallBladder	cell_type	Parietal cell	2	0.00161943319838057
Intestine	cell_type	Parietal cell	1	0.000109409190371991
Pancreas	cell_type	Parietal cell	22	0.00237299104735196
Stomach	cell_type	Parietal cell	1312	0.145390070921986
Bladder	cell_type	Proximal tubule	1	0.000113019891500904
GallBladder	cell_type	Proximal tubule	16	0.0129554655870445
Kidney	cell_type	Proximal tubule	2522	0.314228756541241
Limb	cell_type	Proximal tubule	1	9.22934933087217e-05
Pancreas	cell_type	Proximal tubule	2	0.000215726458850178
Prostate	cell_type	Proximal tubule	26	0.00221201293176791
Bladder	cell_type	Pulmonary epithelium	151	0.0170660036166365
Cloaca	cell_type	Pulmonary epithelium	5	0.000557289344627731
GallBladder	cell_type	Pulmonary epithelium	1	0.000809716599190283
Gill	cell_type	Pulmonary epithelium	9	0.000841357389922408
Lung	cell_type	Pulmonary epithelium	2826	0.274715660542432
Pancreas	cell_type	Pulmonary epithelium	4	0.000431452917700356
Prostate	cell_type	Pulmonary epithelium	1	8.50774204526119e-05
Stomach	cell_type	Pulmonary epithelium	58	0.00642730496453901
Bladder	cell_type	Respiratory epithelial cell	27	0.00305153707052441
Gill	cell_type	Respiratory epithelial cell	7131	0.666635505281855
Kidney	cell_type	Respiratory epithelial cell	1	0.000124595066035385
Limb	cell_type	Respiratory epithelial cell	3503	0.323304107060452
Lung	cell_type	Respiratory epithelial cell	3	0.000291630212890055
Stomach	cell_type	Respiratory epithelial cell	1	0.000110815602836879
Bladder	cell_type	Smooth muscle cell	58	0.00655515370705244
Brain	cell_type	Smooth muscle cell	2	0.000204164965291956
Cloaca	cell_type	Smooth muscle cell	869	0.0968568880962996
GallBladder	cell_type	Smooth muscle cell	1	0.000809716599190283
Gill	cell_type	Smooth muscle cell	24	0.00224361970645975
Intestine	cell_type	Smooth muscle cell	639	0.0699124726477024
Kidney	cell_type	Smooth muscle cell	4	0.00049838026414154
Limb	cell_type	Smooth muscle cell	14	0.0012921089063221
Liver	cell_type	Smooth muscle cell	12	0.00189155107187894
Lung	cell_type	Smooth muscle cell	98	0.00952658695440848
Pancreas	cell_type	Smooth muscle cell	204	0.0220040988027182
Stomach	cell_type	Smooth muscle cell	825	0.0914228723404255
Bladder	cell_type	Urothelial cell	4328	0.489150090415913
Cloaca	cell_type	Urothelial cell	9	0.00100312082032992
GallBladder	cell_type	Urothelial cell	9	0.00728744939271255
Gill	cell_type	Urothelial cell	19	0.00177619893428064
Intestine	cell_type	Urothelial cell	1	0.000109409190371991
Kidney	cell_type	Urothelial cell	74	0.00922003488661849
Limb	cell_type	Urothelial cell	46	0.0042455006922012
Lung	cell_type	Urothelial cell	151	0.0146787207154661
Pancreas	cell_type	Urothelial cell	2	0.000215726458850178
Prostate	cell_type	Urothelial cell	18	0.00153139356814701
Stomach	cell_type	Urothelial cell	2	0.000221631205673759
Kidney	cell_type	Vas deferens epithelial cell	461	0.0574383254423125
Prostate	cell_type	Vas deferens epithelial cell	9780	0.832057172026544
GallBladder	subanno	Acinar cell	3	0.00242914979757085
Pancreas	subanno	Acinar cell	3717	0.400927623773056
Bladder	subanno	Adipocyte	29	0.00327757685352622
Brain	subanno	Adipocyte	59	0.0060228664761127
Cloaca	subanno	Adipocyte	6	0.000668747213553277
GallBladder	subanno	Adipocyte	1	0.000809716599190283
Gill	subanno	Adipocyte	33	0.00308497709638216
Heart	subanno	Adipocyte	1	9.78377849525487e-05
Intestine	subanno	Adipocyte	4	0.000437636761487965
Kidney	subanno	Adipocyte	28	0.00348866184899078
Limb	subanno	Adipocyte	2505	0.231195200738348
Lung	subanno	Adipocyte	15	0.00145815106445028
Pancreas	subanno	Adipocyte	9	0.000970769064825801
Prostate	subanno	Adipocyte	13	0.00110600646588395
Stomach	subanno	Adipocyte	6	0.000664893617021277
Brain	subanno	Astrocyte	1090	0.111269906084116
Bladder	subanno	B cell	28	0.00316455696202532
Brain	subanno	B cell	1	0.000102082482645978
Cloaca	subanno	B cell	12	0.00133749442710655
Gill	subanno	B cell	14	0.00130877816210152
Heart	subanno	B cell	92	0.00900107621563448
Intestine	subanno	B cell	13	0.00142231947483589
Kidney	subanno	B cell	122	0.015200598056317
Limb	subanno	B cell	2	0.000184586986617443
Liver	subanno	B cell	101	0.0159205548549811
Lung	subanno	B cell	77	0.00748517546417809
Pancreas	subanno	B cell	29	0.00312803365332758
Prostate	subanno	B cell	25	0.0021269355113153
Spleen	subanno	B cell	3205	0.397544033738526
Stomach	subanno	B cell	20	0.00221631205673759
Bladder	subanno	Basal cell	845	0.095501808318264
GallBladder	subanno	Basal cell	3	0.00242914979757085
Gill	subanno	Basal cell	4	0.000373936617743293
Limb	subanno	Basal cell	18	0.00166128287955699
Lung	subanno	Basal cell	2	0.000194420141926704
Pancreas	subanno	Basal cell	1	0.000107863229425089
Bladder	subanno	Capillary endothelial cell	22	0.00248643761301989
Brain	subanno	Capillary endothelial cell	13	0.00132707227439771
Cloaca	subanno	Capillary endothelial cell	565	0.0629736959429336
GallBladder	subanno	Capillary endothelial cell	2	0.00161943319838057
Gill	subanno	Capillary endothelial cell	12	0.00112180985322988
Heart	subanno	Capillary endothelial cell	7	0.000684864494667841
Intestine	subanno	Capillary endothelial cell	556	0.0608315098468271
Kidney	subanno	Capillary endothelial cell	57	0.00710191876401694
Limb	subanno	Capillary endothelial cell	8	0.000738347946469774
Liver	subanno	Capillary endothelial cell	35	0.00551702395964691
Lung	subanno	Capillary endothelial cell	32	0.00311072227082726
Pancreas	subanno	Capillary endothelial cell	365	0.0393700787401575
Prostate	subanno	Capillary endothelial cell	1	8.50774204526119e-05
Spleen	subanno	Capillary endothelial cell	1	0.000124038700074423
Stomach	subanno	Capillary endothelial cell	245	0.0271498226950355
Heart	subanno	Cardiac muscle	2890	0.282751198512866
Kidney	subanno	Cardiac muscle	1	0.000124595066035385
Limb	subanno	Cardiac muscle	5	0.000461467466543609
Lung	subanno	Cardiac muscle	1	9.72100709633518e-05
Bladder	subanno	Cholangiocyte	2	0.000226039783001808
GallBladder	subanno	Cholangiocyte	1135	0.919028340080972
Intestine	subanno	Cholangiocyte	31	0.00339168490153173
Kidney	subanno	Cholangiocyte	19	0.00236730625467231
Pancreas	subanno	Cholangiocyte	72	0.00776615251860641
Stomach	subanno	Cholangiocyte	2	0.000221631205673759
Bladder	subanno	Chondrocyte	11	0.00124321880650995
Brain	subanno	Chondrocyte	27	0.0027562270314414
Cloaca	subanno	Chondrocyte	1	0.000111457868925546
Gill	subanno	Chondrocyte	7	0.000654389081050762
Kidney	subanno	Chondrocyte	22	0.00274109145277847
Limb	subanno	Chondrocyte	761	0.0702353484079372
Lung	subanno	Chondrocyte	3	0.000291630212890055
Pancreas	subanno	Chondrocyte	1	0.000107863229425089
Stomach	subanno	Chondrocyte	2	0.000221631205673759
Cloaca	subanno	Cloaca epithelial cell	3917	0.436580472581364
GallBladder	subanno	Cloaca epithelial cell	3	0.00242914979757085
Intestine	subanno	Cloaca epithelial cell	25	0.00273522975929978
Bladder	subanno	Endocardial endothelial cell	8	0.000904159132007233
Brain	subanno	Endocardial endothelial cell	10	0.00102082482645978
Gill	subanno	Endocardial endothelial cell	18	0.00168271477984482
Heart	subanno	Endocardial endothelial cell	3930	0.384502494863516
Kidney	subanno	Endocardial endothelial cell	19	0.00236730625467231
Limb	subanno	Endocardial endothelial cell	4	0.000369173973234887
Liver	subanno	Endocardial endothelial cell	8	0.00126103404791929
Lung	subanno	Endocardial endothelial cell	40	0.00388840283853407
Pancreas	subanno	Endocardial endothelial cell	12	0.00129435875310107
Prostate	subanno	Endocardial endothelial cell	7	0.000595541943168283
Brain	subanno	Endocrine cell	15	0.00153123723968967
Cloaca	subanno	Endocrine cell	55	0.00613018279090504
GallBladder	subanno	Endocrine cell	3	0.00242914979757085
Intestine	subanno	Endocrine cell	180	0.0196936542669584
Kidney	subanno	Endocrine cell	9	0.00112135559431846
Liver	subanno	Endocrine cell	1	0.000157629255989912
Lung	subanno	Endocrine cell	6	0.000583260425780111
Pancreas	subanno	Endocrine cell	1337	0.144213137741344
Prostate	subanno	Endocrine cell	1	8.50774204526119e-05
Stomach	subanno	Endocrine cell	208	0.0230496453900709
Bladder	subanno	Endothelial_MAS1	319	0.0360533453887884
Brain	subanno	Endothelial_MAS1	15	0.00153123723968967
Cloaca	subanno	Endothelial_MAS1	38	0.00423539901917075
Gill	subanno	Endothelial_MAS1	22	0.00205665139758811
Heart	subanno	Endothelial_MAS1	20	0.00195675569905097
Intestine	subanno	Endothelial_MAS1	15	0.00164113785557987
Kidney	subanno	Endothelial_MAS1	102	0.0127086967356093
Limb	subanno	Endothelial_MAS1	518	0.0478080295339179
Lung	subanno	Endothelial_MAS1	237	0.0230387868183144
Pancreas	subanno	Endothelial_MAS1	95	0.0102470067953835
Prostate	subanno	Endothelial_MAS1	340	0.028926322953888
Spleen	subanno	Endothelial_MAS1	3	0.00037211610022327
Stomach	subanno	Endothelial_MAS1	18	0.00199468085106383
Bladder	subanno	Endothelial_RGS5	267	0.0301763110307414
Brain	subanno	Endothelial_RGS5	230	0.0234789710085749
Cloaca	subanno	Endothelial_RGS5	49	0.00546143557735176
Gill	subanno	Endothelial_RGS5	420	0.0392633448630457
Heart	subanno	Endothelial_RGS5	133	0.013012425398689
Intestine	subanno	Endothelial_RGS5	27	0.00295404814004376
Kidney	subanno	Endothelial_RGS5	690	0.0859705955644156
Limb	subanno	Endothelial_RGS5	323	0.0298107983387171
Liver	subanno	Endothelial_RGS5	8	0.00126103404791929
Lung	subanno	Endothelial_RGS5	1257	0.122193059200933
Pancreas	subanno	Endothelial_RGS5	196	0.0211411929673174
Prostate	subanno	Endothelial_RGS5	99	0.00842266462480858
Spleen	subanno	Endothelial_RGS5	51	0.00632597370379558
Stomach	subanno	Endothelial_RGS5	31	0.00343528368794326
Cloaca	subanno	Enterocyte	1	0.000111457868925546
GallBladder	subanno	Enterocyte	6	0.0048582995951417
Intestine	subanno	Enterocyte	3433	0.375601750547046
Pancreas	subanno	Enterocyte	2	0.000215726458850178
Stomach	subanno	Enterocyte	2	0.000221631205673759
Bladder	subanno	Epicardial cell	1	0.000113019891500904
Brain	subanno	Epicardial cell	4	0.000408329930583912
Cloaca	subanno	Epicardial cell	3	0.000334373606776638
Heart	subanno	Epicardial cell	1624	0.158888562762939
Intestine	subanno	Epicardial cell	1	0.000109409190371991
Kidney	subanno	Epicardial cell	6	0.00074757039621231
Limb	subanno	Epicardial cell	14	0.0012921089063221
Lung	subanno	Epicardial cell	31	0.00301351219986391
Pancreas	subanno	Epicardial cell	3	0.000323589688275267
Bladder	subanno	Erythroid cell	43	0.00485985533453888
Brain	subanno	Erythroid cell	10	0.00102082482645978
Cloaca	subanno	Erythroid cell	29	0.00323227819884084
Gill	subanno	Erythroid cell	583	0.0545012620360849
Heart	subanno	Erythroid cell	370	0.036199980432443
Intestine	subanno	Erythroid cell	78	0.00853391684901532
Kidney	subanno	Erythroid cell	5	0.000622975330176925
Limb	subanno	Erythroid cell	367	0.0338717120443009
Liver	subanno	Erythroid cell	19	0.00299495586380832
Lung	subanno	Erythroid cell	2506	0.24360843783416
Pancreas	subanno	Erythroid cell	197	0.0212490561967425
Prostate	subanno	Erythroid cell	17	0.0014463161476944
Spleen	subanno	Erythroid cell	2050	0.254279335152568
Stomach	subanno	Erythroid cell	131	0.0145168439716312
Bladder	subanno	Fibroblast	42	0.00474683544303797
Brain	subanno	Fibroblast	2	0.000204164965291956
Cloaca	subanno	Fibroblast	1711	0.190704413731609
GallBladder	subanno	Fibroblast	9	0.00728744939271255
Gill	subanno	Fibroblast	6	0.000560904926614939
Heart	subanno	Fibroblast	3	0.000293513354857646
Intestine	subanno	Fibroblast	2160	0.236323851203501
Kidney	subanno	Fibroblast	30	0.00373785198106155
Limb	subanno	Fibroblast	22	0.00203045685279188
Liver	subanno	Fibroblast	90	0.0141866330390921
Lung	subanno	Fibroblast	67	0.00651307475454457
Pancreas	subanno	Fibroblast	467	0.0503721281415166
Spleen	subanno	Fibroblast	3	0.00037211610022327
Stomach	subanno	Fibroblast	834	0.0924202127659575
Bladder	subanno	Fibroblast_GPRC6A	923	0.104317359855335
Brain	subanno	Fibroblast_GPRC6A	265	0.0270518579011842
Cloaca	subanno	Fibroblast_GPRC6A	17	0.00189478377173428
GallBladder	subanno	Fibroblast_GPRC6A	2	0.00161943319838057
Gill	subanno	Fibroblast_GPRC6A	16	0.00149574647097317
Heart	subanno	Fibroblast_GPRC6A	7	0.000684864494667841
Intestine	subanno	Fibroblast_GPRC6A	20	0.00218818380743982
Kidney	subanno	Fibroblast_GPRC6A	928	0.115624221280837
Limb	subanno	Fibroblast_GPRC6A	257	0.0237194277803415
Liver	subanno	Fibroblast_GPRC6A	4	0.000630517023959647
Lung	subanno	Fibroblast_GPRC6A	95	0.00923495674151842
Pancreas	subanno	Fibroblast_GPRC6A	65	0.00701110991263078
Prostate	subanno	Fibroblast_GPRC6A	361	0.0307129487833929
Spleen	subanno	Fibroblast_GPRC6A	46	0.00570578020342347
Stomach	subanno	Fibroblast_GPRC6A	15	0.00166223404255319
Cloaca	subanno	Foveolar cell	1	0.000111457868925546
GallBladder	subanno	Foveolar cell	3	0.00242914979757085
Gill	subanno	Foveolar cell	2	0.000186968308871646
Intestine	subanno	Foveolar cell	57	0.0062363238512035
Pancreas	subanno	Foveolar cell	1	0.000107863229425089
Stomach	subanno	Foveolar cell	3753	0.415890957446808
Cloaca	subanno	Goblet cell	7	0.000780205082478823
Intestine	subanno	Goblet cell	510	0.0557986870897155
Bladder	subanno	H+ secreting cell	102	0.0115280289330922
GallBladder	subanno	H+ secreting cell	7	0.00566801619433198
Gill	subanno	H+ secreting cell	2	0.000186968308871646
Kidney	subanno	H+ secreting cell	1898	0.236481435335161
Limb	subanno	H+ secreting cell	15	0.00138440239963083
Lung	subanno	H+ secreting cell	4	0.000388840283853407
Pancreas	subanno	H+ secreting cell	11	0.00118649552367598
Prostate	subanno	H+ secreting cell	394	0.0335205036583291
Bladder	subanno	Hepatic stellate cell	1	0.000113019891500904
Cloaca	subanno	Hepatic stellate cell	20	0.00222915737851092
GallBladder	subanno	Hepatic stellate cell	1	0.000809716599190283
Intestine	subanno	Hepatic stellate cell	28	0.00306345733041575
Kidney	subanno	Hepatic stellate cell	17	0.00211811612260154
Limb	subanno	Hepatic stellate cell	1	9.22934933087217e-05
Liver	subanno	Hepatic stellate cell	1665	0.262452711223203
Lung	subanno	Hepatic stellate cell	1	9.72100709633518e-05
Pancreas	subanno	Hepatic stellate cell	43	0.00463811886527883
Stomach	subanno	Hepatic stellate cell	7	0.000775709219858156
GallBladder	subanno	Hepatocyte	18	0.0145748987854251
Intestine	subanno	Hepatocyte	7	0.000765864332603939
Kidney	subanno	Hepatocyte	5	0.000622975330176925
Liver	subanno	Hepatocyte	1872	0.295081967213115
Pancreas	subanno	Hepatocyte	2	0.000215726458850178
Brain	subanno	Inhibitory neuron	1163	0.118721927317272
Bladder	subanno	Liver sinusoidal endothelial cell	1	0.000113019891500904
Intestine	subanno	Liver sinusoidal endothelial cell	1	0.000109409190371991
Kidney	subanno	Liver sinusoidal endothelial cell	4	0.00049838026414154
Liver	subanno	Liver sinusoidal endothelial cell	1052	0.165825977301387
Pancreas	subanno	Liver sinusoidal endothelial cell	2	0.000215726458850178
Bladder	subanno	Lung fibroblast	94	0.010623869801085
Brain	subanno	Lung fibroblast	6	0.000612494895875868
Cloaca	subanno	Lung fibroblast	29	0.00323227819884084
Gill	subanno	Lung fibroblast	112	0.0104702252968122
Heart	subanno	Lung fibroblast	10	0.000978377849525487
Intestine	subanno	Lung fibroblast	27	0.00295404814004376
Kidney	subanno	Lung fibroblast	31	0.00386244704709694
Limb	subanno	Lung fibroblast	18	0.00166128287955699
Liver	subanno	Lung fibroblast	4	0.000630517023959647
Lung	subanno	Lung fibroblast	1104	0.10731991834354
Pancreas	subanno	Lung fibroblast	66	0.00711897314205587
Prostate	subanno	Lung fibroblast	2	0.000170154840905224
Spleen	subanno	Lung fibroblast	4	0.000496154800297693
Stomach	subanno	Lung fibroblast	32	0.00354609929078014
Bladder	subanno	Lymphatic endothelial cell	19	0.00214737793851718
Brain	subanno	Lymphatic endothelial cell	3	0.000306247447937934
Cloaca	subanno	Lymphatic endothelial cell	553	0.061636201515827
Gill	subanno	Lymphatic endothelial cell	6	0.000560904926614939
Heart	subanno	Lymphatic endothelial cell	12	0.00117405341943058
Intestine	subanno	Lymphatic endothelial cell	385	0.0421225382932166
Kidney	subanno	Lymphatic endothelial cell	29	0.00361325691502617
Limb	subanno	Lymphatic endothelial cell	14	0.0012921089063221
Liver	subanno	Lymphatic endothelial cell	8	0.00126103404791929
Lung	subanno	Lymphatic endothelial cell	35	0.00340235248371731
Pancreas	subanno	Lymphatic endothelial cell	269	0.0290152087153489
Prostate	subanno	Lymphatic endothelial cell	19	0.00161647098859963
Stomach	subanno	Lymphatic endothelial cell	53	0.00587322695035461
Bladder	subanno	Macrophage	387	0.0437386980108499
Brain	subanno	Macrophage	82	0.00837076357697019
Cloaca	subanno	Macrophage	329	0.0366696388765047
Gill	subanno	Macrophage	568	0.0530989997195475
Heart	subanno	Macrophage	472	0.046179434497603
Intestine	subanno	Macrophage	406	0.0444201312910284
Kidney	subanno	Macrophage	82	0.0102167954149016
Limb	subanno	Macrophage	1281	0.118227964928473
