section	panel	method	item	value
panel_coverage	validation	all	Adipocyte	selected=10000;nonzero_table_matches=9963
panel_coverage	validation	all	Astrocyte	selected=10000;nonzero_table_matches=9941
panel_coverage	validation	all	B cell	selected=10000;nonzero_table_matches=9971
panel_coverage	validation	all	Basal cell	selected=10000;nonzero_table_matches=9906
panel_coverage	validation	all	Capillary endothelial cell	selected=10000;nonzero_table_matches=9937
panel_coverage	validation	all	Cardiac muscle	selected=10000;nonzero_table_matches=9946
panel_coverage	validation	all	Cholangiocyte	selected=10000;nonzero_table_matches=9927
panel_coverage	validation	all	Chondrocyte	selected=10000;nonzero_table_matches=9937
panel_coverage	validation	all	Cloaca epithelial cell	selected=6680;nonzero_table_matches=6638
panel_coverage	validation	all	Endocardial endothelial cell	selected=10000;nonzero_table_matches=9961
panel_coverage	validation	all	Endocrine cell	selected=10000;nonzero_table_matches=9954
panel_coverage	validation	all	Endothelial_MAS1	selected=10000;nonzero_table_matches=9954
panel_coverage	validation	all	Endothelial_RGS5	selected=10000;nonzero_table_matches=9962
panel_coverage	validation	all	Enterocyte	selected=10000;nonzero_table_matches=9934
panel_coverage	validation	all	Epicardial cell	selected=10000;nonzero_table_matches=9946
panel_coverage	validation	all	Erythroid cell	selected=10000;nonzero_table_matches=9957
panel_coverage	validation	all	Fibroblast	selected=10000;nonzero_table_matches=9939
panel_coverage	validation	all	Fibroblast_GPRC6A	selected=10000;nonzero_table_matches=9955
panel_coverage	validation	all	Foveolar cell	selected=10000;nonzero_table_matches=9951
panel_coverage	validation	all	Goblet cell	selected=10000;nonzero_table_matches=9877
panel_coverage	validation	all	H+ secreting cell	selected=10000;nonzero_table_matches=9966
panel_coverage	validation	all	Hepatic stellate cell	selected=7776;nonzero_table_matches=7732
panel_coverage	validation	all	Hepatocyte	selected=6377;nonzero_table_matches=6314
panel_coverage	validation	all	Inhibitory neuron	selected=10000;nonzero_table_matches=9944
panel_coverage	validation	all	Liver sinusoidal endothelial cell	selected=10000;nonzero_table_matches=9861
panel_coverage	validation	all	Lung fibroblast	selected=10000;nonzero_table_matches=9976
panel_coverage	validation	all	Lymphatic endothelial cell	selected=10000;nonzero_table_matches=9945
panel_coverage	validation	all	Macrophage	selected=10000;nonzero_table_matches=9951
panel_coverage	validation	all	Megakaryocyte	selected=10000;nonzero_table_matches=9970
panel_coverage	validation	all	Meningeal cell	selected=10000;nonzero_table_matches=9964
panel_coverage	validation	all	Mesothelial cell	selected=10000;nonzero_table_matches=9958
panel_coverage	validation	all	Myoblast	selected=10000;nonzero_table_matches=9973
panel_coverage	validation	all	Myofibroblast	selected=10000;nonzero_table_matches=9943
panel_coverage	validation	all	Neuroendocrine	selected=10000;nonzero_table_matches=9929
panel_coverage	validation	all	Neuron_NR4A1	selected=10000;nonzero_table_matches=9944
panel_coverage	validation	all	Neuron_UNC5A	selected=10000;nonzero_table_matches=9958
panel_coverage	validation	all	Oligodendrocyte	selected=10000;nonzero_table_matches=9957
panel_coverage	validation	all	Oligodendrocyte progenitor	selected=10000;nonzero_table_matches=9932
panel_coverage	validation	all	Osteoblast	selected=10000;nonzero_table_matches=9964
panel_coverage	validation	all	Pancreatic ductal cell	selected=10000;nonzero_table_matches=9950
panel_coverage	validation	all	Parietal cell	selected=10000;nonzero_table_matches=9900
panel_coverage	validation	all	Podocyte	selected=10000;nonzero_table_matches=9966
panel_coverage	validation	all	Proximal tubule	selected=10000;nonzero_table_matches=9959
panel_coverage	validation	all	Pulmonary epithelium	selected=10000;nonzero_table_matches=9953
panel_coverage	validation	all	Respiratory epithelial cell	selected=10000;nonzero_table_matches=9969
panel_coverage	validation	all	Smooth muscle cell	selected=10000;nonzero_table_matches=9959
panel_coverage	validation	all	T cell	selected=10000;nonzero_table_matches=9961
panel_coverage	validation	all	Urothelial cell	selected=10000;nonzero_table_matches=9947
panel_coverage	validation	all	vas deferens epithelial cell	selected=10000;nonzero_table_matches=9980
assignment	discovery	raw	identity_score	7.93749308
assignment	discovery	raw	swap_rank_1	Cloaca,Stomach;delta=0.81981878
assignment	discovery	raw	swap_rank_2	Gill,Limb;delta=-0.20448428
assignment	discovery	raw	swap_rank_3	Kidney,Prostate;delta=-0.22770128
assignment	discovery	raw	swap_rank_4	Intestine,Stomach;delta=-0.32707072
assignment	discovery	raw	swap_rank_5	Limb,Prostate;delta=-0.35586959
column_match	discovery	raw	Bladder	Bladder:0.764549;Heart:0.080251;GallBladder:0.072063;Kidney:0.044783
column_match	discovery	raw	Brain	Brain:0.804372;GallBladder:0.116757;Heart:0.029268;Pancreas:0.013624
column_match	discovery	raw	Cloaca	Stomach:0.580212;Cloaca:0.137025;Intestine:0.125576;Pancreas:0.088784
column_match	discovery	raw	GallBladder	GallBladder:0.675003;Pancreas:0.141674;Prostate:0.101728;Liver:0.082931
column_match	discovery	raw	Gill	Gill:0.521627;Limb:0.313178;Lung:0.167310;Bladder:0.163192
column_match	discovery	raw	Heart	Heart:0.778422;Brain:0.113958;Lung:0.063703;Bladder:0.024005
column_match	discovery	raw	Intestine	Intestine:0.663199;GallBladder:0.236839;Cloaca:0.159936;Liver:0.134772
column_match	discovery	raw	Kidney	Kidney:0.408166;GallBladder:0.403926;Bladder:0.204698;Prostate:0.130760
column_match	discovery	raw	Limb	Bladder:0.374370;Gill:0.334957;Limb:0.330993;GallBladder:0.170424
column_match	discovery	raw	Liver	Liver:0.618730;GallBladder:0.144306;Spleen:0.124494;Prostate:0.102882
column_match	discovery	raw	Lung	Lung:0.627584;Bladder:0.314533;Heart:0.156254;Spleen:0.115474
column_match	discovery	raw	Pancreas	Pancreas:0.585681;GallBladder:0.492954;Liver:0.074073;Stomach:0.053816
column_match	discovery	raw	Prostate	Kidney:0.262259;Prostate:0.212554;Limb:0.179604;Brain:0.167166
column_match	discovery	raw	Spleen	Spleen:0.707521;Limb:0.206979;Lung:0.202580;Kidney:0.123263
column_match	discovery	raw	Stomach	Cloaca:0.478700;Intestine:0.306378;Limb:0.110912;Stomach:0.102068
similarity_row	discovery	raw	Bladder	Bladder:0.764549;Brain:-0.023190;Cloaca:-0.116563;GallBladder:-0.068912;Gill:0.163192;Heart:0.024005;Intestine:-0.313137;Kidney:0.204698;Limb:0.374370;Liver:-0.333582;Lung:0.314533;Pancreas:-0.124979;Prostate:0.125845;Spleen:0.001706;Stomach:-0.204840
similarity_row	discovery	raw	Brain	Bladder:-0.065838;Brain:0.804372;Cloaca:-0.014187;GallBladder:-0.140942;Gill:-0.001177;Heart:0.113958;Intestine:-0.224425;Kidney:-0.029496;Limb:-0.067291;Liver:-0.251326;Lung:-0.086014;Pancreas:-0.166482;Prostate:0.167166;Spleen:0.047814;Stomach:-0.123383
similarity_row	discovery	raw	Cloaca	Bladder:-0.135145;Brain:-0.142867;Cloaca:0.137025;GallBladder:-0.044040;Gill:-0.021864;Heart:-0.047951;Intestine:0.159936;Kidney:-0.207493;Limb:-0.220643;Liver:0.021087;Lung:-0.040396;Pancreas:-0.053688;Prostate:-0.044007;Spleen:-0.101586;Stomach:0.478700
similarity_row	discovery	raw	GallBladder	Bladder:0.072063;Brain:0.116757;Cloaca:-0.252078;GallBladder:0.675003;Gill:-0.367235;Heart:-0.309309;Intestine:0.236839;Kidney:0.403926;Limb:0.170424;Liver:0.144306;Lung:-0.348019;Pancreas:0.492954;Prostate:-0.396566;Spleen:-0.530734;Stomach:-0.251551
similarity_row	discovery	raw	Gill	Bladder:-0.028201;Brain:-0.109855;Cloaca:-0.126039;GallBladder:-0.015353;Gill:0.521627;Heart:-0.053887;Intestine:-0.087809;Kidney:-0.093527;Limb:0.334957;Liver:0.024917;Lung:0.016851;Pancreas:-0.071512;Prostate:-0.052116;Spleen:0.048584;Stomach:-0.016623
similarity_row	discovery	raw	Heart	Bladder:0.080251;Brain:0.029268;Cloaca:-0.187640;GallBladder:0.007571;Gill:-0.072680;Heart:0.778422;Intestine:-0.185440;Kidney:0.031106;Limb:0.061875;Liver:-0.107637;Lung:0.156254;Pancreas:-0.036106;Prostate:-0.135187;Spleen:-0.022150;Stomach:-0.266273
similarity_row	discovery	raw	Intestine	Bladder:-0.171133;Brain:-0.124327;Cloaca:0.125576;GallBladder:0.002565;Gill:-0.107756;Heart:-0.073949;Intestine:0.663199;Kidney:-0.182959;Limb:-0.250365;Liver:-0.001856;Lung:-0.141278;Pancreas:0.002297;Prostate:-0.084086;Spleen:-0.181416;Stomach:0.306378
similarity_row	discovery	raw	Kidney	Bladder:0.044783;Brain:-0.121991;Cloaca:-0.041960;GallBladder:-0.183111;Gill:0.024068;Heart:-0.047070;Intestine:-0.067156;Kidney:0.408166;Limb:-0.042576;Liver:-0.060211;Lung:-0.016122;Pancreas:-0.176537;Prostate:0.262259;Spleen:0.123263;Stomach:-0.006471
similarity_row	discovery	raw	Limb	Bladder:-0.046418;Brain:-0.093516;Cloaca:-0.025332;GallBladder:-0.191395;Gill:0.313178;Heart:-0.007511;Intestine:-0.158074;Kidney:-0.152651;Limb:0.330993;Liver:-0.087292;Lung:0.052288;Pancreas:-0.200153;Prostate:0.179604;Spleen:0.206979;Stomach:0.110912
similarity_row	discovery	raw	Liver	Bladder:-0.241645;Brain:-0.122921;Cloaca:-0.034353;GallBladder:0.082931;Gill:-0.220131;Heart:-0.220016;Intestine:0.134772;Kidney:-0.055367;Limb:-0.143680;Liver:0.618730;Lung:-0.200335;Pancreas:0.074073;Prostate:-0.137240;Spleen:-0.064348;Stomach:0.098409
similarity_row	discovery	raw	Lung	Bladder:-0.012276;Brain:-0.203784;Cloaca:0.081814;GallBladder:-0.172726;Gill:0.167310;Heart:0.063703;Intestine:-0.087429;Kidney:-0.179948;Limb:-0.080519;Liver:-0.074086;Lung:0.627584;Pancreas:-0.175627;Prostate:0.062009;Spleen:0.202580;Stomach:0.074754
similarity_row	discovery	raw	Pancreas	Bladder:-0.027186;Brain:0.013624;Cloaca:0.088784;GallBladder:0.141674;Gill:-0.130342;Heart:-0.136232;Intestine:-0.023230;Kidney:0.025967;Limb:-0.136534;Liver:-0.073308;Lung:-0.152281;Pancreas:0.585681;Prostate:-0.096364;Spleen:-0.212996;Stomach:-0.076347
similarity_row	discovery	raw	Prostate	Bladder:0.031825;Brain:-0.009118;Cloaca:-0.176060;GallBladder:0.101728;Gill:-0.121502;Heart:-0.091336;Intestine:-0.046860;Kidney:0.130760;Limb:0.008074;Liver:0.102882;Lung:-0.169077;Pancreas:0.031909;Prostate:0.212554;Spleen:-0.086119;Stomach:-0.129967
similarity_row	discovery	raw	Spleen	Bladder:-0.152112;Brain:-0.173881;Cloaca:-0.052075;GallBladder:-0.144103;Gill:0.002784;Heart:0.019467;Intestine:-0.035184;Kidney:-0.150714;Limb:-0.035280;Liver:0.124494;Lung:0.115474;Pancreas:-0.151613;Prostate:-0.016667;Spleen:0.707521;Stomach:-0.051810
similarity_row	discovery	raw	Stomach	Bladder:-0.093361;Brain:-0.089607;Cloaca:0.580212;GallBladder:0.063509;Gill:-0.091706;Heart:-0.133270;Intestine:0.131818;Kidney:-0.136526;Limb:-0.215569;Liver:-0.003753;Lung:-0.148691;Pancreas:0.053816;Prostate:-0.099947;Spleen:-0.226059;Stomach:0.102068
assignment	discovery	sqrt	identity_score	8.13874439
assignment	discovery	sqrt	swap_rank_1	Cloaca,Stomach;delta=0.82308723
assignment	discovery	sqrt	swap_rank_2	Kidney,Prostate;delta=0.03853691
assignment	discovery	sqrt	swap_rank_3	Gill,Limb;delta=-0.12144221
assignment	discovery	sqrt	swap_rank_4	Limb,Prostate;delta=-0.32498446
assignment	discovery	sqrt	swap_rank_5	Intestine,Stomach;delta=-0.35815246
column_match	discovery	sqrt	Bladder	Bladder:0.760788;GallBladder:0.142654;Prostate:0.070150;Heart:0.060380
column_match	discovery	sqrt	Brain	Brain:0.824140;GallBladder:0.144774;Heart:0.029789;Prostate:0.009282
column_match	discovery	sqrt	Cloaca	Stomach:0.605050;Intestine:0.176628;Pancreas:0.154412;Cloaca:0.135259
column_match	discovery	sqrt	GallBladder	GallBladder:0.720142;Liver:0.135684;Prostate:0.116493;Pancreas:0.093357
column_match	discovery	sqrt	Gill	Gill:0.517308;Limb:0.428861;Bladder:0.230993;Lung:0.217046
column_match	discovery	sqrt	Heart	Heart:0.771724;Lung:0.136710;Brain:0.130576;Limb:0.030045
column_match	discovery	sqrt	Intestine	Intestine:0.723766;GallBladder:0.279026;Cloaca:0.188079;Liver:0.149050
column_match	discovery	sqrt	Kidney	GallBladder:0.473161;Kidney:0.364045;Prostate:0.211882;Bladder:0.177121
column_match	discovery	sqrt	Limb	Limb:0.377991;Bladder:0.372487;Gill:0.344996;GallBladder:0.158016
column_match	discovery	sqrt	Liver	Liver:0.667664;Spleen:0.188143;GallBladder:0.154684;Prostate:0.107697
column_match	discovery	sqrt	Lung	Lung:0.705892;Bladder:0.369541;Heart:0.161731;Limb:0.128987
column_match	discovery	sqrt	Pancreas	GallBladder:0.577118;Pancreas:0.557926;Liver:0.114004;Stomach:0.053702
column_match	discovery	sqrt	Prostate	Kidney:0.389159;Limb:0.221318;Prostate:0.198460;Bladder:0.191366
column_match	discovery	sqrt	Spleen	Spleen:0.674484;Lung:0.260777;Limb:0.236199;Kidney:0.156550
column_match	discovery	sqrt	Stomach	Cloaca:0.492452;Intestine:0.356309;Stomach:0.139156;Limb:0.110931
similarity_row	discovery	sqrt	Bladder	Bladder:0.760788;Brain:-0.062220;Cloaca:-0.094137;GallBladder:-0.133171;Gill:0.230993;Heart:0.029771;Intestine:-0.346247;Kidney:0.177121;Limb:0.372487;Liver:-0.374699;Lung:0.369541;Pancreas:-0.180316;Prostate:0.191366;Spleen:0.053380;Stomach:-0.171724
similarity_row	discovery	sqrt	Brain	Bladder:-0.051901;Brain:0.824140;Cloaca:-0.037658;GallBladder:-0.127884;Gill:-0.014893;Heart:0.130576;Intestine:-0.236419;Kidney:-0.009160;Limb:-0.029407;Liver:-0.252877;Lung:-0.084294;Pancreas:-0.160206;Prostate:0.155558;Spleen:0.027626;Stomach:-0.141309
similarity_row	discovery	sqrt	Cloaca	Bladder:-0.140903;Brain:-0.131886;Cloaca:0.135259;GallBladder:-0.029978;Gill:-0.040120;Heart:-0.059544;Intestine:0.188079;Kidney:-0.213082;Limb:-0.226632;Liver:0.037695;Lung:-0.058966;Pancreas:-0.041472;Prostate:-0.068617;Spleen:-0.120352;Stomach:0.492452
similarity_row	discovery	sqrt	GallBladder	Bladder:0.142654;Brain:0.144774;Cloaca:-0.231295;GallBladder:0.720142;Gill:-0.397639;Heart:-0.376021;Intestine:0.279026;Kidney:0.473161;Limb:0.158016;Liver:0.154684;Lung:-0.432086;Pancreas:0.577118;Prostate:-0.416600;Spleen:-0.681920;Stomach:-0.270324
similarity_row	discovery	sqrt	Gill	Bladder:-0.047488;Brain:-0.123565;Cloaca:-0.130047;GallBladder:-0.050094;Gill:0.517308;Heart:-0.024939;Intestine:-0.113975;Kidney:-0.120167;Limb:0.344996;Liver:0.019258;Lung:0.074462;Pancreas:-0.105626;Prostate:-0.041314;Spleen:0.149454;Stomach:-0.026066
similarity_row	discovery	sqrt	Heart	Bladder:0.060380;Brain:0.029789;Cloaca:-0.213505;GallBladder:0.018411;Gill:-0.088569;Heart:0.771724;Intestine:-0.182883;Kidney:0.027728;Limb:0.065622;Liver:-0.076595;Lung:0.161731;Pancreas:-0.033886;Prostate:-0.163448;Spleen:0.040269;Stomach:-0.286133
similarity_row	discovery	sqrt	Intestine	Bladder:-0.225614;Brain:-0.132407;Cloaca:0.176628;GallBladder:0.028693;Gill:-0.135339;Heart:-0.119320;Intestine:0.723766;Kidney:-0.207732;Limb:-0.314537;Liver:0.034038;Lung:-0.195781;Pancreas:0.024456;Prostate:-0.112083;Spleen:-0.222868;Stomach:0.356309
similarity_row	discovery	sqrt	Kidney	Bladder:0.024682;Brain:-0.172937;Cloaca:-0.000793;GallBladder:-0.259477;Gill:0.079054;Heart:-0.040548;Intestine:-0.101468;Kidney:0.364045;Limb:-0.089430;Liver:-0.106470;Lung:-0.011168;Pancreas:-0.237477;Prostate:0.389159;Spleen:0.156550;Stomach:0.050654
similarity_row	discovery	sqrt	Limb	Bladder:-0.000375;Brain:-0.118867;Cloaca:-0.020105;GallBladder:-0.248346;Gill:0.428861;Heart:0.030045;Intestine:-0.212155;Kidney:-0.179700;Limb:0.377991;Liver:-0.153266;Lung:0.128987;Pancreas:-0.256587;Prostate:0.221318;Spleen:0.236199;Stomach:0.110931
similarity_row	discovery	sqrt	Liver	Bladder:-0.250230;Brain:-0.093961;Cloaca:-0.077583;GallBladder:0.135684;Gill:-0.269146;Heart:-0.223342;Intestine:0.149050;Kidney:-0.027915;Limb:-0.132134;Liver:0.667664;Lung:-0.233186;Pancreas:0.114004;Prostate:-0.199763;Spleen:-0.067831;Stomach:0.059939
similarity_row	discovery	sqrt	Lung	Bladder:0.006189;Brain:-0.228585;Cloaca:0.101663;GallBladder:-0.237452;Gill:0.217046;Heart:0.136710;Intestine:-0.130717;Kidney:-0.227076;Limb:-0.080595;Liver:-0.128698;Lung:0.705892;Pancreas:-0.233668;Prostate:0.100180;Spleen:0.260777;Stomach:0.088244
similarity_row	discovery	sqrt	Pancreas	Bladder:-0.063462;Brain:-0.035897;Cloaca:0.154412;GallBladder:0.093357;Gill:-0.108247;Heart:-0.125492;Intestine:-0.014242;Kidney:-0.041040;Limb:-0.185289;Liver:-0.098638;Lung:-0.109621;Pancreas:0.557926;Prostate:-0.055309;Spleen:-0.200051;Stomach:-0.011059
similarity_row	discovery	sqrt	Prostate	Bladder:0.070150;Brain:0.009282;Cloaca:-0.215714;GallBladder:0.116493;Gill:-0.141672;Heart:-0.094635;Intestine:-0.053128;Kidney:0.211882;Limb:0.030149;Liver:0.107697;Lung:-0.186114;Pancreas:0.034884;Prostate:0.198460;Spleen:-0.088646;Stomach:-0.167777
similarity_row	discovery	sqrt	Spleen	Bladder:-0.136322;Brain:-0.122637;Cloaca:-0.127582;GallBladder:-0.062353;Gill:-0.060142;Heart:0.000401;Intestine:-0.021189;Kidney:-0.084289;Limb:0.016766;Liver:0.188143;Lung:0.072513;Pancreas:-0.094896;Prostate:-0.098645;Spleen:0.674484;Stomach:-0.122558
similarity_row	discovery	sqrt	Stomach	Bladder:-0.121997;Brain:-0.090842;Cloaca:0.605050;GallBladder:0.049963;Gill:-0.089266;Heart:-0.140808;Intestine:0.148460;Kidney:-0.171874;Limb:-0.251521;Liver:-0.012580;Lung:-0.137378;Pancreas:0.053702;Prostate:-0.094175;Spleen:-0.222854;Stomach:0.139156
assignment	discovery	log	identity_score	8.04206469
assignment	discovery	log	swap_rank_1	Cloaca,Stomach;delta=0.81381682
assignment	discovery	log	swap_rank_2	Kidney,Prostate;delta=0.06286124
assignment	discovery	log	swap_rank_3	Gill,Limb;delta=-0.08856759
assignment	discovery	log	swap_rank_4	Limb,Prostate;delta=-0.32751147
assignment	discovery	log	swap_rank_5	Intestine,Stomach;delta=-0.37192420
column_match	discovery	log	Bladder	Bladder:0.761153;GallBladder:0.126736;Prostate:0.083365;Heart:0.052571
column_match	discovery	log	Brain	Brain:0.822806;GallBladder:0.138858;Heart:0.016356;Prostate:0.010262
column_match	discovery	log	Cloaca	Stomach:0.597314;Intestine:0.176035;Pancreas:0.146956;Cloaca:0.111395
column_match	discovery	log	GallBladder	GallBladder:0.714759;Liver:0.122030;Prostate:0.109574;Pancreas:0.101165
column_match	discovery	log	Gill	Gill:0.490116;Limb:0.444553;Bladder:0.213273;Lung:0.193671
column_match	discovery	log	Heart	Heart:0.768727;Lung:0.125094;Brain:0.122801;Bladder:0.031431
column_match	discovery	log	Intestine	Intestine:0.721423;GallBladder:0.277171;Cloaca:0.177951;Stomach:0.142328
column_match	discovery	log	Kidney	GallBladder:0.458251;Kidney:0.354510;Prostate:0.205524;Bladder:0.181572
column_match	discovery	log	Limb	Bladder:0.371478;Limb:0.370559;Gill:0.327554;GallBladder:0.157228
column_match	discovery	log	Liver	Liver:0.653703;Spleen:0.180344;GallBladder:0.165262;Prostate:0.093201
column_match	discovery	log	Lung	Lung:0.692526;Bladder:0.356804;Heart:0.170035;Limb:0.112168
column_match	discovery	log	Pancreas	GallBladder:0.566101;Pancreas:0.560417;Liver:0.104743;Stomach:0.051772
column_match	discovery	log	Prostate	Kidney:0.416349;Limb:0.213265;Prostate:0.204501;Bladder:0.169333
column_match	discovery	log	Spleen	Spleen:0.677320;Lung:0.258857;Limb:0.233847;Gill:0.173009
column_match	discovery	log	Stomach	Cloaca:0.466046;Intestine:0.345319;Stomach:0.138148;Limb:0.121109
similarity_row	discovery	log	Bladder	Bladder:0.761153;Brain:-0.052132;Cloaca:-0.105021;GallBladder:-0.118960;Gill:0.213273;Heart:0.031431;Intestine:-0.336755;Kidney:0.181572;Limb:0.371478;Liver:-0.356935;Lung:0.356804;Pancreas:-0.169371;Prostate:0.169333;Spleen:0.054682;Stomach:-0.184678
similarity_row	discovery	log	Brain	Bladder:-0.037862;Brain:0.822806;Cloaca:-0.043017;GallBladder:-0.115882;Gill:-0.021185;Heart:0.122801;Intestine:-0.232155;Kidney:0.004004;Limb:-0.021061;Liver:-0.247272;Lung:-0.085808;Pancreas:-0.149253;Prostate:0.145028;Spleen:0.009435;Stomach:-0.147959
similarity_row	discovery	log	Cloaca	Bladder:-0.134177;Brain:-0.117490;Cloaca:0.111395;GallBladder:-0.006745;Gill:-0.053180;Heart:-0.060563;Intestine:0.177951;Kidney:-0.188248;Limb:-0.209146;Liver:0.056370;Lung:-0.069560;Pancreas:-0.024893;Prostate:-0.089391;Spleen:-0.130291;Stomach:0.466046
similarity_row	discovery	log	GallBladder	Bladder:0.126736;Brain:0.138858;Cloaca:-0.238255;GallBladder:0.714759;Gill:-0.395858;Heart:-0.357366;Intestine:0.277171;Kidney:0.458251;Limb:0.157228;Liver:0.165262;Lung:-0.417220;Pancreas:0.566101;Prostate:-0.418271;Spleen:-0.672472;Stomach:-0.265426
similarity_row	discovery	log	Gill	Bladder:-0.060888;Brain:-0.125990;Cloaca:-0.134207;GallBladder:-0.052154;Gill:0.490116;Heart:-0.015001;Intestine:-0.107791;Kidney:-0.122788;Limb:0.327554;Liver:0.032697;Lung:0.086551;Pancreas:-0.105972;Prostate:-0.048854;Spleen:0.173009;Stomach:-0.027136
similarity_row	discovery	log	Heart	Bladder:0.052571;Brain:0.016356;Cloaca:-0.197219;GallBladder:-0.002677;Gill:-0.073185;Heart:0.768727;Intestine:-0.186253;Kidney:0.013077;Limb:0.057139;Liver:-0.087139;Lung:0.170035;Pancreas:-0.048112;Prostate:-0.145202;Spleen:0.064709;Stomach:-0.273415
