rank	analysis	experiment	read_depth_sum	n_replicates	absolute_delta	target_to_metric_ratio
83	ENCAN579RJY	ENCSR582QEW	61118108	1	15157792	1.248008201
84	ENCAN915PKT	ENCSR872IXQ	61059048	1	15216852	1.249215350
85	ENCAN955TZR	ENCSR000EOS	91573550	2	15297650	0.832946850
86	ENCAN633XOO	ENCSR000EMT	60849518	2	15426382	1.253516914
87	ENCAN848SEQ	ENCSR111LTT	91741902	1	15466002	0.831418341
88	ENCAN967MFX	ENCSR724INK	60330326	1	15945574	1.264304456
89	ENCAN268EKB	ENCSR627QIA	60270922	1	16004978	1.265550575
90	ENCAN765FEM	ENCSR213WNV	59953002	1	16322898	1.272261562
91	ENCAN032OXE	ENCSR260UJJ	59628756	1	16647144	1.279179797
92	ENCAN325ZBV	ENCSR837VHE	92927401	4	16651501	0.820811722
93	ENCAN152MBR	ENCSR784RMA	59556716	1	16719184	1.280727097
94	ENCAN558YKR	ENCSR971MMF	59225190	1	17050710	1.287896248
95	ENCAN678SOC	ENCSR000EMD	93360371	2	17084471	0.817005108
96	ENCAN261DMQ	ENCSR342OGI	59089046	1	17186854	1.290863623
97	ENCAN068IGC	ENCSR607HIL	58328220	1	17947680	1.307701487
98	ENCAN706JOV	ENCSR933HFM	58232918	1	18042982	1.309841626
99	ENCAN367MSK	ENCSR645GJD	58146408	1	18129492	1.311790403
100	ENCAN164VFW	ENCSR000ENX	58072570	2	18203330	1.313458316
