analysis	analysis_title	pipeline_version	analysis_datasets	file	file_format	file_format_type	output_type	biological_replicates	technical_replicates	file_dataset	derived_from	href
ENCAN204MPS	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EPK	ENCFF562EJV	bigBed	bed3+	FDR cut rate	2	2_1	ENCSR000EPK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF562EJV/@@download/ENCFF562EJV.bigBed
ENCAN204MPS	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EPK	ENCFF037QHE	bed	narrowPeak	peaks	2	2_1	ENCSR000EPK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF037QHE/@@download/ENCFF037QHE.bed.gz
ENCAN204MPS	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EPK	ENCFF771GZH	bed	narrowPeak	peaks	2	2_1	ENCSR000EPK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF771GZH/@@download/ENCFF771GZH.bed.gz
ENCAN204MPS	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EPK	ENCFF195VNB	bigBed	narrowPeak	peaks	2	2_1	ENCSR000EPK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF195VNB/@@download/ENCFF195VNB.bigBed
ENCAN204MPS	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EPK	ENCFF788LFH	bigBed	narrowPeak	peaks	2	2_1	ENCSR000EPK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF788LFH/@@download/ENCFF788LFH.bigBed
ENCAN071CDF	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR420HOT	ENCFF782XEM	bed	bed3+	footprints	1	1_1	ENCSR420HOT	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF782XEM/@@download/ENCFF782XEM.bed.gz
ENCAN071CDF	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR420HOT	ENCFF841WHD	bed	narrowPeak	peaks	1	1_1	ENCSR420HOT	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF841WHD/@@download/ENCFF841WHD.bed.gz
ENCAN071CDF	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR420HOT	ENCFF178TVO	bigBed	narrowPeak	peaks	1	1_1	ENCSR420HOT	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF178TVO/@@download/ENCFF178TVO.bigBed
ENCAN071CDF	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR420HOT	ENCFF924XKW	starch		peaks	1	1_1	ENCSR420HOT	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF924XKW/@@download/ENCFF924XKW.starch
ENCAN071CDF	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR420HOT	ENCFF907ITJ	bigWig		read-depth normalized signal	1	1_1	ENCSR420HOT	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF907ITJ/@@download/ENCFF907ITJ.bigWig
ENCAN071CDF	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR420HOT	ENCFF010FNG	bigBed	narrowPeak	peaks	1	1_1	ENCSR420HOT	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF010FNG/@@download/ENCFF010FNG.bigBed
ENCAN071CDF	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR420HOT	ENCFF726XNW	bed	narrowPeak	peaks	1	1_1	ENCSR420HOT	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF726XNW/@@download/ENCFF726XNW.bed.gz
ENCAN071CDF	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR420HOT	ENCFF135MIJ	bigBed	bed3+	footprints	1	1_1	ENCSR420HOT	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF135MIJ/@@download/ENCFF135MIJ.bigBed
ENCAN071CDF	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR420HOT	ENCFF374DIM	bed	bed3+	FDR cut rate	1	1_1	ENCSR420HOT	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF374DIM/@@download/ENCFF374DIM.bed.gz
ENCAN071CDF	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR420HOT	ENCFF621VXP	bigBed	bed3+	FDR cut rate	1	1_1	ENCSR420HOT	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF621VXP/@@download/ENCFF621VXP.bigBed
ENCAN071CDF	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR420HOT	ENCFF425CQF	bam		alignments	1	1_1	ENCSR420HOT	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF425CQF/@@download/ENCFF425CQF.bam
ENCAN071CDF	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR420HOT	ENCFF068XYO	bam		unfiltered alignments	1	1_1	ENCSR420HOT	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF068XYO/@@download/ENCFF068XYO.bam
