analysis	experiment	biological_replicates	read_depth	quality	analysis_read_depth_sum	n_depth_metrics
ENCAN626GSF	ENCSR476SDZ	1	30790795	warning	30790795	1
ENCAN400UBA	ENCSR866RCY	1	26445848	warning	26445848	1
ENCAN689FKV	ENCSR419MZH	1	27129463	warning	27129463	1
ENCAN476MLE	ENCSR828RNY	1	31194545	warning	31194545	1
ENCAN117BSH	ENCSR301OGM	1	420907282	pass	534519686	2
ENCAN117BSH	ENCSR301OGM	2	113612404	pass	534519686	2
ENCAN790MFZ	ENCSR820WLP	1	300679986	pass	584827578	2
ENCAN790MFZ	ENCSR820WLP	2	284147592	pass	584827578	2
ENCAN450NUR	ENCSR269SIA	1	308851926	pass	513290102	2
ENCAN450NUR	ENCSR269SIA	2	204438176	pass	513290102	2
ENCAN371IXN	ENCSR706IDL	1	80425921	pass	845685691	2
ENCAN371IXN	ENCSR706IDL	2	765259770	pass	845685691	2
ENCAN095RNN	ENCSR275ICP	1	244925628	pass	508239674	2
ENCAN095RNN	ENCSR275ICP	2	263314046	pass	508239674	2
ENCAN846PLL	ENCSR626RVD	1	217015766	pass	511242418	2
ENCAN846PLL	ENCSR626RVD	2	294226652	pass	511242418	2
ENCAN216KRV	ENCSR752NTF	1	34146551	warning	34146551	1
ENCAN449TOR	ENCSR964WHY	1	246534828	pass	433522008	2
ENCAN449TOR	ENCSR964WHY	2	186987180	pass	433522008	2
ENCAN776GJU	ENCSR809CEA	1	263653230	pass	618392774	2
ENCAN776GJU	ENCSR809CEA	2	354739544	pass	618392774	2
ENCAN365UTA	ENCSR000FJL	1	377741534	pass	411266993	2
ENCAN365UTA	ENCSR000FJL	2	33525459	warning	411266993	2
ENCAN630XDR	ENCSR620WAR	1	40698671	warning	338628763	2
ENCAN630XDR	ENCSR620WAR	2	297930092	pass	338628763	2
ENCAN179NPV	ENCSR004SUL	1	128652812	pass	443941068	2
ENCAN179NPV	ENCSR004SUL	2	315288256	pass	443941068	2
ENCAN828CPD	ENCSR187PYY	1	34122520	warning	34122520	1
ENCAN981NET	ENCSR257BGZ	1	223604020	pass	482572638	2
ENCAN981NET	ENCSR257BGZ	2	258968618	pass	482572638	2
ENCAN166JNZ	ENCSR428XAX	1	30412138	warning	30412138	1
ENCAN080ZZU	ENCSR184DFF	1	34907340	warning	34907340	1
ENCAN174WWH	ENCSR826ERZ	1	24774525	warning	24774525	1
ENCAN353BPU	ENCSR052AWE	1	500732088	pass	829736926	2
ENCAN353BPU	ENCSR052AWE	2	329004838	pass	829736926	2
ENCAN989FXT	ENCSR268QCH	1	28134093	warning	28134093	1
ENCAN781OVM	ENCSR475VQD	1	304140250	pass	346538098	2
ENCAN781OVM	ENCSR475VQD	2	42397848	warning	346538098	2
ENCAN247RPX	ENCSR522FGG	1	20291832	warning	20291832	1
ENCAN387AWV	ENCSR017TFH	1	27696579	warning	27696579	1
ENCAN486ASZ	ENCSR294QCR	1	28359535	warning	28359535	1
ENCAN171XZK	ENCSR503HIB	1	267586126	pass	402363520	2
ENCAN171XZK	ENCSR503HIB	2	134777394	pass	402363520	2
ENCAN577IBA	ENCSR133KBX	1	23001916	warning	23001916	1
ENCAN232XZK	ENCSR804RSI	1	285607344	pass	285607344	1
ENCAN441AYY	ENCSR154OUQ	1	277653492	pass	277653492	1
ENCAN020EVQ	ENCSR072NBR	1	28508125	warning	28508125	1
ENCAN374UVJ	ENCSR106RBR	1	28643417	warning	28643417	1
ENCAN260WNO	ENCSR543YPH	1	26147696	warning	26147696	1
ENCAN368INN	ENCSR970ZLG	1	28583452	warning	28583452	1
ENCAN144KFH	ENCSR038XTK	1	245278804	pass	496945948	2
ENCAN144KFH	ENCSR038XTK	2	251667144	pass	496945948	2
ENCAN270GCF	ENCSR499IFY	1	296696524	pass	525023184	2
ENCAN270GCF	ENCSR499IFY	2	228326660	pass	525023184	2
ENCAN217VLM	ENCSR458LIB	2	249399114	pass	249399114	1
ENCAN697TEC	ENCSR364TKL	1	27764601	warning	27764601	1
ENCAN658BDQ	ENCSR814KRX	1	69598212	pass	806288330	4
ENCAN658BDQ	ENCSR814KRX	2	278495890	pass	806288330	4
ENCAN658BDQ	ENCSR814KRX	3	221515228	pass	806288330	4
ENCAN658BDQ	ENCSR814KRX	4	236679000	pass	806288330	4
ENCAN845FPQ	ENCSR148VUP	1	302580042	pass	654517438	2
ENCAN845FPQ	ENCSR148VUP	2	351937396	pass	654517438	2
ENCAN465IJN	ENCSR172PVJ	1	20748515	warning	20748515	1
ENCAN887IJL	ENCSR891VOV	1	23443095	warning	23443095	1
ENCAN956FKD	ENCSR627KFV	1	28929175	warning	28929175	1
ENCAN940YLB	ENCSR820ICX	1	288910344	pass	288910344	1
ENCAN759ENS	ENCSR240TPI	1	345193646	pass	384541342	2
ENCAN759ENS	ENCSR240TPI	2	39347696	warning	384541342	2
ENCAN577RVZ	ENCSR664PKM	1	444910396	pass	714838154	2
ENCAN577RVZ	ENCSR664PKM	2	269927758	pass	714838154	2
ENCAN709AXL	ENCSR014FPY	1	19456089	not_compliant	19456089	1
ENCAN941SWU	ENCSR986YWZ	1	270513906	pass	270513906	1
ENCAN123VBH	ENCSR800QGE	1	25411625	warning	25411625	1
ENCAN152BTF	ENCSR425MRQ	1	24777239	warning	24777239	1
ENCAN988EFK	ENCSR762FCX	1	20856794	warning	20856794	1
ENCAN107SCE	ENCSR422PVL	1	29391920	warning	29391920	1
ENCAN424QSR	ENCSR493IAY	1	267457426	pass	267457426	1
ENCAN209TLC	ENCSR097BWW	1	30845622	warning	490681028	2
ENCAN209TLC	ENCSR097BWW	2	459835406	pass	490681028	2
ENCAN225IRY	ENCSR595CSH	1	281887796	pass	459274153	2
ENCAN225IRY	ENCSR595CSH	2	177386357	pass	459274153	2
ENCAN327TIP	ENCSR932KWJ	1	52158332	pass	254275926	2
ENCAN327TIP	ENCSR932KWJ	2	202117594	pass	254275926	2
ENCAN318XXF	ENCSR511GQA	1	19745618	not_compliant	19745618	1
ENCAN642DGL	ENCSR914DOH	1	23712604	warning	23712604	1
ENCAN895AHZ	ENCSR548MMD	1	554601818	pass	600107189	2
ENCAN895AHZ	ENCSR548MMD	2	45505371	warning	600107189	2
ENCAN630JOH	ENCSR771DAX	1	73370053	pass	194023419	2
ENCAN630JOH	ENCSR771DAX	2	120653366	pass	194023419	2
ENCAN599CSS	ENCSR224FOA	2	399041594	pass	399041594	1
ENCAN828SDW	ENCSR261SMF	1	22082019	warning	22082019	1
ENCAN849NVH	ENCSR015BGH	1	256979287	pass	256979287	1
ENCAN875IZM	ENCSR257CIZ	1	257672254	pass	257672254	1
ENCAN386JDG	ENCSR746RDJ	1	240409200	pass	470884672	2
ENCAN386JDG	ENCSR746RDJ	2	230475472	pass	470884672	2
ENCAN423PIP	ENCSR946DXB	1	190661744	pass	390029950	2
ENCAN423PIP	ENCSR946DXB	2	199368206	pass	390029950	2
ENCAN425VSU	ENCSR619DRM	1	21451378	warning	21451378	1
ENCAN910BRC	ENCSR649PJN	1	27335468	warning	27335468	1
ENCAN881HWU	ENCSR594OWA	1	21998088	warning	21998088	1
ENCAN106FJZ	ENCSR953XJU	1	24276545	warning	24276545	1
ENCAN939IVU	ENCSR943SYS	1	261254862	pass	517098466	2
ENCAN939IVU	ENCSR943SYS	2	255843604	pass	517098466	2
ENCAN759TXV	ENCSR959ZXU	1	287155024	pass	319116228	2
ENCAN759TXV	ENCSR959ZXU	2	31961204	warning	319116228	2
ENCAN103OPW	ENCSR938UOR	1	20760260	warning	20760260	1
ENCAN850RQC	ENCSR563XRP	1	20920971	warning	20920971	1
ENCAN411EDJ	ENCSR207TUX	1	320506908	pass	320506908	1
ENCAN410TKH	ENCSR515EWI	1	220496156	pass	259315621	2
ENCAN410TKH	ENCSR515EWI	2	38819465	warning	259315621	2
ENCAN937NPI	ENCSR989YIV	1	27897700	warning	27897700	1
ENCAN965GPR	ENCSR155NPL	1	29197883	warning	29197883	1
ENCAN255IQY	ENCSR362JSZ	1	282627338	pass	941691450	2
ENCAN255IQY	ENCSR362JSZ	2	659064112	pass	941691450	2
ENCAN412TRO	ENCSR990XXC	1	37746263	warning	37746263	1
ENCAN202UYF	ENCSR314EZY	1	316700212	pass	564034554	2
ENCAN202UYF	ENCSR314EZY	2	247334342	pass	564034554	2
ENCAN889KUF	ENCSR270LZE	1	25772955	warning	25772955	1
ENCAN857ENB	ENCSR986HEN	1	30365668	warning	30365668	1
ENCAN547INH	ENCSR559WMK	1	336691354	pass	336691354	1
ENCAN828FJO	ENCSR746ZPP	1	356187566	pass	670147030	2
ENCAN828FJO	ENCSR746ZPP	2	313959464	pass	670147030	2
ENCAN519QRQ	ENCSR217SET	1	230709534	pass	431634250	2
ENCAN519QRQ	ENCSR217SET	2	200924716	pass	431634250	2
ENCAN839KWN	ENCSR040DGJ	1	19754813	not_compliant	19754813	1
ENCAN776CIO	ENCSR735BIM	1	24196952	warning	24196952	1
ENCAN338LCJ	ENCSR457ILW	1	21993127	warning	21993127	1
ENCAN766ZTW	ENCSR759UNY	1	339658872	pass	390905202	2
ENCAN766ZTW	ENCSR759UNY	2	51246330	pass	390905202	2
ENCAN959FGM	ENCSR174GXG	1	28136552	warning	28136552	1
ENCAN208JVN	ENCSR532CRI	1	212635848	pass	446484968	2
ENCAN208JVN	ENCSR532CRI	2	233849120	pass	446484968	2
ENCAN835OYJ	ENCSR609DDQ	1	23852858	warning	23852858	1
ENCAN884CAL	ENCSR346JWH	1	272862404	pass	416320646	2
ENCAN884CAL	ENCSR346JWH	2	143458242	pass	416320646	2
ENCAN017IAV	ENCSR728BAD	1	28285867	warning	28285867	1
ENCAN784JHC	ENCSR318JAA	1	23854237	warning	23854237	1
ENCAN701BHR	ENCSR039ZVQ	1	22599608	warning	22599608	1
ENCAN674MZA	ENCSR705CNJ	1	206572338	pass	524923542	2
ENCAN674MZA	ENCSR705CNJ	2	318351204	pass	524923542	2
ENCAN761YSE	ENCSR382JUJ	1	611498338	pass	611498338	1
ENCAN277EIW	ENCSR937UWI	1	389841216	pass	540894492	2
ENCAN277EIW	ENCSR937UWI	2	151053276	pass	540894492	2
ENCAN315QBN	ENCSR435NHO	1	174331444	pass	403794258	2
ENCAN315QBN	ENCSR435NHO	2	229462814	pass	403794258	2
ENCAN157TWE	ENCSR121ZSL	1	568535912	pass	706352288	2
ENCAN157TWE	ENCSR121ZSL	2	137816376	pass	706352288	2
ENCAN743HZP	ENCSR083STA	1	252084677	pass	297605568	2
ENCAN743HZP	ENCSR083STA	2	45520891	warning	297605568	2
ENCAN181AAN	ENCSR695AUY	1	21194069	warning	21194069	1
ENCAN739UKD	ENCSR366EQH	1	21867846	warning	21867846	1
ENCAN966OZE	ENCSR913NYL	1	29317083	warning	29317083	1
ENCAN401MPZ	ENCSR392GCE	1	40756411	warning	40756411	1
ENCAN581EQR	ENCSR729DRB	1	42363894	warning	42363894	1
ENCAN932TEB	ENCSR666YVE	1	34978678	warning	34978678	1
ENCAN768BPH	ENCSR026EOM	1	49504691	warning	49504691	1
ENCAN303EQC	ENCSR932DHT	1	32697329	warning	32697329	1
ENCAN390RFR	ENCSR696XSJ	1	37709052	warning	37709052	1
ENCAN887KXT	ENCSR452EGE	1	41136410	warning	41136410	1
ENCAN902RYZ	ENCSR911YVV	1	42738798	warning	42738798	1
ENCAN749TSD	ENCSR414IHC	1	47016962	warning	47016962	1
ENCAN969KAK	ENCSR120LVW	1	55073384	pass	55073384	1
ENCAN886KRF	ENCSR820XRX	1	39647496	warning	39647496	1
ENCAN655MMI	ENCSR495INQ	1	36847084	warning	36847084	1
ENCAN330HLR	ENCSR884MCZ	1	41779471	warning	41779471	1
ENCAN112OSU	ENCSR580OAH	1	37781255	warning	37781255	1
ENCAN047SPE	ENCSR947POC	1	39163969	warning	39163969	1
ENCAN303XNX	ENCSR802AJE	1	38321506	warning	38321506	1
ENCAN788SWF	ENCSR064GBK	1	36250539	warning	36250539	1
ENCAN612PPB	ENCSR585CGU	1	33130418	warning	33130418	1
ENCAN333HTS	ENCSR411MGY	1	43388250	warning	43388250	1
ENCAN809XNY	ENCSR022ECC	1	30046310	warning	30046310	1
ENCAN778EXQ	ENCSR951XEN	1	28902014	warning	28902014	1
ENCAN247HXH	ENCSR953JVX	1	30185806	warning	30185806	1
ENCAN489YMH	ENCSR524DWS	1	29400486	warning	29400486	1
ENCAN193HPF	ENCSR512CWR	1	322197416	pass	515980740	2
ENCAN193HPF	ENCSR512CWR	2	193783324	pass	515980740	2
ENCAN974RNY	ENCSR141DMX	1	22872720	warning	22872720	1
ENCAN772MBQ	ENCSR643GHI	1	30853185	warning	30853185	1
ENCAN584JSG	ENCSR364MFN	1	377643082	pass	625568920	2
ENCAN584JSG	ENCSR364MFN	2	247925838	pass	625568920	2
ENCAN374GCF	ENCSR974TXT	1	34718490	warning	34718490	1
ENCAN399BMS	ENCSR118WIQ	1	34332656	warning	34332656	1
ENCAN161FSW	ENCSR166TEE	1	20713758	warning	20713758	1
ENCAN415LYM	ENCSR829MXU	1	302373682	pass	302373682	1
ENCAN462INF	ENCSR171ADO	1	119193852	pass	119193852	1
ENCAN621WZW	ENCSR550UWM	1	21132751	warning	21132751	1
ENCAN673KKR	ENCSR357RED	1	31862816	warning	31862816	1
ENCAN564BQV	ENCSR156CLC	1	44761501	warning	44761501	1
ENCAN562ZTY	ENCSR723JLG	1	34388603	warning	34388603	1
ENCAN896WTH	ENCSR080PZL	1	47301584	warning	47301584	1
ENCAN275SVI	ENCSR000EON	1	27113490	warning	52007984	2
ENCAN275SVI	ENCSR000EON	2	24894494	warning	52007984	2
ENCAN218GFU	ENCSR371KRY	1	42848445	warning	42848445	1
ENCAN738UTM	ENCSR648RAX	1	33136743	warning	33136743	1
ENCAN367MSK	ENCSR645GJD	1	58146408	pass	58146408	1
ENCAN621KXL	ENCSR188JLO	1	39925715	warning	39925715	1
ENCAN213ZQW	ENCSR154YPL	1	35991094	warning	35991094	1
ENCAN494TQF	ENCSR757EPJ	1	43096738	warning	43096738	1
ENCAN876GAU	ENCSR599WJC	2	26503757	warning	113283118	4
ENCAN876GAU	ENCSR599WJC	3	31617022	warning	113283118	4
ENCAN876GAU	ENCSR599WJC	4	26273307	warning	113283118	4
ENCAN876GAU	ENCSR599WJC	5	28889032	warning	113283118	4
ENCAN379ATG	ENCSR000ENO	1	25845324	warning	49197833	2
ENCAN379ATG	ENCSR000ENO	2	23352509	warning	49197833	2
ENCAN636PHJ	ENCSR761ZFA	1	31594261	warning	31594261	1
ENCAN051FFP	ENCSR311LLZ	1	36088375	warning	36088375	1
ENCAN942VKX	ENCSR565WPR	1	20853561	warning	112728670	4
ENCAN942VKX	ENCSR565WPR	2	31503505	warning	112728670	4
ENCAN942VKX	ENCSR565WPR	3	30027306	warning	112728670	4
ENCAN942VKX	ENCSR565WPR	5	30344298	warning	112728670	4
ENCAN750VNN	ENCSR000EQL	1	32841712	warning	76217668	2
ENCAN750VNN	ENCSR000EQL	2	43375956	warning	76217668	2
ENCAN009ZQG	ENCSR360LBD	1	25399050	warning	25399050	1
ENCAN202PIY	ENCSR154ZNQ	1	55721894	pass	55721894	1
ENCAN879JHN	ENCSR545KQR	1	44389309	warning	44389309	1
ENCAN630PMT	ENCSR246PXX	1	44440112	warning	44440112	1
ENCAN576TFZ	ENCSR670ZSA	1	37458872	warning	37458872	1
ENCAN527XCI	ENCSR406EMB	1	21188876	warning	130992795	5
ENCAN527XCI	ENCSR406EMB	2	22210221	warning	130992795	5
ENCAN527XCI	ENCSR406EMB	3	32740595	warning	130992795	5
ENCAN527XCI	ENCSR406EMB	4	24310979	warning	130992795	5
ENCAN527XCI	ENCSR406EMB	5	30542124	warning	130992795	5
ENCAN026WKK	ENCSR000ELX	1	22209489	warning	46701388	2
ENCAN026WKK	ENCSR000ELX	2	24491899	warning	46701388	2
ENCAN348ZVU	ENCSR000EPS	1	33147372	warning	53994758	2
ENCAN348ZVU	ENCSR000EPS	2	20847386	warning	53994758	2
ENCAN060UAC	ENCSR077EYC	1	28994466	warning	118640691	4
ENCAN060UAC	ENCSR077EYC	2	26736005	warning	118640691	4
ENCAN060UAC	ENCSR077EYC	3	32714489	warning	118640691	4
ENCAN060UAC	ENCSR077EYC	5	30195731	warning	118640691	4
ENCAN845SVR	ENCSR198JXW	1	33611194	warning	33611194	1
ENCAN897VUQ	ENCSR193LYA	1	35109188	warning	35109188	1
ENCAN717FUB	ENCSR000EME	1	24311777	warning	51301256	2
ENCAN717FUB	ENCSR000EME	2	26989479	warning	51301256	2
ENCAN152YLI	ENCSR000EOC	1	29100133	warning	65993913	2
ENCAN152YLI	ENCSR000EOC	2	36893780	warning	65993913	2
ENCAN364MSW	ENCSR000EQE	1	53784618	pass	73827151	2
ENCAN364MSW	ENCSR000EQE	2	20042533	warning	73827151	2
ENCAN013WLV	ENCSR000EOL	1	22656669	warning	46752434	2
ENCAN013WLV	ENCSR000EOL	2	24095765	warning	46752434	2
ENCAN303BFR	ENCSR000EQK	1	82810043	pass	82810043	1
ENCAN733PKI	ENCSR000EMK	1	47960840	warning	47960840	1
ENCAN862GUM	ENCSR000EMN	1	21082103	warning	21082103	1
ENCAN384AOD	ENCSR000EOF	1	20582891	warning	42313818	2
ENCAN384AOD	ENCSR000EOF	2	21730927	warning	42313818	2
ENCAN888PCB	ENCSR000EPY	1	24053790	warning	50959416	2
ENCAN888PCB	ENCSR000EPY	2	26905626	warning	50959416	2
ENCAN209SAM	ENCSR000EQH	1	28079837	warning	28079837	1
ENCAN237IDS	ENCSR000EOG	1	32087110	warning	32087110	1
ENCAN403LTF	ENCSR000EMY	1	26109687	warning	54370371	2
ENCAN403LTF	ENCSR000EMY	2	28260684	warning	54370371	2
ENCAN292FWP	ENCSR000EPF	1	27792392	warning	63967685	2
ENCAN292FWP	ENCSR000EPF	2	36175293	warning	63967685	2
ENCAN955TZR	ENCSR000EOS	1	61600672	pass	91573550	2
ENCAN955TZR	ENCSR000EOS	2	29972878	warning	91573550	2
ENCAN016MJI	ENCSR000EMX	1	23998431	warning	23998431	1
ENCAN827FHP	ENCSR189YJQ	1	35904936	warning	35904936	1
ENCAN164VFW	ENCSR000ENX	1	24707781	warning	58072570	2
ENCAN164VFW	ENCSR000ENX	2	33364789	warning	58072570	2
ENCAN306CUQ	ENCSR000EMI	1	22734571	warning	43227594	2
ENCAN306CUQ	ENCSR000EMI	2	20493023	warning	43227594	2
ENCAN785HGY	ENCSR956ZHU	1	34793316	warning	34793316	1
ENCAN690EJT	ENCSR627UDJ	1	32234237	warning	32234237	1
ENCAN554SCS	ENCSR502NDK	1	44834849	warning	44834849	1
ENCAN844OHP	ENCSR357PMV	1	38631803	warning	38631803	1
ENCAN658NYN	ENCSR271QSV	1	51766162	pass	51766162	1
ENCAN032ZGL	ENCSR565EBN	1	34204757	warning	34204757	1
ENCAN327QFZ	ENCSR849OKE	1	38617784	warning	38617784	1
ENCAN708HKW	ENCSR000ENU	1	31481732	warning	61621578	2
ENCAN708HKW	ENCSR000ENU	2	30139846	warning	61621578	2
ENCAN383CPZ	ENCSR176KYD	1	35627374	warning	35627374	1
ENCAN408SIB	ENCSR148MFM	1	40694852	warning	40694852	1
ENCAN758JQJ	ENCSR851ZFT	1	35994558	warning	35994558	1
ENCAN345EPD	ENCSR320SVK	1	30452128	warning	30452128	1
ENCAN630TSE	ENCSR861NUH	1	30928946	warning	30928946	1
ENCAN477WMY	ENCSR606UAR	1	38721208	warning	38721208	1
ENCAN784DBM	ENCSR562ACY	1	32577120	warning	32577120	1
ENCAN856QMD	ENCSR000ENK	1	32097004	warning	71268729	2
ENCAN856QMD	ENCSR000ENK	2	39171725	warning	71268729	2
ENCAN678SOC	ENCSR000EMD	1	41979323	warning	93360371	2
ENCAN678SOC	ENCSR000EMD	2	51381048	pass	93360371	2
ENCAN291YET	ENCSR788SOI	1	34786718	warning	34786718	1
ENCAN518OXL	ENCSR000EMA	1	19049607	not_compliant	40176445	2
ENCAN518OXL	ENCSR000EMA	2	21126838	warning	40176445	2
ENCAN799TNR	ENCSR178JBL	1	38206997	warning	38206997	1
ENCAN392CTF	ENCSR523FJT	1	22466612	warning	123230987	4
ENCAN392CTF	ENCSR523FJT	2	19195659	not_compliant	123230987	4
ENCAN392CTF	ENCSR523FJT	3	51603072	pass	123230987	4
ENCAN392CTF	ENCSR523FJT	5	29965644	warning	123230987	4
ENCAN921VNF	ENCSR726YMS	1	32985886	warning	32985886	1
ENCAN616EMK	ENCSR167XSQ	1	37255514	warning	37255514	1
ENCAN074HAQ	ENCSR000ENM	1	26087726	warning	56975839	2
ENCAN074HAQ	ENCSR000ENM	2	30888113	warning	56975839	2
ENCAN301ZRE	ENCSR309YDN	1	34958520	warning	34958520	1
ENCAN914TAZ	ENCSR000EPU	1	32001189	warning	65427516	2
ENCAN914TAZ	ENCSR000EPU	2	33426327	warning	65427516	2
