donor	n_cells	median_cell_sum	isg_mean	isg_frac	inflammatory_myeloid_mean	inflammatory_myeloid_frac	hla2_mean	hla2_frac	plasmablast_mean	plasmablast_frac	platelet_mean	platelet_frac	nk_mean	nk_frac	tcell_mean	tcell_frac	bcell_mean	bcell_frac	myeloid_mean	myeloid_frac	IFIT1_mean	IFIT2_mean	IFIT3_mean	ISG15_mean	MX1_mean	OAS1_mean	OAS2_mean	OAS3_mean	IFI6_mean	IFI27_mean	IFI44_mean	IFI44L_mean	RSAD2_mean	BST2_mean	XAF1_mean	STAT1_mean	IRF7_mean	IFIH1_mean	GBP1_mean	S100A8_mean	S100A9_mean	S100A12_mean	FCN1_mean	VCAN_mean	CTSD_mean	CTSS_mean	CTSB_mean	LGALS3_mean	TYMP_mean	NAMPT_mean	BCL2A1_mean	TNFAIP3_mean	IL1B_mean	NFKBIA_mean	HLA-DRA_mean	HLA-DPB1_mean	HLA-DPA1_mean	CD74_mean	HLA-DRB1_mean	MZB1_mean	XBP1_mean	JCHAIN_mean	IGKC_mean	PPBP_mean	PF4_mean	NKG7_mean	GNLY_mean	CD3D_mean	CD3E_mean	MS4A1_mean	CD79A_mean	LYZ_mean	LST1_mean	FCGR3A_mean	CCR7_mean	LTB_mean	MALAT1_mean
donor11	5942	3384	0.1685858	0.1215433	0.7690116	0.2033995	4.976843	0.5257152	0.6764978	0.144522	0.02431841	0.007489061	11.46979	0.5270111	2.796786	0.6911814	0.5272635	0.1059408	1.227743	0.2699849	0.03483676	0.06361494	0.05200269	0.235106	0.202962	0.1684618	0.1573544	0.03803433	0.240828	0.02608549	0.03736116	0.03685628	0.01110737	0.6974083	0.2016156	0.5276001	0.1595422	0.04106361	0.2712891	4.30175	2.193706	0.2945136	0.7638842	0.4343655	0.1221811	1.64894	0.3476944	0.3912824	0.09424436	0.1300909	0.2701111	0.1871424	0.015483	0.3397846	3.450858	2.16173	2.80074	14.75564	1.715247	0.3522383	0.157691	1.382699	0.8133625	0.04341972	0.005217099	7.715416	15.22417	1.877314	3.716257	0.4897341	0.564793	1.504376	1.573039	1.187311	0.6462471	0.6356446	95.61915
donor12	8704	3231	0.1718508	0.1199509	1.221025	0.2179611	4.827183	0.470795	0.6616785	0.1032858	0.00993796	0.003044577	8.673196	0.4373277	2.357077	0.5842716	0.3923483	0.06830193	2.066607	0.2703642	0.02504596	0.0568704	0.05560662	0.2929688	0.2204733	0.2057675	0.1309743	0.04377298	0.2678079	0.06767004	0.06663603	0.05560662	0.01401654	0.7602252	0.2318474	0.3374311	0.1958869	0.02378217	0.2127757	7.691521	3.38511	0.7234605	1.50517	0.6735983	0.1615349	1.870634	0.4860983	0.6047794	0.07421875	0.1834789	0.3127298	0.2328814	0.02389706	0.3862592	3.444508	1.665901	2.508617	14.32043	2.196461	0.3376608	0.1096048	1.589384	0.6100643	0.01619945	0.003676471	7.05239	10.294	1.514706	3.199449	0.3272059	0.4574908	4.553424	2.023782	1.284697	0.4045267	0.5397518	85.17314
donor13	5756	3407.5	0.6179273	0.2471654	11.44698	0.4634353	7.164211	0.6296734	3.419302	0.1276928	0.01763377	0.008078527	5.099635	0.3237491	1.851112	0.3689194	0.9381515	0.09763725	3.460997	0.3498958	0.06653926	0.06775539	0.1561849	0.7289785	0.5403058	0.6468033	0.2732801	0.1167477	1.35337	3.951529	0.2503475	0.3558026	0.04013204	1.323141	0.4888812	0.5548992	0.3742182	0.06636553	0.385337	101.3655	38.60702	9.472029	5.744788	3.752085	0.7786657	4.554899	1.152536	1.953092	0.5361362	0.6007644	0.8408617	0.3677901	0.07731063	1.901147	5.353023	2.312717	3.345379	21.14246	3.667477	2.167825	0.1864142	7.505038	3.817929	0.02883947	0.006428075	4.949444	5.249826	1.293259	2.408965	0.9338082	0.9424948	10.57505	2.518416	0.5514246	0.1990966	0.3832523	63.5132
donor14	15886	3450	2.58717	0.4915616	12.53042	0.4094926	7.681531	0.6297998	1.702993	0.1508404	0.06590709	0.01435226	6.583281	0.455401	2.428837	0.5150132	0.6689853	0.1074531	7.076718	0.3373725	0.7873599	0.4381846	1.2438	3.76067	2.790256	1.262432	0.8012716	0.5542616	6.232532	20.6862	0.6325066	2.022661	0.489047	2.396387	1.830354	1.19577	1.148307	0.1651139	0.7191238	113.4617	45.41685	5.727244	6.443913	3.850938	1.026312	4.235427	1.412313	1.887259	0.7414075	0.612426	1.005917	0.542805	0.09045701	1.501385	4.937744	2.087184	3.973499	23.0987	4.310525	0.8956314	0.1913635	3.467582	2.257396	0.1008435	0.03097067	9.239393	3.927169	1.739456	3.118217	0.5800705	0.7579	24.80524	2.280813	0.9432204	0.2776029	0.4447942	78.02946
donor15	5857	3449	0.4478222	0.1826784	7.439964	0.3390359	5.839064	0.4960901	3.7395	0.1385522	0.01886631	0.005036708	2.571709	0.2152979	2.531159	0.5566843	0.7508964	0.1565648	5.04358	0.3021598	0.0380741	0.05053782	0.09527062	0.392351	0.5448182	0.3088612	0.1898583	0.07648967	0.9723408	2.824654	0.1463206	0.1801263	0.03226908	1.009561	0.3768141	0.5388424	0.3080075	0.04200102	0.3814239	67.52228	27.44408	3.307666	2.416425	2.460816	0.5955267	2.498207	0.9026806	0.8728018	0.3317398	0.4604746	0.5432815	0.423425	0.08178248	1.738262	4.007342	1.205395	1.973194	18.83404	3.175346	2.393034	0.2549087	9.307495	3.002561	0.03243982	0.005292812	2.183541	2.959877	1.552331	3.509988	0.5699163	0.9318764	18.02988	1.268909	0.2460304	0.6295032	0.8171419	76.21393
donor16	6108	3995.5	0.2540499	0.1557319	6.424678	0.4054137	5.202489	0.5074329	2.724214	0.1744434	0.07833988	0.0103962	9.503193	0.357482	2.367551	0.4191225	0.4835462	0.07023576	4.602366	0.3528978	0.02504912	0.05337263	0.06450557	0.4525213	0.2811067	0.2321546	0.1905697	0.07760314	0.5394565	0.2431238	0.1155861	0.09610347	0.01637197	1.134741	0.3370989	0.4431893	0.2018664	0.03585462	0.2866732	53.44237	25.62705	3.571054	2.538802	2.499018	0.7442698	2.952194	0.9335298	1.164538	0.2170923	0.5710544	0.2811067	0.4584152	0.1152587	1.25442	3.729699	1.300098	1.969221	16.32024	2.693189	1.722823	0.2323183	6.537983	2.403733	0.136706	0.0199738	7.796169	11.21022	1.557957	3.177145	0.3695154	0.5975769	15.37426	1.703176	0.9145383	0.4174853	0.5538638	75.36968
donor17	8626	3798	0.2775391	0.1735512	1.437321	0.2745575	6.748064	0.4779968	0.8706527	0.1627058	0.04857408	0.00701368	4.845583	0.3052979	2.848365	0.6461859	0.6289706	0.08978669	2.801443	0.3322224	0.06468815	0.09297473	0.1079295	0.4067934	0.4843496	0.3265708	0.2163227	0.08196151	0.5664271	0.1657779	0.1058428	0.1522142	0.03072108	1.104684	0.3677255	0.4320658	0.2324368	0.04312543	0.290633	8.931834	4.423719	0.5803385	1.857292	0.7184095	0.1823557	2.414329	0.5643404	0.6806167	0.1342453	0.1795734	0.3518433	0.2118015	0.05031301	0.2788083	5.157083	2.284605	3.245073	20.51078	2.542778	0.4835381	0.1328542	2.257361	0.6088569	0.08601901	0.01112914	5.706701	3.984466	1.971134	3.725597	0.5289821	0.728959	6.660793	2.077788	1.181892	1.2853	0.8255275	87.2802
donor18	7557	3801	1.793053	0.4384781	8.408434	0.3818976	6.649543	0.5075559	1.029311	0.1665674	0.04002911	0.006881037	4.186979	0.2951568	3.029112	0.6381501	0.3268493	0.06166468	5.588196	0.3354175	0.4045256	0.2557893	0.7340214	2.018923	1.631335	1.003044	0.5441313	0.3341273	4.199285	13.57549	0.5008601	1.995898	0.2989281	1.948789	1.715496	1.193728	0.8684663	0.1255789	0.7195977	69.93926	33.3594	3.554188	5.991399	2.347889	0.7121874	4.00741	1.118698	1.255525	0.4767765	0.4790261	0.9157073	0.4593092	0.07529443	1.434432	4.179569	1.651978	2.879317	20.06484	4.472013	0.6073839	0.1699087	2.282387	1.057563	0.07000132	0.0100569	4.0483	4.325658	1.935159	4.123065	0.3060738	0.3476247	19.28794	1.866217	0.4657933	0.7328305	0.9694323	96.40823
donor19	7523	3766	0.4654708	0.2197472	4.228703	0.35181	4.530453	0.454659	2.737339	0.1714077	0.050977	0.007111525	5.232221	0.2776818	3.099295	0.6380433	0.4827197	0.07975542	2.755251	0.3182573	0.05383491	0.06606407	0.1173734	0.6942709	0.634986	0.3795029	0.2574771	0.09198458	1.16629	1.60202	0.209225	0.4103416	0.04426426	1.197661	0.6363153	0.563472	0.2937658	0.04333378	0.3817626	33.10701	16.39346	2.392264	2.278346	1.629536	0.4839825	2.399043	0.6805796	0.9401834	0.2348797	0.3663432	0.2518942	1.062475	0.03070584	1.179848	3.094244	1.322478	2.235013	14.62316	1.377376	1.937126	0.1926093	7.502858	1.316762	0.08719926	0.01475475	4.755948	5.708494	2.059152	4.139439	0.4052904	0.5601489	8.492756	1.092118	0.4581949	0.9779343	0.7166024	86.23116
donor20	5868	3572.5	0.4507767	0.1991892	12.20837	0.460668	6.279482	0.5721881	6.372103	0.2070126	0.2765849	0.02505112	3.578817	0.2936264	1.616479	0.3549761	0.5669734	0.09228016	3.431663	0.3823705	0.03271984	0.05436264	0.09066121	0.5502727	0.4756305	0.4117246	0.2177914	0.0775392	0.8922972	2.876108	0.1828562	0.1792774	0.0194274	1.18013	0.4040559	0.3675869	0.2474438	0.049591	0.2552829	113.6397	42.04141	7.958419	4.84424	3.442399	0.965576	3.773177	1.127471	1.846626	0.243865	0.7895365	0.5432856	0.2617587	0.1416155	1.506476	4.575324	1.650136	2.576176	19.6469	2.948875	3.617416	0.3183367	14.50494	7.047716	0.4802318	0.07293797	3.302488	3.855147	1.086912	2.146046	0.4630198	0.6709271	10.00409	2.732447	0.6514997	0.3386162	0.4536469	69.13309
donor21	9332	3742.5	0.205676	0.1375178	2.413209	0.2907058	7.884676	0.5569438	0.7986766	0.1991802	0.08176168	0.01194814	7.250054	0.4205958	2.573564	0.6054972	0.3710887	0.06247321	4.470398	0.3498178	0.03761252	0.07865409	0.06825975	0.3426918	0.2160309	0.2299614	0.1797042	0.06215174	0.3599443	0.08829833	0.06161595	0.0550793	0.01660952	0.9591727	0.2445349	0.3972353	0.1708101	0.03332619	0.3061509	16.07737	7.685276	1.0988	3.137913	1.449314	0.2300686	3.478461	0.684955	0.9803901	0.1354479	0.2392842	0.3724818	0.1966352	0.06750964	0.3642306	6.21946	3.539434	4.503322	22.12784	3.033326	0.4782469	0.1759537	1.911059	0.6294471	0.1360909	0.02743249	6.509323	7.990784	1.754822	3.392306	0.3184741	0.4237034	12.16577	3.352015	1.653558	0.7102443	0.4706387	80.03601
donor22	5492	3373	0.3624794	0.1901234	3.277082	0.3109735	6.155208	0.6412964	4.490714	0.2230517	0.1677895	0.01356519	8.338857	0.4661326	2.796704	0.5571741	0.7454479	0.1213583	2.545248	0.2880554	0.04497451	0.07046613	0.09268026	0.5764749	0.5540787	0.26311	0.2545521	0.08667152	0.8160961	1.092134	0.1480335	0.1676985	0.02694829	1.137655	0.4107793	0.4850692	0.2132192	0.05116533	0.3953023	25.4157	12.84778	1.2622	1.76402	1.451202	0.5422433	2.144756	0.6993809	0.9996358	0.1651493	0.3250182	0.2845958	0.3259286	0.06536781	0.8632556	3.960124	2.257101	2.636198	18.82647	3.09614	3.014749	0.3106336	10.43591	4.201566	0.3013474	0.03423161	9.895666	6.782047	1.861981	3.731428	0.5995994	0.8912964	7.070466	1.593955	1.193736	0.3228332	0.6223598	71.35324
donor23	5762	4277	0.2912183	0.1562962	5.48762	0.3654865	5.390698	0.5423811	7.083955	0.2378081	0.09501909	0.01865672	14.41114	0.4433356	4.055276	0.5960604	0.3828532	0.0610899	3.603827	0.3194637	0.02134675	0.03661923	0.04547032	0.3486637	0.2106907	0.2707393	0.2880944	0.07080875	0.5798334	0.15689	0.05258591	0.04338771	0.01509892	1.467199	0.3759111	0.5591808	0.1676501	0.04251996	0.7804582	43.2421	22.77317	2.842416	2.880076	2.188129	0.6152378	2.498959	0.7811524	1.247657	0.1601874	0.6230476	0.5364457	0.5550156	0.07566817	1.295036	3.632766	1.709129	2.222145	17.25477	2.134675	4.799028	0.4035057	16.36237	6.770913	0.1608816	0.02915654	13.06178	15.7605	2.923811	5.186741	0.2983339	0.4673724	11.8261	1.40663	0.7525165	0.430059	0.6381465	81.1942
donor24	7828	3895.5	0.2051408	0.1383562	2.519699	0.3182081	6.970542	0.5351048	0.9305059	0.2751022	0.02459121	0.006515074	8.806272	0.4774527	2.160641	0.5187149	0.2971385	0.06067961	3.463049	0.3715508	0.03615227	0.09261625	0.05940215	0.3348237	0.1902146	0.212698	0.1876597	0.05416454	0.3193664	0.07166582	0.08099131	0.06157384	0.01775677	1.026188	0.2896014	0.3962698	0.1710526	0.04483904	0.2506387	16.41288	9.361012	1.233904	2.256771	1.892821	0.2655851	3.427184	0.6836995	1.014435	0.1248084	0.2805314	0.2535769	0.2148697	0.05799693	0.3154062	5.628769	2.609607	3.64001	18.76354	4.210782	0.5125192	0.2028615	1.990164	1.016479	0.0425396	0.006642821	8.101175	9.511369	1.393076	2.928206	0.2728666	0.3214103	9.581119	1.985948	1.601814	0.6833163	0.5215892	100.4373
donor25	6916	3676	0.2080226	0.143816	5.80429	0.4361963	8.075564	0.5841816	0.830321	0.2596154	0.03181029	0.01041064	6.749205	0.4045691	2.206984	0.4756362	0.3637941	0.0709225	2.68656	0.380133	0.01445922	0.04713707	0.04207634	0.3444187	0.2567958	0.1892713	0.167004	0.06680162	0.3347311	0.1333141	0.09586466	0.0503181	0.0112782	0.8909774	0.3156449	0.4697802	0.1646906	0.03802776	0.3198381	43.00911	21.4439	4.777762	3.994939	3.207056	0.5997687	4.422643	0.7700983	1.217611	0.1759688	0.9086177	0.4684789	0.6084442	0.2180451	1.241903	6.60454	2.791643	3.646617	22.57013	4.764893	0.4767206	0.1314344	1.861481	0.8516484	0.05248699	0.0111336	6.628253	6.870156	1.446356	2.967611	0.3147773	0.4128109	7.359601	2.132591	0.9379699	0.3160787	0.437247	104.7928
donor26	10801	3367	1.355011	0.3540315	9.379644	0.3794093	5.287918	0.5420239	1.931187	0.2584946	0.07508564	0.01194334	5.823026	0.4408851	2.35506	0.5418017	0.6667901	0.1296176	4.16966	0.3575132	0.3637626	0.1873901	0.5952227	2.349597	1.409407	0.8300157	0.5039348	0.2777521	3.144987	8.731229	0.3668179	1.3995	0.2867327	1.989538	1.362559	0.673271	0.6929914	0.09887973	0.4816221	82.93797	36.92704	6.439496	2.986946	3.36904	0.9862976	2.561337	0.7937228	0.7299324	0.3758911	0.5289325	0.5877234	0.4038515	0.033608	1.032867	3.50912	1.536617	2.331543	16.59744	2.464864	1.287566	0.2797889	4.88177	1.275623	0.126192	0.02397926	6.661513	4.984538	1.395149	3.314971	0.6496621	0.6839182	14.1248	1.275808	0.594482	0.6835478	0.4840293	89.86223
donor27	8364	3583.5	0.2005651	0.1398349	2.344014	0.3693847	10.07042	0.6181731	0.8547047	0.3313008	0.01087996	0.006276901	6.552427	0.4700502	2.310736	0.5721545	0.2762434	0.06336681	4.693119	0.4255739	0.03969393	0.08357245	0.06480153	0.2810856	0.2293161	0.2934003	0.1739598	0.04961741	0.3104974	0.1844811	0.06252989	0.05571497	0.01805356	0.8821138	0.2288379	0.3499522	0.2150885	0.03885701	0.2491631	14.63116	7.946915	1.06791	3.417623	1.636777	0.255978	3.021401	0.7259684	1.102224	0.1286466	0.2128168	0.3020086	0.2164036	0.08022477	0.4141559	7.979197	4.253826	5.792802	25.71019	6.616093	0.4420134	0.1516021	1.821736	1.003467	0.0167384	0.005021521	6.132114	6.97274	1.580823	3.04065	0.2455763	0.3069106	14.76124	2.330823	1.11956	0.560856	0.4531325	70.09983
donor28	6157	3709	0.3126437	0.170606	12.90428	0.5694223	6.219263	0.623388	1.800918	0.3247523	0.07000162	0.01916518	4.240702	0.3374208	1.497401	0.3288939	0.3907747	0.07812246	4.292675	0.4555384	0.03264577	0.06464187	0.0784473	0.4075037	0.3089167	0.3191489	0.1760598	0.1114179	0.7282768	1.237291	0.1802826	0.1422771	0.01851551	0.9967517	0.286828	0.3677115	0.2074062	0.03167127	0.2444372	108.1075	48.23615	8.809323	8.179633	4.841644	1.259055	5.972876	1.203183	2.21374	0.2756212	1.509014	1.014942	0.522982	0.04904986	1.369498	4.805587	1.57057	2.402956	19.04873	3.268475	1.044989	0.1736235	3.965243	2.019815	0.1167777	0.0232256	3.314764	5.16664	0.9582589	2.036544	0.3085918	0.4729576	11.47832	4.60078	0.8824103	0.2091928	0.3694981	67.40653
donor29	10745	4189	0.2154392	0.1554064	2.020177	0.301759	5.765565	0.4673243	0.6840856	0.2090973	0.03401582	0.008422522	6.964402	0.3247092	2.799535	0.6190321	0.3832015	0.06193578	3.132015	0.4080968	0.050349	0.07668683	0.06365752	0.3742206	0.3425779	0.2341554	0.1927408	0.05853886	0.3492787	0.1439739	0.07659376	0.08096789	0.02121917	0.8604933	0.2831084	0.3666822	0.1758027	0.03955328	0.3027455	13.50879	8.104514	1.125826	1.803537	0.974779	0.2590042	2.130293	0.6128432	0.6003723	0.1153094	0.1521638	0.2472778	0.2308981	0.04792927	0.3891112	4.421685	2.377571	2.580735	16.42997	3.017869	0.3516054	0.1614705	1.700698	0.5225686	0.05704979	0.01098185	6.054351	7.874453	1.906189	3.69288	0.334202	0.432201	8.365472	1.315403	1.079293	1.767892	0.8602141	89.53523
