donor	n_cells	median_cell_sum	isg_mean	isg_frac	inflammatory_myeloid_mean	inflammatory_myeloid_frac	hla2_mean	hla2_frac	plasmablast_mean	plasmablast_frac	platelet_mean	platelet_frac	nk_mean	nk_frac	tcell_mean	tcell_frac	bcell_mean	bcell_frac	myeloid_mean	myeloid_frac
donor18	7557	3801	1.793053	0.4384781	8.408434	0.3818976	6.649543	0.5075559	1.029311	0.1665674	0.04002911	0.006881037	4.186979	0.2951568	3.029112	0.6381501	0.3268493	0.06166468	5.588196	0.3354175
donor19	7523	3766	0.4654708	0.2197472	4.228703	0.35181	4.530453	0.454659	2.737339	0.1714077	0.050977	0.007111525	5.232221	0.2776818	3.099295	0.6380433	0.4827197	0.07975542	2.755251	0.3182573
donor20	5868	3572.5	0.4507767	0.1991892	12.20837	0.460668	6.279482	0.5721881	6.372103	0.2070126	0.2765849	0.02505112	3.578817	0.2936264	1.616479	0.3549761	0.5669734	0.09228016	3.431663	0.3823705
donor21	9332	3742.5	0.205676	0.1375178	2.413209	0.2907058	7.884676	0.5569438	0.7986766	0.1991802	0.08176168	0.01194814	7.250054	0.4205958	2.573564	0.6054972	0.3710887	0.06247321	4.470398	0.3498178
donor22	5492	3373	0.3624794	0.1901234	3.277082	0.3109735	6.155208	0.6412964	4.490714	0.2230517	0.1677895	0.01356519	8.338857	0.4661326	2.796704	0.5571741	0.7454479	0.1213583	2.545248	0.2880554
donor23	5762	4277	0.2912183	0.1562962	5.48762	0.3654865	5.390698	0.5423811	7.083955	0.2378081	0.09501909	0.01865672	14.41114	0.4433356	4.055276	0.5960604	0.3828532	0.0610899	3.603827	0.3194637
donor24	7828	3895.5	0.2051408	0.1383562	2.519699	0.3182081	6.970542	0.5351048	0.9305059	0.2751022	0.02459121	0.006515074	8.806272	0.4774527	2.160641	0.5187149	0.2971385	0.06067961	3.463049	0.3715508
donor25	6916	3676	0.2080226	0.143816	5.80429	0.4361963	8.075564	0.5841816	0.830321	0.2596154	0.03181029	0.01041064	6.749205	0.4045691	2.206984	0.4756362	0.3637941	0.0709225	2.68656	0.380133
donor26	10801	3367	1.355011	0.3540315	9.379644	0.3794093	5.287918	0.5420239	1.931187	0.2584946	0.07508564	0.01194334	5.823026	0.4408851	2.35506	0.5418017	0.6667901	0.1296176	4.16966	0.3575132
donor27	8364	3583.5	0.2005651	0.1398349	2.344014	0.3693847	10.07042	0.6181731	0.8547047	0.3313008	0.01087996	0.006276901	6.552427	0.4700502	2.310736	0.5721545	0.2762434	0.06336681	4.693119	0.4255739
donor28	6157	3709	0.3126437	0.170606	12.90428	0.5694223	6.219263	0.623388	1.800918	0.3247523	0.07000162	0.01916518	4.240702	0.3374208	1.497401	0.3288939	0.3907747	0.07812246	4.292675	0.4555384
donor29	10745	4189	0.2154392	0.1554064	2.020177	0.301759	5.765565	0.4673243	0.6840856	0.2090973	0.03401582	0.008422522	6.964402	0.3247092	2.799535	0.6190321	0.3832015	0.06193578	3.132015	0.4080968
donor30	5185	5336	1.367497	0.346871	31.67338	0.7201671	8.897473	0.779325	1.984523	0.2346673	0.02314368	0.01485053	3.224301	0.4429122	0.7751205	0.1917068	0.1771456	0.04445516	22.20988	0.4894407
donor31	5851	4137	0.9945488	0.3006773	17.55237	0.5127784	6.379901	0.5862929	6.115408	0.1647582	0.05682789	0.01102376	3.630747	0.3672022	2.220561	0.4453085	0.3748932	0.07733721	5.646983	0.3707486
donor32	7848	3679.5	0.2409397	0.158847	2.365911	0.3255861	9.804103	0.5192406	0.7096075	0.1100599	0.03784404	0.01140418	4.01682	0.3096967	2.422082	0.5857543	0.3269623	0.06224516	3.723624	0.3737258
donor33	5159	3324	2.785832	0.6116036	7.957731	0.3586354	6.508626	0.5365381	1.57264	0.1450863	0.02112813	0.008334949	7.200717	0.3686761	2.502132	0.5786974	0.7548944	0.1225044	2.339843	0.3125606
