gene	parsimony_informative_sites	total_sites	percentage
1304061at2759.faa	0	197	0.0000
1309031at2759.faa	0	574	0.0000
1312453at2759.faa	0	1354	0.0000
1314980at2759.faa	0	843	0.0000
1322299at2759.faa	0	621	0.0000
1322642at2759.faa	0	299	0.0000
1323575at2759.faa	0	440	0.0000
1324510at2759.faa	0	458	0.0000
1338131at2759.faa	0	200	0.0000
1339553at2759.faa	0	465	0.0000
1342242at2759.faa	10	378	2.6455
1346165at2759.faa	0	432	0.0000
1346432at2759.faa	8	262	3.0534
1348942at2759.faa	0	352	0.0000
1355894at2759.faa	0	178	0.0000
1358374at2759.faa	0	434	0.0000
1364586at2759.faa	0	252	0.0000
1370285at2759.faa	0	693	0.0000
1370304at2759.faa	0	799	0.0000
1377237at2759.faa	0	281	0.0000
1379600at2759.faa	0	872	0.0000
1380409at2759.faa	0	211	0.0000
1382842at2759.faa	0	187	0.0000
1395649at2759.faa	0	180	0.0000
1398309at2759.faa	0	167	0.0000
1404162at2759.faa	0	580	0.0000
1405073at2759.faa	3	180	1.6667
1405146at2759.faa	0	225	0.0000
1407446at2759.faa	0	171	0.0000
1421503at2759.faa	0	161	0.0000
1423847at2759.faa	0	382	0.0000
142542at2759.faa	0	1092	0.0000
1426075at2759.faa	0	141	0.0000
1428265at2759.faa	0	244	0.0000
1428854at2759.faa	29	1021	2.8404
1430056at2759.faa	0	239	0.0000
1432328at2759.faa	0	323	0.0000
1434266at2759.faa	0	230	0.0000
1440961at2759.faa	0	267	0.0000
1441854at2759.faa	0	308	0.0000
1442062at2759.faa	0	521	0.0000
1445102at2759.faa	0	261	0.0000
1450538at2759.faa	0	312	0.0000
1454155at2759.faa	0	314	0.0000
1455730at2759.faa	0	551	0.0000
1459797at2759.faa	0	135	0.0000
1474000at2759.faa	0	405	0.0000
1488235at2759.faa	0	182	0.0000
1488436at2759.faa	0	138	0.0000
1490022at2759.faa	0	192	0.0000
1504863at2759.faa	6	228	2.6316
1513531at2759.faa	0	289	0.0000
1525971at2759.faa	2	153	1.3072
1526152at2759.faa	0	189	0.0000
1530008at2759.faa	0	244	0.0000
1538526at2759.faa	0	163	0.0000
1545004at2759.faa	0	98	0.0000
1552706at2759.faa	0	145	0.0000
1558822at2759.faa	0	91	0.0000
156083at2759.faa	5	2341	0.2136
1563319at2759.faa	0	340	0.0000
1567796at2759.faa	0	199	0.0000
1575179at2759.faa	0	110	0.0000
1576404at2759.faa	0	230	0.0000
1588798at2759.faa	0	320	0.0000
1593937at2759.faa	0	375	0.0000
160593at2759.faa	0	2731	0.0000
1617752at2759.faa	0	121	0.0000
1620056at2759.faa	10	189	5.2910
1626636at2759.faa	0	219	0.0000
1633672at2759.faa	0	102	0.0000
1645187at2759.faa	0	134	0.0000
166920at2759.faa	0	1499	0.0000
176625at2759.faa	0	1183	0.0000
179362at2759.faa	0	1312	0.0000
245208at2759.faa	0	1322	0.0000
257318at2759.faa	0	577	0.0000
261328at2759.faa	0	678	0.0000
271586at2759.faa	0	1076	0.0000
290630at2759.faa	0	940	0.0000
293315at2759.faa	0	1428	0.0000
296129at2759.faa	0	1058	0.0000
299766at2759.faa	0	1027	0.0000
306227at2759.faa	0	799	0.0000
320059at2759.faa	0	553	0.0000
324863at2759.faa	0	969	0.0000
325552at2759.faa	0	609	0.0000
330169at2759.faa	0	504	0.0000
331411at2759.faa	0	748	0.0000
341721at2759.faa	20	837	2.3895
345441at2759.faa	0	550	0.0000
355408at2759.faa	0	691	0.0000
369837at2759.faa	0	756	0.0000
375960at2759.faa	0	542	0.0000
383503at2759.faa	0	503	0.0000
388820at2759.faa	0	952	0.0000
390348at2759.faa	0	1030	0.0000
39650at2759.faa	0	2306	0.0000
396755at2759.faa	0	1216	0.0000
418107at2759.faa	0	451	0.0000
426305at2759.faa	0	802	0.0000
450058at2759.faa	0	366	0.0000
453044at2759.faa	19	478	3.9749
457861at2759.faa	0	306	0.0000
464990at2759.faa	0	570	0.0000
491869at2759.faa	0	473	0.0000
513979at2759.faa	0	581	0.0000
543764at2759.faa	0	514	0.0000
549762at2759.faa	0	647	0.0000
551907at2759.faa	0	1081	0.0000
570797at2759.faa	29	903	3.2115
582756at2759.faa	0	553	0.0000
598949at2759.faa	0	1251	0.0000
604979at2759.faa	0	809	0.0000
621827at2759.faa	0	570	0.0000
655400at2759.faa	0	478	0.0000
664730at2759.faa	11	463	2.3758
671536at2759.faa	0	496	0.0000
673132at2759.faa	17	415	4.0964
674160at2759.faa	0	2911	0.0000
674169at2759.faa	0	701	0.0000
679771at2759.faa	0	391	0.0000
687505at2759.faa	0	363	0.0000
692986at2759.faa	0	794	0.0000
708105at2759.faa	0	426	0.0000
719531at2759.faa	0	489	0.0000
720340at2759.faa	0	561	0.0000
721605at2759.faa	18	436	4.1284
734341at2759.faa	0	269	0.0000
734666at2759.faa	0	517	0.0000
736068at2759.faa	0	451	0.0000
751335at2759.faa	0	470	0.0000
759498at2759.faa	0	732	0.0000
761109at2759.faa	0	678	0.0000
768809at2759.faa	0	376	0.0000
777920at2759.faa	0	598	0.0000
779909at2759.faa	0	326	0.0000
801857at2759.faa	0	436	0.0000
814241at2759.faa	0	435	0.0000
817008at2759.faa	0	417	0.0000
834694at2759.faa	0	728	0.0000
836599at2759.faa	0	545	0.0000
83779at2759.faa	0	652	0.0000
844748at2759.faa	0	482	0.0000
855834at2759.faa	0	700	0.0000
858842at2759.faa	0	485	0.0000
865202at2759.faa	0	305	0.0000
866359at2759.faa	0	327	0.0000
869548at2759.faa	0	269	0.0000
878143at2759.faa	0	442	0.0000
87842at2759.faa	0	1066	0.0000
887370at2759.faa	0	581	0.0000
891751at2759.faa	0	572	0.0000
898782at2759.faa	0	547	0.0000
901894at2759.faa	0	543	0.0000
905026at2759.faa	0	706	0.0000
911863at2759.faa	0	425	0.0000
917326at2759.faa	0	639	0.0000
919955at2759.faa	0	389	0.0000
923657at2759.faa	0	317	0.0000
924753at2759.faa	0	465	0.0000
931188at2759.faa	0	629	0.0000
937275at2759.faa	0	417	0.0000
937686at2759.faa	0	491	0.0000
939345at2759.faa	0	245	0.0000
944899at2759.faa	0	398	0.0000
946128at2759.faa	0	532	0.0000
956854at2759.faa	0	294	0.0000
97116at2759.faa	0	1220	0.0000
973442at2759.faa	0	425	0.0000
974865at2759.faa	10	309	3.2362
975158at2759.faa	0	459	0.0000
975557at2759.faa	0	755	0.0000
976469at2759.faa	0	386	0.0000
981902at2759.faa	0	391	0.0000
996662at2759.faa	12	453	2.6490
