rank	gene	cluster_0_mean_log2_tpm	cluster_1_mean_log2_tpm	cluster_0_minus_cluster_1	standardized_effect
66	ALB	0.00000000	0.23492149	-0.23492149	14.61858204
67	PLXNA4	1.87984337	4.74992992	-2.87008655	14.61731875
68	CACNA2D1	3.16051551	5.78440538	-2.62388987	14.58708860
69	PTPRF	8.11851792	9.45215282	-1.33363490	14.43133308
70	TUBB6	8.23587946	6.34143686	1.89444259	14.38065252
71	ZDHHC9	4.74246562	6.32134031	-1.57887469	14.34801004
72	EIF4A3	7.41045997	6.15760650	1.25285347	14.34655373
73	CSNK1A1	9.17589839	8.27125154	0.90464685	14.25292150
74	TCN1	8.13352339	0.11507548	8.01844791	14.22733008
75	POLR3G	5.08335165	3.10029144	1.98306020	14.21023301
76	ADGRA2	2.89020387	5.43748945	-2.54728558	14.17123475
77	G23773	0.01125518	0.76495769	-0.75370251	14.09902228
78	DZIP1L	1.96019906	4.28524611	-2.32504704	14.08465952
79	AADAC	1.94155797	4.32548383	-2.38392587	14.08144803
80	MIR99AHG	2.47696002	4.17119540	-1.69423538	13.98218549
81	CTSC	7.81897201	5.55822932	2.26074269	13.92302191
82	TFDP1	6.97465635	6.21503919	0.75961717	13.90369041
83	DEFB4A	8.73056951	0.17078496	8.55978455	13.89415996
84	H6PD	6.58395379	8.03040310	-1.44644932	13.85688674
85	CEP68	4.64038764	6.05365076	-1.41326312	13.85117806
86	WDTC1	5.00572857	6.09925254	-1.09352397	13.83204440
87	AMMECR1	7.11814842	5.87334474	1.24480367	13.82566360
88	FUT3	4.09336222	0.97735896	3.11600326	13.82004471
89	TNNC1	0.12072544	2.52429606	-2.40357063	13.80996630
90	ANKH	5.63447899	6.96676304	-1.33228406	13.79343831
91	PARP9	7.26790220	4.55053466	2.71736754	13.75244263
92	ZC3H12A	7.87645083	4.30689772	3.56955311	13.74434786
93	RP11-600F24.7	1.32885324	2.81557358	-1.48672033	13.65923520
94	HEPHL1	9.46847611	1.52017933	7.94829677	13.55725286
95	ANKRD36C	3.19069590	5.00305461	-1.81235871	13.55018587
96	IL36G	9.01104797	3.56824384	5.44280413	13.53981565
97	XLOC_003378	2.04924456	0.34108208	1.70816248	13.52008675
98	CHD6	5.69156570	6.96151325	-1.26994755	13.50757035
99	SMIM12	5.53144781	4.85200284	0.67944497	13.46199929
100	ARHGEF9	4.39676205	5.02121571	-0.62445366	13.31369514
