SAMPLE_020	SAMPLE_175	259
SAMPLE_127	SAMPLE_071	348
SAMPLE_139	SAMPLE_071	348
SAMPLE_170	SAMPLE_126	348
SAMPLE_170	SAMPLE_087	349
SAMPLE_123	SAMPLE_052	349
SAMPLE_142	SAMPLE_186	349
SAMPLE_119	SAMPLE_087	350
SAMPLE_140	SAMPLE_173	350
SAMPLE_065	SAMPLE_142	350
SAMPLE_111	SAMPLE_074	350
SAMPLE_035	SAMPLE_071	351
SAMPLE_032	SAMPLE_097	351
SAMPLE_075	SAMPLE_171	351
SAMPLE_075	SAMPLE_071	352
SAMPLE_048	SAMPLE_139	352
SAMPLE_031	SAMPLE_178	352
SAMPLE_166	SAMPLE_034	353
SAMPLE_050	SAMPLE_119	353
SAMPLE_032	SAMPLE_178	353
SAMPLE_183	SAMPLE_071	354
SAMPLE_049	SAMPLE_097	354
SAMPLE_046	SAMPLE_034	354
SAMPLE_032	SAMPLE_034	354
SAMPLE_178	SAMPLE_009	354
SAMPLE_032	SAMPLE_050	354
SAMPLE_035	SAMPLE_170	354
SAMPLE_123	SAMPLE_167	355
SAMPLE_084	SAMPLE_119	355
SAMPLE_049	SAMPLE_126	355
SAMPLE_050	SAMPLE_139	355
SAMPLE_161	SAMPLE_178	355
SAMPLE_046	SAMPLE_131	355
SAMPLE_116	SAMPLE_088	356
SAMPLE_086	SAMPLE_167	356
SAMPLE_186	SAMPLE_166	356
SAMPLE_116	SAMPLE_117	356
SAMPLE_032	SAMPLE_142	356
SAMPLE_052	SAMPLE_071	357
SAMPLE_126	SAMPLE_174	357
SAMPLE_032	SAMPLE_082	357
SAMPLE_149	SAMPLE_050	357
SAMPLE_048	SAMPLE_097	358
SAMPLE_051	SAMPLE_097	358
SAMPLE_170	SAMPLE_061	358
SAMPLE_050	SAMPLE_167	358
SAMPLE_075	SAMPLE_006	358
SAMPLE_050	SAMPLE_204	358
SAMPLE_123	SAMPLE_139	358
SAMPLE_084	SAMPLE_094	358
SAMPLE_187	SAMPLE_116	358
SAMPLE_182	SAMPLE_167	360
SAMPLE_149	SAMPLE_186	360
SAMPLE_099	SAMPLE_022	360
SAMPLE_061	SAMPLE_097	361
SAMPLE_167	SAMPLE_097	361
SAMPLE_186	SAMPLE_167	361
SAMPLE_165	SAMPLE_167	361
SAMPLE_178	SAMPLE_126	361
SAMPLE_170	SAMPLE_166	361
SAMPLE_140	SAMPLE_186	361
SAMPLE_149	SAMPLE_084	361
SAMPLE_048	SAMPLE_142	361
SAMPLE_164	SAMPLE_149	361
SAMPLE_087	SAMPLE_071	362
SAMPLE_049	SAMPLE_071	362
SAMPLE_149	SAMPLE_183	362
SAMPLE_028	SAMPLE_061	362
SAMPLE_009	SAMPLE_127	362
SAMPLE_178	SAMPLE_156	362
SAMPLE_170	SAMPLE_182	362
SAMPLE_116	SAMPLE_048	362
SAMPLE_061	SAMPLE_174	363
SAMPLE_156	SAMPLE_066	363
SAMPLE_138	SAMPLE_197	363
SAMPLE_055	SAMPLE_075	363
SAMPLE_187	SAMPLE_088	364
SAMPLE_075	SAMPLE_097	364
SAMPLE_178	SAMPLE_127	364
SAMPLE_187	SAMPLE_009	364
SAMPLE_142	SAMPLE_204	364
SAMPLE_048	SAMPLE_117	364
SAMPLE_189	SAMPLE_049	364
SAMPLE_136	SAMPLE_174	365
SAMPLE_187	SAMPLE_044	365
SAMPLE_058	SAMPLE_061	365
SAMPLE_123	SAMPLE_050	365
SAMPLE_149	SAMPLE_170	365
SAMPLE_170	SAMPLE_034	366
SAMPLE_124	SAMPLE_006	366
SAMPLE_187	SAMPLE_075	366
SAMPLE_035	SAMPLE_193	366
SAMPLE_120	SAMPLE_032	366
SAMPLE_186	SAMPLE_061	367
SAMPLE_119	SAMPLE_066	367
SAMPLE_010	SAMPLE_020	367
SAMPLE_170	SAMPLE_101	367
SAMPLE_032	SAMPLE_186	367
SAMPLE_050	SAMPLE_178	367
SAMPLE_116	SAMPLE_142	367
SAMPLE_075	SAMPLE_170	367
SAMPLE_092	SAMPLE_168	367
SAMPLE_149	SAMPLE_032	367
SAMPLE_051	SAMPLE_164	367
SAMPLE_187	SAMPLE_164	367
SAMPLE_178	SAMPLE_174	368
SAMPLE_170	SAMPLE_204	368
SAMPLE_050	SAMPLE_052	368
SAMPLE_149	SAMPLE_116	368
SAMPLE_123	SAMPLE_149	368
SAMPLE_165	SAMPLE_049	368
SAMPLE_202	SAMPLE_176	369
SAMPLE_124	SAMPLE_176	369
SAMPLE_065	SAMPLE_071	369
SAMPLE_164	SAMPLE_071	369
SAMPLE_126	SAMPLE_007	369
SAMPLE_043	SAMPLE_097	369
SAMPLE_177	SAMPLE_183	369
SAMPLE_047	SAMPLE_061	369
SAMPLE_139	SAMPLE_167	369
SAMPLE_149	SAMPLE_094	369
SAMPLE_170	SAMPLE_082	369
SAMPLE_136	SAMPLE_205	370
SAMPLE_050	SAMPLE_205	370
SAMPLE_116	SAMPLE_097	370
SAMPLE_149	SAMPLE_127	370
SAMPLE_170	SAMPLE_167	370
SAMPLE_177	SAMPLE_204	370
SAMPLE_170	SAMPLE_177	370
SAMPLE_046	SAMPLE_071	371
SAMPLE_116	SAMPLE_034	371
SAMPLE_149	SAMPLE_034	371
SAMPLE_165	SAMPLE_086	371
SAMPLE_050	SAMPLE_006	371
SAMPLE_142	SAMPLE_139	371
SAMPLE_197	SAMPLE_082	371
SAMPLE_106	SAMPLE_192	371
SAMPLE_064	SAMPLE_176	372
SAMPLE_178	SAMPLE_071	372
SAMPLE_156	SAMPLE_097	372
SAMPLE_126	SAMPLE_066	372
SAMPLE_052	SAMPLE_066	372
SAMPLE_054	SAMPLE_086	372
SAMPLE_142	SAMPLE_126	372
SAMPLE_182	SAMPLE_204	372
SAMPLE_131	SAMPLE_107	372
SAMPLE_167	SAMPLE_146	373
SAMPLE_088	SAMPLE_205	373
SAMPLE_028	SAMPLE_071	373
SAMPLE_043	SAMPLE_007	373
SAMPLE_136	SAMPLE_087	373
SAMPLE_017	SAMPLE_108	373
SAMPLE_149	SAMPLE_167	373
SAMPLE_131	SAMPLE_086	373
SAMPLE_119	SAMPLE_085	373
SAMPLE_048	SAMPLE_126	373
SAMPLE_186	SAMPLE_052	373
SAMPLE_187	SAMPLE_052	373
SAMPLE_084	SAMPLE_178	373
SAMPLE_123	SAMPLE_182	373
SAMPLE_149	SAMPLE_071	374
SAMPLE_124	SAMPLE_174	374
SAMPLE_165	SAMPLE_097	374
SAMPLE_112	SAMPLE_145	374
SAMPLE_167	SAMPLE_034	374
SAMPLE_187	SAMPLE_087	374
SAMPLE_142	SAMPLE_061	374
SAMPLE_075	SAMPLE_127	374
SAMPLE_171	SAMPLE_167	374
SAMPLE_178	SAMPLE_119	374
SAMPLE_052	SAMPLE_126	374
SAMPLE_178	SAMPLE_139	374
SAMPLE_187	SAMPLE_139	374
SAMPLE_123	SAMPLE_178	374
SAMPLE_163	SAMPLE_082	374
SAMPLE_187	SAMPLE_082	374
SAMPLE_124	SAMPLE_061	375
SAMPLE_149	SAMPLE_061	375
SAMPLE_182	SAMPLE_127	375
SAMPLE_017	SAMPLE_086	375
SAMPLE_182	SAMPLE_009	375
SAMPLE_170	SAMPLE_006	375
SAMPLE_189	SAMPLE_052	375
SAMPLE_136	SAMPLE_178	375
SAMPLE_123	SAMPLE_136	375
SAMPLE_022	SAMPLE_192	375
SAMPLE_028	SAMPLE_149	375
SAMPLE_164	SAMPLE_049	375
SAMPLE_150	SAMPLE_146	376
SAMPLE_006	SAMPLE_071	376
SAMPLE_202	SAMPLE_088	376
SAMPLE_107	SAMPLE_007	376
SAMPLE_070	SAMPLE_087	376
SAMPLE_043	SAMPLE_167	376
SAMPLE_126	SAMPLE_167	376
SAMPLE_204	SAMPLE_167	376
SAMPLE_142	SAMPLE_052	376
SAMPLE_099	SAMPLE_020	376
SAMPLE_034	SAMPLE_071	377
SAMPLE_032	SAMPLE_071	377
SAMPLE_197	SAMPLE_007	377
SAMPLE_075	SAMPLE_066	377
SAMPLE_170	SAMPLE_186	377
SAMPLE_182	SAMPLE_178	377
SAMPLE_123	SAMPLE_142	377
SAMPLE_017	SAMPLE_171	377
SAMPLE_032	SAMPLE_048	377
SAMPLE_164	SAMPLE_048	377
SAMPLE_032	SAMPLE_116	377
SAMPLE_120	SAMPLE_163	377
SAMPLE_189	SAMPLE_032	377
SAMPLE_174	SAMPLE_146	378
SAMPLE_117	SAMPLE_071	378
SAMPLE_116	SAMPLE_071	378
SAMPLE_087	SAMPLE_145	378
SAMPLE_126	SAMPLE_061	378
SAMPLE_084	SAMPLE_061	378
SAMPLE_046	SAMPLE_167	378
SAMPLE_048	SAMPLE_166	378
SAMPLE_075	SAMPLE_101	378
SAMPLE_099	SAMPLE_131	378
SAMPLE_050	SAMPLE_142	378
SAMPLE_140	SAMPLE_050	378
SAMPLE_013	SAMPLE_048	378
SAMPLE_189	SAMPLE_116	378
SAMPLE_094	SAMPLE_097	379
SAMPLE_084	SAMPLE_097	379
SAMPLE_136	SAMPLE_097	379
SAMPLE_050	SAMPLE_097	379
SAMPLE_170	SAMPLE_097	379
SAMPLE_120	SAMPLE_097	379
SAMPLE_166	SAMPLE_167	379
SAMPLE_178	SAMPLE_167	379
SAMPLE_170	SAMPLE_009	379
SAMPLE_187	SAMPLE_126	379
SAMPLE_124	SAMPLE_084	379
SAMPLE_122	SAMPLE_197	379
SAMPLE_028	SAMPLE_048	379
SAMPLE_140	SAMPLE_149	379
SAMPLE_164	SAMPLE_030	379
SAMPLE_165	SAMPLE_164	379
SAMPLE_166	SAMPLE_071	380
SAMPLE_186	SAMPLE_174	380
SAMPLE_087	SAMPLE_088	380
SAMPLE_050	SAMPLE_034	380
SAMPLE_124	SAMPLE_183	380
SAMPLE_182	SAMPLE_061	380
SAMPLE_046	SAMPLE_061	380
SAMPLE_149	SAMPLE_006	380
SAMPLE_082	SAMPLE_119	380
SAMPLE_117	SAMPLE_119	380
SAMPLE_116	SAMPLE_119	380
SAMPLE_131	SAMPLE_101	380
SAMPLE_124	SAMPLE_186	380
SAMPLE_050	SAMPLE_136	380
SAMPLE_122	SAMPLE_048	380
SAMPLE_051	SAMPLE_049	380
SAMPLE_136	SAMPLE_071	381
SAMPLE_204	SAMPLE_097	381
SAMPLE_075	SAMPLE_034	381
SAMPLE_006	SAMPLE_066	381
SAMPLE_048	SAMPLE_086	381
SAMPLE_126	SAMPLE_009	381
SAMPLE_124	SAMPLE_043	381
SAMPLE_149	SAMPLE_043	381
SAMPLE_182	SAMPLE_117	381
SAMPLE_132	SAMPLE_131	381
SAMPLE_048	SAMPLE_182	381
SAMPLE_189	SAMPLE_142	381
SAMPLE_048	SAMPLE_050	381
SAMPLE_032	SAMPLE_075	381
SAMPLE_165	SAMPLE_032	381
SAMPLE_126	SAMPLE_205	382
SAMPLE_097	SAMPLE_071	382
SAMPLE_082	SAMPLE_088	382
SAMPLE_119	SAMPLE_097	382
SAMPLE_183	SAMPLE_145	382
SAMPLE_136	SAMPLE_066	382
SAMPLE_116	SAMPLE_026	382
SAMPLE_128	SAMPLE_167	382
SAMPLE_065	SAMPLE_126	382
SAMPLE_170	SAMPLE_094	382
SAMPLE_124	SAMPLE_178	382
SAMPLE_150	SAMPLE_178	382
SAMPLE_032	SAMPLE_182	382
SAMPLE_128	SAMPLE_092	382
SAMPLE_052	SAMPLE_146	383
SAMPLE_149	SAMPLE_176	383
SAMPLE_066	SAMPLE_097	383
SAMPLE_061	SAMPLE_087	383
SAMPLE_086	SAMPLE_069	383
SAMPLE_085	SAMPLE_127	383
SAMPLE_124	SAMPLE_173	383
SAMPLE_065	SAMPLE_156	383
SAMPLE_136	SAMPLE_006	383
SAMPLE_049	SAMPLE_142	383
SAMPLE_028	SAMPLE_049	383
SAMPLE_156	SAMPLE_071	384
SAMPLE_049	SAMPLE_174	384
SAMPLE_094	SAMPLE_044	384
SAMPLE_139	SAMPLE_097	384
SAMPLE_187	SAMPLE_097	384
SAMPLE_049	SAMPLE_183	384
SAMPLE_082	SAMPLE_087	384
SAMPLE_116	SAMPLE_087	384
SAMPLE_046	SAMPLE_086	384
SAMPLE_170	SAMPLE_085	384
SAMPLE_075	SAMPLE_009	384
SAMPLE_051	SAMPLE_156	384
SAMPLE_187	SAMPLE_070	384
SAMPLE_116	SAMPLE_186	384
SAMPLE_051	SAMPLE_149	384
SAMPLE_187	SAMPLE_051	384
SAMPLE_119	SAMPLE_176	385
SAMPLE_136	SAMPLE_088	385
SAMPLE_009	SAMPLE_044	385
SAMPLE_124	SAMPLE_034	385
SAMPLE_149	SAMPLE_066	385
SAMPLE_142	SAMPLE_127	385
SAMPLE_178	SAMPLE_085	385
SAMPLE_116	SAMPLE_085	385
SAMPLE_170	SAMPLE_119	385
SAMPLE_075	SAMPLE_094	385
SAMPLE_116	SAMPLE_084	385
SAMPLE_124	SAMPLE_142	385
SAMPLE_048	SAMPLE_161	385
SAMPLE_154	SAMPLE_136	385
SAMPLE_154	SAMPLE_050	385
SAMPLE_150	SAMPLE_171	385
SAMPLE_128	SAMPLE_149	385
SAMPLE_019	SAMPLE_017	385
SAMPLE_084	SAMPLE_176	386
SAMPLE_066	SAMPLE_205	386
SAMPLE_119	SAMPLE_071	386
SAMPLE_070	SAMPLE_097	386
SAMPLE_052	SAMPLE_034	386
SAMPLE_178	SAMPLE_087	386
SAMPLE_170	SAMPLE_008	386
SAMPLE_028	SAMPLE_167	386
SAMPLE_140	SAMPLE_167	386
SAMPLE_082	SAMPLE_070	386
SAMPLE_164	SAMPLE_043	386
SAMPLE_084	SAMPLE_052	386
SAMPLE_170	SAMPLE_052	386
SAMPLE_117	SAMPLE_178	386
SAMPLE_142	SAMPLE_084	386
SAMPLE_161	SAMPLE_142	386
SAMPLE_064	SAMPLE_065	386
SAMPLE_051	SAMPLE_123	386
SAMPLE_189	SAMPLE_051	386
SAMPLE_165	SAMPLE_051	386
SAMPLE_139	SAMPLE_205	387
SAMPLE_170	SAMPLE_202	387
SAMPLE_183	SAMPLE_034	387
SAMPLE_187	SAMPLE_066	387
SAMPLE_120	SAMPLE_127	387
SAMPLE_017	SAMPLE_173	387
SAMPLE_006	SAMPLE_085	387
SAMPLE_084	SAMPLE_009	387
SAMPLE_165	SAMPLE_043	387
SAMPLE_139	SAMPLE_204	387
SAMPLE_166	SAMPLE_204	387
SAMPLE_120	SAMPLE_031	387
SAMPLE_124	SAMPLE_182	387
SAMPLE_075	SAMPLE_050	387
SAMPLE_116	SAMPLE_050	387
SAMPLE_075	SAMPLE_177	387
SAMPLE_058	SAMPLE_170	387
SAMPLE_056	SAMPLE_053	387
SAMPLE_048	SAMPLE_071	388
SAMPLE_009	SAMPLE_097	388
SAMPLE_048	SAMPLE_183	388
SAMPLE_066	SAMPLE_061	388
SAMPLE_086	SAMPLE_108	388
SAMPLE_116	SAMPLE_127	388
SAMPLE_119	SAMPLE_009	388
SAMPLE_047	SAMPLE_070	388
SAMPLE_182	SAMPLE_043	388
SAMPLE_050	SAMPLE_126	388
SAMPLE_048	SAMPLE_082	388
SAMPLE_120	SAMPLE_142	388
SAMPLE_053	SAMPLE_109	388
SAMPLE_032	SAMPLE_111	388
SAMPLE_187	SAMPLE_149	388
SAMPLE_187	SAMPLE_049	388
SAMPLE_023	SAMPLE_003	388
SAMPLE_071	SAMPLE_205	389
SAMPLE_050	SAMPLE_071	389
SAMPLE_120	SAMPLE_071	389
SAMPLE_101	SAMPLE_151	389
SAMPLE_085	SAMPLE_007	389
SAMPLE_031	SAMPLE_148	389
SAMPLE_043	SAMPLE_183	389
SAMPLE_126	SAMPLE_127	389
SAMPLE_187	SAMPLE_008	389
SAMPLE_009	SAMPLE_167	389
SAMPLE_136	SAMPLE_009	389
SAMPLE_178	SAMPLE_094	389
SAMPLE_049	SAMPLE_094	389
SAMPLE_140	SAMPLE_178	389
SAMPLE_050	SAMPLE_117	389
SAMPLE_111	SAMPLE_150	389
SAMPLE_099	SAMPLE_010	389
SAMPLE_033	SAMPLE_091	389
SAMPLE_051	SAMPLE_032	389
SAMPLE_149	SAMPLE_146	390
SAMPLE_065	SAMPLE_205	390
SAMPLE_097	SAMPLE_174	390
SAMPLE_127	SAMPLE_097	390
SAMPLE_031	SAMPLE_183	390
SAMPLE_085	SAMPLE_066	390
SAMPLE_156	SAMPLE_026	390
SAMPLE_164	SAMPLE_086	390
SAMPLE_082	SAMPLE_009	390
SAMPLE_119	SAMPLE_006	390
SAMPLE_082	SAMPLE_178	390
SAMPLE_187	SAMPLE_178	390
SAMPLE_170	SAMPLE_136	390
SAMPLE_028	SAMPLE_171	390
SAMPLE_140	SAMPLE_032	390
SAMPLE_048	SAMPLE_176	391
SAMPLE_182	SAMPLE_071	391
SAMPLE_204	SAMPLE_202	391
SAMPLE_178	SAMPLE_034	391
SAMPLE_136	SAMPLE_183	391
SAMPLE_049	SAMPLE_061	391
SAMPLE_187	SAMPLE_061	391
SAMPLE_131	SAMPLE_108	391
SAMPLE_101	SAMPLE_066	391
SAMPLE_131	SAMPLE_173	391
SAMPLE_046	SAMPLE_009	391
SAMPLE_140	SAMPLE_009	391
SAMPLE_182	SAMPLE_156	391
SAMPLE_124	SAMPLE_126	391
SAMPLE_123	SAMPLE_204	391
SAMPLE_049	SAMPLE_052	391
SAMPLE_177	SAMPLE_139	391
SAMPLE_177	SAMPLE_082	391
SAMPLE_075	SAMPLE_084	391
SAMPLE_047	SAMPLE_142	391
SAMPLE_049	SAMPLE_161	391
SAMPLE_116	SAMPLE_177	391
SAMPLE_187	SAMPLE_170	391
SAMPLE_033	SAMPLE_149	391
SAMPLE_162	SAMPLE_128	391
SAMPLE_161	SAMPLE_176	392
SAMPLE_148	SAMPLE_205	392
SAMPLE_032	SAMPLE_205	392
SAMPLE_050	SAMPLE_148	392
SAMPLE_087	SAMPLE_202	392
SAMPLE_101	SAMPLE_145	392
SAMPLE_139	SAMPLE_183	392
SAMPLE_189	SAMPLE_069	392
SAMPLE_049	SAMPLE_160	392
SAMPLE_035	SAMPLE_167	392
SAMPLE_032	SAMPLE_043	392
SAMPLE_091	SAMPLE_107	392
SAMPLE_049	SAMPLE_124	392
SAMPLE_123	SAMPLE_047	392
SAMPLE_122	SAMPLE_049	392
SAMPLE_028	SAMPLE_164	392
SAMPLE_051	SAMPLE_061	393
SAMPLE_006	SAMPLE_167	393
SAMPLE_187	SAMPLE_167	393
SAMPLE_122	SAMPLE_173	393
SAMPLE_032	SAMPLE_009	393
SAMPLE_139	SAMPLE_126	393
SAMPLE_154	SAMPLE_126	393
SAMPLE_142	SAMPLE_166	393
SAMPLE_164	SAMPLE_101	393
SAMPLE_131	SAMPLE_118	393
SAMPLE_164	SAMPLE_075	393
SAMPLE_123	SAMPLE_032	393
SAMPLE_128	SAMPLE_049	393
SAMPLE_085	SAMPLE_176	394
SAMPLE_204	SAMPLE_205	394
SAMPLE_051	SAMPLE_071	394
SAMPLE_075	SAMPLE_007	394
SAMPLE_149	SAMPLE_007	394
SAMPLE_131	SAMPLE_145	394
SAMPLE_150	SAMPLE_145	394
SAMPLE_061	SAMPLE_034	394
SAMPLE_065	SAMPLE_034	394
SAMPLE_047	SAMPLE_087	394
SAMPLE_082	SAMPLE_127	394
SAMPLE_177	SAMPLE_167	394
SAMPLE_171	SAMPLE_086	394
SAMPLE_028	SAMPLE_086	394
SAMPLE_119	SAMPLE_070	394
SAMPLE_136	SAMPLE_043	394
SAMPLE_101	SAMPLE_119	394
SAMPLE_051	SAMPLE_139	394
SAMPLE_155	SAMPLE_020	394
SAMPLE_182	SAMPLE_094	394
SAMPLE_170	SAMPLE_046	394
SAMPLE_177	SAMPLE_050	394
SAMPLE_123	SAMPLE_048	394
SAMPLE_058	SAMPLE_047	394
SAMPLE_164	SAMPLE_035	394
SAMPLE_123	SAMPLE_049	394
SAMPLE_106	SAMPLE_076	394
SAMPLE_177	SAMPLE_157	395
SAMPLE_082	SAMPLE_044	395
SAMPLE_031	SAMPLE_044	395
SAMPLE_032	SAMPLE_007	395
SAMPLE_043	SAMPLE_202	395
SAMPLE_128	SAMPLE_097	395
SAMPLE_006	SAMPLE_034	395
SAMPLE_182	SAMPLE_183	395
SAMPLE_127	SAMPLE_061	395
SAMPLE_075	SAMPLE_167	395
SAMPLE_139	SAMPLE_086	395
SAMPLE_142	SAMPLE_009	395
SAMPLE_170	SAMPLE_156	395
SAMPLE_094	SAMPLE_119	395
SAMPLE_142	SAMPLE_119	395
SAMPLE_178	SAMPLE_052	395
SAMPLE_046	SAMPLE_166	395
SAMPLE_177	SAMPLE_117	395
SAMPLE_079	SAMPLE_046	395
SAMPLE_124	SAMPLE_050	395
SAMPLE_162	SAMPLE_171	395
SAMPLE_092	SAMPLE_075	395
SAMPLE_120	SAMPLE_116	395
SAMPLE_124	SAMPLE_146	396
SAMPLE_142	SAMPLE_205	396
SAMPLE_013	SAMPLE_071	396
SAMPLE_165	SAMPLE_071	396
SAMPLE_189	SAMPLE_088	396
SAMPLE_097	SAMPLE_007	396
SAMPLE_047	SAMPLE_097	396
SAMPLE_182	SAMPLE_034	396
SAMPLE_204	SAMPLE_061	396
SAMPLE_136	SAMPLE_061	396
SAMPLE_186	SAMPLE_127	396
SAMPLE_084	SAMPLE_167	396
SAMPLE_136	SAMPLE_167	396
SAMPLE_166	SAMPLE_009	396
SAMPLE_149	SAMPLE_009	396
SAMPLE_106	SAMPLE_107	396
SAMPLE_178	SAMPLE_101	396
SAMPLE_075	SAMPLE_178	396
SAMPLE_123	SAMPLE_124	396
SAMPLE_051	SAMPLE_124	396
SAMPLE_128	SAMPLE_171	396
SAMPLE_032	SAMPLE_170	396
SAMPLE_187	SAMPLE_048	396
SAMPLE_116	SAMPLE_075	396
SAMPLE_099	SAMPLE_155	396
SAMPLE_128	SAMPLE_032	396
SAMPLE_128	SAMPLE_035	396
SAMPLE_099	SAMPLE_076	396
SAMPLE_187	SAMPLE_123	396
SAMPLE_106	SAMPLE_017	396
SAMPLE_106	SAMPLE_099	396
SAMPLE_165	SAMPLE_189	396
SAMPLE_122	SAMPLE_162	396
SAMPLE_014	SAMPLE_146	397
SAMPLE_006	SAMPLE_176	397
SAMPLE_173	SAMPLE_071	397
SAMPLE_142	SAMPLE_071	397
SAMPLE_145	SAMPLE_148	397
SAMPLE_124	SAMPLE_148	397
SAMPLE_142	SAMPLE_202	397
SAMPLE_085	SAMPLE_097	397
SAMPLE_161	SAMPLE_097	397
SAMPLE_177	SAMPLE_097	397
SAMPLE_066	SAMPLE_087	397
SAMPLE_009	SAMPLE_061	397
SAMPLE_049	SAMPLE_167	397
SAMPLE_050	SAMPLE_009	397
SAMPLE_165	SAMPLE_052	397
SAMPLE_028	SAMPLE_107	397
SAMPLE_065	SAMPLE_139	397
SAMPLE_143	SAMPLE_020	397
SAMPLE_084	SAMPLE_101	397
SAMPLE_182	SAMPLE_186	397
SAMPLE_136	SAMPLE_117	397
SAMPLE_049	SAMPLE_182	397
SAMPLE_165	SAMPLE_182	397
SAMPLE_064	SAMPLE_124	397
SAMPLE_049	SAMPLE_170	397
SAMPLE_149	SAMPLE_111	397
SAMPLE_120	SAMPLE_051	397
SAMPLE_097	SAMPLE_146	398
SAMPLE_061	SAMPLE_205	398
SAMPLE_124	SAMPLE_071	398
SAMPLE_139	SAMPLE_174	398
SAMPLE_119	SAMPLE_088	398
SAMPLE_127	SAMPLE_087	398
SAMPLE_139	SAMPLE_087	398
SAMPLE_075	SAMPLE_069	398
SAMPLE_032	SAMPLE_066	398
SAMPLE_178	SAMPLE_073	398
SAMPLE_005	SAMPLE_086	398
SAMPLE_106	SAMPLE_020	398
SAMPLE_013	SAMPLE_117	398
SAMPLE_017	SAMPLE_131	398
SAMPLE_028	SAMPLE_161	398
SAMPLE_028	SAMPLE_177	398
SAMPLE_120	SAMPLE_171	398
SAMPLE_135	SAMPLE_170	398
SAMPLE_106	SAMPLE_155	398
SAMPLE_036	SAMPLE_111	398
SAMPLE_164	SAMPLE_111	398
SAMPLE_156	SAMPLE_205	399
SAMPLE_186	SAMPLE_148	399
SAMPLE_009	SAMPLE_034	399
SAMPLE_052	SAMPLE_183	399
SAMPLE_046	SAMPLE_183	399
SAMPLE_051	SAMPLE_066	399
SAMPLE_136	SAMPLE_127	399
SAMPLE_138	SAMPLE_086	399
SAMPLE_043	SAMPLE_006	399
SAMPLE_111	SAMPLE_070	399
SAMPLE_047	SAMPLE_043	399
SAMPLE_082	SAMPLE_126	399
SAMPLE_013	SAMPLE_204	399
SAMPLE_075	SAMPLE_052	399
SAMPLE_032	SAMPLE_139	399
SAMPLE_118	SAMPLE_020	399
SAMPLE_048	SAMPLE_094	399
SAMPLE_058	SAMPLE_046	399
SAMPLE_140	SAMPLE_048	399
SAMPLE_058	SAMPLE_035	399
SAMPLE_189	SAMPLE_164	399
SAMPLE_005	SAMPLE_017	399
SAMPLE_019	SAMPLE_099	399
SAMPLE_165	SAMPLE_120	399
SAMPLE_122	SAMPLE_028	399
SAMPLE_165	SAMPLE_140	399
