pathway_id	pathway_name	iron_depleted_padj	innate_media_padj	iron_depleted_significant	innate_media_significant	iron_depleted_hits	innate_media_hits	kegg_organism_code	iron_universe_mapped	innate_universe_mapped
map00541	KEGG pathway 00541	1	0.72036678384445019	0	0	0	5	pau	2041	2041
map00561	KEGG pathway 00561	1	0.99999956459992401	0	0	0	1	pau	2041	2041
map00562	KEGG pathway 00562	1	0.99776656546356179	0	0	0	1	pau	2041	2041
map00620	KEGG pathway 00620	0.89843370053009064	0.99999956459992401	0	0	2	5	pau	2041	2041
map00625	KEGG pathway 00625	1	0.99776656546356179	0	0	0	1	pau	2041	2041
map00626	KEGG pathway 00626	1	0.65902842825161401	0	0	0	1	pau	2041	2041
map00630	KEGG pathway 00630	0.59729309969205346	0.23104565199910912	0	0	4	13	pau	2041	2041
map00640	KEGG pathway 00640	0.81707669852859377	0.57580919322624147	0	0	2	8	pau	2041	2041
map00643	KEGG pathway 00643	0.074278577973245677	0.57432582185939118	0	0	3	3	pau	2041	2041
map00650	KEGG pathway 00650	0.14915757223533418	0.74043953319233624	0	0	5	6	pau	2041	2041
map00660	KEGG pathway 00660	0.71751915074400419	0.99999956459992401	0	0	1	1	pau	2041	2041
map00670	KEGG pathway 00670	1	0.59416190701753524	0	0	0	6	pau	2041	2041
map00680	KEGG pathway 00680	0.59729309969205346	0.65902842825161401	0	0	2	5	pau	2041	2041
map00710	KEGG pathway 00710	1	0.89222553437744279	0	0	0	2	pau	2041	2041
map00720	KEGG pathway 00720	0.72527515590034453	0.29305266191206919	0	0	2	8	pau	2041	2041
map00730	KEGG pathway 00730	1	0.89222553437744279	0	0	0	2	pau	2041	2041
map00740	KEGG pathway 00740	1	0.99999956459992401	0	0	0	1	pau	2041	2041
map00760	KEGG pathway 00760	1	0.99999956459992401	0	0	0	1	pau	2041	2041
map00770	KEGG pathway 00770	0.8829674958830831	0.99999956459992401	0	0	1	2	pau	2041	2041
map00785	KEGG pathway 00785	0.59729309969205346	0.31507261999771946	0	0	2	6	pau	2041	2041
map00790	KEGG pathway 00790	1	0.99999956459992401	0	0	0	2	pau	2041	2041
map00860	KEGG pathway 00860	0.023022412843567455	0.0068679263321910419	1	1	8	16	pau	2041	2041
map00900	KEGG pathway 00900	1	0.99999956459992401	0	0	0	1	pau	2041	2041
map00910	KEGG pathway 00910	0.7236605724604771	0.99999956459992401	0	0	2	4	pau	2041	2041
map00920	KEGG pathway 00920	1	0.42289179832922069	0	0	0	11	pau	2041	2041
map00970	KEGG pathway 00970	0.9388456983231418	0.99999956459992401	0	0	2	4	pau	2041	2041
map01053	KEGG pathway 01053	1.970106179905734e-05	1	1	0	6	0	pau	2041	2041
map01100	KEGG pathway 01100	0.073124809612320485	0.20819335005152401	0	0	62	144	pau	2041	2041
map01110	KEGG pathway 01110	0.0082586548156765131	0.090374114335818045	1	0	35	70	pau	2041	2041
map01120	KEGG pathway 01120	0.55893008804220146	0.23104565199910912	0	0	18	50	pau	2041	2041
map01200	KEGG pathway 01200	0.80473130639475199	0.011370107051231646	0	1	6	29	pau	2041	2041
map01210	KEGG pathway 01210	0.51663866749954224	0.18308003285433186	0	0	4	11	pau	2041	2041
map01212	KEGG pathway 01212	1	0.99999956459992401	0	0	0	2	pau	2041	2041
map01220	KEGG pathway 01220	0.49098686455972546	0.69987099326812008	0	0	3	5	pau	2041	2041
map01230	KEGG pathway 01230	0.89843370053009064	0.67283969461504967	0	0	5	21	pau	2041	2041
map01232	KEGG pathway 01232	1	0.99999956459992401	0	0	0	1	pau	2041	2041
map01240	KEGG pathway 01240	0.92848223716199385	0.81756104821843523	0	0	6	24	pau	2041	2041
map01250	KEGG pathway 01250	1	0.99999956459992401	0	0	0	4	pau	2041	2041
map01310	KEGG pathway 01310	0.39336680979060074	0.59416190701753524	0	0	2	3	pau	2041	2041
map01501	KEGG pathway 01501	0.89843370053009064	0.99999956459992401	0	0	1	3	pau	2041	2041
map01503	KEGG pathway 01503	1	0.090374114335818045	0	0	0	9	pau	2041	2041
map02010	KEGG pathway 02010	0.55672374863183893	0.0068679263321910419	0	1	12	42	pau	2041	2041
map02020	KEGG pathway 02020	0.63402940435061561	0.69987099326812008	0	0	14	36	pau	2041	2041
map02024	KEGG pathway 02024	0.0021294282771721386	0.01902226380975678	1	1	15	25	pau	2041	2041
map02025	KEGG pathway 02025	1	0.99999956459992401	0	0	0	1	pau	2041	2041
map02030	KEGG pathway 02030	1	0.99999956459992401	0	0	0	3	pau	2041	2041
map03010	KEGG pathway 03010	0.89843370053009064	0.99999956459992401	0	0	2	5	pau	2041	2041
map03018	KEGG pathway 03018	1	0.81756104821843523	0	0	0	3	pau	2041	2041
map03070	KEGG pathway 03070	1	0.81756104821843523	0	0	0	13	pau	2041	2041
map04122	KEGG pathway 04122	1	0.99999956459992401	0	0	0	2	pau	2041	2041
map04146	KEGG pathway 04146	0.13281890608437755	0.048185023636951124	0	1	3	6	pau	2041	2041
map04148	KEGG pathway 04148	0.36057022590403609	0.65902842825161401	0	0	1	1	pau	2041	2041
map04980	KEGG pathway 04980	1	0.65902842825161401	0	0	0	1	pau	2041	2041
map04981	KEGG pathway 04981	1	0.23851839421239246	0	0	0	3	pau	2041	2041
