index	n_cells-0	n_counts-1	means-1	dispersions-1	dispersions_norm-1	highly_variable-1	highly_variable	means	dispersions	dispersions_norm
S100A8	743	1111.1274	0.5758522	2.3670056	4.149737	True	False	4.77945652552514	10.858489770031426	0.5368157
S100A6	2109	24801.092	2.9112575	2.3005092	0.33003017	True	False	0.6367226284191617	2.8224783972312557	-1.3772959
FCER1A	55	8126.176	1.9012991	3.3484802	2.1751766	True	True	1.2735800410266804	5.2987782391762615	1.1865789
FCER1G	964	20091.55	2.7133408	3.1542788	2.2521713	True	False	0.734089858759719	3.173098687988755	-1.0142758
FCGR3A	497	11019.047	2.1658292	3.373141	2.1200054	True	False	0.8295377641901969	3.584785665364744	-0.5880294
FCRLA	117	405.00568	0.249837	1.7665929	2.7783089	True	False	3.626177930307358	8.668939742766254	-1.4731474
CD247	721	1821.243	0.82254	1.922738	2.1836853	True	True	2.713939711045629	8.68852223738383	1.5209907
XCL2	138	150.58533	0.10032107	2.1934218	5.097281	True	False	15.635206578261908	22.185714115844924	1.0
XCL1	86	137.74208	0.092146665	1.5306689	1.4965283	True	False	6.248400195857444	12.400316140021602	-0.53110623
PTPN7	252	538.6131	0.32022977	1.2665317	-0.1979142	False	False	1.4451900585573774	5.314464416658147	-1.4121678
G0S2	185	571.9829	0.3370641	2.2472136	5.0974064	True	False	4.335832892993426	10.023002754795058	-1.1811556
TRAF3IP3	1296	4741.1265	1.4638208	1.5699837	0.012200258	False	True	1.0184267602349917	4.656933227046429	0.5220349
COA6	234	622.00525	0.36178023	1.1823214	-0.65261865	False	False	1.0391516379449914	4.045727779895868	-0.110785976
ID2	1040	5733.918	1.613064	2.0361483	0.68277955	True	False	1.5234017101431365	6.648814378332287	0.46589428
GNLY	484	11138.426	2.1753747	4.224763	3.3502407	True	False	1.5844951682722344	5.509613482369249	-1.1375006
MAL	355	622.9477	0.36223993	1.5285761	1.2170291	True	False	1.5063723423153854	6.302792012755178	-0.021122994
IL1B	211	532.666	0.31719977	1.9746996	3.6259315	True	False	9.788565960529711	16.312553542443432	-0.70710677
CCDC115	434	1552.9585	0.73633504	1.1700646	-0.716202	False	False	0.9855181219834064	4.233092034900189	0.08320445
PPIG	457	1602.0422	0.7526723	1.2928348	-0.21710287	False	False	1.3600980255173083	5.371025612144705	-1.3325595
EIF1B	513	1369.3882	0.6727543	1.2223425	-0.50367594	False	False	2.179928791445221	7.631965638859688	-0.16476922
UQCRC1	499	2213.7583	0.9366173	1.1460615	-0.8763098	False	False	0.6185428093084646	3.420746761475973	-0.75786954
GPX1	1136	11545.776	2.2072792	2.181781	0.39899108	True	False	0.8384287365669596	3.942088033093607	-0.21809097
GNAI2	618	2236.2505	0.9427761	1.30877	-0.23526174	False	True	1.0625675251285374	5.219704572608444	1.1047087
ARL6IP5	1222	4693.6333	1.456092	1.4780449	-0.176647	False	False	2.919939829449949	9.30222666281169	0.15952465
BBX	386	985.233	0.5249786	1.337145	0.1833714	False	True	1.940331945105624	7.112420527756977	1.1184076
CD47	669	2019.8915	0.88189816	1.4062986	0.14898753	False	True	1.0104541010709138	5.352005808141557	1.2416888
TIGIT	189	393.3444	0.24345134	2.1693523	4.9665103	True	True	2.249514906715141	8.442211224108933	1.127996
EAF2	253	1155.3392	0.5931213	2.0038137	2.6732488	True	False	6.4859975248645325	12.943557084872573	0.93410254
GATA2	4	55.81075	0.038365103	1.9853877	3.9670262	True	False	3.2728474044485596	9.000980690977661	-0.5703297
RAB7A	840	3072.1587	1.1483164	1.2760776	-0.4673998	False	True	1.0485460448357282	5.060314981127568	0.9396823
SIAH2	326	878.0571	0.47953096	1.2245265	-0.4247267	False	False	2.8484738693724387	8.773882122234022	-1.1205409
GPR171	135	139.21802	0.093089476	1.2976997	0.23080127	False	False	7.4450539244571505	13.935072823942255	-0.29819283
MFSD1	163	600.6454	0.3513009	1.2247571	-0.4234818	False	False	2.3822410137878003	7.042598651119055	-1.1051176
SPON2	216	555.28015	0.32867336	2.1815748	4.7429814	True	False	6.131153868597823	12.229726016058187	-0.9912154
LYAR	499	1041.1713	0.5479032	1.4836733	0.5587156	True	False	2.0760154785101315	7.852137169833508	0.18651944
FGFBP2	296	1053.169	0.5527524	2.5312648	4.817502	True	False	4.9873365912278365	11.354034593472086	1.5557804
MED28	458	900.5595	0.489246	1.23339	-0.37686732	False	True	1.235192355246514	5.982750953902022	1.8947403
SMIM14	275	1023.40717	0.5406798	1.8145171	1.903699	True	False	2.62517168996332	7.661279596405265	-0.11799813
HOPX	403	1390.7035	0.68034804	2.3096242	3.9164639	True	False	3.8515066511841938	9.795328253881191	0.37398222
IGFBP7	228	1462.501	0.70550925	1.9666255	2.5220668	True	False	4.1698591436744845	10.304213946281768	1.2084881
IGJ	72	6423.996	1.7050666	5.037713	5.6565137	True	False	7.416150295265217	13.50608509669794	-1.4589804
SNHG8	678	1896.3853	0.84540945	1.3708388	0.009280634	False	False	1.3439813031945627	5.0954549590553855	-1.7204177
FYB	990	2145.7073	0.9177493	1.5382669	0.6689238	True	False	1.138208672116491	4.156318707158496	0.0037160167
EMB	278	689.5122	0.39419502	1.2748755	-0.15286067	False	True	1.7821875877292637	7.061459811136484	1.0466818
GZMK	319	1516.7869	0.7241224	2.7748103	5.807591	True	False	3.7171233408724786	9.45480514285546	-0.18443108
GZMA	541	3234.192	1.1836972	2.8146453	3.7027445	True	False	1.975762520963007	6.404911009860989	0.12260678
NSA2	602	1381.2491	0.67698693	1.2689773	-0.31409097	False	True	1.189335667454917	5.225923775166322	1.1111479
H2AFY	798	4746.726	1.4647276	1.5238638	-0.08253251	False	True	0.9799608413228358	5.581642410923787	1.4794465
MZB1	74	3920.0127	1.3209637	4.058572	5.123892	True	False	3.8057220464786825	8.714085813522209	-1.3991138
NDUFA2	695	2867.5972	1.101783	1.2439435	-0.55449647	False	True	1.2431863340980507	5.408758306744846	1.3004484
ATP6V0E1	1515	5912.5474	1.6377032	1.3447876	-0.46283773	False	False	0.7992126132458401	4.470505153163607	0.32901374
LMAN2	698	3298.228	1.1973417	1.426922	-0.058550302	False	True	1.234770861717129	5.969075743544004	1.8805815
SERPINB1	977	2754.4521	1.0750847	1.5829467	0.3643401	True	False	1.6763242810392054	6.37999673189862	0.0875406
LTB	1893	22596.195	2.823445	3.4467075	1.874518	True	False	0.9582602594220371	3.3902372371488925	-0.7894581
LST1	959	22248.352	2.8088608	3.3310716	1.7187	True	False	0.7468804896321685	2.6766177573453307	-1.5283148
AIF1	1008	25295.443	2.9299295	3.5010066	1.9476854	True	False	0.660502774471751	2.609554917044039	-1.5977494
HLA-DRB1	1235	56532.24	3.7041667	3.693616	1.6902301	True	False	0.5970560429189883	2.1364244127287777	-2.0876122
HLA-DQA1	586	22813.24	2.8324409	3.2569625	1.618839	True	False	0.6560463322853997	2.3894280578341633	-1.8256611
HLA-DQB1	645	14207.76	2.3939226	2.790436	2.134627	True	False	0.7605810391241206	2.8392548370212407	-1.3599261
HLA-DMB	482	4940.5557	1.4956416	1.9950151	0.8852372	True	False	0.7932564313140272	3.515062778777673	-0.66021806
HLA-DMA	708	7916.9814	1.8791587	2.2134886	0.67676544	True	False	0.7869269639630883	3.0413156897795477	-1.1507193
HLA-DPA1	1326	49766.992	3.5800474	3.6882424	1.6840813	True	False	0.6323298395998111	2.6422489255459136	-1.5638992
HLA-DPB1	1388	52165.562	3.625836	3.8797753	1.9032505	True	False	0.6431419461624127	2.659229869064931	-1.5463177
TAPBP	702	1533.0985	0.72964823	1.2835766	-0.25474015	False	False	3.0569453753265914	9.368009254514728	0.31890175
CNPY3	750	3740.6248	1.2868398	1.4445854	-0.24537441	False	False	0.6768177798967232	2.9316894262544744	-1.2642225
SAMD3	316	538.6123	0.32022947	1.3776957	0.40233028	True	True	2.7459183787494577	8.39588582347821	1.0540828
DYNLT1	515	966.5471	0.51720214	1.2874181	-0.08513523	False	False	1.4859760383966258	5.874589219756397	-0.623807
TCP1	458	1309.0547	0.65094286	1.2508525	-0.387774	False	False	3.4584549021690125	9.730325071851418	1.1967154
STK17A	850	1678.7247	0.7776727	1.6279045	1.1450604	True	True	1.0159649824657504	4.6904296906426	0.5567159
CCT6A	443	1808.3689	0.81856835	1.2212903	-0.579919	False	False	0.8704005729376051	4.002258955327523	-0.15579209
LAT2	249	1128.759	0.5827747	1.3106613	-0.14463234	False	True	1.1862241700634888	4.688388490749417	0.55460256
MRPS33	268	1037.0142	0.54621726	1.4382942	0.3742351	True	False	5.295185515679482	11.820729481182708	0.39938495
ZYX	403	1669.8091	0.77479786	1.3804896	0.1392414	False	False	0.8998402199953661	4.478793758802782	0.33759546
GIMAP7	1444	6923.144	1.766705	2.0449758	0.69740707	True	True	1.1161136903288527	5.089870898341376	0.97028345
PQBP1	430	1744.7242	0.798701	1.2182258	-0.5919927	False	True	1.0377284434669907	4.686384937191436	0.55252814
ITM2A	340	1187.4689	0.6054865	1.7994107	1.8422866	True	False	5.2479738070780115	11.73820167240813	0.24712704
TCEAL8	341	884.6244	0.4823761	1.1817816	-0.65553325	False	True	1.3961709699022005	7.102748030710876	1.1047938
MPP1	175	531.5916	0.31665134	1.3596625	0.30495793	True	True	2.3325656710578873	8.172610785938906	0.69784236
PNOC	95	466.44556	0.28282377	2.0224068	3.8835328	True	False	5.813467746751966	12.342420943742725	1.3618684
LYPD2	18	1220.3335	0.6179785	3.0936282	7.103685	True	False	8.030361810955007	14.52316788048131	1.2931195
ARPC5L	504	1640.4025	0.76525694	1.427299	0.32953638	True	False	3.612827169985692	9.993508355405055	0.6989716
FCN1	793	7750.0815	1.8611344	2.9384065	1.633799	True	False	0.9658835179775196	4.445891645242566	0.30352977
EGFL7	10	88.32592	0.060056202	1.8335433	3.1420522	True	False	8.348612755303401	14.827661027887393	0.70710677
PHPT1	440	2041.7037	0.88820624	1.320584	-0.18871579	False	False	0.8905670848001184	4.427856894570196	0.2848572
C9orf142	654	2327.4595	0.9673697	1.5782065	0.82628036	True	False	3.4627261867030157	9.798602913375891	1.3621379
CLIC3	166	1442.4778	0.69855547	2.792476	5.879407	True	False	7.611022714495177	14.14441561586398	0.2682628
AKR1C3	106	241.40353	0.15629284	1.6753117	2.282376	True	False	6.7598402641672175	13.069311269116515	-0.9528386
SRGN	1612	12363.07	2.2683744	1.9034525	-0.0030766558	False	False	0.6418337318636096	3.318376584821444	-0.8638601
PRF1	428	1175.6165	0.600943	2.324937	3.9787157	True	False	3.486409686193754	9.352560152317302	0.2814719
IFITM3	599	4752.9707	1.4657387	2.687757	2.3081656	True	False	1.7463958805806987	6.399997459389269	0.11569109
IRF7	439	1113.8943	0.5769417	1.398225	0.21134119	False	False	2.3404385815082813	8.02887229203848	0.46850434
TALDO1	987	5303.9214	1.5511377	1.417463	-0.34241125	False	False	0.773854359171733	3.3985899700348474	-0.78080994
CARS	168	441.85022	0.26974908	1.4728774	1.1825458	True	False	8.291399093014844	14.825791359921407	-0.70710677
CAT	378	2304.106	0.9611305	1.358531	-0.03921021	False	False	1.529474838256036	6.012024698612714	-0.43037024
CD82	188	659.2666	0.37980196	1.5000924	1.0632274	True	False	2.2969576001801055	6.609063467051184	-1.7968328
MTCH2	223	1175.1503	0.6007638	1.0843083	-1.0648282	False	False	1.050893422033195	3.7774268695387385	-0.3885754
MS4A1	423	1446.2582	0.6998722	2.5677142	4.9656806	True	False	2.593531212609781	7.424818250513389	-0.49527755
OTUB1	437	1978.5756	0.8698393	1.1969967	-0.67563254	False	True	1.0182244054953293	5.098873707252577	0.97960466
CTSW	808	2873.8108	1.1032293	2.6562777	3.2735038	True	False	3.4418880366357594	8.672708729141469	-1.3656623
PTPRCAP	1729	11326.01	2.190193	2.495438	0.85209364	True	False	0.8909474162516116	3.3671418686522374	-0.8133702
CORO1B	442	2960.1672	1.1231093	1.6129545	0.44567353	True	False	2.1199682484969986	7.809296590933371	0.11816633
GSTP1	1238	16431.174	2.526887	2.2669406	1.0606819	True	False	0.5608346485298357	3.1872258863381426	-0.9996489
MRPL21	434	1196.9874	0.6091206	1.264673	-0.33158922	False	False	0.9865759858439225	4.077371659778173	-0.07802301
LAMTOR1	928	4689.2974	1.4553827	1.2978009	-0.5468776	False	False	0.7035508286224353	3.3638687154553017	-0.8167591
CWC15	453	1611.8469	0.75590384	1.3323694	-0.056382008	False	True	1.922221078855338	7.856673222687469	2.1659234
KLRG1	313	595.57837	0.3487987	1.7477024	2.40023	True	False	6.772557414795065	13.30949338957024	1.0412856
KLRB1	152	373.40613	0.23243791	1.659024	2.1938848	True	False	5.203488985550348	11.476720573958495	-0.2352869
KLRC1	51	203.05177	0.13303745	1.8761849	3.3737252	True	False	4.625609871943068	10.137918489114492	-0.94486
RP11-291B21.2	98	243.25081	0.15739948	1.4805269	1.224106	True	False	2.1887062627508405	6.499496106468656	-1.97165
TMBIM6	1382	5769.3647	1.6180019	1.6738782	0.08248091	False	True	1.2118795809659448	4.925424308512798	0.8000212
WIBG	226	970.44836	0.51883054	1.291631	-0.062387355	False	False	2.0859285725567522	7.96241469969489	0.36246973
TMBIM4-1	782	2414.7302	0.9903482	1.3161566	-0.20615925	False	True	1.1490596725185453	4.99211444720449	0.8690698
ATXN7L3B	109	322.51904	0.20376658	1.3173989	0.33782756	True	False	2.432845056323791	7.900064589921547	0.26298872
HVCN1	331	1033.7485	0.5448911	1.7377965	1.5918058	True	False	7.571795292723681	14.117632479505028	0.19579096
OAS1	526	2097.4856	0.90416	1.8291639	1.8150169	True	False	1.7687693585741013	6.281131685225421	-0.051609326
TSC22D1	51	109.984085	0.07424778	1.4623351	1.1252694	True	False	5.1131720045753	11.560286395492973	-0.081113935
TNFSF13B	433	960.9108	0.5148443	1.4273821	0.6706187	True	False	0.9605722694242715	4.604619745768584	0.4678713
TINF2	364	736.64526	0.4162202	1.3098367	0.035917047	False	False	2.9122076753768065	8.777984946479732	-1.1106006
GZMH	269	1789.1542	0.81261206	2.7501621	5.4436197	True	False	2.3480347245474884	7.1090918056145895	-0.99902624
GZMB	326	2660.4343	1.052343	3.3934805	5.2716236	True	False	4.895885200434903	10.624161173962957	0.05497722
ARF6	944	3206.47	1.177732	1.3111099	-0.3724481	False	True	2.1033488955595288	8.142775019425592	0.6502387
LGALS3	662	4306.797	1.3908033	1.8369461	0.5605551	True	True	1.0153968917911096	5.161328907266353	1.0442686
ERH	913	3289.9807	1.1955945	1.2767037	-0.46570286	False	True	0.9920656745601211	5.202036523006375	1.0864159
AHSA1	321	1093.5421	0.5688995	1.2419851	-0.42382267	False	True	1.1882063963977476	4.935914148624692	0.810882
PLD4	126	1258.337	0.63223183	1.5283505	0.7403421	True	False	1.3193828816485391	5.3554429650994715	-1.3544916
AL928768.3	19	2227.732	0.94044846	3.621308	8.875811	True	False	6.229252087811106	12.468877282401351	-0.3461857
KIAA0125	93	385.30142	0.2390232	1.9583174	3.8199527	True	False	3.275061441357112	9.024697055039958	-0.5128701
ZNF106	205	593.5155	0.34777832	1.2417988	-0.331463	False	False	2.1874651967343417	7.9274382834379065	0.30666408
IL16	463	1521.4624	0.7257097	1.3120329	-0.13905627	False	True	1.274536042234984	5.507017473199462	1.4021825
IDH2	493	2563.657	1.0283816	1.4494126	0.3188504	True	False	0.8926096093288881	3.940561138797683	-0.21967186
POLR3K	293	794.30774	0.44252154	1.3355315	0.1746591	False	False	3.038234053843922	8.983507041203238	-0.61266464
C16orf13	484	2045.4418	0.88928354	1.2250888	-0.56495345	False	True	1.2881826999900854	5.807942131993509	1.7137494
STUB1	629	2005.4369	0.8776957	1.1761236	-0.7578695	False	True	1.029758490598929	4.921321645727074	0.79577345
NDUFB10	892	4517.404	1.4268755	1.3198286	-0.5016315	False	True	2.5052906439190514	8.761678060701703	1.6377125
IL32	1496	11203.903	2.1805727	3.4367077	2.2118325	True	False	1.492527871711974	5.5213827658281955	-1.1209357
CORO7	173	527.6861	0.31465524	1.2369882	-0.3574383	False	False	2.2183369811061975	6.66701343351995	-1.7043723
TNFRSF17	23	888.03326	0.48384964	2.794835	8.05436	True	False	4.168272716834234	9.56781187896157	0.0008851592
TMEM208	343	1416.9857	0.68963236	1.3684019	0.09010111	False	True	1.0401852047857996	5.103489410248415	0.9843836
PSMD7	536	2357.8447	0.97543037	1.3868871	0.072508715	False	True	1.823064520765758	7.450655044430405	1.5944637
GABARAPL2	978	3715.277	1.2819221	1.2685205	-0.60702115	False	False	0.7420096223147764	3.93055901561238	-0.2300277
C16orf74	128	706.5075	0.40219295	1.4444677	0.76287436	True	False	2.407394361696868	7.845982515764512	0.17669955
IRF8	296	1334.1296	0.66006535	2.2109938	3.5155003	True	False	2.1325430902903064	6.56766587279623	-1.8628836
SERPINF1	22	496.40665	0.29852366	1.5014213	1.0704032	True	False	1.7374443574619718	6.122166612778745	-0.27534842
PSMB6	749	4460.179	1.4172028	1.2150092	-0.7169361	False	False	0.6315030131348233	3.277777523483964	-0.90589494
CLEC10A	63	3288.7625	1.1953359	2.7810354	3.611648	True	True	1.8485895900714258	7.239634340155646	1.2974577
IFT20	310	1172.7423	0.5998382	1.182192	-0.6669004	False	False	0.9741557083308563	3.745635435912802	-0.42149115
CCL5	862	6950.6133	1.7699889	3.4932566	3.0972767	True	False	1.4114497347519912	5.067014530497464	-1.7604469
CCL4	307	431.54385	0.26421884	2.1011124	4.5957613	True	False	6.187723897862874	12.178344377994108	-1.1298
GGNBP2	470	1275.6294	0.6386506	1.2611368	-0.3459651	False	False	3.4576995649956626	9.867150729058878	1.5282146
DNAJC7	424	1379.9922	0.67653906	1.186555	-0.6491632	False	False	1.3341561295854678	6.021089614554311	-0.41761163
ABI3	478	3476.3066	1.2343352	1.810697	0.98163605	True	True	1.0949525251967402	4.758129482283336	0.62680995
PSMC5	777	2899.9067	1.1092788	1.2528102	-0.5304639	False	True	1.1890722050448927	5.7759427966506784	1.6806184
CD79B	654	5010.167	1.5065141	2.8555524	2.652826	True	False	1.3575946850259872	5.257367341053303	-1.4925303
PSMG2	499	1271.6517	0.6371781	1.2159809	-0.52953786	False	True	1.171375796272735	5.298084884726388	1.185861
C20orf27	347	2955.5454	1.122056	1.4161593	-0.08772157	False	True	1.660565566498104	7.053870027047656	1.0359993
PCNA	162	1170.1234	0.5988302	2.027474	2.769435	True	False	3.573325289221186	9.714848189935513	1.1592181
NAA20	368	1067.6027	0.5585551	1.1466994	-0.81118864	False	True	2.1592451984415764	8.15361976831444	0.66754174
CST3	1075	53978.676	3.6591082	4.035729	2.0817065	True	False	0.5947842649181628	2.2080146345641083	-2.0134902
CST7	535	2222.1055	0.9389073	2.3875294	4.014898	True	False	6.65682211299459	13.17342283954457	-0.08844701
RBM39	954	2282.5657	0.95534027	1.2267323	-0.55847865	False	False	0.8651532419229809	4.546952798917104	0.40816495
YWHAB	1353	5633.9185	1.599001	1.2048886	-0.69465697	False	False	0.7055823560268215	3.208142767951184	-0.97799236
PSMA7	1511	10134.817	2.0921342	1.3200289	-0.8458785	False	False	0.7082494964040983	3.1176215422991396	-1.0717149
RGS19	724	4502.867	1.4244274	1.5700834	0.012404962	False	False	0.9933542753271352	4.0850390918700725	-0.070084415
PRSS57	13	292.6223	0.18653032	2.6678786	7.6750154	True	False	10.14062952963511	16.690327771399712	0.70710677
C19orf24	505	1813.4817	0.8201476	1.2440057	-0.49042377	False	True	1.0231020943355549	4.996006891418577	0.8730999
SLC39A3	171	593.3819	0.34771213	1.0751901	-1.2310885	False	True	1.1878017886195706	4.719973486225858	0.58730453
ALKBH7	635	2958.7131	1.1227777	1.2171944	-0.62699723	False	False	0.7996849279303424	3.6360580029209415	-0.5349438
S1PR5	123	224.78311	0.14628105	1.7862473	2.8850918	True	False	6.322920627719511	12.827900801845448	0.6221588
ILF3-AS1	437	1043.4104	0.5488101	1.5212054	0.71129525	True	False	6.588403307752896	13.131882230474766	1.4420459
ILF3	251	692.2768	0.3955005	1.1137966	-1.0226275	False	False	1.135223841795919	4.614019380872858	0.47760335
TPM4	350	1517.6353	0.72441095	1.4071015	0.24742718	False	True	1.137097440795835	5.101281803202398	0.9820979
IFI30	441	4620.3022	1.4440376	2.3819008	1.6799207	True	False	1.380657345203562	6.4947219394643305	0.24901327
TYROBP	1072	20386.162	2.7269387	3.0239687	2.0397158	True	False	0.6656805854825333	2.656158489114123	-1.5494976
POLR2I	390	1376.4366	0.6752718	1.2380198	-0.4399427	False	False	0.8720266757028504	3.9630392668656165	-0.19639878
PPP1R14A	61	936.7482	0.50467426	2.1813192	4.741601	True	False	2.5766115638747342	7.631275540608694	-0.16587028
CD79A	426	5547.3296	1.5866617	3.3525658	2.8641453	True	False	2.4064216057196126	7.653789918614527	-0.12994808
CD37	2063	13007.313	2.314036	1.8647835	0.23566127	False	True	0.9458833843433818	4.772046892503613	0.64121956
SPIB	110	738.9639	0.41729107	1.8880492	3.1580513	True	False	4.1619678080622435	10.322538831562703	1.2385385
NKG7	816	8616.112	1.9513133	3.6989093	2.6378114	True	False	1.9654730833508964	6.516718598265376	0.27997297
FPR1	289	468.84756	0.28409165	1.5086912	1.1096578	True	False	2.577949026271058	7.760754743101331	0.040716715
MRPL40	327	1420.8376	0.6909858	1.4355861	0.3632259	True	True	2.606859022065132	8.715580780398618	1.5641632
IGLL5	111	7308.756	1.8118503	5.6756225	5.24746	True	False	10.893446906898767	16.752973569923544	1.0
EIF3D	1075	4047.9941	1.3446168	1.1965936	-0.75476265	False	False	0.627982670215562	2.9337470522678286	-1.2620921
LGALS2	573	2851.2927	1.0979799	2.4629683	2.7495568	True	True	1.262826539314578	5.103918916101276	0.9848283
ADSL	285	1148.4852	0.59046376	1.2038893	-0.57869416	False	True	1.8336932830233392	7.447444545198742	1.589945
TTC38	129	238.25911	0.15440637	1.382931	0.69386494	True	False	5.105382396173444	10.687154680175214	-1.6919795
TYMP	940	6386.499	1.7002786	2.1211226	0.823586	True	False	0.8190896316138444	3.6254473454149334	-0.54592973
ATP5O	1191	6403.903	1.7025044	1.2468609	-0.62510693	False	False	1.3197298940714959	6.625330542426558	0.4328414
TTC3	327	620.7217	0.36115342	1.3208677	0.095479906	False	False	1.4105572914415314	6.208689414836058	-0.15356989
SUMO3	570	2008.513	0.878592	1.4128406	0.17476195	False	False	0.6103057901986525	3.1367127976460902	-1.0519484
S100B	94	645.73755	0.37329584	2.3317893	5.554084	True	False	3.7768101431901604	9.284216976460852	-0.46417332
PRMT2	588	2062.4438	0.89416784	1.273153	-0.37558764	False	False	0.8970987007848776	3.9203682012695764	-0.24057892
