# cell-level module-score annotation diagnostic
# n_cells 164616 n_genes 17277 present_markers 129
# DC rule: PTPRC/immune-like plus >=1 FCER1A/CD1C/CLEC10A/CLEC4C/IL3RA and DC score highest among immune panels
# Basal lineage uses canonical KRT5/KRT14/KRT17/TP63/KRT13/KRT4/KRT16/KRT6A/SFN/DSG3/KRT15/KRT23 markers
# malignant basal proxy uses >=2 S4 malignant-basal core markers or core log-score >=0.8
SAMPLE	sample	cells	DC	DC_fraction_all	immune	Basal	AT2	AT1	Club	Cilia	EC	Fib	NE	OtherNonimmune	Unknown	Basal_malignant_proxy	Basal_malignant_strong
SAMPLE	Patient_060	1937	189	0.097574	1753	5	91	4	9	3	6	14	23	19	8	5	0
SAMPLE	Patient_061	2952	82	0.027778	2809	2	87	0	2	3	28	17	1	3	0	2	0
SAMPLE	Patient_062	1125	34	0.030222	1088	2	4	1	1	0	3	10	0	12	4	1	0
SAMPLE	Patient_063	360	40	0.111111	324	18	5	1	9	0	0	3	0	0	0	18	6
SAMPLE	Patient_064	334	39	0.116766	286	25	1	0	19	0	0	0	0	1	2	25	3
SAMPLE	Patient_065	558	60	0.107527	520	11	6	1	13	0	0	4	0	1	2	11	3
SAMPLE	Patient_066	525	65	0.123810	391	32	4	16	52	0	0	20	0	9	1	32	0
SAMPLE	Patient_067	1063	287	0.269991	818	33	36	24	57	0	7	76	2	7	3	33	1
CANDIDATE	sample	LUSC_by_Basal_AT2	DC_fraction_all	DC_cells	total_cells
CANDIDATE	Patient_005	LUAD_or_uncertain	0.491747	715	1454
CANDIDATE	Patient_006	LUAD_or_uncertain	0.013421	41	3055
CANDIDATE	Patient_007	LUAD_or_uncertain	0.209830	111	529
CANDIDATE	Patient_018	LUSC	0.116813	173	1481
CANDIDATE	Patient_040	LUSC	0.008540	39	4567
SUMMARY	LUSC_samples	Patient_010,Patient_013,Patient_014,Patient_015,Patient_018,Patient_026,Patient_027,Patient_028,Patient_029,Patient_030,Patient_031,Patient_040,Patient_045,Patient_046,Patient_047,Patient_048,Patient_063,Patient_064,Patient_065,Patient_066
SUMMARY	nonimmune_denominator	40566
SUMMARY	malignant_basal_proxy_numerator	18306
SUMMARY	malignant_basal_strong_numerator	686
SUMMARY	all_basal_in_LUSC_numerator	19706
SUMMARY	proxy_percent	45.126461
SUMMARY	strong_percent	1.691071
SUMMARY	all_basal_percent	48.577627
