record	group	tree	mean_patristic_distance	selected	processed	failed	median_mean_patristic_distance	ratio_fungi_to_animals
failure	animals	320059at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	324863at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	331411at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	355408at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	390348at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	39650at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	396755at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	418107at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	491869at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	621827at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	674160at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	679771at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	720340at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	734666at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	777920at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	814241at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	836599at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	866359at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	891751at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	919955at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	975158at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	981902at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
summary	fungi	.	.	249	211	38	1.7038317828166667	.
tree	fungi	1001705at2759.faa.mafft.clipkit.treefile	1.7015966260666668	.	.	.	.	.
tree	fungi	1003258at2759.faa.mafft.clipkit.treefile	1.6908806038333333	.	.	.	.	.
tree	fungi	100698at2759.faa.mafft.clipkit.treefile	1.0808753392499999	.	.	.	.	.
tree	fungi	1010730at2759.faa.mafft.clipkit.treefile	1.1521924698999999	.	.	.	.	.
tree	fungi	1014314at2759.faa.mafft.clipkit.treefile	1.9411812228000001	.	.	.	.	.
tree	fungi	1018517at2759.faa.mafft.clipkit.treefile	0.93287826914999994	.	.	.	.	.
tree	fungi	1019762at2759.faa.mafft.clipkit.treefile	2.4266902160666666	.	.	.	.	.
tree	fungi	1025450at2759.faa.mafft.clipkit.treefile	1.5718522471666667	.	.	.	.	.
tree	fungi	1030907at2759.faa.mafft.clipkit.treefile	2.3160044415000001	.	.	.	.	.
tree	fungi	1032689at2759.faa.mafft.clipkit.treefile	1.6527801510666666	.	.	.	.	.
tree	fungi	1041560at2759.faa.mafft.clipkit.treefile	1.2705463210000001	.	.	.	.	.
tree	fungi	1051021at2759.faa.mafft.clipkit.treefile	2.0844619632666666	.	.	.	.	.
tree	fungi	1057950at2759.faa.mafft.clipkit.treefile	2.1941545439666665	.	.	.	.	.
tree	fungi	1065019at2759.faa.mafft.clipkit.treefile	1.1527294435	.	.	.	.	.
tree	fungi	1076134at2759.faa.mafft.clipkit.treefile	1.0523275337333333	.	.	.	.	.
tree	fungi	1079130at2759.faa.mafft.clipkit.treefile	1.0031909134166666	.	.	.	.	.
tree	fungi	1079827at2759.faa.mafft.clipkit.treefile	0.57980335505000002	.	.	.	.	.
tree	fungi	1087488at2759.faa.mafft.clipkit.treefile	1.8615150912333334	.	.	.	.	.
tree	fungi	1094121at2759.faa.mafft.clipkit.treefile	2.1355514775333333	.	.	.	.	.
tree	fungi	1096688at2759.faa.mafft.clipkit.treefile	0.98121956815	.	.	.	.	.
tree	fungi	1107630at2759.faa.mafft.clipkit.treefile	1.6666018944333332	.	.	.	.	.
tree	fungi	1112002at2759.faa.mafft.clipkit.treefile	1.36595670145	.	.	.	.	.
tree	fungi	1115196at2759.faa.mafft.clipkit.treefile	1.5929339469166666	.	.	.	.	.
tree	fungi	1128607at2759.faa.mafft.clipkit.treefile	0.9029211466	.	.	.	.	.
tree	fungi	1129824at2759.faa.mafft.clipkit.treefile	1.8309187936833333	.	.	.	.	.
tree	fungi	1138059at2759.faa.mafft.clipkit.treefile	1.0045010568666666	.	.	.	.	.
tree	fungi	1157302at2759.faa.mafft.clipkit.treefile	0.35794312768333336	.	.	.	.	.
tree	fungi	1161199at2759.faa.mafft.clipkit.treefile	2.3058335358333335	.	.	.	.	.
tree	fungi	1178688at2759.faa.mafft.clipkit.treefile	1.7368464898166667	.	.	.	.	.
tree	fungi	1182451at2759.faa.mafft.clipkit.treefile	1.9792047000166666	.	.	.	.	.
tree	fungi	1193442at2759.faa.mafft.clipkit.treefile	1.4579087552666665	.	.	.	.	.
tree	fungi	1194691at2759.faa.mafft.clipkit.treefile	1.41257112855	.	.	.	.	.
tree	fungi	1194797at2759.faa.mafft.clipkit.treefile	1.4454259154333333	.	.	.	.	.
tree	fungi	1197019at2759.faa.mafft.clipkit.treefile	1.08366751605	.	.	.	.	.
tree	fungi	1200489at2759.faa.mafft.clipkit.treefile	1.4204797724	.	.	.	.	.
tree	fungi	1217666at2759.faa.mafft.clipkit.treefile	1.1594723891500001	.	.	.	.	.
tree	fungi	1220881at2759.faa.mafft.clipkit.treefile	1.4376523210166665	.	.	.	.	.
tree	fungi	1222562at2759.faa.mafft.clipkit.treefile	1.5050652321166669	.	.	.	.	.
tree	fungi	1223488at2759.faa.mafft.clipkit.treefile	1.9592430423	.	.	.	.	.
tree	fungi	1228942at2759.faa.mafft.clipkit.treefile	1.1874573691666668	.	.	.	.	.
tree	fungi	1233814at2759.faa.mafft.clipkit.treefile	1.2368668181166667	.	.	.	.	.
tree	fungi	1236198at2759.faa.mafft.clipkit.treefile	0.88109471206666667	.	.	.	.	.
tree	fungi	1247641at2759.faa.mafft.clipkit.treefile	2.4070623566333333	.	.	.	.	.
tree	fungi	1248958at2759.faa.mafft.clipkit.treefile	1.7160970594833334	.	.	.	.	.
tree	fungi	1249159at2759.faa.mafft.clipkit.treefile	1.8278625061666667	.	.	.	.	.
tree	fungi	1251252at2759.faa.mafft.clipkit.treefile	1.8575754740333332	.	.	.	.	.
tree	fungi	1257440at2759.faa.mafft.clipkit.treefile	1.2248842076666666	.	.	.	.	.
tree	fungi	1258856at2759.faa.mafft.clipkit.treefile	2.3513809715999998	.	.	.	.	.
tree	fungi	1259741at2759.faa.mafft.clipkit.treefile	1.7091140141833334	.	.	.	.	.
tree	fungi	1260807at2759.faa.mafft.clipkit.treefile	1.2726000287166668	.	.	.	.	.
tree	fungi	1264469at2759.faa.mafft.clipkit.treefile	1.7403983337666664	.	.	.	.	.
tree	fungi	1269244at2759.faa.mafft.clipkit.treefile	2.7019701727333332	.	.	.	.	.
tree	fungi	1269649at2759.faa.mafft.clipkit.treefile	0.92841973329999994	.	.	.	.	.
tree	fungi	1275837at2759.faa.mafft.clipkit.treefile	0.88329687005000002	.	.	.	.	.
tree	fungi	1284731at2759.faa.mafft.clipkit.treefile	1.5660965197666665	.	.	.	.	.
tree	fungi	1287094at2759.faa.mafft.clipkit.treefile	1.8199826292500001	.	.	.	.	.
tree	fungi	1291729at2759.faa.mafft.clipkit.treefile	1.4466817786499999	.	.	.	.	.
tree	fungi	1304061at2759.faa.mafft.clipkit.treefile	1.0499829109999999	.	.	.	.	.
tree	fungi	1309031at2759.faa.mafft.clipkit.treefile	1.6498918788666668	.	.	.	.	.
tree	fungi	1312453at2759.faa.mafft.clipkit.treefile	2.0701154046166668	.	.	.	.	.
tree	fungi	1322299at2759.faa.mafft.clipkit.treefile	1.7382030066833334	.	.	.	.	.
tree	fungi	1323575at2759.faa.mafft.clipkit.treefile	1.4192993377000001	.	.	.	.	.
tree	fungi	1324510at2759.faa.mafft.clipkit.treefile	1.9042912286	.	.	.	.	.
tree	fungi	1338131at2759.faa.mafft.clipkit.treefile	0.88926734396666673	.	.	.	.	.
tree	fungi	1339553at2759.faa.mafft.clipkit.treefile	3.8227307621666666	.	.	.	.	.
tree	fungi	1342242at2759.faa.mafft.clipkit.treefile	2.2478961824666666	.	.	.	.	.
tree	fungi	1346165at2759.faa.mafft.clipkit.treefile	1.5381377030333334	.	.	.	.	.
tree	fungi	1346432at2759.faa.mafft.clipkit.treefile	1.8242959873666666	.	.	.	.	.
tree	fungi	1348942at2759.faa.mafft.clipkit.treefile	1.9330178566666667	.	.	.	.	.
tree	fungi	1355894at2759.faa.mafft.clipkit.treefile	1.4656256436666668	.	.	.	.	.
tree	fungi	1358374at2759.faa.mafft.clipkit.treefile	1.0313196649833334	.	.	.	.	.
tree	fungi	1370285at2759.faa.mafft.clipkit.treefile	2.9308160842333333	.	.	.	.	.
tree	fungi	1370304at2759.faa.mafft.clipkit.treefile	2.0270080942666664	.	.	.	.	.
tree	fungi	1379600at2759.faa.mafft.clipkit.treefile	2.5222326665166666	.	.	.	.	.
tree	fungi	1398309at2759.faa.mafft.clipkit.treefile	1.3159286488333333	.	.	.	.	.
tree	fungi	1404162at2759.faa.mafft.clipkit.treefile	2.2950556576499999	.	.	.	.	.
tree	fungi	1405073at2759.faa.mafft.clipkit.treefile	0.56698005393333328	.	.	.	.	.
tree	fungi	1405146at2759.faa.mafft.clipkit.treefile	2.5534263758166666	.	.	.	.	.
tree	fungi	1407446at2759.faa.mafft.clipkit.treefile	2.5546705174666666	.	.	.	.	.
tree	fungi	1421503at2759.faa.mafft.clipkit.treefile	1.04154781305	.	.	.	.	.
tree	fungi	1423847at2759.faa.mafft.clipkit.treefile	1.3994134043500002	.	.	.	.	.
tree	fungi	1426075at2759.faa.mafft.clipkit.treefile	1.353742497	.	.	.	.	.
tree	fungi	1428265at2759.faa.mafft.clipkit.treefile	2.4540076324166664	.	.	.	.	.
tree	fungi	1428854at2759.faa.mafft.clipkit.treefile	1.809298885	.	.	.	.	.
tree	fungi	1430056at2759.faa.mafft.clipkit.treefile	1.5903152410333332	.	.	.	.	.
tree	fungi	1432328at2759.faa.mafft.clipkit.treefile	1.6061558396166666	.	.	.	.	.
tree	fungi	1434266at2759.faa.mafft.clipkit.treefile	2.0716147451333331	.	.	.	.	.
tree	fungi	1440961at2759.faa.mafft.clipkit.treefile	1.9922240403833333	.	.	.	.	.
tree	fungi	1441854at2759.faa.mafft.clipkit.treefile	1.3500247480333334	.	.	.	.	.
tree	fungi	1442062at2759.faa.mafft.clipkit.treefile	1.9468005476999999	.	.	.	.	.
tree	fungi	1445102at2759.faa.mafft.clipkit.treefile	1.6960550121	.	.	.	.	.
tree	fungi	1450538at2759.faa.mafft.clipkit.treefile	1.6483110031333335	.	.	.	.	.
tree	fungi	1454155at2759.faa.mafft.clipkit.treefile	2.1199683111166667	.	.	.	.	.
tree	fungi	1459797at2759.faa.mafft.clipkit.treefile	1.7737424927333334	.	.	.	.	.
tree	fungi	1474000at2759.faa.mafft.clipkit.treefile	1.3450697236	.	.	.	.	.
tree	fungi	1488235at2759.faa.mafft.clipkit.treefile	1.3631212101833334	.	.	.	.	.
tree	fungi	1488436at2759.faa.mafft.clipkit.treefile	1.9124249436833332	.	.	.	.	.
tree	fungi	1490022at2759.faa.mafft.clipkit.treefile	1.3832529848666666	.	.	.	.	.
tree	fungi	1504863at2759.faa.mafft.clipkit.treefile	1.3730558627833334	.	.	.	.	.
tree	fungi	1513531at2759.faa.mafft.clipkit.treefile	2.3302991081499997	.	.	.	.	.
tree	fungi	1525971at2759.faa.mafft.clipkit.treefile	1.8854166314333334	.	.	.	.	.
tree	fungi	1530008at2759.faa.mafft.clipkit.treefile	0.62132120564999993	.	.	.	.	.
tree	fungi	1538526at2759.faa.mafft.clipkit.treefile	1.08588499795	.	.	.	.	.
tree	fungi	1552706at2759.faa.mafft.clipkit.treefile	1.7038317828166667	.	.	.	.	.
tree	fungi	1567796at2759.faa.mafft.clipkit.treefile	1.1597321682666666	.	.	.	.	.
tree	fungi	1575179at2759.faa.mafft.clipkit.treefile	2.1112810773333335	.	.	.	.	.
tree	fungi	1576404at2759.faa.mafft.clipkit.treefile	1.5409327806166666	.	.	.	.	.
tree	fungi	1588798at2759.faa.mafft.clipkit.treefile	1.7516138252833333	.	.	.	.	.
tree	fungi	1593937at2759.faa.mafft.clipkit.treefile	2.4161845832166668	.	.	.	.	.
tree	fungi	160593at2759.faa.mafft.clipkit.treefile	2.0728622560166667	.	.	.	.	.
tree	fungi	1617752at2759.faa.mafft.clipkit.treefile	1.9626710718	.	.	.	.	.
tree	fungi	1620056at2759.faa.mafft.clipkit.treefile	1.6820760470666665	.	.	.	.	.
tree	fungi	1623701at2759.faa.mafft.clipkit.treefile	2.1556886669333331	.	.	.	.	.
tree	fungi	1633672at2759.faa.mafft.clipkit.treefile	0.73818072280000002	.	.	.	.	.
tree	fungi	1645187at2759.faa.mafft.clipkit.treefile	1.1886460579833333	.	.	.	.	.
tree	fungi	166920at2759.faa.mafft.clipkit.treefile	1.5647173366	.	.	.	.	.
tree	fungi	176625at2759.faa.mafft.clipkit.treefile	2.1171702060166666	.	.	.	.	.
tree	fungi	179362at2759.faa.mafft.clipkit.treefile	2.6202570221833335	.	.	.	.	.
tree	fungi	245208at2759.faa.mafft.clipkit.treefile	1.0554564214666666	.	.	.	.	.
tree	fungi	257318at2759.faa.mafft.clipkit.treefile	1.9557765543166667	.	.	.	.	.
tree	fungi	270107at2759.faa.mafft.clipkit.treefile	1.7083795346333333	.	.	.	.	.
tree	fungi	271586at2759.faa.mafft.clipkit.treefile	2.5016503064333335	.	.	.	.	.
tree	fungi	290630at2759.faa.mafft.clipkit.treefile	0.9779664330333333	.	.	.	.	.
tree	fungi	293315at2759.faa.mafft.clipkit.treefile	1.7062271748833333	.	.	.	.	.
tree	fungi	296129at2759.faa.mafft.clipkit.treefile	0.85715003561666669	.	.	.	.	.
tree	fungi	299766at2759.faa.mafft.clipkit.treefile	2.4100964155666666	.	.	.	.	.
tree	fungi	320059at2759.faa.mafft.clipkit.treefile	0.43061995824999999	.	.	.	.	.
tree	fungi	324863at2759.faa.mafft.clipkit.treefile	1.8073867742666667	.	.	.	.	.
tree	fungi	325552at2759.faa.mafft.clipkit.treefile	1.3528638473000001	.	.	.	.	.
tree	fungi	330169at2759.faa.mafft.clipkit.treefile	2.4726628000833335	.	.	.	.	.
tree	fungi	331411at2759.faa.mafft.clipkit.treefile	1.9994514107833334	.	.	.	.	.
tree	fungi	341721at2759.faa.mafft.clipkit.treefile	2.1512080153499999	.	.	.	.	.
tree	fungi	355408at2759.faa.mafft.clipkit.treefile	1.3299476747833334	.	.	.	.	.
tree	fungi	369837at2759.faa.mafft.clipkit.treefile	1.5106617450666666	.	.	.	.	.
tree	fungi	375960at2759.faa.mafft.clipkit.treefile	1.6036635262833334	.	.	.	.	.
tree	fungi	383503at2759.faa.mafft.clipkit.treefile	2.10237585495	.	.	.	.	.
tree	fungi	388820at2759.faa.mafft.clipkit.treefile	1.5625355869500002	.	.	.	.	.
tree	fungi	390348at2759.faa.mafft.clipkit.treefile	1.1751107425999998	.	.	.	.	.
tree	fungi	392369at2759.faa.mafft.clipkit.treefile	0.73393571690000003	.	.	.	.	.
tree	fungi	39650at2759.faa.mafft.clipkit.treefile	1.4767476400166668	.	.	.	.	.
tree	fungi	396755at2759.faa.mafft.clipkit.treefile	2.0194051015500003	.	.	.	.	.
tree	fungi	418107at2759.faa.mafft.clipkit.treefile	1.1320642510166667	.	.	.	.	.
tree	fungi	426305at2759.faa.mafft.clipkit.treefile	1.1856797886499999	.	.	.	.	.
tree	fungi	450058at2759.faa.mafft.clipkit.treefile	3.1219117136000003	.	.	.	.	.
tree	fungi	453044at2759.faa.mafft.clipkit.treefile	1.3230674913166667	.	.	.	.	.
tree	fungi	457861at2759.faa.mafft.clipkit.treefile	1.7189284250500001	.	.	.	.	.
tree	fungi	464990at2759.faa.mafft.clipkit.treefile	1.2423353282833334	.	.	.	.	.
tree	fungi	513979at2759.faa.mafft.clipkit.treefile	1.9294564076666667	.	.	.	.	.
tree	fungi	543764at2759.faa.mafft.clipkit.treefile	1.9113473972166668	.	.	.	.	.
tree	fungi	551907at2759.faa.mafft.clipkit.treefile	1.8975466787666666	.	.	.	.	.
tree	fungi	570797at2759.faa.mafft.clipkit.treefile	2.6981725054833334	.	.	.	.	.
tree	fungi	582756at2759.faa.mafft.clipkit.treefile	2.67184026895	.	.	.	.	.
tree	fungi	598949at2759.faa.mafft.clipkit.treefile	2.3307203526166669	.	.	.	.	.
tree	fungi	621827at2759.faa.mafft.clipkit.treefile	1.3853764425999999	.	.	.	.	.
tree	fungi	655400at2759.faa.mafft.clipkit.treefile	1.9375648967833332	.	.	.	.	.
tree	fungi	664730at2759.faa.mafft.clipkit.treefile	0.85415653703333339	.	.	.	.	.
tree	fungi	671536at2759.faa.mafft.clipkit.treefile	1.3671247419999999	.	.	.	.	.
tree	fungi	671846at2759.faa.mafft.clipkit.treefile	2.7860984580166668	.	.	.	.	.
tree	fungi	673132at2759.faa.mafft.clipkit.treefile	0.97655528970000005	.	.	.	.	.
tree	fungi	674160at2759.faa.mafft.clipkit.treefile	2.2748499325333333	.	.	.	.	.
tree	fungi	674169at2759.faa.mafft.clipkit.treefile	2.5561211680666664	.	.	.	.	.
tree	fungi	687505at2759.faa.mafft.clipkit.treefile	1.3956554817333333	.	.	.	.	.
tree	fungi	692986at2759.faa.mafft.clipkit.treefile	2.6494836114	.	.	.	.	.
tree	fungi	708105at2759.faa.mafft.clipkit.treefile	2.4065317240333335	.	.	.	.	.
tree	fungi	719531at2759.faa.mafft.clipkit.treefile	1.0866927057333333	.	.	.	.	.
tree	fungi	720340at2759.faa.mafft.clipkit.treefile	1.7022160805833333	.	.	.	.	.
tree	fungi	722805at2759.faa.mafft.clipkit.treefile	2.0949469079666665	.	.	.	.	.
tree	fungi	734341at2759.faa.mafft.clipkit.treefile	1.8878039879166666	.	.	.	.	.
tree	fungi	734666at2759.faa.mafft.clipkit.treefile	0.91035529651666669	.	.	.	.	.
tree	fungi	736068at2759.faa.mafft.clipkit.treefile	1.9994502769166667	.	.	.	.	.
tree	fungi	751335at2759.faa.mafft.clipkit.treefile	2.4540147357166666	.	.	.	.	.
tree	fungi	759498at2759.faa.mafft.clipkit.treefile	1.3437464534666668	.	.	.	.	.
tree	fungi	761109at2759.faa.mafft.clipkit.treefile	1.7192752511	.	.	.	.	.
tree	fungi	768809at2759.faa.mafft.clipkit.treefile	1.2114932065666666	.	.	.	.	.
tree	fungi	774318at2759.faa.mafft.clipkit.treefile	2.2342124087499999	.	.	.	.	.
tree	fungi	777920at2759.faa.mafft.clipkit.treefile	1.2404715505499999	.	.	.	.	.
tree	fungi	779909at2759.faa.mafft.clipkit.treefile	0.58043422055000005	.	.	.	.	.
tree	fungi	801857at2759.faa.mafft.clipkit.treefile	1.59093001645	.	.	.	.	.
tree	fungi	814241at2759.faa.mafft.clipkit.treefile	1.8359275122833332	.	.	.	.	.
tree	fungi	817008at2759.faa.mafft.clipkit.treefile	0.72838425183333333	.	.	.	.	.
tree	fungi	834694at2759.faa.mafft.clipkit.treefile	1.7321459117	.	.	.	.	.
tree	fungi	836599at2759.faa.mafft.clipkit.treefile	1.6317255637333332	.	.	.	.	.
tree	fungi	83779at2759.faa.mafft.clipkit.treefile	1.8292370151333333	.	.	.	.	.
