metric	marker_cell_type	gene	column	value
cpm	AIIamacrine	SLC6A9_article	Microglia	122.0055306
raw	AIIamacrine	SLC6A9_article	Mullerglia	13293
cpm	AIIamacrine	SLC6A9_article	Mullerglia	140.8227758
raw	AIIamacrine	SLC6A9_article	Retinalganglioncell	1503
cpm	AIIamacrine	SLC6A9_article	Retinalganglioncell	71.52151677
raw	AIIamacrine	SLC6A9_article	Rod	102166
cpm	AIIamacrine	SLC6A9_article	Rod	247.0488805
raw	AIIamacrine	SLC6A9	AIIamacrine	673
cpm	AIIamacrine	SLC6A9	AIIamacrine	56.85656845
raw	AIIamacrine	SLC6A9	Astrocyte	519
cpm	AIIamacrine	SLC6A9	Astrocyte	68.91591939
raw	AIIamacrine	SLC6A9	Cone	5672
cpm	AIIamacrine	SLC6A9	Cone	117.1815531
raw	AIIamacrine	SLC6A9	GABAamacrine	1560
cpm	AIIamacrine	SLC6A9	GABAamacrine	42.14417116
raw	AIIamacrine	SLC6A9	Horizontal	1512
cpm	AIIamacrine	SLC6A9	Horizontal	47.78637518
raw	AIIamacrine	SLC6A9	Microglia	600
cpm	AIIamacrine	SLC6A9	Microglia	73.57117423
raw	AIIamacrine	SLC6A9	Mullerglia	6541
cpm	AIIamacrine	SLC6A9	Mullerglia	69.29374682
raw	AIIamacrine	SLC6A9	Retinalganglioncell	945
cpm	AIIamacrine	SLC6A9	Retinalganglioncell	44.96861833
raw	AIIamacrine	SLC6A9	Rod	66216
cpm	AIIamacrine	SLC6A9	Rod	160.1177365
raw	Cone	GNAT2	AIIamacrine	386
cpm	Cone	GNAT2	AIIamacrine	32.61015664
raw	Cone	GNAT2	Astrocyte	140
cpm	Cone	GNAT2	Astrocyte	18.59003606
raw	Cone	GNAT2	Cone	3004
cpm	Cone	GNAT2	Cone	62.06159828
raw	Cone	GNAT2	GABAamacrine	1505
cpm	Cone	GNAT2	GABAamacrine	40.65831897
raw	Cone	GNAT2	Horizontal	1349
cpm	Cone	GNAT2	Horizontal	42.63480167
raw	Cone	GNAT2	Microglia	221
cpm	Cone	GNAT2	Microglia	27.09871584
raw	Cone	GNAT2	Mullerglia	2343
cpm	Cone	GNAT2	Mullerglia	24.8211663
raw	Cone	GNAT2	Retinalganglioncell	613
cpm	Cone	GNAT2	Retinalganglioncell	29.17011961
raw	Cone	GNAT2	Rod	3421
cpm	Cone	GNAT2	Rod	8.272362823
raw	Mullerglia	GLUL	AIIamacrine	0
cpm	Mullerglia	GLUL	AIIamacrine	0
raw	Mullerglia	GLUL	Astrocyte	0
cpm	Mullerglia	GLUL	Astrocyte	0
raw	Mullerglia	GLUL	Cone	0
cpm	Mullerglia	GLUL	Cone	0
raw	Mullerglia	GLUL	GABAamacrine	0
cpm	Mullerglia	GLUL	GABAamacrine	0
raw	Mullerglia	GLUL	Horizontal	0
cpm	Mullerglia	GLUL	Horizontal	0
raw	Mullerglia	GLUL	Microglia	0
cpm	Mullerglia	GLUL	Microglia	0
raw	Mullerglia	GLUL	Mullerglia	0
cpm	Mullerglia	GLUL	Mullerglia	0
raw	Mullerglia	GLUL	Retinalganglioncell	0
cpm	Mullerglia	GLUL	Retinalganglioncell	0
raw	Mullerglia	GLUL	Rod	0
cpm	Mullerglia	GLUL	Rod	0
raw	Mullerglia	VIM	AIIamacrine	25
cpm	Mullerglia	VIM	AIIamacrine	2.112056777
raw	Mullerglia	VIM	Astrocyte	129
cpm	Mullerglia	VIM	Astrocyte	17.12939037
raw	Mullerglia	VIM	Cone	34
cpm	Mullerglia	VIM	Cone	0.7024282096
raw	Mullerglia	VIM	GABAamacrine	74
cpm	Mullerglia	VIM	GABAamacrine	1.999146581
raw	Mullerglia	VIM	Horizontal	182
cpm	Mullerglia	VIM	Horizontal	5.752063679
raw	Mullerglia	VIM	Microglia	116
cpm	Mullerglia	VIM	Microglia	14.22376035
raw	Mullerglia	VIM	Mullerglia	1307
cpm	Mullerglia	VIM	Mullerglia	13.84603686
raw	Mullerglia	VIM	Retinalganglioncell	43
cpm	Mullerglia	VIM	Retinalganglioncell	2.046191099
raw	Mullerglia	VIM	Rod	244
cpm	Mullerglia	VIM	Rod	0.5900194472
raw	GABAamacrine	GAD2_article	AIIamacrine	126
cpm	GABAamacrine	GAD2_article	AIIamacrine	10.64476616
raw	GABAamacrine	GAD2_article	Astrocyte	71
cpm	GABAamacrine	GAD2_article	Astrocyte	9.427804002
raw	GABAamacrine	GAD2_article	Cone	244
cpm	GABAamacrine	GAD2_article	Cone	5.040955387
raw	GABAamacrine	GAD2_article	GABAamacrine	2632
cpm	GABAamacrine	GAD2_article	GABAamacrine	71.10478108
raw	GABAamacrine	GAD2_article	Horizontal	342
cpm	GABAamacrine	GAD2_article	Horizontal	10.80882296
raw	GABAamacrine	GAD2_article	Microglia	85
cpm	GABAamacrine	GAD2_article	Microglia	10.42258302
raw	GABAamacrine	GAD2_article	Mullerglia	1828
cpm	GABAamacrine	GAD2_article	Mullerglia	19.36538284
raw	GABAamacrine	GAD2_article	Retinalganglioncell	201
cpm	GABAamacrine	GAD2_article	Retinalganglioncell	9.56475374
raw	GABAamacrine	GAD2_article	Rod	1135
cpm	GABAamacrine	GAD2_article	Rod	2.744557675
raw	GABAamacrine	GAD2	AIIamacrine	0
cpm	GABAamacrine	GAD2	AIIamacrine	0
raw	GABAamacrine	GAD2	Astrocyte	0
cpm	GABAamacrine	GAD2	Astrocyte	0
raw	GABAamacrine	GAD2	Cone	0
cpm	GABAamacrine	GAD2	Cone	0
raw	GABAamacrine	GAD2	GABAamacrine	0
cpm	GABAamacrine	GAD2	GABAamacrine	0
raw	GABAamacrine	GAD2	Horizontal	0
cpm	GABAamacrine	GAD2	Horizontal	0
raw	GABAamacrine	GAD2	Microglia	0
cpm	GABAamacrine	GAD2	Microglia	0
raw	GABAamacrine	GAD2	Mullerglia	0
cpm	GABAamacrine	GAD2	Mullerglia	0
raw	GABAamacrine	GAD2	Retinalganglioncell	0
cpm	GABAamacrine	GAD2	Retinalganglioncell	0
raw	GABAamacrine	GAD2	Rod	0
cpm	GABAamacrine	GAD2	Rod	0
raw	Retinalganglioncell	SLC17A6	AIIamacrine	0
cpm	Retinalganglioncell	SLC17A6	AIIamacrine	0
raw	Retinalganglioncell	SLC17A6	Astrocyte	0
cpm	Retinalganglioncell	SLC17A6	Astrocyte	0
raw	Retinalganglioncell	SLC17A6	Cone	0
cpm	Retinalganglioncell	SLC17A6	Cone	0
raw	Retinalganglioncell	SLC17A6	GABAamacrine	0
cpm	Retinalganglioncell	SLC17A6	GABAamacrine	0
raw	Retinalganglioncell	SLC17A6	Horizontal	0
cpm	Retinalganglioncell	SLC17A6	Horizontal	0
raw	Retinalganglioncell	SLC17A6	Microglia	0
cpm	Retinalganglioncell	SLC17A6	Microglia	0
raw	Retinalganglioncell	SLC17A6	Mullerglia	0
cpm	Retinalganglioncell	SLC17A6	Mullerglia	0
raw	Retinalganglioncell	SLC17A6	Retinalganglioncell	0
cpm	Retinalganglioncell	SLC17A6	Retinalganglioncell	0
raw	Retinalganglioncell	SLC17A6	Rod	0
cpm	Retinalganglioncell	SLC17A6	Rod	0
raw	Astrocyte	SLC1A2	AIIamacrine	153
cpm	Astrocyte	SLC1A2	AIIamacrine	12.92578748
raw	Astrocyte	SLC1A2	Astrocyte	129
cpm	Astrocyte	SLC1A2	Astrocyte	17.12939037
raw	Astrocyte	SLC1A2	Cone	941
cpm	Astrocyte	SLC1A2	Cone	19.44073368
raw	Astrocyte	SLC1A2	GABAamacrine	710
cpm	Astrocyte	SLC1A2	GABAamacrine	19.18100098
raw	Astrocyte	SLC1A2	Horizontal	266
cpm	Astrocyte	SLC1A2	Horizontal	8.4068623
raw	Astrocyte	SLC1A2	Microglia	111
cpm	Astrocyte	SLC1A2	Microglia	13.61066723
raw	Astrocyte	SLC1A2	Mullerglia	1596
cpm	Astrocyte	SLC1A2	Mullerglia	16.90763185
raw	Astrocyte	SLC1A2	Retinalganglioncell	234
cpm	Astrocyte	SLC1A2	Retinalganglioncell	11.13508644
raw	Astrocyte	SLC1A2	Rod	18751
cpm	Astrocyte	SLC1A2	Rod	45.34202727
raw	Retinalganglioncell	THY1	AIIamacrine	0
cpm	Retinalganglioncell	THY1	AIIamacrine	0
raw	Retinalganglioncell	THY1	Astrocyte	0
cpm	Retinalganglioncell	THY1	Astrocyte	0
raw	Retinalganglioncell	THY1	Cone	0
cpm	Retinalganglioncell	THY1	Cone	0
raw	Retinalganglioncell	THY1	GABAamacrine	0
cpm	Retinalganglioncell	THY1	GABAamacrine	0
raw	Retinalganglioncell	THY1	Horizontal	0
cpm	Retinalganglioncell	THY1	Horizontal	0
raw	Retinalganglioncell	THY1	Microglia	0
cpm	Retinalganglioncell	THY1	Microglia	0
raw	Retinalganglioncell	THY1	Mullerglia	0
cpm	Retinalganglioncell	THY1	Mullerglia	0
raw	Retinalganglioncell	THY1	Retinalganglioncell	0
cpm	Retinalganglioncell	THY1	Retinalganglioncell	0
raw	Retinalganglioncell	THY1	Rod	0
cpm	Retinalganglioncell	THY1	Rod	0
raw	Cone	PDE6H	AIIamacrine	75
cpm	Cone	PDE6H	AIIamacrine	6.336170332
raw	Cone	PDE6H	Astrocyte	17
cpm	Cone	PDE6H	Astrocyte	2.257361521
raw	Cone	PDE6H	Cone	634
cpm	Cone	PDE6H	Cone	13.09822014
raw	Cone	PDE6H	GABAamacrine	423
cpm	Cone	PDE6H	GABAamacrine	11.4275541
raw	Cone	PDE6H	Horizontal	53
cpm	Cone	PDE6H	Horizontal	1.675051511
raw	Cone	PDE6H	Microglia	84
cpm	Cone	PDE6H	Microglia	10.29996439
raw	Cone	PDE6H	Mullerglia	658
cpm	Cone	PDE6H	Mullerglia	6.970690324
raw	Cone	PDE6H	Retinalganglioncell	67
cpm	Cone	PDE6H	Retinalganglioncell	3.188251247
raw	Cone	PDE6H	Rod	997
cpm	Cone	PDE6H	Rod	2.410858151
raw	Microglia	TMEM119	AIIamacrine	47
cpm	Microglia	TMEM119	AIIamacrine	3.970666742
raw	Microglia	TMEM119	Astrocyte	59
cpm	Microglia	TMEM119	Astrocyte	7.834372339
raw	Microglia	TMEM119	Cone	80
cpm	Microglia	TMEM119	Cone	1.652772258
raw	Microglia	TMEM119	GABAamacrine	108
cpm	Microglia	TMEM119	GABAamacrine	2.917673388
raw	Microglia	TMEM119	Horizontal	65
cpm	Microglia	TMEM119	Horizontal	2.054308457
raw	Microglia	TMEM119	Microglia	25
cpm	Microglia	TMEM119	Microglia	3.065465593
raw	Microglia	TMEM119	Mullerglia	266
cpm	Microglia	TMEM119	Mullerglia	2.817938641
raw	Microglia	TMEM119	Retinalganglioncell	56
cpm	Microglia	TMEM119	Retinalganglioncell	2.664807012
raw	Microglia	TMEM119	Rod	618
cpm	Microglia	TMEM119	Rod	1.494393518
raw	Rod	NRL	AIIamacrine	0
cpm	Rod	NRL	AIIamacrine	0
raw	Rod	NRL	Astrocyte	0
cpm	Rod	NRL	Astrocyte	0
raw	Rod	NRL	Cone	0
cpm	Rod	NRL	Cone	0
raw	Rod	NRL	GABAamacrine	0
cpm	Rod	NRL	GABAamacrine	0
raw	Rod	NRL	Horizontal	0
cpm	Rod	NRL	Horizontal	0
raw	Rod	NRL	Microglia	0
cpm	Rod	NRL	Microglia	0
raw	Rod	NRL	Mullerglia	0
cpm	Rod	NRL	Mullerglia	0
raw	Rod	NRL	Retinalganglioncell	0
cpm	Rod	NRL	Retinalganglioncell	0
raw	Rod	NRL	Rod	0
cpm	Rod	NRL	Rod	0
raw	AIIamacrine	GJD2	AIIamacrine	0
cpm	AIIamacrine	GJD2	AIIamacrine	0
raw	AIIamacrine	GJD2	Astrocyte	0
cpm	AIIamacrine	GJD2	Astrocyte	0
raw	AIIamacrine	GJD2	Cone	0
cpm	AIIamacrine	GJD2	Cone	0
raw	AIIamacrine	GJD2	GABAamacrine	0
cpm	AIIamacrine	GJD2	GABAamacrine	0
raw	AIIamacrine	GJD2	Horizontal	0
cpm	AIIamacrine	GJD2	Horizontal	0
raw	AIIamacrine	GJD2	Microglia	0
cpm	AIIamacrine	GJD2	Microglia	0
raw	AIIamacrine	GJD2	Mullerglia	0
cpm	AIIamacrine	GJD2	Mullerglia	0
raw	AIIamacrine	GJD2	Retinalganglioncell	0
cpm	AIIamacrine	GJD2	Retinalganglioncell	0
raw	AIIamacrine	GJD2	Rod	0
cpm	AIIamacrine	GJD2	Rod	0
raw	Horizontal	ONECUT1_article	AIIamacrine	278
cpm	Horizontal	ONECUT1_article	AIIamacrine	23.48607137
raw	Horizontal	ONECUT1_article	Astrocyte	75
cpm	Horizontal	ONECUT1_article	Astrocyte	9.958947889
raw	Horizontal	ONECUT1_article	Cone	725
cpm	Horizontal	ONECUT1_article	Cone	14.97824859
raw	Horizontal	ONECUT1_article	GABAamacrine	371
cpm	Horizontal	ONECUT1_article	GABAamacrine	10.0227484
raw	Horizontal	ONECUT1_article	Horizontal	3693
cpm	Horizontal	ONECUT1_article	Horizontal	116.7163251
raw	Horizontal	ONECUT1_article	Microglia	150
cpm	Horizontal	ONECUT1_article	Microglia	18.39279356
raw	Horizontal	ONECUT1_article	Mullerglia	874
cpm	Horizontal	ONECUT1_article	Mullerglia	9.25894125
raw	Horizontal	ONECUT1_article	Retinalganglioncell	873
cpm	Horizontal	ONECUT1_article	Retinalganglioncell	41.54243788
raw	Horizontal	ONECUT1_article	Rod	3330
cpm	Horizontal	ONECUT1_article	Rod	8.052314587
raw	Horizontal	ONECUT1	AIIamacrine	192
cpm	Horizontal	ONECUT1	AIIamacrine	16.22059605
raw	Horizontal	ONECUT1	Astrocyte	49
cpm	Horizontal	ONECUT1	Astrocyte	6.506512621
raw	Horizontal	ONECUT1	Cone	403
cpm	Horizontal	ONECUT1	Cone	8.325840249
raw	Horizontal	ONECUT1	GABAamacrine	211
cpm	Horizontal	ONECUT1	GABAamacrine	5.700269304
raw	Horizontal	ONECUT1	Horizontal	2011
cpm	Horizontal	ONECUT1	Horizontal	63.55714318
raw	Horizontal	ONECUT1	Microglia	83
cpm	Horizontal	ONECUT1	Microglia	10.17734577
raw	Horizontal	ONECUT1	Mullerglia	610
cpm	Horizontal	ONECUT1	Mullerglia	6.462190118
raw	Horizontal	ONECUT1	Retinalganglioncell	435
cpm	Horizontal	ONECUT1	Retinalganglioncell	20.69984018
raw	Horizontal	ONECUT1	Rod	2392
cpm	Horizontal	ONECUT1	Rod	5.784125073
raw	Rod	NR2E3	AIIamacrine	0
cpm	Rod	NR2E3	AIIamacrine	0
raw	Rod	NR2E3	Astrocyte	0
cpm	Rod	NR2E3	Astrocyte	0
raw	Rod	NR2E3	Cone	0
cpm	Rod	NR2E3	Cone	0
raw	Rod	NR2E3	GABAamacrine	0
cpm	Rod	NR2E3	GABAamacrine	0
raw	Rod	NR2E3	Horizontal	0
cpm	Rod	NR2E3	Horizontal	0
raw	Rod	NR2E3	Microglia	0
cpm	Rod	NR2E3	Microglia	0
raw	Rod	NR2E3	Mullerglia	0
cpm	Rod	NR2E3	Mullerglia	0
raw	Rod	NR2E3	Retinalganglioncell	0
cpm	Rod	NR2E3	Retinalganglioncell	0
raw	Rod	NR2E3	Rod	0
cpm	Rod	NR2E3	Rod	0
raw	Mullerglia	RLBP1_article	AIIamacrine	245
cpm	Mullerglia	RLBP1_article	AIIamacrine	20.69815642
raw	Mullerglia	RLBP1_article	Astrocyte	379
cpm	Mullerglia	RLBP1_article	Astrocyte	50.32588333
raw	Mullerglia	RLBP1_article	Cone	915
cpm	Mullerglia	RLBP1_article	Cone	18.9035827
raw	Mullerglia	RLBP1_article	GABAamacrine	621
cpm	Mullerglia	RLBP1_article	GABAamacrine	16.77662198
raw	Mullerglia	RLBP1_article	Horizontal	533
cpm	Mullerglia	RLBP1_article	Horizontal	16.84532935
raw	Mullerglia	RLBP1_article	Microglia	265
cpm	Mullerglia	RLBP1_article	Microglia	32.49393528
raw	Mullerglia	RLBP1_article	Mullerglia	6777
cpm	Mullerglia	RLBP1_article	Mullerglia	71.79387283
raw	Mullerglia	RLBP1_article	Retinalganglioncell	413
cpm	Mullerglia	RLBP1_article	Retinalganglioncell	19.65295171
raw	Mullerglia	RLBP1_article	Rod	9246
cpm	Mullerglia	RLBP1_article	Rod	22.35786807
raw	Mullerglia	RLBP1_gene	AIIamacrine	245
cpm	Mullerglia	RLBP1_gene	AIIamacrine	20.69815642
raw	Mullerglia	RLBP1_gene	Astrocyte	379
cpm	Mullerglia	RLBP1_gene	Astrocyte	50.32588333
raw	Mullerglia	RLBP1_gene	Cone	915
cpm	Mullerglia	RLBP1_gene	Cone	18.9035827
raw	Mullerglia	RLBP1_gene	GABAamacrine	621
cpm	Mullerglia	RLBP1_gene	GABAamacrine	16.77662198
raw	Mullerglia	RLBP1_gene	Horizontal	533
cpm	Mullerglia	RLBP1_gene	Horizontal	16.84532935
raw	Mullerglia	RLBP1_gene	Microglia	265
cpm	Mullerglia	RLBP1_gene	Microglia	32.49393528
raw	Mullerglia	RLBP1_gene	Mullerglia	6777
cpm	Mullerglia	RLBP1_gene	Mullerglia	71.79387283
raw	Mullerglia	RLBP1_gene	Retinalganglioncell	413
cpm	Mullerglia	RLBP1_gene	Retinalganglioncell	19.65295171
raw	Mullerglia	RLBP1_gene	Rod	9246
cpm	Mullerglia	RLBP1_gene	Rod	22.35786807
raw	Mullerglia	RLBP1	AIIamacrine	0
cpm	Mullerglia	RLBP1	AIIamacrine	0
raw	Mullerglia	RLBP1	Astrocyte	0
cpm	Mullerglia	RLBP1	Astrocyte	0
raw	Mullerglia	RLBP1	Cone	0
cpm	Mullerglia	RLBP1	Cone	0
raw	Mullerglia	RLBP1	GABAamacrine	0
cpm	Mullerglia	RLBP1	GABAamacrine	0
raw	Mullerglia	RLBP1	Horizontal	0
cpm	Mullerglia	RLBP1	Horizontal	0
raw	Mullerglia	RLBP1	Microglia	0
cpm	Mullerglia	RLBP1	Microglia	0
raw	Mullerglia	RLBP1	Mullerglia	0
cpm	Mullerglia	RLBP1	Mullerglia	0
raw	Mullerglia	RLBP1	Retinalganglioncell	0
cpm	Mullerglia	RLBP1	Retinalganglioncell	0
raw	Mullerglia	RLBP1	Rod	0
cpm	Mullerglia	RLBP1	Rod	0
raw	Rod	CNGB1	AIIamacrine	232
cpm	Rod	CNGB1	AIIamacrine	19.5998869
raw	Rod	CNGB1	Astrocyte	246
cpm	Rod	CNGB1	Astrocyte	32.66534908
raw	Rod	CNGB1	Cone	3118
cpm	Rod	CNGB1	Cone	64.41679875
raw	Rod	CNGB1	GABAamacrine	505
cpm	Rod	CNGB1	GABAamacrine	13.64282464
raw	Rod	CNGB1	Horizontal	593
cpm	Rod	CNGB1	Horizontal	18.74161408
raw	Rod	CNGB1	Microglia	295
cpm	Rod	CNGB1	Microglia	36.17249399
raw	Rod	CNGB1	Mullerglia	3604
cpm	Rod	CNGB1	Mullerglia	38.17989047
raw	Rod	CNGB1	Retinalganglioncell	315
cpm	Rod	CNGB1	Retinalganglioncell	14.98953944
raw	Rod	CNGB1	Rod	52801
cpm	Rod	CNGB1	Rod	127.6787575
raw	Horizontal	LHX1	AIIamacrine	0
cpm	Horizontal	LHX1	AIIamacrine	0
raw	Horizontal	LHX1	Astrocyte	0
cpm	Horizontal	LHX1	Astrocyte	0
raw	Horizontal	LHX1	Cone	0
cpm	Horizontal	LHX1	Cone	0
raw	Horizontal	LHX1	GABAamacrine	0
cpm	Horizontal	LHX1	GABAamacrine	0
raw	Horizontal	LHX1	Horizontal	0
cpm	Horizontal	LHX1	Horizontal	0
raw	Horizontal	LHX1	Microglia	0
cpm	Horizontal	LHX1	Microglia	0
raw	Horizontal	LHX1	Mullerglia	0
cpm	Horizontal	LHX1	Mullerglia	0
raw	Horizontal	LHX1	Retinalganglioncell	0
cpm	Horizontal	LHX1	Retinalganglioncell	0
raw	Horizontal	LHX1	Rod	0
cpm	Horizontal	LHX1	Rod	0
raw	Astrocyte	GFAP	AIIamacrine	0
cpm	Astrocyte	GFAP	AIIamacrine	0
raw	Astrocyte	GFAP	Astrocyte	0
cpm	Astrocyte	GFAP	Astrocyte	0
raw	Astrocyte	GFAP	Cone	0
cpm	Astrocyte	GFAP	Cone	0
raw	Astrocyte	GFAP	GABAamacrine	0
cpm	Astrocyte	GFAP	GABAamacrine	0
raw	Astrocyte	GFAP	Horizontal	0
cpm	Astrocyte	GFAP	Horizontal	0
raw	Astrocyte	GFAP	Microglia	0
cpm	Astrocyte	GFAP	Microglia	0
raw	Astrocyte	GFAP	Mullerglia	0
cpm	Astrocyte	GFAP	Mullerglia	0
raw	Astrocyte	GFAP	Retinalganglioncell	0
cpm	Astrocyte	GFAP	Retinalganglioncell	0
raw	Astrocyte	GFAP	Rod	0
cpm	Astrocyte	GFAP	Rod	0
raw	Horizontal	C1QL1	AIIamacrine	87
cpm	Horizontal	C1QL1	AIIamacrine	7.349957586
raw	Horizontal	C1QL1	Astrocyte	184
cpm	Horizontal	C1QL1	Astrocyte	24.43261882
raw	Horizontal	C1QL1	Cone	466
cpm	Horizontal	C1QL1	Cone	9.627398402
raw	Horizontal	C1QL1	GABAamacrine	635
cpm	Horizontal	C1QL1	GABAamacrine	17.1548389
raw	Horizontal	C1QL1	Horizontal	1040
cpm	Horizontal	C1QL1	Horizontal	32.86893531
raw	Horizontal	C1QL1	Microglia	114
cpm	Horizontal	C1QL1	Microglia	13.9785231
raw	Horizontal	C1QL1	Mullerglia	1898
cpm	Horizontal	C1QL1	Mullerglia	20.10694564
raw	Horizontal	C1QL1	Retinalganglioncell	246
cpm	Horizontal	C1QL1	Retinalganglioncell	11.70611652
raw	Horizontal	C1QL1	Rod	6729
cpm	Horizontal	C1QL1	Rod	16.27147894
raw	Mullerglia	SOX9	AIIamacrine	542
cpm	Mullerglia	SOX9	AIIamacrine	45.78939094
raw	Mullerglia	SOX9	Astrocyte	395
cpm	Mullerglia	SOX9	Astrocyte	52.45045888
raw	Mullerglia	SOX9	Cone	115
cpm	Mullerglia	SOX9	Cone	2.375860121
raw	Mullerglia	SOX9	GABAamacrine	695
cpm	Mullerglia	SOX9	GABAamacrine	18.77576856
raw	Mullerglia	SOX9	Horizontal	186
cpm	Mullerglia	SOX9	Horizontal	5.878482661
raw	Mullerglia	SOX9	Microglia	115
cpm	Mullerglia	SOX9	Microglia	14.10114173
raw	Mullerglia	SOX9	Mullerglia	4603
cpm	Mullerglia	SOX9	Mullerglia	48.763051
raw	Mullerglia	SOX9	Retinalganglioncell	267
cpm	Mullerglia	SOX9	Retinalganglioncell	12.70541915
raw	Mullerglia	SOX9	Rod	477
cpm	Mullerglia	SOX9	Rod	1.153439657
raw	Astrocyte	AQP4	AIIamacrine	0
cpm	Astrocyte	AQP4	AIIamacrine	0
raw	Astrocyte	AQP4	Astrocyte	0
cpm	Astrocyte	AQP4	Astrocyte	0
raw	Astrocyte	AQP4	Cone	0
cpm	Astrocyte	AQP4	Cone	0
raw	Astrocyte	AQP4	GABAamacrine	0
cpm	Astrocyte	AQP4	GABAamacrine	0
raw	Astrocyte	AQP4	Horizontal	0
cpm	Astrocyte	AQP4	Horizontal	0
raw	Astrocyte	AQP4	Microglia	0
cpm	Astrocyte	AQP4	Microglia	0
raw	Astrocyte	AQP4	Mullerglia	0
cpm	Astrocyte	AQP4	Mullerglia	0
raw	Astrocyte	AQP4	Retinalganglioncell	0
cpm	Astrocyte	AQP4	Retinalganglioncell	0
raw	Astrocyte	AQP4	Rod	0
cpm	Astrocyte	AQP4	Rod	0
raw	Horizontal	ONECUT2	AIIamacrine	0
cpm	Horizontal	ONECUT2	AIIamacrine	0
raw	Horizontal	ONECUT2	Astrocyte	0
cpm	Horizontal	ONECUT2	Astrocyte	0
raw	Horizontal	ONECUT2	Cone	0
cpm	Horizontal	ONECUT2	Cone	0
raw	Horizontal	ONECUT2	GABAamacrine	0
cpm	Horizontal	ONECUT2	GABAamacrine	0
raw	Horizontal	ONECUT2	Horizontal	0
cpm	Horizontal	ONECUT2	Horizontal	0
raw	Horizontal	ONECUT2	Microglia	0
cpm	Horizontal	ONECUT2	Microglia	0
raw	Horizontal	ONECUT2	Mullerglia	0
cpm	Horizontal	ONECUT2	Mullerglia	0
raw	Horizontal	ONECUT2	Retinalganglioncell	0
cpm	Horizontal	ONECUT2	Retinalganglioncell	0
raw	Horizontal	ONECUT2	Rod	0
cpm	Horizontal	ONECUT2	Rod	0
raw	GABAamacrine	GAD1	AIIamacrine	0
cpm	GABAamacrine	GAD1	AIIamacrine	0
raw	GABAamacrine	GAD1	Astrocyte	0
cpm	GABAamacrine	GAD1	Astrocyte	0
raw	GABAamacrine	GAD1	Cone	0
cpm	GABAamacrine	GAD1	Cone	0
raw	GABAamacrine	GAD1	GABAamacrine	0
cpm	GABAamacrine	GAD1	GABAamacrine	0
raw	GABAamacrine	GAD1	Horizontal	0
cpm	GABAamacrine	GAD1	Horizontal	0
raw	GABAamacrine	GAD1	Microglia	0
cpm	GABAamacrine	GAD1	Microglia	0
raw	GABAamacrine	GAD1	Mullerglia	0
cpm	GABAamacrine	GAD1	Mullerglia	0
