reference	input_column	pearson	ref_total_lines	ref_sampled_bins	stride
Mullerglia	Cone	0.8443686671	92966728	1471122	63
Mullerglia	GABAamacrine	0.8648119221	92966728	1471122	63
Mullerglia	Horizontal	0.8542296166	92966728	1471122	63
Mullerglia	Microglia	0.9398102169	92966728	1471122	63
Mullerglia	Mullerglia	0.9924915154	92966728	1471122	63
Mullerglia	Retinalganglioncell	0.8274640008	92966728	1471122	63
Mullerglia	Rod	0.8560760889	92966728	1471122	63
Retinalganglioncell	AIIamacrine	0.8702521518	20648756	1582891	13
Retinalganglioncell	Astrocyte	0.8266616363	20648756	1582891	13
Retinalganglioncell	Cone	0.7963219707	20648756	1582891	13
Retinalganglioncell	GABAamacrine	0.9003475434	20648756	1582891	13
Retinalganglioncell	Horizontal	0.8620791776	20648756	1582891	13
Retinalganglioncell	Microglia	0.8406701438	20648756	1582891	13
Retinalganglioncell	Mullerglia	0.8229140585	20648756	1582891	13
Retinalganglioncell	Retinalganglioncell	0.9837620705	20648756	1582891	13
Retinalganglioncell	Rod	0.7802584428	20648756	1582891	13
Rod	AIIamacrine	0.8346771643	406818074	1317202	308
Rod	Astrocyte	0.8527099629	406818074	1317202	308
Rod	Cone	0.9466298446	406818074	1317202	308
Rod	GABAamacrine	0.8314981155	406818074	1317202	308
Rod	Horizontal	0.8390487966	406818074	1317202	308
Rod	Microglia	0.9112004694	406818074	1317202	308
Rod	Mullerglia	0.861432968	406818074	1317202	308
Rod	Retinalganglioncell	0.7891145822	406818074	1317202	308
Rod	Rod	0.9944726239	406818074	1317202	308
metric	target	value
column_best	AIIamacrine	AIIamacrine	0.9895856558	0.9269034635
column_best	Astrocyte	Astrocyte	0.9937142452	0.9499224941
column_best	Cone	Cone	0.992571738	0.9466298446
column_best	GABAamacrine	GABAamacrine	0.9846038543	0.9312622451
column_best	Horizontal	Horizontal	0.9893167857	0.9093089742
column_best	Microglia	Microglia	0.9924252185	0.9398102169
column_best	Mullerglia	Mullerglia	0.9924915154	0.9505953397
column_best	Retinalganglioncell	Retinalganglioncell	0.9837620705	0.900193004
column_best	Rod	Rod	0.9944726239	0.9459410503
ref_best	AIIamacrine	AIIamacrine	0.9895856558	0.9312622451
ref_best	Astrocyte	Astrocyte	0.9937142452	0.9505953397
ref_best	Cone	Cone	0.992571738	0.9459410503
ref_best	GABAamacrine	GABAamacrine	0.9846038543	0.9269034635
ref_best	Horizontal	Horizontal	0.9893167857	0.9108091073
ref_best	Microglia	Microglia	0.9924252185	0.9402953005
ref_best	Mullerglia	Mullerglia	0.9924915154	0.9499224941
ref_best	Retinalganglioncell	Retinalganglioncell	0.9837620705	0.9003475434
ref_best	Rod	Rod	0.9944726239	0.9466298446
