metric	marker_cell_type	gene	column	value
cpm	Retinalganglioncell	SLC17A6	Retinalganglioncell	19.93846675
raw	Retinalganglioncell	SLC17A6	Rod	409
cpm	Retinalganglioncell	SLC17A6	Rod	0.9890080078
raw	Astrocyte	SLC1A2	AIIamacrine	503
cpm	Astrocyte	SLC1A2	AIIamacrine	42.49458236
raw	Astrocyte	SLC1A2	Astrocyte	380
cpm	Astrocyte	SLC1A2	Astrocyte	50.4586693
raw	Astrocyte	SLC1A2	Cone	3826
cpm	Astrocyte	SLC1A2	Cone	79.04383324
raw	Astrocyte	SLC1A2	GABAamacrine	1932
cpm	Astrocyte	SLC1A2	GABAamacrine	52.19393505
raw	Astrocyte	SLC1A2	Horizontal	775
cpm	Astrocyte	SLC1A2	Horizontal	24.49367776
raw	Astrocyte	SLC1A2	Microglia	328
cpm	Astrocyte	SLC1A2	Microglia	40.21890858
raw	Astrocyte	SLC1A2	Mullerglia	3934
cpm	Astrocyte	SLC1A2	Mullerglia	41.67582938
raw	Astrocyte	SLC1A2	Retinalganglioncell	882
cpm	Astrocyte	SLC1A2	Retinalganglioncell	41.97071044
raw	Astrocyte	SLC1A2	Rod	50886
cpm	Astrocyte	SLC1A2	Rod	123.0480721
raw	Retinalganglioncell	THY1	AIIamacrine	151
cpm	Retinalganglioncell	THY1	AIIamacrine	12.75682294
raw	Retinalganglioncell	THY1	Astrocyte	144
cpm	Retinalganglioncell	THY1	Astrocyte	19.12117995
raw	Retinalganglioncell	THY1	Cone	109
cpm	Retinalganglioncell	THY1	Cone	2.251902201
raw	Retinalganglioncell	THY1	GABAamacrine	796
cpm	Retinalganglioncell	THY1	GABAamacrine	21.50433349
raw	Retinalganglioncell	THY1	Horizontal	317
cpm	Retinalganglioncell	THY1	Horizontal	10.01870432
raw	Retinalganglioncell	THY1	Microglia	37
cpm	Retinalganglioncell	THY1	Microglia	4.536889077
raw	Retinalganglioncell	THY1	Mullerglia	1116
cpm	Retinalganglioncell	THY1	Mullerglia	11.82262979
raw	Retinalganglioncell	THY1	Retinalganglioncell	518
cpm	Retinalganglioncell	THY1	Retinalganglioncell	24.64946486
raw	Retinalganglioncell	THY1	Rod	724
cpm	Retinalganglioncell	THY1	Rod	1.750713442
raw	Cone	PDE6H	AIIamacrine	113
cpm	Cone	PDE6H	AIIamacrine	9.546496634
raw	Cone	PDE6H	Astrocyte	36
cpm	Cone	PDE6H	Astrocyte	4.780294987
raw	Cone	PDE6H	Cone	736
cpm	Cone	PDE6H	Cone	15.20550477
raw	Cone	PDE6H	GABAamacrine	532
cpm	Cone	PDE6H	GABAamacrine	14.37224298
raw	Cone	PDE6H	Horizontal	81
cpm	Cone	PDE6H	Horizontal	2.559984385
raw	Cone	PDE6H	Microglia	132
cpm	Cone	PDE6H	Microglia	16.18565833
raw	Cone	PDE6H	Mullerglia	1327
cpm	Cone	PDE6H	Mullerglia	14.05791194
raw	Cone	PDE6H	Retinalganglioncell	94
cpm	Cone	PDE6H	Retinalganglioncell	4.473068913
raw	Cone	PDE6H	Rod	1197
cpm	Cone	PDE6H	Rod	2.894480649
raw	Microglia	TMEM119	AIIamacrine	76
cpm	Microglia	TMEM119	AIIamacrine	6.420652604
raw	Microglia	TMEM119	Astrocyte	83
cpm	Microglia	TMEM119	Astrocyte	11.02123566
raw	Microglia	TMEM119	Cone	173
cpm	Microglia	TMEM119	Cone	3.574120008
raw	Microglia	TMEM119	GABAamacrine	217
cpm	Microglia	TMEM119	GABAamacrine	5.86236227
raw	Microglia	TMEM119	Horizontal	144
cpm	Microglia	TMEM119	Horizontal	4.551083351
raw	Microglia	TMEM119	Microglia	80
cpm	Microglia	TMEM119	Microglia	9.809489897
raw	Microglia	TMEM119	Mullerglia	469
cpm	Microglia	TMEM119	Mullerglia	4.968470763
raw	Microglia	TMEM119	Retinalganglioncell	113
cpm	Microglia	TMEM119	Retinalganglioncell	5.377199864
raw	Microglia	TMEM119	Rod	1477
cpm	Microglia	TMEM119	Rod	3.571552146
raw	Rod	NRL	AIIamacrine	744
cpm	Rod	NRL	AIIamacrine	62.8548097
raw	Rod	NRL	Astrocyte	572
cpm	Rod	NRL	Astrocyte	75.9535759
raw	Rod	NRL	Cone	3424
cpm	Rod	NRL	Cone	70.73865264
raw	Rod	NRL	GABAamacrine	2275
cpm	Rod	NRL	GABAamacrine	61.4602496
raw	Rod	NRL	Horizontal	1952
cpm	Rod	NRL	Horizontal	61.6924632
raw	Rod	NRL	Microglia	657
cpm	Rod	NRL	Microglia	80.56043578
raw	Rod	NRL	Mullerglia	7955
cpm	Rod	NRL	Mullerglia	84.27331539
raw	Rod	NRL	Retinalganglioncell	939
cpm	Rod	NRL	Retinalganglioncell	44.68310329
raw	Rod	NRL	Rod	41196
cpm	Rod	NRL	Rod	99.61656208
raw	AIIamacrine	GJD2	AIIamacrine	590
cpm	AIIamacrine	GJD2	AIIamacrine	49.84453995
raw	AIIamacrine	GJD2	Astrocyte	116
cpm	AIIamacrine	GJD2	Astrocyte	15.40317273
raw	AIIamacrine	GJD2	Cone	3398
cpm	AIIamacrine	GJD2	Cone	70.20150166
raw	AIIamacrine	GJD2	GABAamacrine	925
cpm	AIIamacrine	GJD2	GABAamacrine	24.98933226
raw	AIIamacrine	GJD2	Horizontal	394
cpm	AIIamacrine	GJD2	Horizontal	12.45226972
raw	AIIamacrine	GJD2	Microglia	152
cpm	AIIamacrine	GJD2	Microglia	18.6380308
raw	AIIamacrine	GJD2	Mullerglia	1392
cpm	AIIamacrine	GJD2	Mullerglia	14.74650597
raw	AIIamacrine	GJD2	Retinalganglioncell	389
cpm	AIIamacrine	GJD2	Retinalganglioncell	18.51089157
raw	AIIamacrine	GJD2	Rod	20333
cpm	AIIamacrine	GJD2	Rod	49.16748123
raw	Horizontal	ONECUT1_article	AIIamacrine	548
cpm	Horizontal	ONECUT1_article	AIIamacrine	46.29628456
raw	Horizontal	ONECUT1_article	Astrocyte	130
cpm	Horizontal	ONECUT1_article	Astrocyte	17.26217634
raw	Horizontal	ONECUT1_article	Cone	980
cpm	Horizontal	ONECUT1_article	Cone	20.24646016
raw	Horizontal	ONECUT1_article	GABAamacrine	605
cpm	Horizontal	ONECUT1_article	GABAamacrine	16.34437407
raw	Horizontal	ONECUT1_article	Horizontal	5161
cpm	Horizontal	ONECUT1_article	Horizontal	163.1120915
raw	Horizontal	ONECUT1_article	Microglia	250
cpm	Horizontal	ONECUT1_article	Microglia	30.65465593
raw	Horizontal	ONECUT1_article	Mullerglia	2716
cpm	Horizontal	ONECUT1_article	Mullerglia	28.77263665
raw	Horizontal	ONECUT1_article	Retinalganglioncell	1570
cpm	Horizontal	ONECUT1_article	Retinalganglioncell	74.70976802
raw	Horizontal	ONECUT1_article	Rod	5129
cpm	Horizontal	ONECUT1_article	Rod	12.40249895
raw	Horizontal	ONECUT1	AIIamacrine	462
cpm	Horizontal	ONECUT1	AIIamacrine	39.03080925
raw	Horizontal	ONECUT1	Astrocyte	104
cpm	Horizontal	ONECUT1	Astrocyte	13.80974107
raw	Horizontal	ONECUT1	Cone	658
cpm	Horizontal	ONECUT1	Cone	13.59405182
raw	Horizontal	ONECUT1	GABAamacrine	445
cpm	Horizontal	ONECUT1	GABAamacrine	12.02189498
raw	Horizontal	ONECUT1	Horizontal	3479
cpm	Horizontal	ONECUT1	Horizontal	109.9529096
raw	Horizontal	ONECUT1	Microglia	183
cpm	Horizontal	ONECUT1	Microglia	22.43920814
raw	Horizontal	ONECUT1	Mullerglia	2452
cpm	Horizontal	ONECUT1	Mullerglia	25.97588552
raw	Horizontal	ONECUT1	Retinalganglioncell	1132
cpm	Horizontal	ONECUT1	Retinalganglioncell	53.86717032
raw	Horizontal	ONECUT1	Rod	4191
cpm	Horizontal	ONECUT1	Rod	10.13430944
raw	Rod	NR2E3	AIIamacrine	7
cpm	Rod	NR2E3	AIIamacrine	0.5913758977
raw	Rod	NR2E3	Astrocyte	10
cpm	Rod	NR2E3	Astrocyte	1.327859719
raw	Rod	NR2E3	Cone	71
cpm	Rod	NR2E3	Cone	1.466835379
raw	Rod	NR2E3	GABAamacrine	50
cpm	Rod	NR2E3	GABAamacrine	1.350774717
raw	Rod	NR2E3	Horizontal	31
cpm	Rod	NR2E3	Horizontal	0.9797471102
raw	Rod	NR2E3	Microglia	16
cpm	Rod	NR2E3	Microglia	1.961897979
raw	Rod	NR2E3	Mullerglia	112
cpm	Rod	NR2E3	Mullerglia	1.186500481
raw	Rod	NR2E3	Retinalganglioncell	46
cpm	Rod	NR2E3	Retinalganglioncell	2.188948617
raw	Rod	NR2E3	Rod	808
cpm	Rod	NR2E3	Rod	1.953834891
raw	Mullerglia	RLBP1_article	AIIamacrine	304
cpm	Mullerglia	RLBP1_article	AIIamacrine	25.68261041
raw	Mullerglia	RLBP1_article	Astrocyte	483
cpm	Mullerglia	RLBP1_article	Astrocyte	64.1356244
raw	Mullerglia	RLBP1_article	Cone	1134
cpm	Mullerglia	RLBP1_article	Cone	23.42804676
raw	Mullerglia	RLBP1_article	GABAamacrine	784
cpm	Mullerglia	RLBP1_article	GABAamacrine	21.18014756
raw	Mullerglia	RLBP1_article	Horizontal	653
cpm	Mullerglia	RLBP1_article	Horizontal	20.63789881
raw	Mullerglia	RLBP1_article	Microglia	311
cpm	Mullerglia	RLBP1_article	Microglia	38.13439197
raw	Mullerglia	RLBP1_article	Mullerglia	8229
cpm	Mullerglia	RLBP1_article	Mullerglia	87.17600406
raw	Mullerglia	RLBP1_article	Retinalganglioncell	542
cpm	Mullerglia	RLBP1_article	Retinalganglioncell	25.79152501
raw	Mullerglia	RLBP1_article	Rod	10840
cpm	Mullerglia	RLBP1_article	Rod	26.21233938
raw	Mullerglia	RLBP1_gene	AIIamacrine	304
cpm	Mullerglia	RLBP1_gene	AIIamacrine	25.68261041
raw	Mullerglia	RLBP1_gene	Astrocyte	483
cpm	Mullerglia	RLBP1_gene	Astrocyte	64.1356244
raw	Mullerglia	RLBP1_gene	Cone	1134
cpm	Mullerglia	RLBP1_gene	Cone	23.42804676
raw	Mullerglia	RLBP1_gene	GABAamacrine	784
cpm	Mullerglia	RLBP1_gene	GABAamacrine	21.18014756
raw	Mullerglia	RLBP1_gene	Horizontal	653
cpm	Mullerglia	RLBP1_gene	Horizontal	20.63789881
raw	Mullerglia	RLBP1_gene	Microglia	311
cpm	Mullerglia	RLBP1_gene	Microglia	38.13439197
raw	Mullerglia	RLBP1_gene	Mullerglia	8229
cpm	Mullerglia	RLBP1_gene	Mullerglia	87.17600406
raw	Mullerglia	RLBP1_gene	Retinalganglioncell	542
cpm	Mullerglia	RLBP1_gene	Retinalganglioncell	25.79152501
raw	Mullerglia	RLBP1_gene	Rod	10840
cpm	Mullerglia	RLBP1_gene	Rod	26.21233938
raw	Mullerglia	RLBP1	AIIamacrine	46
cpm	Mullerglia	RLBP1	AIIamacrine	3.886184471
raw	Mullerglia	RLBP1	Astrocyte	133
cpm	Mullerglia	RLBP1	Astrocyte	17.66053426
raw	Mullerglia	RLBP1	Cone	58
cpm	Mullerglia	RLBP1	Cone	1.198259887
raw	Mullerglia	RLBP1	GABAamacrine	39
cpm	Mullerglia	RLBP1	GABAamacrine	1.053604279
raw	Mullerglia	RLBP1	Horizontal	47
cpm	Mullerglia	RLBP1	Horizontal	1.485423038
raw	Mullerglia	RLBP1	Microglia	72
cpm	Mullerglia	RLBP1	Microglia	8.828540907
raw	Mullerglia	RLBP1	Mullerglia	2692
cpm	Mullerglia	RLBP1	Mullerglia	28.51838655
raw	Mullerglia	RLBP1	Retinalganglioncell	54
cpm	Mullerglia	RLBP1	Retinalganglioncell	2.569635333
raw	Mullerglia	RLBP1	Rod	535
cpm	Mullerglia	RLBP1	Rod	1.293690181
raw	Rod	CNGB1	AIIamacrine	313
cpm	Rod	CNGB1	AIIamacrine	26.44295085
raw	Rod	CNGB1	Astrocyte	337
cpm	Rod	CNGB1	Astrocyte	44.74887251
raw	Rod	CNGB1	Cone	3743
cpm	Rod	CNGB1	Cone	77.32908202
raw	Rod	CNGB1	GABAamacrine	707
cpm	Rod	CNGB1	GABAamacrine	19.09995449
raw	Rod	CNGB1	Horizontal	823
cpm	Rod	CNGB1	Horizontal	26.01070554
raw	Rod	CNGB1	Microglia	379
cpm	Rod	CNGB1	Microglia	46.47245839
raw	Rod	CNGB1	Mullerglia	4554
cpm	Rod	CNGB1	Mullerglia	48.24395704
raw	Rod	CNGB1	Retinalganglioncell	456
cpm	Rod	CNGB1	Retinalganglioncell	21.69914281
raw	Rod	CNGB1	Rod	66828
cpm	Rod	CNGB1	Rod	161.5976214
raw	Horizontal	LHX1	AIIamacrine	91
cpm	Horizontal	LHX1	AIIamacrine	7.68788667
raw	Horizontal	LHX1	Astrocyte	91
cpm	Horizontal	LHX1	Astrocyte	12.08352344
raw	Horizontal	LHX1	Cone	1365
cpm	Horizontal	LHX1	Cone	28.20042665
raw	Horizontal	LHX1	GABAamacrine	239
cpm	Horizontal	LHX1	GABAamacrine	6.456703145
raw	Horizontal	LHX1	Horizontal	1715
cpm	Horizontal	LHX1	Horizontal	54.20213852
raw	Horizontal	LHX1	Microglia	108
cpm	Horizontal	LHX1	Microglia	13.24281136
raw	Horizontal	LHX1	Mullerglia	805
cpm	Horizontal	LHX1	Mullerglia	8.527972204
raw	Horizontal	LHX1	Retinalganglioncell	122
cpm	Horizontal	LHX1	Retinalganglioncell	5.805472419
raw	Horizontal	LHX1	Rod	5009
cpm	Horizontal	LHX1	Rod	12.11232546
raw	Astrocyte	GFAP	AIIamacrine	273
cpm	Astrocyte	GFAP	AIIamacrine	23.06366001
raw	Astrocyte	GFAP	Astrocyte	450
cpm	Astrocyte	GFAP	Astrocyte	59.75368733
raw	Astrocyte	GFAP	Cone	385
cpm	Astrocyte	GFAP	Cone	7.953966491
raw	Astrocyte	GFAP	GABAamacrine	389
cpm	Astrocyte	GFAP	GABAamacrine	10.50902729
raw	Astrocyte	GFAP	Horizontal	344
cpm	Astrocyte	GFAP	Horizontal	10.87203245
raw	Astrocyte	GFAP	Microglia	154
cpm	Astrocyte	GFAP	Microglia	18.88326805
raw	Astrocyte	GFAP	Mullerglia	3408
cpm	Astrocyte	GFAP	Mullerglia	36.10351462
raw	Astrocyte	GFAP	Retinalganglioncell	231
cpm	Astrocyte	GFAP	Retinalganglioncell	10.99232892
raw	Astrocyte	GFAP	Rod	4237
cpm	Astrocyte	GFAP	Rod	10.24554261
raw	Horizontal	C1QL1	AIIamacrine	237
cpm	Horizontal	C1QL1	AIIamacrine	20.02229825
raw	Horizontal	C1QL1	Astrocyte	424
cpm	Horizontal	C1QL1	Astrocyte	56.30125207
raw	Horizontal	C1QL1	Cone	1304
cpm	Horizontal	C1QL1	Cone	26.9401878
raw	Horizontal	C1QL1	GABAamacrine	1707
cpm	Horizontal	C1QL1	GABAamacrine	46.11544882
raw	Horizontal	C1QL1	Horizontal	2576
cpm	Horizontal	C1QL1	Horizontal	81.41382438
raw	Horizontal	C1QL1	Microglia	330
cpm	Horizontal	C1QL1	Microglia	40.46414582
raw	Horizontal	C1QL1	Mullerglia	5100
cpm	Horizontal	C1QL1	Mullerglia	54.02814688
raw	Horizontal	C1QL1	Retinalganglioncell	592
cpm	Horizontal	C1QL1	Retinalganglioncell	28.17081698
raw	Horizontal	C1QL1	Rod	19712
cpm	Horizontal	C1QL1	Rod	47.66583337
raw	Mullerglia	SOX9	AIIamacrine	812
cpm	Mullerglia	SOX9	AIIamacrine	68.59960413
raw	Mullerglia	SOX9	Astrocyte	681
cpm	Mullerglia	SOX9	Astrocyte	90.42724683
raw	Mullerglia	SOX9	Cone	215
cpm	Mullerglia	SOX9	Cone	4.441825443
raw	Mullerglia	SOX9	GABAamacrine	918
cpm	Mullerglia	SOX9	GABAamacrine	24.8002238
raw	Mullerglia	SOX9	Horizontal	316
cpm	Mullerglia	SOX9	Horizontal	9.987099575
raw	Mullerglia	SOX9	Microglia	176
cpm	Mullerglia	SOX9	Microglia	21.58087777
raw	Mullerglia	SOX9	Mullerglia	7629
cpm	Mullerglia	SOX9	Mullerglia	80.81975149
raw	Mullerglia	SOX9	Retinalganglioncell	386
cpm	Mullerglia	SOX9	Retinalganglioncell	18.36813405
raw	Mullerglia	SOX9	Rod	1108
cpm	Mullerglia	SOX9	Rod	2.679268637
raw	Astrocyte	AQP4	AIIamacrine	77
cpm	Astrocyte	AQP4	AIIamacrine	6.505134875
raw	Astrocyte	AQP4	Astrocyte	283
cpm	Astrocyte	AQP4	Astrocyte	37.57843003
raw	Astrocyte	AQP4	Cone	36
cpm	Astrocyte	AQP4	Cone	0.7437475161
raw	Astrocyte	AQP4	GABAamacrine	122
cpm	Astrocyte	AQP4	GABAamacrine	3.295890308
raw	Astrocyte	AQP4	Horizontal	80
cpm	Astrocyte	AQP4	Horizontal	2.528379639
raw	Astrocyte	AQP4	Microglia	67
cpm	Astrocyte	AQP4	Microglia	8.215447788
raw	Astrocyte	AQP4	Mullerglia	2646
cpm	Astrocyte	AQP4	Mullerglia	28.03107385
raw	Astrocyte	AQP4	Retinalganglioncell	118
cpm	Astrocyte	AQP4	Retinalganglioncell	5.615129061
raw	Astrocyte	AQP4	Rod	271
cpm	Astrocyte	AQP4	Rod	0.6553084844
raw	Horizontal	ONECUT2	AIIamacrine	708
cpm	Horizontal	ONECUT2	AIIamacrine	59.81344794
raw	Horizontal	ONECUT2	Astrocyte	154
cpm	Horizontal	ONECUT2	Astrocyte	20.44903967
raw	Horizontal	ONECUT2	Cone	2176
cpm	Horizontal	ONECUT2	Cone	44.95540542
raw	Horizontal	ONECUT2	GABAamacrine	707
cpm	Horizontal	ONECUT2	GABAamacrine	19.09995449
raw	Horizontal	ONECUT2	Horizontal	2530
cpm	Horizontal	ONECUT2	Horizontal	79.96000609
raw	Horizontal	ONECUT2	Microglia	194
cpm	Horizontal	ONECUT2	Microglia	23.788013
