input	atoms	ca_atoms	directions	rolls	grid
/jetstream2/scratch/main/jobs/79144945/inputs/dataset_00372f39-6493-4a67-83a4-4cc33782599f.dat	19065	2388	246	18	72

rank	score	letter	kind	normalization	direction_index	roll	data_to_template	template_to_data	iou	view
35	0.824601	Z	all_atom_points	stretch	167	100	2.323378	0.237642	0.434105	0.21900,-0.89183,-0.39583
36	0.837283	N	all_atom_points	stretch	104	0	2.149520	0.367622	0.419965	-0.15841,-0.97889,0.12917
37	0.850292	R	all_atom_points	stretch	60	140	2.207214	0.275253	0.408044	0.75558,-0.42808,0.49583
38	0.852707	N	ca_trace	stretch	86	170	2.409986	0.127740	0.421255	0.55990,-0.78011,0.27917
39	0.854583	Z	all_atom_points	stretch	112	90	2.332909	0.161329	0.409914	0.18821,-0.98014,0.06250
40	0.864912	Z	all_atom_points	stretch	99	90	2.409918	0.181890	0.431724	0.38924,-0.90516,0.17083

best_by_letter
B	0.986050	all_atom_points	stretch	direction=136	roll=20	d2t=2.155297	t2d=0.436453	iou=0.401425
D	3.389866	all_atom_points	stretch	direction=136	roll=20	d2t=4.105427	t2d=0.532656	iou=0.312054
F	1.308472	ca_trace	stretch	direction=30	roll=20	d2t=2.741318	t2d=0.163184	iou=0.399007
H	1.389207	ca_trace	stretch	direction=137	roll=10	d2t=2.616735	t2d=0.363016	iou=0.397636
J	4.325159	ca_trace	stretch	direction=138	roll=90	d2t=4.735995	t2d=0.766046	iou=0.294221
L	4.730094	ca_trace	stretch	direction=212	roll=170	d2t=5.781613	t2d=0.171554	iou=0.305768
N	0.448270	ca_trace	stretch	direction=125	roll=0	d2t=2.043953	t2d=0.193839	iou=0.447380
P	1.101464	ca_trace	stretch	direction=72	roll=0	d2t=2.572568	t2d=0.160475	iou=0.407895
R	0.508319	all_atom_points	stretch	direction=73	roll=160	d2t=2.102004	t2d=0.166765	iou=0.440113
T	1.384778	ca_trace	preserve	direction=223	roll=70	d2t=1.095814	t2d=2.137668	iou=0.462176
V	1.970227	ca_trace	preserve	direction=240	roll=40	d2t=2.678754	t2d=0.735082	iou=0.360902
X	2.406362	ca_trace	stretch	direction=98	roll=70	d2t=3.518449	t2d=0.161064	iou=0.318288
Z	0.663967	ca_trace	stretch	direction=154	roll=100	d2t=2.193637	t2d=0.192220	iou=0.430473

FINAL	N	score=0.448270	kind=ca_trace	normalization=stretch

projection	letter=N	score=0.448270	kind=ca_trace	normalization=stretch	direction=125	roll=0


        ###                                ##
        ######                            #####
        #######                           ######
        #######             #              ######
        ########          ####           #########
        ################  ###           ##########
        ################ ####           ###########
        ################  ###          ############
        ################  ###          ############
      ##################  ####         ############
     ################### ######        ############
     ###########################        ###########
     ###########################       ############
     ########### ###############       ############
     ########### #### ######### ####   ############
     ##########  ############## ####   ############
     ###########     ########## #### #############
    ############      ######### #################
    #############     ##### ### ###############
     ############      ###  ###################
     ##########        ###  ###################
     #########         ###  ###################
    ##########              ############### ##
   ##########               ##############
   ##########               #############
     #######                ####### ####
      #####                  ####   ####
                             ####    ###
                              ##      #


projection	letter=N	score=0.502760	kind=all_atom_points	normalization=stretch	direction=154	roll=10


                       ###
                     #####
           ###       #####                  #
          #####      ######                 ##
           ######    #####                  ######
           ########  ######              #########
          ##########  ####               ##########
          #################            ############
        # #################           #############
      ###################### #        #############
      #########################       #############
     ############################     #############
     ############################     #############
     ############################ #   #############
    ################################  ############
    ############## #################  ############
    #############     ############################
     #############    ############################
    ##############     ##########################
   ###############     #### ######################
    ##############     ##  #####################
    ###########            ######################
    ##########             ################# ###
     #########             #####################
      ########             #######  ####### ####
        ## ##                ####   #######
                             ###      ####
                                      ###
                                      ##


projection	letter=R	score=0.508319	kind=all_atom_points	normalization=stretch	direction=73	roll=160


              #     ####
         # ##############  ### #
        #############################
        ###############################  ##########
        ##########################################
        ##########################################
    ##  #########################################
    ### ################# #######################
   ##################### #########################
    ###############################################
   ##################  ############################
    ###############################################
     ################# ############################
     #############    #############################
     #############   ##############################
     #############     ############################
       ##########      ############################
        ########        ##### ####################
         ######           #   ##################
        #######                #################
        #######                 ###############
        #######                      ########
       ########                       ##########
        #######                      ###########
        ####                          ##########
         #                            ###########
                                       # #######
                                           #####
                                             ##


projection	letter=R	score=0.540340	kind=ca_trace	normalization=stretch	direction=73	roll=160


                    ####
         ### #### #######    #
        ################# ###########
        ##############################   ###   ###
        ###############################  #########
        #########################################
        ################# #####   ###############
    #  #################  ######## ###############
   ##################### #########################
   ##################  ############ ###############
   ##################  ########### ################
    ############## ##  ########### ################
    ##############  # #############################
    #############     #############################
     ############     #############################
     ###########       ############################
         #######       ############################
        #######         ###   ####################
         ######                #################
        #######                 ##############
        #######                 #############
        #######                  ### ########
       ########                       #######
       ########                       ## #######
        #####                         ##########
                                      ##########
                                        ########
                                          ######
                                            ##


projection	letter=Z	score=0.663967	kind=ca_trace	normalization=stretch	direction=154	roll=100


            ####### ######
         ###########################
         ###########################
          ##############################
         ######################################
        ########################################
                #############################
                 ############################
                 ####    # ###############
                         ###############
                        ###############    #######
                  ################################
                 ##################################
           # #    ######################     #    #
          ######### ##############
      ############################
      ###########################
        #######################
           ################
           ###############
    ##################       ###
   ####################################
    ##  ##################################
        ###################################
              ###############################
          ###################################
           #################################
                     ######################
                             ###  ###


projection	letter=Z	score=0.824601	kind=all_atom_points	normalization=stretch	direction=167	roll=100


               #########  ##
             ########################
           ###########################
            ##########################
           ###################################
            ###################################
                 ############################
                 ############################
                   ## #   #  ###############
                        ##################
                       ################
                   ####################
                  ######################## ########
              #    ################################
        # ################################# # #####
        #############################
        ########################
          ################# ##
           ################
    ####################
   ################## #   #   #
    ############################# ##
       ################################
        #################################
        ##################################
        #####################################
                ###########################
                         ################
                              ###  #


projection	letter=B	score=0.986050	kind=all_atom_points	normalization=stretch	direction=136	roll=20


           ###
      ########            ###
       ########           ####         #
      #########           ####   #   #####  ##
      #########       ## ########################
      #############################################
        ###########################################
        ###########################################
          ########################################
          #######################################
           #####################################
           ###################################
        ######################################
        ########################################
        ########################################
        ########################################
        ########################################
       #########################################
      ##########################################
     ##########################################
    # #########################################
   ############################################
     #########################################
     ########################################
       ############## ########     ##########
        ############## #######    ########
          ###########     ##       ######
              ##                   ####
                                     #


projection	letter=P	score=1.101464	kind=ca_trace	normalization=stretch	direction=72	roll=0


         #######          ####
        ############################      ###
        ############################# #######
        #####################################
         ####################################
        #####################################
       #####################################
     #####################################
     ########## #########################
     ###############################        ####
     ######################              ####### ##
   #####################                ###########
    ####################              #############
    ############################################
    ######################################
    ###################################
    ##############################
     #########################
     ###################  ###
     ###################
      ##################
     ####################
     ###################
     ###################
     ####################
     #####################
       #################
        ################
           ####


