sample	subcluster	pearson_correlation
Brain	Osteoblast	0.0195875
Brain	Urothelial cell	0.0179052
Brain	Pancreatic ductal cell	0.0133734
Brain	Adipocyte	0.0114725
Brain	Proximal tubule	0.00655979
Brain	Myoblast	-0.00353937
Brain	Chondrocyte	-0.0112983
Brain	Myofibroblast	-0.0330629
Brain	Acinar cell	-0.056521
Brain	Fibroblast	-0.0826789
Brain	Enterocyte	-0.0862991
Brain	T cell	-0.0923651
Brain	Megakaryocyte	-0.104804
Brain	Pulmonary epithelium	-0.124154
Brain	Lymphatic endothelial cell	-0.129648
Brain	Capillary endothelial cell	-0.133158
Brain	Respiratory epithelial cell	-0.134855
Brain	Erythroid cell	-0.139005
Brain	Parietal cell	-0.14979
Brain	B cell	-0.154385
Brain	vas deferens epithelial cell	-0.156866
Brain	Liver sinusoidal endothelial cell	-0.162756
Brain	Hepatic stellate cell	-0.164275
Brain	Foveolar cell	-0.173448
Brain	Macrophage	-0.182407
Brain	Goblet cell	-0.185062
Brain	Hepatocyte	-0.198966
Brain	Cloaca epithelial cell	-0.260667
Cloaca	Foveolar cell	0.379082
Cloaca	Parietal cell	0.353968
Cloaca	Cloaca epithelial cell	0.14724
Cloaca	Hepatic stellate cell	0.145679
Cloaca	Fibroblast	0.13522
Cloaca	Lymphatic endothelial cell	0.129833
Cloaca	Goblet cell	0.117048
Cloaca	Capillary endothelial cell	0.104201
Cloaca	Liver sinusoidal endothelial cell	0.0997198
Cloaca	Endocrine cell	0.0969619
Cloaca	Hepatocyte	0.0803691
Cloaca	Myofibroblast	0.0654029
Cloaca	vas deferens epithelial cell	0.0580362
Cloaca	Enterocyte	0.0436772
Cloaca	Pancreatic ductal cell	0.0411842
Cloaca	Pulmonary epithelium	0.0243481
Cloaca	Acinar cell	0.000757061
Cloaca	Osteoblast	-0.00334613
Cloaca	Chondrocyte	-0.00527079
Cloaca	Oligodendrocyte progenitor	-0.0115521
Cloaca	Smooth muscle cell	-0.0160404
Cloaca	Respiratory epithelial cell	-0.0163535
Cloaca	Macrophage	-0.0200706
Cloaca	Inhibitory neuron	-0.020924
Cloaca	B cell	-0.0298278
Cloaca	Neuron_UNC5A	-0.0326232
Cloaca	Neuroendocrine	-0.0336427
Cloaca	Erythroid cell	-0.0355959
Cloaca	Neuron_NR4A1	-0.0369553
Cloaca	Myoblast	-0.0452341
Cloaca	Oligodendrocyte	-0.0599752
Cloaca	Cardiac muscle	-0.0660977
Cloaca	Meningeal cell	-0.0677224
Cloaca	Megakaryocyte	-0.0821849
Cloaca	Urothelial cell	-0.0862204
Cloaca	Adipocyte	-0.0879504
Cloaca	Endothelial_MAS1	-0.0894487
Cloaca	Astrocyte	-0.0995357
Cloaca	Podocyte	-0.100864
Cloaca	Proximal tubule	-0.103022
Cloaca	T cell	-0.105677
Cloaca	Mesothelial cell	-0.108305
Cloaca	Basal cell	-0.111878
Cloaca	Lung fibroblast	-0.120537
Cloaca	Endothelial_RGS5	-0.129838
Cloaca	Endocardial endothelial cell	-0.139826
Cloaca	H+ secreting cell	-0.144624
Cloaca	Fibroblast_GPRC6A	-0.151808
Cloaca	Cholangiocyte	-0.153421
Cloaca	Epicardial cell	-0.167503
GallBladder	Cholangiocyte	0.421838
GallBladder	Mesothelial cell	0.252647
GallBladder	Basal cell	0.236118
GallBladder	Lung fibroblast	0.220429
GallBladder	Astrocyte	0.21683
GallBladder	Fibroblast_GPRC6A	0.191601
GallBladder	Podocyte	0.190109
GallBladder	Urothelial cell	0.171689
GallBladder	Acinar cell	0.163334
GallBladder	Pancreatic ductal cell	0.141667
GallBladder	Neuron_NR4A1	0.139535
GallBladder	Smooth muscle cell	0.13873
GallBladder	Neuron_UNC5A	0.138602
GallBladder	H+ secreting cell	0.127741
GallBladder	Endothelial_MAS1	0.12401
GallBladder	Endothelial_RGS5	0.0896658
GallBladder	Oligodendrocyte	0.0753782
GallBladder	Epicardial cell	0.0741896
GallBladder	Respiratory epithelial cell	0.0719498
GallBladder	Pulmonary epithelium	0.0512345
GallBladder	Myoblast	0.0507698
GallBladder	Proximal tubule	0.0505043
GallBladder	Inhibitory neuron	0.0414331
GallBladder	Osteoblast	0.0285374
GallBladder	Adipocyte	0.0261284
GallBladder	Neuroendocrine	0.0168242
GallBladder	Cardiac muscle	0.015028
GallBladder	Endocardial endothelial cell	0.0133533
GallBladder	Enterocyte	-0.000277365
GallBladder	Endocrine cell	-0.00195656
GallBladder	Oligodendrocyte progenitor	-0.0131256
GallBladder	Myofibroblast	-0.03397
GallBladder	Meningeal cell	-0.0340814
GallBladder	Chondrocyte	-0.0369411
GallBladder	Foveolar cell	-0.0444231
GallBladder	T cell	-0.0915475
GallBladder	Erythroid cell	-0.126281
GallBladder	Hepatocyte	-0.128136
GallBladder	Parietal cell	-0.128665
GallBladder	Goblet cell	-0.132397
GallBladder	Capillary endothelial cell	-0.160444
GallBladder	Fibroblast	-0.163321
GallBladder	Lymphatic endothelial cell	-0.16349
GallBladder	Megakaryocyte	-0.164069
GallBladder	vas deferens epithelial cell	-0.183699
GallBladder	Macrophage	-0.213001
GallBladder	Cloaca epithelial cell	-0.217336
GallBladder	B cell	-0.22198
GallBladder	Liver sinusoidal endothelial cell	-0.222891
GallBladder	Hepatic stellate cell	-0.247485
Gill	Respiratory epithelial cell	0.479042
Gill	Cloaca epithelial cell	0.229096
Gill	Goblet cell	0.143671
Gill	Pulmonary epithelium	0.128675
Gill	Macrophage	0.124828
Gill	Parietal cell	0.110806
Gill	Osteoblast	0.0991906
Gill	B cell	0.0914756
Gill	Foveolar cell	0.0883865
Gill	Megakaryocyte	0.0798391
Gill	Enterocyte	0.0706171
Gill	T cell	0.0621723
Gill	Endocardial endothelial cell	0.0562251
Gill	Hepatic stellate cell	0.0399713
Gill	Capillary endothelial cell	0.0374481
Gill	Lymphatic endothelial cell	0.0357028
Gill	Liver sinusoidal endothelial cell	0.0322658
Gill	Hepatocyte	0.0257177
Gill	Erythroid cell	0.0246768
Gill	Fibroblast	0.0243278
Gill	vas deferens epithelial cell	0.0159912
Gill	Epicardial cell	-0.00253902
Gill	Myofibroblast	-0.0130776
Gill	Myoblast	-0.0293568
Gill	Chondrocyte	-0.0305021
Gill	Cardiac muscle	-0.0312553
Gill	Urothelial cell	-0.0361648
Gill	Endothelial_RGS5	-0.0451984
Gill	Oligodendrocyte progenitor	-0.0511393
Gill	Meningeal cell	-0.0556108
Gill	Endothelial_MAS1	-0.0561703
Gill	Neuroendocrine	-0.0569704
Gill	Pancreatic ductal cell	-0.0578925
Gill	Endocrine cell	-0.0610563
Gill	Adipocyte	-0.0659778
Gill	Basal cell	-0.0672142
Gill	Acinar cell	-0.0734592
Gill	Lung fibroblast	-0.0784631
Gill	Proximal tubule	-0.0789553
Gill	Inhibitory neuron	-0.0795931
Gill	Oligodendrocyte	-0.103192
Gill	Neuron_NR4A1	-0.113063
Gill	Cholangiocyte	-0.116762
Gill	Neuron_UNC5A	-0.120852
Gill	Podocyte	-0.121187
Gill	Smooth muscle cell	-0.121933
Gill	H+ secreting cell	-0.124187
Gill	Fibroblast_GPRC6A	-0.136053
Gill	Mesothelial cell	-0.143043
Gill	Astrocyte	-0.143946
Heart	Endocardial endothelial cell	0.507873
Heart	Cardiac muscle	0.467623
Heart	Epicardial cell	0.456647
Heart	Endothelial_RGS5	0.125984
Heart	Fibroblast_GPRC6A	0.118232
Heart	Lung fibroblast	0.11607
Heart	Megakaryocyte	0.110372
Heart	Mesothelial cell	0.0641255
Heart	Smooth muscle cell	0.0608421
Heart	Meningeal cell	0.0508988
Heart	Endothelial_MAS1	0.0506206
Heart	Neuron_NR4A1	0.0423424
Heart	Astrocyte	0.0352484
Heart	Capillary endothelial cell	0.0235459
Heart	Lymphatic endothelial cell	0.0209715
Heart	Inhibitory neuron	0.0178163
Heart	Myoblast	0.0148585
Heart	Fibroblast	0.0119435
Heart	Basal cell	0.00877789
Heart	Myofibroblast	0.000544671
Heart	Osteoblast	0.000543942
Heart	H+ secreting cell	-0.00264961
Heart	Podocyte	-0.00899174
Heart	Hepatic stellate cell	-0.00914736
Heart	Neuron_UNC5A	-0.0116055
Heart	T cell	-0.013955
Heart	Oligodendrocyte progenitor	-0.0235312
Heart	Liver sinusoidal endothelial cell	-0.0241189
Heart	Pulmonary epithelium	-0.0330249
Heart	Endocrine cell	-0.0334366
Heart	B cell	-0.0386923
Heart	Erythroid cell	-0.0395335
Heart	Adipocyte	-0.0404544
Heart	Pancreatic ductal cell	-0.0429026
Heart	Neuroendocrine	-0.0467262
Heart	Urothelial cell	-0.053161
Heart	Oligodendrocyte	-0.0572636
Heart	Chondrocyte	-0.0654105
Heart	Macrophage	-0.0779822
Heart	Goblet cell	-0.0947767
Heart	Cholangiocyte	-0.106358
Heart	Proximal tubule	-0.112089
Heart	Respiratory epithelial cell	-0.113932
Heart	Parietal cell	-0.12102
Heart	Acinar cell	-0.125818
Heart	Enterocyte	-0.128188
Heart	vas deferens epithelial cell	-0.132437
Heart	Cloaca epithelial cell	-0.136941
Heart	Hepatocyte	-0.147895
Heart	Foveolar cell	-0.173321
Intestine	Enterocyte	0.375982
Intestine	Goblet cell	0.198222
Intestine	Cloaca epithelial cell	0.188131
Intestine	Fibroblast	0.151565
Intestine	Hepatocyte	0.120109
Intestine	Hepatic stellate cell	0.109693
Intestine	Myofibroblast	0.102926
Intestine	Foveolar cell	0.102776
Intestine	Acinar cell	0.0948199
Intestine	Liver sinusoidal endothelial cell	0.0834539
Intestine	Cholangiocyte	0.0733709
Intestine	Endocrine cell	0.0647139
Intestine	Capillary endothelial cell	0.05678
Intestine	Lymphatic endothelial cell	0.055189
Intestine	Parietal cell	0.0522045
Intestine	Pancreatic ductal cell	0.0375427
Intestine	Proximal tubule	0.0331701
Intestine	Macrophage	0.0331468
Intestine	Chondrocyte	0.0325044
Intestine	Smooth muscle cell	-0.000993583
Intestine	Oligodendrocyte progenitor	-0.00169233
Intestine	Osteoblast	-0.0101493
Intestine	Neuroendocrine	-0.0219757
Intestine	Respiratory epithelial cell	-0.0326292
Intestine	Adipocyte	-0.0378649
Intestine	vas deferens epithelial cell	-0.0412729
Intestine	Myoblast	-0.0442284
Intestine	Meningeal cell	-0.0459533
Intestine	Neuron_UNC5A	-0.0504147
Intestine	Erythroid cell	-0.0531096
Intestine	Megakaryocyte	-0.0598743
Intestine	Pulmonary epithelium	-0.060193
Intestine	Oligodendrocyte	-0.0626513
Intestine	B cell	-0.0645489
Intestine	Inhibitory neuron	-0.0678506
Intestine	Podocyte	-0.0895007
Intestine	Endothelial_MAS1	-0.0905471
Intestine	Astrocyte	-0.0922566
Intestine	H+ secreting cell	-0.0982868
Intestine	Neuron_NR4A1	-0.10077
Intestine	Endothelial_RGS5	-0.106541
Intestine	T cell	-0.108343
Intestine	Lung fibroblast	-0.115194
Intestine	Endocardial endothelial cell	-0.120882
Intestine	Mesothelial cell	-0.126439
Intestine	Basal cell	-0.131286
Intestine	Fibroblast_GPRC6A	-0.137239
Intestine	Epicardial cell	-0.140355
Intestine	Urothelial cell	-0.141702
Intestine	Cardiac muscle	-0.161576
Kidney	H+ secreting cell	0.437287
Kidney	Proximal tubule	0.37561
Kidney	Fibroblast_GPRC6A	0.35447
Kidney	Astrocyte	0.240589
Kidney	Mesothelial cell	0.237716
Kidney	Podocyte	0.219429
Kidney	Basal cell	0.217503
Kidney	Neuron_NR4A1	0.214235
Kidney	Urothelial cell	0.20317
Kidney	Lung fibroblast	0.169888
Kidney	Cholangiocyte	0.164488
Kidney	Oligodendrocyte progenitor	0.137695
Kidney	Endothelial_RGS5	0.124962
Kidney	Endothelial_MAS1	0.0983126
Kidney	Oligodendrocyte	0.0939229
Kidney	Meningeal cell	0.0899429
Kidney	Neuron_UNC5A	0.0632989
Kidney	Pancreatic ductal cell	0.0583245
Kidney	Epicardial cell	0.042545
Kidney	Neuroendocrine	0.0394031
Kidney	Smooth muscle cell	0.0389727
Kidney	Inhibitory neuron	0.0362467
Kidney	Cardiac muscle	0.029952
Kidney	Myoblast	0.0281118
Kidney	Acinar cell	0.0236934
Kidney	Adipocyte	0.0187223
Kidney	Pulmonary epithelium	0.00261209
Kidney	Endocrine cell	-0.00101718
Kidney	Endocardial endothelial cell	-0.0037084
Kidney	T cell	-0.0239265
Kidney	Megakaryocyte	-0.0459454
Kidney	Respiratory epithelial cell	-0.0498015
Kidney	Chondrocyte	-0.0552505
Kidney	Enterocyte	-0.0589451
Kidney	vas deferens epithelial cell	-0.0637728
Kidney	Osteoblast	-0.0831886
Kidney	Erythroid cell	-0.0933711
Kidney	Hepatocyte	-0.12843
Kidney	Myofibroblast	-0.130798
Kidney	Goblet cell	-0.158315
Kidney	B cell	-0.173049
Kidney	Foveolar cell	-0.177252
Kidney	Parietal cell	-0.191949
Kidney	Lymphatic endothelial cell	-0.196516
Kidney	Capillary endothelial cell	-0.198191
Kidney	Fibroblast	-0.208491
Kidney	Liver sinusoidal endothelial cell	-0.214587
Kidney	Macrophage	-0.22305
Kidney	Hepatic stellate cell	-0.259502
Kidney	Cloaca epithelial cell	-0.293021
Limb	Adipocyte	0.22304
Limb	Basal cell	0.185518
Limb	Respiratory epithelial cell	0.166667
Limb	Fibroblast_GPRC6A	0.160477
Limb	Epicardial cell	0.15451
Limb	Mesothelial cell	0.15072
Limb	Endothelial_MAS1	0.143222
Limb	Urothelial cell	0.137609
Limb	Endothelial_RGS5	0.124139
Limb	Cholangiocyte	0.113038
Limb	Lung fibroblast	0.105163
Limb	Podocyte	0.0995996
Limb	T cell	0.0926285
Limb	Macrophage	0.0831448
Limb	Endocardial endothelial cell	0.0817022
Limb	Meningeal cell	0.077998
Limb	H+ secreting cell	0.0761384
Limb	Chondrocyte	0.0654719
Limb	Myoblast	0.0577597
Limb	Astrocyte	0.0421901
Limb	Smooth muscle cell	0.0417956
Limb	Megakaryocyte	0.0294437
Limb	Neuron_NR4A1	0.0247608
Limb	Cardiac muscle	0.0191421
Limb	Osteoblast	0.00955277
Limb	Proximal tubule	0.00589914
Limb	Oligodendrocyte	0.00322889
Limb	Pancreatic ductal cell	0.00081833
Limb	Erythroid cell	-0.00700203
Limb	B cell	-0.0123164
Limb	Oligodendrocyte progenitor	-0.0151181
Limb	Inhibitory neuron	-0.0178253
Limb	Myofibroblast	-0.0329569
Limb	Neuron_UNC5A	-0.0332942
Limb	Pulmonary epithelium	-0.0431489
Limb	Neuroendocrine	-0.0571489
Limb	Lymphatic endothelial cell	-0.0581544
Limb	Capillary endothelial cell	-0.0597959
Limb	Acinar cell	-0.0638335
Limb	Fibroblast	-0.0769505
Limb	Enterocyte	-0.0863166
Limb	Hepatic stellate cell	-0.108887
Limb	Foveolar cell	-0.118089
Limb	Liver sinusoidal endothelial cell	-0.120766
Limb	Goblet cell	-0.13046
Limb	Hepatocyte	-0.131729
Limb	vas deferens epithelial cell	-0.154012
Limb	Cloaca epithelial cell	-0.154611
Limb	Endocrine cell	-0.15832
Limb	Parietal cell	-0.204983
Liver	Hepatocyte	0.381468
Liver	Hepatic stellate cell	0.21328
Liver	Liver sinusoidal endothelial cell	0.205499
Liver	Macrophage	0.155466
Liver	Lymphatic endothelial cell	0.131376
Liver	Fibroblast	0.109254
Liver	Capillary endothelial cell	0.0936406
Liver	Acinar cell	0.0732318
Liver	Chondrocyte	0.0635479
Liver	Cholangiocyte	0.0573735
Liver	Goblet cell	0.0487278
Liver	Cloaca epithelial cell	0.0450784
Liver	Myofibroblast	0.0288346
Liver	Enterocyte	0.0279724
Liver	Erythroid cell	0.0193226
Liver	Oligodendrocyte	0.0131764
Liver	Proximal tubule	0.0129227
Liver	Parietal cell	0.0081682
Liver	Myoblast	0.00455596
Liver	Endocrine cell	-0.00302244
Liver	Pancreatic ductal cell	-0.00728098
Liver	Adipocyte	-0.00767246
Liver	Osteoblast	-0.00961131
Liver	B cell	-0.0118251
Liver	vas deferens epithelial cell	-0.0129287
Liver	Foveolar cell	-0.014144
Liver	Endothelial_MAS1	-0.019375
Liver	Neuroendocrine	-0.0253206
Liver	Megakaryocyte	-0.0298074
Liver	Podocyte	-0.0353237
Liver	Oligodendrocyte progenitor	-0.0401141
Liver	Neuron_UNC5A	-0.0417433
Liver	Smooth muscle cell	-0.0482931
Liver	Inhibitory neuron	-0.0583181
Liver	Meningeal cell	-0.068035
Liver	T cell	-0.0691373
Liver	Endothelial_RGS5	-0.0700901
Liver	Astrocyte	-0.0832886
Liver	Respiratory epithelial cell	-0.0853058
Liver	Lung fibroblast	-0.116047
Liver	Neuron_NR4A1	-0.119494
Liver	H+ secreting cell	-0.122077
Liver	Mesothelial cell	-0.123034
Liver	Pulmonary epithelium	-0.123768
Liver	Basal cell	-0.158446
Liver	Urothelial cell	-0.161463
Liver	Fibroblast_GPRC6A	-0.16277
Liver	Cardiac muscle	-0.190586
Liver	Endocardial endothelial cell	-0.201841
Liver	Epicardial cell	-0.2467
Lung	Pulmonary epithelium	0.335522
Lung	Erythroid cell	0.232424
Lung	Megakaryocyte	0.166708
Lung	Lung fibroblast	0.158293
Lung	Endocardial endothelial cell	0.13302
Lung	Endothelial_RGS5	0.119122
Lung	Epicardial cell	0.0949325
Lung	Fibroblast_GPRC6A	0.0769628
Lung	T cell	0.0640526
Lung	Cardiac muscle	0.0609836
Lung	Smooth muscle cell	0.0486551
Lung	Meningeal cell	0.0419817
Lung	Capillary endothelial cell	0.0379765
Lung	Osteoblast	0.0371185
Lung	Fibroblast	0.034023
Lung	Neuron_NR4A1	0.0277524
Lung	Lymphatic endothelial cell	0.0276021
Lung	B cell	0.0255502
Lung	Hepatic stellate cell	0.0182914
Lung	Mesothelial cell	0.0119879
Lung	Liver sinusoidal endothelial cell	0.0089534
Lung	Myofibroblast	0.00723636
Lung	Adipocyte	0.00555702
Lung	Urothelial cell	0.000844698
Lung	Basal cell	-0.00175847
Lung	Endothelial_MAS1	-0.0099284
Lung	Oligodendrocyte progenitor	-0.0133004
Lung	H+ secreting cell	-0.0142144
Lung	Parietal cell	-0.019487
Lung	Chondrocyte	-0.0246557
Lung	Foveolar cell	-0.0247953
Lung	Respiratory epithelial cell	-0.0324662
Lung	Podocyte	-0.0389655
Lung	Goblet cell	-0.0393986
Lung	Macrophage	-0.0394961
Lung	Cloaca epithelial cell	-0.0412871
Lung	Pancreatic ductal cell	-0.0467986
Lung	Endocrine cell	-0.047628
Lung	Astrocyte	-0.0482468
Lung	vas deferens epithelial cell	-0.0521072
Lung	Myoblast	-0.0638755
Lung	Oligodendrocyte	-0.0682549
Lung	Hepatocyte	-0.0708632
Lung	Inhibitory neuron	-0.0835783
Lung	Neuroendocrine	-0.0908502
Lung	Proximal tubule	-0.0982093
Lung	Acinar cell	-0.118614
Lung	Enterocyte	-0.119674
Lung	Neuron_UNC5A	-0.138304
Lung	Cholangiocyte	-0.166152
Pancreas	Acinar cell	0.339486
Pancreas	Cholangiocyte	0.293595
Pancreas	Pancreatic ductal cell	0.143903
Pancreas	Epicardial cell	0.122973
Pancreas	Mesothelial cell	0.103302
Pancreas	Lung fibroblast	0.0988979
Pancreas	Basal cell	0.0960883
Pancreas	Podocyte	0.0861073
Pancreas	Proximal tubule	0.0829338
Pancreas	H+ secreting cell	0.0697185
Pancreas	Endocardial endothelial cell	0.0673785
Pancreas	Astrocyte	0.065911
Pancreas	Fibroblast_GPRC6A	0.062565
Pancreas	Enterocyte	0.0610727
Pancreas	Smooth muscle cell	0.060623
Pancreas	Endothelial_MAS1	0.05003
Pancreas	Cardiac muscle	0.0434901
Pancreas	Endocrine cell	0.0399803
Pancreas	Urothelial cell	0.0361908
Pancreas	Endothelial_RGS5	0.0357302
Pancreas	Oligodendrocyte	0.0287211
Pancreas	Osteoblast	0.00977447
Pancreas	Myoblast	0.00493865
Pancreas	Myofibroblast	0.00458674
Pancreas	Neuron_NR4A1	0.000721282
Pancreas	Neuroendocrine	-0.00107717
Pancreas	Neuron_UNC5A	-0.00399841
Pancreas	Pulmonary epithelium	-0.0235903
Pancreas	Adipocyte	-0.0253373
Pancreas	Oligodendrocyte progenitor	-0.0256776
Pancreas	Hepatocyte	-0.0387432
Pancreas	Parietal cell	-0.042264
Pancreas	Respiratory epithelial cell	-0.0435102
Pancreas	Foveolar cell	-0.0436127
Pancreas	T cell	-0.0438745
Pancreas	Goblet cell	-0.0515075
Pancreas	Chondrocyte	-0.055009
Pancreas	Meningeal cell	-0.0601968
Pancreas	Erythroid cell	-0.0666771
Pancreas	Inhibitory neuron	-0.067515
Pancreas	Macrophage	-0.0803325
Pancreas	Megakaryocyte	-0.0836943
Pancreas	Capillary endothelial cell	-0.0913739
Pancreas	Fibroblast	-0.0979096
Pancreas	Cloaca epithelial cell	-0.103884
Pancreas	Lymphatic endothelial cell	-0.106776
Pancreas	Liver sinusoidal endothelial cell	-0.117907
Pancreas	B cell	-0.121179
Pancreas	vas deferens epithelial cell	-0.137399
Pancreas	Hepatic stellate cell	-0.140722
Prostate	vas deferens epithelial cell	0.625576
Prostate	B cell	0.13831
Prostate	Cloaca epithelial cell	0.129218
Prostate	Liver sinusoidal endothelial cell	0.11905
Prostate	Hepatic stellate cell	0.114673
Prostate	Macrophage	0.107786
Prostate	Parietal cell	0.105746
Prostate	Hepatocyte	0.105468
Prostate	Goblet cell	0.0824567
Prostate	Chondrocyte	0.0725051
Prostate	Neuroendocrine	0.0658813
Prostate	Lymphatic endothelial cell	0.0603009
Prostate	Oligodendrocyte progenitor	0.0553845
Prostate	Capillary endothelial cell	0.0485513
Prostate	Erythroid cell	0.0457242
Prostate	Adipocyte	0.041423
Prostate	Proximal tubule	0.0350465
Prostate	Meningeal cell	0.0324388
Prostate	Fibroblast	0.0258268
Prostate	Foveolar cell	0.0228019
Prostate	T cell	0.012137
Prostate	Oligodendrocyte	0.00999316
Prostate	Endocrine cell	0.00258528
Prostate	Myoblast	0.00150408
Prostate	Pulmonary epithelium	4.1801e-05
Prostate	H+ secreting cell	-0.00123944
Prostate	Inhibitory neuron	-0.0123445
Prostate	Megakaryocyte	-0.0144476
Prostate	Osteoblast	-0.0182572
Prostate	Myofibroblast	-0.0223588
Prostate	Urothelial cell	-0.0283753
Prostate	Enterocyte	-0.0464158
Prostate	Cardiac muscle	-0.0540675
Prostate	Neuron_NR4A1	-0.0721729
Prostate	Respiratory epithelial cell	-0.0860968
Prostate	Podocyte	-0.0871138
Prostate	Neuron_UNC5A	-0.0892638
Prostate	Epicardial cell	-0.0913427
Prostate	Acinar cell	-0.11334
Prostate	Endocardial endothelial cell	-0.117819
Prostate	Endothelial_MAS1	-0.126487
Prostate	Smooth muscle cell	-0.128047
Prostate	Pancreatic ductal cell	-0.131842
Prostate	Astrocyte	-0.142715
Prostate	Endothelial_RGS5	-0.159617
Prostate	Basal cell	-0.162335
Prostate	Mesothelial cell	-0.167289
Prostate	Fibroblast_GPRC6A	-0.172333
Prostate	Lung fibroblast	-0.191474
Prostate	Cholangiocyte	-0.284671
Spleen	B cell	0.574579
Spleen	T cell	0.430242
Spleen	Erythroid cell	0.3436
Spleen	Megakaryocyte	0.325974
Spleen	Macrophage	0.315183
Spleen	Liver sinusoidal endothelial cell	0.16545
Spleen	vas deferens epithelial cell	0.113417
Spleen	Hepatic stellate cell	0.109214
Spleen	Capillary endothelial cell	0.0926374
Spleen	Parietal cell	0.0458217
Spleen	Lymphatic endothelial cell	0.0422233
Spleen	Goblet cell	0.030809
Spleen	Cloaca epithelial cell	0.0304227
Spleen	Chondrocyte	0.0276968
Spleen	Meningeal cell	0.0260828
Spleen	Hepatocyte	0.0193695
Spleen	Neuroendocrine	0.00544948
Spleen	Endothelial_RGS5	0.00180914
Spleen	Adipocyte	-0.00525628
Spleen	Myoblast	-0.0058232
Spleen	Oligodendrocyte progenitor	-0.00770537
Spleen	Fibroblast	-0.0160333
Spleen	Oligodendrocyte	-0.0293471
Spleen	Proximal tubule	-0.0342797
Spleen	Inhibitory neuron	-0.0409512
Spleen	Foveolar cell	-0.0416623
Spleen	Endocrine cell	-0.0497314
Spleen	Endothelial_MAS1	-0.0547091
Spleen	Myofibroblast	-0.0657938
Spleen	Respiratory epithelial cell	-0.070961
Spleen	Osteoblast	-0.0744805
Spleen	H+ secreting cell	-0.082511
Spleen	Enterocyte	-0.094893
Spleen	Urothelial cell	-0.0959746
Spleen	Cardiac muscle	-0.0961991
Spleen	Pulmonary epithelium	-0.0979572
Spleen	Basal cell	-0.10453
Spleen	Neuron_NR4A1	-0.112175
Spleen	Endocardial endothelial cell	-0.118267
Spleen	Neuron_UNC5A	-0.12624
Spleen	Fibroblast_GPRC6A	-0.131829
Spleen	Acinar cell	-0.133166
Spleen	Podocyte	-0.135577
Spleen	Pancreatic ductal cell	-0.144969
Spleen	Astrocyte	-0.175733
Spleen	Mesothelial cell	-0.180234
Spleen	Epicardial cell	-0.194421
Spleen	Smooth muscle cell	-0.196465
Spleen	Lung fibroblast	-0.214314
