cell_type	program	gene	cpm_eye1	cpm_eye2	log2fc_eye2_vs_eye1
cone cell	antigen_processing	PSMB9	0.89507605237448	0.526833472680787	-0.442141541801412
rod cell	nfkb_cytokine	IL1B	0.402359759517619	0.121041489391319	-0.539013080019697
rod cell	nfkb_cytokine	TNF	0	0	0
rod cell	nfkb_cytokine	NFKBIA	7.04129579155833	6.89936489530516	-0.0274109912921778
rod cell	nfkb_cytokine	NFKBIZ	7.54424549095535	11.377900002784	0.562250777085666
rod cell	nfkb_cytokine	CCL2	0.201179879758809	0.121041489391319	-0.175094946227149
rod cell	nfkb_cytokine	CCL3	0	0	0
rod cell	nfkb_cytokine	CCL4	0.100589939879405	0	-0.264452214493801
rod cell	nfkb_cytokine	CXCL2	0.100589939879405	0.242082978782637	0.305200206824588
rod cell	nfkb_cytokine	CXCL3	0	0	0
rod cell	nfkb_cytokine	CXCL8	0	0	0
rod cell	nfkb_cytokine	ICAM1	1.40825915831167	1.08937340452187	-0.263799006595234
rod cell	nfkb_cytokine	PTGS2	0	0	0
rod cell	nfkb_cytokine	RELB	0.301769819638214	0.605207446956593	0.463057170824076
rod cell	nfkb_cytokine	IER3	0.905309458914643	1.9366638302611	0.794019369174178
rod cell	interferon	ISG15	0.301769819638214	0.363124468173956	0.106380508106423
rod cell	interferon	IFIT1	4.92890705409083	3.75228617113088	-0.352423093446516
rod cell	interferon	IFIT2	0.201179879758809	0.726248936347912	0.806395381139562
rod cell	interferon	IFIT3	1.00589939879405	0.484165957565275	-0.613651874947747
rod cell	interferon	MX1	0.402359759517619	0.242082978782637	-0.28212221638155
rod cell	interferon	OAS1	0	0.121041489391319	0.312761557680243
rod cell	interferon	OAS2	0.100589939879405	0	-0.264452214493801
rod cell	interferon	OAS3	0	0	0
rod cell	interferon	STAT1	50.69732969922	60.2786617168767	0.247496343065093
rod cell	interferon	IRF7	3.72182777553797	6.77832340591385	0.78573843064144
rod cell	interferon	GBP1	0.100589939879405	0.363124468173956	0.523188311053354
rod cell	interferon	CXCL10	0	0	0
rod cell	antigen_processing	B2M	25.6504346692482	36.5545297961782	0.502814991137439
rod cell	antigen_processing	HLA-A	7.84601531059357	9.44123617252286	0.252337691941684
rod cell	antigen_processing	HLA-B	24.2421755109365	25.1766297933943	0.0534834947246582
rod cell	antigen_processing	HLA-C	32.1887807614095	39.9436914991352	0.307119117363612
rod cell	antigen_processing	HLA-E	1.40825915831167	2.42082978782637	0.61412117188432
rod cell	antigen_processing	TAP1	1.81061891782929	2.78395425600033	0.507154690309339
rod cell	antigen_processing	TAP2	9.85781410818166	9.32019468313154	-0.076896040709962
rod cell	antigen_processing	PSMB8	1.40825915831167	0.968331915130549	-0.378078990290913
rod cell	antigen_processing	PSMB9	1.10648933867345	1.81562234086978	0.527488574188593
horizontal cell	nfkb_cytokine	IL1B	0	0	0
horizontal cell	nfkb_cytokine	TNF	0	0	0
horizontal cell	nfkb_cytokine	NFKBIA	26.7813287413801	26.2351203142618	-0.0291777435462699
horizontal cell	nfkb_cytokine	NFKBIZ	13.6755721232579	25.6521176406115	0.883520808711266
horizontal cell	nfkb_cytokine	CCL2	1.13963101027149	0.583002673650261	-0.598334376386
horizontal cell	nfkb_cytokine	CCL3	0	0	0
horizontal cell	nfkb_cytokine	CCL4	0	0	0
horizontal cell	nfkb_cytokine	CXCL2	0	0	0
horizontal cell	nfkb_cytokine	CXCL3	0	0.583002673650261	1.11503680458725
horizontal cell	nfkb_cytokine	CXCL8	0	0	0
horizontal cell	nfkb_cytokine	ICAM1	1.13963101027149	2.33201069460105	0.788455532547507
horizontal cell	nfkb_cytokine	PTGS2	0.569815505135747	0.583002673650261	0.0176747862557282
horizontal cell	nfkb_cytokine	RELB	0.569815505135747	0	-1.09736201833152
horizontal cell	nfkb_cytokine	IER3	1.13963101027149	2.33201069460105	0.788455532547507
horizontal cell	interferon	ISG15	1.13963101027149	1.74900802095078	0.455917625436072
horizontal cell	interferon	IFIT1	29.0605907619231	22.1541015987099	-0.383902823170555
horizontal cell	interferon	IFIT2	10.2566790924434	5.83002673650261	-0.764949245286322
horizontal cell	interferon	IFIT3	19.9435426797512	13.9920641676063	-0.496382125003053
horizontal cell	interferon	MX1	9.11704808217196	1.74900802095078	-2.09630532555444
horizontal cell	interferon	OAS1	0.569815505135747	0	-1.09736201833152
horizontal cell	interferon	OAS2	1.13963101027149	1.16600534730052	0.0230218502893758
horizontal cell	interferon	OAS3	0.569815505135747	0.583002673650261	0.0176747862557282
horizontal cell	interferon	STAT1	28.4907752567874	26.818122987912	-0.0857355534335859
horizontal cell	interferon	IRF7	1.70944651540724	1.74900802095078	0.0256037985507302
horizontal cell	interferon	GBP1	1.13963101027149	0	-1.71337118097325
horizontal cell	interferon	CXCL10	0	0	0
horizontal cell	antigen_processing	B2M	31.9096682876018	25.0691149669612	-0.342022029854647
horizontal cell	antigen_processing	HLA-A	56.9815505135747	54.8022513231246	-0.0557607647844041
horizontal cell	antigen_processing	HLA-B	81.4836172344118	72.8753342062827	-0.160040475792454
horizontal cell	antigen_processing	HLA-C	168.665389520181	156.24471653827	-0.110017615412214
horizontal cell	antigen_processing	HLA-E	6.26797055649322	4.08101871555183	-0.563054835208271
horizontal cell	antigen_processing	TAP1	3.41889303081448	2.91501336825131	-0.198554967979091
horizontal cell	antigen_processing	TAP2	5.69815505135747	4.08101871555183	-0.436170388505963
horizontal cell	antigen_processing	PSMB8	2.27926202054299	1.74900802095078	-0.305413047531214
horizontal cell	antigen_processing	PSMB9	0.569815505135747	0.583002673650261	0.0176747862557282
bipolar cell	nfkb_cytokine	IL1B	0.266888718080109	0	-0.617089151000334
bipolar cell	nfkb_cytokine	TNF	0	0	0
bipolar cell	nfkb_cytokine	NFKBIA	5.33777436160219	4.77526901819105	-0.146173782145321
bipolar cell	nfkb_cytokine	NFKBIZ	9.60799385088394	11.2559912571646	0.217899499437909
bipolar cell	nfkb_cytokine	CCL2	0.266888718080109	0.341090644156503	0.133244041903296
bipolar cell	nfkb_cytokine	CCL3	0	0	0
bipolar cell	nfkb_cytokine	CCL4	0	0	0
bipolar cell	nfkb_cytokine	CXCL2	0.266888718080109	0.682181288313007	0.624362139756367
bipolar cell	nfkb_cytokine	CXCL3	0	0.682181288313007	1.2414512907567
bipolar cell	nfkb_cytokine	CXCL8	0	0	0
bipolar cell	nfkb_cytokine	ICAM1	1.33444359040055	0.341090644156503	-1.12500934913138
bipolar cell	nfkb_cytokine	PTGS2	0	0	0
bipolar cell	nfkb_cytokine	RELB	0	0.341090644156503	0.75033319290363
bipolar cell	nfkb_cytokine	IER3	1.06755487232044	1.70545322078252	0.492559214667523
bipolar cell	interferon	ISG15	0.533777436160219	0	-1.04792561862222
bipolar cell	interferon	IFIT1	14.1451020582458	9.55053803638209	-0.543145511653634
bipolar cell	interferon	IFIT2	2.66888718080109	2.38763450909552	-0.134088147220435
bipolar cell	interferon	IFIT3	4.00333077120164	2.38763450909552	-0.641104297653206
bipolar cell	interferon	MX1	3.46955333504142	2.38763450909552	-0.459088530155569
bipolar cell	interferon	OAS1	0	0	0
bipolar cell	interferon	OAS2	0	0	0
bipolar cell	interferon	OAS3	0	0	0
bipolar cell	interferon	STAT1	32.0266461696131	27.9694328208333	-0.192208321979547
bipolar cell	interferon	IRF7	1.33444359040055	2.04654386493902	0.473198026244991
bipolar cell	interferon	GBP1	0	0	0
bipolar cell	interferon	CXCL10	0	0	0
bipolar cell	antigen_processing	B2M	24.5537620633701	28.9927047533028	0.235330882696295
bipolar cell	antigen_processing	HLA-A	40.8339738662567	39.2254240779979	-0.057265450954205
bipolar cell	antigen_processing	HLA-B	24.2868733452899	29.3337953974593	0.267371227099644
bipolar cell	antigen_processing	HLA-C	65.921513365787	66.8537662546747	0.0201080258822913
bipolar cell	antigen_processing	HLA-E	1.60133230848066	2.38763450909552	0.458583819919435
bipolar cell	antigen_processing	TAP1	1.86822102656077	4.43417837403454	1.05900613674718
bipolar cell	antigen_processing	TAP2	9.87488256896405	10.9149006130081	0.137823291392524
bipolar cell	antigen_processing	PSMB8	1.33444359040055	1.02327193246951	-0.268169029227987
bipolar cell	antigen_processing	PSMB9	1.06755487232044	1.02327193246951	-0.0413424327013091
RGC	nfkb_cytokine	IL1B	0	0	0
RGC	nfkb_cytokine	TNF	0	0	0
RGC	nfkb_cytokine	NFKBIA	20.3756098128937	11.9640122511485	-0.744049785265968
RGC	nfkb_cytokine	NFKBIZ	14.5540070092098	17.9460183767228	0.293161891932524
RGC	nfkb_cytokine	CCL2	0	0	0
RGC	nfkb_cytokine	CCL3	0	0	0
RGC	nfkb_cytokine	CCL4	0	0	0
RGC	nfkb_cytokine	CXCL2	0	0	0
RGC	nfkb_cytokine	CXCL3	0	0	0
RGC	nfkb_cytokine	CXCL8	0	0	0
RGC	nfkb_cytokine	ICAM1	8.73240420552587	0	-4.20670638825355
RGC	nfkb_cytokine	PTGS2	0	0	0
RGC	nfkb_cytokine	RELB	0	0	0
RGC	nfkb_cytokine	IER3	0	2.99100306278714	2.80364162262137
RGC	interferon	ISG15	5.82160280368391	11.9640122511485	0.979406260180867
RGC	interferon	IFIT1	34.9296168221035	20.93702143951	-0.724851397633016
RGC	interferon	IFIT2	5.82160280368391	8.97300918836141	0.58353239255095
RGC	interferon	IFIT3	14.5540070092098	2.99100306278714	-2.10843402057199
RGC	interferon	MX1	8.73240420552587	0	-4.20670638825355
RGC	interferon	OAS1	0	0	0
RGC	interferon	OAS2	0	0	0
RGC	interferon	OAS3	0	0	0
RGC	interferon	STAT1	61.1268294386811	38.8830398162328	-0.645984098327345
RGC	interferon	IRF7	0	0	0
RGC	interferon	GBP1	0	0	0
RGC	interferon	CXCL10	0	0	0
RGC	antigen_processing	B2M	17.4648084110517	44.865045941807	1.33640757024514
RGC	antigen_processing	HLA-A	37.8404182239454	29.9100306278714	-0.33431880486098
RGC	antigen_processing	HLA-B	61.1268294386811	35.8920367534456	-0.759935772845866
RGC	antigen_processing	HLA-C	113.521254671836	80.7570826952527	-0.488737307114929
RGC	antigen_processing	HLA-E	0	5.98200612557427	3.69644038402068
RGC	antigen_processing	TAP1	2.91080140184196	8.97300918836141	1.47371202914477
RGC	antigen_processing	TAP2	11.6432056073678	8.97300918836141	-0.35825463079057
RGC	antigen_processing	PSMB8	8.73240420552587	5.98200612557427	-0.510266004232872
RGC	antigen_processing	PSMB9	2.91080140184196	0	-2.7701107546819
macrophage	nfkb_cytokine	IL1B	12.102142079148	0	-4.6555970749858
macrophage	nfkb_cytokine	TNF	0	0	0
macrophage	nfkb_cytokine	NFKBIA	66.561781435314	10.1294544275845	-2.65742325720426
macrophage	nfkb_cytokine	NFKBIZ	24.204284158296	5.06472721379227	-2.15037837960217
macrophage	nfkb_cytokine	CCL2	18.153213118722	0	-5.22135225894286
macrophage	nfkb_cytokine	CCL3	0	0	0
macrophage	nfkb_cytokine	CCL4	0	0	0
macrophage	nfkb_cytokine	CXCL2	0	0	0
macrophage	nfkb_cytokine	CXCL3	0	0	0
macrophage	nfkb_cytokine	CXCL8	18.153213118722	0	-5.22135225894286
macrophage	nfkb_cytokine	ICAM1	36.306426237444	5.06472721379227	-2.72557480372533
macrophage	nfkb_cytokine	PTGS2	0	0	0
macrophage	nfkb_cytokine	RELB	0	0	0
macrophage	nfkb_cytokine	IER3	6.051071039574	25.3236360689613	1.97888945369962
macrophage	interferon	ISG15	6.051071039574	0	-3.71173079323994
macrophage	interferon	IFIT1	6.051071039574	0	-3.71173079323994
macrophage	interferon	IFIT2	0	0	0
macrophage	interferon	IFIT3	0	0	0
macrophage	interferon	MX1	0	0	0
macrophage	interferon	OAS1	0	0	0
macrophage	interferon	OAS2	0	0	0
macrophage	interferon	OAS3	0	0	0
macrophage	interferon	STAT1	12.102142079148	30.3883632827536	1.29339444715026
macrophage	interferon	IRF7	18.153213118722	0	-5.22135225894286
macrophage	interferon	GBP1	0	0	0
macrophage	interferon	CXCL10	18.153213118722	0	-5.22135225894286
macrophage	antigen_processing	B2M	60.51071039574	50.6472721379226	-0.254405231134135
macrophage	antigen_processing	HLA-A	18.153213118722	45.5825449241304	1.30479622824641
macrophage	antigen_processing	HLA-B	48.408568316592	45.5825449241304	-0.0858668414847404
macrophage	antigen_processing	HLA-C	48.408568316592	45.5825449241304	-0.0858668414847404
macrophage	antigen_processing	HLA-E	0	0	0
macrophage	antigen_processing	TAP1	18.153213118722	5.06472721379227	-1.74504129140347
macrophage	antigen_processing	TAP2	6.051071039574	15.1941816413768	1.26042710452677
macrophage	antigen_processing	PSMB8	0	5.06472721379227	3.4763109675394
macrophage	antigen_processing	PSMB9	0	0	0
muller glia cell	nfkb_cytokine	IL1B	46.2629292712858	0	-6.54729339928202
muller glia cell	nfkb_cytokine	TNF	0	0	0
muller glia cell	nfkb_cytokine	NFKBIA	144.470200180507	8.34383613707087	-4.03494026819316
muller glia cell	nfkb_cytokine	NFKBIZ	28.4070618332457	32.9581527414299	0.210935816819435
muller glia cell	nfkb_cytokine	CCL2	38.9582562284512	2.08595903426772	-3.93155587486835
muller glia cell	nfkb_cytokine	CCL3	0	0	0
muller glia cell	nfkb_cytokine	CCL4	0	0	0
muller glia cell	nfkb_cytokine	CXCL2	3.24652135237093	9.17821975077796	1.36919002321237
muller glia cell	nfkb_cytokine	CXCL3	0.405815169046367	3.33753445482835	2.08289109910286
muller glia cell	nfkb_cytokine	CXCL8	11.7686399023446	0	-4.6169034160232
muller glia cell	nfkb_cytokine	ICAM1	139.60041815195	7.50945252336378	-4.12861381920819
muller glia cell	nfkb_cytokine	PTGS2	0	0.417191806853544	0.87529537269537
muller glia cell	nfkb_cytokine	RELB	2.84070618332457	2.92034264797481	0.0339877581700332
muller glia cell	nfkb_cytokine	IER3	25.1605404808747	25.4487002180662	0.0161107173221195
muller glia cell	interferon	ISG15	11.7686399023446	12.9329460124599	0.130800419331042
muller glia cell	interferon	IFIT1	9.7395640571128	8.76102794392441	-0.144910052892743
muller glia cell	interferon	IFIT2	2.84070618332457	2.08595903426772	-0.369453681817594
muller glia cell	interferon	IFIT3	3.24652135237093	2.92034264797481	-0.131410813061546
muller glia cell	interferon	MX1	4.05815169046367	3.33753445482835	-0.248269233166137
muller glia cell	interferon	OAS1	0.811630338092734	2.08595903426772	0.979338243872256
muller glia cell	interferon	OAS2	0.405815169046367	0.417191806853544	0.0180067681983208
muller glia cell	interferon	OAS3	0	0.834383613707087	1.41617347764171
muller glia cell	interferon	STAT1	19.0733129451792	29.6206182866016	0.621863419840976
muller glia cell	interferon	IRF7	64.9304270474187	2.92034264797481	-4.25774892099705
muller glia cell	interferon	GBP1	4.05815169046367	5.00630168224252	0.272634718491081
muller glia cell	interferon	CXCL10	56.8141236664914	0	-6.84081879465136
muller glia cell	antigen_processing	B2M	45.0454837641467	42.970756105915	-0.0672628159383259
muller glia cell	antigen_processing	HLA-A	32.8710286927557	37.5472626168189	0.189196500392961
muller glia cell	antigen_processing	HLA-B	47.8861899474713	44.6395233333292	-0.100204158219848
muller glia cell	antigen_processing	HLA-C	61.6839056950478	42.5535642990614	-0.530408553682803
muller glia cell	antigen_processing	HLA-E	17.8558674380401	14.601713239874	-0.281529065221124
muller glia cell	antigen_processing	TAP1	3.6523365214173	5.84068529594961	0.610715404039715
muller glia cell	antigen_processing	TAP2	10.1453792261592	7.09226071651024	-0.487625904476505
muller glia cell	antigen_processing	PSMB8	1.2174455071391	1.66876722741417	0.336610893187824
muller glia cell	antigen_processing	PSMB9	3.24652135237093	5.42349348909607	0.660896608980065
