cluster	cell_type	gene	cells	fraction_detected	mean_logcp10k
18	rod cell	NRL	145	0.606896551724138	1.31202926454055
18	rod cell	SAG	145	0.951724137931034	2.8938735245277
18	rod cell	CNGA1	145	0.668965517241379	1.532295216978
19	rod cell	RHO	129	0.821705426356589	2.09984854962531
19	rod cell	GNAT1	129	0.697674418604651	1.60557953726321
19	rod cell	PDE6A	129	0.992248062015504	4.59454072369003
19	rod cell	PDE6B	129	0.767441860465116	1.76570836679205
19	rod cell	PDE6G	129	0.821705426356589	2.08753577424777
19	rod cell	NRL	129	0.589147286821705	1.21908559199598
19	rod cell	SAG	129	0.922480620155039	2.84448065756678
19	rod cell	CNGA1	129	0.674418604651163	1.51977342690496
2	rod cell	RHO	2993	0.820247243568326	1.97496594152562
2	rod cell	GNAT1	2993	0.726027397260274	1.62680973592978
2	rod cell	PDE6A	2993	1	4.45896671566836
2	rod cell	PDE6B	2993	0.820247243568326	1.89073739997557
2	rod cell	PDE6G	2993	0.85733377881724	2.10139481746636
2	rod cell	NRL	2993	0.608085532910124	1.23911538771284
2	rod cell	SAG	2993	0.929168058803876	2.80444991286534
2	rod cell	CNGA1	2993	0.701637153357835	1.50738709652859
20	rod cell	RHO	125	0.84	2.16026693659333
20	rod cell	GNAT1	125	0.728	1.68734505986511
20	rod cell	PDE6A	125	1	4.5393648591583
20	rod cell	PDE6B	125	0.84	1.9820982242204
20	rod cell	PDE6G	125	0.848	2.14582604617063
20	rod cell	NRL	125	0.632	1.39730661123353
20	rod cell	SAG	125	0.952	2.9300302145868
20	rod cell	CNGA1	125	0.72	1.5774313517239
21	bipolar cell	VSX2	111	0.243243243243243	0.439814579781976
21	bipolar cell	VSX1	111	0.486486486486487	1.05078143535557
21	bipolar cell	PRKCA	111	0.036036036036036	0.052166193942592
21	bipolar cell	GRM6	111	0.0630630630630631	0.1176556850895
21	bipolar cell	TRPM1	111	0.576576576576577	1.24248173533695
21	bipolar cell	CABP5	111	0.0540540540540541	0.0771977909147899
21	bipolar cell	OTX2	111	0.657657657657658	1.33682627651041
22	rod cell	RHO	108	0.833333333333333	2.03916653156128
22	rod cell	GNAT1	108	0.694444444444444	1.6094984959973
22	rod cell	PDE6A	108	1	4.57014555199247
22	rod cell	PDE6B	108	0.805555555555556	1.82386606150483
22	rod cell	PDE6G	108	0.787037037037037	2.0965693346171
22	rod cell	NRL	108	0.62037037037037	1.30724955347113
22	rod cell	SAG	108	0.944444444444444	2.92818639097949
22	rod cell	CNGA1	108	0.722222222222222	1.62153805449847
23	horizontal cell	ONECUT1	108	0	0
23	horizontal cell	ONECUT2	108	0.037037037037037	0.060370469709753
23	horizontal cell	LHX1	108	0	0
23	horizontal cell	CALB1	108	0.0277777777777778	0.0542602981943832
23	horizontal cell	PROX1	108	0.0740740740740741	0.140165348819883
23	horizontal cell	GAD1	108	0.0648148148148148	0.129325468557559
23	horizontal cell	GAD2	108	0.296296296296296	0.574966145877695
24	horizontal cell	ONECUT1	103	0	0
24	horizontal cell	ONECUT2	103	0	0
24	horizontal cell	LHX1	103	0.00970873786407767	0.00845229302240462
24	horizontal cell	CALB1	103	0.058252427184466	0.0854372226090847
24	horizontal cell	PROX1	103	0.058252427184466	0.0720726149023892
24	horizontal cell	GAD1	103	0.427184466019417	0.939665207697611
24	horizontal cell	GAD2	103	0.524271844660194	0.78849757596331
25	rod cell	RHO	102	0.637254901960784	1.68621246629713
25	rod cell	GNAT1	102	0.549019607843137	1.34683110986688
25	rod cell	PDE6A	102	0.980392156862745	4.37399904212601
25	rod cell	PDE6B	102	0.607843137254902	1.45687834412319
25	rod cell	PDE6G	102	0.656862745098039	1.76763808716784
25	rod cell	NRL	102	0.480392156862745	1.09442188314813
25	rod cell	SAG	102	0.745098039215686	2.39557544776524
25	rod cell	CNGA1	102	0.529411764705882	1.18380953460971
26	rod cell	RHO	101	0.841584158415842	2.1569630125746
26	rod cell	GNAT1	101	0.722772277227723	1.69056900173119
26	rod cell	PDE6A	101	1	4.6127868366525
26	rod cell	PDE6B	101	0.782178217821782	1.81003712797836
26	rod cell	PDE6G	101	0.891089108910891	2.29733588107473
26	rod cell	NRL	101	0.673267326732673	1.49723447520032
26	rod cell	SAG	101	0.97029702970297	3.11700613677818
26	rod cell	CNGA1	101	0.742574257425743	1.64955888163007
27	horizontal cell	ONECUT1	90	0.0777777777777778	0.144571806377114
27	horizontal cell	ONECUT2	90	0.166666666666667	0.341228581197813
27	horizontal cell	LHX1	90	0.177777777777778	0.344051039334247
27	horizontal cell	CALB1	90	0.0444444444444444	0.087294388492657
27	horizontal cell	PROX1	90	0.3	0.604708244803047
27	horizontal cell	GAD1	90	0.0111111111111111	0.0221377930817403
27	horizontal cell	GAD2	90	0	0
28	rod cell	RHO	76	0.815789473684211	2.0354256974205
28	rod cell	GNAT1	76	0.776315789473684	1.7884457915128
28	rod cell	PDE6A	76	1	4.49886951213836
28	rod cell	PDE6B	76	0.710526315789474	1.63062594777555
28	rod cell	PDE6G	76	0.894736842105263	2.21833650481981
28	rod cell	NRL	76	0.697368421052632	1.54457116911355
28	rod cell	SAG	76	0.934210526315789	2.8589162016818
28	rod cell	CNGA1	76	0.697368421052632	1.55347452806371
29	fibroblast	COL1A1	62	0	0
29	fibroblast	COL1A2	62	0.0161290322580645	0.0180263645383421
29	fibroblast	COL3A1	62	0.0161290322580645	0.0128153243858634
29	fibroblast	DCN	62	0.516129032258065	0.745304452667481
29	fibroblast	LUM	62	0	0
29	fibroblast	COL6A1	62	0.306451612903226	0.346939600053834
29	fibroblast	COL6A2	62	0.0806451612903226	0.101708913035087
29	fibroblast	PDGFRA	62	0.032258064516129	0.0350193387529167
3	rod cell	RHO	1396	0.767191977077364	1.84205187842855
3	rod cell	GNAT1	1396	0.643266475644699	1.46582075561657
3	rod cell	PDE6A	1396	0.999283667621776	4.27249433801041
3	rod cell	PDE6B	1396	0.803724928366762	1.92698807512398
3	rod cell	PDE6G	1396	0.825931232091691	2.04532464546137
3	rod cell	NRL	1396	0.547994269340974	1.12010084328954
3	rod cell	SAG	1396	0.882521489971347	2.54711340296251
3	rod cell	CNGA1	1396	0.608882521489971	1.31780396985013
30	bipolar cell	VSX2	57	0.368421052631579	0.66643850096469
30	bipolar cell	VSX1	57	0.0175438596491228	0.0384483478730454
30	bipolar cell	PRKCA	57	0.0350877192982456	0.0506671392436916
30	bipolar cell	GRM6	57	0.578947368421053	1.12218924780488
30	bipolar cell	TRPM1	57	0.964912280701754	3.07737281154587
30	bipolar cell	CABP5	57	0.0175438596491228	0.0299200683560586
30	bipolar cell	OTX2	57	0.666666666666667	1.33721921131049
31	bipolar cell	VSX2	56	0.446428571428571	0.794415593244354
31	bipolar cell	VSX1	56	0.446428571428571	0.868814624518236
31	bipolar cell	PRKCA	56	0.107142857142857	0.1251356918763
31	bipolar cell	GRM6	56	0.910714285714286	1.94320433062897
31	bipolar cell	TRPM1	56	0.982142857142857	3.07332333652292
31	bipolar cell	CABP5	56	0.142857142857143	0.193602070208126
31	bipolar cell	OTX2	56	0.660714285714286	1.32079901151805
32	rod cell	RHO	50	0.92	2.2492282797288
32	rod cell	GNAT1	50	0.76	1.7921046144547
32	rod cell	PDE6A	50	0.98	4.4689890023306
32	rod cell	PDE6B	50	0.82	1.80190802025635
32	rod cell	PDE6G	50	0.88	2.16794623717664
32	rod cell	NRL	50	0.7	1.37778542904249
32	rod cell	SAG	50	0.96	3.05439009888495
32	rod cell	CNGA1	50	0.68	1.42032867810707
33	cone cell	OPN1LW	39	0.0512820512820513	0.0566411659312646
33	cone cell	OPN1MW	39	0.0256410256410256	0.0772488564105538
33	cone cell	OPN1SW	39	1	2.64698066951346
33	cone cell	ARR3	39	1	2.33826142778155
33	cone cell	GNAT2	39	0.41025641025641	0.462845597533982
33	cone cell	PDE6C	39	0.512820512820513	0.697782219235656
33	cone cell	CNGB3	39	1	2.81196237471872
34	rod cell	RHO	22	0.772727272727273	1.89260682475026
34	rod cell	GNAT1	22	0.727272727272727	1.88430570276098
34	rod cell	PDE6A	22	1	4.57058064437549
34	rod cell	PDE6B	22	0.772727272727273	1.86942246454031
34	rod cell	PDE6G	22	0.727272727272727	1.87171624706285
34	rod cell	NRL	22	0.590909090909091	1.45145122001176
34	rod cell	SAG	22	0.909090909090909	2.94479409062988
34	rod cell	CNGA1	22	0.636363636363636	1.47122405383276
4	rod cell	RHO	1320	0.861363636363636	2.03627836413451
4	rod cell	GNAT1	1320	0.759848484848485	1.64084041401816
4	rod cell	PDE6A	1320	1	4.6124273371735
4	rod cell	PDE6B	1320	0.857575757575758	1.87306226642906
4	rod cell	PDE6G	1320	0.902272727272727	2.16611881479201
4	rod cell	NRL	1320	0.711363636363636	1.42382129001361
4	rod cell	SAG	1320	0.977272727272727	3.11562705589029
4	rod cell	CNGA1	1320	0.80530303030303	1.7015824639101
5	muller glia cell	RLBP1	943	0.735949098621421	1.26559809575166
5	muller glia cell	GLUL	943	0.940615058324496	2.45858092810616
5	muller glia cell	SLC1A3	943	0.832449628844115	1.86693921034989
5	muller glia cell	RGR	943	0.668080593849417	1.20143885574583
5	muller glia cell	CA2	943	0.279957582184517	0.365693671773317
5	muller glia cell	SLC1A1	943	0.031813361611877	0.0351303254371432
6	cone cell	OPN1LW	669	0.742899850523169	1.35386487935243
6	cone cell	OPN1MW	669	0.127055306427504	0.174784174100965
6	cone cell	OPN1SW	669	0.00448430493273543	0.00603481629104448
6	cone cell	ARR3	669	0.971599402092676	2.56329847030621
6	cone cell	GNAT2	669	0.420029895366218	0.529706786160013
6	cone cell	PDE6C	669	0.675635276532138	1.00532038979058
6	cone cell	CNGB3	669	0.979073243647235	2.54199085732249
7	bipolar cell	VSX2	655	0.645801526717557	1.0395661836527
7	bipolar cell	VSX1	655	0.375572519083969	0.56697960966287
7	bipolar cell	PRKCA	655	0.995419847328244	3.33402940794768
7	bipolar cell	GRM6	655	0.819847328244275	1.55152474416799
7	bipolar cell	TRPM1	655	0.980152671755725	2.66565667981428
7	bipolar cell	CABP5	655	0.523664122137405	0.777434518628423
7	bipolar cell	OTX2	655	0.76030534351145	1.32573036672173
8	bipolar cell	VSX2	395	0.30379746835443	0.494159367256006
8	bipolar cell	VSX1	395	0.526582278481013	0.99857716013807
8	bipolar cell	PRKCA	395	0.0708860759493671	0.101869282665264
8	bipolar cell	GRM6	395	0.0278481012658228	0.035998670643703
8	bipolar cell	TRPM1	395	0.0126582278481013	0.0191673685648194
8	bipolar cell	CABP5	395	0.116455696202532	0.164769698381873
8	bipolar cell	OTX2	395	0.574683544303797	1.01010613962933
9	bipolar cell	VSX2	290	0.437931034482759	0.757395980148196
9	bipolar cell	VSX1	290	0.0241379310344828	0.0354547973395536
9	bipolar cell	PRKCA	290	0.0551724137931034	0.0866957210706943
9	bipolar cell	GRM6	290	0.0379310344827586	0.0533718103814067
9	bipolar cell	TRPM1	290	0.0172413793103448	0.0327490807387898
9	bipolar cell	CABP5	290	0.593103448275862	1.19889355234128
9	bipolar cell	OTX2	290	0.7	1.36532762444717
