target	n_guides	n_cells	primary_delta_mean	primary_delta_median	primary_p_less	canonical_delta_mean	canonical_delta_median	canonical_p_less	guide_fraction_negative	median_ifng_gene_fraction_down	median_ifng_gene_delta	median_target_gene_delta	primary_fdr	canonical_fdr	passes_robust_filter	robust_rank_key
HOXB5	1	50	0.00987192970761005	0.0073615387425402	0.621138542794644	0.0180622966524968	0.0338096818864674	0.62645266853537	0	0.448275862068966	0.00507153890759371	0.263338046883342	0.958399060772155	0.922865184337517	FALSE	0.0150443435007135
TRIM20	1	50	0.010486768165978	-0.0053315395782729	0.654368141362538	0.031199885756174	-0.0463422885682246	0.580433953076837	0	0.413793103448276	0.0139689444132802	0.0374129624611359	0.958399060772155	0.922865184337517	FALSE	0.0191074578211504
ZNF122	1	50	0.0160937151396884	0.0175093793808131	0.67879860709159	0.0590908603505461	0.0380446540465192	0.918052797337513	0	0.448275862068966	0.00453331028333759	0.0249363326593919	0.958399060772155	0.94159261265386	FALSE	0.0212661289327918
ZNF329	1	50	0.0179996434140209	0.00887048694696324	0.780873802346605	0.040170382788307	0.0137079622062808	0.778938823420679	0	0.448275862068966	0.0156761303737891	-0.0315858240738498	0.958399060772155	0.922865184337517	FALSE	0.0231720572071243
RPL27	1	50	0.0191869926623088	0.0460559551699089	0.87480884645502	0.0558129455690377	0.0453707366259003	0.864120405696699	0	0.413793103448276	0.012123634089459	-0.202109839967593	0.958399060772155	0.922865184337517	FALSE	0.0278076823174812
SLC2A1	1	50	0.0249161158991086	0.0167883978680532	0.815002643754044	0.0276792779753503	0.0334155564373436	0.698587724062495	0	0.448275862068966	0.00644398773458565	0.0710274817232701	0.958399060772155	0.922865184337517	FALSE	0.0300885296922121
CD69	1	50	0.0224927469423903	0.010275691331258	0.752321280332542	0.030065921160207	-0.00992557634484392	0.708912392129638	0	0.379310344827586	0.00483437830722	0.040459885101499	0.958399060772155	0.922865184337517	FALSE	0.0345617124596316
ZNF361	1	50	0.0272774837244697	0.0297868791988527	0.856445789314807	-1.55882874944493e-05	0.0103284210998167	0.401059896654296	0	0.413793103448276	0.0105028534516003	-0.0453444996940089	0.958399060772155	0.922865184337517	FALSE	0.0358981733796422
CD103	1	50	0.0286095573641151	0.0086653263161301	0.823836174552438	-0.00622634940889108	0.0385781648727735	0.457076379630662	0	0.379310344827586	0.0156511279851745	0.0537698907677693	0.958399060772155	0.922865184337517	FALSE	0.0406785228813564
ZNF205	1	50	0.0323265576168603	0.020606983699827	0.886519131214244	0.0306640246694109	0.0253616542562379	0.85938342111866	0	0.413793103448276	0.0146099813832188	0.028394749096559	0.958399060772155	0.922865184337517	FALSE	0.0409472472720327
IL6	1	50	0.0439765963157524	0.0763474082713323	0.979594146124983	0.00241498247411767	-0.0556837001368359	0.442670216138687	0	0.517241379310345	-0.00146521197045946	-0.0575225905732641	0.997845805391532	0.922865184337517	FALSE	0.0422524583847179
CCL8	1	50	0.0326763867091192	0.0116115267967421	0.841816584925256	-0.022321447381649	-0.0264862951897678	0.272497189639563	0	0.379310344827586	0.0120585627854619	-0.0164817907566932	0.958399060772155	0.922865184337517	FALSE	0.0447453522263606
ZNF324	1	50	0.0412613612741929	0.0348628395308294	0.946558535200935	0.0695783241923504	0.107339452185205	0.982843431576879	0	0.413793103448276	0.0242490958251227	0.0172708506039765	0.996377405474669	0.982843431576879	FALSE	0.0498820509293654
ZNF90	1	50	0.0679543434027228	0.107624567227283	0.997845805391532	0.0474271321870685	0.0322660310565425	0.817977261629093	0	0.241379310344828	0.0227927236621612	0.0279524597980791	0.997845805391532	0.922865184337517	FALSE	0.09381641236824
