rank	analysis	experiment	replicates	mapped_reads	expected_difference	lineage	signal_files	signal_sizes	signal_urls	biosample_term	biosample_summary	description
12	ENCAN273LMB	ENCSR517NHP	1	82513740	1663783.4	other	ENCFF681LTR	623697989	https://www.encodeproject.org/files/ENCFF681LTR/@@download/ENCFF681LTR.bigWig	muscle of arm	Homo sapiens muscle of arm tissue female embryo (105 days)	
13	ENCAN712YGD	ENCSR058ELM	1	79041522	-1808434.6	other	ENCFF771ULB	575367627	https://www.encodeproject.org/files/ENCFF771ULB/@@download/ENCFF771ULB.bigWig	T-helper 1 cell	Homo sapiens T-helper 1 cell male adult (30 years)	
14	ENCAN303BFR	ENCSR000EQK	1	82810043	1960086.4	other	ENCFF308FQH	658568510	https://www.encodeproject.org/files/ENCFF308FQH/@@download/ENCFF308FQH.bigWig	CD4-positive, CD25-positive, alpha-beta regulatory T cell	Homo sapiens CD4-positive, CD25-positive, alpha-beta regulatory T cell male adult (28 years)	DNase-seq on human Treg (Wb83319432)
15	ENCAN870ZML	ENCSR296TFH	1	78670480	-2179476.6	other	ENCFF907EIG	561352696	https://www.encodeproject.org/files/ENCFF907EIG/@@download/ENCFF907EIG.bigWig	naive thymus-derived CD8-positive, alpha-beta T cell	Homo sapiens naive thymus-derived CD8-positive, alpha-beta T cell male adult (24 years)	
16	ENCAN611JRE	ENCSR531UVE	1	78570568	-2279388.6	other	ENCFF627GLJ	623113521	https://www.encodeproject.org/files/ENCFF627GLJ/@@download/ENCFF627GLJ.bigWig	stimulated activated CD4-positive, alpha-beta T cell	Homo sapiens stimulated activated CD4-positive, alpha-beta T cell male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 1 hour, 100 ng/mL Interleukin-15 for 1 hour	
17	ENCAN981QZM	ENCSR597URK	1	78558518	-2291438.6	other	ENCFF186BOY	598562242	https://www.encodeproject.org/files/ENCFF186BOY/@@download/ENCFF186BOY.bigWig	T-cell	Homo sapiens T-cell female adult (28 years)	
18	ENCAN719VIJ	ENCSR455GUW	1	83201100	2351143.4	other	ENCFF717OQE	638079523	https://www.encodeproject.org/files/ENCFF717OQE/@@download/ENCFF717OQE.bigWig	Peyer's patch	Homo sapiens Peyer's patch tissue male adult (54 years)	
19	ENCAN445MLE	ENCSR339TVH	1	83340024	2490067.4	other	ENCFF576ZEH	644314347	https://www.encodeproject.org/files/ENCFF576ZEH/@@download/ENCFF576ZEH.bigWig	head of caudate nucleus	Homo sapiens with mild cognitive impairment; head of caudate nucleus tissue female adult (90 or above years)	
20	ENCAN907ZIN	ENCSR634YVQ	1	83681250	2831293.4	other	ENCFF299RIU	589505916	https://www.encodeproject.org/files/ENCFF299RIU/@@download/ENCFF299RIU.bigWig	HK-2	Homo sapiens HK-2	
21	ENCAN093DOE	ENCSR385AMY	1	77622158	-3227798.6	other	ENCFF641EOS	608712455	https://www.encodeproject.org/files/ENCFF641EOS/@@download/ENCFF641EOS.bigWig	hindlimb muscle	Homo sapiens hindlimb muscle tissue male embryo (120 days)	
22	ENCAN344TWW	ENCSR694DOX	1	84549926	3699969.4	other	ENCFF130TYS	630735978	https://www.encodeproject.org/files/ENCFF130TYS/@@download/ENCFF130TYS.bigWig	posterior cingulate gyrus	Homo sapiens posterior cingulate gyrus tissue male adult (83 years)	
23	ENCAN071CDF	ENCSR420HOT	1	76608288	-4241668.6	other	ENCFF907ITJ	622888578	https://www.encodeproject.org/files/ENCFF907ITJ/@@download/ENCFF907ITJ.bigWig	T-cell	Homo sapiens T-cell male adult (38 years)	
24	ENCAN750VNN	ENCSR000EQL	2	76217668	-4632288.6	other	ENCFF510GZG,ENCFF667GPM	555798054,593236644	https://www.encodeproject.org/files/ENCFF510GZG/@@download/ENCFF510GZG.bigWig,https://www.encodeproject.org/files/ENCFF667GPM/@@download/ENCFF667GPM.bigWig	WERI-Rb-1	Homo sapiens WERI-Rb-1	DNase-seq on human WERI-Rb-1
25	ENCAN171VCK	ENCSR649MJI	1	87133288	6283331.4	other	ENCFF539NFV	647453151	https://www.encodeproject.org/files/ENCFF539NFV/@@download/ENCFF539NFV.bigWig	head of caudate nucleus	Homo sapiens with mild cognitive impairment; head of caudate nucleus tissue female adult (90 or above years)	
26	ENCAN709LZL	ENCSR935EVZ	1	88030893	7180936.4	other	ENCFF799EDE	607626728	https://www.encodeproject.org/files/ENCFF799EDE/@@download/ENCFF799EDE.bigWig	left lung	Homo sapiens left lung tissue male embryo (115 days)	
27	ENCAN511VYT	ENCSR033STL	1	88142740	7292783.4	other	ENCFF619PMY	637462863	https://www.encodeproject.org/files/ENCFF619PMY/@@download/ENCFF619PMY.bigWig	muscle of back	Homo sapiens muscle of back tissue female embryo (105 days)	
28	ENCAN082HCH	ENCSR659JPP	1	88837942	7987985.4	other	ENCFF851FKA	610158759	https://www.encodeproject.org/files/ENCFF851FKA/@@download/ENCFF851FKA.bigWig	head of caudate nucleus	Homo sapiens with mild cognitive impairment; head of caudate nucleus tissue male adult (84 years)	
29	ENCAN571KFE	ENCSR646JBR	1	89660794	8810837.4	other	ENCFF860TZJ	644124170	https://www.encodeproject.org/files/ENCFF860TZJ/@@download/ENCFF860TZJ.bigWig	head of caudate nucleus	Homo sapiens with Alzheimer's disease; head of caudate nucleus tissue female adult (90 or above years)	
30	ENCAN650LCY	ENCSR763XBU	1	89688954	8838997.4	other	ENCFF013AMD	634838337	https://www.encodeproject.org/files/ENCFF013AMD/@@download/ENCFF013AMD.bigWig	dorsolateral prefrontal cortex	Homo sapiens with Alzheimer's disease; dorsolateral prefrontal cortex tissue female adult (88 years)	
31	ENCAN955TZR	ENCSR000EOS	2	91573550	10723593.4	other	ENCFF794WMH,ENCFF999ECC	601217239,560779824	https://www.encodeproject.org/files/ENCFF794WMH/@@download/ENCFF794WMH.bigWig,https://www.encodeproject.org/files/ENCFF999ECC/@@download/ENCFF999ECC.bigWig	Jurkat, Clone E6-1	Homo sapiens Jurkat, Clone E6-1	DNase-seq on human Jurkat
32	ENCAN848SEQ	ENCSR111LTT	1	91741902	10891945.4	other	ENCFF372KSU	606208798	https://www.encodeproject.org/files/ENCFF372KSU/@@download/ENCFF372KSU.bigWig	T-cell	Homo sapiens T-cell male adult (55 years)	
33	ENCAN325ZBV	ENCSR837VHE	4	92927401	12077444.4	other	ENCFF469BXZ,ENCFF427JBJ,ENCFF224UPH,ENCFF570PHG	554407837,552972621,545325844,562900465	https://www.encodeproject.org/files/ENCFF469BXZ/@@download/ENCFF469BXZ.bigWig,https://www.encodeproject.org/files/ENCFF427JBJ/@@download/ENCFF427JBJ.bigWig,https://www.encodeproject.org/files/ENCFF224UPH/@@download/ENCFF224UPH.bigWig,https://www.encodeproject.org/files/ENCFF570PHG/@@download/ENCFF570PHG.bigWig	A549	Homo sapiens A549 treated with 100 nM dexamethasone (agonist) for 2 hours	DNase-seq on A549 cell line treated with 100 nM dexamethasone for 2 hours.
34	ENCAN678SOC	ENCSR000EMD	2	93360371	12510414.4	other	ENCFF051WNA,ENCFF579OJG	560777351,585329118	https://www.encodeproject.org/files/ENCFF051WNA/@@download/ENCFF051WNA.bigWig,https://www.encodeproject.org/files/ENCFF579OJG/@@download/ENCFF579OJG.bigWig	BE2C	Homo sapiens BE2C	DNase-seq on human BE2-C
35	ENCAN929BUJ	ENCSR747RGR	1	94552760	13702803.4	other	ENCFF917NQK	610561346	https://www.encodeproject.org/files/ENCFF917NQK/@@download/ENCFF917NQK.bigWig	T-helper 17 cell	Homo sapiens T-helper 17 cell male adult (24 years)	
36	ENCAN416VGY	ENCSR136DNA	4	95025247	14175290.4	other	ENCFF186FMX,ENCFF140KUP,ENCFF670EQW,ENCFF331GTJ	529391114,566129017,552536166,576225222	https://www.encodeproject.org/files/ENCFF186FMX/@@download/ENCFF186FMX.bigWig,https://www.encodeproject.org/files/ENCFF140KUP/@@download/ENCFF140KUP.bigWig,https://www.encodeproject.org/files/ENCFF670EQW/@@download/ENCFF670EQW.bigWig,https://www.encodeproject.org/files/ENCFF331GTJ/@@download/ENCFF331GTJ.bigWig	A549	Homo sapiens A549	DNase-seq on A549 cell line treated with 100 nM dexamethasone for 0 hours.
#target_denominator	76275859
#epk_prefilter_mapped	76326299
#epk_q30_alignments	71759765
#epk_overlap_denominator	72008128
#observed_overlap_retention	0.943424860676
#expected_prefilter_mapped	80849956.557
