rank	analysis	experiment	replicate_count	mapped_reads	excess_over_track	ratio	alignment_files	signal_files	signal_urls	biosample_summary
11	ENCAN735GZD	ENCSR518JGY	1	73183307	-3092552	0.95945569	ENCFF746AVY	ENCFF368SOB	https://www.encodeproject.org/files/ENCFF368SOB/@@download/ENCFF368SOB.bigWig	male newborn
12	ENCAN272RCW	ENCSR796SJV	1	79390571	3114712	1.04083483	ENCFF479ENE	ENCFF988XLP	https://www.encodeproject.org/files/ENCFF988XLP/@@download/ENCFF988XLP.bigWig	female embryo (98 days)
13	ENCAN356PLU	ENCSR141NSQ	1	72749908	-3525951	0.95377370	ENCFF949ZUY	ENCFF537KVD	https://www.encodeproject.org/files/ENCFF537KVD/@@download/ENCFF537KVD.bigWig	male embryo (104 days)
14	ENCAN578MOX	ENCSR541PUY	1	79899966	3624107	1.04751316	ENCFF365VAK	ENCFF565PXG	https://www.encodeproject.org/files/ENCFF565PXG/@@download/ENCFF565PXG.bigWig	male adult (30 years)
15	ENCAN806QUT	ENCSR129TSG	1	72424176	-3851683	0.94950325	ENCFF153XKN	ENCFF471IFY	https://www.encodeproject.org/files/ENCFF471IFY/@@download/ENCFF471IFY.bigWig	female embryo (108 days)
16	ENCAN273DBM	ENCSR278FVO	1	72210025	-4065834	0.94669566	ENCFF224MAE	ENCFF287XRW	https://www.encodeproject.org/files/ENCFF287XRW/@@download/ENCFF287XRW.bigWig	male embryo
17	ENCAN392XKO	ENCSR625WLB	1	71727020	-4548839	0.94036332	ENCFF461QHE	ENCFF245YIL	https://www.encodeproject.org/files/ENCFF245YIL/@@download/ENCFF245YIL.bigWig	male adult (30 years)
18	ENCAN856QMD	ENCSR000ENK	2	71268729	-5007130	0.93435498	ENCFF909YNR,ENCFF043EML	ENCFF927IVP,ENCFF265CAE	https://www.encodeproject.org/files/ENCFF927IVP/@@download/ENCFF927IVP.bigWig,https://www.encodeproject.org/files/ENCFF265CAE/@@download/ENCFF265CAE.bigWig	
19	ENCAN381TNG	ENCSR237BOF	1	70918044	-5357815	0.92975740	ENCFF024BHN	ENCFF617ISJ	https://www.encodeproject.org/files/ENCFF617ISJ/@@download/ENCFF617ISJ.bigWig	male adult (30 years)
20	ENCAN346QLW	ENCSR497NLU	1	81673586	5397727	1.07076586	ENCFF407PIT	ENCFF829JMH	https://www.encodeproject.org/files/ENCFF829JMH/@@download/ENCFF829JMH.bigWig	male adult (28 years)
21	ENCAN257HGN	ENCSR457JOG	1	81701162	5425303	1.07112739	ENCFF875DPQ	ENCFF635EBG	https://www.encodeproject.org/files/ENCFF635EBG/@@download/ENCFF635EBG.bigWig	male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 48 hours, 50 U/mL Interleukin-2 for 48 hours
22	ENCAN261KXH	ENCSR434OBM	1	82010714	5734855	1.07518572	ENCFF900ZMW	ENCFF226ROM	https://www.encodeproject.org/files/ENCFF226ROM/@@download/ENCFF226ROM.bigWig	male newborn
23	ENCAN131EWS	ENCSR422IIZ	1	82032010	5756151	1.07546491	ENCFF396JLE	ENCFF707HLC	https://www.encodeproject.org/files/ENCFF707HLC/@@download/ENCFF707HLC.bigWig	female adult (51 years)
24	ENCAN786OZK	ENCSR445XYW	1	70380674	-5895185	0.92271231	ENCFF129IPF	ENCFF785AVA	https://www.encodeproject.org/files/ENCFF785AVA/@@download/ENCFF785AVA.bigWig	female embryo (98 days)
25	ENCAN652VIQ	ENCSR298SDT	1	70180000	-6095859	0.92008141	ENCFF818DQZ	ENCFF156LUX	https://www.encodeproject.org/files/ENCFF156LUX/@@download/ENCFF156LUX.bigWig	male adult (37 years)
26	ENCAN001QCQ	ENCSR163GMC	1	82385210	6109351	1.08009547	ENCFF860YPG	ENCFF831JZM	https://www.encodeproject.org/files/ENCFF831JZM/@@download/ENCFF831JZM.bigWig	male adult (84 years) with Cognitive impairment, Alzheimer's disease
27	ENCAN728DXS	ENCSR164PQJ	1	82430344	6154485	1.08068719	ENCFF891OQU	ENCFF563TJP	https://www.encodeproject.org/files/ENCFF563TJP/@@download/ENCFF563TJP.bigWig	male embryo (127 days)
28	ENCAN788CQH	ENCSR000EMW	2	70099273	-6176586	0.91902306	ENCFF790PQK,ENCFF874TXO	ENCFF516JHB,ENCFF721IQW	https://www.encodeproject.org/files/ENCFF516JHB/@@download/ENCFF516JHB.bigWig,https://www.encodeproject.org/files/ENCFF721IQW/@@download/ENCFF721IQW.bigWig	female embryo treated with 5 ng/mL Fibroblast growth factor 2 for 5 days, 10 ng/mL Bone morphogenetic protein 4 for 5 days, 6 ng/mL Activin A for 5 days
29	ENCAN688XVP	ENCSR740DJQ	1	82509208	6233349	1.08172112	ENCFF016ISY	ENCFF414WEG	https://www.encodeproject.org/files/ENCFF414WEG/@@download/ENCFF414WEG.bigWig	male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 1 hour, 50 U/mL Interleukin-2 for 1 hour
30	ENCAN273LMB	ENCSR517NHP	1	82513740	6237881	1.08178054	ENCFF603PQU	ENCFF681LTR	https://www.encodeproject.org/files/ENCFF681LTR/@@download/ENCFF681LTR.bigWig	female embryo (105 days)
31	ENCAN937EBB	ENCSR937NLH	1	69780220	-6495639	0.91484017	ENCFF429TAJ	ENCFF735BXS	https://www.encodeproject.org/files/ENCFF735BXS/@@download/ENCFF735BXS.bigWig	male adult (38 years)
32	ENCAN303BFR	ENCSR000EQK	1	82810043	6534184	1.08566516	ENCFF641LOI	ENCFF308FQH	https://www.encodeproject.org/files/ENCFF308FQH/@@download/ENCFF308FQH.bigWig	male adult (28 years)
33	ENCAN719VIJ	ENCSR455GUW	1	83201100	6925241	1.09079204	ENCFF226LGV	ENCFF717OQE	https://www.encodeproject.org/files/ENCFF717OQE/@@download/ENCFF717OQE.bigWig	male adult (54 years)
34	ENCAN959AZV	ENCSR946BPA	1	69312902	-6962957	0.90871349	ENCFF155GFU	ENCFF702RRA	https://www.encodeproject.org/files/ENCFF702RRA/@@download/ENCFF702RRA.bigWig	male adult (38 years)
35	ENCAN085CUX	ENCSR546FUC	1	69290532	-6985327	0.90842021	ENCFF881RHO	ENCFF201MRV	https://www.encodeproject.org/files/ENCFF201MRV/@@download/ENCFF201MRV.bigWig	male adult (42 years)
36	ENCAN445MLE	ENCSR339TVH	1	83340024	7064165	1.09261338	ENCFF948ZYY	ENCFF576ZEH	https://www.encodeproject.org/files/ENCFF576ZEH/@@download/ENCFF576ZEH.bigWig	female adult (90 or above years) with mild cognitive impairment
37	ENCAN149BHW	ENCSR000EMV	1	69009584	-7266275	0.90473690	ENCFF855LIH	ENCFF285XVJ	https://www.encodeproject.org/files/ENCFF285XVJ/@@download/ENCFF285XVJ.bigWig	female embryo treated with 10 ng/mL Bone morphogenetic protein 4 for 9 days, 5 ng/mL Fibroblast growth factor 2 for 9 days, 6 ng/mL Activin A for 9 days
38	ENCAN907ZIN	ENCSR634YVQ	1	83681250	7405391	1.09708696	ENCFF632FSE	ENCFF299RIU	https://www.encodeproject.org/files/ENCFF299RIU/@@download/ENCFF299RIU.bigWig	
39	ENCAN188MKT	ENCSR698VDM	1	68583116	-7692743	0.89914577	ENCFF182ETW	ENCFF004FDW	https://www.encodeproject.org/files/ENCFF004FDW/@@download/ENCFF004FDW.bigWig	male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 4 hours, 50 U/mL Interleukin-2 for 4 hours
40	ENCAN388XHY	ENCSR140KPO	1	68478190	-7797669	0.89777016	ENCFF569KWY	ENCFF268DVI	https://www.encodeproject.org/files/ENCFF268DVI/@@download/ENCFF268DVI.bigWig	female adult (33 years)
41	ENCAN934UBM	ENCSR000ENC	2	68347058	-7928801	0.89605098	ENCFF510MDM,ENCFF561FMQ	ENCFF713HCD,ENCFF503FHG	https://www.encodeproject.org/files/ENCFF713HCD/@@download/ENCFF713HCD.bigWig,https://www.encodeproject.org/files/ENCFF503FHG/@@download/ENCFF503FHG.bigWig	
42	ENCAN350QRX	ENCSR000FJH	2	68075524	-8200335	0.89249108	ENCFF628CZS,ENCFF876IBR	ENCFF227KZN,ENCFF809QNV	https://www.encodeproject.org/files/ENCFF227KZN/@@download/ENCFF227KZN.bigWig,https://www.encodeproject.org/files/ENCFF809QNV/@@download/ENCFF809QNV.bigWig	
43	ENCAN344TWW	ENCSR694DOX	1	84549926	8274067	1.10847557	ENCFF515ADG	ENCFF130TYS	https://www.encodeproject.org/files/ENCFF130TYS/@@download/ENCFF130TYS.bigWig	male adult (83 years)
44	ENCAN465SRC	ENCSR932OSG	1	67940424	-8335435	0.89071988	ENCFF943AFY	ENCFF329PET	https://www.encodeproject.org/files/ENCFF329PET/@@download/ENCFF329PET.bigWig	male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 16 hours, 50 U/mL Interleukin-2 for 16 hours
45	ENCAN949SMT	ENCSR198UKY	1	67783342	-8492517	0.88866049	ENCFF293MVC	ENCFF156UHI	https://www.encodeproject.org/files/ENCFF156UHI/@@download/ENCFF156UHI.bigWig	male adult (47 years)
46	ENCAN862TMM	ENCSR000ENE	2	67740171	-8535688	0.88809450	ENCFF774WOB,ENCFF788MPI	ENCFF018WSO,ENCFF960LEJ	https://www.encodeproject.org/files/ENCFF018WSO/@@download/ENCFF018WSO.bigWig,https://www.encodeproject.org/files/ENCFF960LEJ/@@download/ENCFF960LEJ.bigWig	
47	ENCAN476LBE	ENCSR283MZJ	1	67327780	-8948079	0.88268793	ENCFF870ABZ	ENCFF635ZUA	https://www.encodeproject.org/files/ENCFF635ZUA/@@download/ENCFF635ZUA.bigWig	female adult (33 years)
48	ENCAN597FEX	ENCSR346GIP	1	67017496	-9258363	0.87862001	ENCFF968CXF	ENCFF802GFK	https://www.encodeproject.org/files/ENCFF802GFK/@@download/ENCFF802GFK.bigWig	male adult (42 years)
49	ENCAN974JER	ENCSR290NGL	1	66924692	-9351167	0.87740332	ENCFF728ZLL	ENCFF888RPS	https://www.encodeproject.org/files/ENCFF888RPS/@@download/ENCFF888RPS.bigWig	female adult (32 years)
50	ENCAN565KFK	ENCSR000EOA	2	66908100	-9367759	0.87718579	ENCFF750AZP,ENCFF937FTE	ENCFF080CER,ENCFF871HUQ	https://www.encodeproject.org/files/ENCFF080CER/@@download/ENCFF080CER.bigWig,https://www.encodeproject.org/files/ENCFF871HUQ/@@download/ENCFF871HUQ.bigWig	female
51	ENCAN397UIM	ENCSR874CAK	1	66888168	-9387691	0.87692448	ENCFF912GWM	ENCFF451GMR	https://www.encodeproject.org/files/ENCFF451GMR/@@download/ENCFF451GMR.bigWig	female embryo (108 days)
52	ENCAN125HSH	ENCSR251UPG	1	66873124	-9402735	0.87672725	ENCFF186BRQ	ENCFF261OJD	https://www.encodeproject.org/files/ENCFF261OJD/@@download/ENCFF261OJD.bigWig	male newborn
53	ENCAN777XIT	ENCSR396ZIN	1	66358910	-9916949	0.86998574	ENCFF288WLP	ENCFF011IOW	https://www.encodeproject.org/files/ENCFF011IOW/@@download/ENCFF011IOW.bigWig	female adult (35 years)
54	ENCAN176FUB	ENCSR453RFW	1	66340276	-9935583	0.86974145	ENCFF692JSM	ENCFF512RKL	https://www.encodeproject.org/files/ENCFF512RKL/@@download/ENCFF512RKL.bigWig	male adult (24 years)
55	ENCAN152YLI	ENCSR000EOC	2	65993913	-10281946	0.86520052	ENCFF110OTC,ENCFF016FWN	ENCFF532TGN,ENCFF749QLZ	https://www.encodeproject.org/files/ENCFF532TGN/@@download/ENCFF532TGN.bigWig,https://www.encodeproject.org/files/ENCFF749QLZ/@@download/ENCFF749QLZ.bigWig	male newborn
56	ENCAN450CRC	ENCSR122VUW	2	86838783	10562924	1.13848319	ENCFF759CIX,ENCFF583NWU	ENCFF861NNR,ENCFF789FRC	https://www.encodeproject.org/files/ENCFF861NNR/@@download/ENCFF861NNR.bigWig,https://www.encodeproject.org/files/ENCFF789FRC/@@download/ENCFF789FRC.bigWig	female adult (27 years)
57	ENCAN914TAZ	ENCSR000EPU	2	65427516	-10848343	0.85777488	ENCFF960JRN,ENCFF313XYS	ENCFF127HBC,ENCFF061VRT	https://www.encodeproject.org/files/ENCFF127HBC/@@download/ENCFF127HBC.bigWig,https://www.encodeproject.org/files/ENCFF061VRT/@@download/ENCFF061VRT.bigWig	
58	ENCAN171VCK	ENCSR649MJI	1	87133288	10857429	1.14234424	ENCFF138DUZ	ENCFF539NFV	https://www.encodeproject.org/files/ENCFF539NFV/@@download/ENCFF539NFV.bigWig	female adult (90 or above years) with mild cognitive impairment
59	ENCAN388UAQ	ENCSR507XBY	1	65007342	-11268517	0.85226627	ENCFF809SGB	ENCFF571GCP	https://www.encodeproject.org/files/ENCFF571GCP/@@download/ENCFF571GCP.bigWig	male adult (19 years)
60	ENCAN223CGQ	ENCSR332HAD	1	64998230	-11277629	0.85214681	ENCFF686WEN	ENCFF201XEO	https://www.encodeproject.org/files/ENCFF201XEO/@@download/ENCFF201XEO.bigWig	male adult (56 years)
61	ENCAN933SKK	ENCSR540VTN	1	64951096	-11324763	0.85152887	ENCFF096GHS	ENCFF451BTR	https://www.encodeproject.org/files/ENCFF451BTR/@@download/ENCFF451BTR.bigWig	male adult (40 years)
62	ENCAN939IUX	ENCSR542GKI	1	64685974	-11589885	0.84805304	ENCFF238UQP	ENCFF983OAW	https://www.encodeproject.org/files/ENCFF983OAW/@@download/ENCFF983OAW.bigWig	female adult (25 years)
63	ENCAN966ACB	ENCSR813CKU	1	64564868	-11710991	0.84646530	ENCFF351RLC	ENCFF284ARV	https://www.encodeproject.org/files/ENCFF284ARV/@@download/ENCFF284ARV.bigWig	male embryo (76 days)
64	ENCAN709LZL	ENCSR935EVZ	1	88030893	11755034	1.15411212	ENCFF735YUU	ENCFF799EDE	https://www.encodeproject.org/files/ENCFF799EDE/@@download/ENCFF799EDE.bigWig	male embryo (115 days)
65	ENCAN511VYT	ENCSR033STL	1	88142740	11866881	1.15557846	ENCFF049OVS	ENCFF619PMY	https://www.encodeproject.org/files/ENCFF619PMY/@@download/ENCFF619PMY.bigWig	female embryo (105 days)
66	ENCAN292FWP	ENCSR000EPF	2	63967685	-12308174	0.83863605	ENCFF082JPF,ENCFF906VSV	ENCFF282KWR,ENCFF816ZKU	https://www.encodeproject.org/files/ENCFF282KWR/@@download/ENCFF282KWR.bigWig,https://www.encodeproject.org/files/ENCFF816ZKU/@@download/ENCFF816ZKU.bigWig	
67	ENCAN082HCH	ENCSR659JPP	1	88837942	12562083	1.16469278	ENCFF486AEZ	ENCFF851FKA	https://www.encodeproject.org/files/ENCFF851FKA/@@download/ENCFF851FKA.bigWig	male adult (84 years) with mild cognitive impairment
68	ENCAN383IBZ	ENCSR398CXD	1	63457414	-12818445	0.83194624	ENCFF560EBB	ENCFF408JGY	https://www.encodeproject.org/files/ENCFF408JGY/@@download/ENCFF408JGY.bigWig	male adult (24 years)
69	ENCAN653APY	ENCSR869JYO	1	63333662	-12942197	0.83032381	ENCFF217SLM	ENCFF869VIC	https://www.encodeproject.org/files/ENCFF869VIC/@@download/ENCFF869VIC.bigWig	male adult (42 years)
70	ENCAN571KFE	ENCSR646JBR	1	89660794	13384935	1.17548062	ENCFF989COB	ENCFF860TZJ	https://www.encodeproject.org/files/ENCFF860TZJ/@@download/ENCFF860TZJ.bigWig	female adult (90 or above years) with Alzheimer's disease
71	ENCAN650LCY	ENCSR763XBU	1	89688954	13413095	1.17584981	ENCFF277BCT	ENCFF013AMD	https://www.encodeproject.org/files/ENCFF013AMD/@@download/ENCFF013AMD.bigWig	female adult (88 years) with Alzheimer's disease
72	ENCAN141NKF	ENCSR930YSB	1	62808551	-13467308	0.82343944	ENCFF071PJT	ENCFF633SRN	https://www.encodeproject.org/files/ENCFF633SRN/@@download/ENCFF633SRN.bigWig	female embryo (96 days)
73	ENCAN902TGV	ENCSR197ZNW	1	62775662	-13500197	0.82300826	ENCFF721DXM	ENCFF566TQY	https://www.encodeproject.org/files/ENCFF566TQY/@@download/ENCFF566TQY.bigWig	male adult (24 years)
74	ENCAN038UGH	ENCSR965JHW	1	62355394	-13920465	0.81749842	ENCFF207YBC	ENCFF278AJU	https://www.encodeproject.org/files/ENCFF278AJU/@@download/ENCFF278AJU.bigWig	male adult (25 years)
75	ENCAN785NEY	ENCSR000EMH	2	62299447	-13976412	0.81676493	ENCFF786VAG,ENCFF009NGO	ENCFF248ARA,ENCFF106CGJ	https://www.encodeproject.org/files/ENCFF248ARA/@@download/ENCFF248ARA.bigWig,https://www.encodeproject.org/files/ENCFF106CGJ/@@download/ENCFF106CGJ.bigWig	male
76	ENCAN067TYJ	ENCSR116WWW	1	62157363	-14118496	0.81490217	ENCFF717HEA	ENCFF820HMC	https://www.encodeproject.org/files/ENCFF820HMC/@@download/ENCFF820HMC.bigWig	female embryo (120 days)
77	ENCAN166OCD	ENCSR724CND	1	61755280	-14520579	0.80963074	ENCFF065ZQZ	ENCFF569MJW	https://www.encodeproject.org/files/ENCFF569MJW/@@download/ENCFF569MJW.bigWig	male newborn
78	ENCAN708HKW	ENCSR000ENU	2	61621578	-14654281	0.80787786	ENCFF331FHB,ENCFF508CUD	ENCFF627AZY,ENCFF423COS	https://www.encodeproject.org/files/ENCFF627AZY/@@download/ENCFF627AZY.bigWig,https://www.encodeproject.org/files/ENCFF423COS/@@download/ENCFF423COS.bigWig	
79	ENCAN882ZEV	ENCSR154NOT	1	61513680	-14762179	0.80646329	ENCFF879KDW	ENCFF510AEM	https://www.encodeproject.org/files/ENCFF510AEM/@@download/ENCFF510AEM.bigWig	male adult (38 years) treated with anti-CD3 and anti-CD28 coated beads for 24 hours, 50 U/mL Interleukin-2 for 24 hours
80	ENCAN250YRN	ENCSR683YLO	1	61266330	-15009529	0.80322045	ENCFF796EIC	ENCFF827PXJ	https://www.encodeproject.org/files/ENCFF827PXJ/@@download/ENCFF827PXJ.bigWig	female embryo (96 days)
81	ENCAN876HJD	ENCSR000EMP	2	61219824	-15056035	0.80261074	ENCFF708GUH,ENCFF928WMM	ENCFF990JCB,ENCFF363WNS	https://www.encodeproject.org/files/ENCFF990JCB/@@download/ENCFF990JCB.bigWig,https://www.encodeproject.org/files/ENCFF363WNS/@@download/ENCFF363WNS.bigWig	
82	ENCAN277OIJ	ENCSR218FJD	1	61203108	-15072751	0.80239159	ENCFF285DGZ	ENCFF162UOX	https://www.encodeproject.org/files/ENCFF162UOX/@@download/ENCFF162UOX.bigWig	male adult (30 years)
83	ENCAN579RJY	ENCSR582QEW	1	61118108	-15157751	0.80127722	ENCFF309COD	ENCFF240ZBU	https://www.encodeproject.org/files/ENCFF240ZBU/@@download/ENCFF240ZBU.bigWig	female adult (25 years)
84	ENCAN915PKT	ENCSR872IXQ	1	61059048	-15216811	0.80050292	ENCFF984EJT	ENCFF198SMG	https://www.encodeproject.org/files/ENCFF198SMG/@@download/ENCFF198SMG.bigWig	male adult (30 years)
85	ENCAN955TZR	ENCSR000EOS	2	91573550	15297691	1.20055744	ENCFF361WBN,ENCFF455EQZ	ENCFF794WMH,ENCFF999ECC	https://www.encodeproject.org/files/ENCFF794WMH/@@download/ENCFF794WMH.bigWig,https://www.encodeproject.org/files/ENCFF999ECC/@@download/ENCFF999ECC.bigWig	
86	ENCAN633XOO	ENCSR000EMT	2	60849518	-15426341	0.79775592	ENCFF020WZB,ENCFF729UYK	ENCFF428XFI,ENCFF960FMM	https://www.encodeproject.org/files/ENCFF428XFI/@@download/ENCFF428XFI.bigWig,https://www.encodeproject.org/files/ENCFF960FMM/@@download/ENCFF960FMM.bigWig	
87	ENCAN848SEQ	ENCSR111LTT	1	91741902	15466043	1.20276459	ENCFF108ELD	ENCFF372KSU	https://www.encodeproject.org/files/ENCFF372KSU/@@download/ENCFF372KSU.bigWig	male adult (55 years)
88	ENCAN967MFX	ENCSR724INK	1	60330326	-15945533	0.79094915	ENCFF346WEX	ENCFF871CWE	https://www.encodeproject.org/files/ENCFF871CWE/@@download/ENCFF871CWE.bigWig	male adult (56 years)
89	ENCAN268EKB	ENCSR627QIA	1	60270922	-16004937	0.79017035	ENCFF283USW	ENCFF344QUF	https://www.encodeproject.org/files/ENCFF344QUF/@@download/ENCFF344QUF.bigWig	male adult (28 years)
90	ENCAN765FEM	ENCSR213WNV	1	59953002	-16322857	0.78600232	ENCFF967WOH	ENCFF751PBQ	https://www.encodeproject.org/files/ENCFF751PBQ/@@download/ENCFF751PBQ.bigWig	male adult (38 years)
91	ENCAN032OXE	ENCSR260UJJ	1	59628756	-16647103	0.78175135	ENCFF060ORA	ENCFF043TCU	https://www.encodeproject.org/files/ENCFF043TCU/@@download/ENCFF043TCU.bigWig	male adult (42 years)
92	ENCAN325ZBV	ENCSR837VHE	4	92927401	16651542	1.21830684	ENCFF737NTI,ENCFF488XWS,ENCFF320PBW,ENCFF401BZC	ENCFF469BXZ,ENCFF427JBJ,ENCFF224UPH,ENCFF570PHG	https://www.encodeproject.org/files/ENCFF469BXZ/@@download/ENCFF469BXZ.bigWig,https://www.encodeproject.org/files/ENCFF427JBJ/@@download/ENCFF427JBJ.bigWig,https://www.encodeproject.org/files/ENCFF224UPH/@@download/ENCFF224UPH.bigWig,https://www.encodeproject.org/files/ENCFF570PHG/@@download/ENCFF570PHG.bigWig	treated with 100 nM dexamethasone (agonist) for 2 hours
93	ENCAN152MBR	ENCSR784RMA	1	59556716	-16719143	0.78080689	ENCFF547RIP	ENCFF726ANV	https://www.encodeproject.org/files/ENCFF726ANV/@@download/ENCFF726ANV.bigWig	male adult (36 years)
94	ENCAN558YKR	ENCSR971MMF	1	59225190	-17050669	0.77646048	ENCFF942JCU	ENCFF799XYA	https://www.encodeproject.org/files/ENCFF799XYA/@@download/ENCFF799XYA.bigWig	male adult (38 years) treated with anti-CD3 and anti-CD28 coated beads for 48 hours
95	ENCAN678SOC	ENCSR000EMD	2	93360371	17084512	1.22398321	ENCFF202QAJ,ENCFF334VBI	ENCFF051WNA,ENCFF579OJG	https://www.encodeproject.org/files/ENCFF051WNA/@@download/ENCFF051WNA.bigWig,https://www.encodeproject.org/files/ENCFF579OJG/@@download/ENCFF579OJG.bigWig	
96	ENCAN261DMQ	ENCSR342OGI	1	59089046	-17186813	0.77467559	ENCFF278OYI	ENCFF300VIJ	https://www.encodeproject.org/files/ENCFF300VIJ/@@download/ENCFF300VIJ.bigWig	male adult (27 years)
97	ENCAN068IGC	ENCSR607HIL	1	58328220	-17947639	0.76470093	ENCFF177WIF	ENCFF697IRZ	https://www.encodeproject.org/files/ENCFF697IRZ/@@download/ENCFF697IRZ.bigWig	female adult (33 years) treated with anti-CD3 and anti-CD28 coated beads for 48 hours, 100 ng/mL Interleukin-2 for 48 hours
98	ENCAN706JOV	ENCSR933HFM	1	58232918	-18042941	0.76345149	ENCFF413BUL	ENCFF151XQY	https://www.encodeproject.org/files/ENCFF151XQY/@@download/ENCFF151XQY.bigWig	male adult (38 years) treated with anti-CD3 and anti-CD28 coated beads for 4 hours, 100 ng/mL Interleukin-12 subunit alpha for 4 hours, 100 ng/mL Interleukin-12 subunit beta for 4 hours
99	ENCAN367MSK	ENCSR645GJD	1	58146408	-18129451	0.76231731	ENCFF544EKH	ENCFF582XBN	https://www.encodeproject.org/files/ENCFF582XBN/@@download/ENCFF582XBN.bigWig	female embryo (113 days)
100	ENCAN164VFW	ENCSR000ENX	2	58072570	-18203289	0.76134928	ENCFF409JXE,ENCFF807STB	ENCFF728MWG,ENCFF728VWZ	https://www.encodeproject.org/files/ENCFF728MWG/@@download/ENCFF728MWG.bigWig,https://www.encodeproject.org/files/ENCFF728VWZ/@@download/ENCFF728VWZ.bigWig	female adult
#track_rows	308837
#rounded_track_sum	1000001.143999893
#integer_values_tested	5713
#normalization_denominator	76275859
#quantum	0.013110307942
#chrY_fraction	0.000027853968
