eye	population	cell_type	population_cells	mean_identity_marker_count	pct_population_identity_ge_1	pct_population_identity_ge_2	mean_identity_score	mean_activation_score
eye1	CCL5_and_CD69_positive	bipolar cell	269	1.57992565055762	78.4386617100372	45.724907063197	4.87150954362029	14.4593834939298
eye1	CCL5_positive	RGC	426	0.326291079812207	26.2910798122066	5.63380281690141	0.689194764277283	13.3051612183309
eye1	CCL5_negative	RGC	8220	0.383211678832117	32.7493917274939	4.18491484184915	1.51165373142931	0.427068185068888
eye1	CCL5_and_CD69_positive	RGC	269	0.382899628252788	30.8550185873606	6.31970260223048	0.731621363198236	14.4593834939298
eye1	CCL5_positive	T cells	426	0.237089201877934	21.830985915493	1.87793427230047	0.500650694745587	13.3051612183309
eye1	CCL5_negative	T cells	8220	0.0378345498783455	3.75912408759124	0.024330900243309	0.148109930740368	0.427068185068888
eye1	CCL5_and_CD69_positive	T cells	269	0.256505576208178	23.4200743494424	2.23048327137546	0.476095391167429	14.4593834939298
eye1	CCL5_positive	macrophage	426	2.04929577464789	86.150234741784	62.6760563380282	8.48989960327352	13.3051612183309
eye1	CCL5_negative	macrophage	8220	0.485036496350365	36.3260340632603	9.29440389294404	2.12225828941224	0.427068185068888
eye1	CCL5_and_CD69_positive	macrophage	269	2.20446096654275	86.9888475836431	65.7992565055762	8.17405487605862	14.4593834939298
eye1	CCL5_positive	Schwann cell	426	1.15962441314554	93.6619718309859	19.4835680751174	12.593953628393	13.3051612183309
eye1	CCL5_negative	Schwann cell	8220	0.898053527980535	72.3114355231144	16.1435523114355	6.9424430111404	0.427068185068888
eye1	CCL5_and_CD69_positive	Schwann cell	269	1.20817843866171	93.6802973977695	23.4200743494424	12.1307305913973	14.4593834939298
eye1	CCL5_positive	Pericyte	426	1.018779342723	61.7370892018779	26.056338028169	2.88713235895934	13.3051612183309
eye1	CCL5_negative	Pericyte	8220	0.0557177615571776	4.74452554744525	0.656934306569343	0.222583188941981	0.427068185068888
eye1	CCL5_and_CD69_positive	Pericyte	269	1.15613382899628	63.9405204460966	31.2267657992565	3.04110517006142	14.4593834939298
eye1	CCL5_positive	B cell	426	0.0962441314553991	8.21596244131455	1.17370892018779	0.243937183467257	13.3051612183309
eye1	CCL5_negative	B cell	8220	0.0290754257907543	2.8345498783455	0.072992700729927	0.103152405227891	0.427068185068888
eye1	CCL5_and_CD69_positive	B cell	269	0.107806691449814	8.92193308550186	1.48698884758364	0.259721127962548	14.4593834939298
eye1	CCL5_positive	fibroblast	426	0.305164319248826	24.1784037558685	5.16431924882629	0.643801264104625	13.3051612183309
eye1	CCL5_negative	fibroblast	8220	0.027007299270073	2.42092457420925	0.231143552311436	0.08285849645334	0.427068185068888
eye1	CCL5_and_CD69_positive	fibroblast	269	0.349442379182156	26.3940520446097	7.0631970260223	0.662624310074492	14.4593834939298
eye1	CCL5_positive	muller glia cell	426	4.26995305164319	98.8262910798122	95.5399061032864	40.2418556821305	13.3051612183309
eye1	CCL5_negative	muller glia cell	8220	0.785766423357664	52.4330900243309	18.5279805352798	3.56932588631726	0.427068185068888
eye1	CCL5_and_CD69_positive	muller glia cell	269	4.48327137546468	100	97.3977695167286	41.3747712223071	14.4593834939298
eye1	CCL5_positive	endothelial cell	426	0.495305164319249	47.4178403755869	1.87793427230047	2.41611693133784	13.3051612183309
eye1	CCL5_negative	endothelial cell	8220	0.0402676399026764	3.89294403892944	0.109489051094891	0.141190746472674	0.427068185068888
eye1	CCL5_and_CD69_positive	endothelial cell	269	0.539033457249071	50.5576208178439	2.97397769516729	2.41352471957982	14.4593834939298
eye2	CCL5_positive	astrocyte	13	0.769230769230769	53.8461538461538	7.69230769230769	4.11983575617795	3.47223521122977
eye2	CCL5_negative	astrocyte	9342	0.613359023763648	55.2986512524085	4.81695568400771	4.36287712131158	0.568659013718981
eye2	CCL5_and_CD69_positive	astrocyte	0	NA	NA	NA	NA	NA
eye2	CCL5_positive	microglial cell	13	0.153846153846154	7.69230769230769	7.69230769230769	0.0717331812589891	3.47223521122977
eye2	CCL5_negative	microglial cell	9342	0.0779276386212802	7.18261614215371	0.481695568400771	0.279402611784296	0.568659013718981
eye2	CCL5_and_CD69_positive	microglial cell	0	NA	NA	NA	NA	NA
eye2	CCL5_positive	RPE cell	13	0.615384615384615	38.4615384615385	7.69230769230769	1.37546839196203	3.47223521122977
eye2	CCL5_negative	RPE cell	9342	0.439841575679726	37.1654891886106	6.06936416184971	2.26429158295525	0.568659013718981
eye2	CCL5_and_CD69_positive	RPE cell	0	NA	NA	NA	NA	NA
eye2	CCL5_positive	cone cell	13	0.923076923076923	53.8461538461538	23.0769230769231	4.5038127805377	3.47223521122977
eye2	CCL5_negative	cone cell	9342	1.00438878184543	67.3624491543567	20.0920573752944	8.58560821303576	0.568659013718981
eye2	CCL5_and_CD69_positive	cone cell	0	NA	NA	NA	NA	NA
eye2	CCL5_positive	rod cell	13	3.61538461538462	76.9230769230769	69.2307692307692	57.4230957272601	3.47223521122977
eye2	CCL5_negative	rod cell	9342	4.87176193534575	94.3374009847998	86.1699850139156	123.489371402704	0.568659013718981
eye2	CCL5_and_CD69_positive	rod cell	0	NA	NA	NA	NA	NA
eye2	CCL5_positive	horizontal cell	13	0.538461538461538	46.1538461538462	7.69230769230769	1.24125047130246	3.47223521122977
eye2	CCL5_negative	horizontal cell	9342	0.219546135731107	16.281310211946	4.52793834296724	1.1153062132113	0.568659013718981
eye2	CCL5_and_CD69_positive	horizontal cell	0	NA	NA	NA	NA	NA
eye2	CCL5_positive	bipolar cell	13	3	92.3076923076923	53.8461538461538	19.6320249299377	3.47223521122977
eye2	CCL5_negative	bipolar cell	9342	1.39006636694498	76.2470563048598	37.0798544208949	10.1118894097708	0.568659013718981
eye2	CCL5_and_CD69_positive	bipolar cell	0	NA	NA	NA	NA	NA
eye2	CCL5_positive	RGC	13	0.538461538461538	46.1538461538462	7.69230769230769	1.60081814969545	3.47223521122977
eye2	CCL5_negative	RGC	9342	0.360950545921644	31.2566902162278	4.08906015842432	1.56273474950908	0.568659013718981
eye2	CCL5_and_CD69_positive	RGC	0	NA	NA	NA	NA	NA
eye2	CCL5_positive	T cells	13	0	0	0	0	3.47223521122977
eye2	CCL5_negative	T cells	9342	0.0354313851423678	3.48961678441447	0.0535217298223079	0.137667627999018	0.568659013718981
eye2	CCL5_and_CD69_positive	T cells	0	NA	NA	NA	NA	NA
eye2	CCL5_positive	macrophage	13	0.846153846153846	30.7692307692308	30.7692307692308	1.61175565166463	3.47223521122977
eye2	CCL5_negative	macrophage	9342	0.510276172125883	38.846071505031	9.8051809034468	2.61151191718109	0.568659013718981
eye2	CCL5_and_CD69_positive	macrophage	0	NA	NA	NA	NA	NA
eye2	CCL5_positive	Schwann cell	13	1.30769230769231	84.6153846153846	46.1538461538462	9.87728814615874	3.47223521122977
eye2	CCL5_negative	Schwann cell	9342	0.997002783129951	78.1524298865339	20.0385356454721	9.07635058630398	0.568659013718981
eye2	CCL5_and_CD69_positive	Schwann cell	0	NA	NA	NA	NA	NA
eye2	CCL5_positive	Pericyte	13	0.230769230769231	15.3846153846154	7.69230769230769	0.48459095809522	3.47223521122977
eye2	CCL5_negative	Pericyte	9342	0.0940912010276172	7.22543352601156	1.78762577606508	0.332587838848089	0.568659013718981
eye2	CCL5_and_CD69_positive	Pericyte	0	NA	NA	NA	NA	NA
eye2	CCL5_positive	B cell	13	0	0	0	0	3.47223521122977
eye2	CCL5_negative	B cell	9342	0.038428602012417	3.68229501177478	0.160565189466924	0.141737063059613	0.568659013718981
eye2	CCL5_and_CD69_positive	B cell	0	NA	NA	NA	NA	NA
eye2	CCL5_positive	fibroblast	13	0.153846153846154	15.3846153846154	0	0.305258004947747	3.47223521122977
eye2	CCL5_negative	fibroblast	9342	0.0357525155213016	3.23271248126739	0.299721687004924	0.121509596217758	0.568659013718981
eye2	CCL5_and_CD69_positive	fibroblast	0	NA	NA	NA	NA	NA
eye2	CCL5_positive	muller glia cell	13	1.61538461538462	76.9230769230769	38.4615384615385	8.19739103706089	3.47223521122977
eye2	CCL5_negative	muller glia cell	9342	0.866516805823164	53.618068935988	19.5140226932134	4.88509492532353	0.568659013718981
eye2	CCL5_and_CD69_positive	muller glia cell	0	NA	NA	NA	NA	NA
eye2	CCL5_positive	endothelial cell	13	0.230769230769231	23.0769230769231	0	0.343023127722494	3.47223521122977
eye2	CCL5_negative	endothelial cell	9342	0.0463498180261186	4.50652965103832	0.128452151573539	0.191013843084184	0.568659013718981
eye2	CCL5_and_CD69_positive	endothelial cell	0	NA	NA	NA	NA	NA
