group	rcv	ortholog
animal	0.10639999999999999	1287401at2759
animal	0.13400000000000001	1291729at2759
animal	0.092100000000000001	1304061at2759
animal	0	1309031at2759
animal	0	1312453at2759
animal	0	1314980at2759
animal	0	1322299at2759
animal	0.1105	1322642at2759
animal	0.23860000000000001	1323575at2759
animal	0	1324510at2759
animal	0.1138	1338131at2759
animal	0.1215	1339553at2759
animal	0.19789999999999999	1342242at2759
animal	0.14380000000000001	1346165at2759
animal	0.11020000000000001	1346432at2759
animal	0.085500000000000007	1348942at2759
animal	0.13170000000000001	1355894at2759
animal	0.098900000000000002	1358374at2759
animal	0.1525	1364586at2759
animal	0.13569999999999999	1370285at2759
animal	0	1370304at2759
animal	0	1377237at2759
animal	0.075200000000000003	1379600at2759
animal	0.1196	1380409at2759
animal	0.15340000000000001	1382842at2759
animal	0	1395649at2759
animal	0	1398309at2759
animal	0.1888	1404162at2759
animal	0.099299999999999999	1405073at2759
animal	0.1174	1405146at2759
animal	0.2147	1407446at2759
animal	0.15540000000000001	1421503at2759
animal	0.1017	1423847at2759
animal	0	142542at2759
animal	0	1426075at2759
animal	0	1428265at2759
animal	0.085500000000000007	1428854at2759
animal	0	1430056at2759
animal	0.096199999999999994	1432328at2759
animal	0.1444	1434266at2759
animal	0	1440961at2759
animal	0.15310000000000001	1441854at2759
animal	0.29709999999999998	1442062at2759
animal	0.1089	1445102at2759
animal	0	1450538at2759
animal	0.1502	1454155at2759
animal	0.068400000000000002	1455730at2759
animal	0.11550000000000001	1459797at2759
animal	0.1157	1474000at2759
animal	0.12920000000000001	1488235at2759
animal	0.12479999999999999	1488436at2759
animal	0	1490022at2759
animal	0.1426	1504863at2759
animal	0.11409999999999999	1513531at2759
animal	0.21659999999999999	1525971at2759
animal	0.1807	1526152at2759
animal	0	1530008at2759
animal	0.14219999999999999	1538526at2759
animal	0.1077	1545004at2759
animal	0.11169999999999999	1552706at2759
animal	0.12089999999999999	1558822at2759
animal	0.015800000000000002	156083at2759
animal	0	1563319at2759
animal	0.17069999999999999	1567796at2759
animal	0.084099999999999994	1575179at2759
animal	0	1576404at2759
animal	0.16869999999999999	1588798at2759
animal	0	1593937at2759
animal	0.057500000000000002	160593at2759
animal	0.1308	1617752at2759
animal	0.2041	1620056at2759
animal	0.087900000000000006	1626636at2759
animal	0.1351	1633672at2759
animal	0.14849999999999999	1645187at2759
animal	0	166920at2759
animal	0.15040000000000001	176625at2759
animal	0	179362at2759
animal	0	245208at2759
animal	0	257318at2759
animal	0	261328at2759
animal	0.1026	271586at2759
animal	0.084699999999999998	290630at2759
animal	0	293315at2759
animal	0.051299999999999998	296129at2759
animal	0	299766at2759
animal	0.072499999999999995	306227at2759
animal	0.038600000000000002	320059at2759
animal	0.092799999999999994	324863at2759
animal	0	325552at2759
animal	0.107	330169at2759
animal	0.0722	331411at2759
animal	0.084199999999999997	341721at2759
animal	0	345441at2759
animal	0.032300000000000002	355408at2759
animal	0.1123	369837at2759
animal	0.10879999999999999	375960at2759
animal	0.084900000000000003	383503at2759
animal	0.107	388820at2759
animal	0.041000000000000002	390348at2759
animal	0.059700000000000003	39650at2759
animal	0.061899999999999997	396755at2759
animal	0.074499999999999997	418107at2759
animal	0.13389999999999999	426305at2759
animal	0	450058at2759
animal	0.089200000000000002	453044at2759
animal	0	457861at2759
animal	0	464990at2759
animal	0.12230000000000001	491869at2759
animal	0	513979at2759
animal	0.1358	543764at2759
animal	0	549762at2759
animal	0.091499999999999998	551907at2759
animal	0.1321	570797at2759
animal	0.13669999999999999	582756at2759
animal	0	598949at2759
animal	0	604979at2759
animal	0.079100000000000004	621827at2759
animal	0.13200000000000001	655400at2759
animal	0.087099999999999997	664730at2759
animal	0	671536at2759
animal	0.13039999999999999	673132at2759
animal	0.077799999999999994	674160at2759
animal	0.1457	674169at2759
animal	0.0722	679771at2759
animal	0.071499999999999994	687505at2759
animal	0	692986at2759
animal	0.073800000000000004	708105at2759
animal	0.095799999999999996	719531at2759
animal	0.083599999999999994	720340at2759
animal	0.12959999999999999	721605at2759
animal	0	734341at2759
animal	0.082699999999999996	734666at2759
animal	0	736068at2759
animal	0	751335at2759
animal	0.1285	759498at2759
animal	0.13009999999999999	761109at2759
animal	0	768809at2759
animal	0.081100000000000005	777920at2759
animal	0	779909at2759
animal	0	801857at2759
animal	0.081299999999999997	814241at2759
animal	0	817008at2759
animal	0	834694at2759
animal	0.082000000000000003	836599at2759
animal	0.16650000000000001	83779at2759
animal	0.14530000000000001	844748at2759
animal	0.096699999999999994	855834at2759
animal	0	858842at2759
animal	0.067500000000000004	865202at2759
animal	0.058599999999999999	866359at2759
animal	0.14999999999999999	869548at2759
animal	0	878143at2759
animal	0.074099999999999999	87842at2759
animal	0.053100000000000001	887370at2759
animal	0.17130000000000001	891751at2759
animal	0.1244	898782at2759
animal	0.1041	901894at2759
animal	0.095699999999999993	905026at2759
animal	0.096100000000000005	911863at2759
animal	0	917326at2759
animal	0.082699999999999996	919955at2759
animal	0.087999999999999995	923657at2759
animal	0.1043	924753at2759
animal	0.091399999999999995	931188at2759
animal	0	937275at2759
animal	0.086800000000000002	937686at2759
animal	0	939345at2759
animal	0.082699999999999996	944899at2759
animal	0	946128at2759
animal	0	956854at2759
animal	0	97116at2759
animal	0.1341	973442at2759
animal	0.099500000000000005	974865at2759
animal	0.086400000000000005	975158at2759
animal	0	975557at2759
animal	0.1221	976469at2759
animal	0.088999999999999996	981902at2759
animal	0.094799999999999995	996662at2759
fungal	0.1903	1001705at2759
fungal	0.30380000000000001	1003258at2759
fungal	0.087999999999999995	100698at2759
fungal	0.2409	1010730at2759
fungal	0.22600000000000001	1014314at2759
fungal	0.1193	1018517at2759
fungal	0.23980000000000001	1019762at2759
fungal	0.1948	1025450at2759
fungal	0.21579999999999999	1030907at2759
fungal	0.20580000000000001	1032689at2759
fungal	0.16320000000000001	1038775at2759
fungal	0.17730000000000001	1041560at2759
fungal	0.17469999999999999	1049599at2759
fungal	0.25559999999999999	1051021at2759
fungal	0.16089999999999999	1053181at2759
fungal	0.1724	1057950at2759
fungal	0.14660000000000001	1065019at2759
fungal	0.1535	1076134at2759
fungal	0.1358	1079130at2759
fungal	0.094399999999999998	1079827at2759
fungal	0.2321	1085752at2759
fungal	0.19789999999999999	1087488at2759
fungal	0.23330000000000001	1090038at2759
fungal	0.28799999999999998	1094121at2759
fungal	0.13250000000000001	1096688at2759
fungal	0.14610000000000001	1106766at2759
fungal	0.23910000000000001	1107630at2759
fungal	0.1159	1108845at2759
fungal	0.24779999999999999	1111142at2759
fungal	0.18140000000000001	1112002at2759
fungal	0.17299999999999999	1115196at2759
fungal	0.1358	1128607at2759
fungal	0.30940000000000001	1129824at2759
fungal	0.129	1138059at2759
fungal	0.082500000000000004	1157302at2759
fungal	0.2356	1161199at2759
fungal	0.21709999999999999	1173229at2759
fungal	0.18060000000000001	1178688at2759
fungal	0.2031	1182451at2759
fungal	0.15129999999999999	1193442at2759
fungal	0.16800000000000001	1194691at2759
fungal	0.10009999999999999	1194797at2759
fungal	0.1782	1197019at2759
fungal	0.23580000000000001	1200489at2759
fungal	0.1812	1217666at2759
fungal	0.24110000000000001	1220881at2759
fungal	0.22	1222562at2759
fungal	0.25779999999999997	1223488at2759
fungal	0.14249999999999999	1228942at2759
fungal	0.2346	1233814at2759
fungal	0.16400000000000001	1236198at2759
fungal	0.17599999999999999	1247641at2759
fungal	0.1212	1248958at2759
fungal	0.2044	1249159at2759
fungal	0.2792	1251252at2759
fungal	0.17280000000000001	1257440at2759
fungal	0.17910000000000001	1258856at2759
fungal	0.1394	1259741at2759
fungal	0.60170000000000001	1260807at2759
fungal	0.20860000000000001	1264469at2759
fungal	0.21529999999999999	1266231at2759
fungal	0.22059999999999999	1269244at2759
fungal	0.1646	1269649at2759
fungal	0.13730000000000001	1275837at2759
fungal	0.2218	1284731at2759
fungal	0.21210000000000001	1287094at2759
fungal	0.18049999999999999	1287401at2759
fungal	0.25090000000000001	1291729at2759
fungal	0.21690000000000001	1304061at2759
fungal	0.23499999999999999	1309031at2759
fungal	0.17680000000000001	1312453at2759
fungal	0.19500000000000001	1314980at2759
fungal	0.22570000000000001	1322299at2759
fungal	0.39639999999999997	1322642at2759
fungal	0.22670000000000001	1323575at2759
fungal	0.18640000000000001	1324510at2759
fungal	0.14430000000000001	1338131at2759
fungal	0.2059	1339553at2759
fungal	0.23449999999999999	1342242at2759
fungal	0.16539999999999999	1346165at2759
fungal	0.22420000000000001	1346432at2759
fungal	0.24229999999999999	1348942at2759
fungal	0.20069999999999999	1355894at2759
fungal	0.15379999999999999	1358374at2759
fungal	0.18770000000000001	1364586at2759
fungal	0.22289999999999999	1370285at2759
fungal	0.2198	1370304at2759
fungal	0.40400000000000003	1377237at2759
fungal	0.18809999999999999	1379600at2759
fungal	0.1401	1380409at2759
fungal	0.31809999999999999	1382842at2759
fungal	0.21510000000000001	1395649at2759
fungal	0.21560000000000001	1398309at2759
fungal	0.25290000000000001	1404162at2759
fungal	0.129	1405073at2759
fungal	0.1832	1405146at2759
fungal	0.26179999999999998	1407446at2759
fungal	0.24060000000000001	1421503at2759
fungal	0.19020000000000001	1423847at2759
fungal	0.2243	142542at2759
fungal	0.28079999999999999	1426075at2759
fungal	0.23430000000000001	1428265at2759
fungal	0.1321	1428854at2759
fungal	0.2084	1430056at2759
fungal	0.2157	1432328at2759
fungal	0.27589999999999998	1434266at2759
fungal	0.25080000000000002	1440961at2759
fungal	0.16089999999999999	1441854at2759
fungal	0.29549999999999998	1442062at2759
fungal	0.19	1445102at2759
fungal	0.2848	1450538at2759
fungal	0.23980000000000001	1454155at2759
fungal	0.097699999999999995	1455730at2759
fungal	0.2051	1459797at2759
fungal	0.27389999999999998	1474000at2759
fungal	0.1077	1479417at2759
fungal	0.19320000000000001	1488235at2759
fungal	0.19439999999999999	1488436at2759
fungal	0.19350000000000001	1490022at2759
fungal	0.26279999999999998	1504863at2759
fungal	0.25740000000000002	1513531at2759
fungal	0.28060000000000002	1525971at2759
fungal	0.15110000000000001	1526152at2759
fungal	0.14899999999999999	1530008at2759
fungal	0.27129999999999999	1538526at2759
fungal	0.1474	1545004at2759
fungal	0.33079999999999998	1552706at2759
fungal	0.2414	1558822at2759
fungal	0.047100000000000003	156083at2759
fungal	0.1512	1563319at2759
fungal	0.43390000000000001	1567796at2759
fungal	0.40289999999999998	1575179at2759
fungal	0.31459999999999999	1576404at2759
fungal	0.2356	1588798at2759
fungal	0.18260000000000001	1593937at2759
fungal	0.1192	160593at2759
fungal	0.22239999999999999	1617752at2759
fungal	0.247	1620056at2759
fungal	0.2016	1623701at2759
fungal	0.26579999999999998	1626636at2759
fungal	0.22559999999999999	1633672at2759
fungal	0.26800000000000002	1645187at2759
fungal	0.154	166920at2759
fungal	0.17399999999999999	176625at2759
fungal	0.1235	179362at2759
fungal	0.1229	245208at2759
fungal	0.17730000000000001	257318at2759
fungal	0.19220000000000001	261328at2759
fungal	0.1908	261419at2759
fungal	0.15329999999999999	270107at2759
fungal	0.15640000000000001	271586at2759
fungal	0.1082	290630at2759
fungal	0.12659999999999999	293315at2759
fungal	0.1103	296129at2759
fungal	0.24010000000000001	299766at2759
fungal	0.18609999999999999	306227at2759
fungal	0.075200000000000003	320059at2759
fungal	0.15010000000000001	324863at2759
fungal	0.14349999999999999	325552at2759
fungal	0.20680000000000001	330169at2759
fungal	0.27579999999999999	331411at2759
fungal	0.22720000000000001	341721at2759
fungal	0.1046	345441at2759
fungal	0.13880000000000001	355408at2759
fungal	0.14369999999999999	369837at2759
fungal	0.2064	375960at2759
fungal	0.1552	383503at2759
fungal	0.1333	388820at2759
fungal	0.1045	390348at2759
fungal	0.090399999999999994	392369at2759
fungal	0.097500000000000003	39650at2759
fungal	0.19370000000000001	396755at2759
fungal	0.14030000000000001	418107at2759
fungal	0.12	426305at2759
fungal	0.33539999999999998	450058at2759
fungal	0.1118	453044at2759
fungal	0.32219999999999999	457861at2759
fungal	0.13600000000000001	464990at2759
fungal	0.3876	491869at2759
fungal	0.18590000000000001	513979at2759
fungal	0.18820000000000001	543764at2759
fungal	0.13589999999999999	549762at2759
fungal	0.17280000000000001	551907at2759
fungal	0.25059999999999999	570797at2759
fungal	0.25040000000000001	582756at2759
fungal	0.17780000000000001	598949at2759
fungal	0.19839999999999999	604979at2759
fungal	0.13639999999999999	621827at2759
fungal	0.30869999999999997	625387at2759
fungal	0.30159999999999998	655400at2759
fungal	0.0843	664730at2759
fungal	0.1447	671536at2759
fungal	0.16800000000000001	671846at2759
fungal	0.1676	673132at2759
fungal	0.1565	674160at2759
fungal	0.23910000000000001	674169at2759
fungal	0.16839999999999999	679187at2759
fungal	0.14219999999999999	679771at2759
fungal	0.16370000000000001	687505at2759
fungal	0.21049999999999999	692986at2759
fungal	0.18179999999999999	708105at2759
fungal	0.13969999999999999	719531at2759
fungal	0.2001	720340at2759
fungal	0.1239	721605at2759
fungal	0.25280000000000002	722805at2759
fungal	0.25640000000000002	734341at2759
fungal	0.1019	734666at2759
fungal	0.1648	736068at2759
fungal	0.1812	751335at2759
fungal	0.14630000000000001	759498at2759
fungal	0.16600000000000001	761109at2759
fungal	0.151	768809at2759
fungal	0.45400000000000001	774318at2759
fungal	0.13300000000000001	777920at2759
fungal	0.15329999999999999	779909at2759
fungal	0.27679999999999999	801857at2759
fungal	0.22819999999999999	814241at2759
fungal	0.1232	817008at2759
fungal	0.19689999999999999	834694at2759
fungal	0.18060000000000001	836599at2759
fungal	0.2041	83779at2759
fungal	0.20830000000000001	844748at2759
fungal	0.19309999999999999	855834at2759
fungal	0.26819999999999999	858842at2759
fungal	0.16239999999999999	865202at2759
fungal	0.12740000000000001	866359at2759
fungal	0.22800000000000001	869548at2759
fungal	0.13950000000000001	878143at2759
fungal	0.23150000000000001	87842at2759
fungal	0.1812	887370at2759
fungal	0.25119999999999998	891751at2759
fungal	0.18429999999999999	898782at2759
fungal	0.2097	901894at2759
fungal	0.2432	905026at2759
fungal	0.21260000000000001	911863at2759
fungal	0.14899999999999999	917326at2759
fungal	0.27089999999999997	918816at2759
fungal	0.16239999999999999	919955at2759
fungal	0.1981	923657at2759
fungal	0.18440000000000001	924753at2759
fungal	0.1991	931188at2759
fungal	0.2283	937275at2759
fungal	0.16569999999999999	937686at2759
fungal	0.36009999999999998	939345at2759
fungal	0.099199999999999997	944899at2759
fungal	0.17610000000000001	946128at2759
fungal	0.18290000000000001	956854at2759
fungal	0.1148	97116at2759
fungal	0.2873	973442at2759
fungal	0.18870000000000001	974865at2759
fungal	0.1898	975158at2759
fungal	0.155	975557at2759
fungal	0.1822	976469at2759
fungal	0.21829999999999999	981902at2759
fungal	0.1729	996662at2759
