sample	samp	samtype	celltype	batch	sex
L040CD14	L040	refsamp	CD14	3	F
AHC38CD14	AHC38	nonrefsamp	CD14	3	F
A112CD14	A112	nonrefsamp	CD14	3	M
A048CD14	A048	refsamp	CD14	3	F
A143CD14	A143	nonrefsamp	CD14	3	F
L658CD14	L658	nonrefsamp	CD14	3	F
L603CD14	L603	nonrefsamp	CD14	3	M
L635CD14	L635	refsamp	CD14	4	F
L601CD14	L601	nonrefsamp	CD14	4	F
L660CD14	L660	refsamp	CD14	4	F
L628CD14_2	L628_2	refsamp	CD14	4	M
CAR004CD14	CAR004	refsamp	CD14	4	F
AHC040CD14	AHC040	refsamp	CD14	4	F
A182CD14	A182	nonrefsamp	CD14	4	M
L028CD14	L028	refsamp	CD14	4	F
CHC139CD14	CHC139	refsamp	CD14	4	M
A158CD14	A158	refsamp	CD14	4	F
AHC017CD14	AHC017	refsamp	CD14	4	M
A181CD14	A181	nonrefsamp	CD14	4	M
L032CD14	L032	refsamp	CD14	4	F
L093CD14	L093	refsamp	CD14	4	M
L009CD14	L009	nonrefsamp	CD14	4	F
A159CD14	A159	refsamp	CD14	4	F
A152CD14	A152	refsamp	CD14	4	M
A183CD14	A183	nonrefsamp	CD14	4	F
A180CD14	A180	refsamp	CD14	4	F
A172CD14	A172	refsamp	CD14	4	F
CHC115CD14	CHC115	refsamp	CD14	4	F
THC003CD14	THC003	nonrefsamp	CD14	4	F
THC047CD14_2	THC047_2	refsamp	CD14	4	M
AHC030CD14_2	AHC030_2	refsamp	CD14	4	F
THC001CD14	THC001	refsamp	CD14	4	M
CAR003CD14	CAR003	refsamp	CD14	4	M
CHC117CD14	CHC117	nonrefsamp	CD14	4	F
AHC053CD14_2	AHC053_2	refsamp	CD14	4	M
THC197CD14_2	THC197_2	nonrefsamp	CD14	4	M
CHC147CD14_2	CHC147_2	refsamp	CD14	4	F
CHC146CD14	CHC146	refsamp	CD14	4	F
CHC161CD14	CHC161	nonrefsamp	CD14	4	F
JAS31_PB_CD14	JAS31	nonrefsamp	CD14	4	M
SYS12_PB_CD14	SYS12	refsamp	CD14	4	M
JAS8_PB_CD14	JAS8	refsamp	CD14	4	M
SYS7_PB_CD14	SYS7	nonrefsamp	CD14	4	M
PS30_PB_CD14	PS30	refsamp	CD14	4	M
SYS42_PB_CD14	SYS42	nonrefsamp	CD14	4	F
PO48_PB_CD14	PO48	refsamp	CD14	4	F
PA362_PB_CD14	PA362	nonrefsamp	CD14	4	F
SYS43_PB_CD14	SYS43	refsamp	CD14	4	M
PO136_PB_CD14	PO136	refsamp	CD14	4	M
PO237_PB_CD14	PO237	nonrefsamp	CD14	4	F
