sample	samp	samtype	celltype	batch	sex
THC006CD4	THC006	refsamp	CD4	2	M
THC006CD8	THC006	refsamp	CD8	2	M
THC006CD14	THC006	refsamp	CD14	2	M
THC006CD19	THC006	refsamp	CD19	2	M
A094PBMC	A094	refsamp	PBMC	2	F
A094CD4	A094	refsamp	CD4	2	F
A094CD8	A094	refsamp	CD8	2	F
A094CD14	A094	refsamp	CD14	2	F
A094CD19	A094	refsamp	CD19	2	F
A101PBMC	A101	refsamp	PBMC	2	F
A101CD4	A101	refsamp	CD4	2	F
A101CD8	A101	refsamp	CD8	2	F
A101CD14	A101	refsamp	CD14	2	F
A101CD19	A101	refsamp	CD19	2	F
L092PBMC	L092	nonrefsamp	PBMC	2	F
L092CD4	L092	nonrefsamp	CD4	2	F
L092CD8	L092	nonrefsamp	CD8	2	F
L092CD14	L092	nonrefsamp	CD14	2	F
L092CD19	L092	nonrefsamp	CD19	2	F
A104PBMC	A104	refsamp	PBMC	2	F
A104CD4	A104	refsamp	CD4	2	F
A104CD8	A104	refsamp	CD8	2	F
A104CD14	A104	refsamp	CD14	2	F
A104CD19	A104	refsamp	CD19	2	F
A082PBMC_1	A082_1	refsamp	PBMC	2	F
A082CD4_1	A082_1	refsamp	CD4	2	F
A082CD8_1	A082_1	refsamp	CD8	2	F
A082CD14_1	A082_1	refsamp	CD14	2	F
A082CD19_1	A082_1	refsamp	CD19	2	F
L047PBMC	L047	nonrefsamp	PBMC	2	F
L047CD4	L047	nonrefsamp	CD4	2	F
L047CD8	L047	nonrefsamp	CD8	2	F
L047CD14	L047	nonrefsamp	CD14	2	F
L047CD19	L047	nonrefsamp	CD19	2	F
AHC041PBMC	AHC041	refsamp	PBMC	2	F
AHC041CD4	AHC041	refsamp	CD4	2	F
AHC041CD8	AHC041	refsamp	CD8	2	F
AHC041CD14	AHC041	refsamp	CD14	2	F
AHC041CD19	AHC041	refsamp	CD19	2	F
AHC108PBMC	AHC108	refsamp	PBMC	2	M
AHC108CD4	AHC108	refsamp	CD4	2	M
AHC108CD8	AHC108	refsamp	CD8	2	M
AHC108CD14	AHC108	refsamp	CD14	2	M
AHC108CD19	AHC108	refsamp	CD19	2	M
A051PBMC	A051	nonrefsamp	PBMC	2	M
A051CD4	A051	nonrefsamp	CD4	2	M
A051CD8	A051	nonrefsamp	CD8	2	M
A040PBMC	A040	refsamp	PBMC	2	F
A040CD4	A040	refsamp	CD4	2	F
A040CD8	A040	refsamp	CD8	2	F
A040CD14	A040	refsamp	CD14	2	F
A040CD19	A040	refsamp	CD19	2	F
L241PBMC_2	L241_2	refsamp	PBMC	2	F
L241CD4_2	L241_2	refsamp	CD4	2	F
L241CD8_2	L241_2	refsamp	CD8	2	F
L241CD14_2	L241_2	refsamp	CD14	2	F
L241CD19_2	L241_2	refsamp	CD19	2	F
A045PBMC	A045	nonrefsamp	PBMC	2	F
A045CD4	A045	nonrefsamp	CD4	2	F
A045CD8	A045	nonrefsamp	CD8	2	F
A045CD14	A045	nonrefsamp	CD14	2	F
A045CD19	A045	nonrefsamp	CD19	2	F
A018PBMC_2	A018_2	nonrefsamp	PBMC	2	M
A018CD4_2	A018_2	nonrefsamp	CD4	2	M
A018CD14_2	A018_2	nonrefsamp	CD14	2	M
A018CD19_2	A018_2	nonrefsamp	CD19	2	M
A082PBMC_2	A082_2	nonrefsamp	PBMC	2	F
A082CD4_2	A082_2	nonrefsamp	CD4	2	F
A082CD8_2	A082_2	nonrefsamp	CD8	2	F
A082CD19_2	A082_2	nonrefsamp	CD19	2	F
CHC108PBMC	CHC108	nonrefsamp	PBMC	2	F
CHC108CD4	CHC108	nonrefsamp	CD4	2	F
CHC108CD8	CHC108	nonrefsamp	CD8	2	F
A030PBMC_2	A030_2	refsamp	PBMC	2	F
A030CD4_2	A030_2	refsamp	CD4	2	F
A030CD8_2	A030_2	refsamp	CD8	2	F
A030CD14_2	A030_2	refsamp	CD14	2	F
A030CD19_2	A030_2	refsamp	CD19	2	F
A028PBMC	A028	nonrefsamp	PBMC	2	F
A028CD4	A028	nonrefsamp	CD4	2	F
A028CD8	A028	nonrefsamp	CD8	2	F
A070PBMC_2	A070_2	refsamp	PBMC	2	F
A070CD4_2	A070_2	refsamp	CD4	2	F
A070CD8_2	A070_2	refsamp	CD8	2	F
A070CD14_2	A070_2	refsamp	CD14	2	F
A070CD19_2	A070_2	refsamp	CD19	2	F
A008PBMC	A008	nonrefsamp	PBMC	2	F
A008CD4	A008	nonrefsamp	CD4	2	F
A008CD8	A008	nonrefsamp	CD8	2	F
A008CD14	A008	nonrefsamp	CD14	2	F
A008CD19	A008	nonrefsamp	CD19	2	F
L479PBMC	L479	nonrefsamp	PBMC	2	F
L479CD4	L479	nonrefsamp	CD4	2	F
L479CD14	L479	nonrefsamp	CD14	2	F
L479CD19	L479	nonrefsamp	CD19	2	F
A012PBMC	A012	refsamp	PBMC	2	M
A012CD4	A012	refsamp	CD4	2	M
A012CD8	A012	refsamp	CD8	2	M
A012CD14	A012	refsamp	CD14	2	M
A012CD19	A012	refsamp	CD19	2	M
A160PBMC	A160	nonrefsamp	PBMC	2	M
A160CD4	A160	nonrefsamp	CD4	2	M
A160CD14	A160	nonrefsamp	CD14	2	M
A085PBMC	A085	nonrefsamp	PBMC	2	M
A085CD4	A085	nonrefsamp	CD4	2	M
A085CD8	A085	nonrefsamp	CD8	2	M
A085CD14	A085	nonrefsamp	CD14	2	M
A163PBMC	A163	refsamp	PBMC	2	M
A163CD4	A163	refsamp	CD4	2	M
A163CD8	A163	refsamp	CD8	2	M
A163CD14	A163	refsamp	CD14	2	M
A163CD19	A163	refsamp	CD19	2	M
L367PBMC	L367	nonrefsamp	PBMC	2	F
L367CD4	L367	nonrefsamp	CD4	2	F
L367CD8	L367	nonrefsamp	CD8	2	F
L367CD19	L367	nonrefsamp	CD19	2	F
A161PBMC	A161	nonrefsamp	PBMC	2	M
A161CD4	A161	nonrefsamp	CD4	2	M
A161CD14	A161	nonrefsamp	CD14	2	M
A161CD19	A161	nonrefsamp	CD19	2	M
L031PBMC	L031	nonrefsamp	PBMC	2	M
L031CD4	L031	nonrefsamp	CD4	2	M
L031CD8	L031	nonrefsamp	CD8	2	M
L031CD19	L031	nonrefsamp	CD19	2	M
L015PBMC	L015	nonrefsamp	PBMC	2	F
L015CD4	L015	nonrefsamp	CD4	2	F
L015CD8	L015	nonrefsamp	CD8	2	F
L015CD14	L015	nonrefsamp	CD14	2	F
L015CD19	L015	nonrefsamp	CD19	2	F
L610PBMC	L610	nonrefsamp	PBMC	2	M
L610CD8	L610	nonrefsamp	CD8	2	M
L610CD14	L610	nonrefsamp	CD14	2	M
L610CD19	L610	nonrefsamp	CD19	2	M
A162PBMC	A162	refsamp	PBMC	2	F
A162CD4	A162	refsamp	CD4	2	F
A162CD8	A162	refsamp	CD8	2	F
A162CD14	A162	refsamp	CD14	2	F
A162CD19	A162	refsamp	CD19	2	F
L631PBMC_2	L631_2	refsamp	PBMC	2	F
L631CD4_2	L631_2	refsamp	CD4	2	F
L631CD8_2	L631_2	refsamp	CD8	2	F
L631CD14_2	L631_2	refsamp	CD14	2	F
L631CD19_2	L631_2	refsamp	CD19	2	F
A133PBMC	A133	nonrefsamp	PBMC	2	M
A133CD4	A133	nonrefsamp	CD4	2	M
A133CD8	A133	nonrefsamp	CD8	2	M
A133CD14	A133	nonrefsamp	CD14	2	M
A133CD19	A133	nonrefsamp	CD19	2	M
L085CD4	L085	refsamp	CD4	3	M
L085CD8	L085	refsamp	CD8	3	M
L085CD14	L085	refsamp	CD14	3	M
L085CD19	L085	refsamp	CD19	3	M
L085PBMC	L085	refsamp	PBMC	3	M
L076CD4	L076	refsamp	CD4	3	M
L076CD8	L076	refsamp	CD8	3	M
L076CD14	L076	refsamp	CD14	3	M
L076CD19	L076	refsamp	CD19	3	M
L076PBMC	L076	refsamp	PBMC	3	M
A138CD4	A138	nonrefsamp	CD4	3	F
A138CD8	A138	nonrefsamp	CD8	3	F
A138CD14	A138	nonrefsamp	CD14	3	F
A138CD19	A138	nonrefsamp	CD19	3	F
A138PBMC	A138	nonrefsamp	PBMC	3	F
L030CD4	L030	refsamp	CD4	3	F
L030CD8	L030	refsamp	CD8	3	F
L030CD14	L030	refsamp	CD14	3	F
L030CD19	L030	refsamp	CD19	3	F
L030PBMC	L030	refsamp	PBMC	3	F
A107CD4	A107	refsamp	CD4	3	F
A107CD8	A107	refsamp	CD8	3	F
A107CD14	A107	refsamp	CD14	3	F
A107CD19	A107	refsamp	CD19	3	F
A107PBMC	A107	refsamp	PBMC	3	F
L060CD4	L060	nonrefsamp	CD4	3	M
L060CD8	L060	nonrefsamp	CD8	3	M
L060CD14	L060	nonrefsamp	CD14	3	M
L060CD19	L060	nonrefsamp	CD19	3	M
L060PBMC	L060	nonrefsamp	PBMC	3	M
L058CD4	L058	refsamp	CD4	3	M
L058CD8	L058	refsamp	CD8	3	M
L058CD14	L058	refsamp	CD14	3	M
L058CD19	L058	refsamp	CD19	3	M
L058PBMC	L058	refsamp	PBMC	3	M
L059CD4	L059	refsamp	CD4	3	M
L059CD8	L059	refsamp	CD8	3	M
L059CD14	L059	refsamp	CD14	3	M
L059CD19	L059	refsamp	CD19	3	M
L059PBMC	L059	refsamp	PBMC	3	M
L050CD4	L050	nonrefsamp	CD4	3	M
L050CD8	L050	nonrefsamp	CD8	3	M
L050CD14	L050	nonrefsamp	CD14	3	M
L050CD19	L050	nonrefsamp	CD19	3	M
L050PBMC	L050	nonrefsamp	PBMC	3	M
L065CD4	L065	refsamp	CD4	3	F
L065CD8	L065	refsamp	CD8	3	F
L065CD14	L065	refsamp	CD14	3	F
L065CD19	L065	refsamp	CD19	3	F
L065PBMC	L065	refsamp	PBMC	3	F
L605CD4	L605	refsamp	CD4	3	M
L605CD8	L605	refsamp	CD8	3	M
L605CD14	L605	refsamp	CD14	3	M
L605CD19	L605	refsamp	CD19	3	M
L605PBMC	L605	refsamp	PBMC	3	M
L055CD4	L055	nonrefsamp	CD4	3	F
L055CD8	L055	nonrefsamp	CD8	3	F
L055CD14	L055	nonrefsamp	CD14	3	F
L055CD19	L055	nonrefsamp	CD19	3	F
L055PBMC	L055	nonrefsamp	PBMC	3	F
L066CD4	L066	refsamp	CD4	3	F
L066CD8	L066	refsamp	CD8	3	F
L066CD14	L066	refsamp	CD14	3	F
L066CD19	L066	refsamp	CD19	3	F
L066PBMC	L066	refsamp	PBMC	3	F
L079CD4	L079	nonrefsamp	CD4	3	F
L079CD8	L079	nonrefsamp	CD8	3	F
L079PBMC	L079	nonrefsamp	PBMC	3	F
L619CD4_2	L619_2	nonrefsamp	CD4	3	F
L619PBMC_2	L619_2	nonrefsamp	PBMC	3	F
A111CD4	A111	nonrefsamp	CD4	3	M
A111PBMC	A111	nonrefsamp	PBMC	3	M
CHC052CD4	CHC052	refsamp	CD4	3	M
CHC052CD8	CHC052	refsamp	CD8	3	M
CHC052CD14	CHC052	refsamp	CD14	3	M
CHC052CD19	CHC052	refsamp	CD19	3	M
CHC052PBMC	CHC052	refsamp	PBMC	3	M
L070CD4	L070	refsamp	CD4	3	M
L070CD8	L070	refsamp	CD8	3	M
L070CD14	L070	refsamp	CD14	3	M
L070CD19	L070	refsamp	CD19	3	M
L070PBMC	L070	refsamp	PBMC	3	M
L072CD4	L072	nonrefsamp	CD4	3	F
L072CD8	L072	nonrefsamp	CD8	3	F
L072CD14	L072	nonrefsamp	CD14	3	F
L072CD19	L072	nonrefsamp	CD19	3	F
L072PBMC	L072	nonrefsamp	PBMC	3	F
A102CD4	A102	refsamp	CD4	3	F
A102CD8	A102	refsamp	CD8	3	F
A102CD14	A102	refsamp	CD14	3	F
A102CD19	A102	refsamp	CD19	3	F
A102PBMC	A102	refsamp	PBMC	3	F
A105CD4	A105	refsamp	CD4	3	M
A105CD8	A105	refsamp	CD8	3	M
A105CD14	A105	refsamp	CD14	3	M
A105CD19	A105	refsamp	CD19	3	M
A105PBMC	A105	refsamp	PBMC	3	M
L653CD4	L653	nonrefsamp	CD4	3	F
L653CD8	L653	nonrefsamp	CD8	3	F
L653CD14	L653	nonrefsamp	CD14	3	F
L653CD19	L653	nonrefsamp	CD19	3	F
L653PBMC	L653	nonrefsamp	PBMC	3	F
L636CD4	L636	refsamp	CD4	3	M
L636CD8	L636	refsamp	CD8	3	M
L636CD14	L636	refsamp	CD14	3	M
L636CD19	L636	refsamp	CD19	3	M
L636PBMC	L636	refsamp	PBMC	3	M
L641CD4	L641	refsamp	CD4	3	F
L641CD8	L641	refsamp	CD8	3	F
L641CD14	L641	refsamp	CD14	3	F
L641CD19	L641	refsamp	CD19	3	F
L641PBMC	L641	refsamp	PBMC	3	F
A119CD4	A119	nonrefsamp	CD4	3	M
A119CD8	A119	nonrefsamp	CD8	3	M
A119CD14	A119	nonrefsamp	CD14	3	M
A119CD19	A119	nonrefsamp	CD19	3	M
A119PBMC	A119	nonrefsamp	PBMC	3	M
L025CD4	L025	refsamp	CD4	3	M
L025CD8	L025	refsamp	CD8	3	M
L025CD14	L025	refsamp	CD14	3	M
L025CD19	L025	refsamp	CD19	3	M
L025PBMC	L025	refsamp	PBMC	3	M
A005CD4	A005	refsamp	CD4	3	F
A005CD8	A005	refsamp	CD8	3	F
A005CD14	A005	refsamp	CD14	3	F
A005CD19	A005	refsamp	CD19	3	F
A005PBMC	A005	refsamp	PBMC	3	F
L021CD4	L021	nonrefsamp	CD4	3	F
L021CD8	L021	nonrefsamp	CD8	3	F
L021CD14	L021	nonrefsamp	CD14	3	F
L021CD19	L021	nonrefsamp	CD19	3	F
L021PBMC	L021	nonrefsamp	PBMC	3	F
A015CD4	A015	nonrefsamp	CD4	3	M
A015CD8	A015	nonrefsamp	CD8	3	M
A015CD14	A015	nonrefsamp	CD14	3	M
A015PBMC	A015	nonrefsamp	PBMC	3	M
A166CD4	A166	refsamp	CD4	3	M
A166CD8	A166	refsamp	CD8	3	M
A166CD14	A166	refsamp	CD14	3	M
A166CD19	A166	refsamp	CD19	3	M
A166PBMC	A166	refsamp	PBMC	3	M
A090CD4	A090	refsamp	CD4	3	M
A090CD8	A090	refsamp	CD8	3	M
A090CD14	A090	refsamp	CD14	3	M
A090CD19	A090	refsamp	CD19	3	M
A090PBMC	A090	refsamp	PBMC	3	M
A014CD4	A014	nonrefsamp	CD4	3	M
A014CD8	A014	nonrefsamp	CD8	3	M
A014CD14	A014	nonrefsamp	CD14	3	M
A014CD19	A014	nonrefsamp	CD19	3	M
A014PBMC	A014	nonrefsamp	PBMC	3	M
L094CD4	L094	refsamp	CD4	3	M
L094CD8	L094	refsamp	CD8	3	M
L094CD14	L094	refsamp	CD14	3	M
L094CD19	L094	refsamp	CD19	3	M
L094PBMC	L094	refsamp	PBMC	3	M
L084CD4	L084	refsamp	CD4	3	F
L084CD8	L084	refsamp	CD8	3	F
L084CD14	L084	refsamp	CD14	3	F
L084CD19	L084	refsamp	CD19	3	F
L084PBMC	L084	refsamp	PBMC	3	F
A006CD8	A006	nonrefsamp	CD8	3	M
A006CD14	A006	nonrefsamp	CD14	3	M
A006CD19	A006	nonrefsamp	CD19	3	M
A006PBMC	A006	nonrefsamp	PBMC	3	M
L652CD4	L652	nonrefsamp	CD4	3	F
L652CD8	L652	nonrefsamp	CD8	3	F
L652CD14	L652	nonrefsamp	CD14	3	F
L652CD19	L652	nonrefsamp	CD19	3	F
L652PBMC	L652	nonrefsamp	PBMC	3	F
A130CD4	A130	refsamp	CD4	3	M
A130CD8	A130	refsamp	CD8	3	M
A130CD14	A130	refsamp	CD14	3	M
A130CD19	A130	refsamp	CD19	3	M
A130PBMC	A130	refsamp	PBMC	3	M
L097CD4	L097	refsamp	CD4	3	M
L097CD8	L097	refsamp	CD8	3	M
L097CD14	L097	refsamp	CD14	3	M
L097CD19	L097	refsamp	CD19	3	M
L097PBMC	L097	refsamp	PBMC	3	M
L022CD4	L022	nonrefsamp	CD4	3	F
L022CD8	L022	nonrefsamp	CD8	3	F
L022CD14	L022	nonrefsamp	CD14	3	F
L022CD19	L022	nonrefsamp	CD19	3	F
L022PBMC	L022	nonrefsamp	PBMC	3	F
THC163CD8	THC163	nonrefsamp	CD8	3	F
THC163PBMC	THC163	nonrefsamp	PBMC	3	F
A145CD4	A145	refsamp	CD4	3	M
A145CD8	A145	refsamp	CD8	3	M
A145CD14	A145	refsamp	CD14	3	M
A145CD19	A145	refsamp	CD19	3	M
A145PBMC	A145	refsamp	PBMC	3	M
CHC121CD4	CHC121	nonrefsamp	CD4	3	M
CHC121CD8	CHC121	nonrefsamp	CD8	3	M
CHC121CD14	CHC121	nonrefsamp	CD14	3	M
CHC121CD19	CHC121	nonrefsamp	CD19	3	M
CHC121PBMC	CHC121	nonrefsamp	PBMC	3	M
A100CD4	A100	nonrefsamp	CD4	3	F
A100CD8	A100	nonrefsamp	CD8	3	F
A100CD19	A100	nonrefsamp	CD19	3	F
A100PBMC	A100	nonrefsamp	PBMC	3	F
A097CD4	A097	refsamp	CD4	3	F
A097CD8	A097	refsamp	CD8	3	F
A097CD14	A097	refsamp	CD14	3	F
A097CD19	A097	refsamp	CD19	3	F
A097PBMC	A097	refsamp	PBMC	3	F
L077CD4	L077	nonrefsamp	CD4	3	M
L077CD8	L077	nonrefsamp	CD8	3	M
L077CD14	L077	nonrefsamp	CD14	3	M
L077CD19	L077	nonrefsamp	CD19	3	M
L077PBMC	L077	nonrefsamp	PBMC	3	M
A047CD4	A047	refsamp	CD4	3	F
A047CD8	A047	refsamp	CD8	3	F
A047CD14	A047	refsamp	CD14	3	F
A047CD19	A047	refsamp	CD19	3	F
A047PBMC	A047	refsamp	PBMC	3	F
L040CD4	L040	refsamp	CD4	3	F
L040CD8	L040	refsamp	CD8	3	F
L040CD14	L040	refsamp	CD14	3	F
L040CD19	L040	refsamp	CD19	3	F
L040PBMC	L040	refsamp	PBMC	3	F
AHC38CD4	AHC38	nonrefsamp	CD4	3	F
AHC38CD8	AHC38	nonrefsamp	CD8	3	F
AHC38CD14	AHC38	nonrefsamp	CD14	3	F
AHC38PBMC	AHC38	nonrefsamp	PBMC	3	F
A112CD4	A112	nonrefsamp	CD4	3	M
A112CD8	A112	nonrefsamp	CD8	3	M
A112CD14	A112	nonrefsamp	CD14	3	M
A112CD19	A112	nonrefsamp	CD19	3	M
A112PBMC	A112	nonrefsamp	PBMC	3	M
A048CD4	A048	refsamp	CD4	3	F
A048CD8	A048	refsamp	CD8	3	F
A048CD14	A048	refsamp	CD14	3	F
A048CD19	A048	refsamp	CD19	3	F
A048PBMC	A048	refsamp	PBMC	3	F
A143CD8	A143	nonrefsamp	CD8	3	F
A143CD14	A143	nonrefsamp	CD14	3	F
A143CD19	A143	nonrefsamp	CD19	3	F
A143PBMC	A143	nonrefsamp	PBMC	3	F
L675CD4	L675	nonrefsamp	CD4	3	F
L675CD8	L675	nonrefsamp	CD8	3	F
L675PBMC	L675	nonrefsamp	PBMC	3	F
L658CD4	L658	nonrefsamp	CD4	3	F
L658CD14	L658	nonrefsamp	CD14	3	F
L658PBMC	L658	nonrefsamp	PBMC	3	F
L603CD4	L603	nonrefsamp	CD4	3	M
L603CD8	L603	nonrefsamp	CD8	3	M
L603CD14	L603	nonrefsamp	CD14	3	M
L603PBMC	L603	nonrefsamp	PBMC	3	M
L635CD4	L635	refsamp	CD4	4	F
L635CD8	L635	refsamp	CD8	4	F
L635CD14	L635	refsamp	CD14	4	F
L635CD19	L635	refsamp	CD19	4	F
L635PBMC	L635	refsamp	PBMC	4	F
L601CD4	L601	nonrefsamp	CD4	4	F
L601CD8	L601	nonrefsamp	CD8	4	F
L601CD14	L601	nonrefsamp	CD14	4	F
L601CD19	L601	nonrefsamp	CD19	4	F
L601PBMC	L601	nonrefsamp	PBMC	4	F
L650CD4	L650	nonrefsamp	CD4	4	F
L650CD8	L650	nonrefsamp	CD8	4	F
L650PBMC	L650	nonrefsamp	PBMC	4	F
L660CD4	L660	refsamp	CD4	4	F
L660CD8	L660	refsamp	CD8	4	F
L660CD14	L660	refsamp	CD14	4	F
L660CD19	L660	refsamp	CD19	4	F
L660PBMC	L660	refsamp	PBMC	4	F
L628CD4_2	L628_2	refsamp	CD4	4	M
L628CD8_2	L628_2	refsamp	CD8	4	M
L628CD14_2	L628_2	refsamp	CD14	4	M
L628CD19_2	L628_2	refsamp	CD19	4	M
L628PBMC_2	L628_2	refsamp	PBMC	4	M
CAR004CD4	CAR004	refsamp	CD4	4	F
CAR004CD8	CAR004	refsamp	CD8	4	F
CAR004CD14	CAR004	refsamp	CD14	4	F
CAR004CD19	CAR004	refsamp	CD19	4	F
CAR004PBMC	CAR004	refsamp	PBMC	4	F
THC038CD4	THC038	nonrefsamp	CD4	4	F
THC038CD8	THC038	nonrefsamp	CD8	4	F
THC038PBMC	THC038	nonrefsamp	PBMC	4	F
AHC040CD4	AHC040	refsamp	CD4	4	F
AHC040CD8	AHC040	refsamp	CD8	4	F
AHC040CD14	AHC040	refsamp	CD14	4	F
AHC040CD19	AHC040	refsamp	CD19	4	F
AHC040PBMC	AHC040	refsamp	PBMC	4	F
A182CD4	A182	nonrefsamp	CD4	4	M
A182CD8	A182	nonrefsamp	CD8	4	M
A182CD14	A182	nonrefsamp	CD14	4	M
A182CD19	A182	nonrefsamp	CD19	4	M
A182PBMC	A182	nonrefsamp	PBMC	4	M
L028CD4	L028	refsamp	CD4	4	F
L028CD8	L028	refsamp	CD8	4	F
L028CD14	L028	refsamp	CD14	4	F
L028CD19	L028	refsamp	CD19	4	F
L028PBMC	L028	refsamp	PBMC	4	F
CHC139CD4	CHC139	refsamp	CD4	4	M
CHC139CD8	CHC139	refsamp	CD8	4	M
CHC139CD14	CHC139	refsamp	CD14	4	M
CHC139CD19	CHC139	refsamp	CD19	4	M
CHC139PBMC	CHC139	refsamp	PBMC	4	M
A158CD4	A158	refsamp	CD4	4	F
A158CD8	A158	refsamp	CD8	4	F
A158CD14	A158	refsamp	CD14	4	F
A158CD19	A158	refsamp	CD19	4	F
A158PBMC	A158	refsamp	PBMC	4	F
AHC017CD4	AHC017	refsamp	CD4	4	M
AHC017CD8	AHC017	refsamp	CD8	4	M
AHC017CD14	AHC017	refsamp	CD14	4	M
AHC017CD19	AHC017	refsamp	CD19	4	M
AHC017PBMC	AHC017	refsamp	PBMC	4	M
A181CD4	A181	nonrefsamp	CD4	4	M
A181CD8	A181	nonrefsamp	CD8	4	M
A181CD14	A181	nonrefsamp	CD14	4	M
A181CD19	A181	nonrefsamp	CD19	4	M
A181PBMC	A181	nonrefsamp	PBMC	4	M
L032CD4	L032	refsamp	CD4	4	F
L032CD8	L032	refsamp	CD8	4	F
L032CD14	L032	refsamp	CD14	4	F
L032CD19	L032	refsamp	CD19	4	F
L032PBMC	L032	refsamp	PBMC	4	F
L093CD4	L093	refsamp	CD4	4	M
L093CD8	L093	refsamp	CD8	4	M
L093CD14	L093	refsamp	CD14	4	M
L093CD19	L093	refsamp	CD19	4	M
L093PBMC	L093	refsamp	PBMC	4	M
L009CD4	L009	nonrefsamp	CD4	4	F
L009CD8	L009	nonrefsamp	CD8	4	F
L009CD14	L009	nonrefsamp	CD14	4	F
L009CD19	L009	nonrefsamp	CD19	4	F
L009PBMC	L009	nonrefsamp	PBMC	4	F
A159CD4	A159	refsamp	CD4	4	F
A159CD8	A159	refsamp	CD8	4	F
A159CD14	A159	refsamp	CD14	4	F
A159CD19	A159	refsamp	CD19	4	F
A159PBMC	A159	refsamp	PBMC	4	F
A152CD4	A152	refsamp	CD4	4	M
A152CD8	A152	refsamp	CD8	4	M
A152CD14	A152	refsamp	CD14	4	M
A152CD19	A152	refsamp	CD19	4	M
A152PBMC	A152	refsamp	PBMC	4	M
A183CD4	A183	nonrefsamp	CD4	4	F
A183CD8	A183	nonrefsamp	CD8	4	F
A183CD14	A183	nonrefsamp	CD14	4	F
