SECTION	DATA_QC
median>=0.0;topvar=1000	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7	0.858319
median>=0.0;topvar=3000	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7	0.830230
median>=0.0;topvar=5000	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7	0.814083
median>=0.0;topvar=10000	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7	0.786407
median>=0.1;topvar=500	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7	0.872831
median>=0.1;topvar=1000	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7	0.863514
median>=0.1;topvar=3000	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7	0.835346
median>=0.1;topvar=5000	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7	0.818836
median>=0.1;topvar=10000	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7	0.791047
median>=0.5;topvar=500	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7	0.879229
median>=0.5;topvar=1000	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7	0.868829
median>=0.5;topvar=3000	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7	0.842776
median>=0.5;topvar=5000	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7	0.825934
median>=0.5;topvar=10000	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7	0.798243
median>=1.0;topvar=500	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7	0.884128
median>=1.0;topvar=1000	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7	0.873490
median>=1.0;topvar=3000	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7	0.847315
median>=1.0;topvar=5000	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7	0.830537
median>=1.0;topvar=10000	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7	0.804923
SECTION	HCLUST_SPLIT_DIFFERENTIAL_LOG2TPM
cluster1	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9
cluster2	Sample_2,Sample_3,Sample_5,Sample_7
gene	delta_cluster1_minus_cluster2	mean_tpm
SERPINB4	10.875028	1754.094795
S100A7A	10.061455	886.908144
S100A9	10.061204	8449.750894
SPRR2A	9.894592	765.873027
S100A8	9.876179	6487.640403
S100A7	9.738271	3902.364426
PI3	8.820488	730.912442
DEFB4A	8.559785	283.879042
SPRR2B	8.226989	246.564023
SPRR2F	8.135400	207.584032
TCN1	8.018448	180.967677
KRT6C	7.967778	844.841754
HEPHL1	7.948297	430.640431
RHCG	7.547004	208.375505
SERPINB3	7.210541	1416.430167
KRT16	7.035289	4395.356144
SPRR2D	6.448534	431.573425
TMPRSS11D	6.294174	71.162527
KRT6A	6.143125	8394.608318
G25746	-6.002825	43.068609
LCE3E	5.986133	90.459893
AKR1B10	5.980304	175.812172
IFI27	5.932806	309.559195
LCE3A	5.854462	36.130182
LCE3D	5.829055	203.011965
SPRR2G	5.813288	470.775929
LCN2	5.800256	114.521941
ATP12A	5.774755	187.584891
BTC	-5.659274	45.386736
GDA	5.646724	85.584157
GJB2	5.526055	2164.536414
IL36A	5.496623	27.559783
IL36G	5.442804	293.252307
SLC6A14	5.399447	318.882426
KRT77	-5.365744	207.046931
S100A12	5.337797	23.730663
KYNU	5.328621	71.425990
LTF	5.288196	109.712298
OASL	4.936168	26.644417
RAB3B	-4.921742	23.348268
C10orf99	4.882498	109.773964
SCARA5	-4.841822	65.134887
TNIP3	4.763814	19.261101
H19	-4.760405	45.061103
CHAC1	4.755318	16.634061
EPGN	4.734541	27.963170
KRT6B	4.719304	2167.363018
OAS2	4.651292	57.863190
NOS2	4.631012	22.593580
CHI3L2	4.619116	124.736134
WIF1	-4.592179	11.962358
IFI6	4.561587	77.762643
TNXB	-4.506433	159.585556
CXCL8	4.488728	16.603574
KLK6	4.441445	44.160161
SPRR1B	4.403850	264.813040
ANKRD33B	-4.401809	44.324443
GJB6	4.387911	585.527181
VNN3	4.359250	12.212084
C5orf46	-4.345070	43.034810
SNTB1	-4.298925	31.316338
PLAT	4.262990	58.657042
SPRR2E	4.197154	906.125687
GJB4	-4.194428	18.211541
HSPD1P3	4.191988	13.536840
MFAP5	-4.173865	40.084659
MX1	4.164678	89.023162
TYMP	4.163989	117.317992
PLA2G4D	4.152697	291.798190
WNK2	-4.148754	15.698079
APOL1	4.141519	41.096616
SPRR2C	4.139863	9.947722
DEFB4B	4.097623	22.840690
RSAD2	4.091631	23.287378
IFI44	4.060892	44.356728
TPPP	-4.030182	36.838179
UPP1	4.027313	33.939416
HSD11B1	-3.996785	17.385882
AQP9	-3.993226	33.695731
PAMR1	-3.934999	23.151409
LCE5A	-3.913605	18.175229
IL34	-3.904481	27.112972
PRSS22	3.863491	23.356055
HS3ST6	-3.846633	19.068353
HYAL4	3.795948	10.904122
CXCL1	3.764190	10.151955
IGFBP5	-3.761981	264.215087
PI16	-3.760320	32.561663
IL19	3.744345	8.702650
ELN	-3.726415	27.675861
LCE3C	3.722214	12.634735
EPHB2	3.722058	22.541656
PRSS27	3.693999	21.207534
FABP5	3.693790	538.897331
AKR1B15	3.687231	9.123016
HRNR	3.675909	40.330094
CD274	3.673182	16.287991
ZBTB16	-3.665510	13.239324
ARSF	3.660951	27.588990
SPRR1A	3.657143	51.745755
UGT3A2	-3.620229	6.224003
CHRDL1	-3.618550	22.770438
KLK13	3.616917	62.520506
MATN4	-3.611467	6.754227
DSC2	3.605422	613.509147
HERC6	3.599801	61.653652
FLG2	-3.584911	7081.605505
TMPRSS4	3.583621	24.307916
ZC3H12A	3.569553	141.401728
PGBD5	3.568393	15.483670
NES	3.567655	56.721340
ISG15	3.564420	15.383760
PRG4	-3.552224	8.408337
AADACL3	-3.544591	64.098576
CD24P4	3.538061	133.010463
C14orf132	-3.530633	75.951482
C1QTNF7	-3.518453	7.869434
MYH14	-3.518432	142.932800
CCL20	3.494202	8.659957
KRT17	3.486102	2107.154370
IL37	-3.453922	35.547856
PDK4	-3.442881	17.778309
FHL1	-3.436603	41.504499
PAPL	3.421146	110.002720
PTGIS	-3.416319	23.278368
PHYHIP	-3.408727	20.897109
RORC	-3.383194	20.151112
CXCL9	3.378014	7.873382
IGSF10	-3.364689	18.456023
PITX1	3.357944	10.193470
S100A2	3.355616	365.971581
SERPINA3	3.352179	33.299923
RP4-529N6.2	3.333489	7.942914
CXCL10	3.324046	7.783048
ZDHHC11B	-3.319352	8.944524
ADH1B	-3.318957	18.237877
S100P	3.318793	28.276943
MMP12	3.314815	9.050014
LRG1	3.308468	41.186627
CLEC7A	3.301679	36.882413
WISP2	-3.291801	21.706921
GALNT16	-3.282573	8.437254
CMAHP	-3.253902	22.126599
ADGRF1	3.249968	5.560971
ALDH1A3	3.247650	17.868099
CLDN17	3.244772	9.297135
XLOC_008878	3.230994	5.812961
FOXE1	3.230538	14.050574
DCD	-3.223818	36.911880
PCOLCE2	-3.219744	7.674290
GAN	-3.199963	841.750359
FAM153B	-3.199498	6.576342
CLEC3B	-3.199382	10.481875
SVEP1	-3.183342	36.900731
FBLN1	-3.174398	113.208486
SLIT3	-3.168660	67.697701
RND1	3.154511	5.733419
CFD	-3.152895	62.691086
SAMD9	3.150352	141.985169
FADS2	-3.146145	235.813725
SECTION	MARKER_PANEL_SCORES
panel	n_genes	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9
interferon	18	0.40457	-0.93943	-1.23880	0.99728	-0.87943	0.76181	-0.87366	0.68088	1.08678
inflammation	13	0.83611	-0.96716	-0.87586	0.51735	-0.85955	0.77080	-0.50638	0.42143	0.66327
T_cell	8	-0.19281	-0.55451	-1.28299	0.75351	-0.73241	0.61964	-0.51837	1.07001	0.83793
B_cell	6	0.66015	0.27675	-0.68480	0.65685	-0.67423	-0.55378	-0.14290	0.06795	0.39401
plasma_cell	6	0.93214	0.41016	-0.41366	0.23187	0.09920	-0.50430	-0.33528	-0.24097	-0.17916
myeloid	7	-1.24427	0.23400	-0.88716	0.15890	-0.48607	0.57374	0.91622	0.13374	0.60090
fibrosis_ECM	11	-0.61935	0.81770	0.51416	-0.86496	0.68441	-0.55968	0.95463	-0.83133	-0.09557
epithelial	8	-0.01326	0.25254	0.12786	-0.48156	-0.20273	-0.26070	0.56386	-0.09855	0.11253
proliferation	8	0.07038	-0.91932	-0.50873	0.94229	-1.38033	1.00115	-0.81626	0.95930	0.65150
hypoxia	7	1.17581	-0.63985	0.57261	-0.18809	-0.33744	-0.08179	-0.66554	0.17308	-0.00881
apoptosis_stress	8	-0.80559	0.36641	-0.07932	-1.06708	0.26888	0.74219	0.50900	-0.17222	0.23772
