# source_dataset	GEO GSE273356, organ fragment BED files
# chromosome	chr1p_1
# window_end	100000000
# ranged_bytes	32000000
# matrix_bins	8969

# source_range_diagnostics
organ	content_range	decoded_lines	last_source_start
Kidney	Liver	0.7854140662	8559	95740000
Kidney	Cloaca	0.7813889102	8559	95740000
Kidney	Stomach	0.7599087949	8559	95740000
Kidney	GallBladder	0.7369775361	8559	95740000
Limb	Limb	0.9996003271	5872	65710000
Limb	Bladder	0.9645072983	5872	65710000
Limb	Gill	0.9579035143	5872	65710000
Limb	Lung	0.9573935054	5872	65710000
Limb	Heart	0.9526576411	5872	65710000
Limb	Kidney	0.9354584172	5872	65710000
Limb	Brain	0.9314644508	5872	65710000
Limb	Prostate	0.9301450359	5872	65710000
Limb	Spleen	0.9285764663	5872	65710000
Limb	Cloaca	0.8211545046	5872	65710000
Limb	Intestine	0.8158669325	5872	65710000
Limb	Stomach	0.8052521473	5872	65710000
Limb	Liver	0.7906710763	5872	65710000
Limb	Pancreas	0.7826512992	5872	65710000
Limb	GallBladder	0.7115727084	5872	65710000
Liver	Liver	0.9994887781	8969	100000000
Liver	Pancreas	0.9362958924	8969	100000000
Liver	Intestine	0.9272906269	8969	100000000
Liver	Stomach	0.9063063682	8969	100000000
Liver	Cloaca	0.8999217109	8969	100000000
Liver	GallBladder	0.8693291262	8969	100000000
Liver	Brain	0.8168159882	8969	100000000
Liver	Limb	0.8056889276	8969	100000000
Liver	Lung	0.7988664361	8969	100000000
Liver	Heart	0.7964343773	8969	100000000
Liver	Bladder	0.7905458745	8969	100000000
Liver	Gill	0.7879379034	8969	100000000
Liver	Kidney	0.7866819662	8969	100000000
Liver	Prostate	0.7734074146	8969	100000000
Liver	Spleen	0.7578783283	8969	100000000
Lung	Lung	0.9994885105	7039	79000000
Lung	Heart	0.9633633452	7039	79000000
Lung	Gill	0.9549537978	7039	79000000
Lung	Limb	0.9549143014	7039	79000000
Lung	Bladder	0.9542183049	7039	79000000
Lung	Spleen	0.9310626591	7039	79000000
Lung	Prostate	0.9286040826	7039	79000000
Lung	Kidney	0.9072514253	7039	79000000
Lung	Brain	0.9006942502	7039	79000000
Lung	Cloaca	0.8414210647	7039	79000000
Lung	Intestine	0.8195206846	7039	79000000
Lung	Stomach	0.8106109094	7039	79000000
Lung	Liver	0.7873490233	7039	79000000
Lung	Pancreas	0.7782524581	7039	79000000
Lung	GallBladder	0.6835310517	7039	79000000
Pancreas	Pancreas	0.9993801579	5660	63490000
Pancreas	Intestine	0.9485528336	5660	63490000
Pancreas	Liver	0.9434853283	5660	63490000
Pancreas	GallBladder	0.9267846974	5660	63490000
Pancreas	Cloaca	0.9185428224	5660	63490000
Pancreas	Stomach	0.9171365165	5660	63490000
Pancreas	Brain	0.7824130716	5660	63490000
Pancreas	Limb	0.7767312513	5660	63490000
Pancreas	Bladder	0.7677221141	5660	63490000
Pancreas	Kidney	0.7628722077	5660	63490000
Pancreas	Gill	0.7612972233	5660	63490000
Pancreas	Lung	0.7580473032	5660	63490000
Pancreas	Heart	0.7542236367	5660	63490000
Pancreas	Prostate	0.7470348333	5660	63490000
Pancreas	Spleen	0.7280369334	5660	63490000
Prostate	Prostate	0.9993170186	5987	66970000
Prostate	Gill	0.9396104613	5987	66970000
Prostate	Lung	0.9369813288	5987	66970000
Prostate	Heart	0.9333923641	5987	66970000
Prostate	Bladder	0.9307011099	5987	66970000
Prostate	Limb	0.9302505856	5987	66970000
Prostate	Spleen	0.9203844567	5987	66970000
Prostate	Brain	0.9088762627	5987	66970000
Prostate	Kidney	0.8909548310	5987	66970000
Prostate	Cloaca	0.8302380431	5987	66970000
Prostate	Stomach	0.8123392763	5987	66970000
Prostate	Intestine	0.8077129701	5987	66970000
Prostate	Liver	0.7680620298	5987	66970000
Prostate	Pancreas	0.7490509687	5987	66970000
Prostate	GallBladder	0.6401537121	5987	66970000
Spleen	Spleen	0.9994780663	8969	100000000
Spleen	Bladder	0.9220948941	8969	100000000
Spleen	Limb	0.9186843973	8969	100000000
Spleen	Prostate	0.9125706464	8969	100000000
Spleen	Lung	0.9048697971	8969	100000000
Spleen	Heart	0.8909411250	8969	100000000
Spleen	Kidney	0.8871409871	8969	100000000
Spleen	Brain	0.8779298105	8969	100000000
Spleen	Gill	0.8679057031	8969	100000000
Spleen	Cloaca	0.7967456550	8969	100000000
Spleen	Intestine	0.7757488470	8969	100000000
Spleen	Stomach	0.7619746855	8969	100000000
Spleen	Liver	0.7577836190	8969	100000000
Spleen	Pancreas	0.7457006650	8969	100000000
Spleen	GallBladder	0.6499213158	8969	100000000
Stomach	Cloaca	0.9993908722	8969	100000000
Stomach	Intestine	0.9299299000	8969	100000000
Stomach	Stomach	0.9226626274	8969	100000000
Stomach	Pancreas	0.9082817784	8969	100000000
Stomach	Liver	0.9004867549	8969	100000000
Stomach	Lung	0.8511699974	8969	100000000
Stomach	Heart	0.8437042526	8969	100000000
Stomach	Gill	0.8425219404	8969	100000000
Stomach	Prostate	0.8327682744	8969	100000000
Stomach	Limb	0.8297682730	8969	100000000
Stomach	Bladder	0.8278224456	8969	100000000
Stomach	Brain	0.8138366402	8969	100000000
Stomach	GallBladder	0.7987631668	8969	100000000
Stomach	Spleen	0.7973001943	8969	100000000
Stomach	Kidney	0.7818229760	8969	100000000

# label_mapping_scores
mapping	score
no_swap	14.8384258592
swap_Cloaca_Stomach	14.9921430477
swap_Intestine_Stomach	14.7758718645
swap_Cloaca_Intestine	14.7756254676
swap_Heart_Lung	14.7657756812
swap_Bladder_Limb	14.7642508153
swap_Gill_Limb	14.7546196935
swap_Gill_Lung	14.7531891990
swap_Limb_Lung	14.7516448284
swap_Gill_Heart	14.7490168240
swap_Pancreas_Stomach	14.7418013689
swap_Heart_Limb	14.7388797301
swap_Cloaca_Pancreas	14.7317445994
swap_Brain_Kidney	14.7270025648
swap_Intestine_Pancreas	14.7266801358
swap_Liver_Stomach	14.7230675768
swap_Cloaca_Liver	14.7227877067
swap_Bladder_Lung	14.7202892903
swap_Liver_Pancreas	14.7193381440
swap_Gill_Prostate	14.7184178752
swap_Bladder_Kidney	14.7136189315
swap_Kidney_Limb	14.7091543110
swap_Lung_Prostate	14.7052057415
swap_Brain_Limb	14.7013654048
swap_Bladder_Heart	14.7005803856
swap_Limb_Prostate	14.6999041350
swap_Bladder_Prostate	14.6987241606
swap_Intestine_Liver	14.6946598761
swap_Heart_Prostate	14.6932205202
swap_Limb_Spleen	14.6866083294
swap_GallBladder_Pancreas	14.6863584586
