# source_dataset	GEO GSE273356, organ fragment BED files
# chromosome	chr1p_1
# window_end	100000000
# ranged_bytes	32000000
# matrix_bins	8969

# source_range_diagnostics
organ	content_range	decoded_lines	last_source_start
Liver	GallBladder	0.8693291262	8969
Liver	Brain	0.8168159882	8969
Liver	Limb	0.8056889276	8969
Liver	Lung	0.7988664361	8969
Liver	Heart	0.7964343773	8969
Liver	Bladder	0.7905458745	8969
Liver	Gill	0.7879379034	8969
Liver	Kidney	0.7866819662	8969
Liver	Prostate	0.7734074146	8969
Liver	Spleen	0.7578783283	8969
Lung	Spleen	0.2269140517	8969
Lung	Prostate	0.2199946358	8969
Lung	Bladder	0.2139116514	8969
Lung	Limb	0.1833632265	8969
Lung	Lung	0.1810665529	8969
Lung	Brain	0.1794201779	8969
Lung	Kidney	0.1759194399	8969
Lung	Cloaca	0.1347346517	8969
Lung	Heart	0.1337547626	8969
Lung	Pancreas	0.1325773622	8969
Lung	Liver	0.1318278683	8969
Lung	Gill	0.1269790321	8969
Lung	GallBladder	0.1235789394	8969
Lung	Intestine	0.1196022788	8969
Lung	Stomach	0.1153285519	8969
Pancreas	Spleen	0.1588340979	8969
Pancreas	Prostate	0.1493863207	8969
Pancreas	Kidney	0.1445383431	8969
Pancreas	Brain	0.1320479045	8969
Pancreas	GallBladder	0.1225230636	8969
Pancreas	Bladder	0.1160321721	8969
Pancreas	Pancreas	0.1084240626	8969
Pancreas	Liver	0.0978870165	8969
Pancreas	Cloaca	0.0834839939	8969
Pancreas	Limb	0.0760731042	8969
Pancreas	Intestine	0.0721799212	8969
Pancreas	Lung	0.0638648817	8969
Pancreas	Stomach	0.0276785061	8969
Pancreas	Heart	0.0110694390	8969
Pancreas	Gill	0.0013463577	8969
Prostate	Prostate	0.2286456445	8969
Prostate	Spleen	0.2054984234	8969
Prostate	Brain	0.1805050733	8969
Prostate	Bladder	0.1777609747	8969
Prostate	Kidney	0.1765026811	8969
Prostate	Limb	0.1375557205	8969
Prostate	Lung	0.1321670100	8969
Prostate	Cloaca	0.1090712313	8969
Prostate	Liver	0.0934910069	8969
Prostate	Pancreas	0.0903448687	8969
Prostate	GallBladder	0.0890372209	8969
Prostate	Gill	0.0842501507	8969
Prostate	Heart	0.0817367714	8969
Prostate	Intestine	0.0771315072	8969
Prostate	Stomach	0.0586547510	8969
Spleen	Spleen	0.9994780663	8969
Spleen	Bladder	0.9220948941	8969
Spleen	Limb	0.9186843973	8969
Spleen	Prostate	0.9125706464	8969
Spleen	Lung	0.9048697971	8969
Spleen	Heart	0.8909411250	8969
Spleen	Kidney	0.8871409871	8969
Spleen	Brain	0.8779298105	8969
Spleen	Gill	0.8679057031	8969
Spleen	Cloaca	0.7967456550	8969
Spleen	Intestine	0.7757488470	8969
Spleen	Stomach	0.7619746855	8969
Spleen	Liver	0.7577836190	8969
Spleen	Pancreas	0.7457006650	8969
Spleen	GallBladder	0.6499213158	8969
Stomach	Cloaca	0.9993908722	8969
Stomach	Intestine	0.9299299000	8969
Stomach	Stomach	0.9226626274	8969
Stomach	Pancreas	0.9082817784	8969
Stomach	Liver	0.9004867549	8969
Stomach	Lung	0.8511699974	8969
Stomach	Heart	0.8437042526	8969
Stomach	Gill	0.8425219404	8969
Stomach	Prostate	0.8327682744	8969
Stomach	Limb	0.8297682730	8969
Stomach	Bladder	0.8278224456	8969
Stomach	Brain	0.8138366402	8969
Stomach	GallBladder	0.7987631668	8969
Stomach	Spleen	0.7973001943	8969
Stomach	Kidney	0.7818229760	8969

# label_mapping_scores
mapping	score
no_swap	8.2066505894
swap_Cloaca_Stomach	8.3603677779
swap_Gill_Kidney	8.2810444492
swap_Kidney_Limb	8.2769620470
swap_Brain_Kidney	8.2678480986
swap_Kidney_Pancreas	8.2119853664
swap_Heart_Kidney	8.2029084766
swap_Bladder_Limb	8.2015617981
swap_Limb_Lung	8.1953314546
swap_Gill_Lung	8.1938651531
swap_Kidney_Lung	8.1933286572
swap_Gill_Limb	8.1897681274
swap_Bladder_Gill	8.1892717982
swap_Limb_Prostate	8.1890775627
swap_Heart_Lung	8.1862705770
swap_Gill_Prostate	8.1859686654
swap_Bladder_Heart	8.1855110670
swap_Gill_Spleen	8.1851938121
swap_Brain_Limb	8.1839043135
swap_Limb_Spleen	8.1808817438
swap_Gill_Heart	8.1799377414
swap_Heart_Limb	8.1781707056
swap_Heart_Spleen	8.1740285046
swap_Bladder_Lung	8.1666293245
swap_Brain_Prostate	8.1623407221
swap_Kidney_Prostate	8.1606353359
swap_Bladder_Kidney	8.1593864132
swap_Lung_Spleen	8.1578898191
swap_Cloaca_Pancreas	8.1558665964
swap_Brain_Gill	8.1514986181
swap_Lung_Prostate	8.1491000378
