# source_dataset	GEO GSE273356, organ fragment BED files
# chromosome	chr1p_1
# window_end	100000000
# ranged_bytes	32000000
# matrix_bins	8969

# source_range_diagnostics
organ	content_range	decoded_lines	last_source_start
Kidney	Cloaca	-0.0239265004	8969
Kidney	Kidney	-0.0259705969	8969
Kidney	GallBladder	-0.0265131997	8969
Kidney	Spleen	-0.0271237951	8969
Kidney	Pancreas	-0.0274190943	8969
Kidney	Liver	-0.0288717642	8969
Kidney	Limb	-0.0310052962	8969
Kidney	Stomach	-0.0317773567	8969
Kidney	Intestine	-0.0321793201	8969
Kidney	Gill	-0.0326862501	8969
Kidney	Bladder	-0.0346898342	8969
Kidney	Heart	-0.0364297503	8969
Kidney	Brain	-0.0368237281	8969
Kidney	Prostate	-0.0387080230	8969
Limb	Lung	-0.0180496435	8969
Limb	Cloaca	-0.0189762564	8969
Limb	GallBladder	-0.0205940113	8969
Limb	Kidney	-0.0228742106	8969
Limb	Pancreas	-0.0233656689	8969
Limb	Spleen	-0.0240872625	8969
Limb	Liver	-0.0251737207	8969
Limb	Limb	-0.0274681811	8969
Limb	Stomach	-0.0279008383	8969
Limb	Intestine	-0.0281389145	8969
Limb	Gill	-0.0296403254	8969
Limb	Bladder	-0.0302178640	8969
Limb	Heart	-0.0323237265	8969
Limb	Brain	-0.0336877784	8969
Limb	Prostate	-0.0358883070	8969
Liver	Spleen	-0.0344175397	8969
Liver	Lung	-0.0350036182	8969
Liver	Cloaca	-0.0350950661	8969
Liver	Liver	-0.0377333909	8969
Liver	GallBladder	-0.0378214640	8969
Liver	Kidney	-0.0404457160	8969
Liver	Stomach	-0.0416405438	8969
Liver	Pancreas	-0.0422980678	8969
Liver	Intestine	-0.0430951892	8969
Liver	Gill	-0.0432244715	8969
Liver	Limb	-0.0439365805	8969
Liver	Prostate	-0.0453286851	8969
Liver	Heart	-0.0477259216	8969
Liver	Brain	-0.0483740748	8969
Liver	Bladder	-0.0486106687	8969
Lung	GallBladder	-0.0113288585	8969
Lung	Lung	-0.0117801753	8969
Lung	Cloaca	-0.0126029522	8969
Lung	Pancreas	-0.0150671060	8969
Lung	Liver	-0.0178937861	8969
Lung	Kidney	-0.0181349664	8969
Lung	Spleen	-0.0204587596	8969
Lung	Stomach	-0.0207644584	8969
Lung	Intestine	-0.0208183501	8969
Lung	Limb	-0.0217548992	8969
Lung	Bladder	-0.0246062937	8969
Lung	Gill	-0.0250740014	8969
Lung	Heart	-0.0262423782	8969
Lung	Prostate	-0.0300321728	8969
Lung	Brain	-0.0305641329	8969
Pancreas	GallBladder	-0.0019516558	8969
Pancreas	Cloaca	-0.0022450713	8969
Pancreas	Lung	-0.0039227965	8969
Pancreas	Pancreas	-0.0052696974	8969
Pancreas	Liver	-0.0074659605	8969
Pancreas	Intestine	-0.0094000638	8969
Pancreas	Stomach	-0.0105330353	8969
Pancreas	Kidney	-0.0141463646	8969
Pancreas	Spleen	-0.0159003367	8969
Pancreas	Limb	-0.0169991051	8969
Pancreas	Gill	-0.0182703797	8969
Pancreas	Bladder	-0.0198791564	8969
Pancreas	Heart	-0.0200499565	8969
Pancreas	Prostate	-0.0258183117	8969
Pancreas	Brain	-0.0270109251	8969
Prostate	Lung	-0.0287694498	8969
Prostate	Kidney	-0.0294368618	8969
Prostate	Spleen	-0.0297367183	8969
Prostate	Cloaca	-0.0314539575	8969
Prostate	GallBladder	-0.0324660269	8969
Prostate	Limb	-0.0332301466	8969
Prostate	Pancreas	-0.0332628051	8969
Prostate	Liver	-0.0341164142	8969
Prostate	Gill	-0.0353228190	8969
Prostate	Intestine	-0.0355955785	8969
Prostate	Stomach	-0.0362525134	8969
Prostate	Brain	-0.0371493276	8969
Prostate	Prostate	-0.0390069340	8969
Prostate	Bladder	-0.0399284925	8969
Prostate	Heart	-0.0414221396	8969
Spleen	Lung	-0.0274678590	8969
Spleen	Kidney	-0.0277156915	8969
Spleen	Spleen	-0.0278537777	8969
Spleen	GallBladder	-0.0301041948	8969
Spleen	Cloaca	-0.0301137993	8969
Spleen	Limb	-0.0316698100	8969
Spleen	Pancreas	-0.0331339788	8969
Spleen	Liver	-0.0335062792	8969
Spleen	Intestine	-0.0344302538	8969
Spleen	Gill	-0.0344463114	8969
Spleen	Brain	-0.0350476849	8969
Spleen	Stomach	-0.0350567109	8969
Spleen	Prostate	-0.0378910983	8969
Spleen	Bladder	-0.0384602400	8969
Spleen	Heart	-0.0398240195	8969
Stomach	Spleen	-0.0331584690	8969
Stomach	Lung	-0.0331786317	8969
Stomach	Cloaca	-0.0337256390	8969
Stomach	GallBladder	-0.0372057371	8969
Stomach	Liver	-0.0375433402	8969
Stomach	Kidney	-0.0389574847	8969
Stomach	Stomach	-0.0411491738	8969
Stomach	Pancreas	-0.0420854432	8969
Stomach	Gill	-0.0421270112	8969
Stomach	Intestine	-0.0424317383	8969
Stomach	Limb	-0.0426837304	8969
Stomach	Prostate	-0.0445581922	8969
Stomach	Heart	-0.0464340213	8969
Stomach	Bladder	-0.0470710464	8969
Stomach	Brain	-0.0471878733	8969

# label_mapping_scores
mapping	score
no_swap	-0.4561253568
swap_Bladder_Brain	-0.4510286122
swap_Brain_Heart	-0.4520013144
swap_Bladder_Limb	-0.4528247792
swap_Heart_Limb	-0.4530866747
swap_GallBladder_Limb	-0.4531043890
swap_Gill_Heart	-0.4533977746
swap_GallBladder_Lung	-0.4534699042
swap_Bladder_Gill	-0.4537064224
swap_Brain_GallBladder	-0.4537182498
swap_GallBladder_Gill	-0.4537965156
swap_Brain_Spleen	-0.4541664475
swap_Bladder_Kidney	-0.4546076910
swap_Heart_Kidney	-0.4546499392
swap_Cloaca_Liver	-0.4549881856
swap_GallBladder_Pancreas	-0.4550203106
swap_Spleen_Stomach	-0.4553375853
swap_Cloaca_Stomach	-0.4554561566
swap_Gill_Stomach	-0.4555694712
swap_Brain_Intestine	-0.4559235295
swap_Gill_Intestine	-0.4559952690
swap_Intestine_Limb	-0.4561298020
swap_Heart_Stomach	-0.4562786395
swap_Bladder_Heart	-0.4563687048
swap_Liver_Stomach	-0.4564266761
swap_Gill_Kidney	-0.4564578807
swap_Heart_Spleen	-0.4564974423
swap_Limb_Spleen	-0.4565604704
swap_Kidney_Limb	-0.4565660856
swap_Gill_Limb	-0.4566571245
swap_Limb_Lung	-0.4566815430
