# candidates have max_abs_usage_delta >= 0.25
rank	gene_id	gene_symbol	expressed_isoforms	sampleA_gene_NumReads	sampleB_gene_NumReads	max_abs_usage_delta	total_variation	top_transcript	top_sampleA_usage	top_sampleB_usage	top_sampleA_NumReads	top_sampleB_NumReads	top_sampleA_TPM	top_sampleB_TPM	top_log2FC_normalized_reads	top_usage_delta_sampleB_minus_A
108	ENSG00000169180.12	XPO6	3	30	21	1	1	ENST00000304658	0	1	0	21	0	23.1186	7.82006	1
109	ENSG00000173230.17	GOLGB1	3	21	39	1	1	ENST00000694982	1	0	21	0	9.08023	0	-7.8114	-1
110	ENSG00000177731.16	FLII	3	23	21	1	1	ENST00000327031	0	1	0	21	0	25.2123	7.82006	1
111	ENSG00000083168.11	KAT6A	3	20	22	1	1	ENST00000265713	1	0	20	0	9.59586	0	-7.74133	-1
112	ENSG00000100888.15	CHD8	3	28	20	1	1	ENST00000557364	1	0	28	0	15.115	0	-8.22483	-1
113	ENSG00000101152.12	DNAJC5	3	22	20	1	1	ENST00000470551	0	1	0	20	0	18.7393	7.74999	1
114	ENSG00000102531.16	FNDC3A	2	20	25	1	1	ENST00000398316	0	1	0	25	0	21.5936	8.07058	1
115	ENSG00000107959.17	PITRM1	2	21	20	1	1	ENST00000224949	0	1	0	20	0	29.7104	7.74999	1
116	ENSG00000158290.19	CUL4B	3	20	22	1	1	ENST00000681090	0	1	0	22	0	22.5372	7.88688	1
117	ENSG00000160991.17	ORAI2	2	20	26	1	1	ENST00000473939	1	0	20	0	8.2653	0	-7.74133	-1
118	ENSG00000164305.20	CASP3	3	26	20	1	1	ENST00000700101	0	1	0	20	0	42.0632	7.74999	1
119	ENSG00000171109.19	MFN1	3	20	24.151	1	1	ENST00000357390	1	0	20	0	29.4796	0	-7.74133	-1
120	ENSG00000185728.17	YTHDF3	4	20	25	1	1	ENST00000617200	0	1	0	25	0	24.4483	8.07058	1
121	ENSG00000196591.12	HDAC2	3	25	20	1	1	ENST00000519108	1	0	25	0	61.0228	0	-8.06191	-1
122	ENSG00000167986.15	DDB1	3	65	80	1	1	ENST00000301764	0	1	0	80	0	94.508	9.74496	1
123	ENSG00000107263.19	RAPGEF1	4	49.005	45	1	1	ENST00000372189	0	1	0	45	0	36.3971	8.91619	1
124	ENSG00000135905.21	DOCK10	4	34	44	1	1	ENST00000645028	1	0	34	0	20.671	0	-8.50409	-1
125	ENSG00000101846.9	STS	3	31	34	1	1	ENST00000217961	0	1	0	34	0	25.5881	8.51276	1
126	ENSG00000108559.13	NUP88	5	27.269	35	1	1	ENST00000572019	1	0	27.269	0	22.2977	0	-8.1868	-1
127	ENSG00000104805.17	NUCB1	3	30	27	1	1	ENST00000706759	0	1	0	27	0	64.9472	8.18121	1
128	ENSG00000100883.13	SRP54	3	38	26	1	1	ENST00000678477	0	1	0	26	0	68.3604	8.12695	1
129	ENSG00000079805.19	DNM2	3	26	24	1	1	ENST00000355667	1	0	26	0	32.8293	0	-8.11829	-1
130	ENSG00000108389.10	MTMR4	3	24	27	1	1	ENST00000323456	0	1	0	27	0	22.7995	8.18121	1
131	ENSG00000198431.18	TXNRD1	3	23	25	1	1	ENST00000525566	1	0	23	0	27.2152	0	-7.94209	-1
132	ENSG00000167895.16	TMC8	3	22	31	1	1	ENST00000589691	1	0	22	0	25.5576	0	-7.87822	-1
133	ENSG00000204463.14	BAG6	5	33	40	1	1	ENST00000375964	1	0	33	0	40.8469	0	-8.46114	-1
134	ENSG00000086758.17	HUWE1	5	126.999	132	0.98797	1	ENST00000262854	0	0.98797	0	130.412	0	42.5025	10.4493	0.98797
135	ENSG00000143933.20	CALM2	4	91	64	0.987253	0.987253	ENST00000652974	0.987253	0	89.84	0	386.857	0	-9.90344	-0.987253
136	ENSG00000117523.18	PRRC2C	4	55	57	0.982456	1	ENST00000338920	0	0.982456	0	56	0	26.1545	9.2311	0.982456
137	ENSG00000030419.17	IKZF2	5	140	103	0.977971	1	ENST00000457361	0	0.977971	0	100.731	0	52.2418	10.077	0.977971
138	ENSG00000182944.18	EWSR1	6	49.892	47.999	0.977151	0.977151	ENST00000397938	0.977151	0	48.752	0	96.8591	0	-9.02281	-0.977151
139	ENSG00000167325.15	RRM1	4	39	30	0.975949	1	ENST00000300738	0.975949	0	38.062	0	56.2192	0	-8.66648	-0.975949
140	ENSG00000011304.22	PTBP1	4	48	45	0.970167	0.970167	ENST00000349038	0.970167	0	46.568	0	68.475	0	-8.95682	-0.970167
141	ENSG00000166888.13	STAT6	5	30	39.001	0.966667	1	ENST00000651176	0.966667	0	29	0	34.2294	0	-8.27529	-0.966667
142	ENSG00000085224.23	ATRX	4	34	34	0.963147	1	ENST00000395603	0	0.963147	0	32.747	0	15.5047	8.45874	0.963147
143	ENSG00000168394.13	TAP1	4	69.928	76.124	0.962955	1	ENST00000354258	0	0.962955	0	73.304	0	142.077	9.619	0.962955
144	ENSG00000196498.15	NCOR2	4	33	40	0.962364	1	ENST00000405201	0.962364	0	31.758	0	15.5021	0	-8.40595	-0.962364
145	ENSG00000075856.12	SART3	6	25	22.886	0.96	1	ENST00000651280	0.96	0	24	0	29.4932	0	-8.00324	-0.96
146	ENSG00000196924.19	FLNA	5	123	112	0.956325	1	ENST00000360319	0.956325	0	117.628	0	62.5883	0	-10.2919	-0.956325
147	ENSG00000133961.22	NUMB	5	22	24.999	0.954545	0.959998	ENST00000554546	0.954545	0	21	0	26.7214	0	-7.8114	-0.954545
148	ENSG00000120899.18	PTK2B	6	69	62	0.953661	1	ENST00000420218	0	0.953661	0	59.127	0	75.6027	9.30937	0.953661
149	ENSG00000184216.15	IRAK1	4	22	29	0.952517	1	ENST00000369974	0	0.952517	0	27.623	0	42.4788	8.21401	0.952517
150	ENSG00000092108.22	SCFD1	5	25	21	0.95081	1	ENST00000458591	0	0.95081	0	19.967	0	48.5752	7.74762	0.95081
151	ENSG00000115839.20	RAB3GAP1	4	20	28	0.95	1	ENST00000685967	0.95	0	19	0	19.8242	0	-7.66769	-0.95
152	ENSG00000128609.16	NDUFA5	4	21	22	0.946524	1	ENST00000677264	0.946524	0	19.877	0	55.8606	0	-7.73247	-0.946524
153	ENSG00000120694.20	HSPH1	5	36	40	0.945417	1	ENST00000602786	0.945417	0	34.035	0	44.8998	0	-8.50557	-0.945417
154	ENSG00000175216.15	CKAP5	4	36	26	0.945167	1	ENST00000529230	0.945167	0	34.026	0	20.9978	0	-8.50519	-0.945167
155	ENSG00000104320.15	NBN	6	44	45.999	0.941955	1	ENST00000523444	0	0.941955	0	43.329	0	45.7069	8.86171	0.941955
156	ENSG00000180628.15	PCGF5	3	46	28.143	0.940483	0.940483	ENST00000336126	0	0.940483	0	26.468	0	18.1065	8.1526	0.940483
157	ENSG00000198242.14	RPL23A	4	147.503	166.278	0.937357	0.939667	ENST00000394935	0.937357	0	138.263	0	1789.71	0	-10.5249	-0.937357
158	ENSG00000100823.12	APEX1	5	28	27	0.933407	1	ENST00000216714	0	0.933407	0	25.202	0	98.8699	8.08214	0.933407
159	ENSG00000102606.20	ARHGEF7	5	25	28	0.93288	1	ENST00000375736	0.93288	0	23.322	0	20.833	0	-7.96206	-0.93288
160	ENSG00000162298.19	SYVN1	5	23	27	0.932481	1	ENST00000377190	0	0.932481	0	25.177	0	42.6192	8.08072	0.932481
161	ENSG00000126457.22	PRMT1	3	30	35	0.9313	0.9313	ENST00000391851	0.9313	0	27.939	0	104.415	0	-8.2217	-0.9313
162	ENSG00000118680.14	MYL12B	2	40.992	46.995	0.928673	0.928673	ENST00000237500	1	0.0713267	40.992	3.352	191.785	17.3273	-3.56723	-0.928673
163	ENSG00000171988.20	JMJD1C	4	24	31	0.928032	1	ENST00000542921	0	0.928032	0	28.769	0	17.1891	8.27246	0.928032
164	ENSG00000163932.16	PRKCD	4	28	22	0.922091	1	ENST00000654719	0	0.922091	0	20.286	0	47.5853	7.77038	0.922091
165	ENSG00000104814.13	MAP4K1	5	38	35	0.917571	0.917571	ENST00000589130	0	0.917571	0	32.115	0	63.0473	8.43071	0.917571
166	ENSG00000107929.16	LARP4B	3	25	22	0.91736	0.91736	ENST00000316157	0.91736	0	22.934	0	17.1477	0	-7.93796	-0.91736
167	ENSG00000149311.22	ATM	5	31	20	0.91535	1	ENST00000713593	0	0.91535	0	18.307	0	6.83369	7.62301	0.91535
168	ENSG00000072274.14	TFRC	5	200	184.999	0.913175	0.913175	ENST00000360110	0.913175	0	182.635	0	163.827	0	-10.9262	-0.913175
169	ENSG00000101109.14	STK4	8	68.001	55	0.912913	0.967436	ENST00000372806	0.912913	0	62.079	0	43.3575	0	-9.37086	-0.912913
170	ENSG00000123562.18	MORF4L2	6	24	23	0.912833	1	ENST00000441076	0.912833	0	21.908	0	57.9101	0	-7.8722	-0.912833
171	ENSG00000100280.17	AP1B1	4	32	35	0.911563	1	ENST00000317368	0.911563	0	29.17	0	34.1093	0	-8.2837	-0.911563
172	ENSG00000179889.21	PDXDC1	3	26	26	0.908885	0.908885	ENST00000396410	0	0.908885	0	23.631	0	25.6502	7.98964	0.908885
173	ENSG00000100243.22	CYB5R3	4	23	36	0.908361	1	ENST00000687198	0	0.908361	0	32.701	0	86.7037	8.45672	0.908361
174	ENSG00000089597.18	GANAB	4	39	41	0.906732	1	ENST00000356638	0	0.906732	0	37.176	0	48.9406	8.64126	0.906732
175	ENSG00000151726.16	ACSL1	2	35	42	0.904667	0.904667	ENST00000454703	0	0.904667	0	37.996	0	52.9605	8.67266	0.904667
176	ENSG00000122218.17	COPA	6	80	77.001	0.904412	1	ENST00000649787	0.904412	0	72.353	0	71.5917	0	-9.5915	-0.904412
177	ENSG00000130816.17	DNMT1	4	39	28	0.897436	1	ENST00000678694	0.897436	0	35	0	35.3275	0	-8.5458	-0.897436
178	ENSG00000182149.21	IST1	3	25	27	0.89444	0.89444	ENST00000456820	0.89444	0	22.361	0	53.6312	0	-7.90161	-0.89444
179	ENSG00000164134.14	NAA15	4	34	27	0.888676	0.909852	ENST00000700277	0.888676	0	30.215	0	36.719	0	-8.33432	-0.888676
180	ENSG00000105568.19	PPP2R1A	5	48.999	57	0.888105	0.93306	ENST00000703397	0	0.888105	0	50.622	0	109.642	9.0857	0.888105
181	ENSG00000100796.18	PPP4R3A	5	34	24.999	0.887836	0.9555	ENST00000554684	0	0.887836	0	22.195	0	27.1517	7.89956	0.887836
182	ENSG00000181090.21	EHMT1	5	20	28.001	0.8877	1	ENST00000460843	0.8877	0	17.754	0	15.6531	0	-7.57033	-0.8877
183	ENSG00000106948.17	AKNA	4	29	26	0.874759	0.874759	ENST00000374075	0.874759	0	25.368	0	22.6323	0	-8.08292	-0.874759
184	ENSG00000124795.17	DEK	3	62	45	0.874742	0.874742	ENST00000651992	0.874742	0	54.234	0	89.068	0	-9.17627	-0.874742
185	ENSG00000184432.11	COPB2	4	57	43	0.874561	1	ENST00000333188	0.874561	0	49.85	0	70.3936	0	-9.05488	-0.874561
186	ENSG00000178719.17	GRINA	4	25	29	0.87412	1	ENST00000313269	0.87412	0	21.853	0	54.3349	0	-7.86859	-0.87412
187	ENSG00000197694.19	SPTAN1	5	46	63.001	0.869152	1	ENST00000704203	0.869152	0	39.981	0	21.4038	0	-8.73727	-0.869152
188	ENSG00000109320.14	NFKB1	4	57	47	0.86814	1	ENST00000509165	0.86814	0	49.484	0	60.5483	0	-9.04427	-0.86814
189	ENSG00000067064.13	IDI1	3	36	29	0.865806	0.865806	ENST00000381344	0.865806	0	31.169	0	53.4927	0	-8.37903	-0.865806
190	ENSG00000108883.13	EFTUD2	5	23	36	0.864478	1	ENST00000402521	0.864478	0	19.883	0	30.3875	0	-7.73291	-0.864478
191	ENSG00000101310.17	SEC23B	4	25	28	0.861464	1	ENST00000643747	0	0.861464	0	24.121	0	46.8467	8.01913	0.861464
192	ENSG00000126012.14	KDM5C	5	34	33	0.861333	1	ENST00000375401	0	0.861333	0	28.424	0	24.127	8.25511	0.861333
193	ENSG00000149781.14	FERMT3	5	34	29	0.861235	1	ENST00000698847	0.861235	0	29.282	0	58.3667	0	-8.28921	-0.861235
194	ENSG00000119383.21	PTPA	5	20.001	29	0.859724	1	ENST00000452489	0	0.859724	0	24.932	0	51.6985	8.06666	0.859724
195	ENSG00000164919.11	COX6C	2	23	30	0.859391	0.859391	ENST00000522934	0.140609	1	3.234	30	44.27	453.798	3.18546	0.859391
196	ENSG00000173575.24	CHD2	4	41	24.001	0.855927	0.855927	ENST00000394196	0.855927	0	35.093	0	16.473	0	-8.54961	-0.855927
197	ENSG00000131323.17	TRAF3	5	21	28	0.855464	1	ENST00000392745	0	0.855464	0	23.953	0	14.961	8.00909	0.855464
198	ENSG00000084623.12	EIF3I	6	42	44	0.854977	1	ENST00000677711	0	0.854977	0	37.619	0	151.618	8.65831	0.854977
199	ENSG00000186635.16	ARAP1	3	26	25	0.851654	0.851654	ENST00000334211	0.851654	0	22.143	0	20.1594	0	-7.88753	-0.851654
200	ENSG00000089280.20	FUS	6	56.001	73	0.849288	0.932983	ENST00000715542	0.849288	0	47.561	0	129.567	0	-8.9872	-0.849288
201	ENSG00000005483.23	KMT2E	6	28	31	0.844	1	ENST00000478079	0	0.844	0	26.164	0	18.661	8.13599	0.844
202	ENSG00000106415.13	GLCCI1	3	24	23	0.841958	0.841958	ENST00000482540	0.841958	0	20.207	0	23.3791	0	-7.75612	-0.841958
203	ENSG00000244038.11	DDOST	2	62.861	56.95	0.841794	0.841794	ENST00000415136	0.158206	1	9.945	56.95	22.6434	143.271	2.51516	0.841794
204	ENSG00000214022.12	REPIN1	7	28	29	0.841586	1	ENST00000444957	0	0.841586	0	24.406	0	42.3619	8.03602	0.841586
205	ENSG00000106682.16	EIF4H	5	74	89	0.841101	0.858854	ENST00000677681	0	0.841101	0	74.858	0	149.827	9.64923	0.841101
206	ENSG00000143603.19	KCNN3	3	30	37	0.836216	0.836216	ENST00000618040	0	0.836216	0	30.94	0	11.4018	8.37709	0.836216
207	ENSG00000038274.18	MAT2B	3	33	24	0.830792	0.830792	ENST00000694938	0	0.830792	0	19.939	0	98.7406	7.7456	0.830792
208	ENSG00000160789.25	LMNA	6	45	42	0.828714	1	ENST00000675431	0	0.828714	0	34.806	0	129.957	8.54647	0.828714
209	ENSG00000168374.11	ARF4	3	29	30	0.8256	0.8256	ENST00000486310	0	0.8256	0	24.768	0	86.522	8.05718	0.8256
210	ENSG00000138029.14	HADHB	4	25	28	0.824857	1	ENST00000317799	0	0.824857	0	23.096	0	62.3932	7.95674	0.824857
