BSS00091	Brain	astrocyte_of_the_hippocampus		ASTROCYTE HIPPOCAMPUS			unknown/mixed	unknown		unknown/mixed	primary cell	#C5912B	Neural	ENCODE (New)	ENCDO223AAA	astrocyte of the hippocampus
BSS00092	Brain	astrocyte_of_the_spinal_cord		ASTROCYTE SPINAL CORD			unknown/mixed	unknown		unknown/mixed	primary cell	#C5912B	Neural	ENCODE (New)	ENCDO224AAA	astrocyte of the spinal cord
BSS00093	HSC & B-cell	B_cell		B CELL			unknown/mixed	unknown		unknown/mixed	primary cell	#55A354	Immune	Roadmap 2015	ENCDO135ZPY,ENCDO185JIR,ENCDO363GCG,ENCDO375CKP,ENCDO954BOU	B cell
BSS00097	HSC & B-cell	B_cell_female_adult_(34_years)		B CELL			adult	34	year	female	primary cell	#55A354	Immune	Roadmap (New)	ENCDO579CCQ	B cell female adult (34 years)
BSS00100	HSC & B-cell	B_cell_male_adult_(21_year)		B CELL			adult	21	year	male	primary cell	#55A354	Immune	Roadmap 2015	ENCDO190HXC	B cell male adult (21 year)
BSS00101	HSC & B-cell	B_cell_male_adult_(37_years)		B CELL			adult	37	year	male	primary cell	#55A354	Immune	Roadmap 2015	ENCDO028NGF	B cell male adult (37 years)
BSS00102	Cancer	BE2C	Brain	NEUROBLASTOMA			child	2	year	male	cell line	#000000	Other	ENCODE (New)	ENCDO000ACQ	BE2C
BSS00112	ES-deriv	bipolar_neuron_originated_from_GM23338_treated_with_0.5_mg_mL_doxycycline_hyclate_for_4_days	Brain	BIPOLAR NEURON DERIV	bipolar_neuron_originated_from_GM23338	0.5_mg_mL_doxycycline_hyclate_for_4_days	adult	53	year	male	in vitro differentiated cells	#4178AE	Stem-like	ENCODE (New)	ENCDO336AAA	bipolar neuron originated from GM23338 treated with 0.5 μg/mL doxycycline hyclate for 4 days
BSS00125	Brain	brain_embryo_(112_days)		BRAIN			embryonic	112	day	unknown/mixed	tissue	#C5912B	Neural	Roadmap (New)	ENCDO307OVZ	brain embryo (112 days)
BSS00126	Brain	brain_embryo_(56_days)_and_male_embryo_(58_days)		BRAIN			embryonic	58,56	day	unknown/mixed	tissue	#C5912B	Neural	ENCODE (New)	ENCDO652XOU,ENCDO708OLI	brain embryo (56 days) and male embryo (58 days)
BSS00127	Brain	brain_embryo_(80_days)		BRAIN			embryonic	80	day	unknown/mixed	tissue	#C5912B	Neural	ENCODE (New)	ENCDO662IIE	brain embryo (80 days)
BSS00129	Brain	brain_female_embryo_(105_days)		BRAIN			embryonic	105	day	female	tissue	#C5912B	Neural	Roadmap (New)	ENCDO863KZW	brain female embryo (105 days)
BSS00130	Brain	brain_female_embryo_(109_days)		BRAIN			embryonic	109	day	female	tissue	#C5912B	Neural	Roadmap (New)	ENCDO879HSH	brain female embryo (109 days)
BSS00131	Brain	brain_female_embryo_(117_days)		BRAIN			embryonic	117	day	female	tissue	#C5912B	Neural	Roadmap 2015	ENCDO642MOA	brain female embryo (117 days)
BSS00132	Brain	brain_female_embryo_(120_days)		BRAIN			embryonic	120	day	female	tissue	#C5912B	Neural	Roadmap 2015	ENCDO670CKN	brain female embryo (120 days)
BSS00133	Brain	brain_female_embryo_(142_days)		BRAIN			embryonic	142	day	female	tissue	#C5912B	Neural	Roadmap (New)	ENCDO175TGB	brain female embryo (142 days)
BSS00134	Brain	brain_female_embryo_(17_weeks)		BRAIN			embryonic	17	week	female	tissue	#C5912B	Neural	Roadmap 2015	ENCDO030VWZ,ENCDO981EWY	brain female embryo (17 weeks)
BSS00135	Brain	brain_female_embryo_(85_days)		BRAIN			embryonic	85	day	female	tissue	#C5912B	Neural	Roadmap (New)	ENCDO316SVQ	brain female embryo (85 days)
BSS00136	Brain	brain_female_embryo_(96_days)		BRAIN			embryonic	96	day	female	tissue	#C5912B	Neural	Roadmap (New)	ENCDO370HUJ	brain female embryo (96 days)
BSS00138	Brain	brain_male_embryo_(101_day)		BRAIN			embryonic	101	day	male	tissue	#C5912B	Neural	Roadmap (New)	ENCDO148CGW	brain male embryo (101 day)
BSS00139	Brain	brain_male_embryo_(104_days)		BRAIN			embryonic	104	day	male	tissue	#C5912B	Neural	Roadmap (New)	ENCDO024JHT	brain male embryo (104 days)
BSS00140	Brain	brain_male_embryo_(105_days)		BRAIN			embryonic	105	day	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO908MUY	brain male embryo (105 days)
BSS00141	Brain	brain_male_embryo_(122_days)		BRAIN			embryonic	122	day	male	tissue	#C5912B	Neural	Roadmap 2015	ENCDO762SKK	brain male embryo (122 days)
BSS00142	Brain	brain_male_embryo_(72_days)_and_male_embryo_(76_days)		BRAIN			embryonic	72,76	day	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO300THQ,ENCDO647EYG	brain male embryo (72 days) and male embryo (76 days)
BSS00143	Endothelial	brain_microvascular_endothelial_cell	Brain	BRAIN MICROVASCULAR ENDOTHELIAL CELL			unknown/mixed	unknown		unknown/mixed	primary cell	#FFCA0C	Primary Cell	ENCODE (New)	ENCDO227AAA	brain microvascular endothelial cell
BSS00144	Stromal	brain_pericyte	Brain	PERICYTE			unknown/mixed	unknown		unknown/mixed	primary cell	#FF720C	Primary Cell	ENCODE (New)	ENCDO228AAA	brain pericyte
BSS00169	ES-deriv	cardiac_mesoderm_originated_from_H7-hESC	Heart	CARDIAC MESODERM DERIV			embryonic	unknown		female	in vitro differentiated cells	#4178AE	Stem-like	ENCODE (New)	ENCDO221AAA	cardiac mesoderm originated from H7-hESC
BSS00173	Brain	caudate_nucleus_female_adult_(75_years)		CAUDATE NUCLEUS			adult	75	year	female	tissue	#C5912B	Neural	Roadmap 2015	ENCDO871IWW	caudate nucleus female adult (75 years)
BSS00174	Brain	caudate_nucleus_male_adult_(78_years)		CAUDATE NUCLEUS			adult	78	year	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO317XRR	caudate nucleus male adult (78 years)
BSS00175	Brain	caudate_nucleus_male_adult_(81_year)		CAUDATE NUCLEUS			adult	81	year	male	tissue	#C5912B	Neural	Roadmap 2015	ENCDO980BZD	caudate nucleus male adult (81 year)
BSS00179	HSC & B-cell	CD14-positive_monocyte_female_adult_(34_years)		CD14 MONOCYTE			adult	34	year	female	primary cell	#55A354	Immune	Roadmap 2015	ENCDO579CCQ	CD14-positive monocyte female adult (34 years)
BSS00180	HSC & B-cell	CD14-positive_monocyte_male_adult_(21_year)		CD14 MONOCYTE			adult	21	year	male	primary cell	#55A354	Immune	Roadmap 2015	ENCDO190HXC	CD14-positive monocyte male adult (21 year)
BSS00181	HSC & B-cell	CD14-positive_monocyte_male_adult_(37_years)		CD14 MONOCYTE			adult	37	year	male	primary cell	#55A354	Immune	Roadmap 2015	ENCDO028NGF	CD14-positive monocyte male adult (37 years)
BSS00183	Blood & T-cell	CD4-positive,_alpha-beta_memory_T_cell		CD4 T CELL			unknown/mixed	unknown		unknown/mixed	primary cell	#678C69	Immune	Roadmap 2015	ENCDO194EHQ,ENCDO688UWB,ENCDO779YRY,ENCDO922CEJ	CD4-positive, alpha-beta memory T cell
BSS00185	Blood & T-cell	CD4-positive,_alpha-beta_memory_T_cell_originated_from_blood_cell		CD4 T CELL			unknown/mixed	unknown		unknown/mixed	primary cell	#678C69	Immune	Roadmap 2015	ENCDO966YSM	CD4-positive, alpha-beta memory T cell originated from blood cell
BSS00186	Blood & T-cell	CD4-positive,_alpha-beta_T_cell		CD4 T CELL			unknown/mixed	unknown		unknown/mixed	primary cell	#678C69	Immune	Roadmap 2015	ENCDO194EHQ,ENCDO779YRY	CD4-positive, alpha-beta T cell
BSS00188	Blood & T-cell	CD4-positive,_alpha-beta_T_cell_female_adult_(33_years)		CD4 T CELL			adult	33	year	female	primary cell	#678C69	Immune	Roadmap (New)	ENCDO412QUR	CD4-positive, alpha-beta T cell female adult (33 years)
BSS00189	Blood & T-cell	CD4-positive,_alpha-beta_T_cell_male_adult_(21_year)		CD4 T CELL			adult	21	year	male	primary cell	#678C69	Immune	Roadmap (New)	ENCDO190HXC	CD4-positive, alpha-beta T cell male adult (21 year)
BSS00190	Blood & T-cell	CD4-positive,_alpha-beta_T_cell_male_adult_(37_years)		CD4 T CELL			adult	37	year	male	primary cell	#678C69	Immune	Roadmap (New)	ENCDO028NGF	CD4-positive, alpha-beta T cell male adult (37 years)
BSS00191	Blood & T-cell	CD4-positive,_alpha-beta_T_cell_treated_with_phorbol_13-acetate_12-myristate_,_ionomycin		CD4 T CELL	CD4-positive,_alpha-beta_T_cell	phorbol_13-acetate_12-myristate_,_ionomycin	unknown/mixed	unknown		unknown/mixed	primary cell	#678C69	Immune	Roadmap 2015	ENCDO194EHQ,ENCDO779YRY	CD4-positive, alpha-beta T cell treated with phorbol 13-acetate 12-myristate , ionomycin
BSS00192	Blood & T-cell	CD4-positive,_CD25-positive,_alpha-beta_regulatory_T_cell		CD4 T CELL			unknown/mixed	unknown		unknown/mixed	primary cell	#678C69	Immune	Roadmap 2015	ENCDO194EHQ,ENCDO779YRY	CD4-positive, CD25-positive, alpha-beta regulatory T cell
BSS00193	Blood & T-cell	CD8-positive,_alpha-beta_memory_T_cell		CD8 T CELL			unknown/mixed	unknown		unknown/mixed	primary cell	#678C69	Immune	Roadmap 2015	ENCDO688UWB,ENCDO922CEJ	CD8-positive, alpha-beta memory T cell
BSS00194	Blood & T-cell	CD8-positive,_alpha-beta_T_cell		CD8 T CELL			unknown/mixed	unknown		unknown/mixed	primary cell	#678C69	Immune	Roadmap 2015	ENCDO688UWB,ENCDO922CEJ	CD8-positive, alpha-beta T cell
BSS00195	Blood & T-cell	CD8-positive,_alpha-beta_T_cell_female_adult_(33_years)		CD8 T CELL			adult	33	year	female	primary cell	#678C69	Immune	Roadmap (New)	ENCDO412QUR	CD8-positive, alpha-beta T cell female adult (33 years)
BSS00196	Blood & T-cell	CD8-positive,_alpha-beta_T_cell_female_adult_(34_years)		CD8 T CELL			adult	34	year	female	primary cell	#678C69	Immune	Roadmap (New)	ENCDO579CCQ	CD8-positive, alpha-beta T cell female adult (34 years)
BSS00197	Blood & T-cell	CD8-positive,_alpha-beta_T_cell_male_adult_(21_year)		CD8 T CELL			adult	21	year	male	primary cell	#678C69	Immune	Roadmap 2015	ENCDO123NFT,ENCDO190HXC	CD8-positive, alpha-beta T cell male adult (21 year)
BSS00198	Blood & T-cell	CD8-positive,_alpha-beta_T_cell_male_adult_(28_years)		CD8 T CELL			adult	28	year	male	primary cell	#678C69	Immune	Roadmap 2015	ENCDO273TST	CD8-positive, alpha-beta T cell male adult (28 years)
BSS00200	Blood & T-cell	CD8-positive,_alpha-beta_T_cell_male_adult_(37_years)		CD8 T CELL			adult	37	year	male	primary cell	#678C69	Immune	Roadmap (New)	ENCDO028NGF	CD8-positive, alpha-beta T cell male adult (37 years)
BSS00201	Brain	cerebellar_cortex_male_adult_(78_years)_and_male_adult_(84_years)		CEREBELLAR CORTEX			adult	84,78	year	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO240JUB,ENCDO317XRR	cerebellar cortex male adult (78 years) and male adult (84 years)
BSS00205	Brain	cerebellum_male_adult_(20_years)		CEREBELLUM			adult	20	year	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO377OGA	cerebellum male adult (20 years)
BSS00206	Brain	cerebellum_male_adult_(27_years)_and_male_adult_(35_years)		CEREBELLUM			adult	35,27	year	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO006AAA,ENCDO007AAA	cerebellum male adult (27 years) and male adult (35 years)
BSS00207	Brain	cerebellum_male_adult_(53_years)		CEREBELLUM			adult	53	year	male	tissue	#C5912B	Neural	Roadmap (New)	ENCDO329NER	cerebellum male adult (53 years)
BSS00211	Placenta & EEM	chorion_female_embryo_(40_weeks)		CHORION			embryonic	40	week	female	tissue	#E10000	Tissue	Roadmap (New)	ENCDO651ROT	chorion female embryo (40 weeks)
BSS00212	Placenta & EEM	chorion_male_embryo_(16_weeks)		CHORION			embryonic	16	week	male	tissue	#E10000	Tissue	Roadmap (New)	ENCDO150YZC	chorion male embryo (16 weeks)
BSS00214	Placenta & EEM	chorionic_villus_embryo_(16_weeks)		CHORIONIC VILLUS			embryonic	16	week	unknown/mixed	tissue	#E10000	Tissue	Roadmap (New)	ENCDO918HJM	chorionic villus embryo (16 weeks)
BSS00215	Placenta & EEM	chorionic_villus_female_embryo_(40_weeks)		CHORIONIC VILLUS			embryonic	40	week	female	tissue	#E10000	Tissue	Roadmap (New)	ENCDO651ROT	chorionic villus female embryo (40 weeks)
BSS00216	Placenta & EEM	chorionic_villus_male_embryo_(16_weeks)		CHORIONIC VILLUS			embryonic	16	week	male	tissue	#E10000	Tissue	Roadmap (New)	ENCDO150YZC	chorionic villus male embryo (16 weeks)
BSS00217	Placenta & EEM	chorionic_villus_male_embryo_(38_weeks)		CHORIONIC VILLUS			embryonic	38	week	male	tissue	#E10000	Tissue	Roadmap (New)	ENCDO974LFM	chorionic villus male embryo (38 weeks)
BSS00218	Epithelial	choroid_plexus_epithelial_cell	Brain	CHOROID PLEXUS EPITHELIAL CELL			unknown/mixed	unknown		unknown/mixed	primary cell	#FF9D0C	Primary Cell	ENCODE (New)	ENCDO097AAA	choroid plexus epithelial cell
BSS00219	Brain	cingulate_gyrus_female_adult_(75_years)		CINGULATE GYRUS			adult	75	year	female	tissue	#C5912B	Neural	Roadmap 2015	ENCDO871IWW	cingulate gyrus female adult (75 years)
BSS00220	Brain	cingulate_gyrus_male_adult_(81_year)		CINGULATE GYRUS			adult	81	year	male	tissue	#C5912B	Neural	Roadmap 2015	ENCDO980BZD	cingulate gyrus male adult (81 year)
BSS00227	Digestive	colonic_mucosa_female_adult_(56_years)		COLON MUCOSA			adult	56	year	female	tissue	#C58DAA	Tissue	Roadmap (New)	ENCDO438RUL	colonic mucosa female adult (56 years)
BSS00228	Digestive	colonic_mucosa_female_adult_(73_years)		COLON MUCOSA			adult	73	year	female	tissue	#C58DAA	Tissue	Roadmap 2015	ENCDO159WAM	colonic mucosa female adult (73 years)
BSS00229	HSC & B-cell	common_myeloid_progenitor,_CD34-positive		CD34 CMP			unknown/mixed	unknown		unknown/mixed	primary cell	#55A354	Immune	Roadmap 2015	ENCDO026AEL,ENCDO208QJJ,ENCDO233GAL,ENCDO266GKW,ENCDO387DVY,ENCDO908ZKJ,ENCDO930ZLO	common myeloid progenitor, CD34-positive
BSS00230	HSC & B-cell	common_myeloid_progenitor,_CD34-positive_female		CD34 CMP			unknown/mixed	unknown		female	primary cell	#55A354	Immune	Roadmap (New)	ENCDO950XTR	common myeloid progenitor, CD34-positive female
BSS00231	HSC & B-cell	common_myeloid_progenitor,_CD34-positive_female_adult_(27_years)		CD34 CMP			adult	27	year	female	primary cell	#55A354	Immune	Roadmap 2015	ENCDO410ZKA,ENCDO707VTH	common myeloid progenitor, CD34-positive female adult (27 years)
BSS00232	HSC & B-cell	common_myeloid_progenitor,_CD34-positive_female_adult_(33_years)		CD34 CMP			adult	33	year	female	primary cell	#55A354	Immune	Roadmap 2015	ENCDO412QUR	common myeloid progenitor, CD34-positive female adult (33 years)
BSS00233	HSC & B-cell	common_myeloid_progenitor,_CD34-positive_female_adult_(50_years)		CD34 CMP			adult	50	year	female	primary cell	#55A354	Immune	Roadmap (New)	ENCDO957RHA	common myeloid progenitor, CD34-positive female adult (50 years)
BSS00234	HSC & B-cell	common_myeloid_progenitor,_CD34-positive_male		CD34 CMP			unknown/mixed	unknown		male	primary cell	#55A354	Immune	Roadmap (New)	ENCDO802OIW	common myeloid progenitor, CD34-positive male
BSS00235	HSC & B-cell	common_myeloid_progenitor,_CD34-positive_male_adult		CD34 CMP			adult	unknown		male	primary cell	#55A354	Immune	Roadmap (New)	ENCDO642MQK	common myeloid progenitor, CD34-positive male adult
BSS00236	HSC & B-cell	common_myeloid_progenitor,_CD34-positive_male_adult_(23_years)		CD34 CMP			adult	23	year	male	primary cell	#55A354	Immune	Roadmap (New)	ENCDO015OUZ	common myeloid progenitor, CD34-positive male adult (23 years)
BSS00237	HSC & B-cell	common_myeloid_progenitor,_CD34-positive_male_adult_(36_years)		CD34 CMP			adult	36	year	male	primary cell	#55A354	Immune	Roadmap 2015	ENCDO441UHQ	common myeloid progenitor, CD34-positive male adult (36 years)
BSS00238	HSC & B-cell	common_myeloid_progenitor,_CD34-positive_male_adult_(37_years)		CD34 CMP			adult	37	year	male	primary cell	#55A354	Immune	Roadmap (New)	ENCDO028NGF	common myeloid progenitor, CD34-positive male adult (37 years)
BSS00239	HSC & B-cell	common_myeloid_progenitor,_CD34-positive_male_adult_(42_years)		CD34 CMP			adult	42	year	male	primary cell	#55A354	Immune	Roadmap 2015	ENCDO459DTQ	common myeloid progenitor, CD34-positive male adult (42 years)
BSS00240	HSC & B-cell	common_myeloid_progenitor,_CD34-positive_male_adult_(43_years)		CD34 CMP			adult	43	year	male	primary cell	#55A354	Immune	Roadmap (New)	ENCDO147FTI	common myeloid progenitor, CD34-positive male adult (43 years)
BSS00241	HSC & B-cell	common_myeloid_progenitor,_CD34-positive_male_adult_(49_years)		CD34 CMP			adult	49	year	male	primary cell	#55A354	Immune	Roadmap (New)	ENCDO898ATX	common myeloid progenitor, CD34-positive male adult (49 years)
BSS00246	Cancer	Daoy	Brain	DESMOPLASTIC MEDULLOBLASTOMA			child	4	year	male	cell line	#000000	Other	ENCODE (New)	ENCDO735HIP	Daoy
BSS00270	Digestive	duodenal_mucosa_male_adult_(59_years)		DUODENUM MUCOSA			adult	59	year	male	tissue	#C58DAA	Tissue	Roadmap (New)	ENCDO874DHL	duodenal mucosa male adult (59 years)
BSS00271	Digestive	duodenal_mucosa_male_adult_(76_years)		DUODENUM MUCOSA			adult	76	year	male	tissue	#C58DAA	Tissue	Roadmap 2015	ENCDO889KES	duodenal mucosa male adult (76 years)
BSS00272	ES-deriv	ecto_neural_progenitor_cell_originated_from_H9	Brain	NEURAL PROGENITOR DERIV			embryonic	5	day	female	in vitro differentiated cells	#4178AE	Stem-like	ENCODE (New)	ENCDO222AAA	ecto neural progenitor cell originated from H9
BSS00273	ES-deriv	ectodermal_cell_originated_from_embryonic_stem_cell		ECTODERMAL DERIV			embryonic	unknown		male	in vitro differentiated cells	#4178AE	Stem-like	Roadmap 2015	ENCDO424FTP	ectodermal cell originated from embryonic stem cell
BSS00274	Blood & T-cell	effector_memory_CD4-positive,_alpha-beta_T_cell		CD4 T CELL			unknown/mixed	unknown		unknown/mixed	primary cell	#678C69	Immune	Roadmap 2015	ENCDO194EHQ,ENCDO779YRY	effector memory CD4-positive, alpha-beta T cell
BSS00277	ESC	ELF-1		ESC			embryonic	unknown		female	cell line	#924965	Stem-like	ENCODE (New)	ENCDO524DZC	ELF-1
BSS00281	Endocrine	endocrine_pancreas_adult_(59_years)	Pancreas	ENDOCRINE PANCREAS			adult	59	year	unknown/mixed	tissue	#99C1FF	Tissue	Roadmap (New)	ENCDO267ZBN	endocrine pancreas adult (59 years)
BSS00282	Endocrine	endocrine_pancreas_male	Pancreas	ENDOCRINE PANCREAS			unknown/mixed	unknown		male	tissue	#99C1FF	Tissue	Roadmap 2015	ENCDO633LOT	endocrine pancreas male
BSS00283	Endocrine	endocrine_pancreas_male_adult_(45_years)	Pancreas	ENDOCRINE PANCREAS			adult	45	year	male	tissue	#99C1FF	Tissue	Roadmap 2015	ENCDO543FPW	endocrine pancreas male adult (45 years)
BSS00284	Endocrine	endocrine_pancreas_male_adult_(46_years)	Pancreas	ENDOCRINE PANCREAS			adult	46	year	male	tissue	#99C1FF	Tissue	Roadmap 2015	ENCDO623LNR	endocrine pancreas male adult (46 years)
BSS00287	ES-deriv	endodermal_cell_originated_from_HUES64		ENDODERMAL DERIV			embryonic	unknown		male	in vitro differentiated cells	#4178AE	Stem-like	Roadmap 2015	ENCDO424FTP	endodermal cell originated from HUES64
BSS00315	ESC	ES-I3		ESC			embryonic	unknown		female	cell line	#924965	Stem-like	Roadmap 2015	ENCDO840PTG	ES-I3
BSS00316	Digestive	esophagus_female_adult_(30_years)		ESOPHAGUS			adult	30	year	female	tissue	#C58DAA	Tissue	Roadmap (New)	ENCDO424HVB	esophagus female adult (30 years)
BSS00318	Digestive	esophagus_male_adult_(34_years)		ESOPHAGUS			adult	34	year	male	tissue	#C58DAA	Tissue	Roadmap 2015	ENCDO058AAA	esophagus male adult (34 years)
BSS00332	Stromal	fibroblast_of_breast_female_adult_(17_years)		BREAST FIBROBLAST			adult	17	year	female	primary cell	#FF720C	Primary Cell	Roadmap (New)	ENCDO967GTN	fibroblast of breast female adult (17 years)
BSS00333	Stromal	fibroblast_of_breast_female_adult_(26_years)		BREAST FIBROBLAST			adult	26	year	female	primary cell	#FF720C	Primary Cell	Roadmap (New)	ENCDO881IIS	fibroblast of breast female adult (26 years)
BSS00346	Stromal	fibroblast_of_skin_of_abdomen_male_embryo_(97_days)		SKIN FIBROBLAST			embryonic	97	day	male	primary cell	#FF720C	Primary Cell	Roadmap (New)	ENCDO576LXR	fibroblast of skin of abdomen male embryo (97 days)
BSS00352	Muscle	forelimb_muscle_female_embryo_(108_days)		ARM MUSCLE			embryonic	108	day	female	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO012PVK	forelimb muscle female embryo (108 days)
BSS00353	Stromal	foreskin_fibroblast_male_newborn		FORESKIN FIBROBLAST			newborn	unknown		male	primary cell	#FF720C	Primary Cell	Roadmap 2015	ENCDO047TBB,ENCDO191CQJ,ENCDO232AAA,ENCDO666YUN,ENCDO686OPO	foreskin fibroblast male newborn
BSS00354	Epithelial	foreskin_keratinocyte_male_newborn		FORESKIN KERATINOCYTE			newborn	unknown		male	primary cell	#FF9D0C	Primary Cell	Roadmap 2015	ENCDO047TBB,ENCDO666YUN,ENCDO686OPO	foreskin keratinocyte male newborn
BSS00368	Other	foreskin_melanocyte_male_newborn		FORESKIN MELANOCYTE			newborn	unknown		male	primary cell	#999999	Other	Roadmap 2015	ENCDO047TBB,ENCDO666YUN,ENCDO686OPO	foreskin melanocyte male newborn
BSS00369	Brain	frontal_cortex_female_adult_(67_years)_and_female_adult_(80_years)		FRONTAL CORTEX			adult	67,80	year	female	tissue	#C5912B	Neural	ENCODE (New)	ENCDO311AAA,ENCDO312AAA	frontal cortex female adult (67 years) and female adult (80 years)
BSS00371	Brain	frontal_cortex_male_adult_(27_years)_and_male_adult_(35_years)		FRONTAL CORTEX			adult	35,27	year	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO006AAA,ENCDO007AAA	frontal cortex male adult (27 years) and male adult (35 years)
BSS00385	Brain	germinal_matrix_male_embryo_(20_weeks)		GERMINAL MATRIX			embryonic	20	week	male	tissue	#C5912B	Neural	Roadmap 2015	ENCDO026HUZ,ENCDO463PIS	germinal matrix male embryo (20 weeks)
BSS00386	Brain	globus_pallidus_male_adult_(78_years)_and_male_adult_(84_years)		GLOBUS PALLIDUS			adult	84,78	year	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO240JUB,ENCDO317XRR	globus pallidus male adult (78 years) and male adult (84 years)
BSS00478	ESC	H1-hESC		ESC			embryonic	unknown		male	cell line	#924965	Stem-like	Roadmap 2015	ENCDO000AAW	H1-hESC
BSS00481	Cancer	H4	Brain	NEUROGLIOMA			adult	37	year	male	cell line	#000000	Other	ENCODE (New)	ENCDO337AAA	H4
BSS00482	Cancer	H54	Brain	GLIOBLASTOMA			adult	36	year	female	cell line	#000000	Other	ENCODE (New)	ENCDO000ACT	H54
BSS00483	ESC	H7-hESC		ESC			embryonic	unknown		female	cell line	#924965	Stem-like	Roadmap 2015	ENCDO221AAA	H7-hESC
