Unnamed: 0	Group	BSSID	Extended Info	Unnamed: 4	Group.1	BSSID.1	Extended Info.1	Unnamed: 8	Group.2	BSSID.2	Extended Info.2
106	Brain	BSS01675	SUBSTANTIA NIGRA	393	ES-deriv	BSS01375	NEURON DERIV	680.0	Muscle	BSS01311	BACK MUSCLE
107	Brain	BSS01676	SUBSTANTIA NIGRA	394	ES-deriv	BSS00169	CARDIAC MESODERM DERIV	681.0	Muscle	BSS01312	BACK MUSCLE
108	Brain	BSS01677	SUPERIOR TEMPORAL GYRUS	395	ES-deriv	BSS00171	CARDIAC MUSCLE DERIV	682.0	Muscle	BSS01313	BACK MUSCLE
109	Brain	BSS01714	TEMPORAL LOBE	396	ES-deriv	BSS00556	HEPATOCYTE DERIV	683.0	Muscle	BSS01314	BACK MUSCLE
110	Brain	BSS01712	TEMPORAL LOBE	397	ES-deriv	BSS01261	MESENCHYMAL STEM DERIV	684.0	Muscle	BSS00170	CARDIAC MYOCYTE
111	Cancer	BSS01105	ACUTE LYMPHOBLASTIC LEUKEMIA	398	ES-deriv	BSS01857	TROPHOBLAST DERIV	685.0	Muscle	BSS00376	GASTROCNEMIUS MEDIALIS
112	Cancer	BSS00267	ACUTE LYMPHOBLASTIC LEUKEMIA	399	ES-deriv	BSS01612	SMOOTH MUSCLE DERIV	686.0	Muscle	BSS00378	GASTROCNEMIUS MEDIALIS
113	Cancer	BSS01178	ACUTE LYMPHOBLASTIC LEUKEMIA	400	ES-deriv	BSS00273	ECTODERMAL DERIV	687.0	Muscle	BSS00377	GASTROCNEMIUS MEDIALIS
114	Cancer	BSS01267	OSTEOSARCOMA	401	ES-deriv	BSS00285	ENDODERMAL CELL	688.0	Muscle	BSS00379	GASTROCNEMIUS MEDIALIS
115	Cancer	BSS01550	OSTEOSARCOMA	402	ES-deriv	BSS00287	ENDODERMAL DERIV	689.0	Muscle	BSS01322	LEG MUSCLE
116	Cancer	BSS00246	DESMOPLASTIC MEDULLOBLASTOMA	403	ES-deriv	BSS01263	MESENDODERM DERIV	690.0	Muscle	BSS01318	LEG MUSCLE
117	Cancer	BSS01208	GLIOBLASTOMA	404	ES-deriv	BSS01264	MESODERMAL DERIV	691.0	Muscle	BSS01320	LEG MUSCLE
118	Cancer	BSS00004	GLIOBLASTOMA	405	ESC	BSS00277	ESC	692.0	Muscle	BSS01321	LEG MUSCLE
119	Cancer	BSS00482	GLIOBLASTOMA	406	ESC	BSS00315	ESC	693.0	Muscle	BSS01329	LEG MUSCLE
120	Cancer	BSS01251	MEDULLOBLASTOMA	407	ESC	BSS01866	ESC	694.0	Muscle	BSS01330	LEG MUSCLE
121	Cancer	BSS01554	NEUROBLASTOMA	408	ESC	BSS00483	ESC	695.0	Muscle	BSS01323	LEG MUSCLE
122	Cancer	BSS01558	NEUROBLASTOMA	409	ESC	BSS00715	ESC	696.0	Muscle	BSS01324	LEG MUSCLE
123	Cancer	BSS00102	NEUROBLASTOMA	410	ESC	BSS00716	ESC	697.0	Muscle	BSS01325	LEG MUSCLE
124	Cancer	BSS01571	NEUROBLASTOMA	411	ESC	BSS00717	ESC	698.0	Muscle	BSS01327	LEG MUSCLE
125	Cancer	BSS01562	NEUROBLASTOMA	412	ESC	BSS00484	ESC	699.0	Muscle	BSS00700	LEG MUSCLE
126	Cancer	BSS01559	NEUROEPITHELIOMA	413	ESC	BSS00478	ESC	700.0	Muscle	BSS01328	LEG MUSCLE
127	Cancer	BSS00481	NEUROGLIOMA	414	Eye	BSS00329	EYE	701.0	Muscle	BSS01319	LEG MUSCLE
128	Cancer	BSS01535	COLON CARCINOMA	415	Eye	BSS00328	EYE	702.0	Muscle	BSS01460	PSOAS MUSCLE
129	Cancer	BSS01682	COLORECTAL ADENOCARCINOMA	416	Eye	BSS01504	EYE RETINA	703.0	Muscle	BSS01461	PSOAS MUSCLE
130	Cancer	BSS00708	COLORECTAL ADENOCARCINOMA	417	Eye	BSS01503	EYE RETINA	704.0	Muscle	BSS01462	PSOAS MUSCLE
131	Cancer	BSS01179	COLORECTAL ADENOCARCINOMA	418	Eye	BSS01502	EYE RETINA	705.0	Muscle	BSS01463	PSOAS MUSCLE
132	Cancer	BSS00159	COLORECTAL ADENOCARCINOMA	419	Heart	BSS00079	AORTA	706.0	Muscle	BSS01581	SKELETAL MUSCLE
133	Cancer	BSS00492	COLORECTAL ADENOCARCINOMA	420	Heart	BSS00080	AORTA	707.0	Muscle	BSS01577	SKELETAL MUSCLE
134	Cancer	BSS01412	PARATHYROID ADENOMA	421	Heart	BSS00088	ASCENDING AORTA	708.0	Muscle	BSS01578	SKELETAL MUSCLE
135	Cancer	BSS01411	PARATHYROID ADENOMA	422	Heart	BSS00087	ASCENDING AORTA	709.0	Muscle	BSS01572	SKELETAL MUSCLE CELL
136	Cancer	BSS01386	TESTICULAR EMBRYONAL CARCINOMA	423	Heart	BSS00242	CORONARY ARTERY	710.0	Muscle	BSS01845	TONGUE
137	Cancer	BSS01536	MELANOMA	424	Heart	BSS00243	CORONARY ARTERY	711.0	Muscle	BSS01846	TONGUE
138	Cancer	BSS01551	MELANOMA	425	Heart	BSS00505	HEART	712.0	Muscle	BSS01331	TRUNK MUSCLE
139	Cancer	BSS00222	MELANOMA	426	Heart	BSS00498	HEART	713.0	Muscle	BSS01333	TRUNK MUSCLE
140	Cancer	BSS01365	MYELOMA	427	Heart	BSS00499	HEART	714.0	Muscle	BSS01334	TRUNK MUSCLE
141	Cancer	BSS01890	EYE RETINOBLASTOMA	428	Heart	BSS00500	HEART	715.0	Muscle	BSS01332	TRUNK MUSCLE
142	Cancer	BSS00702	ACUTE PROMYELOCYTIC LEUKEMIA	429	Heart	BSS00502	HEART	716.0	Myosat	BSS01338	MYOCYTE
143	Cancer	BSS01356	ACUTE PROMYELOCYTIC LEUKEMIA	430	Heart	BSS00503	HEART	717.0	Myosat	BSS01344	MYOTUBE
144	Cancer	BSS01391	B CELL LYMPHOMA	431	Heart	BSS00501	HEART	718.0	Myosat	BSS01155	SKELETAL MUSCLE MYOBLAST
145	Cancer	BSS01390	B CELL LYMPHOMA	432	Heart	BSS00516	HEART	719.0	Myosat	BSS01573	SKELETAL MUSCLE MYOBLAST
146	Cancer	BSS01065	B CELL LYMPHOMA	433	Heart	BSS00522	HEART	720.0	Myosat	BSS01574	SKELETAL MUSCLE MYOBLAST
147	Cancer	BSS00268	B CELL LYMPHOMA	434	Heart	BSS00518	HEART	721.0	Myosat	BSS01576	SKELETAL MUSCLE SATELLITE CELL
148	Cancer	BSS01664	B CELL LYMPHOMA	435	Heart	BSS00519	HEART	722.0	Neurosph	BSS01378	NEUROSPHERE
149	Cancer	BSS01389	B CELL LYMPHOMA	436	Heart	BSS00514	HEART	723.0	Neurosph	BSS01379	NEUROSPHERE
150	Cancer	BSS01350	BURKITT LYMPHOMA	437	Heart	BSS00520	HEART	724.0	Neurosph	BSS01377	NEUROSPHERE
151	Cancer	BSS01351	BURKITT LYMPHOMA	438	Heart	BSS00495	HEART	725.0	Neurosph	BSS01392	OLFACTORY NEUROSPHERE
152	Cancer	BSS00491	HAPLOID MYELOGENOUS LEUKEMIA	439	Heart	BSS00496	HEART	726.0	Other	BSS00148	BREAST EPITHELIUM
153	Cancer	BSS01038	MYELOGENOUS LEUKEMIA	440	Heart	BSS00494	HEART	727.0	Other	BSS00145	BREAST EPITHELIUM
154	Cancer	BSS01039	MYELOGENOUS LEUKEMIA	441	Heart	BSS00521	HEART	728.0	Other	BSS00146	BREAST EPITHELIUM
155	Cancer	BSS01056	MYELOGENOUS LEUKEMIA	442	Heart	BSS00517	HEART	729.0	Other	BSS00304	EPIDERMAL MELANOCYTE
156	Cancer	BSS01057	MYELOGENOUS LEUKEMIA	443	Heart	BSS00493	HEART	730.0	Other	BSS00368	FORESKIN MELANOCYTE
157	Cancer	BSS01059	MYELOGENOUS LEUKEMIA	444	Heart	BSS01127	HEART LEFT ATRIUM	731.0	Other	BSS01156	LIMB EMBRYO
158	Cancer	BSS00221	MYELOGENOUS LEUKEMIA	445	Heart	BSS00509	HEART LEFT VENTRICLE	732.0	Other	BSS01157	LIMB EMBRYO
159	Cancer	BSS01066	MYELOGENOUS LEUKEMIA	446	Heart	BSS00508	HEART LEFT VENTRICLE	733.0	Other	BSS01216	MAMMARY STEM CELL
160	Cancer	BSS00762	MYELOGENOUS LEUKEMIA	447	Heart	BSS00506	HEART LEFT VENTRICLE	734.0	Pancreas	BSS00121	BODY OF PANCREAS
161	Cancer	BSS01104	MYELOMA	448	Heart	BSS00513	HEART LEFT VENTRICLE	735.0	Pancreas	BSS00122	BODY OF PANCREAS
162	Cancer	BSS01274	MYELOMA	449	Heart	BSS00512	HEART LEFT VENTRICLE	736.0	Pancreas	BSS00123	BODY OF PANCREAS
163	Cancer	BSS01537	PLASMA CELL MYELOMA	450	Heart	BSS00507	HEART LEFT VENTRICLE	737.0	Pancreas	BSS00124	BODY OF PANCREAS
164	Cancer	BSS00160	KIDNEY CLEAR CELL CARCINOMA	451	Heart	BSS01506	HEART RIGHT ATRIUM	738.0	Pancreas	BSS00758	ISLET PRECURSOR CELL
165	Cancer	BSS00372	KIDNEY RHABOID TUMOR	452	Heart	BSS01508	HEART RIGHT ATRIUM	739.0	Pancreas	BSS01406	PANCREAS
166	Cancer	BSS00037	RENAL CELL ADENOCARCINOMA	453	Heart	BSS01507	HEART RIGHT ATRIUM	740.0	Pancreas	BSS01407	PANCREAS
167	Cancer	BSS01474	RENAL CELL ADENOCARCINOMA	454	Heart	BSS00523	HEART RIGHT VENTRICLE	741.0	Placenta & EEM	BSS00074	AMNION
168	Cancer	BSS01481	RENAL CELL CARCINOMA	455	Heart	BSS00524	HEART RIGHT VENTRICLE	742.0	Placenta & EEM	BSS00076	AMNION STEM CELL
169	Cancer	BSS00718	HEPATOCELLULAR CARCINOMA	456	Heart	BSS00525	HEART RIGHT VENTRICLE	743.0	Placenta & EEM	BSS00209	CHORION
170	Cancer	BSS00719	HEPATOCELLULAR CARCINOMA	457	Heart	BSS01815	THORACIC AORTA	744.0	Placenta & EEM	BSS00211	CHORION
171	Cancer	BSS00558	HEPATOCELLULAR CARCINOMA	458	Heart	BSS01814	THORACIC AORTA	745.0	Placenta & EEM	BSS00212	CHORION
172	Cancer	BSS01360	LARGE CELL LUNG CANCER	459	Heart	BSS01839	TIBIAL ARTERY	746.0	Placenta & EEM	BSS00215	CHORIONIC VILLUS
173	Cancer	BSS01415	LUNG ADENOCARCINOMA	460	Heart	BSS01838	TIBIAL ARTERY	747.0	Placenta & EEM	BSS00216	CHORIONIC VILLUS
174	Cancer	BSS00017	LUNG EPITHELIAL CARCINOMA	461	Heart	BSS01837	TIBIAL ARTERY	748.0	Placenta & EEM	BSS00217	CHORIONIC VILLUS
175	Cancer	BSS00019	LUNG EPITHELIAL CARCINOMA	462	HSC & B-cell	BSS00097	B CELL	749.0	Placenta & EEM	BSS00214	CHORIONIC VILLUS
176	Cancer	BSS00021	LUNG EPITHELIAL CARCINOMA	463	HSC & B-cell	BSS01345	B CELL	750.0	Placenta & EEM	BSS01440	PLACENTA
177	Cancer	BSS00022	LUNG EPITHELIAL CARCINOMA	464	HSC & B-cell	BSS00098	B CELL	751.0	Placenta & EEM	BSS01436	PLACENTA
