Unnamed: 0	id	mark	(low quality tracks)	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	id.1	mark.1	potential.abswap
30	BSS01412	H3K79me2	76	BSS00492	H2AFZ	122	BSS01837	H3K27me3		id	mark	potential.secondary
31	BSS00141	H3K4me3	77	BSS01876	H3K4me1	123	BSS01426	H3K36me3	1.0	BSS01857	H2AFZ	H3K79me2
32	BSS00074	H3K27ac	78	BSS01370	H3K9me3	124	BSS01837	H3K4me1	2.0	BSS01261	H2AFZ	H3K36me3
33	BSS00521	H3K4me3	79	BSS00439	H4K20me1	125	BSS01426	H3K4me1	3.0	BSS01866	H3K27me3	H3K9me3
34	BSS01857	H3K79me2	80	BSS00325	H3K4me1	126	BSS01459	H3K36me3	4.0	BSS01695	H3K36me3	H3K4me3
35	BSS01866	H3K27ac	81	BSS01178	H3K27me3	127	BSS00484	H4K20me1	5.0	BSS00268	H3K36me3	H3K79me2
36	BSS01412	H3K9ac	82	BSS00141	H3K9me3	128	BSS00531	H3K27me3	6.0	BSS01288	H3K36me3	H3K27ac
37	BSS01411	H3K9ac	83	BSS01849	H3K27me3	129	BSS00333	H3K36me3	7.0	BSS01669	H3K4me1	H3K4me2
38	BSS00478	H2AFZ	84	BSS01543	H3K9me3	130	BSS00093	H3K27me3	8.0	BSS01860	H3K4me1	H3K4me2
39	BSS00556	H3K79me2	85	BSS00284	H3K27me3	131	BSS01562	DNase-seq	9.0	BSS01389	H3K4me1	H3K27ac
40	BSS00558	H2AFZ	86	BSS00054	H3K36me3	132	BSS00095	DNase-seq	10.0	BSS01178	H3K4me2	H3K79me2
41	BSS01411	H3K79me2	87	BSS00493	H3K9me3	133	BSS01420	H3K4me3	11.0	BSS00439	H3K79me2	H3K9ac
42	BSS00477	H2AFZ	88	BSS00341	H4K20me1	134	BSS00333	H3K27ac	12.0	BSS00762	H3K79me2	H3K4me2
43	BSS00281	H3K27ac	89	BSS00325	H3K27me3	135	BSS01849	H3K4me1	13.0	BSS00315	H3K9ac	H3K4me2
44	BSS00055	H3K4me3	90	BSS00074	H3K9me3	136	BSS01519	H3K4me1				
45	BSS00378	H3K36me3	91	BSS01426	H3K9me3	137	BSS01543	H3K4me1				
46	BSS01366	H3K4me2	92	BSS00483	H3K9me3	138	BSS01849	H3K4me3				
