gene	wilcoxon_score	logfoldchanges	pvals	pvals_adj
PDE4B	13.741864	2.745131	5.698929058911821e-43	7.192638016732123e-40
MET	13.726086	3.4491796	7.0859584741735656e-43	8.645105537107555e-40
GABBR1	13.69473	3.097785	1.091653642385558e-42	1.2888908053210906e-39
IL18RAP	13.664982	29.952332	1.64343877485438e-42	1.8797344562014114e-39
SPHK1	13.655837	2.138115	1.8633644275980104e-42	2.066697012561054e-39
CDKN1A	13.584382	3.297499	4.956992736336625e-42	5.336202680666377e-39
RIPK2	13.548805	2.820398	8.053034123972207e-42	8.421402913471621e-39
ITGB3	13.523781	7.736201	1.1320490108711125e-41	1.1509479401914886e-38
CD69	13.4571495	29.981352	2.7949066400883816e-41	2.7647669711858074e-38
SLC11A2	13.386901	2.7608829	7.212816114660005e-41	6.947270595070285e-38
IL1R1	13.219972	2.1642995	6.72893494618411e-40	6.3150191785970416e-37
NAMPT	13.179772	1.8500003	1.1473719730174405e-39	1.0498740396102836e-36
ATP2C1	13.1688175	1.7601259	1.326591657828237e-39	1.1842580797114952e-36
ACVR2A	13.092237	2.3925672	3.647057891681107e-39	3.178237283176671e-36
P2RY2	13.056258	8.889217	5.853478930111097e-39	4.9823995888603785e-36
SCN1B	13.001386	6.0931535	1.2014625977192898e-38	9.994257395255392e-36
CSF3R	12.937569	29.757492	2.762336086633238e-38	2.1979187631926773e-35
CMKLR1	12.937569	29.812824	2.762336086633238e-38	2.1979187631926773e-35
INHBA	12.893349	2.933028	4.906583704934957e-38	3.8209759613686037e-35
BST2	12.781694	29.7752	2.0749913624973093e-37	1.582224142890917e-34
TLR3	12.7628	6.0618715	2.645170957232585e-37	1.9758347388912217e-34
SELENOS	12.753052	3.7559006	2.99774517230193e-37	2.194409421028459e-34
ICAM1	12.705114	4.977471	5.538866390341394e-37	3.9750597794683405e-34
IL18	12.687928	4.66024	6.898620954293814e-37	4.8557004913097675e-34
SEMA4D	12.606122	3.2108366	1.9537171983302997e-36	1.3492076070959868e-33
TPBG	12.546627	7.742827	4.1480770661516485e-36	2.811551272189194e-33
TACR1	12.501703	3.6165805	7.306851930378647e-36	4.862510681887071e-33
SELL	12.469946	29.7401	1.0890014044666991e-35	7.117596500872438e-33
ADORA2B	12.434771	3.7570555	1.6922499333192357e-35	1.086632277358199e-32
MYC	12.387536	10.006855	3.0527820542477904e-35	1.9264633787504032e-32
ROS1	12.36603	29.691032	3.9906514149816695e-35	2.47562427863973e-32
AXL	12.343317	3.3724327	5.292967829396903e-35	3.2287985920626006e-32
MEP1A	12.264927	8.404458	1.3973762233393568e-34	8.38448641810554e-32
TIMP1	12.237592	4.4112496	1.957555941380154e-34	1.155621048555726e-31
KLF6	12.194076	3.1787965	3.3427676000122193e-34	1.9420418560007497e-31
PTPRE	12.165333	3.438677	4.755047905568102e-34	2.7193673186202826e-31
CXCR6	12.101315	8.249301	1.0393337142044299e-33	5.852408195937898e-31
EMP3	12.084028	3.9797535	1.2827711862506717e-33	7.11374366484255e-31
ABCA1	12.064532	5.364757	1.6258430879520936e-33	8.881713860020086e-31
HBEGF	12.055387	3.5622454	1.816784664615467e-33	9.627760908383923e-31
HAS2	12.054281	29.659708	1.8413247277038184e-33	9.627760908383923e-31
FFAR2	12.054281	29.594551	1.8413247277038184e-33	9.627760908383923e-31
SLAMF1	11.950365	29.622446	6.464095225264156e-33	3.3322866104210336e-30
GPC3	11.907954	5.66464	1.0758474024068387e-32	5.4690403854850976e-30
SRI	11.905944	3.7522871	1.1020895020703387e-32	5.525695597983077e-30
SLC31A1	11.902527	3.7289321	1.1481678685443081e-32	5.678931372512193e-30
ICAM4	11.898407	29.624754	1.2062839711740926e-32	5.886826617192395e-30
TAPBP	11.886548	3.1481326	1.3903561075739288e-32	6.69584524912018e-30
TLR1	11.816701	4.422433	3.20006897096224e-32	1.5211133039764797e-29
APLNR	11.794491	29.590042	4.1671561477114973e-32	1.9554113097742115e-29
NFKBIA	11.747155	4.166938	7.303639159450892e-32	3.383803757912178e-29
IL10RA	11.688463	8.221095	1.460037973758238e-31	6.67985623469066e-29
HRH1	11.686152	5.5932565	1.5003110223901565e-31	6.779368361790385e-29
ITGB8	11.640827	4.3058543	2.555257177449026e-31	1.1405483896562414e-28
BTG2	11.480832	1.2788278	1.6468759750028334e-30	7.262326212178157e-28
CD55	11.426562	2.8973174	3.0806362836087836e-30	1.3423139120995844e-27
PIK3R5	11.378825	29.50589	5.331286557374178e-30	2.295651991605321e-27
SERPINE1	11.350987	4.838337	7.333002880829997e-30	3.1208748655960317e-27
AQP9	11.315812	3.4699347	1.0958238203729405e-29	4.610143407985057e-27
ITGA5	11.273402	6.140954	1.775738971686181e-29	7.385661602577944e-27
SLC7A1	11.211193	3.3589437	3.593182402026867e-29	1.4776861696245546e-26
GPR132	11.178128	8.424696	5.217871442569888e-29	2.1219923629944493e-26
AHR	11.1315975	3.2258182	8.804342042359846e-29	3.541183770246293e-26
OLR1	11.064162	8.035644	1.872036463527466e-28	7.447652891474868e-26
BEST1	11.024364	4.7880654	2.9156996603102188e-28	1.1475002501829498e-25
FZD5	10.772916	4.2358646	4.6213064129188584e-27	1.7994088938217354e-24
NDP	10.76176	3.7902012	5.2164154121579564e-27	2.009747584214667e-24
RGS1	10.729098	6.4291625	7.431810662870494e-27	2.8334552299137805e-24
GNAI3	10.577344	2.88628	3.7956521031753066e-26	1.4322130167867977e-23
IL4R	10.530512	7.594467	6.249401749900926e-26	2.3340240147767734e-23
MMP14	10.526391	3.027957	6.5289915451288e-26	2.4138143388208005e-23
BDKRB1	10.495538	29.267395	9.056063614445861e-26	3.3146098435233294e-23
P2RX7	10.336146	4.250994	4.8359730010367585e-25	1.752489582286598e-22
RHOG	10.327503	6.206553	5.292026124413557e-25	1.898955374310398e-22
EREG	10.287705	29.220854	8.006163165991551e-25	2.844986194548124e-22
LIF	9.689132	4.4353933	3.353673603880662e-22	1.1802673805349626e-19
TNFRSF9	9.664208	29.058643	4.2791706405040655e-22	1.4916373772675171e-19
PLAUR	9.652751	7.2391267	4.785438278118908e-22	1.6523757209191524e-19
KCNJ2	9.552553	3.977918	1.2653846207945244e-21	4.328443224831812e-19
GCH1	9.508836	3.8457327	1.9280753316738477e-21	6.534211593943935e-19
NLRP3	9.426326	7.480751	4.247038191565216e-21	1.4261086683438395e-18
NPFFR2	9.294572	7.6173577	1.4779996363315672e-20	4.917842244488336e-18
CCRL2	9.196585	28.938686	3.695062848536162e-20	1.2184053632366853e-17
RASGRP1	9.16533	1.069212	4.939572575875349e-20	1.614225855800122e-17
CYBB	8.792276	8.388862	1.4655946208735682e-18	4.747099886601192e-16
VIP	8.625046	28.894564	6.406699698486955e-18	2.0390575275158353e-15
PTAFR	8.625046	28.838743	6.406699698486955e-18	2.0390575275158353e-15
CCL20	8.52113	28.787437	1.5800459619065034e-17	4.985453642391373e-15
SLC31A2	8.415706	4.6237617	3.9053596909945294e-17	1.2217100004281262e-14
ICOSLG	8.399425	5.282242	4.486700659822342e-17	1.3916756851708265e-14
LCP2	8.261339	28.826115	1.440472599340212e-16	4.4304821519706803e-14
DUSP1	8.166569	1.1161735	3.1728583086280635e-16	9.677482246174646e-14
MARCO	8.157423	28.701277	3.4224851932561096e-16	1.0352593434575775e-13
CSF1	8.014613	7.038985	1.1048395026241073e-15	3.314609068487291e-13
CD14	8.005166	5.0372467	1.1930513152693456e-15	3.550152129282384e-13
C5AR1	7.806379	4.91309	5.885441590885898e-15	1.7372019973226995e-12
ADGRE1	7.793716	28.613922	6.5066649348383086e-15	1.9052035462401354e-12
GP1BA	7.7158294	6.0556016	1.2019819429231405e-14	3.491566753407132e-12
STAB1	7.6898	28.564478	1.4736533121173782e-14	4.247022431244737e-12
OSM	7.6754284	6.896986	1.6486659716651096e-14	4.714283064758959e-12
IRAK2	7.5599546	3.2428193	4.0320922929416617e-14	1.1440202326663392e-11
LY6E	7.4658875	4.0651565	8.273996504452444e-14	2.329511892765107e-11
PROK2	7.4300094	28.531128	1.0859000049935482e-13	3.0339714566999124e-11
CALCRL	7.405789	6.66224	1.303729490975252e-13	3.6149850832716057e-11
TNFSF10	7.3814683	4.551203	1.5655338703476418e-13	4.308278585608575e-11
CD70	7.3780513	28.459616	1.6062314825523928e-13	4.387289439768666e-11
CXCL9	7.326093	28.54108	2.3695913896008075e-13	6.424401070428086e-11
IL18R1	7.263884	4.148898	3.7613029825630247e-13	1.012260665182274e-10
IRF7	7.2035847	5.6508207	5.864987885332953e-13	1.5668935882559957e-10
OPRK1	7.1038895	5.971113	1.212940093479683e-12	3.2170159682210054e-10
TNFRSF1B	6.9706273	8.000686	3.1553080447976474e-12	8.30844818328336e-10
LCK	6.9623866	28.345915	3.3455638509265703e-12	8.623308627307281e-10
FPR1	6.9623866	28.426287	3.3455638509265703e-12	8.623308627307281e-10
CXCL10	6.9623866	28.332594	3.3455638509265703e-12	8.623308627307281e-10
LPAR1	6.9457035	5.126867	3.765789149404335e-12	9.638576829185178e-10
TLR2	6.9155536	6.0196385	4.660393225039201e-12	1.1845489752059708e-09
TACR3	6.879575	4.9023876	6.003138089741765e-12	1.5153162567078505e-09
CXCL6	6.85847	28.353252	6.9601859945373664e-12	1.7448614218223432e-09
CEBPD	6.632347	1.0436559	3.303910067725395e-11	8.170703539784946e-09
SLC28A2	6.622096	4.329754	3.5414102557833157e-11	8.699272266572157e-09
MEFV	6.5986795	28.358097	4.148356290592398e-11	1.0122265906131491e-08
TNFAIP6	6.5467215	28.308592	5.881388270499303e-11	1.4255939873413576e-08
ACVR1B	6.3715515	2.010981	1.8712561479396708e-10	4.505910938864467e-08
NOD2	6.338889	28.183126	2.3142774079053122e-10	5.53626584357793e-08
SELE	6.2795944	6.8150334	3.394571147296626e-10	8.067837568974273e-08
IRF1	6.0788975	3.9358075	1.2101163098787335e-09	2.857514003733647e-07
IL2RB	6.07136	6.758205	1.2683140931560528e-09	2.975741289974659e-07
GPX3	6.0367885	0.68042934	1.5721167230046103e-09	3.665034661063168e-07
IL6	5.768355	6.0898757	8.004908730597322e-09	1.8537081118744781e-06
IL1B	5.7673497	27.997282	8.052774235349908e-09	1.8537081118744781e-06
NMI	5.7435317	4.4388065	9.272205188265887e-09	2.1210748880982485e-06
AL390957.1	5.701724	0.87241614	1.1860181080508764e-08	2.696239054209325e-06
UST	5.5103736	0.8778665	3.58073357367653e-08	8.040394449701513e-06
LDLR	5.508765	3.8692806	3.613591692775769e-08	8.064699362639385e-06
CCL7	5.455601	27.891478	4.880740412530908e-08	1.0826665444790531e-05
NMUR1	5.3160076	4.02898	1.0606858819826799e-07	2.3386845762920523e-05
CXCL11	5.195811	27.845407	2.0382955270980356e-07	4.467284705827257e-05
MSR1	5.069986	3.9736643	3.9784561987044263e-07	8.667587817189327e-05
LTA	4.9879785	27.768646	6.101441781603296e-07	0.00013136404155791897
PVR	4.916322	3.495577	8.818514846562192e-07	0.0001876549197087342
CX3CL1	4.893509	4.326715	9.905377180824499e-07	0.00020956457236725868
CCL17	4.832104	27.75707	1.3509765603921707e-06	0.00028255481763950766
GABRG3-AS1	4.8203454	0.6059256	1.4330975497969278e-06	0.0002980272921597577
CLEC5A	4.731303	7.003026	2.230829746947371e-06	0.00046075983186838086
CCL2	4.7303987	4.3151197	2.2407926032778282e-06	0.00046075983186838086
WIF1	4.663366	0.6007208	3.110791354062516e-06	0.0006360786276538667
C3AR1	4.520355	27.646793	6.173591881191446e-06	0.0012553313135749338
EDN1	4.5152297	6.329741	6.324811913265163e-06	0.0012789748112564542
SLC1A3	4.5072904	0.5896276	6.566072750674044e-06	0.0013204660920187949
TRDN	4.490306	0.6400631	7.112090334682429e-06	0.001422456930818096
CLU	4.471814	0.53361523	7.75587976699877e-06	0.001542787800825663
IL1A	4.468397	27.544518	7.880785745204147e-06	0.001559160211136308
APOE	4.4557343	0.66072416	8.360651709412181e-06	0.0016452054473988992
AC097662.1	4.4154344	0.9725384	1.0080747190091354e-05	0.001973077154569699
HMX1	4.2923226	1.1095363	1.7681383309590336e-05	0.003424107463038708
COL4A3	4.2116218	0.5642904	2.535439249483842e-05	0.00485861842776744
BASP1	4.1961446	0.8471259	2.7149671959043557e-05	0.005175547621734131
RPL3	4.134338	0.6696313	3.5597962453919207e-05	0.00668164627577383
PCDH7	4.1299157	0.51011926	3.628961310394745e-05	0.006776714944987656
PYGL	4.119866	0.55570126	3.790930221225427e-05	0.007007668536720801
PCSK2	4.031326	0.829209	5.5463041418058295e-05	0.010099516313146028
RPL10	4.008211	0.5728069	6.118039287013305e-05	0.011030854972609555
PTGER4	4.0062013	6.0605755	6.170308784220805e-05	0.011070562343689494
MFSD4B	3.9728355	0.47120818	7.10221054988342e-05	0.012680390650550391
RPS16	3.900275	0.6059724	9.608347555147455e-05	0.016989136660190918
RORA-AS1	3.894848	0.58760923	9.826030028904837e-05	0.017290506013843555
CSF3	3.8449	27.309317	0.00012060163704081125	0.02079171538334656
HES4	3.8268101	0.69390804	0.0001298145935200048	0.022099274127561377
LAMP3	3.7928414	6.548504	0.0001489333216487497	0.025005084888375634
HIF3A	3.7163615	0.60296166	0.000202112417027935	0.03362507534381568
GPM6B	3.6934476	0.44591475	0.00022123412336620522	0.03647473040237152
IL7R	3.6890256	27.261822	0.00022511454919282568	0.036587412798676576
