section	group	file	n_terms	n_pairs	mean_patristic_distance
per_tree	animals	1432328at2759.faa.mafft.clipkit.treefile	3	3	0.57929108740000002
per_tree	animals	1434266at2759.faa.mafft.clipkit.treefile	3	3	1.4288699071333333
per_tree	animals	1441854at2759.faa.mafft.clipkit.treefile	3	3	0.74753002973333338
per_tree	animals	1445102at2759.faa.mafft.clipkit.treefile	3	3	0.54019620806666668
per_tree	animals	1455730at2759.faa.mafft.clipkit.treefile	3	3	0.45252144813333334
per_tree	animals	1488235at2759.faa.mafft.clipkit.treefile	3	3	0.69140583719999993
per_tree	animals	1488436at2759.faa.mafft.clipkit.treefile	3	3	0.60187680913333341
per_tree	animals	1504863at2759.faa.mafft.clipkit.treefile	4	6	0.71177891500000001
per_tree	animals	1513531at2759.faa.mafft.clipkit.treefile	3	3	0.96276975099999984
per_tree	animals	1525971at2759.faa.mafft.clipkit.treefile	4	6	0.86140779851666671
per_tree	animals	1526152at2759.faa.mafft.clipkit.treefile	3	3	1.2518107352000001
per_tree	animals	1538526at2759.faa.mafft.clipkit.treefile	3	3	0.84110198366666655
per_tree	animals	1545004at2759.faa.mafft.clipkit.treefile	3	3	0.41780904919999995
per_tree	animals	1552706at2759.faa.mafft.clipkit.treefile	3	3	0.6493725668
per_tree	animals	156083at2759.faa.mafft.clipkit.treefile	4	6	0.094635419466666662
per_tree	animals	1620056at2759.faa.mafft.clipkit.treefile	4	6	0.93800567573333327
per_tree	animals	1626636at2759.faa.mafft.clipkit.treefile	3	3	0.52887601113333338
per_tree	animals	1633672at2759.faa.mafft.clipkit.treefile	3	3	0.25712394873333333
per_tree	animals	176625at2759.faa.mafft.clipkit.treefile	3	3	1.6977264919333332
per_tree	animals	271586at2759.faa.mafft.clipkit.treefile	3	3	1.9764695957333336
per_tree	animals	290630at2759.faa.mafft.clipkit.treefile	3	3	0.99915055846666678
per_tree	animals	296129at2759.faa.mafft.clipkit.treefile	3	3	0.62962603373333337
per_tree	animals	306227at2759.faa.mafft.clipkit.treefile	3	3	1.1728052663999999
per_tree	animals	320059at2759.faa.mafft.clipkit.treefile	3	3	0.23898105826666668
per_tree	animals	324863at2759.faa.mafft.clipkit.treefile	3	3	1.5027658922
per_tree	animals	331411at2759.faa.mafft.clipkit.treefile	3	3	0.55172092959999997
per_tree	animals	341721at2759.faa.mafft.clipkit.treefile	4	6	1.4680013384833333
per_tree	animals	355408at2759.faa.mafft.clipkit.treefile	3	3	0.1201200946
per_tree	animals	390348at2759.faa.mafft.clipkit.treefile	3	3	0.23011384866666665
per_tree	animals	39650at2759.faa.mafft.clipkit.treefile	3	3	1.0403453749333333
per_tree	animals	396755at2759.faa.mafft.clipkit.treefile	3	3	0.90985293773333342
per_tree	animals	418107at2759.faa.mafft.clipkit.treefile	3	3	0.70905554566666662
per_tree	animals	453044at2759.faa.mafft.clipkit.treefile	4	6	1.0663724661
per_tree	animals	491869at2759.faa.mafft.clipkit.treefile	3	3	1.3153018301999999
per_tree	animals	570797at2759.faa.mafft.clipkit.treefile	4	6	2.0334451293666667
per_tree	animals	621827at2759.faa.mafft.clipkit.treefile	3	3	1.4191667410666666
per_tree	animals	664730at2759.faa.mafft.clipkit.treefile	4	6	0.54334122753333325
per_tree	animals	673132at2759.faa.mafft.clipkit.treefile	4	6	0.8285599446166666
per_tree	animals	674160at2759.faa.mafft.clipkit.treefile	3	3	1.8706589398000002
per_tree	animals	679771at2759.faa.mafft.clipkit.treefile	3	3	1.4105997872666665
per_tree	animals	720340at2759.faa.mafft.clipkit.treefile	3	3	0.95514596806666674
per_tree	animals	721605at2759.faa.mafft.clipkit.treefile	4	6	1.1962454998500001
per_tree	animals	734666at2759.faa.mafft.clipkit.treefile	3	3	0.71060501239999996
per_tree	animals	777920at2759.faa.mafft.clipkit.treefile	3	3	1.0173571554666667
per_tree	animals	814241at2759.faa.mafft.clipkit.treefile	3	3	0.61956406753333326
per_tree	animals	836599at2759.faa.mafft.clipkit.treefile	3	3	0.67802865153333336
per_tree	animals	866359at2759.faa.mafft.clipkit.treefile	3	3	0.61053875999999996
per_tree	animals	891751at2759.faa.mafft.clipkit.treefile	3	3	1.9117014892000002
per_tree	animals	919955at2759.faa.mafft.clipkit.treefile	3	3	1.0464429820666667
per_tree	animals	974865at2759.faa.mafft.clipkit.treefile	4	6	0.98800033104999996
per_tree	animals	975158at2759.faa.mafft.clipkit.treefile	3	3	0.66256833726666664
per_tree	animals	981902at2759.faa.mafft.clipkit.treefile	3	3	0.89172561280000007
per_tree	animals	996662at2759.faa.mafft.clipkit.treefile	4	6	1.4757947088333332
per_tree	fungi	1001705at2759.faa.mafft.clipkit.treefile	4	6	1.7015966260666666
per_tree	fungi	1003258at2759.faa.mafft.clipkit.treefile	4	6	1.6908806038333335
per_tree	fungi	100698at2759.faa.mafft.clipkit.treefile	4	6	1.0808753392500001
per_tree	fungi	1010730at2759.faa.mafft.clipkit.treefile	4	6	1.1521924698999999
per_tree	fungi	1014314at2759.faa.mafft.clipkit.treefile	4	6	1.9411812228000001
per_tree	fungi	1018517at2759.faa.mafft.clipkit.treefile	4	6	0.93287826915000005
per_tree	fungi	1019762at2759.faa.mafft.clipkit.treefile	4	6	2.426690216066667
per_tree	fungi	1025450at2759.faa.mafft.clipkit.treefile	4	6	1.5718522471666667
per_tree	fungi	1030907at2759.faa.mafft.clipkit.treefile	4	6	2.3160044415000001
per_tree	fungi	1032689at2759.faa.mafft.clipkit.treefile	4	6	1.6527801510666666
per_tree	fungi	1038775at2759.faa.mafft.clipkit.treefile	3	3	1.1136281723333334
per_tree	fungi	1041560at2759.faa.mafft.clipkit.treefile	4	6	1.2705463210000001
per_tree	fungi	1049599at2759.faa.mafft.clipkit.treefile	3	3	1.698980076
per_tree	fungi	1051021at2759.faa.mafft.clipkit.treefile	4	6	2.084461963266667
per_tree	fungi	1053181at2759.faa.mafft.clipkit.treefile	3	3	1.3083348329333335
per_tree	fungi	1057950at2759.faa.mafft.clipkit.treefile	4	6	2.1941545439666665
per_tree	fungi	1065019at2759.faa.mafft.clipkit.treefile	4	6	1.1527294435
per_tree	fungi	1076134at2759.faa.mafft.clipkit.treefile	4	6	1.0523275337333333
per_tree	fungi	1079130at2759.faa.mafft.clipkit.treefile	4	6	1.0031909134166666
per_tree	fungi	1079827at2759.faa.mafft.clipkit.treefile	4	6	0.57980335505000002
per_tree	fungi	1085752at2759.faa.mafft.clipkit.treefile	3	3	3.0456062876000001
per_tree	fungi	1087488at2759.faa.mafft.clipkit.treefile	4	6	1.8615150912333334
per_tree	fungi	1090038at2759.faa.mafft.clipkit.treefile	3	3	1.8326455036
per_tree	fungi	1094121at2759.faa.mafft.clipkit.treefile	4	6	2.1355514775333333
per_tree	fungi	1096688at2759.faa.mafft.clipkit.treefile	4	6	0.98121956815000011
per_tree	fungi	1106766at2759.faa.mafft.clipkit.treefile	3	3	1.0879229305333331
per_tree	fungi	1107630at2759.faa.mafft.clipkit.treefile	4	6	1.6666018944333334
per_tree	fungi	1108845at2759.faa.mafft.clipkit.treefile	3	3	1.1603212164000001
per_tree	fungi	1111142at2759.faa.mafft.clipkit.treefile	3	3	2.7073360627999996
per_tree	fungi	1112002at2759.faa.mafft.clipkit.treefile	4	6	1.36595670145
per_tree	fungi	1115196at2759.faa.mafft.clipkit.treefile	4	6	1.5929339469166666
per_tree	fungi	1128607at2759.faa.mafft.clipkit.treefile	4	6	0.90292114660000011
per_tree	fungi	1129824at2759.faa.mafft.clipkit.treefile	4	6	1.8309187936833335
per_tree	fungi	1138059at2759.faa.mafft.clipkit.treefile	4	6	1.0045010568666666
per_tree	fungi	1157302at2759.faa.mafft.clipkit.treefile	4	6	0.35794312768333336
per_tree	fungi	1161199at2759.faa.mafft.clipkit.treefile	4	6	2.3058335358333335
per_tree	fungi	1173229at2759.faa.mafft.clipkit.treefile	3	3	1.9965374652666668
per_tree	fungi	1178688at2759.faa.mafft.clipkit.treefile	4	6	1.7368464898166665
per_tree	fungi	1182451at2759.faa.mafft.clipkit.treefile	4	6	1.9792047000166668
per_tree	fungi	1193442at2759.faa.mafft.clipkit.treefile	4	6	1.4579087552666667
per_tree	fungi	1194691at2759.faa.mafft.clipkit.treefile	4	6	1.41257112855
per_tree	fungi	1194797at2759.faa.mafft.clipkit.treefile	4	6	1.4454259154333335
per_tree	fungi	1197019at2759.faa.mafft.clipkit.treefile	4	6	1.08366751605
per_tree	fungi	1200489at2759.faa.mafft.clipkit.treefile	4	6	1.4204797724
per_tree	fungi	1217666at2759.faa.mafft.clipkit.treefile	4	6	1.1594723891500001
per_tree	fungi	1220881at2759.faa.mafft.clipkit.treefile	4	6	1.4376523210166665
per_tree	fungi	1222562at2759.faa.mafft.clipkit.treefile	4	6	1.5050652321166667
per_tree	fungi	1223488at2759.faa.mafft.clipkit.treefile	4	6	1.9592430423
per_tree	fungi	1228942at2759.faa.mafft.clipkit.treefile	4	6	1.1874573691666666
per_tree	fungi	1233814at2759.faa.mafft.clipkit.treefile	4	6	1.2368668181166667
per_tree	fungi	1236198at2759.faa.mafft.clipkit.treefile	4	6	0.88109471206666667
per_tree	fungi	1247641at2759.faa.mafft.clipkit.treefile	4	6	2.4070623566333333
per_tree	fungi	1248958at2759.faa.mafft.clipkit.treefile	4	6	1.7160970594833334
per_tree	fungi	1249159at2759.faa.mafft.clipkit.treefile	4	6	1.8278625061666667
per_tree	fungi	1251252at2759.faa.mafft.clipkit.treefile	4	6	1.8575754740333332
per_tree	fungi	1257440at2759.faa.mafft.clipkit.treefile	4	6	1.2248842076666666
per_tree	fungi	1258856at2759.faa.mafft.clipkit.treefile	4	6	2.3513809715999998
per_tree	fungi	1259741at2759.faa.mafft.clipkit.treefile	4	6	1.7091140141833334
per_tree	fungi	1260807at2759.faa.mafft.clipkit.treefile	4	6	1.2726000287166668
per_tree	fungi	1264469at2759.faa.mafft.clipkit.treefile	4	6	1.7403983337666666
per_tree	fungi	1266231at2759.faa.mafft.clipkit.treefile	3	3	0.87439250660000001
per_tree	fungi	1269244at2759.faa.mafft.clipkit.treefile	4	6	2.7019701727333332
per_tree	fungi	1269649at2759.faa.mafft.clipkit.treefile	4	6	0.92841973330000005
per_tree	fungi	1275837at2759.faa.mafft.clipkit.treefile	4	6	0.88329687005000002
per_tree	fungi	1284731at2759.faa.mafft.clipkit.treefile	4	6	1.5660965197666668
per_tree	fungi	1287094at2759.faa.mafft.clipkit.treefile	4	6	1.8199826292500001
per_tree	fungi	1287401at2759.faa.mafft.clipkit.treefile	3	3	0.91409569559999992
per_tree	fungi	1291729at2759.faa.mafft.clipkit.treefile	4	6	1.4466817786500001
per_tree	fungi	1304061at2759.faa.mafft.clipkit.treefile	4	6	1.0499829110000001
per_tree	fungi	1309031at2759.faa.mafft.clipkit.treefile	4	6	1.6498918788666668
per_tree	fungi	1312453at2759.faa.mafft.clipkit.treefile	4	6	2.0701154046166668
per_tree	fungi	1314980at2759.faa.mafft.clipkit.treefile	3	3	1.7870335258666667
per_tree	fungi	1322299at2759.faa.mafft.clipkit.treefile	4	6	1.7382030066833334
per_tree	fungi	1322642at2759.faa.mafft.clipkit.treefile	3	3	1.1532518082666667
per_tree	fungi	1323575at2759.faa.mafft.clipkit.treefile	4	6	1.4192993377000001
per_tree	fungi	1324510at2759.faa.mafft.clipkit.treefile	4	6	1.9042912286
per_tree	fungi	1338131at2759.faa.mafft.clipkit.treefile	4	6	0.88926734396666662
per_tree	fungi	1339553at2759.faa.mafft.clipkit.treefile	4	6	3.8227307621666662
per_tree	fungi	1342242at2759.faa.mafft.clipkit.treefile	4	6	2.2478961824666666
per_tree	fungi	1346165at2759.faa.mafft.clipkit.treefile	4	6	1.5381377030333334
per_tree	fungi	1346432at2759.faa.mafft.clipkit.treefile	4	6	1.8242959873666666
per_tree	fungi	1348942at2759.faa.mafft.clipkit.treefile	4	6	1.9330178566666667
per_tree	fungi	1355894at2759.faa.mafft.clipkit.treefile	4	6	1.4656256436666668
per_tree	fungi	1358374at2759.faa.mafft.clipkit.treefile	4	6	1.0313196649833334
per_tree	fungi	1364586at2759.faa.mafft.clipkit.treefile	3	3	1.6822182622000001
per_tree	fungi	1370285at2759.faa.mafft.clipkit.treefile	4	6	2.9308160842333333
per_tree	fungi	1370304at2759.faa.mafft.clipkit.treefile	4	6	2.0270080942666664
per_tree	fungi	1377237at2759.faa.mafft.clipkit.treefile	3	3	1.8623083762000003
per_tree	fungi	1379600at2759.faa.mafft.clipkit.treefile	4	6	2.5222326665166666
per_tree	fungi	1380409at2759.faa.mafft.clipkit.treefile	3	3	1.8378906414666665
per_tree	fungi	1382842at2759.faa.mafft.clipkit.treefile	3	3	1.8895303064666666
per_tree	fungi	1395649at2759.faa.mafft.clipkit.treefile	3	3	1.8223921750000001
per_tree	fungi	1398309at2759.faa.mafft.clipkit.treefile	4	6	1.3159286488333333
per_tree	fungi	1404162at2759.faa.mafft.clipkit.treefile	4	6	2.2950556576499999
per_tree	fungi	1405073at2759.faa.mafft.clipkit.treefile	4	6	0.56698005393333328
per_tree	fungi	1405146at2759.faa.mafft.clipkit.treefile	4	6	2.5534263758166666
per_tree	fungi	1407446at2759.faa.mafft.clipkit.treefile	4	6	2.5546705174666666
per_tree	fungi	1421503at2759.faa.mafft.clipkit.treefile	4	6	1.04154781305
per_tree	fungi	1423847at2759.faa.mafft.clipkit.treefile	4	6	1.3994134043499999
per_tree	fungi	142542at2759.faa.mafft.clipkit.treefile	3	3	2.0003074868666668
per_tree	fungi	1426075at2759.faa.mafft.clipkit.treefile	4	6	1.353742497
per_tree	fungi	1428265at2759.faa.mafft.clipkit.treefile	4	6	2.4540076324166669
per_tree	fungi	1428854at2759.faa.mafft.clipkit.treefile	4	6	1.8092988849999998
per_tree	fungi	1430056at2759.faa.mafft.clipkit.treefile	4	6	1.5903152410333332
per_tree	fungi	1432328at2759.faa.mafft.clipkit.treefile	4	6	1.6061558396166664
per_tree	fungi	1434266at2759.faa.mafft.clipkit.treefile	4	6	2.0716147451333331
per_tree	fungi	1440961at2759.faa.mafft.clipkit.treefile	4	6	1.9922240403833333
per_tree	fungi	1441854at2759.faa.mafft.clipkit.treefile	4	6	1.3500247480333334
per_tree	fungi	1442062at2759.faa.mafft.clipkit.treefile	4	6	1.9468005476999999
per_tree	fungi	1445102at2759.faa.mafft.clipkit.treefile	4	6	1.6960550120999998
per_tree	fungi	1450538at2759.faa.mafft.clipkit.treefile	4	6	1.6483110031333332
per_tree	fungi	1454155at2759.faa.mafft.clipkit.treefile	4	6	2.1199683111166667
per_tree	fungi	1455730at2759.faa.mafft.clipkit.treefile	3	3	0.93792308566666671
per_tree	fungi	1459797at2759.faa.mafft.clipkit.treefile	4	6	1.7737424927333334
per_tree	fungi	1474000at2759.faa.mafft.clipkit.treefile	4	6	1.3450697236
per_tree	fungi	1488235at2759.faa.mafft.clipkit.treefile	4	6	1.3631212101833334
per_tree	fungi	1488436at2759.faa.mafft.clipkit.treefile	4	6	1.9124249436833332
per_tree	fungi	1490022at2759.faa.mafft.clipkit.treefile	4	6	1.3832529848666668
per_tree	fungi	1504863at2759.faa.mafft.clipkit.treefile	4	6	1.3730558627833334
per_tree	fungi	1513531at2759.faa.mafft.clipkit.treefile	4	6	2.3302991081499997
per_tree	fungi	1525971at2759.faa.mafft.clipkit.treefile	4	6	1.8854166314333334
per_tree	fungi	1530008at2759.faa.mafft.clipkit.treefile	4	6	0.62132120565000004
per_tree	fungi	1538526at2759.faa.mafft.clipkit.treefile	4	6	1.08588499795
per_tree	fungi	1552706at2759.faa.mafft.clipkit.treefile	4	6	1.7038317828166667
per_tree	fungi	1558822at2759.faa.mafft.clipkit.treefile	3	3	0.73420323160000001
per_tree	fungi	156083at2759.faa.mafft.clipkit.treefile	3	3	0.56514906273333332
per_tree	fungi	1567796at2759.faa.mafft.clipkit.treefile	4	6	1.1597321682666666
per_tree	fungi	1575179at2759.faa.mafft.clipkit.treefile	4	6	2.111281077333333
per_tree	fungi	1576404at2759.faa.mafft.clipkit.treefile	4	6	1.5409327806166668
per_tree	fungi	1588798at2759.faa.mafft.clipkit.treefile	4	6	1.7516138252833333
per_tree	fungi	1593937at2759.faa.mafft.clipkit.treefile	4	6	2.4161845832166668
per_tree	fungi	160593at2759.faa.mafft.clipkit.treefile	4	6	2.0728622560166667
per_tree	fungi	1617752at2759.faa.mafft.clipkit.treefile	4	6	1.9626710718
per_tree	fungi	1620056at2759.faa.mafft.clipkit.treefile	4	6	1.6820760470666665
per_tree	fungi	1623701at2759.faa.mafft.clipkit.treefile	4	6	2.1556886669333335
per_tree	fungi	1626636at2759.faa.mafft.clipkit.treefile	3	3	1.4160791075999999
per_tree	fungi	1633672at2759.faa.mafft.clipkit.treefile	4	6	0.73818072280000002
per_tree	fungi	1645187at2759.faa.mafft.clipkit.treefile	4	6	1.1886460579833333
per_tree	fungi	166920at2759.faa.mafft.clipkit.treefile	4	6	1.5647173366
per_tree	fungi	176625at2759.faa.mafft.clipkit.treefile	4	6	2.1171702060166666
per_tree	fungi	179362at2759.faa.mafft.clipkit.treefile	4	6	2.6202570221833335
per_tree	fungi	245208at2759.faa.mafft.clipkit.treefile	4	6	1.0554564214666666
per_tree	fungi	257318at2759.faa.mafft.clipkit.treefile	4	6	1.9557765543166667
per_tree	fungi	261328at2759.faa.mafft.clipkit.treefile	3	3	1.7655160602666664
per_tree	fungi	261419at2759.faa.mafft.clipkit.treefile	3	3	1.8959158990666667
per_tree	fungi	270107at2759.faa.mafft.clipkit.treefile	4	6	1.7083795346333333
per_tree	fungi	271586at2759.faa.mafft.clipkit.treefile	4	6	2.5016503064333335
per_tree	fungi	290630at2759.faa.mafft.clipkit.treefile	4	6	0.97796643303333342
per_tree	fungi	293315at2759.faa.mafft.clipkit.treefile	4	6	1.7062271748833331
per_tree	fungi	296129at2759.faa.mafft.clipkit.treefile	4	6	0.85715003561666669
per_tree	fungi	299766at2759.faa.mafft.clipkit.treefile	4	6	2.4100964155666666
per_tree	fungi	306227at2759.faa.mafft.clipkit.treefile	3	3	1.7109551336
per_tree	fungi	320059at2759.faa.mafft.clipkit.treefile	4	6	0.43061995825000005
per_tree	fungi	324863at2759.faa.mafft.clipkit.treefile	4	6	1.8073867742666667
per_tree	fungi	325552at2759.faa.mafft.clipkit.treefile	4	6	1.3528638473000001
per_tree	fungi	330169at2759.faa.mafft.clipkit.treefile	4	6	2.4726628000833331
per_tree	fungi	331411at2759.faa.mafft.clipkit.treefile	4	6	1.9994514107833332
per_tree	fungi	341721at2759.faa.mafft.clipkit.treefile	4	6	2.1512080153499999
per_tree	fungi	345441at2759.faa.mafft.clipkit.treefile	3	3	1.0516629581999999
per_tree	fungi	355408at2759.faa.mafft.clipkit.treefile	4	6	1.3299476747833334
per_tree	fungi	369837at2759.faa.mafft.clipkit.treefile	4	6	1.5106617450666668
per_tree	fungi	375960at2759.faa.mafft.clipkit.treefile	4	6	1.6036635262833334
per_tree	fungi	383503at2759.faa.mafft.clipkit.treefile	4	6	2.10237585495
per_tree	fungi	388820at2759.faa.mafft.clipkit.treefile	4	6	1.5625355869500002
per_tree	fungi	390348at2759.faa.mafft.clipkit.treefile	4	6	1.1751107426
per_tree	fungi	392369at2759.faa.mafft.clipkit.treefile	4	6	0.73393571690000003
per_tree	fungi	39650at2759.faa.mafft.clipkit.treefile	4	6	1.4767476400166668
per_tree	fungi	396755at2759.faa.mafft.clipkit.treefile	4	6	2.0194051015499999
per_tree	fungi	418107at2759.faa.mafft.clipkit.treefile	4	6	1.1320642510166667
per_tree	fungi	426305at2759.faa.mafft.clipkit.treefile	4	6	1.1856797886500001
per_tree	fungi	450058at2759.faa.mafft.clipkit.treefile	4	6	3.1219117135999999
per_tree	fungi	453044at2759.faa.mafft.clipkit.treefile	4	6	1.3230674913166667
per_tree	fungi	457861at2759.faa.mafft.clipkit.treefile	4	6	1.7189284250499999
per_tree	fungi	464990at2759.faa.mafft.clipkit.treefile	4	6	1.2423353282833334
per_tree	fungi	513979at2759.faa.mafft.clipkit.treefile	4	6	1.9294564076666667
per_tree	fungi	543764at2759.faa.mafft.clipkit.treefile	4	6	1.9113473972166668
per_tree	fungi	549762at2759.faa.mafft.clipkit.treefile	3	3	1.4457799186000002
per_tree	fungi	551907at2759.faa.mafft.clipkit.treefile	4	6	1.8975466787666668
per_tree	fungi	570797at2759.faa.mafft.clipkit.treefile	4	6	2.6981725054833334
per_tree	fungi	582756at2759.faa.mafft.clipkit.treefile	4	6	2.67184026895
per_tree	fungi	598949at2759.faa.mafft.clipkit.treefile	4	6	2.3307203526166664
per_tree	fungi	604979at2759.faa.mafft.clipkit.treefile	3	3	1.1190444419333334
per_tree	fungi	621827at2759.faa.mafft.clipkit.treefile	4	6	1.3853764425999999
per_tree	fungi	625387at2759.faa.mafft.clipkit.treefile	3	3	2.4205833689333334
per_tree	fungi	655400at2759.faa.mafft.clipkit.treefile	4	6	1.9375648967833332
per_tree	fungi	664730at2759.faa.mafft.clipkit.treefile	4	6	0.85415653703333339
per_tree	fungi	671536at2759.faa.mafft.clipkit.treefile	4	6	1.3671247419999999
per_tree	fungi	671846at2759.faa.mafft.clipkit.treefile	4	6	2.7860984580166668
per_tree	fungi	673132at2759.faa.mafft.clipkit.treefile	4	6	0.97655528969999994
per_tree	fungi	674160at2759.faa.mafft.clipkit.treefile	4	6	2.2748499325333333
per_tree	fungi	674169at2759.faa.mafft.clipkit.treefile	4	6	2.5561211680666669
per_tree	fungi	679187at2759.faa.mafft.clipkit.treefile	3	3	1.5951933491333332
per_tree	fungi	679771at2759.faa.mafft.clipkit.treefile	3	3	1.6336899188
per_tree	fungi	687505at2759.faa.mafft.clipkit.treefile	4	6	1.3956554817333335
per_tree	fungi	692986at2759.faa.mafft.clipkit.treefile	4	6	2.6494836114
per_tree	fungi	708105at2759.faa.mafft.clipkit.treefile	4	6	2.4065317240333335
per_tree	fungi	719531at2759.faa.mafft.clipkit.treefile	4	6	1.0866927057333333
per_tree	fungi	720340at2759.faa.mafft.clipkit.treefile	4	6	1.7022160805833331
per_tree	fungi	722805at2759.faa.mafft.clipkit.treefile	4	6	2.0949469079666669
per_tree	fungi	734341at2759.faa.mafft.clipkit.treefile	4	6	1.8878039879166666
per_tree	fungi	734666at2759.faa.mafft.clipkit.treefile	4	6	0.91035529651666669
per_tree	fungi	736068at2759.faa.mafft.clipkit.treefile	4	6	1.9994502769166667
per_tree	fungi	751335at2759.faa.mafft.clipkit.treefile	4	6	2.4540147357166666
per_tree	fungi	759498at2759.faa.mafft.clipkit.treefile	4	6	1.3437464534666665
per_tree	fungi	761109at2759.faa.mafft.clipkit.treefile	4	6	1.7192752511
per_tree	fungi	768809at2759.faa.mafft.clipkit.treefile	4	6	1.2114932065666666
per_tree	fungi	774318at2759.faa.mafft.clipkit.treefile	4	6	2.2342124087499999
per_tree	fungi	777920at2759.faa.mafft.clipkit.treefile	4	6	1.2404715505499999
per_tree	fungi	779909at2759.faa.mafft.clipkit.treefile	4	6	0.58043422055000005
per_tree	fungi	801857at2759.faa.mafft.clipkit.treefile	4	6	1.59093001645
per_tree	fungi	814241at2759.faa.mafft.clipkit.treefile	4	6	1.8359275122833332
per_tree	fungi	817008at2759.faa.mafft.clipkit.treefile	4	6	0.72838425183333333
per_tree	fungi	834694at2759.faa.mafft.clipkit.treefile	4	6	1.7321459117
per_tree	fungi	836599at2759.faa.mafft.clipkit.treefile	4	6	1.6317255637333332
per_tree	fungi	83779at2759.faa.mafft.clipkit.treefile	4	6	1.829237015133333
per_tree	fungi	844748at2759.faa.mafft.clipkit.treefile	3	3	1.4561241808666665
