cells	leiden
s2_cell220	16
s2_cell221	6
s2_cell222	2
s2_cell223	5
s2_cell224	17
s2_cell225	2
s2_cell226	7
s2_cell227	6
s2_cell228	3
s2_cell229	5
s2_cell230	3
s2_cell231	1
s2_cell232	3
s2_cell233	8
s2_cell234	6
s2_cell235	3
s2_cell236	16
s2_cell237	3
s2_cell238	10
s2_cell239	1
s2_cell240	3
s2_cell241	6
s2_cell242	5
s2_cell243	3
s2_cell244	6
s2_cell245	3
s2_cell246	6
s2_cell247	5
s2_cell248	5
s2_cell249	6
s2_cell250	1
s2_cell251	2
s2_cell252	5
s2_cell253	7
s2_cell254	3
s2_cell255	6
s2_cell256	11
s2_cell257	3
s2_cell258	2
s2_cell259	6
s2_cell260	3
s2_cell261	10
s2_cell262	3
s2_cell263	11
s2_cell264	12
s2_cell265	5
s2_cell266	1
s2_cell267	3
s2_cell268	2
s2_cell269	2
s2_cell270	15
s2_cell271	3
s2_cell272	7
s2_cell273	3
s2_cell274	3
s2_cell275	1
s2_cell276	6
s2_cell277	0
s2_cell278	6
s2_cell279	2
s2_cell280	5
s2_cell281	6
s2_cell282	1
s2_cell283	3
s2_cell284	16
s2_cell285	2
s2_cell286	9
s2_cell287	3
s2_cell288	2
s2_cell289	3
s2_cell290	6
s2_cell291	2
s2_cell292	8
s2_cell293	3
s2_cell294	6
s2_cell295	6
s2_cell296	18
s2_cell297	2
s2_cell298	3
s2_cell299	1
s2_cell300	1
s2_cell301	2
s2_cell302	10
s2_cell303	2
s2_cell304	1
s2_cell305	7
s2_cell306	7
s2_cell307	1
s2_cell308	10
s2_cell309	0
s2_cell310	1
s2_cell311	3
s2_cell312	1
s2_cell313	1
s2_cell314	16
s2_cell315	7
s2_cell316	1
s2_cell317	5
s2_cell318	1
s2_cell319	1
s2_cell320	6
s2_cell321	3
s2_cell322	16
s2_cell323	3
s2_cell324	3
s2_cell325	6
s2_cell326	1
s2_cell327	3
s2_cell328	1
s2_cell329	4
s2_cell330	2
s2_cell331	0
s2_cell332	2
s2_cell333	3
s2_cell334	3
s2_cell335	3
s2_cell336	10
s2_cell337	2
s2_cell338	16
s2_cell339	7
s2_cell340	2
s2_cell341	7
s2_cell342	10
s2_cell343	2
s2_cell344	16
s2_cell345	5
s2_cell346	2
s2_cell347	1
s2_cell348	7
s2_cell349	6
s2_cell350	7
s2_cell351	1
s2_cell352	1
s2_cell353	1
s2_cell354	6
s2_cell355	1
s2_cell356	2
s2_cell357	2
s2_cell358	5
s2_cell359	2
s2_cell360	0
s2_cell361	1
s2_cell362	1
s2_cell363	3
s2_cell364	6
s2_cell365	2
s2_cell366	10
s2_cell367	2
s2_cell368	2
s2_cell369	5
s2_cell370	3
s2_cell371	2
s2_cell372	2
s2_cell373	7
s2_cell374	1
s2_cell375	3
s2_cell376	7
s2_cell377	6
s2_cell378	0
s2_cell379	6
s2_cell380	5
s2_cell381	2
s2_cell382	16
s2_cell383	5
s2_cell384	6
s2_cell385	0
s2_cell386	0
s2_cell387	6
s2_cell388	7
s2_cell389	1
s2_cell390	6
s2_cell391	1
s2_cell392	1
s2_cell393	6
s2_cell394	6
s2_cell395	6
s2_cell396	2
s2_cell397	2
s2_cell398	2
s2_cell399	2
s2_cell400	6
s2_cell401	5
s2_cell402	1
s2_cell403	0
s2_cell404	2
s2_cell405	2
s2_cell406	6
s2_cell407	0
s2_cell408	21
s2_cell409	6
s2_cell410	7
s2_cell411	0
s2_cell412	0
s2_cell413	2
s2_cell414	2
s2_cell415	0
s2_cell416	2
s2_cell417	7
s2_cell418	0
s2_cell419	13
s2_cell420	7
s2_cell421	7
s2_cell422	2
s2_cell423	0
s2_cell424	2
s2_cell425	1
s2_cell426	6
s2_cell427	2
s2_cell428	6
s2_cell429	2
s2_cell430	2
s2_cell431	1
s2_cell432	15
s2_cell433	7
s2_cell434	0
s2_cell435	19
s2_cell436	16
s2_cell437	2
s2_cell438	5
s2_cell439	2
s2_cell440	0
s2_cell441	7
s2_cell442	1
s2_cell443	0
s2_cell444	1
s2_cell445	0
s2_cell446	6
s2_cell447	0
s2_cell448	1
s2_cell449	16
s2_cell450	2
s2_cell451	2
s2_cell452	7
s2_cell453	2
s2_cell454	2
s2_cell455	1
s2_cell456	3
s2_cell457	1
s2_cell458	1
s2_cell459	8
s2_cell460	16
s2_cell461	6
s2_cell462	2
s2_cell463	2
s2_cell464	2
s2_cell465	7
s2_cell466	7
s2_cell467	4
s2_cell468	6
s2_cell469	7
s2_cell470	18
s2_cell471	1
s2_cell472	16
s2_cell473	1
s2_cell474	2
s2_cell475	2
s2_cell476	3
s2_cell477	5
s2_cell478	11
s2_cell479	6
s2_cell480	5
s2_cell481	4
s2_cell482	2
s2_cell483	2
s2_cell484	7
s2_cell485	12
s2_cell486	7
s2_cell487	5
s2_cell488	6
s2_cell489	1
s2_cell490	7
s2_cell491	6
s2_cell492	7
s2_cell493	2
s2_cell494	2
s2_cell495	1
s2_cell496	2
s2_cell497	11
s2_cell498	0
s2_cell499	1
s2_cell500	7
s2_cell501	2
s2_cell502	2
s2_cell503	1
s2_cell504	1
s2_cell505	0
s2_cell506	5
s2_cell507	2
s2_cell508	2
s2_cell509	2
s2_cell510	0
s2_cell511	2
s2_cell512	7
s2_cell513	7
s2_cell514	5
s2_cell515	7
s2_cell516	0
s2_cell517	7
s2_cell518	6
s2_cell519	2
s2_cell520	2
s2_cell521	1
s2_cell522	2
s2_cell523	1
s2_cell524	6
s2_cell525	7
s2_cell526	0
s2_cell527	3
s2_cell528	6
s2_cell529	12
s2_cell530	2
s2_cell531	6
s2_cell532	7
s2_cell533	5
s2_cell534	2
s2_cell535	6
s2_cell536	2
s2_cell537	6
s2_cell538	5
s2_cell539	1
s2_cell540	1
s2_cell541	1
s2_cell542	5
s2_cell543	1
s2_cell544	7
s2_cell545	7
s2_cell546	16
s2_cell547	7
s2_cell548	2
s2_cell549	7
s2_cell550	3
s2_cell551	1
s2_cell552	1
s2_cell553	1
s2_cell554	1
s2_cell555	7
s2_cell556	1
s2_cell557	7
s2_cell558	0
s2_cell559	7
s2_cell560	5
s2_cell561	3
s2_cell562	7
s2_cell563	6
s2_cell564	5
s2_cell565	7
s2_cell566	1
s2_cell567	1
s2_cell568	5
s2_cell569	5
s2_cell570	1
s2_cell571	2
s2_cell572	3
s2_cell573	2
s2_cell574	7
s2_cell575	6
s2_cell576	7
s2_cell577	7
s2_cell578	6
s2_cell579	7
s2_cell580	2
s2_cell581	2
s2_cell582	5
s2_cell583	0
s2_cell584	6
s2_cell585	1
s2_cell586	0
s2_cell587	7
s2_cell588	2
s2_cell589	6
s2_cell590	0
s2_cell591	5
s2_cell592	7
s2_cell593	21
s2_cell594	5
s2_cell595	0
s2_cell596	5
s2_cell597	2
s2_cell598	7
s2_cell599	3
s2_cell600	5
s2_cell601	2
s2_cell602	7
s2_cell603	7
s2_cell604	0
s2_cell605	7
s2_cell606	7
s2_cell607	7
s2_cell608	1
s2_cell609	5
s2_cell610	2
s2_cell611	18
s2_cell612	1
s2_cell613	2
s2_cell614	8
s2_cell615	5
s2_cell616	6
s2_cell617	12
s2_cell618	2
s2_cell619	9
s2_cell620	16
s2_cell621	1
s2_cell622	0
s2_cell623	5
s2_cell624	1
s2_cell625	2
s2_cell626	2
s2_cell627	2
s2_cell628	3
s2_cell629	7
s2_cell630	3
s2_cell631	5
s2_cell632	2
s2_cell633	7
s2_cell634	0
s2_cell635	7
s2_cell636	1
s2_cell637	6
s2_cell638	5
s2_cell639	10
s2_cell640	2
s2_cell641	12
s2_cell642	3
s2_cell643	3
s2_cell644	7
s2_cell645	6
s2_cell646	9
s2_cell647	3
s2_cell648	3
s2_cell649	18
s2_cell650	0
s2_cell651	5
s2_cell652	7
s2_cell653	3
s2_cell654	2
s2_cell655	7
s2_cell656	7
s2_cell657	1
s2_cell658	1
s2_cell659	7
s2_cell660	5
s2_cell661	0
s2_cell662	2
s2_cell663	11
s2_cell664	5
s2_cell665	4
s2_cell666	6
s2_cell667	7
s2_cell668	6
s2_cell669	2
s2_cell670	1
s2_cell671	5
s2_cell672	7
s2_cell673	5
s2_cell674	0
s2_cell675	5
s2_cell676	7
s2_cell677	5
s2_cell678	3
s2_cell679	7
s2_cell680	21
s2_cell681	6
s2_cell682	1
s2_cell683	6
s2_cell684	6
s2_cell685	7
s2_cell686	6
s2_cell687	2
s2_cell688	3
s2_cell689	5
s2_cell690	5
s2_cell691	3
s2_cell692	3
s2_cell693	5
s2_cell694	5
s2_cell695	7
s2_cell696	6
s2_cell697	0
s2_cell698	7
s2_cell699	2
s2_cell700	5
s2_cell701	11
s2_cell702	6
s2_cell703	7
s2_cell704	5
s2_cell705	16
s2_cell706	2
s2_cell707	2
s2_cell708	7
s2_cell709	7
s2_cell710	1
s2_cell711	7
s2_cell712	12
s2_cell713	3
s2_cell714	5
s2_cell715	1
s2_cell716	3
s2_cell717	1
s2_cell718	2
s2_cell719	6
s2_cell720	1
s2_cell721	2
s2_cell722	11
s2_cell723	7
s2_cell724	6
s2_cell725	5
s2_cell726	9
s2_cell727	0
s2_cell728	1
s2_cell729	1
s2_cell730	6
s2_cell731	5
s2_cell732	2
s2_cell733	5
s2_cell734	5
s2_cell735	7
s2_cell736	9
s2_cell737	21
s2_cell738	8
s2_cell739	2
s2_cell740	5
s2_cell741	7
s2_cell742	0
s2_cell743	1
s2_cell744	3
s2_cell745	5
s2_cell746	7
s2_cell747	0
s2_cell748	1
s2_cell749	12
s2_cell750	6
s2_cell751	3
s2_cell752	3
s2_cell753	5
s2_cell754	5
s2_cell755	1
s2_cell756	6
s2_cell757	7
s2_cell758	5
s2_cell759	6
s2_cell760	11
s2_cell761	3
s2_cell762	12
s2_cell763	5
s2_cell764	6
s2_cell765	21
s2_cell766	20
s2_cell767	7
s2_cell768	1
s2_cell769	19
s2_cell770	5
s2_cell771	21
s2_cell772	8
s2_cell773	1
s2_cell774	11
s2_cell775	3
s2_cell776	8
s2_cell777	21
s2_cell778	2
s2_cell779	0
s2_cell780	0
s2_cell781	2
s2_cell782	1
s2_cell783	7
s2_cell784	9
s2_cell785	5
s2_cell786	6
s2_cell787	9
s2_cell788	3
s2_cell789	5
s2_cell790	6
s2_cell791	15
s2_cell792	7
s2_cell793	8
s2_cell794	15
s2_cell795	5
s2_cell796	6
s2_cell797	15
s2_cell798	2
s2_cell799	1
s2_cell800	18
s2_cell801	1
s2_cell802	2
s2_cell803	5
s2_cell804	7
s2_cell805	3
s2_cell806	2
s2_cell807	2
s2_cell808	1
s2_cell809	9
s2_cell810	3
s2_cell811	14
s2_cell812	1
s2_cell813	2
s2_cell814	6
s2_cell815	2
s2_cell816	11
s2_cell817	2
s2_cell818	11
s2_cell819	1
s2_cell820	21
s2_cell821	5
s2_cell822	3
s2_cell823	6
s2_cell824	5
s2_cell825	3
s2_cell826	9
s2_cell827	16
s2_cell828	8
s2_cell829	1
s2_cell830	7
s2_cell831	5
s2_cell832	7
s2_cell833	5
s2_cell834	8
s2_cell835	5
s2_cell836	7
s2_cell837	3
s2_cell838	2
s2_cell839	3
s2_cell840	11
s2_cell841	11
s2_cell842	5
s2_cell843	9
s2_cell844	2
s2_cell845	6
s2_cell846	3
s2_cell847	5
s2_cell848	18
s2_cell849	5
s2_cell850	6
s2_cell851	3
s2_cell852	3
s2_cell853	12
s2_cell854	8
s2_cell855	5
s2_cell856	5
s2_cell857	5
s2_cell858	5
s2_cell859	5
s2_cell860	8
s2_cell861	6
s2_cell862	13
s2_cell863	5
s2_cell864	4
s2_cell865	0
s2_cell866	3
s2_cell867	6
s2_cell868	5
s2_cell869	11
s2_cell870	3
s2_cell871	11
s2_cell872	3
s2_cell873	5
s2_cell874	8
s2_cell875	2
s2_cell876	15
s2_cell877	12
s2_cell878	6
s2_cell879	9
s2_cell880	11
s2_cell881	18
s2_cell882	3
s2_cell883	1
s2_cell884	7
s2_cell885	9
s2_cell886	11
s2_cell887	0
s2_cell888	3
s2_cell889	5
s2_cell890	3
s2_cell891	2
s2_cell892	21
s2_cell893	2
s2_cell894	11
s2_cell895	1
s2_cell896	2
s2_cell897	5
s2_cell898	7
s2_cell899	3
s2_cell900	3
s2_cell901	5
s2_cell902	18
s2_cell903	3
s2_cell904	11
s2_cell905	7
s2_cell906	7
s2_cell907	8
s2_cell908	20
s2_cell909	5
s2_cell910	3
s2_cell911	12
s2_cell912	5
s2_cell913	2
s2_cell914	15
s2_cell915	14
s2_cell916	3
s2_cell917	8
s2_cell918	7
s2_cell919	5
s2_cell920	17
s2_cell921	3
s2_cell922	3
s2_cell923	3
s2_cell924	3
s2_cell925	7
s2_cell926	6
s2_cell927	12
s2_cell928	8
s2_cell929	5
s2_cell930	9
s2_cell931	0
s2_cell932	1
s2_cell933	5
s2_cell934	7
s2_cell935	19
s2_cell936	19
s2_cell937	7
s2_cell938	11
s2_cell939	5
s2_cell940	4
s2_cell941	5
s2_cell942	11
s2_cell943	1
s2_cell944	5
s2_cell945	5
s2_cell946	7
s2_cell947	21
s2_cell948	3
s2_cell949	3
s2_cell950	3
s2_cell951	5
s2_cell952	3
s2_cell953	3
s2_cell954	2
s2_cell955	2
s2_cell956	6
s2_cell957	11
s2_cell958	11
s2_cell959	11
s2_cell960	8
s2_cell961	13
s2_cell962	11
s2_cell963	18
s2_cell964	3
s2_cell965	7
s2_cell966	3
s2_cell967	18
s2_cell968	3
s2_cell969	3
s2_cell970	3
s2_cell971	9
s2_cell972	5
s2_cell973	7
s2_cell974	15
s2_cell975	13
s2_cell976	3
s2_cell977	5
s2_cell978	9
s2_cell979	3
s2_cell980	8
s2_cell981	3
s2_cell982	2
s2_cell983	17
s2_cell984	7
s2_cell985	13
s2_cell986	3
s2_cell987	8
s2_cell988	7
s2_cell989	15
s2_cell990	15
s2_cell991	1
s2_cell992	16
s2_cell993	5
s2_cell994	0
s2_cell995	5
s2_cell996	4
s2_cell997	1
s2_cell998	3
s2_cell999	5
s2_cell1000	3
s2_cell1001	5
s2_cell1002	13
s2_cell1003	5
s2_cell1004	3
s2_cell1005	8
s2_cell1006	6
s2_cell1007	13
s2_cell1008	8
s2_cell1009	10
s2_cell1010	15
s2_cell1011	5
s2_cell1012	2
s2_cell1013	2
s2_cell1014	6
s2_cell1015	2
s2_cell1016	3
s2_cell1017	11
s2_cell1018	8
s2_cell1019	2
s2_cell1020	3
s2_cell1021	11
s2_cell1022	17
s2_cell1023	6
s2_cell1024	19
s2_cell1025	7
s2_cell1026	5
s2_cell1027	8
s2_cell1028	3
s2_cell1029	7
s2_cell1030	6
s2_cell1031	7
s2_cell1032	2
s2_cell1033	3
s2_cell1034	3
s2_cell1035	7
s2_cell1036	2
s2_cell1037	12
s2_cell1038	3
s2_cell1039	3
s2_cell1040	5
s2_cell1041	7
s2_cell1042	5
s2_cell1043	3
s2_cell1044	3
s2_cell1045	16
s2_cell1046	6
s2_cell1047	15
s2_cell1048	7
s2_cell1049	0
s2_cell1050	1
s2_cell1051	3
s2_cell1052	3
s2_cell1053	21
s2_cell1054	5
s2_cell1055	8
s2_cell1056	2
s2_cell1057	3
s2_cell1058	6
s2_cell1059	7
s2_cell1060	8
s2_cell1061	7
s2_cell1062	15
s2_cell1063	19
s2_cell1064	8
s2_cell1065	3
s2_cell1066	18
s2_cell1067	2
s2_cell1068	12
s2_cell1069	9
s2_cell1070	8
s2_cell1071	3
s2_cell1072	18
s2_cell1073	16
s2_cell1074	3
s2_cell1075	5
s2_cell1076	1
s2_cell1077	13
s2_cell1078	3
s2_cell1079	8
s2_cell1080	8
s2_cell1081	5
s2_cell1082	3
s2_cell1083	3
s2_cell1084	14
s2_cell1085	8
s2_cell1086	3
s2_cell1087	3
s2_cell1088	5
s2_cell1089	9
s2_cell1090	5
s2_cell1091	5
s2_cell1092	5
s2_cell1093	10
s2_cell1094	7
s2_cell1095	7
s2_cell1096	8
s2_cell1097	5
s2_cell1098	6
s2_cell1099	3
s2_cell1100	8
s2_cell1101	3
s2_cell1102	0
s2_cell1103	20
s2_cell1104	12
s2_cell1105	11
s2_cell1106	3
s2_cell1107	11
s2_cell1108	8
s2_cell1109	0
s2_cell1110	1
s2_cell1111	9
s2_cell1112	5
s2_cell1113	3
s2_cell1114	8
s2_cell1115	15
s2_cell1116	11
s2_cell1117	8
s2_cell1118	17
s2_cell1119	1
s2_cell1120	9
s2_cell1121	5
s2_cell1122	3
s2_cell1123	5
s2_cell1124	7
s2_cell1125	2
s2_cell1126	9
s2_cell1127	7
s2_cell1128	20
s2_cell1129	3
s2_cell1130	2
s2_cell1131	8
s2_cell1132	20
s2_cell1133	5
s2_cell1134	5
s2_cell1135	14
s2_cell1136	1
s2_cell1137	5
s2_cell1138	13
s2_cell1139	16
s2_cell1140	3
s2_cell1141	8
s2_cell1142	3
s2_cell1143	2
s2_cell1144	8
s2_cell1145	1
s2_cell1146	11
s2_cell1147	2
s2_cell1148	17
s2_cell1149	5
s2_cell1150	2
s2_cell1151	12
s2_cell1152	3
s2_cell1153	9
s2_cell1154	3
s2_cell1155	16
s2_cell1156	5
s2_cell1157	11
s2_cell1158	0
s2_cell1159	9
s2_cell1160	5
s2_cell1161	0
s2_cell1162	13
s2_cell1163	19
s2_cell1164	3
s2_cell1165	0
s2_cell1166	5
s2_cell1167	19
s2_cell1168	17
s2_cell1169	9
s2_cell1170	5
s2_cell1171	3
s2_cell1172	5
s2_cell1173	3
s2_cell1174	9
s2_cell1175	1
s2_cell1176	3
s2_cell1177	7
s2_cell1178	6
s2_cell1179	17
s2_cell1180	3
s2_cell1181	3
s2_cell1182	12
s2_cell1183	3
s2_cell1184	7
s2_cell1185	3
s2_cell1186	5
s2_cell1187	8
s2_cell1188	8
s2_cell1189	5
s2_cell1190	7
s2_cell1191	14
s2_cell1192	9
s2_cell1193	5
s2_cell1194	11
s2_cell1195	3
s2_cell1196	3
s2_cell1197	11
s2_cell1198	16
s2_cell1199	11
s2_cell1200	8
s2_cell1201	2
s2_cell1202	5
s2_cell1203	11
s2_cell1204	5
s2_cell1205	7
s2_cell1206	12
s2_cell1207	3
s2_cell1208	14
s2_cell1209	8
s2_cell1210	6
s2_cell1211	12
s2_cell1212	11
s2_cell1213	5
s2_cell1214	6
s2_cell1215	2
s2_cell1216	8
s2_cell1217	3
s2_cell1218	0
s2_cell1219	5
s2_cell1220	3
s2_cell1221	11
s2_cell1222	6
s2_cell1223	8
s2_cell1224	1
s2_cell1225	5
s2_cell1226	5
s2_cell1227	3
s2_cell1228	7
s2_cell1229	6
s2_cell1230	15
s2_cell1231	15
s2_cell1232	1
s2_cell1233	3
s2_cell1234	13
s2_cell1235	8
s2_cell1236	5
s2_cell1237	2
s2_cell1238	1
s2_cell1239	12
s2_cell1240	8
s2_cell1241	0
s2_cell1242	3
s2_cell1243	3
s2_cell1244	11
s2_cell1245	12
s2_cell1246	6
s2_cell1247	3
s2_cell1248	3
s2_cell1249	11
s2_cell1250	3
s2_cell1251	0
s2_cell1252	0
s2_cell1253	8
s2_cell1254	18
s2_cell1255	1
s2_cell1256	19
s2_cell1257	5
s2_cell1258	3
s2_cell1259	5
s2_cell1260	11
s2_cell1261	8
s2_cell1262	8
s2_cell1263	3
s2_cell1264	8
s2_cell1265	5
s2_cell1266	9
s2_cell1267	19
s2_cell1268	17
s2_cell1269	6
s2_cell1270	19
s2_cell1271	19
s2_cell1272	1
s2_cell1273	7
s2_cell1274	3
s2_cell1275	6
s2_cell1276	8
s2_cell1277	8
s2_cell1278	3
s2_cell1279	1
s2_cell1280	7
s2_cell1281	8
s2_cell1282	9
s2_cell1283	1
s2_cell1284	8
s2_cell1285	21
s2_cell1286	9
s2_cell1287	8
s2_cell1288	3
s2_cell1289	12
s2_cell1290	5
s2_cell1291	3
s2_cell1292	18
s2_cell1293	1
s2_cell1294	20
s2_cell1295	9
s2_cell1296	3
s2_cell1297	11
s2_cell1298	3
s2_cell1299	5
s2_cell1300	19
s2_cell1301	1
s2_cell1302	3
s2_cell1303	2
s2_cell1304	1
s2_cell1305	5
s2_cell1306	8
s2_cell1307	8
s2_cell1308	2
s2_cell1309	15
s2_cell1310	5
s2_cell1311	7
s2_cell1312	20
s2_cell1313	3
s2_cell1314	5
s2_cell1315	13
s2_cell1316	11
s2_cell1317	18
s2_cell1318	0
s2_cell1319	0
s2_cell1320	20
s2_cell1321	3
s2_cell1322	3
s2_cell1323	2
s2_cell1324	2
s2_cell1325	3
s2_cell1326	20
s2_cell1327	15
s2_cell1328	12
s2_cell1329	3
s2_cell1330	2
s2_cell1331	9
s2_cell1332	3
s2_cell1333	11
s2_cell1334	13
s2_cell1335	19
s2_cell1336	6
s2_cell1337	5
s2_cell1338	2
s2_cell1339	2
s2_cell1340	5
s2_cell1341	11
s2_cell1342	9
s2_cell1343	4
s2_cell1344	3
s2_cell1345	9
s2_cell1346	18
s2_cell1347	12
s2_cell1348	9
s2_cell1349	4
s2_cell1350	3
s2_cell1351	0
s2_cell1352	2
s2_cell1353	0
s2_cell1354	8
s2_cell1355	3
s2_cell1356	2
s2_cell1357	5
s2_cell1358	8
s2_cell1359	10
s2_cell1360	3
s2_cell1361	1
s2_cell1362	3
s2_cell1363	3
s2_cell1364	9
s2_cell1365	3
s2_cell1366	12
s2_cell1367	1
s2_cell1368	4
s2_cell1369	11
s2_cell1370	14
s2_cell1371	2
s2_cell1372	8
s2_cell1373	2
s2_cell1374	12
s2_cell1375	3
s2_cell1376	8
s2_cell1377	5
s2_cell1378	12
s2_cell1379	3
s2_cell1380	2
s2_cell1381	3
s2_cell1382	12
s2_cell1383	0
s2_cell1384	1
s2_cell1385	1
s2_cell1386	1
s2_cell1387	3
s2_cell1388	17
s2_cell1389	8
s2_cell1390	3
s2_cell1391	12
s2_cell1392	9
s2_cell1393	0
s2_cell1394	2
s2_cell1395	13
s2_cell1396	1
s2_cell1397	2
s2_cell1398	5
s2_cell1399	2
s2_cell1400	2
s2_cell1401	0
s2_cell1402	8
s2_cell1403	2
s2_cell1404	2
s2_cell1405	2
s2_cell1406	6
s2_cell1407	5
s2_cell1408	12
s2_cell1409	21
s2_cell1410	13
s2_cell1411	3
s2_cell1412	0
s2_cell1413	1
s2_cell1414	2
s2_cell1415	15
s2_cell1416	17
s2_cell1417	11
s2_cell1418	5
s2_cell1419	4
s2_cell1420	2
s2_cell1421	5
s2_cell1422	3
s2_cell1423	1
s2_cell1424	2
s2_cell1425	17
s2_cell1426	2
s2_cell1427	5
s2_cell1428	0
s2_cell1429	1
s2_cell1430	13
s2_cell1431	13
s2_cell1432	0
s2_cell1433	11
s2_cell1434	2
s2_cell1435	2
s2_cell1436	2
s2_cell1437	8
s2_cell1438	0
s2_cell1439	8
s2_cell1440	2
s2_cell1441	12
s2_cell1442	3
s2_cell1443	0
s2_cell1444	1
s2_cell1445	1
s2_cell1446	2
s2_cell1447	10
s2_cell1448	14
s2_cell1449	0
s2_cell1450	15
s2_cell1451	1
s2_cell1452	8
s2_cell1453	1
s2_cell1454	17
s2_cell1455	1
s2_cell1456	12
s2_cell1457	0
s2_cell1458	2
s2_cell1459	5
s2_cell1460	14
s2_cell1461	0
s2_cell1462	12
s2_cell1463	17
s2_cell1464	3
s2_cell1465	0
s2_cell1466	11
s2_cell1467	0
s2_cell1468	8
s2_cell1469	11
s2_cell1470	2
s2_cell1471	5
s2_cell1472	0
s2_cell1473	1
s2_cell1474	1
s2_cell1475	14
s2_cell1476	0
s2_cell1477	8
s2_cell1478	2
s2_cell1479	3
s2_cell1480	5
s2_cell1481	0
s2_cell1482	0
s2_cell1483	4
s2_cell1484	17
s2_cell1485	11
s2_cell1486	0
s2_cell1487	1
s2_cell1488	2
s2_cell1489	1
s2_cell1490	6
s2_cell1491	6
s2_cell1492	5
s2_cell1493	5
s2_cell1494	8
s2_cell1495	13
s2_cell1496	2
s2_cell1497	3
s2_cell1498	1
