cells	leiden
s1_cell203	1
s1_cell204	4
s1_cell205	4
s1_cell206	5
s1_cell207	4
s1_cell208	8
s1_cell209	4
s1_cell210	12
s1_cell211	16
s1_cell212	6
s1_cell213	1
s1_cell214	4
s1_cell215	10
s1_cell216	4
s1_cell217	5
s1_cell218	14
s1_cell219	4
s1_cell220	1
s1_cell221	1
s1_cell222	4
s1_cell223	6
s1_cell224	4
s1_cell225	10
s1_cell226	1
s1_cell227	10
s1_cell228	7
s1_cell229	5
s1_cell230	4
s1_cell231	4
s1_cell232	4
s1_cell233	4
s1_cell234	5
s1_cell235	7
s1_cell236	4
s1_cell237	10
s1_cell238	4
s1_cell239	4
s1_cell240	1
s1_cell241	4
s1_cell242	11
s1_cell243	11
s1_cell244	1
s1_cell245	4
s1_cell246	12
s1_cell247	5
s1_cell248	10
s1_cell249	1
s1_cell250	5
s1_cell251	10
s1_cell252	1
s1_cell253	5
s1_cell254	12
s1_cell255	4
s1_cell256	4
s1_cell257	12
s1_cell258	12
s1_cell259	4
s1_cell260	4
s1_cell261	4
s1_cell262	12
s1_cell263	4
s1_cell264	4
s1_cell265	1
s1_cell266	4
s1_cell267	10
s1_cell268	4
s1_cell269	12
s1_cell270	4
s1_cell271	12
s1_cell272	5
s1_cell273	1
s1_cell274	1
s1_cell275	4
s1_cell276	4
s1_cell277	4
s1_cell278	10
s1_cell279	1
s1_cell280	4
s1_cell281	4
s1_cell282	12
s1_cell283	12
s1_cell284	1
s1_cell285	1
s1_cell286	12
s1_cell287	12
s1_cell288	5
s1_cell289	5
s1_cell290	11
s1_cell291	4
s1_cell292	10
s1_cell293	6
s1_cell294	11
s1_cell295	4
s1_cell296	10
s1_cell297	1
s1_cell298	5
s1_cell299	4
s1_cell300	5
s1_cell301	5
s1_cell302	10
s1_cell303	4
s1_cell304	5
s1_cell305	5
s1_cell306	11
s1_cell307	4
s1_cell308	12
s1_cell309	22
s1_cell310	1
s1_cell311	6
s1_cell312	4
s1_cell313	11
s1_cell314	3
s1_cell315	4
s1_cell316	4
s1_cell317	2
s1_cell318	13
s1_cell319	4
s1_cell320	21
s1_cell321	5
s1_cell322	4
s1_cell323	4
s1_cell324	10
s1_cell325	13
s1_cell326	4
s1_cell327	4
s1_cell328	5
s1_cell329	11
s1_cell330	13
s1_cell331	4
s1_cell332	4
s1_cell333	4
s1_cell334	12
s1_cell335	10
s1_cell336	7
s1_cell337	12
s1_cell338	1
s1_cell339	12
s1_cell340	12
s1_cell341	8
s1_cell342	5
s1_cell343	4
s1_cell344	7
s1_cell345	4
s1_cell346	11
s1_cell347	14
s1_cell348	4
s1_cell349	1
s1_cell350	1
s1_cell351	11
s1_cell352	4
s1_cell353	16
s1_cell354	4
s1_cell355	21
s1_cell356	5
s1_cell357	5
s1_cell358	4
s1_cell359	4
s1_cell360	1
s1_cell361	1
s1_cell362	4
s1_cell363	10
s1_cell364	5
s1_cell365	5
s1_cell366	1
s1_cell367	11
s1_cell368	4
s1_cell369	4
s1_cell370	4
s1_cell371	1
s1_cell372	12
s1_cell373	10
s1_cell374	4
s1_cell375	1
s1_cell376	4
s1_cell377	1
s1_cell378	4
s1_cell379	12
s1_cell380	12
s1_cell381	1
s1_cell382	4
s1_cell383	4
s1_cell384	4
s1_cell385	6
s1_cell386	12
s1_cell387	11
s1_cell388	5
s1_cell389	7
s1_cell390	4
s1_cell391	5
s1_cell392	4
s1_cell393	7
s1_cell394	6
s1_cell395	10
s1_cell396	1
s1_cell397	11
s1_cell398	1
s1_cell399	1
s1_cell400	4
s1_cell401	12
s1_cell402	12
s1_cell403	12
s1_cell404	11
s1_cell405	4
s1_cell406	12
s1_cell407	12
s1_cell408	4
s1_cell409	7
s1_cell410	5
s1_cell411	12
s1_cell412	1
s1_cell413	12
s1_cell414	1
s1_cell415	9
s1_cell416	12
s1_cell417	1
s1_cell418	12
s1_cell419	12
s1_cell420	5
s1_cell421	12
s1_cell422	11
s1_cell423	4
s1_cell424	12
s1_cell425	12
s1_cell426	12
s1_cell427	13
s1_cell428	1
s1_cell429	4
s1_cell430	1
s1_cell431	4
s1_cell432	1
s1_cell433	12
s1_cell434	10
s1_cell435	6
s1_cell436	1
s1_cell437	11
s1_cell438	4
s1_cell439	8
s1_cell440	7
s1_cell441	4
s1_cell442	1
s1_cell443	14
s1_cell444	1
s1_cell445	10
s1_cell446	11
s1_cell447	12
s1_cell448	12
s1_cell449	1
s1_cell450	5
s1_cell451	4
s1_cell452	11
s1_cell453	10
s1_cell454	4
s1_cell455	4
s1_cell456	4
s1_cell457	1
s1_cell458	4
s1_cell459	4
s1_cell460	1
s1_cell461	1
s1_cell462	4
s1_cell463	4
s1_cell464	1
s1_cell465	11
s1_cell466	1
s1_cell467	10
s1_cell468	4
s1_cell469	12
s1_cell470	4
s1_cell471	12
s1_cell472	4
s1_cell473	5
s1_cell474	13
s1_cell475	4
s1_cell476	6
s1_cell477	18
s1_cell478	4
s1_cell479	12
s1_cell480	4
s1_cell481	12
s1_cell482	4
s1_cell483	4
s1_cell484	1
s1_cell485	4
s1_cell486	10
s1_cell487	1
s1_cell488	4
s1_cell489	4
s1_cell490	1
s1_cell491	1
s1_cell492	1
s1_cell493	3
s1_cell494	1
s1_cell495	12
s1_cell496	11
s1_cell497	4
s1_cell498	1
s1_cell499	6
s1_cell500	4
s1_cell501	1
s1_cell502	1
s1_cell503	4
s1_cell504	12
s1_cell505	21
s1_cell506	11
s1_cell507	4
s1_cell508	22
s1_cell509	4
s1_cell510	8
s1_cell511	18
s1_cell512	10
s1_cell513	4
s1_cell514	12
s1_cell515	6
s1_cell516	7
s1_cell517	4
s1_cell518	4
s1_cell519	1
s1_cell520	16
s1_cell521	11
s1_cell522	4
s1_cell523	4
s1_cell524	12
s1_cell525	5
s1_cell526	4
s1_cell527	12
s1_cell528	7
s1_cell529	1
s1_cell530	4
s1_cell531	4
s1_cell532	4
s1_cell533	4
s1_cell534	10
s1_cell535	1
s1_cell536	4
s1_cell537	5
s1_cell538	1
s1_cell539	4
s1_cell540	1
s1_cell541	1
s1_cell542	4
s1_cell543	11
s1_cell544	4
s1_cell545	21
s1_cell546	12
s1_cell547	5
s1_cell548	4
s1_cell549	12
s1_cell550	12
s1_cell551	4
s1_cell552	8
s1_cell553	1
s1_cell554	4
s1_cell555	7
s1_cell556	5
s1_cell557	4
s1_cell558	4
s1_cell559	1
s1_cell560	11
s1_cell561	11
s1_cell562	4
s1_cell563	4
s1_cell564	4
s1_cell565	12
s1_cell566	21
s1_cell567	5
s1_cell568	11
s1_cell569	4
s1_cell570	11
s1_cell571	5
s1_cell572	4
s1_cell573	11
s1_cell574	10
s1_cell575	7
s1_cell576	1
s1_cell577	17
s1_cell578	11
s1_cell579	12
s1_cell580	11
s1_cell581	12
s1_cell582	11
s1_cell583	11
s1_cell584	1
s1_cell585	1
s1_cell586	5
s1_cell587	4
s1_cell588	5
s1_cell589	18
s1_cell590	1
s1_cell591	5
s1_cell592	11
s1_cell593	5
s1_cell594	12
s1_cell595	4
s1_cell596	4
s1_cell597	4
s1_cell598	11
s1_cell599	11
s1_cell600	1
s1_cell601	1
s1_cell602	4
s1_cell603	22
s1_cell604	11
s1_cell605	11
s1_cell606	4
s1_cell607	6
s1_cell608	5
s1_cell609	1
s1_cell610	4
s1_cell611	1
s1_cell612	4
s1_cell613	11
s1_cell614	4
s1_cell615	5
s1_cell616	11
s1_cell617	5
s1_cell618	4
s1_cell619	7
s1_cell620	4
s1_cell621	22
s1_cell622	1
s1_cell623	1
s1_cell624	5
s1_cell625	4
s1_cell626	1
s1_cell627	11
s1_cell628	1
s1_cell629	5
s1_cell630	1
s1_cell631	4
s1_cell632	4
s1_cell633	5
s1_cell634	4
s1_cell635	4
s1_cell636	5
s1_cell637	12
s1_cell638	5
s1_cell639	1
s1_cell640	1
s1_cell641	4
s1_cell642	12
s1_cell643	11
s1_cell644	5
s1_cell645	9
s1_cell646	1
s1_cell647	1
s1_cell648	0
s1_cell649	1
s1_cell650	13
s1_cell651	1
s1_cell652	4
s1_cell653	4
s1_cell654	5
s1_cell655	1
s1_cell656	4
s1_cell657	1
s1_cell658	4
s1_cell659	15
s1_cell660	12
s1_cell661	1
s1_cell662	11
s1_cell663	4
s1_cell664	2
s1_cell665	15
s1_cell666	4
s1_cell667	1
s1_cell668	8
s1_cell669	6
s1_cell670	5
s1_cell671	17
s1_cell672	1
s1_cell673	11
s1_cell674	11
s1_cell675	1
s1_cell676	5
s1_cell677	1
s1_cell678	1
s1_cell679	11
s1_cell680	1
s1_cell681	4
s1_cell682	4
s1_cell683	1
s1_cell684	4
s1_cell685	5
s1_cell686	11
s1_cell687	4
s1_cell688	14
s1_cell689	4
s1_cell690	1
s1_cell691	1
s1_cell692	4
s1_cell693	4
s1_cell694	12
s1_cell695	4
s1_cell696	11
s1_cell697	4
s1_cell698	5
s1_cell699	5
s1_cell700	4
s1_cell701	5
s1_cell702	12
s1_cell703	4
s1_cell704	18
s1_cell705	12
s1_cell706	5
s1_cell707	4
s1_cell708	10
s1_cell709	12
s1_cell710	5
s1_cell711	1
s1_cell712	5
s1_cell713	12
s1_cell714	8
s1_cell715	17
s1_cell716	1
s1_cell717	4
s1_cell718	1
s1_cell719	1
s1_cell720	5
s1_cell721	11
s1_cell722	5
s1_cell723	12
s1_cell724	4
s1_cell725	4
s1_cell726	4
s1_cell727	5
s1_cell728	5
s1_cell729	1
s1_cell730	4
s1_cell731	5
s1_cell732	5
s1_cell733	4
s1_cell734	4
s1_cell735	12
s1_cell736	4
s1_cell737	1
s1_cell738	8
s1_cell739	11
s1_cell740	11
s1_cell741	1
s1_cell742	8
s1_cell743	4
s1_cell744	1
s1_cell745	4
s1_cell746	12
s1_cell747	11
s1_cell748	11
s1_cell749	5
s1_cell750	22
s1_cell751	11
s1_cell752	21
s1_cell753	6
s1_cell754	4
s1_cell755	2
s1_cell756	1
s1_cell757	10
s1_cell758	1
s1_cell759	1
s1_cell760	1
s1_cell761	5
s1_cell762	4
s1_cell763	1
s1_cell764	1
s1_cell765	1
s1_cell766	4
s1_cell767	12
s1_cell768	0
s1_cell769	4
s1_cell770	1
s1_cell771	4
s1_cell772	5
s1_cell773	8
s1_cell774	4
s1_cell775	4
s1_cell776	12
s1_cell777	5
s1_cell778	4
s1_cell779	1
s1_cell780	4
s1_cell781	4
s1_cell782	10
s1_cell783	9
s1_cell784	4
s1_cell785	5
s1_cell786	20
s1_cell787	1
s1_cell788	19
s1_cell789	3
s1_cell790	17
s1_cell791	5
s1_cell792	1
s1_cell793	4
s1_cell794	1
s1_cell795	5
s1_cell796	4
s1_cell797	1
s1_cell798	5
s1_cell799	4
s1_cell800	1
s1_cell801	15
s1_cell802	6
s1_cell803	4
s1_cell804	5
s1_cell805	1
s1_cell806	1
s1_cell807	4
s1_cell808	1
s1_cell809	1
s1_cell810	5
s1_cell811	4
s1_cell812	6
s1_cell813	1
s1_cell814	10
s1_cell815	5
s1_cell816	5
s1_cell817	4
s1_cell818	1
s1_cell819	1
s1_cell820	4
s1_cell821	5
s1_cell822	1
s1_cell823	1
s1_cell824	22
s1_cell825	10
s1_cell826	15
s1_cell827	4
s1_cell828	5
s1_cell829	15
s1_cell830	5
s1_cell831	6
s1_cell832	11
s1_cell833	1
s1_cell834	12
s1_cell835	4
s1_cell836	4
s1_cell837	12
s1_cell838	5
s1_cell839	4
s1_cell840	1
s1_cell841	12
s1_cell842	4
s1_cell843	1
s1_cell844	4
s1_cell845	4
s1_cell846	18
s1_cell847	1
s1_cell848	5
s1_cell849	4
s1_cell850	5
s1_cell851	4
s1_cell852	4
s1_cell853	12
s1_cell854	4
s1_cell855	11
s1_cell856	4
s1_cell857	9
s1_cell858	4
s1_cell859	5
s1_cell860	6
s1_cell861	17
s1_cell862	1
s1_cell863	4
s1_cell864	12
s1_cell865	11
s1_cell866	1
s1_cell867	4
s1_cell868	0
s1_cell869	21
s1_cell870	4
s1_cell871	12
s1_cell872	10
s1_cell873	5
s1_cell874	4
s1_cell875	1
s1_cell876	4
s1_cell877	4
s1_cell878	4
s1_cell879	11
s1_cell880	0
s1_cell881	4
s1_cell882	11
s1_cell883	11
s1_cell884	4
s1_cell885	4
s1_cell886	5
s1_cell887	4
s1_cell888	1
s1_cell889	4
s1_cell890	12
s1_cell891	6
s1_cell892	1
s1_cell893	11
s1_cell894	4
s1_cell895	1
s1_cell896	6
s1_cell897	11
s1_cell898	1
s1_cell899	4
s1_cell900	4
s1_cell901	10
s1_cell902	0
s1_cell903	4
s1_cell904	9
s1_cell905	11
s1_cell906	6
s1_cell907	1
s1_cell908	1
s1_cell909	5
s1_cell910	11
s1_cell911	5
s1_cell912	4
s1_cell913	4
s1_cell914	5
s1_cell915	4
s1_cell916	7
s1_cell917	4
s1_cell918	8
s1_cell919	4
s1_cell920	18
s1_cell921	1
s1_cell922	7
s1_cell923	18
s1_cell924	4
s1_cell925	6
s1_cell926	5
s1_cell927	16
s1_cell928	4
s1_cell929	4
s1_cell930	4
s1_cell931	5
s1_cell932	5
s1_cell933	9
s1_cell934	1
s1_cell935	2
s1_cell936	11
s1_cell937	1
s1_cell938	5
s1_cell939	6
s1_cell940	14
s1_cell941	4
s1_cell942	4
s1_cell943	4
s1_cell944	9
s1_cell945	0
s1_cell946	22
s1_cell947	11
s1_cell948	4
s1_cell949	10
s1_cell950	4
s1_cell951	10
s1_cell952	4
s1_cell953	4
s1_cell954	5
s1_cell955	11
s1_cell956	11
s1_cell957	4
s1_cell958	1
s1_cell959	4
s1_cell960	5
s1_cell961	4
s1_cell962	4
s1_cell963	11
s1_cell964	4
s1_cell965	1
s1_cell966	4
s1_cell967	5
s1_cell968	5
s1_cell969	8
s1_cell970	11
s1_cell971	10
s1_cell972	5
s1_cell973	9
s1_cell974	1
s1_cell975	5
s1_cell976	0
s1_cell977	14
s1_cell978	4
s1_cell979	1
s1_cell980	1
s1_cell981	11
s1_cell982	8
s1_cell983	11
s1_cell984	6
s1_cell985	4
s1_cell986	1
s1_cell987	1
s1_cell988	6
s1_cell989	4
s1_cell990	10
s1_cell991	4
s1_cell992	4
s1_cell993	1
s1_cell994	5
s1_cell995	5
s1_cell996	4
s1_cell997	9
s1_cell998	1
s1_cell999	8
s1_cell1000	4
s1_cell1001	1
s1_cell1002	1
s1_cell1003	8
s1_cell1004	11
s1_cell1005	22
s1_cell1006	7
s1_cell1007	1
s1_cell1008	5
s1_cell1009	1
s1_cell1010	14
s1_cell1011	11
s1_cell1012	6
s1_cell1013	5
s1_cell1014	9
s1_cell1015	5
s1_cell1016	6
s1_cell1017	4
s1_cell1018	4
s1_cell1019	4
s1_cell1020	5
s1_cell1021	15
s1_cell1022	4
s1_cell1023	1
s1_cell1024	1
s1_cell1025	19
s1_cell1026	4
s1_cell1027	4
s1_cell1028	3
s1_cell1029	10
s1_cell1030	5
s1_cell1031	4
s1_cell1032	1
s1_cell1033	1
s1_cell1034	4
s1_cell1035	4
s1_cell1036	2
s1_cell1037	4
s1_cell1038	4
s1_cell1039	1
s1_cell1040	4
s1_cell1041	1
s1_cell1042	5
s1_cell1043	11
s1_cell1044	4
s1_cell1045	4
s1_cell1046	6
s1_cell1047	6
s1_cell1048	4
s1_cell1049	1
s1_cell1050	5
s1_cell1051	1
s1_cell1052	4
s1_cell1053	4
s1_cell1054	1
s1_cell1055	1
s1_cell1056	5
s1_cell1057	5
s1_cell1058	11
s1_cell1059	4
s1_cell1060	6
s1_cell1061	5
s1_cell1062	4
s1_cell1063	1
s1_cell1064	4
s1_cell1065	21
s1_cell1066	1
s1_cell1067	1
s1_cell1068	4
s1_cell1069	3
s1_cell1070	4
s1_cell1071	4
s1_cell1072	9
s1_cell1073	4
s1_cell1074	11
s1_cell1075	1
s1_cell1076	10
s1_cell1077	4
s1_cell1078	6
s1_cell1079	5
s1_cell1080	1
s1_cell1081	5
s1_cell1082	4
s1_cell1083	8
s1_cell1084	8
s1_cell1085	8
s1_cell1086	5
s1_cell1087	5
s1_cell1088	5
s1_cell1089	4
s1_cell1090	4
s1_cell1091	4
s1_cell1092	1
s1_cell1093	1
s1_cell1094	1
s1_cell1095	17
s1_cell1096	10
s1_cell1097	4
s1_cell1098	4
s1_cell1099	1
s1_cell1100	5
s1_cell1101	11
s1_cell1102	1
s1_cell1103	15
s1_cell1104	3
s1_cell1105	4
s1_cell1106	0
s1_cell1107	4
s1_cell1108	4
s1_cell1109	1
s1_cell1110	8
s1_cell1111	2
s1_cell1112	4
s1_cell1113	4
s1_cell1114	4
s1_cell1115	4
s1_cell1116	1
s1_cell1117	1
s1_cell1118	4
s1_cell1119	5
s1_cell1120	10
s1_cell1121	5
s1_cell1122	10
s1_cell1123	5
s1_cell1124	4
s1_cell1125	1
s1_cell1126	4
s1_cell1127	4
s1_cell1128	1
s1_cell1129	9
s1_cell1130	1
s1_cell1131	18
s1_cell1132	6
s1_cell1133	1
s1_cell1134	5
s1_cell1135	4
s1_cell1136	12
s1_cell1137	4
s1_cell1138	5
s1_cell1139	4
s1_cell1140	4
s1_cell1141	1
s1_cell1142	14
s1_cell1143	21
s1_cell1144	1
s1_cell1145	1
s1_cell1146	6
s1_cell1147	4
s1_cell1148	11
s1_cell1149	1
s1_cell1150	5
s1_cell1151	4
s1_cell1152	5
s1_cell1153	8
s1_cell1154	1
s1_cell1155	11
s1_cell1156	1
s1_cell1157	4
s1_cell1158	5
s1_cell1159	4
s1_cell1160	1
s1_cell1161	1
s1_cell1162	4
s1_cell1163	4
s1_cell1164	5
s1_cell1165	4
s1_cell1166	3
s1_cell1167	4
s1_cell1168	21
s1_cell1169	4
s1_cell1170	5
s1_cell1171	1
s1_cell1172	5
s1_cell1173	6
s1_cell1174	1
s1_cell1175	1
s1_cell1176	4
s1_cell1177	16
s1_cell1178	5
s1_cell1179	4
s1_cell1180	2
s1_cell1181	5
s1_cell1182	14
s1_cell1183	5
s1_cell1184	2
s1_cell1185	21
s1_cell1186	4
s1_cell1187	1
s1_cell1188	4
s1_cell1189	11
s1_cell1190	3
s1_cell1191	4
s1_cell1192	4
s1_cell1193	10
s1_cell1194	1
s1_cell1195	4
s1_cell1196	12
s1_cell1197	4
s1_cell1198	5
s1_cell1199	5
s1_cell1200	17
s1_cell1201	8
s1_cell1202	3
s1_cell1203	4
s1_cell1204	12
s1_cell1205	1
s1_cell1206	1
s1_cell1207	8
s1_cell1208	1
s1_cell1209	1
s1_cell1210	4
s1_cell1211	10
s1_cell1212	4
s1_cell1213	1
s1_cell1214	4
s1_cell1215	16
s1_cell1216	0
s1_cell1217	4
s1_cell1218	1
s1_cell1219	9
s1_cell1220	5
s1_cell1221	4
s1_cell1222	0
s1_cell1223	10
s1_cell1224	0
s1_cell1225	8
s1_cell1226	6
s1_cell1227	15
s1_cell1228	5
s1_cell1229	5
s1_cell1230	5
s1_cell1231	10
s1_cell1232	17
s1_cell1233	4
s1_cell1234	1
s1_cell1235	10
s1_cell1236	1
s1_cell1237	4
s1_cell1238	1
s1_cell1239	6
s1_cell1240	16
s1_cell1241	5
s1_cell1242	4
s1_cell1243	10
s1_cell1244	5
s1_cell1245	1
s1_cell1246	17
s1_cell1247	13
s1_cell1248	4
s1_cell1249	4
s1_cell1250	11
s1_cell1251	4
s1_cell1252	4
s1_cell1253	4
s1_cell1254	4
s1_cell1255	5
s1_cell1256	4
s1_cell1257	1
s1_cell1258	5
s1_cell1259	11
s1_cell1260	4
s1_cell1261	1
s1_cell1262	22
s1_cell1263	4
s1_cell1264	4
s1_cell1265	4
s1_cell1266	1
s1_cell1267	17
s1_cell1268	10
s1_cell1269	17
s1_cell1270	1
s1_cell1271	22
s1_cell1272	3
s1_cell1273	16
s1_cell1274	5
s1_cell1275	4
s1_cell1276	14
s1_cell1277	4
s1_cell1278	4
s1_cell1279	4
s1_cell1280	5
s1_cell1281	1
s1_cell1282	5
s1_cell1283	4
s1_cell1284	4
s1_cell1285	9
s1_cell1286	17
s1_cell1287	4
s1_cell1288	1
s1_cell1289	4
s1_cell1290	9
s1_cell1291	1
s1_cell1292	6
s1_cell1293	6
s1_cell1294	9
s1_cell1295	22
s1_cell1296	11
s1_cell1297	15
s1_cell1298	4
s1_cell1299	5
s1_cell1300	11
s1_cell1301	5
s1_cell1302	1
s1_cell1303	4
s1_cell1304	4
s1_cell1305	3
s1_cell1306	0
s1_cell1307	1
s1_cell1308	0
s1_cell1309	4
s1_cell1310	5
s1_cell1311	5
s1_cell1312	10
s1_cell1313	1
s1_cell1314	1
s1_cell1315	8
s1_cell1316	5
s1_cell1317	10
s1_cell1318	4
s1_cell1319	11
s1_cell1320	10
s1_cell1321	0
s1_cell1322	6
s1_cell1323	4
s1_cell1324	10
s1_cell1325	6
s1_cell1326	10
s1_cell1327	4
s1_cell1328	1
s1_cell1329	5
s1_cell1330	4
s1_cell1331	4
s1_cell1332	6
s1_cell1333	11
s1_cell1334	4
s1_cell1335	10
s1_cell1336	1
s1_cell1337	4
s1_cell1338	1
s1_cell1339	6
s1_cell1340	4
s1_cell1341	10
s1_cell1342	4
s1_cell1343	1
s1_cell1344	4
s1_cell1345	21
s1_cell1346	5
s1_cell1347	8
s1_cell1348	4
s1_cell1349	6
s1_cell1350	5
s1_cell1351	5
s1_cell1352	6
s1_cell1353	5
s1_cell1354	16
s1_cell1355	11
s1_cell1356	5
s1_cell1357	6
s1_cell1358	6
s1_cell1359	1
s1_cell1360	9
s1_cell1361	1
s1_cell1362	4
s1_cell1363	13
s1_cell1364	5
s1_cell1365	4
s1_cell1366	10
s1_cell1367	8
s1_cell1368	0
s1_cell1369	5
s1_cell1370	6
s1_cell1371	4
s1_cell1372	5
s1_cell1373	1
s1_cell1374	4
s1_cell1375	6
s1_cell1376	18
s1_cell1377	1
s1_cell1378	8
s1_cell1379	4
s1_cell1380	7
s1_cell1381	19
s1_cell1382	4
s1_cell1383	1
s1_cell1384	5
s1_cell1385	8
s1_cell1386	4
s1_cell1387	5
s1_cell1388	6
s1_cell1389	5
s1_cell1390	4
s1_cell1391	5
s1_cell1392	14
s1_cell1393	1
s1_cell1394	4
s1_cell1395	1
s1_cell1396	1
s1_cell1397	10
s1_cell1398	7
s1_cell1399	0
s1_cell1400	6
s1_cell1401	5
s1_cell1402	14
s1_cell1403	1
s1_cell1404	2
s1_cell1405	5
s1_cell1406	11
s1_cell1407	5
s1_cell1408	1
s1_cell1409	11
s1_cell1410	4
s1_cell1411	1
s1_cell1412	5
s1_cell1413	4
s1_cell1414	6
s1_cell1415	5
s1_cell1416	1
s1_cell1417	10
s1_cell1418	4
s1_cell1419	7
s1_cell1420	4
s1_cell1421	4
s1_cell1422	6
s1_cell1423	3
s1_cell1424	2
s1_cell1425	10
s1_cell1426	4
s1_cell1427	17
s1_cell1428	5
s1_cell1429	8
s1_cell1430	11
s1_cell1431	16
s1_cell1432	4
s1_cell1433	4
s1_cell1434	4
s1_cell1435	4
s1_cell1436	0
s1_cell1437	4
s1_cell1438	4
s1_cell1439	5
s1_cell1440	1
s1_cell1441	22
s1_cell1442	4
s1_cell1443	9
s1_cell1444	3
s1_cell1445	6
s1_cell1446	5
s1_cell1447	1
s1_cell1448	1
s1_cell1449	18
s1_cell1450	5
s1_cell1451	1
s1_cell1452	8
s1_cell1453	11
s1_cell1454	8
s1_cell1455	4
s1_cell1456	6
s1_cell1457	6
s1_cell1458	5
s1_cell1459	1
s1_cell1460	11
s1_cell1461	14
s1_cell1462	5
s1_cell1463	14
s1_cell1464	9
s1_cell1465	3
s1_cell1466	5
s1_cell1467	5
s1_cell1468	5
s1_cell1469	14
s1_cell1470	5
s1_cell1471	5
s1_cell1472	3
s1_cell1473	5
s1_cell1474	0
s1_cell1475	0
s1_cell1476	6
s1_cell1477	4
s1_cell1478	6
s1_cell1479	10
s1_cell1480	7
s1_cell1481	7
s1_cell1482	5
s1_cell1483	1
s1_cell1484	6
s1_cell1485	5
s1_cell1486	21
s1_cell1487	6
s1_cell1488	6
s1_cell1489	5
s1_cell1490	14
s1_cell1491	18
s1_cell1492	5
s1_cell1493	5
s1_cell1494	5
s1_cell1495	1
s1_cell1496	4
s1_cell1497	1
s1_cell1498	1
