cell_type	rank	gene_id	specificity_log2	expression	other_mean_log2
meristems	2	TraesCS1B03G1025200	4.554239	418.05	4.156740
meristems	3	TraesCS3D03G0198100	4.525805	78.61	1.789072
meristems	4	TraesCS6D03G0096000	4.499168	345.26	3.936544
meristems	5	TraesCS1A03G0669100	4.474512	180.02	3.025493
meristems	6	TraesCS3D03G0317700	4.465786	312.63	3.827134
meristems	7	TraesCS7B03G0044800	4.457000	205.3	3.231600
meristems	8	TraesCS1D03G0856400	4.437100	399.92	4.210070
meristems	9	TraesCS1A03G0090500	4.428070	401.92	4.226279
meristems	10	TraesCS1B03G1050300	4.423044	331.71	3.955077
meristems	11	TraesCS1A03G0730200	4.418393	206.07	3.275581
meristems	12	TraesCS1B03G1025300	4.395732	267.41	3.672562
meristems	13	TraesCS1D03G0632200	4.382797	251.86	3.599398
meristems	14	TraesCS6D03G0079900	4.379745	474.81	4.514496
meristems	15	TraesCS6D03G0079800	4.366876	242.6	3.561494
meristems	16	TraesCS1B03G1030800	4.359923	260.06	3.668315
meristems	17	TraesCS1A03G0669000	4.355138	207.5	3.348765
meristems	18	TraesCS2D03G0889700	4.353759	441.9	4.437078
meristems	19	TraesCS1D03G0852900	4.337298	716.46	5.149456
meristems	20	TraesCS1B03G1030600	4.329961	136.8	2.776471
meristems	21	TraesCS6B03G0111800	4.325453	230.3	3.528168
meristems	22	TraesCS6B03G0111300	4.320763	249	3.645021
meristems	23	TraesCS6D03G0079600	4.305643	249.76	3.664521
meristems	24	TraesCS1A03G0948000	4.299034	135.56	2.794357
meristems	25	TraesCS6A03G0170500	4.296381	59.34	1.618662
meristems	26	TraesCS5D03G1050300	4.296262	134.52	2.786100
meristems	27	TraesCS3A03G0316900	4.289540	598.93	4.939110
meristems	28	TraesCS6A03G0076200	4.281783	393.82	4.343268
meristems	29	TraesCS6A03G0076300	4.280436	229.53	3.568375
meristems	30	TraesCS4B03G0669400	4.275639	192.14	3.317864
meristems	31	TraesCS7A03G0284300	4.257123	193.95	3.349838
meristems	32	TraesCS7D03G1128700LC	4.253106	473.28	4.636489
meristems	33	TraesCS3D03G0317600	4.252893	302.99	3.994988
meristems	34	TraesCS3A03G0224600	4.252809	272.27	3.841375
meristems	35	TraesCS1B03G1025700	4.244252	313.2	4.051287
meristems	36	TraesCS7A03G1189500	4.240910	169.72	3.174578
meristems	37	TraesCS4A03G0999700	4.234014	190.23	3.345151
meristems	38	TraesCS1A03G0879000	4.232658	488.17	4.701534
meristems	39	TraesCS2A03G0948500	4.232641	779.81	5.376187
meristems	40	TraesCS1A03G0879600	4.223857	366.05	4.295976
meristems	41	TraesCS4D03G0501800	4.221980	328.47	4.142023
meristems	42	TraesCS2B03G1047100	4.219391	1097.59	5.882046
meristems	43	TraesCS3B03G0261100	4.213255	457.92	4.628844
meristems	44	TraesCS6A03G0090400	4.213201	105.8	2.525567
meristems	45	TraesCS7B03G1061700	4.206614	209.6	3.511747
meristems	46	TraesCS1A03G0893900	4.205439	287.25	3.965738
meristems	47	TraesCS3A03G0317000	4.193158	410.61	4.491976
meristems	48	TraesCS6B03G0284700	4.191136	434.65	4.575890
meristems	49	TraesCS7D03G0407000	4.187830	193	3.412083
meristems	50	TraesCS5A03G1092000	4.181377	143.77	2.996242
pericycle	1	TraesCS5B03G0138900	6.010314	405.92	2.658287
pericycle	2	TraesCS5A03G0603800	5.911859	282.8	2.236872
pericycle	3	TraesCS7A03G0757500	5.798789	667.83	3.586707
pericycle	4	TraesCS7B03G0588000	5.792016	305.44	2.467445
pericycle	5	TraesCS5D03G0569300	5.742577	169.61	1.671981
pericycle	6	TraesCS7D03G0728800	5.718708	431	3.036180
pericycle	7	TraesCS6B03G0419800	5.664443	456.42	3.172933
pericycle	8	TraesCS5A03G0127300	5.553898	181.45	1.957459
pericycle	9	TraesCS4B03G0238600	5.508338	190.16	2.070299
pericycle	10	TraesCS5D03G0150000LC	5.457185	242.58	2.471067
pericycle	11	TraesCS5A03G0621200	5.452281	527.12	3.592441
pericycle	12	TraesCS3B03G1323800	5.405425	102.39	1.286528
pericycle	13	TraesCS4A03G0786200	5.401385	85.68	1.036242
pericycle	14	TraesCS3A03G1137900	5.373204	88.64	1.112867
pericycle	15	TraesCS1D03G0200100LC	5.371499	82.72	1.016001
pericycle	16	TraesCS5D03G0588300	5.335959	458.16	3.506895
pericycle	17	TraesCS5B03G0622500	5.305568	113.37	1.531997
pericycle	18	TraesCS1D03G1000900	5.305352	245.89	2.642373
pericycle	19	TraesCS2A03G1202600	5.302050	104.83	1.423555
pericycle	20	TraesCS3B03G0250100	5.289691	247.98	2.670195
pericycle	21	TraesCS1A03G0207300	5.275079	60.78	0.673989
pericycle	22	TraesCS2B03G1183500	5.230214	292.73	2.968133
pericycle	23	TraesCS4D03G0264900LC	5.225766	80.28	1.119062
pericycle	24	TraesCS5D03G0588500	5.212841	75.75	1.049253
pericycle	25	TraesCS2D03G0128800	5.173249	58.34	0.717684
pericycle	26	TraesCS7B03G0206500	5.171896	57.47	0.697728
pericycle	27	TraesCS5B03G0639000	5.144020	812.19	4.523428
pericycle	28	TraesCS5B03G0639200	5.142411	112.67	1.686297
pericycle	29	TraesCS1B03G1236400	5.110339	186.16	2.437790
pericycle	30	TraesCS3D03G1070900	5.105469	401.92	3.548880
pericycle	31	TraesCS2D03G0941600	5.075313	291.16	3.115302
pericycle	32	TraesCS7A03G0406300	5.063112	40.75	0.320592
pericycle	33	TraesCS4D03G0679400	5.041377	55.38	0.775735
pericycle	34	TraesCS1A03G1037900	4.997416	143.32	2.175711
pericycle	35	TraesCS5B03G1359600	4.974692	72.09	1.216910
pericycle	36	TraesCS5D03G0452100	4.964606	61.47	1.000485
pericycle	37	TraesCS5D03G1199300	4.963923	97	1.650787
pericycle	38	TraesCS3D03G0286900	4.963339	100.48	1.701712
pericycle	39	TraesCS2D03G0999400	4.951575	171.01	2.474773
pericycle	40	TraesCS2D03G1158000	4.925738	75.75	1.336357
pericycle	41	TraesCS4A03G0560500	4.857684	44.23	0.641524
pericycle	42	TraesCS3A03G0715100	4.857669	161.78	2.489110
pericycle	43	TraesCS3D03G0186500LC	4.848858	65.3	1.202079
pericycle	44	TraesCS2B03G1372800	4.841639	45.1	0.685056
pericycle	45	TraesCS3B03G0499100	4.816231	107.79	1.949171
pericycle	46	TraesCS1B03G0187300	4.802993	185.46	2.739730
pericycle	47	TraesCS5B03G1121200	4.802258	305.27	3.456402
pericycle	48	TraesCS1D03G0575100	4.797470	105.35	1.935206
pericycle	49	TraesCS3D03G1184000	4.791740	776.67	4.811274
pericycle	50	TraesCS6A03G0325300	4.786098	623.6	4.500690
phloem	1	TraesCS3B03G0900500	10.334262	2010.55	0.639830
phloem	2	TraesCS3A03G0782300	10.285028	1555.04	0.318635
phloem	3	TraesCS1D03G0884600	10.182127	1584.03	0.448168
phloem	4	TraesCS3D03G0721900	10.164208	1484.96	0.372972
phloem	5	TraesCS3B03G0742300	10.114976	1440.25	0.378129
phloem	6	TraesCS3D03G0599200	10.092172	1730.23	0.665409
phloem	7	TraesCS1A03G0906900	9.962211	1298.88	0.381952
phloem	8	TraesCS6A03G0666600	9.950911	1349.63	0.448506
phloem	9	TraesCS3A03G0654700	9.916657	1317.01	0.447489
phloem	10	TraesCS6A03G0202900	9.769021	1291.63	0.567072
phloem	11	TraesCS6B03G0810000	9.758517	911.03	0.074420
phloem	12	TraesCS4D03G0020800	9.736766	1116.44	0.389215
phloem	13	TraesCS1D03G0605000	9.681498	1402.79	0.773613
phloem	14	TraesCS2B03G0197500	9.638615	875.99	0.137802
phloem	15	TraesCS4B03G0030200	9.625020	840.95	0.092570
phloem	16	TraesCS4A03G0754700	9.549015	884.45	0.241252
phloem	17	TraesCS3B03G1380200	9.497611	867.53	0.264821
phloem	18	TraesCS3A03G1157200	9.476126	839.74	0.239390
phloem	19	TraesCS5D03G0557600	9.472683	900.16	0.342956
phloem	20	TraesCS1B03G0715800LC	9.420048	820.41	0.261911
phloem	21	TraesCS6B03G0270900	9.395940	810.74	0.268933
phloem	22	TraesCS6B03G0398800	9.321300	702	0.136081
phloem	23	TraesCS1D03G0587800	9.296660	805.91	0.359604
phloem	24	TraesCS6A03G0306800	9.262359	871.16	0.506091
phloem	25	TraesCS4D03G0091800	9.227542	680.25	0.184499
phloem	26	TraesCS3A03G0709800	9.221393	773.29	0.375338
phloem	27	TraesCS5A03G0536500	9.170952	885.66	0.621285
phloem	28	TraesCS3D03G0382200	9.163217	683.88	0.256491
phloem	29	TraesCS4B03G0725300	9.147192	869.95	0.619254
phloem	30	TraesCS1A03G0626900	9.103585	651.25	0.245696
phloem	31	TraesCS3D03G1105300	9.096022	631.92	0.209858
phloem	32	TraesCS1D03G0349000	9.069749	699.58	0.382657
phloem	33	TraesCS2D03G0137900	9.068972	601.72	0.166372
phloem	34	TraesCS2D03G0068900	9.007855	2325.91	2.176345
phloem	35	TraesCS1A03G0647000	8.872788	1317.01	1.491358
phloem	36	TraesCS1B03G0733300	8.807993	1354.46	1.596574
phloem	37	TraesCS1B03G0450900	8.800035	470.01	0.079578
phloem	38	TraesCS4A03G0687000	8.778475	462.76	0.078760
phloem	39	TraesCS1A03G0361700	8.772353	567.88	0.379627
phloem	40	TraesCS3A03G0390900	8.765934	588.42	0.437219
phloem	41	TraesCS4B03G0108300	8.674359	444.64	0.125375
phloem	42	TraesCS2A03G0073400	8.627046	2278.79	2.527639
phloem	43	TraesCS5B03G0548000	8.543146	465.18	0.321597
phloem	44	TraesCS5D03G0500000	8.542874	523.18	0.491045
phloem	45	TraesCS5A03G0819000	8.539911	711.67	0.937179
phloem	46	TraesCS4A03G0321300	8.514186	532.84	0.546077
phloem	47	TraesCS5D03G0156400	8.468330	366.1	0.051699
phloem	48	TraesCS5A03G1177000	8.455644	474.85	0.438719
phloem	49	TraesCSU03G0052100	8.443906	415.64	0.258751
phloem	50	TraesCS7D03G0264400	8.416048	343.15	0.010846
provascular	1	TraesCS2D03G1174800	4.083681	92.32	2.460434
provascular	2	TraesCS5D03G0712900	3.607965	22.59	0.952138
provascular	3	TraesCS5D03G1205200	3.522209	21.25	0.953525
provascular	4	TraesCS4B03G0857000	3.484338	79.19	2.841012
provascular	5	TraesCS6A03G0436800	3.407777	60.09	2.525087
provascular	6	TraesCS5A03G0751700	3.377232	29.55	1.555868
provascular	7	TraesCS6B03G0557000	3.310781	72.41	2.887124
provascular	8	TraesCS5D03G0346300	3.306576	338.38	5.100181
provascular	9	TraesCS7D03G0517600	3.280089	14.64	0.687079
provascular	10	TraesCS1B03G0632800	3.142037	46.52	2.428426
provascular	11	TraesCS2B03G1390400	3.100453	193.47	4.502951
provascular	12	TraesCS2A03G1216700LC	3.084466	30.18	1.878083
provascular	13	TraesCS2D03G1174600LC	3.060042	11.7	0.606715
provascular	14	TraesCS5B03G0359300	3.059930	179.72	4.437682
provascular	15	TraesCS2D03G0400500	3.056705	58.21	2.831064
provascular	16	TraesCS5A03G0651300	3.012672	523.81	6.022979
provascular	17	TraesCS4A03G0553400	2.999741	26.16	1.763671
provascular	18	TraesCS2D03G1315900	2.994827	41.16	2.402976
provascular	19	TraesCS3B03G0036500	2.992271	44.55	2.517108
provascular	20	TraesCS3B03G0017200	2.986915	25.53	1.742637
provascular	21	TraesCS1B03G0050600	2.957674	282.49	5.189480
provascular	22	TraesCS5A03G0363500	2.896293	490.6	6.045048
provascular	23	TraesCS2D03G1305500	2.892015	243.56	5.042030
provascular	24	TraesCS4A03G0791800	2.887524	7.77	0.245053
provascular	25	TraesCS1D03G0523600	2.873101	82.41	3.509047
provascular	26	TraesCS3A03G0016400	2.836721	602.92	6.401493
provascular	27	TraesCS2B03G0509600	2.834311	10.98	0.748245
provascular	28	TraesCS2D03G0752400LC	2.833214	24.02	1.811796
provascular	29	TraesCS7B03G0301100	2.821815	11.34	0.803456
provascular	30	TraesCS2A03G0217900	2.820837	13.39	1.026158
provascular	31	TraesCS5B03G0785100	2.811191	15.98	1.274574
provascular	32	TraesCS2D03G1175000	2.721434	53.48	3.046220
provascular	33	TraesCS1B03G1261400LC	2.719140	8.48	0.525747
provascular	34	TraesCS5A03G0611100	2.711135	27.59	2.126304
provascular	35	TraesCS3D03G0064200	2.701663	7.05	0.307326
provascular	36	TraesCS4D03G0760600	2.697699	36.69	2.538411
provascular	37	TraesCS1B03G0622300	2.674374	59.01	3.232757
provascular	38	TraesCS7A03G0475200	2.664151	80.09	3.677302
provascular	39	TraesCS2B03G0107600	2.658155	164.28	4.710613
provascular	40	TraesCS5D03G1205100	2.655481	8.04	0.520842
provascular	41	TraesCS2B03G1391100LC	2.648036	12.68	1.125960
provascular	42	TraesCS1D03G0513400	2.631447	49.55	3.028192
provascular	43	TraesCS1A03G0542800	2.604614	42.41	2.835342
provascular	44	TraesCS2D03G1174700	2.599939	17.32	1.595408
provascular	45	TraesCS4D03G0562400	2.597783	68.84	3.528199
provascular	46	TraesCS5D03G0346200	2.569124	45.53	2.970965
provascular	47	TraesCS5D03G0574600	2.557286	80.17	3.785588
provascular	48	TraesCS5A03G1176600LC	2.548994	28.84	2.350181
provascular	49	TraesCS6B03G0816700	2.544225	27.77	2.302268
provascular	50	TraesCS2D03G0068400	2.542692	112.05	4.278125
root_cap	1	TraesCS7D03G0226600	8.941057	642.26	0.388201
root_cap	2	TraesCS2D03G0971100	8.274211	328.75	0.091018
root_cap	3	TraesCS3B03G1268400	8.039145	341.14	0.379298
root_cap	4	TraesCS2A03G1032300	7.969940	283.01	0.179858
root_cap	5	TraesCS1D03G0043400	7.818497	303.02	0.429526
root_cap	6	TraesCS3A03G0756500	7.809806	262.05	0.229387
root_cap	7	TraesCS3D03G1163600	7.793201	249.66	0.176387
root_cap	8	TraesCS3A03G1224300	7.716817	252.52	0.269139
root_cap	9	TraesCS3D03G1163500	7.709559	281.11	0.430555
root_cap	10	TraesCS3B03G0864600	7.639042	305.88	0.622489
root_cap	11	TraesCS3B03G1464500	7.604865	209.64	0.113770
root_cap	12	TraesCS3D03G1163700	7.575553	203.92	0.103364
root_cap	13	TraesCS1A03G0053300	7.532432	277.29	0.588013
root_cap	14	TraesCS3B03G1464600	7.527772	226.79	0.303789
root_cap	15	TraesCS3D03G0697200	7.508099	323.03	0.831884
root_cap	16	TraesCS1B03G0058000	7.421134	226.79	0.410427
root_cap	17	TraesCS2B03G1153200	7.182390	167.71	0.216012
root_cap	18	TraesCS3D03G0382600	7.119202	332.56	1.262600
root_cap	19	TraesCS2D03G0971700	7.066042	140.08	0.074328
root_cap	20	TraesCS2D03G0971800	7.031294	153.42	0.239422
root_cap	21	TraesCS3A03G1226700	6.989193	149.61	0.245480
root_cap	22	TraesCS2B03G1214600	6.923437	136.26	0.177331
root_cap	23	TraesCS6B03G0167500	6.867235	121.97	0.074928
root_cap	24	TraesCS2D03G1025100	6.773612	132.45	0.286544
root_cap	25	TraesCS2A03G1032100	6.702349	105.77	0.036013
root_cap	26	TraesCS3A03G1224100	6.660246	107.68	0.103697
root_cap	27	TraesCS2A03G1083300	6.628826	110.54	0.172591
root_cap	28	TraesCS6A03G0118600	6.481691	90.53	0.034482
root_cap	29	TraesCS2B03G0809300	6.190117	73.37	0.026532
root_cap	30	TraesCS3A03G0390700	6.146087	74.33	0.089065
root_cap	31	TraesCS3B03G0460700	6.029037	73.37	0.187612
root_cap	32	TraesCS3B03G1468200	5.998206	64.8	0.041810
root_cap	33	TraesCS3D03G0655200	5.990059	127.69	1.017697
root_cap	34	TraesCS2B03G1483000	5.948930	101.96	0.737010
root_cap	35	TraesCS4D03G0681700	5.888567	67.66	0.212831
root_cap	36	TraesCS3A03G1088400	5.883557	118.16	1.013199
root_cap	37	TraesCS3B03G1468100	5.790731	61.94	0.185174
root_cap	38	TraesCS2B03G0809800	5.767459	56.22	0.070989
root_cap	39	TraesCS7A03G0910800	5.760066	61.94	0.215839
root_cap	40	TraesCS5D03G0905800	5.632268	48.6	0.000000
root_cap	41	TraesCS3D03G0361400	5.580036	50.5	0.106464
root_cap	42	TraesCS4D03G0681500	5.476396	45.74	0.070190
root_cap	43	TraesCS2B03G1399100	5.459233	117.21	1.425975
root_cap	44	TraesCS2D03G0676200	5.436751	46.69	0.138864
root_cap	45	TraesCS2D03G0873000LC	5.389540	51.46	0.323605
root_cap	46	TraesCS3D03G0118800	5.368883	40.97	0.022404
root_cap	47	TraesCS2B03G1028100	5.298629	44.79	0.218331
root_cap	48	TraesCS3B03G0048300LC	5.258593	42.88	0.196898
root_cap	49	TraesCS4D03G0755100	5.218185	39.07	0.106265
root_cap	50	TraesCS3D03G1015800	5.209008	45.74	0.337578
root_hair	1	TraesCS4D03G0146400	6.817861	667.32	2.566534
root_hair	2	TraesCS4D03G0146200	6.715502	398.46	1.926405
root_hair	3	TraesCS1A03G0547600	6.687509	689.23	2.743424
root_hair	4	TraesCS4B03G0178500	6.590319	1126.1	3.548081
root_hair	5	TraesCS4A03G0625000	6.518086	239.17	1.389826
root_hair	6	TraesCSU03G0016400	6.481400	1792.48	4.327146
root_hair	7	TraesCS4D03G0146500	6.473042	446.06	2.331283
root_hair	8	TraesCS7A03G0586100	6.409903	341.91	2.011783
root_hair	9	TraesCS1D03G0527600	6.398617	699.37	3.053357
root_hair	10	TraesCS5D03G0906800	6.396102	285.12	1.764374
root_hair	11	TraesCS4B03G0990600	6.298125	298.31	1.927372
root_hair	12	TraesCS7D03G0043000	6.289982	230.22	1.563141
root_hair	13	TraesCS2B03G0611400	6.285700	255.43	1.716721
root_hair	14	TraesCS2D03G1111800	6.211488	269.1	1.865862
