record_type	cluster	count	matrix_overlap	rank	gene_id	avg_log2FC
top_logFC	8 - Root Hair			1	TraesCSU03G0016400	1.5754396
top_logFC	8 - Root Hair			2	TraesCS4B03G0178500	1.450314
top_logFC	8 - Root Hair			3	TraesCS1D03G0527600	1.3132669
top_logFC	8 - Root Hair			4	TraesCS1A03G0547600	1.3053265
top_logFC	8 - Root Hair			5	TraesCS2D03G0468100	1.3041282
summary	9 - Endodermis	261	261			
top_logFC	9 - Endodermis			1	TraesCS3A03G0429700	1.2183815
top_logFC	9 - Endodermis			2	TraesCS3D03G0402600	1.1484098
top_logFC	9 - Endodermis			3	TraesCS7D03G0401600	1.1155574
top_logFC	9 - Endodermis			4	TraesCS3B03G0508400	1.0817992
top_logFC	9 - Endodermis			5	TraesCS7B03G0218800	1.0688429
